tick,day,slot,selected_resident,vertical_slice_frame,arrival_movement_frame,bounded_conversation_frame,schedule_debt_memory_frame,offscreen_return_frame,visible_consequence_frame,save_restore_audit_replay_frame,usable_interface_frame,single_html_vertical_slice,all_systems_integrated
102,6,12,Tovan,102,102,102,102,102,102,102,102,True,True
103,6,13,Nia,103,103,103,103,103,103,103,103,True,True
104,6,14,Ari,104,104,104,104,104,104,104,104,True,True
105,6,15,Fay,105,105,105,105,105,105,105,105,True,True
106,6,16,Milo,106,106,106,106,106,106,106,106,True,True
107,6,17,Sera,107,107,107,107,107,107,107,107,True,True
108,7,0,Tovan,108,108,108,108,108,108,108,108,True,True
109,7,1,Nia,109,109,109,109,109,109,109,109,True,True
110,7,2,Ari,110,110,110,110,110,110,110,110,True,True
111,7,3,Fay,111,111,111,111,111,111,111,111,True,True
112,7,4,Milo,112,112,112,112,112,112,112,112,True,True
113,7,5,Sera,113,113,113,113,113,113,113,113,True,True
114,7,6,Tovan,114,114,114,114,114,114,114,114,True,True
115,7,7,Nia,115,115,115,115,115,115,115,115,True,True
116,7,8,Ari,116,116,116,116,116,116,116,116,True,True
117,7,9,Fay,117,117,117,117,117,117,117,117,True,True
118,7,10,Milo,118,118,118,118,118,118,118,118,True,True
119,7,11,Sera,119,119,119,119,119,119,119,119,True,True
120,7,12,Tovan,120,120,120,120,120,120,120,120,True,True
121,7,13,Nia,121,121,121,121,121,121,121,121,True,True
122,7,14,Ari,122,122,122,122,122,122,122,122,True,True
123,7,15,Fay,123,123,123,123,123,123,123,123,True,True
124,7,16,Milo,124,124,124,124,124,124,124,124,True,True
125,7,17,Sera,125,125,125,125,125,125,125,125,True,True
126,8,0,Tovan,126,126,126,126,126,126,126,126,True,True
127,8,1,Nia,127,127,127,127,127,127,127,127,True,True
128,8,2,Ari,128,128,128,128,128,128,128,128,True,True
129,8,3,Fay,129,129,129,129,129,129,129,129,True,True
130,8,4,Milo,130,130,130,130,130,130,130,130,True,True
131,8,5,Sera,131,131,131,131,131,131,131,131,True,True
132,8,6,Tovan,132,132,132,132,132,132,132,132,True,True
133,8,7,Nia,133,133,133,133,133,133,133,133,True,True
134,8,8,Ari,134,134,134,134,134,134,134,134,True,True
135,8,9,Fay,135,135,135,135,135,135,135,135,True,True
136,8,10,Milo,136,136,136,136,136,136,136,136,True,True
137,8,11,Sera,137,137,137,137,137,137,137,137,True,True
138,8,12,Tovan,138,138,138,138,138,138,138,138,True,True
139,8,13,Nia,139,139,139,139,139,139,139,139,True,True
140,8,14,Ari,140,140,140,140,140,140,140,140,True,True
141,8,15,Fay,141,141,141,141,141,141,141,141,True,True
142,8,16,Milo,142,142,142,142,142,142,142,142,True,True
143,8,17,Sera,143,143,143,143,143,143,143,143,True,True
144,9,0,Tovan,144,144,144,144,144,144,144,144,True,True
145,9,1,Nia,145,145,145,145,145,145,145,145,True,True
146,9,2,Ari,146,146,146,146,146,146,146,146,True,True
147,9,3,Fay,147,147,147,147,147,147,147,147,True,True
148,9,4,Milo,148,148,148,148,148,148,148,148,True,True
149,9,5,Sera,149,149,149,149,149,149,149,149,True,True
150,9,6,Tovan,150,150,150,150,150,150,150,150,True,True
151,9,7,Nia,151,151,151,151,151,151,151,151,True,True
152,9,8,Ari,152,152,152,152,152,152,152,152,True,True
153,9,9,Fay,153,153,153,153,153,153,153,153,True,True
154,9,10,Milo,154,154,154,154,154,154,154,154,True,True
155,9,11,Sera,155,155,155,155,155,155,155,155,True,True
156,9,12,Tovan,156,156,156,156,156,156,156,156,True,True
157,9,13,Nia,157,157,157,157,157,157,157,157,True,True
158,9,14,Ari,158,158,158,158,158,158,158,158,True,True
159,9,15,Fay,159,159,159,159,159,159,159,159,True,True
160,9,16,Milo,160,160,160,160,160,160,160,160,True,True
161,9,17,Sera,161,161,161,161,161,161,161,161,True,True
162,10,0,Tovan,162,162,162,162,162,162,162,162,True,True
163,10,1,Nia,163,163,163,163,163,163,163,163,True,True
164,10,2,Ari,164,164,164,164,164,164,164,164,True,True
165,10,3,Fay,165,165,165,165,165,165,165,165,True,True
166,10,4,Milo,166,166,166,166,166,166,166,166,True,True
167,10,5,Sera,167,167,167,167,167,167,167,167,True,True
168,10,6,Tovan,168,168,168,168,168,168,168,168,True,True
169,10,7,Nia,169,169,169,169,169,169,169,169,True,True
170,10,8,Ari,170,170,170,170,170,170,170,170,True,True
171,10,9,Fay,171,171,171,171,171,171,171,171,True,True
172,10,10,Milo,172,172,172,172,172,172,172,172,True,True
173,10,11,Sera,173,173,173,173,173,173,173,173,True,True
174,10,12,Tovan,174,174,174,174,174,174,174,174,True,True
175,10,13,Nia,175,175,175,175,175,175,175,175,True,True
176,10,14,Ari,176,176,176,176,176,176,176,176,True,True
177,10,15,Fay,177,177,177,177,177,177,177,177,True,True
178,10,16,Milo,178,178,178,178,178,178,178,178,True,True
179,10,17,Sera,179,179,179,179,179,179,179,179,True,True
180,11,0,Tovan,180,180,180,180,180,180,180,180,True,True
181,11,1,Nia,181,181,181,181,181,181,181,181,True,True
182,11,2,Ari,182,182,182,182,182,182,182,182,True,True
183,11,3,Fay,183,183,183,183,183,183,183,183,True,True
184,11,4,Milo,184,184,184,184,184,184,184,184,True,True
185,11,5,Sera,185,185,185,185,185,185,185,185,True,True
186,11,6,Tovan,186,186,186,186,186,186,186,186,True,True
187,11,7,Nia,187,187,187,187,187,187,187,187,True,True
188,11,8,Ari,188,188,188,188,188,188,188,188,True,True
189,11,9,Fay,189,189,189,189,189,189,189,189,True,True
190,11,10,Milo,190,190,190,190,190,190,190,190,True,True
191,11,11,Sera,191,191,191,191,191,191,191,191,True,True
192,11,12,Tovan,192,192,192,192,192,192,192,192,True,True
193,11,13,Nia,193,193,193,193,193,193,193,193,True,True
194,11,14,Ari,194,194,194,194,194,194,194,194,True,True
195,11,15,Fay,195,195,195,195,195,195,195,195,True,True
196,11,16,Milo,196,196,196,196,196,196,196,196,True,True
197,11,17,Sera,197,197,197,197,197,197,197,197,True,True
198,12,0,Tovan,198,198,198,198,198,198,198,198,True,True
199,12,1,Nia,199,199,199,199,199,199,199,199,True,True
200,12,2,Ari,200,200,200,200,200,200,200,200,True,True
201,12,3,Fay,201,201,201,201,201,201,201,201,True,True
202,12,4,Milo,202,202,202,202,202,202,202,202,True,True
203,12,5,Sera,203,203,203,203,203,203,203,203,True,True
204,12,6,Tovan,204,204,204,204,204,204,204,204,True,True
205,12,7,Nia,205,205,205,205,205,205,205,205,True,True
206,12,8,Ari,206,206,206,206,206,206,206,206,True,True
207,12,9,Fay,207,207,207,207,207,207,207,207,True,True
208,12,10,Milo,208,208,208,208,208,208,208,208,True,True
209,12,11,Sera,209,209,209,209,209,209,209,209,True,True
210,12,12,Tovan,210,210,210,210,210,210,210,210,True,True
211,12,13,Nia,211,211,211,211,211,211,211,211,True,True
212,12,14,Ari,212,212,212,212,212,212,212,212,True,True
213,12,15,Fay,213,213,213,213,213,213,213,213,True,True
214,12,16,Milo,214,214,214,214,214,214,214,214,True,True
215,12,17,Sera,215,215,215,215,215,215,215,215,True,True
216,13,0,Tovan,216,216,216,216,216,216,216,216,True,True
217,13,1,Nia,217,217,217,217,217,217,217,217,True,True
218,13,2,Ari,218,218,218,218,218,218,218,218,True,True
219,13,3,Fay,219,219,219,219,219,219,219,219,True,True
220,13,4,Milo,220,220,220,220,220,220,220,220,True,True
221,13,5,Sera,221,221,221,221,221,221,221,221,True,True
222,13,6,Tovan,222,222,222,222,222,222,222,222,True,True
223,13,7,Nia,223,223,223,223,223,223,223,223,True,True
224,13,8,Ari,224,224,224,224,224,224,224,224,True,True
225,13,9,Fay,225,225,225,225,225,225,225,225,True,True
226,13,10,Milo,226,226,226,226,226,226,226,226,True,True
227,13,11,Sera,227,227,227,227,227,227,227,227,True,True
228,13,12,Tovan,228,228,228,228,228,228,228,228,True,True
229,13,13,Nia,229,229,229,229,229,229,229,229,True,True
230,13,14,Ari,230,230,230,230,230,230,230,230,True,True
231,13,15,Fay,231,231,231,231,231,231,231,231,True,True
232,13,16,Milo,232,232,232,232,232,232,232,232,True,True
233,13,17,Sera,233,233,233,233,233,233,233,233,True,True
234,14,0,Tovan,234,234,234,234,234,234,234,234,True,True
235,14,1,Nia,235,235,235,235,235,235,235,235,True,True
236,14,2,Ari,236,236,236,236,236,236,236,236,True,True
237,14,3,Fay,237,237,237,237,237,237,237,237,True,True
238,14,4,Milo,238,238,238,238,238,238,238,238,True,True
239,14,5,Sera,239,239,239,239,239,239,239,239,True,True
240,14,6,Tovan,240,240,240,240,240,240,240,240,True,True
241,14,7,Nia,241,241,241,241,241,241,241,241,True,True
242,14,8,Ari,242,242,242,242,242,242,242,242,True,True
243,14,9,Fay,243,243,243,243,243,243,243,243,True,True
244,14,10,Milo,244,244,244,244,244,244,244,244,True,True
245,14,11,Sera,245,245,245,245,245,245,245,245,True,True
246,14,12,Tovan,246,246,246,246,246,246,246,246,True,True
247,14,13,Nia,247,247,247,247,247,247,247,247,True,True
248,14,14,Ari,248,248,248,248,248,248,248,248,True,True
249,14,15,Fay,249,249,249,249,249,249,249,249,True,True
250,14,16,Milo,250,250,250,250,250,250,250,250,True,True
251,14,17,Sera,251,251,251,251,251,251,251,251,True,True
252,15,0,Tovan,252,252,252,252,252,252,252,252,True,True
253,15,1,Nia,253,253,253,253,253,253,253,253,True,True
254,15,2,Ari,254,254,254,254,254,254,254,254,True,True
255,15,3,Fay,255,255,255,255,255,255,255,255,True,True
256,15,4,Milo,256,256,256,256,256,256,256,256,True,True
257,15,5,Sera,257,257,257,257,257,257,257,257,True,True
258,15,6,Tovan,258,258,258,258,258,258,258,258,True,True
259,15,7,Nia,259,259,259,259,259,259,259,259,True,True
260,15,8,Ari,260,260,260,260,260,260,260,260,True,True
261,15,9,Fay,261,261,261,261,261,261,261,261,True,True
262,15,10,Milo,262,262,262,262,262,262,262,262,True,True
263,15,11,Sera,263,263,263,263,263,263,263,263,True,True
264,15,12,Tovan,264,264,264,264,264,264,264,264,True,True
265,15,13,Nia,265,265,265,265,265,265,265,265,True,True
266,15,14,Ari,266,266,266,266,266,266,266,266,True,True
267,15,15,Fay,267,267,267,267,267,267,267,267,True,True
268,15,16,Milo,268,268,268,268,268,268,268,268,True,True
269,15,17,Sera,269,269,269,269,269,269,269,269,True,True
270,16,0,Tovan,270,270,270,270,270,270,270,270,True,True
271,16,1,Nia,271,271,271,271,271,271,271,271,True,True
272,16,2,Ari,272,272,272,272,272,272,272,272,True,True
273,16,3,Fay,273,273,273,273,273,273,273,273,True,True
274,16,4,Milo,274,274,274,274,274,274,274,274,True,True
275,16,5,Sera,275,275,275,275,275,275,275,275,True,True
276,16,6,Tovan,276,276,276,276,276,276,276,276,True,True
277,16,7,Nia,277,277,277,277,277,277,277,277,True,True
278,16,8,Ari,278,278,278,278,278,278,278,278,True,True
279,16,9,Fay,279,279,279,279,279,279,279,279,True,True
280,16,10,Milo,280,280,280,280,280,280,280,280,True,True
281,16,11,Sera,281,281,281,281,281,281,281,281,True,True
282,16,12,Tovan,282,282,282,282,282,282,282,282,True,True
283,16,13,Nia,283,283,283,283,283,283,283,283,True,True
284,16,14,Ari,284,284,284,284,284,284,284,284,True,True
285,16,15,Fay,285,285,285,285,285,285,285,285,True,True
286,16,16,Milo,286,286,286,286,286,286,286,286,True,True
287,16,17,Sera,287,287,287,287,287,287,287,287,True,True
288,17,0,Tovan,288,288,288,288,288,288,288,288,True,True
289,17,1,Nia,289,289,289,289,289,289,289,289,True,True
290,17,2,Ari,290,290,290,290,290,290,290,290,True,True
291,17,3,Fay,291,291,291,291,291,291,291,291,True,True
292,17,4,Milo,292,292,292,292,292,292,292,292,True,True
293,17,5,Sera,293,293,293,293,293,293,293,293,True,True
294,17,6,Tovan,294,294,294,294,294,294,294,294,True,True
295,17,7,Nia,295,295,295,295,295,295,295,295,True,True
296,17,8,Ari,296,296,296,296,296,296,296,296,True,True
297,17,9,Fay,297,297,297,297,297,297,297,297,True,True
298,17,10,Milo,298,298,298,298,298,298,298,298,True,True
299,17,11,Sera,299,299,299,299,299,299,299,299,True,True
300,17,12,Tovan,300,300,300,300,300,300,300,300,True,True
301,17,13,Nia,301,301,301,301,301,301,301,301,True,True
302,17,14,Ari,302,302,302,302,302,302,302,302,True,True
303,17,15,Fay,303,303,303,303,303,303,303,303,True,True
304,17,16,Milo,304,304,304,304,304,304,304,304,True,True
305,17,17,Sera,305,305,305,305,305,305,305,305,True,True
306,18,0,Tovan,306,306,306,306,306,306,306,306,True,True
307,18,1,Nia,307,307,307,307,307,307,307,307,True,True
308,18,2,Ari,308,308,308,308,308,308,308,308,True,True
309,18,3,Fay,309,309,309,309,309,309,309,309,True,True
310,18,4,Milo,310,310,310,310,310,310,310,310,True,True
311,18,5,Sera,311,311,311,311,311,311,311,311,True,True
312,18,6,Tovan,312,312,312,312,312,312,312,312,True,True
313,18,7,Nia,313,313,313,313,313,313,313,313,True,True
314,18,8,Ari,314,314,314,314,314,314,314,314,True,True
315,18,9,Fay,315,315,315,315,315,315,315,315,True,True
316,18,10,Milo,316,316,316,316,316,316,316,316,True,True
317,18,11,Sera,317,317,317,317,317,317,317,317,True,True
318,18,12,Tovan,318,318,318,318,318,318,318,318,True,True
319,18,13,Nia,319,319,319,319,319,319,319,319,True,True
320,18,14,Ari,320,320,320,320,320,320,320,320,True,True
321,18,15,Fay,321,321,321,321,321,321,321,321,True,True
322,18,16,Milo,322,322,322,322,322,322,322,322,True,True
323,18,17,Sera,323,323,323,323,323,323,323,323,True,True
324,19,0,Tovan,324,324,324,324,324,324,324,324,True,True
325,19,1,Nia,325,325,325,325,325,325,325,325,True,True
326,19,2,Ari,326,326,326,326,326,326,326,326,True,True
327,19,3,Fay,327,327,327,327,327,327,327,327,True,True
328,19,4,Milo,328,328,328,328,328,328,328,328,True,True
329,19,5,Sera,329,329,329,329,329,329,329,329,True,True
330,19,6,Tovan,330,330,330,330,330,330,330,330,True,True
331,19,7,Nia,331,331,331,331,331,331,331,331,True,True
332,19,8,Ari,332,332,332,332,332,332,332,332,True,True
333,19,9,Fay,333,333,333,333,333,333,333,333,True,True
334,19,10,Milo,334,334,334,334,334,334,334,334,True,True
335,19,11,Sera,335,335,335,335,335,335,335,335,True,True
336,19,12,Tovan,336,336,336,336,336,336,336,336,True,True
337,19,13,Nia,337,337,337,337,337,337,337,337,True,True
338,19,14,Ari,338,338,338,338,338,338,338,338,True,True
339,19,15,Fay,339,339,339,339,339,339,339,339,True,True
340,19,16,Milo,340,340,340,340,340,340,340,340,True,True
341,19,17,Sera,341,341,341,341,341,341,341,341,True,True
342,20,0,Tovan,342,342,342,342,342,342,342,342,True,True
343,20,1,Nia,343,343,343,343,343,343,343,343,True,True
344,20,2,Ari,344,344,344,344,344,344,344,344,True,True
345,20,3,Fay,345,345,345,345,345,345,345,345,True,True
346,20,4,Milo,346,346,346,346,346,346,346,346,True,True
347,20,5,Sera,347,347,347,347,347,347,347,347,True,True
348,20,6,Tovan,348,348,348,348,348,348,348,348,True,True
349,20,7,Nia,349,349,349,349,349,349,349,349,True,True
350,20,8,Ari,350,350,350,350,350,350,350,350,True,True
351,20,9,Fay,351,351,351,351,351,351,351,351,True,True
352,20,10,Milo,352,352,352,352,352,352,352,352,True,True
353,20,11,Sera,353,353,353,353,353,353,353,353,True,True
354,20,12,Tovan,354,354,354,354,354,354,354,354,True,True
355,20,13,Nia,355,355,355,355,355,355,355,355,True,True
356,20,14,Ari,356,356,356,356,356,356,356,356,True,True
357,20,15,Fay,357,357,357,357,357,357,357,357,True,True
358,20,16,Milo,358,358,358,358,358,358,358,358,True,True
359,20,17,Sera,359,359,359,359,359,359,359,359,True,True
360,21,0,Tovan,360,360,360,360,360,360,360,360,True,True
361,21,1,Nia,361,361,361,361,361,361,361,361,True,True
362,21,2,Ari,362,362,362,362,362,362,362,362,True,True
363,21,3,Fay,363,363,363,363,363,363,363,363,True,True
364,21,4,Milo,364,364,364,364,364,364,364,364,True,True
365,21,5,Sera,365,365,365,365,365,365,365,365,True,True
366,21,6,Tovan,366,366,366,366,366,366,366,366,True,True
367,21,7,Nia,367,367,367,367,367,367,367,367,True,True
368,21,8,Ari,368,368,368,368,368,368,368,368,True,True
369,21,9,Fay,369,369,369,369,369,369,369,369,True,True
370,21,10,Milo,370,370,370,370,370,370,370,370,True,True
371,21,11,Sera,371,371,371,371,371,371,371,371,True,True
372,21,12,Tovan,372,372,372,372,372,372,372,372,True,True
373,21,13,Nia,373,373,373,373,373,373,373,373,True,True
374,21,14,Ari,374,374,374,374,374,374,374,374,True,True
375,21,15,Fay,375,375,375,375,375,375,375,375,True,True
376,21,16,Milo,376,376,376,376,376,376,376,376,True,True
377,21,17,Sera,377,377,377,377,377,377,377,377,True,True
378,22,0,Tovan,378,378,378,378,378,378,378,378,True,True
379,22,1,Nia,379,379,379,379,379,379,379,379,True,True
380,22,2,Ari,380,380,380,380,380,380,380,380,True,True
381,22,3,Fay,381,381,381,381,381,381,381,381,True,True
382,22,4,Milo,382,382,382,382,382,382,382,382,True,True
383,22,5,Sera,383,383,383,383,383,383,383,383,True,True
384,22,6,Tovan,384,384,384,384,384,384,384,384,True,True
385,22,7,Nia,385,385,385,385,385,385,385,385,True,True
386,22,8,Ari,386,386,386,386,386,386,386,386,True,True
387,22,9,Fay,387,387,387,387,387,387,387,387,True,True
388,22,10,Milo,388,388,388,388,388,388,388,388,True,True
389,22,11,Sera,389,389,389,389,389,389,389,389,True,True
390,22,12,Tovan,390,390,390,390,390,390,390,390,True,True
391,22,13,Nia,391,391,391,391,391,391,391,391,True,True
392,22,14,Ari,392,392,392,392,392,392,392,392,True,True
393,22,15,Fay,393,393,393,393,393,393,393,393,True,True
394,22,16,Milo,394,394,394,394,394,394,394,394,True,True
395,22,17,Sera,395,395,395,395,395,395,395,395,True,True
396,23,0,Tovan,396,396,396,396,396,396,396,396,True,True
397,23,1,Nia,397,397,397,397,397,397,397,397,True,True
398,23,2,Ari,398,398,398,398,398,398,398,398,True,True
399,23,3,Fay,399,399,399,399,399,399,399,399,True,True
400,23,4,Milo,400,400,400,400,400,400,400,400,True,True
401,23,5,Sera,401,401,401,401,401,401,401,401,True,True
402,23,6,Tovan,402,402,402,402,402,402,402,402,True,True
403,23,7,Nia,403,403,403,403,403,403,403,403,True,True
404,23,8,Ari,404,404,404,404,404,404,404,404,True,True
405,23,9,Fay,405,405,405,405,405,405,405,405,True,True
406,23,10,Milo,406,406,406,406,406,406,406,406,True,True
407,23,11,Sera,407,407,407,407,407,407,407,407,True,True
408,23,12,Tovan,408,408,408,408,408,408,408,408,True,True
409,23,13,Nia,409,409,409,409,409,409,409,409,True,True
410,23,14,Ari,410,410,410,410,410,410,410,410,True,True
411,23,15,Fay,411,411,411,411,411,411,411,411,True,True
412,23,16,Milo,412,412,412,412,412,412,412,412,True,True
413,23,17,Sera,413,413,413,413,413,413,413,413,True,True
414,24,0,Tovan,414,414,414,414,414,414,414,414,True,True
415,24,1,Nia,415,415,415,415,415,415,415,415,True,True
416,24,2,Ari,416,416,416,416,416,416,416,416,True,True
417,24,3,Fay,417,417,417,417,417,417,417,417,True,True
418,24,4,Milo,418,418,418,418,418,418,418,418,True,True
419,24,5,Sera,419,419,419,419,419,419,419,419,True,True
420,24,6,Tovan,420,420,420,420,420,420,420,420,True,True
421,24,7,Nia,421,421,421,421,421,421,421,421,True,True
422,24,8,Ari,422,422,422,422,422,422,422,422,True,True
423,24,9,Fay,423,423,423,423,423,423,423,423,True,True
424,24,10,Milo,424,424,424,424,424,424,424,424,True,True
425,24,11,Sera,425,425,425,425,425,425,425,425,True,True
426,24,12,Tovan,426,426,426,426,426,426,426,426,True,True
427,24,13,Nia,427,427,427,427,427,427,427,427,True,True
428,24,14,Ari,428,428,428,428,428,428,428,428,True,True
429,24,15,Fay,429,429,429,429,429,429,429,429,True,True
430,24,16,Milo,430,430,430,430,430,430,430,430,True,True
431,24,17,Sera,431,431,431,431,431,431,431,431,True,True
432,25,0,Tovan,432,432,432,432,432,432,432,432,True,True
433,25,1,Nia,433,433,433,433,433,433,433,433,True,True
434,25,2,Ari,434,434,434,434,434,434,434,434,True,True
435,25,3,Fay,435,435,435,435,435,435,435,435,True,True
436,25,4,Milo,436,436,436,436,436,436,436,436,True,True
437,25,5,Sera,437,437,437,437,437,437,437,437,True,True
438,25,6,Tovan,438,438,438,438,438,438,438,438,True,True
439,25,7,Nia,439,439,439,439,439,439,439,439,True,True
440,25,8,Ari,440,440,440,440,440,440,440,440,True,True
441,25,9,Fay,441,441,441,441,441,441,441,441,True,True
442,25,10,Milo,442,442,442,442,442,442,442,442,True,True
443,25,11,Sera,443,443,443,443,443,443,443,443,True,True
444,25,12,Tovan,444,444,444,444,444,444,444,444,True,True
445,25,13,Nia,445,445,445,445,445,445,445,445,True,True
446,25,14,Ari,446,446,446,446,446,446,446,446,True,True
447,25,15,Fay,447,447,447,447,447,447,447,447,True,True
448,25,16,Milo,448,448,448,448,448,448,448,448,True,True
449,25,17,Sera,449,449,449,449,449,449,449,449,True,True
450,26,0,Tovan,450,450,450,450,450,450,450,450,True,True
451,26,1,Nia,451,451,451,451,451,451,451,451,True,True
452,26,2,Ari,452,452,452,452,452,452,452,452,True,True
453,26,3,Fay,453,453,453,453,453,453,453,453,True,True
454,26,4,Milo,454,454,454,454,454,454,454,454,True,True
455,26,5,Sera,455,455,455,455,455,455,455,455,True,True
