tick_id,day,infrastructure_id,ecology_channel,level_before,infrastructure_effect,weather_effect,level_after,feedback_visible,care_action
103,6,river_mill_bridge,bank_stability,0.707224,0.0,-0.014,0.693224,True,none
104,6,roof_greenhouse_cistern,humidity,0.685922,0.013024,0.003,0.701946,True,none
105,6,archive_public_kiosk,notice_accuracy,0.66001,0.0,0.003,0.66301,False,none
106,6,dusk_signal_workshop,night_calm,0.755732,0.0,0.003,0.758732,False,none
107,6,river_mill_bridge,bank_stability,0.693224,0.0,0.003,0.696224,False,none
108,7,roof_greenhouse_cistern,humidity,0.701946,0.0,0.003,0.704946,False,none
109,7,archive_public_kiosk,notice_accuracy,0.66301,0.013306,0.003,0.679316,True,none
110,7,dusk_signal_workshop,night_calm,0.758732,0.013432,0.003,0.775164,True,none
111,7,river_mill_bridge,bank_stability,0.696224,0.012766,-0.014,0.69499,False,none
112,7,roof_greenhouse_cistern,humidity,0.704946,0.0,0.003,0.707946,False,none
113,7,archive_public_kiosk,notice_accuracy,0.679316,0.01336,0.003,0.695676,True,none
114,7,dusk_signal_workshop,night_calm,0.775164,0.0,0.003,0.778164,False,none
115,7,river_mill_bridge,bank_stability,0.69499,0.0,0.003,0.69799,False,none
116,7,roof_greenhouse_cistern,humidity,0.707946,0.013102,0.003,0.724048,True,none
117,7,archive_public_kiosk,notice_accuracy,0.695676,0.0,0.003,0.698676,False,none
118,7,dusk_signal_workshop,night_calm,0.778164,0.013498,0.003,0.794662,True,none
119,7,river_mill_bridge,bank_stability,0.69799,0.012832,-0.014,0.696822,False,none
120,7,roof_greenhouse_cistern,humidity,0.724048,0.031156,0.003,0.758204,True,bank clearing / humidity vent / notice copy / dim relay
121,7,archive_public_kiosk,notice_accuracy,0.698676,0.0,0.003,0.701676,False,none
122,7,dusk_signal_workshop,night_calm,0.794662,0.013552,0.003,0.811214,True,none
123,7,river_mill_bridge,bank_stability,0.696822,0.0,0.003,0.699822,False,none
124,7,roof_greenhouse_cistern,humidity,0.758204,0.0,-0.01,0.748204,True,none
125,7,archive_public_kiosk,notice_accuracy,0.701676,0.0,0.003,0.704676,False,none
126,8,river_mill_bridge,bank_stability,0.699822,0.0,0.003,0.702822,False,none
127,8,roof_greenhouse_cistern,humidity,0.748204,0.013222,0.003,0.764426,True,none
128,8,archive_public_kiosk,notice_accuracy,0.704676,0.01345,0.003,0.721126,True,none
129,8,dusk_signal_workshop,night_calm,0.811214,0.0,0.003,0.814214,False,none
130,8,river_mill_bridge,bank_stability,0.702822,0.0,0.003,0.705822,False,none
131,8,roof_greenhouse_cistern,humidity,0.764426,0.013276,0.003,0.780702,True,none
132,8,archive_public_kiosk,notice_accuracy,0.721126,0.0,0.003,0.724126,False,none
133,8,dusk_signal_workshop,night_calm,0.814214,0.0,0.003,0.817214,False,none
134,8,river_mill_bridge,bank_stability,0.705822,0.012922,0.003,0.721744,True,none
135,8,roof_greenhouse_cistern,humidity,0.780702,0.0,-0.01,0.770702,True,none
136,8,archive_public_kiosk,notice_accuracy,0.724126,0.013516,0.003,0.740642,True,none
137,8,dusk_signal_workshop,night_calm,0.817214,0.01363,0.003,0.833844,True,none
138,8,river_mill_bridge,bank_stability,0.721744,0.012976,0.003,0.73772,True,none
139,8,roof_greenhouse_cistern,humidity,0.770702,0.0,0.003,0.773702,False,none
140,8,archive_public_kiosk,notice_accuracy,0.740642,0.01357,0.003,0.757212,True,none
141,8,dusk_signal_workshop,night_calm,0.833844,0.0,0.003,0.836844,False,none
142,8,river_mill_bridge,bank_stability,0.73772,0.0,0.003,0.74072,False,none
143,8,roof_greenhouse_cistern,humidity,0.773702,0.0,0.003,0.776702,False,none
144,9,archive_public_kiosk,notice_accuracy,0.757212,0.0,0.003,0.760212,False,none
145,9,dusk_signal_workshop,night_calm,0.836844,0.0,0.003,0.839844,False,none
146,9,river_mill_bridge,bank_stability,0.74072,0.013042,-0.01,0.743762,False,none
147,9,roof_greenhouse_cistern,humidity,0.776702,0.0,0.003,0.779702,False,none
148,9,archive_public_kiosk,notice_accuracy,0.760212,0.0,0.003,0.763212,False,none
149,9,dusk_signal_workshop,night_calm,0.839844,0.013708,0.003,0.856552,True,none
150,9,river_mill_bridge,bank_stability,0.743762,0.0,0.003,0.746762,False,none
151,9,roof_greenhouse_cistern,humidity,0.779702,0.0,0.003,0.782702,False,none
152,9,archive_public_kiosk,notice_accuracy,0.763212,0.013648,0.003,0.77986,True,none
153,9,dusk_signal_workshop,night_calm,0.856552,0.0,0.003,0.859552,False,none
154,9,river_mill_bridge,bank_stability,0.746762,0.0,-0.014,0.732762,True,none
155,9,roof_greenhouse_cistern,humidity,0.782702,0.01339,0.003,0.799092,True,none
156,9,archive_public_kiosk,notice_accuracy,0.77986,0.0,0.003,0.78286,False,none
157,9,dusk_signal_workshop,night_calm,0.859552,0.0,0.003,0.862552,False,none
158,9,river_mill_bridge,bank_stability,0.732762,-0.035,0.003,0.700762,True,none
159,9,roof_greenhouse_cistern,humidity,0.799092,0.0,-0.01,0.789092,True,none
160,9,archive_public_kiosk,notice_accuracy,0.78286,0.0,0.003,0.78586,False,none
161,9,dusk_signal_workshop,night_calm,0.862552,0.0,0.003,0.865552,False,none
162,10,river_mill_bridge,bank_stability,0.700762,0.013174,-0.014,0.699936,False,none
163,10,roof_greenhouse_cistern,humidity,0.789092,0.0,0.003,0.792092,False,none
164,10,archive_public_kiosk,notice_accuracy,0.78586,0.013726,0.003,0.802586,True,none
165,10,dusk_signal_workshop,night_calm,0.865552,0.0,0.003,0.868552,False,none
166,10,river_mill_bridge,bank_stability,0.699936,0.0,0.003,0.702936,False,none
167,10,roof_greenhouse_cistern,humidity,0.792092,0.013468,0.003,0.80856,True,none
168,10,archive_public_kiosk,notice_accuracy,0.802586,0.0,0.003,0.805586,False,none
169,10,dusk_signal_workshop,night_calm,0.868552,0.01381,0.003,0.885362,True,none
170,10,river_mill_bridge,bank_stability,0.702936,0.01324,-0.014,0.702176,False,none
171,10,roof_greenhouse_cistern,humidity,0.80856,0.013522,0.003,0.825082,True,none
172,10,archive_public_kiosk,notice_accuracy,0.805586,0.0,0.003,0.808586,False,none
173,10,dusk_signal_workshop,night_calm,0.885362,0.013864,0.003,0.902226,True,none
174,10,river_mill_bridge,bank_stability,0.702176,0.0,0.003,0.705176,False,none
175,10,roof_greenhouse_cistern,humidity,0.825082,0.0,0.003,0.828082,False,none
176,10,archive_public_kiosk,notice_accuracy,0.808586,0.013804,0.003,0.82539,True,none
177,10,dusk_signal_workshop,night_calm,0.902226,0.0,0.003,0.905226,False,none
178,10,river_mill_bridge,bank_stability,0.705176,0.0,0.003,0.708176,False,none
179,10,roof_greenhouse_cistern,humidity,0.828082,0.0,0.003,0.831082,False,none
180,11,archive_public_kiosk,notice_accuracy,0.82539,0.0,0.003,0.82839,False,none
181,11,dusk_signal_workshop,night_calm,0.905226,0.0,-0.01,0.895226,True,none
182,11,river_mill_bridge,bank_stability,0.708176,0.013318,0.003,0.724494,True,none
183,11,roof_greenhouse_cistern,humidity,0.831082,0.0,0.003,0.834082,False,none
184,11,archive_public_kiosk,notice_accuracy,0.82839,0.0,0.003,0.83139,False,none
185,11,dusk_signal_workshop,night_calm,0.895226,0.013942,0.003,0.912168,True,none
186,11,river_mill_bridge,bank_stability,0.724494,0.0,0.003,0.727494,False,none
187,11,roof_greenhouse_cistern,humidity,0.834082,0.0,0.003,0.837082,False,none
188,11,archive_public_kiosk,notice_accuracy,0.83139,0.013882,0.003,0.848272,True,none
189,11,dusk_signal_workshop,night_calm,0.912168,0.0,0.003,0.915168,False,none
190,11,river_mill_bridge,bank_stability,0.727494,0.0,0.003,0.730494,False,none
191,11,roof_greenhouse_cistern,humidity,0.837082,0.013624,0.003,0.853706,True,none
192,11,archive_public_kiosk,notice_accuracy,0.848272,0.018,0.003,0.869272,True,bank clearing / humidity vent / notice copy / dim relay
193,11,dusk_signal_workshop,night_calm,0.915168,0.0,0.003,0.918168,False,none
194,11,river_mill_bridge,bank_stability,0.730494,0.013396,-0.01,0.73389,False,none
195,11,roof_greenhouse_cistern,humidity,0.853706,0.0,0.003,0.856706,False,none
196,11,archive_public_kiosk,notice_accuracy,0.869272,0.0,0.003,0.872272,False,none
197,11,dusk_signal_workshop,night_calm,0.918168,0.0,0.003,0.92,False,none
198,12,roof_greenhouse_cistern,humidity,0.856706,0.0,0.003,0.859706,False,none
199,12,archive_public_kiosk,notice_accuracy,0.872272,0.0,0.003,0.875272,False,none
200,12,dusk_signal_workshop,night_calm,0.92,0.014032,0.003,0.92,False,none
201,12,river_mill_bridge,bank_stability,0.73389,0.018,0.003,0.75489,True,bank clearing / humidity vent / notice copy / dim relay
202,12,roof_greenhouse_cistern,humidity,0.859706,0.0,0.003,0.862706,False,none
203,12,archive_public_kiosk,notice_accuracy,0.875272,0.013972,0.003,0.892244,True,none
204,12,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
205,12,river_mill_bridge,bank_stability,0.75489,0.0,-0.014,0.74089,True,none
206,12,roof_greenhouse_cistern,humidity,0.862706,0.013714,0.003,0.87942,True,none
207,12,archive_public_kiosk,notice_accuracy,0.892244,0.0,0.003,0.895244,False,none
208,12,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
209,12,river_mill_bridge,bank_stability,0.74089,0.013474,0.003,0.757364,True,none
210,12,roof_greenhouse_cistern,humidity,0.87942,0.0,0.003,0.88242,False,none
211,12,archive_public_kiosk,notice_accuracy,0.895244,0.0,0.003,0.898244,False,none
212,12,dusk_signal_workshop,night_calm,0.92,-0.035,0.003,0.888,True,none
213,12,river_mill_bridge,bank_stability,0.757364,0.0,-0.014,0.743364,True,none
214,12,roof_greenhouse_cistern,humidity,0.88242,0.0,0.003,0.88542,False,none
215,12,archive_public_kiosk,notice_accuracy,0.898244,0.0,0.003,0.901244,False,none
216,13,dusk_signal_workshop,night_calm,0.888,0.0,-0.01,0.878,True,none
217,13,river_mill_bridge,bank_stability,0.743364,0.0,0.003,0.746364,False,none
218,13,roof_greenhouse_cistern,humidity,0.88542,0.013792,0.003,0.902212,True,none
219,13,archive_public_kiosk,notice_accuracy,0.901244,0.0,0.003,0.904244,False,none
220,13,dusk_signal_workshop,night_calm,0.878,0.014176,0.003,0.895176,True,none
221,13,river_mill_bridge,bank_stability,0.746364,0.013552,-0.014,0.745916,False,none
222,13,roof_greenhouse_cistern,humidity,0.902212,0.013846,0.003,0.919058,True,none
223,13,archive_public_kiosk,notice_accuracy,0.904244,0.0,0.003,0.907244,False,none
224,13,dusk_signal_workshop,night_calm,0.895176,0.01423,0.003,0.912406,True,none
225,13,river_mill_bridge,bank_stability,0.745916,0.0,0.003,0.748916,False,none
226,13,roof_greenhouse_cistern,humidity,0.919058,0.0,0.003,0.92,False,none
227,13,archive_public_kiosk,notice_accuracy,0.907244,0.014086,0.003,0.92,True,none
228,13,dusk_signal_workshop,night_calm,0.912406,0.0,0.003,0.915406,False,none
229,13,river_mill_bridge,bank_stability,0.748916,0.0,-0.01,0.738916,True,none
230,13,roof_greenhouse_cistern,humidity,0.92,0.013912,0.003,0.92,False,none
231,13,archive_public_kiosk,notice_accuracy,0.92,0.01414,0.003,0.92,False,none
232,13,dusk_signal_workshop,night_calm,0.915406,0.0,0.003,0.918406,False,none
233,13,river_mill_bridge,bank_stability,0.738916,0.01363,0.003,0.755546,True,none
234,14,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
235,14,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
236,14,dusk_signal_workshop,night_calm,0.918406,0.014308,0.003,0.92,False,none
237,14,river_mill_bridge,bank_stability,0.755546,0.0,0.003,0.758546,False,none
238,14,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
239,14,archive_public_kiosk,notice_accuracy,0.92,-0.035,0.003,0.888,True,none
240,14,dusk_signal_workshop,night_calm,0.92,0.0,-0.01,0.91,True,none
241,14,river_mill_bridge,bank_stability,0.758546,0.0,0.003,0.761546,False,none
242,14,roof_greenhouse_cistern,humidity,0.92,0.01399,0.003,0.92,False,none
243,14,archive_public_kiosk,notice_accuracy,0.888,0.0,0.003,0.891,False,none
244,14,dusk_signal_workshop,night_calm,0.91,0.0,0.003,0.913,False,none
245,14,river_mill_bridge,bank_stability,0.761546,0.013708,0.003,0.778254,True,none
246,14,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
247,14,archive_public_kiosk,notice_accuracy,0.891,0.0,0.003,0.894,False,none
248,14,dusk_signal_workshop,night_calm,0.913,0.014386,0.003,0.92,True,none
249,14,river_mill_bridge,bank_stability,0.778254,0.0,0.003,0.781254,False,none
250,14,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
251,14,archive_public_kiosk,notice_accuracy,0.894,0.0,0.003,0.897,False,none
252,15,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
253,15,river_mill_bridge,bank_stability,0.781254,0.0,0.003,0.784254,False,none
254,15,roof_greenhouse_cistern,humidity,0.92,0.014068,0.003,0.92,False,none
255,15,archive_public_kiosk,notice_accuracy,0.897,0.014296,0.003,0.914296,True,none
256,15,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
257,15,river_mill_bridge,bank_stability,0.784254,0.013786,0.003,0.80104,True,none
258,15,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
259,15,archive_public_kiosk,notice_accuracy,0.914296,0.0,0.003,0.917296,False,none
260,15,dusk_signal_workshop,night_calm,0.92,0.014464,0.003,0.92,False,none
261,15,river_mill_bridge,bank_stability,0.80104,0.0,0.003,0.80404,False,none
262,15,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
263,15,archive_public_kiosk,notice_accuracy,0.917296,0.014362,0.003,0.92,False,none
264,15,dusk_signal_workshop,night_calm,0.92,0.032518,0.003,0.92,False,bank clearing / humidity vent / notice copy / dim relay
265,15,river_mill_bridge,bank_stability,0.80404,0.0,-0.014,0.79004,True,none
266,15,roof_greenhouse_cistern,humidity,0.92,0.014146,0.003,0.92,False,none
267,15,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
268,15,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
269,15,river_mill_bridge,bank_stability,0.79004,0.0,0.003,0.79304,False,none
270,16,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
271,16,dusk_signal_workshop,night_calm,0.92,0.014584,0.003,0.92,False,none
272,16,river_mill_bridge,bank_stability,0.79304,0.013876,-0.014,0.792916,False,none
273,16,roof_greenhouse_cistern,humidity,0.92,0.0322,0.003,0.92,False,bank clearing / humidity vent / notice copy / dim relay
274,16,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
275,16,dusk_signal_workshop,night_calm,0.92,0.014638,-0.01,0.92,False,none
276,16,river_mill_bridge,bank_stability,0.792916,0.0,0.003,0.795916,False,none
277,16,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
278,16,archive_public_kiosk,notice_accuracy,0.92,0.014452,0.003,0.92,False,none
279,16,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
280,16,river_mill_bridge,bank_stability,0.795916,0.0,0.003,0.798916,False,none
281,16,roof_greenhouse_cistern,humidity,0.92,-0.035,0.003,0.888,True,none
282,16,archive_public_kiosk,notice_accuracy,0.92,0.014506,0.003,0.92,False,none
283,16,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
284,16,river_mill_bridge,bank_stability,0.798916,0.013954,0.003,0.81587,True,none
285,16,roof_greenhouse_cistern,humidity,0.888,0.0,0.003,0.891,False,none
286,16,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
287,16,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
288,17,river_mill_bridge,bank_stability,0.81587,0.0,0.003,0.81887,False,none
289,17,roof_greenhouse_cistern,humidity,0.891,0.0,0.003,0.894,False,none
290,17,archive_public_kiosk,notice_accuracy,0.92,0.014572,0.003,0.92,False,none
291,17,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
292,17,river_mill_bridge,bank_stability,0.81887,0.0,0.003,0.82187,False,none
293,17,roof_greenhouse_cistern,humidity,0.894,0.014344,0.003,0.911344,True,none
294,17,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
295,17,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
296,17,river_mill_bridge,bank_stability,0.82187,0.014032,0.003,0.838902,True,none
297,17,roof_greenhouse_cistern,humidity,0.911344,0.0,0.003,0.914344,False,none
298,17,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
299,17,dusk_signal_workshop,night_calm,0.92,0.014752,0.003,0.92,False,none
300,17,river_mill_bridge,bank_stability,0.838902,0.0,0.003,0.841902,False,none
301,17,roof_greenhouse_cistern,humidity,0.914344,0.0,0.003,0.917344,False,none
302,17,archive_public_kiosk,notice_accuracy,0.92,0.01465,0.003,0.92,False,none
303,17,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
304,17,river_mill_bridge,bank_stability,0.841902,0.0,0.003,0.844902,False,none
305,17,roof_greenhouse_cistern,humidity,0.917344,0.0,0.003,0.92,False,none
306,18,archive_public_kiosk,notice_accuracy,0.92,0.014704,0.003,0.92,False,none
307,18,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
308,18,river_mill_bridge,bank_stability,0.844902,0.01411,0.003,0.862012,True,none
309,18,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
310,18,archive_public_kiosk,notice_accuracy,0.92,0.0,-0.01,0.91,True,none
311,18,dusk_signal_workshop,night_calm,0.92,0.01483,0.003,0.92,False,none
312,18,river_mill_bridge,bank_stability,0.862012,0.0,0.003,0.865012,False,none
313,18,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
314,18,archive_public_kiosk,notice_accuracy,0.91,0.01477,0.003,0.92,True,none
315,18,dusk_signal_workshop,night_calm,0.92,0.014884,0.003,0.92,False,none
316,18,river_mill_bridge,bank_stability,0.865012,0.0,-0.014,0.851012,True,none
317,18,roof_greenhouse_cistern,humidity,0.92,0.014458,0.003,0.92,False,none
318,18,archive_public_kiosk,notice_accuracy,0.92,0.0,0.003,0.92,False,none
319,18,dusk_signal_workshop,night_calm,0.92,0.0,0.003,0.92,False,none
320,18,river_mill_bridge,bank_stability,0.851012,-0.035,0.003,0.819012,True,none
321,18,roof_greenhouse_cistern,humidity,0.92,0.0,0.003,0.92,False,none
