episode_id,agent,consequence_type,immediate_response,later_response,allowed_by_sleep,allowed_by_boundary,allowed_by_relationship,consequence_strength
88,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
89,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
90,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
91,Milo,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
92,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
93,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
94,Fay,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
95,Milo,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
96,Sol,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
97,Ari,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
98,Fay,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
99,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
100,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
101,Ari,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
102,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
103,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
104,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
105,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
106,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
107,Milo,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
108,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
109,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
110,Fay,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
111,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
112,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
113,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
114,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
115,Milo,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
116,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
117,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
118,Fay,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
119,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
120,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
121,Ari,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
122,Fay,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
123,Milo,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
124,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
125,Ari,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
126,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
127,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
128,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
129,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
130,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
131,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
132,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
133,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
134,Fay,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
135,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
136,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
137,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
138,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
139,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
140,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
141,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
142,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
143,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
144,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
145,Ari,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
146,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
147,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
148,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
149,Ari,language_teaching_entry,teaches a local word variant,uses drifted token in later greeting,True,True,True,1.0
150,Fay,sleep_blocked_entry,I need sleep before that. Ask after recovery.,returns after rest if trust holds,False,True,True,0.78
151,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
152,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
153,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
154,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
155,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
156,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
157,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
158,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
159,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
160,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
161,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
162,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
163,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
164,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
165,Ari,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
166,Fay,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
167,Milo,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
168,Sol,routine_respecting_entry,accepts avatar inside current routine,routine adapts slightly next week,True,True,True,1.0
