tick,day,resident,schedule_key,memory_key,debt_key,consequence_key,snapshot_key,index_lookup,resident_filterable,crosslinks_complete
33,2,Milo,schedule:milo:d002:s15,milo:tool_loan:audit:d002:s15,debt:tool_loan:milo,cause:borrow_tool:resident:Milo:tick:00033,ssrm:v59:audit:snapshot:d002:t00033,resident=Milo|tick=33|memory=milo:tool_loan:audit:d002:s15|debt=debt:tool_loan:milo,True,True
34,2,Sera,schedule:sera:d002:s16,sera:repair_promise:audit:d002:s16,debt:repair_promise:sera,cause:return_tool:resident:Sera:tick:00034,ssrm:v59:audit:snapshot:d002:t00034,resident=Sera|tick=34|memory=sera:repair_promise:audit:d002:s16|debt=debt:repair_promise:sera,True,True
35,2,Tovan,schedule:tovan:d002:s17,tovan:care_favor:audit:d002:s17,debt:care_favor:tovan,cause:interrupt_work:resident:Tovan:tick:00035,ssrm:v59:audit:snapshot:d002:t00035,resident=Tovan|tick=35|memory=tovan:care_favor:audit:d002:s17|debt=debt:care_favor:tovan,True,True
36,3,Nia,schedule:nia:d003:s00,nia:tool_loan:audit:d003:s00,debt:tool_loan:nia,cause:repair_trust:resident:Nia:tick:00036,ssrm:v59:audit:snapshot:d003:t00036,resident=Nia|tick=36|memory=nia:tool_loan:audit:d003:s00|debt=debt:tool_loan:nia,True,True
37,3,Ari,schedule:ari:d003:s01,ari:repair_promise:audit:d003:s01,debt:repair_promise:ari,cause:move:resident:Ari:tick:00037,ssrm:v59:audit:snapshot:d003:t00037,resident=Ari|tick=37|memory=ari:repair_promise:audit:d003:s01|debt=debt:repair_promise:ari,True,True
38,3,Fay,schedule:fay:d003:s02,fay:care_favor:audit:d003:s02,debt:care_favor:fay,cause:talk:resident:Fay:tick:00038,ssrm:v59:audit:snapshot:d003:t00038,resident=Fay|tick=38|memory=fay:care_favor:audit:d003:s02|debt=debt:care_favor:fay,True,True
39,3,Milo,schedule:milo:d003:s03,milo:tool_loan:audit:d003:s03,debt:tool_loan:milo,cause:offer_help:resident:Milo:tick:00039,ssrm:v59:audit:snapshot:d003:t00039,resident=Milo|tick=39|memory=milo:tool_loan:audit:d003:s03|debt=debt:tool_loan:milo,True,True
40,3,Sera,schedule:sera:d003:s04,sera:repair_promise:audit:d003:s04,debt:repair_promise:sera,cause:borrow_tool:resident:Sera:tick:00040,ssrm:v59:audit:snapshot:d003:t00040,resident=Sera|tick=40|memory=sera:repair_promise:audit:d003:s04|debt=debt:repair_promise:sera,True,True
41,3,Tovan,schedule:tovan:d003:s05,tovan:care_favor:audit:d003:s05,debt:care_favor:tovan,cause:return_tool:resident:Tovan:tick:00041,ssrm:v59:audit:snapshot:d003:t00041,resident=Tovan|tick=41|memory=tovan:care_favor:audit:d003:s05|debt=debt:care_favor:tovan,True,True
42,3,Nia,schedule:nia:d003:s06,nia:tool_loan:audit:d003:s06,debt:tool_loan:nia,cause:interrupt_work:resident:Nia:tick:00042,ssrm:v59:audit:snapshot:d003:t00042,resident=Nia|tick=42|memory=nia:tool_loan:audit:d003:s06|debt=debt:tool_loan:nia,True,True
43,3,Ari,schedule:ari:d003:s07,ari:repair_promise:audit:d003:s07,debt:repair_promise:ari,cause:wait_offscreen:resident:Ari:tick:00043,ssrm:v59:audit:snapshot:d003:t00043,resident=Ari|tick=43|memory=ari:repair_promise:audit:d003:s07|debt=debt:repair_promise:ari,True,True
44,3,Fay,schedule:fay:d003:s08,fay:care_favor:audit:d003:s08,debt:care_favor:fay,cause:repair_trust:resident:Fay:tick:00044,ssrm:v59:audit:snapshot:d003:t00044,resident=Fay|tick=44|memory=fay:care_favor:audit:d003:s08|debt=debt:care_favor:fay,True,True
45,3,Milo,schedule:milo:d003:s09,milo:tool_loan:audit:d003:s09,debt:tool_loan:milo,cause:move:resident:Milo:tick:00045,ssrm:v59:audit:snapshot:d003:t00045,resident=Milo|tick=45|memory=milo:tool_loan:audit:d003:s09|debt=debt:tool_loan:milo,True,True
46,3,Sera,schedule:sera:d003:s10,sera:repair_promise:audit:d003:s10,debt:repair_promise:sera,cause:talk:resident:Sera:tick:00046,ssrm:v59:audit:snapshot:d003:t00046,resident=Sera|tick=46|memory=sera:repair_promise:audit:d003:s10|debt=debt:repair_promise:sera,True,True
47,3,Tovan,schedule:tovan:d003:s11,tovan:care_favor:audit:d003:s11,debt:care_favor:tovan,cause:offer_help:resident:Tovan:tick:00047,ssrm:v59:audit:snapshot:d003:t00047,resident=Tovan|tick=47|memory=tovan:care_favor:audit:d003:s11|debt=debt:care_favor:tovan,True,True
48,3,Nia,schedule:nia:d003:s12,nia:tool_loan:audit:d003:s12,debt:tool_loan:nia,cause:borrow_tool:resident:Nia:tick:00048,ssrm:v59:audit:snapshot:d003:t00048,resident=Nia|tick=48|memory=nia:tool_loan:audit:d003:s12|debt=debt:tool_loan:nia,True,True
49,3,Ari,schedule:ari:d003:s13,ari:repair_promise:audit:d003:s13,debt:repair_promise:ari,cause:return_tool:resident:Ari:tick:00049,ssrm:v59:audit:snapshot:d003:t00049,resident=Ari|tick=49|memory=ari:repair_promise:audit:d003:s13|debt=debt:repair_promise:ari,True,True
50,3,Fay,schedule:fay:d003:s14,fay:care_favor:audit:d003:s14,debt:care_favor:fay,cause:interrupt_work:resident:Fay:tick:00050,ssrm:v59:audit:snapshot:d003:t00050,resident=Fay|tick=50|memory=fay:care_favor:audit:d003:s14|debt=debt:care_favor:fay,True,True
51,3,Milo,schedule:milo:d003:s15,milo:tool_loan:audit:d003:s15,debt:tool_loan:milo,cause:wait_offscreen:resident:Milo:tick:00051,ssrm:v59:audit:snapshot:d003:t00051,resident=Milo|tick=51|memory=milo:tool_loan:audit:d003:s15|debt=debt:tool_loan:milo,True,True
52,3,Sera,schedule:sera:d003:s16,sera:repair_promise:audit:d003:s16,debt:repair_promise:sera,cause:repair_trust:resident:Sera:tick:00052,ssrm:v59:audit:snapshot:d003:t00052,resident=Sera|tick=52|memory=sera:repair_promise:audit:d003:s16|debt=debt:repair_promise:sera,True,True
53,3,Tovan,schedule:tovan:d003:s17,tovan:care_favor:audit:d003:s17,debt:care_favor:tovan,cause:move:resident:Tovan:tick:00053,ssrm:v59:audit:snapshot:d003:t00053,resident=Tovan|tick=53|memory=tovan:care_favor:audit:d003:s17|debt=debt:care_favor:tovan,True,True
54,4,Nia,schedule:nia:d004:s00,nia:tool_loan:audit:d004:s00,debt:tool_loan:nia,cause:offer_help:resident:Nia:tick:00054,ssrm:v59:audit:snapshot:d004:t00054,resident=Nia|tick=54|memory=nia:tool_loan:audit:d004:s00|debt=debt:tool_loan:nia,True,True
55,4,Ari,schedule:ari:d004:s01,ari:repair_promise:audit:d004:s01,debt:repair_promise:ari,cause:borrow_tool:resident:Ari:tick:00055,ssrm:v59:audit:snapshot:d004:t00055,resident=Ari|tick=55|memory=ari:repair_promise:audit:d004:s01|debt=debt:repair_promise:ari,True,True
56,4,Fay,schedule:fay:d004:s02,fay:care_favor:audit:d004:s02,debt:care_favor:fay,cause:return_tool:resident:Fay:tick:00056,ssrm:v59:audit:snapshot:d004:t00056,resident=Fay|tick=56|memory=fay:care_favor:audit:d004:s02|debt=debt:care_favor:fay,True,True
57,4,Milo,schedule:milo:d004:s03,milo:tool_loan:audit:d004:s03,debt:tool_loan:milo,cause:interrupt_work:resident:Milo:tick:00057,ssrm:v59:audit:snapshot:d004:t00057,resident=Milo|tick=57|memory=milo:tool_loan:audit:d004:s03|debt=debt:tool_loan:milo,True,True
58,4,Sera,schedule:sera:d004:s04,sera:repair_promise:audit:d004:s04,debt:repair_promise:sera,cause:wait_offscreen:resident:Sera:tick:00058,ssrm:v59:audit:snapshot:d004:t00058,resident=Sera|tick=58|memory=sera:repair_promise:audit:d004:s04|debt=debt:repair_promise:sera,True,True
59,4,Tovan,schedule:tovan:d004:s05,tovan:care_favor:audit:d004:s05,debt:care_favor:tovan,cause:repair_trust:resident:Tovan:tick:00059,ssrm:v59:audit:snapshot:d004:t00059,resident=Tovan|tick=59|memory=tovan:care_favor:audit:d004:s05|debt=debt:care_favor:tovan,True,True
60,4,Nia,schedule:nia:d004:s06,nia:tool_loan:audit:d004:s06,debt:tool_loan:nia,cause:move:resident:Nia:tick:00060,ssrm:v59:audit:snapshot:d004:t00060,resident=Nia|tick=60|memory=nia:tool_loan:audit:d004:s06|debt=debt:tool_loan:nia,True,True
61,4,Ari,schedule:ari:d004:s07,ari:repair_promise:audit:d004:s07,debt:repair_promise:ari,cause:talk:resident:Ari:tick:00061,ssrm:v59:audit:snapshot:d004:t00061,resident=Ari|tick=61|memory=ari:repair_promise:audit:d004:s07|debt=debt:repair_promise:ari,True,True
62,4,Fay,schedule:fay:d004:s08,fay:care_favor:audit:d004:s08,debt:care_favor:fay,cause:offer_help:resident:Fay:tick:00062,ssrm:v59:audit:snapshot:d004:t00062,resident=Fay|tick=62|memory=fay:care_favor:audit:d004:s08|debt=debt:care_favor:fay,True,True
63,4,Milo,schedule:milo:d004:s09,milo:tool_loan:audit:d004:s09,debt:tool_loan:milo,cause:borrow_tool:resident:Milo:tick:00063,ssrm:v59:audit:snapshot:d004:t00063,resident=Milo|tick=63|memory=milo:tool_loan:audit:d004:s09|debt=debt:tool_loan:milo,True,True
64,4,Sera,schedule:sera:d004:s10,sera:repair_promise:audit:d004:s10,debt:repair_promise:sera,cause:return_tool:resident:Sera:tick:00064,ssrm:v59:audit:snapshot:d004:t00064,resident=Sera|tick=64|memory=sera:repair_promise:audit:d004:s10|debt=debt:repair_promise:sera,True,True
65,4,Tovan,schedule:tovan:d004:s11,tovan:care_favor:audit:d004:s11,debt:care_favor:tovan,cause:interrupt_work:resident:Tovan:tick:00065,ssrm:v59:audit:snapshot:d004:t00065,resident=Tovan|tick=65|memory=tovan:care_favor:audit:d004:s11|debt=debt:care_favor:tovan,True,True
66,4,Nia,schedule:nia:d004:s12,nia:tool_loan:audit:d004:s12,debt:tool_loan:nia,cause:wait_offscreen:resident:Nia:tick:00066,ssrm:v59:audit:snapshot:d004:t00066,resident=Nia|tick=66|memory=nia:tool_loan:audit:d004:s12|debt=debt:tool_loan:nia,True,True
67,4,Ari,schedule:ari:d004:s13,ari:repair_promise:audit:d004:s13,debt:repair_promise:ari,cause:repair_trust:resident:Ari:tick:00067,ssrm:v59:audit:snapshot:d004:t00067,resident=Ari|tick=67|memory=ari:repair_promise:audit:d004:s13|debt=debt:repair_promise:ari,True,True
68,4,Fay,schedule:fay:d004:s14,fay:care_favor:audit:d004:s14,debt:care_favor:fay,cause:move:resident:Fay:tick:00068,ssrm:v59:audit:snapshot:d004:t00068,resident=Fay|tick=68|memory=fay:care_favor:audit:d004:s14|debt=debt:care_favor:fay,True,True
69,4,Milo,schedule:milo:d004:s15,milo:tool_loan:audit:d004:s15,debt:tool_loan:milo,cause:talk:resident:Milo:tick:00069,ssrm:v59:audit:snapshot:d004:t00069,resident=Milo|tick=69|memory=milo:tool_loan:audit:d004:s15|debt=debt:tool_loan:milo,True,True
70,4,Sera,schedule:sera:d004:s16,sera:repair_promise:audit:d004:s16,debt:repair_promise:sera,cause:offer_help:resident:Sera:tick:00070,ssrm:v59:audit:snapshot:d004:t00070,resident=Sera|tick=70|memory=sera:repair_promise:audit:d004:s16|debt=debt:repair_promise:sera,True,True
71,4,Tovan,schedule:tovan:d004:s17,tovan:care_favor:audit:d004:s17,debt:care_favor:tovan,cause:borrow_tool:resident:Tovan:tick:00071,ssrm:v59:audit:snapshot:d004:t00071,resident=Tovan|tick=71|memory=tovan:care_favor:audit:d004:s17|debt=debt:care_favor:tovan,True,True
72,5,Nia,schedule:nia:d005:s00,nia:tool_loan:audit:d005:s00,debt:tool_loan:nia,cause:interrupt_work:resident:Nia:tick:00072,ssrm:v59:audit:snapshot:d005:t00072,resident=Nia|tick=72|memory=nia:tool_loan:audit:d005:s00|debt=debt:tool_loan:nia,True,True
73,5,Ari,schedule:ari:d005:s01,ari:repair_promise:audit:d005:s01,debt:repair_promise:ari,cause:wait_offscreen:resident:Ari:tick:00073,ssrm:v59:audit:snapshot:d005:t00073,resident=Ari|tick=73|memory=ari:repair_promise:audit:d005:s01|debt=debt:repair_promise:ari,True,True
74,5,Fay,schedule:fay:d005:s02,fay:care_favor:audit:d005:s02,debt:care_favor:fay,cause:repair_trust:resident:Fay:tick:00074,ssrm:v59:audit:snapshot:d005:t00074,resident=Fay|tick=74|memory=fay:care_favor:audit:d005:s02|debt=debt:care_favor:fay,True,True
75,5,Milo,schedule:milo:d005:s03,milo:tool_loan:audit:d005:s03,debt:tool_loan:milo,cause:move:resident:Milo:tick:00075,ssrm:v59:audit:snapshot:d005:t00075,resident=Milo|tick=75|memory=milo:tool_loan:audit:d005:s03|debt=debt:tool_loan:milo,True,True
76,5,Sera,schedule:sera:d005:s04,sera:repair_promise:audit:d005:s04,debt:repair_promise:sera,cause:talk:resident:Sera:tick:00076,ssrm:v59:audit:snapshot:d005:t00076,resident=Sera|tick=76|memory=sera:repair_promise:audit:d005:s04|debt=debt:repair_promise:sera,True,True
77,5,Tovan,schedule:tovan:d005:s05,tovan:care_favor:audit:d005:s05,debt:care_favor:tovan,cause:offer_help:resident:Tovan:tick:00077,ssrm:v59:audit:snapshot:d005:t00077,resident=Tovan|tick=77|memory=tovan:care_favor:audit:d005:s05|debt=debt:care_favor:tovan,True,True
78,5,Nia,schedule:nia:d005:s06,nia:tool_loan:audit:d005:s06,debt:tool_loan:nia,cause:borrow_tool:resident:Nia:tick:00078,ssrm:v59:audit:snapshot:d005:t00078,resident=Nia|tick=78|memory=nia:tool_loan:audit:d005:s06|debt=debt:tool_loan:nia,True,True
79,5,Ari,schedule:ari:d005:s07,ari:repair_promise:audit:d005:s07,debt:repair_promise:ari,cause:return_tool:resident:Ari:tick:00079,ssrm:v59:audit:snapshot:d005:t00079,resident=Ari|tick=79|memory=ari:repair_promise:audit:d005:s07|debt=debt:repair_promise:ari,True,True
80,5,Fay,schedule:fay:d005:s08,fay:care_favor:audit:d005:s08,debt:care_favor:fay,cause:interrupt_work:resident:Fay:tick:00080,ssrm:v59:audit:snapshot:d005:t00080,resident=Fay|tick=80|memory=fay:care_favor:audit:d005:s08|debt=debt:care_favor:fay,True,True
81,5,Milo,schedule:milo:d005:s09,milo:tool_loan:audit:d005:s09,debt:tool_loan:milo,cause:wait_offscreen:resident:Milo:tick:00081,ssrm:v59:audit:snapshot:d005:t00081,resident=Milo|tick=81|memory=milo:tool_loan:audit:d005:s09|debt=debt:tool_loan:milo,True,True
82,5,Sera,schedule:sera:d005:s10,sera:repair_promise:audit:d005:s10,debt:repair_promise:sera,cause:repair_trust:resident:Sera:tick:00082,ssrm:v59:audit:snapshot:d005:t00082,resident=Sera|tick=82|memory=sera:repair_promise:audit:d005:s10|debt=debt:repair_promise:sera,True,True
83,5,Tovan,schedule:tovan:d005:s11,tovan:care_favor:audit:d005:s11,debt:care_favor:tovan,cause:move:resident:Tovan:tick:00083,ssrm:v59:audit:snapshot:d005:t00083,resident=Tovan|tick=83|memory=tovan:care_favor:audit:d005:s11|debt=debt:care_favor:tovan,True,True
84,5,Nia,schedule:nia:d005:s12,nia:tool_loan:audit:d005:s12,debt:tool_loan:nia,cause:talk:resident:Nia:tick:00084,ssrm:v59:audit:snapshot:d005:t00084,resident=Nia|tick=84|memory=nia:tool_loan:audit:d005:s12|debt=debt:tool_loan:nia,True,True
85,5,Ari,schedule:ari:d005:s13,ari:repair_promise:audit:d005:s13,debt:repair_promise:ari,cause:offer_help:resident:Ari:tick:00085,ssrm:v59:audit:snapshot:d005:t00085,resident=Ari|tick=85|memory=ari:repair_promise:audit:d005:s13|debt=debt:repair_promise:ari,True,True
86,5,Fay,schedule:fay:d005:s14,fay:care_favor:audit:d005:s14,debt:care_favor:fay,cause:borrow_tool:resident:Fay:tick:00086,ssrm:v59:audit:snapshot:d005:t00086,resident=Fay|tick=86|memory=fay:care_favor:audit:d005:s14|debt=debt:care_favor:fay,True,True
87,5,Milo,schedule:milo:d005:s15,milo:tool_loan:audit:d005:s15,debt:tool_loan:milo,cause:return_tool:resident:Milo:tick:00087,ssrm:v59:audit:snapshot:d005:t00087,resident=Milo|tick=87|memory=milo:tool_loan:audit:d005:s15|debt=debt:tool_loan:milo,True,True
88,5,Sera,schedule:sera:d005:s16,sera:repair_promise:audit:d005:s16,debt:repair_promise:sera,cause:interrupt_work:resident:Sera:tick:00088,ssrm:v59:audit:snapshot:d005:t00088,resident=Sera|tick=88|memory=sera:repair_promise:audit:d005:s16|debt=debt:repair_promise:sera,True,True
89,5,Tovan,schedule:tovan:d005:s17,tovan:care_favor:audit:d005:s17,debt:care_favor:tovan,cause:wait_offscreen:resident:Tovan:tick:00089,ssrm:v59:audit:snapshot:d005:t00089,resident=Tovan|tick=89|memory=tovan:care_favor:audit:d005:s17|debt=debt:care_favor:tovan,True,True
90,6,Nia,schedule:nia:d006:s00,nia:tool_loan:audit:d006:s00,debt:tool_loan:nia,cause:move:resident:Nia:tick:00090,ssrm:v59:audit:snapshot:d006:t00090,resident=Nia|tick=90|memory=nia:tool_loan:audit:d006:s00|debt=debt:tool_loan:nia,True,True
91,6,Ari,schedule:ari:d006:s01,ari:repair_promise:audit:d006:s01,debt:repair_promise:ari,cause:talk:resident:Ari:tick:00091,ssrm:v59:audit:snapshot:d006:t00091,resident=Ari|tick=91|memory=ari:repair_promise:audit:d006:s01|debt=debt:repair_promise:ari,True,True
92,6,Fay,schedule:fay:d006:s02,fay:care_favor:audit:d006:s02,debt:care_favor:fay,cause:offer_help:resident:Fay:tick:00092,ssrm:v59:audit:snapshot:d006:t00092,resident=Fay|tick=92|memory=fay:care_favor:audit:d006:s02|debt=debt:care_favor:fay,True,True
93,6,Milo,schedule:milo:d006:s03,milo:tool_loan:audit:d006:s03,debt:tool_loan:milo,cause:borrow_tool:resident:Milo:tick:00093,ssrm:v59:audit:snapshot:d006:t00093,resident=Milo|tick=93|memory=milo:tool_loan:audit:d006:s03|debt=debt:tool_loan:milo,True,True
