tick,day,loop_id,participants,loop_phase,counteroffer_count,revision_count,unresolved_tension,convergence_score,loop_completed,avatar_not_primary_author
33,3,v18-loop-006,Sova|Melo,repair,3,1,0.35,0.794,1,1
34,3,v18-loop-006,Keth|Nari,accept,4,2,0.29,0.9736,1,1
35,3,v18-loop-006,Melo|Ori|Sova,counteroffer,6,2,0.29,1.0,1,1
36,4,v18-loop-007,Ori|Sova,revise,3,1,0.35,0.794,0,1
37,4,v18-loop-007,Vonn|Keth,counteroffer,3,1,0.4,0.786,1,1
38,4,v18-loop-007,Sova|Melo,revise,5,1,0.38,0.9492,1,1
39,4,v18-loop-007,Keth|Nari,repair,5,0,0.41,0.8544,1,1
40,4,v18-loop-007,Melo|Ori|Sova,repair,2,1,0.35,0.714,1,1
41,4,v18-loop-007,Nari|Vonn,witness,3,1,0.39,0.7876,1,1
42,4,v18-loop-008,Ori|Sova,revise,5,2,0.29,1.0,1,1
43,4,v18-loop-008,Vonn|Keth,clarify,5,1,0.39,0.9476,1,1
44,4,v18-loop-008,Sova|Melo,counteroffer,3,2,0.29,0.8936,1,1
45,4,v18-loop-008,Keth|Nari|Vonn,clarify,3,1,0.39,0.7876,1,1
46,4,v18-loop-008,Melo|Ori,witness,4,1,0.35,0.874,1,1
47,4,v18-loop-008,Nari|Vonn,state_boundary,5,1,0.35,0.954,1,1
48,5,v18-loop-009,Vonn|Keth,counteroffer,3,1,0.35,0.794,0,1
49,5,v18-loop-009,Sova|Melo,state_boundary,4,1,0.35,0.874,1,1
50,5,v18-loop-009,Keth|Nari|Vonn,accept,4,1,0.35,0.874,1,1
51,5,v18-loop-009,Melo|Ori,revise,6,1,0.35,1.0,1,1
52,5,v18-loop-009,Nari|Vonn,witness,2,1,0.35,0.714,1,1
53,5,v18-loop-009,Ori|Sova,clarify,3,1,0.39,0.7876,1,1
54,5,v18-loop-010,Vonn|Keth,witness,3,1,0.44,0.7796,1,1
55,5,v18-loop-010,Sova|Melo|Ori,accept,5,2,0.29,1.0,1,1
56,5,v18-loop-010,Keth|Nari,repair,3,2,0.29,0.8936,1,1
57,5,v18-loop-010,Melo|Ori,accept,3,2,0.32,0.8888,1,1
58,5,v18-loop-010,Nari|Vonn,witness,4,1,0.35,0.874,1,0
59,5,v18-loop-010,Ori|Sova,witness,5,1,0.35,0.954,1,1
60,6,v18-loop-011,Sova|Melo|Ori,witness,2,0,0.41,0.6144,0,1
61,6,v18-loop-011,Keth|Nari,repair,3,0,0.41,0.6944,1,1
62,6,v18-loop-011,Melo|Ori,accept,4,1,0.35,0.874,0,1
63,6,v18-loop-011,Nari|Vonn,witness,6,1,0.35,1.0,1,1
64,6,v18-loop-011,Ori|Sova,repair,2,1,0.35,0.714,1,1
65,6,v18-loop-011,Vonn|Keth|Nari,clarify,3,1,0.39,0.7876,1,1
66,6,v18-loop-012,Sova|Melo,repair,4,1,0.35,0.874,1,1
67,6,v18-loop-012,Keth|Nari,counteroffer,6,2,0.33,1.0,1,1
68,6,v18-loop-012,Melo|Ori,revise,3,2,0.29,0.8936,1,1
69,6,v18-loop-012,Nari|Vonn,accept,3,2,0.29,0.8936,1,1
70,6,v18-loop-012,Ori|Sova|Melo,counteroffer,5,2,0.29,1.0,1,1
71,6,v18-loop-012,Vonn|Keth,state_boundary,4,1,0.4,0.866,1,1
72,7,v18-loop-013,Keth|Nari,repair,2,0,0.41,0.6144,0,1
73,7,v18-loop-013,Melo|Ori,counteroffer,4,1,0.35,0.874,1,1
74,7,v18-loop-013,Nari|Vonn,witness,4,0,0.41,0.7744,1,1
75,7,v18-loop-013,Ori|Sova|Melo,repair,5,0,0.41,0.8544,1,1
76,7,v18-loop-013,Vonn|Keth,counteroffer,3,2,0.32,0.8888,1,1
77,7,v18-loop-013,Sova|Melo,counteroffer,4,2,0.29,0.9736,1,1
78,7,v18-loop-014,Keth|Nari,revise,5,2,0.29,1.0,1,1
79,7,v18-loop-014,Melo|Ori,state_boundary,5,1,0.35,0.954,1,1
80,7,v18-loop-014,Nari|Vonn|Keth,state_boundary,2,1,0.39,0.7076,1,1
81,7,v18-loop-014,Ori|Sova,repair,3,1,0.35,0.794,1,1
82,7,v18-loop-014,Vonn|Keth,clarify,4,1,0.39,0.8676,1,1
83,7,v18-loop-014,Sova|Melo,clarify,5,1,0.39,0.9476,1,1
84,8,v18-loop-015,Melo|Ori,witness,3,1,0.35,0.794,0,1
85,8,v18-loop-015,Nari|Vonn|Keth,revise,4,1,0.35,0.874,1,1
86,8,v18-loop-015,Ori|Sova,clarify,4,0,0.45,0.768,1,1
87,8,v18-loop-015,Vonn|Keth,state_boundary,5,0,0.41,0.8544,1,0
88,8,v18-loop-015,Sova|Melo,witness,1,1,0.4,0.626,0,1
89,8,v18-loop-015,Keth|Nari,clarify,3,1,0.39,0.7876,1,1
90,8,v18-loop-016,Melo|Ori|Sova,counteroffer,5,2,0.29,1.0,1,1
91,8,v18-loop-016,Nari|Vonn,clarify,6,2,0.33,1.0,1,1
92,8,v18-loop-016,Ori|Sova,revise,3,2,0.29,0.8936,1,1
93,8,v18-loop-016,Vonn|Keth,revise,4,2,0.33,0.9672,0,1
94,8,v18-loop-016,Sova|Melo,state_boundary,4,1,0.35,0.874,1,1
95,8,v18-loop-016,Keth|Nari|Vonn,revise,6,2,0.32,1.0,1,1
96,9,v18-loop-017,Nari|Vonn,repair,2,0,0.41,0.6144,0,1
97,9,v18-loop-017,Ori|Sova,revise,4,1,0.35,0.874,1,1
98,9,v18-loop-017,Vonn|Keth,state_boundary,5,1,0.35,0.954,1,1
99,9,v18-loop-017,Sova|Melo,accept,5,1,0.35,0.954,1,1
100,9,v18-loop-017,Keth|Nari|Vonn,witness,2,1,0.35,0.714,1,1
101,9,v18-loop-017,Melo|Ori,clarify,3,1,0.39,0.7876,1,1
102,9,v18-loop-018,Nari|Vonn,counteroffer,5,2,0.29,1.0,1,1
103,9,v18-loop-018,Ori|Sova,state_boundary,5,1,0.35,0.954,1,1
104,9,v18-loop-018,Vonn|Keth,state_boundary,2,1,0.35,0.714,1,1
105,9,v18-loop-018,Sova|Melo|Ori,revise,3,2,0.34,0.8856,1,1
106,9,v18-loop-018,Keth|Nari,witness,4,1,0.39,0.8676,1,1
107,9,v18-loop-018,Melo|Ori,counteroffer,6,2,0.29,1.0,1,1
108,10,v18-loop-019,Ori|Sova,repair,2,0,0.41,0.6144,0,1
109,10,v18-loop-019,Vonn|Keth,repair,3,0,0.41,0.6944,1,1
110,10,v18-loop-019,Sova|Melo|Ori,accept,4,1,0.35,0.874,1,1
111,10,v18-loop-019,Keth|Nari,revise,6,1,0.35,1.0,1,1
112,10,v18-loop-019,Melo|Ori,clarify,3,2,0.33,0.8872,1,1
113,10,v18-loop-019,Nari|Vonn,revise,4,2,0.29,0.9736,1,1
114,10,v18-loop-020,Ori|Sova,accept,4,2,0.32,0.9688,1,1
115,10,v18-loop-020,Vonn|Keth|Nari,clarify,5,1,0.39,0.9476,1,1
116,10,v18-loop-020,Sova|Melo,clarify,2,1,0.39,0.7076,1,0
117,10,v18-loop-020,Keth|Nari,clarify,3,1,0.39,0.7876,1,1
118,10,v18-loop-020,Melo|Ori,revise,5,2,0.29,1.0,1,1
119,10,v18-loop-020,Nari|Vonn,counteroffer,6,2,0.33,1.0,1,1
120,11,v18-loop-021,Vonn|Keth|Nari,state_boundary,2,0,0.41,0.6144,0,1
121,11,v18-loop-021,Sova|Melo,repair,3,0,0.41,0.6944,1,1
122,11,v18-loop-021,Keth|Nari,witness,3,0,0.46,0.6864,1,1
123,11,v18-loop-021,Melo|Ori,repair,5,0,0.41,0.8544,1,1
124,11,v18-loop-021,Nari|Vonn,counteroffer,3,2,0.29,0.8936,0,1
125,11,v18-loop-021,Ori|Sova|Melo,repair,3,1,0.35,0.794,1,1
126,11,v18-loop-022,Vonn|Keth,witness,5,2,0.29,1.0,1,1
127,11,v18-loop-022,Sova|Melo,clarify,5,1,0.39,0.9476,1,1
128,11,v18-loop-022,Keth|Nari,accept,2,2,0.29,0.8136,1,1
129,11,v18-loop-022,Melo|Ori,clarify,3,1,0.39,0.7876,1,1
130,11,v18-loop-022,Nari|Vonn|Keth,counteroffer,5,2,0.29,1.0,1,1
131,11,v18-loop-022,Ori|Sova,counteroffer,6,2,0.29,1.0,1,1
132,12,v18-loop-023,Sova|Melo,witness,2,0,0.45,0.608,0,1
133,12,v18-loop-023,Keth|Nari,witness,4,1,0.38,0.8692,1,1
134,12,v18-loop-023,Melo|Ori,repair,4,0,0.41,0.7744,1,1
135,12,v18-loop-023,Nari|Vonn|Keth,clarify,5,0,0.45,0.848,1,1
136,12,v18-loop-023,Ori|Sova,state_boundary,2,1,0.35,0.714,1,1
137,12,v18-loop-023,Vonn|Keth,state_boundary,3,1,0.35,0.794,1,1
138,12,v18-loop-024,Sova|Melo,counteroffer,5,2,0.29,1.0,1,1
139,12,v18-loop-024,Keth|Nari,state_boundary,4,1,0.4,0.866,1,1
140,12,v18-loop-024,Melo|Ori|Sova,accept,3,3,0.23,0.9932,1,1
141,12,v18-loop-024,Nari|Vonn,repair,3,1,0.35,0.794,1,1
142,12,v18-loop-024,Ori|Sova,state_boundary,4,1,0.35,0.874,1,1
143,12,v18-loop-024,Vonn|Keth,revise,6,2,0.29,1.0,1,1
144,13,v18-loop-025,Keth|Nari,witness,2,0,0.41,0.6144,0,1
145,13,v18-loop-025,Melo|Ori|Sova,revise,4,1,0.39,0.8676,1,0
146,13,v18-loop-025,Nari|Vonn,counteroffer,5,1,0.35,0.954,1,1
147,13,v18-loop-025,Ori|Sova,accept,6,2,0.29,1.0,1,1
148,13,v18-loop-025,Vonn|Keth,revise,3,2,0.29,0.8936,1,1
149,13,v18-loop-025,Sova|Melo,accept,3,2,0.29,0.8936,1,1
150,13,v18-loop-026,Keth|Nari|Vonn,witness,4,1,0.35,0.874,1,1
151,13,v18-loop-026,Melo|Ori,counteroffer,6,2,0.29,1.0,1,1
152,13,v18-loop-026,Nari|Vonn,clarify,2,1,0.42,0.7028,1,1
153,13,v18-loop-026,Ori|Sova,witness,3,1,0.35,0.794,1,1
154,13,v18-loop-026,Vonn|Keth,repair,5,2,0.29,1.0,1,1
155,13,v18-loop-026,Sova|Melo|Ori,witness,5,1,0.35,0.954,0,1
156,14,v18-loop-027,Melo|Ori,clarify,1,0,0.5,0.52,0,1
157,14,v18-loop-027,Nari|Vonn,repair,3,0,0.41,0.6944,1,1
158,14,v18-loop-027,Ori|Sova,witness,4,0,0.45,0.768,1,1
159,14,v18-loop-027,Vonn|Keth,counteroffer,6,1,0.35,1.0,1,1
160,14,v18-loop-027,Sova|Melo|Ori,state_boundary,2,1,0.35,0.714,1,1
161,14,v18-loop-027,Keth|Nari,revise,4,2,0.29,0.9736,1,1
162,14,v18-loop-028,Melo|Ori,counteroffer,5,2,0.29,1.0,1,1
163,14,v18-loop-028,Nari|Vonn,counteroffer,6,2,0.29,1.0,1,1
164,14,v18-loop-028,Ori|Sova,state_boundary,2,1,0.35,0.714,1,1
165,14,v18-loop-028,Vonn|Keth|Nari,accept,3,2,0.29,0.8936,1,1
166,14,v18-loop-028,Sova|Melo,repair,4,1,0.35,0.874,1,1
167,14,v18-loop-028,Keth|Nari,witness,5,1,0.35,0.954,1,1
168,15,v18-loop-029,Nari|Vonn,revise,3,1,0.35,0.794,0,1
169,15,v18-loop-029,Ori|Sova,accept,3,1,0.35,0.794,1,1
170,15,v18-loop-029,Vonn|Keth|Nari,state_boundary,4,0,0.41,0.7744,1,1
171,15,v18-loop-029,Sova|Melo,accept,5,1,0.42,0.9428,1,1
172,15,v18-loop-029,Keth|Nari,counteroffer,3,2,0.29,0.8936,1,1
173,15,v18-loop-029,Melo|Ori,witness,2,1,0.4,0.706,1,1
174,15,v18-loop-030,Nari|Vonn,state_boundary,4,1,0.35,0.874,1,0
175,15,v18-loop-030,Ori|Sova|Melo,clarify,6,2,0.33,1.0,1,1
176,15,v18-loop-030,Vonn|Keth,accept,2,2,0.29,0.8136,1,1
177,15,v18-loop-030,Sova|Melo,revise,4,2,0.29,0.9736,1,1
178,15,v18-loop-030,Keth|Nari,repair,4,1,0.35,0.874,1,1
179,15,v18-loop-030,Melo|Ori,state_boundary,5,1,0.35,0.954,1,1
180,16,v18-loop-031,Ori|Sova|Melo,revise,3,1,0.35,0.794,0,1
181,16,v18-loop-031,Vonn|Keth,witness,3,0,0.41,0.6944,1,1
182,16,v18-loop-031,Sova|Melo,witness,5,1,0.35,0.954,1,1
183,16,v18-loop-031,Keth|Nari,clarify,5,0,0.45,0.848,1,1
184,16,v18-loop-031,Melo|Ori,repair,2,1,0.39,0.7076,1,1
185,16,v18-loop-031,Nari|Vonn|Keth,counteroffer,4,2,0.29,0.9736,1,1
186,16,v18-loop-032,Ori|Sova,repair,4,1,0.35,0.874,0,1
187,16,v18-loop-032,Vonn|Keth,counteroffer,6,2,0.29,1.0,1,1
188,16,v18-loop-032,Sova|Melo,counteroffer,3,2,0.29,0.8936,1,1
189,16,v18-loop-032,Keth|Nari,witness,4,2,0.29,0.9736,1,1
190,16,v18-loop-032,Melo|Ori|Sova,accept,3,2,0.37,0.8808,1,1
191,16,v18-loop-032,Nari|Vonn,state_boundary,5,1,0.35,0.954,1,1
192,17,v18-loop-033,Vonn|Keth,witness,2,0,0.41,0.6144,0,1
193,17,v18-loop-033,Sova|Melo,repair,3,0,0.41,0.6944,1,1
194,17,v18-loop-033,Keth|Nari,clarify,4,0,0.45,0.768,1,1
195,17,v18-loop-033,Melo|Ori|Sova,repair,5,0,0.41,0.8544,1,1
196,17,v18-loop-033,Nari|Vonn,revise,3,2,0.29,0.8936,1,1
197,17,v18-loop-033,Ori|Sova,revise,4,2,0.33,0.9672,1,1
198,17,v18-loop-034,Vonn|Keth,revise,5,2,0.29,1.0,1,1
199,17,v18-loop-034,Sova|Melo,revise,6,2,0.29,1.0,1,1
200,17,v18-loop-034,Keth|Nari|Vonn,state_boundary,2,1,0.35,0.714,1,1
201,17,v18-loop-034,Melo|Ori,counteroffer,4,2,0.29,0.9736,1,1
202,17,v18-loop-034,Nari|Vonn,state_boundary,4,1,0.35,0.874,1,1
203,17,v18-loop-034,Ori|Sova,accept,6,3,0.23,1.0,1,0
204,18,v18-loop-035,Sova|Melo,repair,2,0,0.41,0.6144,0,1
205,18,v18-loop-035,Keth|Nari|Vonn,accept,3,1,0.35,0.794,1,1
206,18,v18-loop-035,Melo|Ori,revise,5,1,0.35,0.954,1,1
207,18,v18-loop-035,Nari|Vonn,accept,4,1,0.4,0.866,1,1
208,18,v18-loop-035,Ori|Sova,witness,2,1,0.35,0.714,1,1
209,18,v18-loop-035,Vonn|Keth,repair,3,1,0.38,0.7892,1,1
210,18,v18-loop-036,Sova|Melo|Ori,clarify,5,2,0.33,1.0,1,1
211,18,v18-loop-036,Keth|Nari,counteroffer,6,2,0.29,1.0,1,1
212,18,v18-loop-036,Melo|Ori,counteroffer,3,2,0.29,0.8936,1,1
213,18,v18-loop-036,Nari|Vonn,witness,3,1,0.35,0.794,1,1
214,18,v18-loop-036,Ori|Sova,clarify,4,1,0.39,0.8676,1,1
215,18,v18-loop-036,Vonn|Keth|Nari,witness,5,1,0.35,0.954,1,1
216,19,v18-loop-037,Keth|Nari,counteroffer,3,1,0.35,0.794,0,1
217,19,v18-loop-037,Melo|Ori,counteroffer,4,1,0.35,0.874,0,1
218,19,v18-loop-037,Nari|Vonn,state_boundary,4,0,0.41,0.7744,1,1
219,19,v18-loop-037,Ori|Sova,repair,5,0,0.41,0.8544,1,1
220,19,v18-loop-037,Vonn|Keth|Nari,repair,2,1,0.35,0.714,1,1
221,19,v18-loop-037,Sova|Melo,clarify,3,1,0.39,0.7876,1,1
222,19,v18-loop-038,Keth|Nari,state_boundary,4,1,0.35,0.874,1,1
223,19,v18-loop-038,Melo|Ori,revise,6,2,0.33,1.0,1,1
224,19,v18-loop-038,Nari|Vonn,clarify,1,1,0.44,0.6196,0,1
225,19,v18-loop-038,Ori|Sova|Melo,accept,3,2,0.29,0.8936,1,1
226,19,v18-loop-038,Vonn|Keth,witness,4,1,0.35,0.874,1,1
227,19,v18-loop-038,Sova|Melo,witness,5,1,0.35,0.954,1,1
228,20,v18-loop-039,Melo|Ori,counteroffer,3,1,0.38,0.7892,0,1
229,20,v18-loop-039,Nari|Vonn,revise,4,1,0.35,0.874,1,1
230,20,v18-loop-039,Ori|Sova|Melo,repair,4,0,0.41,0.7744,1,1
231,20,v18-loop-039,Vonn|Keth,state_boundary,6,1,0.35,1.0,1,1
232,20,v18-loop-039,Sova|Melo,accept,2,2,0.29,0.8136,1,0
233,20,v18-loop-039,Keth|Nari,witness,3,1,0.35,0.794,1,1
234,20,v18-loop-040,Melo|Ori,revise,5,2,0.29,1.0,1,1
235,20,v18-loop-040,Nari|Vonn|Keth,state_boundary,5,1,0.35,0.954,1,1
236,20,v18-loop-040,Ori|Sova,state_boundary,2,1,0.39,0.7076,1,1
237,20,v18-loop-040,Vonn|Keth,clarify,3,1,0.39,0.7876,1,1
238,20,v18-loop-040,Sova|Melo,repair,5,2,0.29,1.0,1,1
239,20,v18-loop-040,Keth|Nari,counteroffer,6,2,0.29,1.0,1,1
240,21,v18-loop-041,Nari|Vonn|Keth,accept,2,1,0.35,0.714,0,1
241,21,v18-loop-041,Ori|Sova,witness,2,0,0.46,0.6064,0,1
242,21,v18-loop-041,Vonn|Keth,state_boundary,4,0,0.41,0.7744,1,1
243,21,v18-loop-041,Sova|Melo,repair,5,0,0.41,0.8544,1,1
244,21,v18-loop-041,Keth|Nari,repair,2,1,0.35,0.714,1,1
245,21,v18-loop-041,Melo|Ori|Sova,witness,4,2,0.29,0.9736,1,1
246,21,v18-loop-042,Nari|Vonn,accept,4,2,0.29,0.9736,1,1
247,21,v18-loop-042,Ori|Sova,accept,5,2,0.32,1.0,1,1
248,21,v18-loop-042,Vonn|Keth,witness,2,1,0.35,0.714,0,1
249,21,v18-loop-042,Sova|Melo,revise,4,2,0.33,0.9672,1,1
250,21,v18-loop-042,Keth|Nari|Vonn,counteroffer,5,2,0.29,1.0,1,1
251,21,v18-loop-042,Melo|Ori,clarify,5,1,0.39,0.9476,1,1
252,22,v18-loop-043,Ori|Sova,revise,3,1,0.35,0.794,0,1
253,22,v18-loop-043,Vonn|Keth,counteroffer,4,1,0.35,0.874,1,1
254,22,v18-loop-043,Sova|Melo,repair,4,0,0.41,0.7744,1,1
255,22,v18-loop-043,Keth|Nari|Vonn,witness,5,0,0.41,0.8544,1,1
256,22,v18-loop-043,Melo|Ori,counteroffer,3,2,0.29,0.8936,1,1
257,22,v18-loop-043,Nari|Vonn,revise,4,2,0.29,0.9736,1,1
258,22,v18-loop-044,Ori|Sova,witness,3,1,0.4,0.786,1,1
259,22,v18-loop-044,Vonn|Keth,clarify,6,2,0.33,1.0,1,1
260,22,v18-loop-044,Sova|Melo|Ori,state_boundary,2,1,0.35,0.714,1,1
261,22,v18-loop-044,Keth|Nari,witness,3,1,0.35,0.794,1,0
262,22,v18-loop-044,Melo|Ori,clarify,4,1,0.39,0.8676,1,1
263,22,v18-loop-044,Nari|Vonn,revise,6,2,0.29,1.0,1,1
264,23,v18-loop-045,Vonn|Keth,accept,2,1,0.35,0.714,0,1
265,23,v18-loop-045,Sova|Melo|Ori,clarify,3,0,0.45,0.688,1,1
266,23,v18-loop-045,Keth|Nari,counteroffer,5,1,0.38,0.9492,1,1
267,23,v18-loop-045,Melo|Ori,revise,6,1,0.35,1.0,1,1
268,23,v18-loop-045,Nari|Vonn,repair,2,1,0.35,0.714,1,1
269,23,v18-loop-045,Ori|Sova,counteroffer,4,2,0.29,0.9736,1,1
270,23,v18-loop-046,Vonn|Keth|Nari,state_boundary,4,1,0.35,0.874,1,1
271,23,v18-loop-046,Sova|Melo,clarify,5,1,0.39,0.9476,1,1
272,23,v18-loop-046,Keth|Nari,clarify,2,1,0.39,0.7076,1,1
273,23,v18-loop-046,Melo|Ori,clarify,4,2,0.33,0.9672,1,1
274,23,v18-loop-046,Nari|Vonn,revise,5,2,0.29,1.0,1,1
275,23,v18-loop-046,Ori|Sova|Melo,clarify,4,1,0.44,0.8596,1,1
276,24,v18-loop-047,Sova|Melo,witness,2,0,0.41,0.6144,0,1
277,24,v18-loop-047,Keth|Nari,counteroffer,4,1,0.35,0.874,1,1
278,24,v18-loop-047,Melo|Ori,witness,4,0,0.41,0.7744,1,1
279,24,v18-loop-047,Nari|Vonn,counteroffer,6,1,0.35,1.0,0,1
280,24,v18-loop-047,Ori|Sova|Melo,state_boundary,3,2,0.29,0.8936,1,1
281,24,v18-loop-047,Vonn|Keth,counteroffer,4,2,0.29,0.9736,1,1
282,24,v18-loop-048,Sova|Melo,repair,4,1,0.35,0.874,1,1
283,24,v18-loop-048,Keth|Nari,repair,5,1,0.35,0.954,1,1
284,24,v18-loop-048,Melo|Ori,clarify,2,1,0.39,0.7076,1,1
285,24,v18-loop-048,Nari|Vonn|Keth,clarify,3,1,0.42,0.7828,1,1
286,24,v18-loop-048,Ori|Sova,state_boundary,4,1,0.35,0.874,1,1
287,24,v18-loop-048,Vonn|Keth,counteroffer,6,2,0.29,1.0,1,1
