tick,day,import_hash,export_hash,save_restore_available,carried_post_entry_hash,autonomous_tick_count,memory_count,welfare_count,interaction_count,durable_keys
13,1,9b3d0bfe0e0ac496,dc3e9bdb488df0e8,False,38a32e34e61b70e2,13,13,13,6,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
14,1,cc0d4fad0240e515,cc0d4fad0240e515,True,38a32e34e61b70e2,14,14,14,7,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
15,2,cc0d4fad0240e515,08a3df1d386d5356,False,38a32e34e61b70e2,15,15,15,7,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
16,2,cc0d4fad0240e515,6ec6d462a0cfa727,False,38a32e34e61b70e2,16,16,16,8,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
17,2,cc0d4fad0240e515,61ff82f531ca1f8b,False,38a32e34e61b70e2,17,17,17,8,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
18,2,cc0d4fad0240e515,9822478e1ba1c84c,False,38a32e34e61b70e2,18,18,18,9,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
19,2,cc0d4fad0240e515,e4b15a1cd5749f91,False,38a32e34e61b70e2,19,19,19,9,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
20,2,cc0d4fad0240e515,a0e1d41f2cb9a635,False,38a32e34e61b70e2,20,20,20,10,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
21,2,cc0d4fad0240e515,eb4ac41b8d713544,False,38a32e34e61b70e2,21,21,21,10,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
22,2,cc0d4fad0240e515,1d9fb7de4fd0594d,False,38a32e34e61b70e2,22,22,22,11,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
23,2,cc0d4fad0240e515,20903e31d55b8dd2,False,38a32e34e61b70e2,23,23,23,11,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
24,2,cc0d4fad0240e515,2b319dcd7e915949,False,38a32e34e61b70e2,24,24,24,12,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
25,2,cc0d4fad0240e515,f636740eaaf9a0ec,False,38a32e34e61b70e2,25,25,25,12,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
26,2,cc0d4fad0240e515,5d5b2d5bec44303e,False,38a32e34e61b70e2,26,26,26,13,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
27,2,cc0d4fad0240e515,7f2ed9d9f24bd32e,False,38a32e34e61b70e2,27,27,27,13,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
28,2,96fadf71abab0e5a,96fadf71abab0e5a,True,38a32e34e61b70e2,28,28,28,14,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
29,3,96fadf71abab0e5a,c02f8346efa2d727,False,38a32e34e61b70e2,29,29,29,14,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
30,3,96fadf71abab0e5a,7e3627f1c2cb3364,False,38a32e34e61b70e2,30,30,30,15,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
31,3,96fadf71abab0e5a,9a230c9a351bcb88,False,38a32e34e61b70e2,31,31,31,15,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
32,3,96fadf71abab0e5a,7a059965c57b5f19,False,38a32e34e61b70e2,32,32,32,16,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
33,3,96fadf71abab0e5a,ce003601e4b03ed0,False,38a32e34e61b70e2,33,33,33,16,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
34,3,96fadf71abab0e5a,a733e46e0542a0d4,False,38a32e34e61b70e2,34,34,34,17,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
35,3,96fadf71abab0e5a,f9dc555a54f69725,False,38a32e34e61b70e2,35,35,35,17,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
36,3,96fadf71abab0e5a,74a6d422fb439edf,False,38a32e34e61b70e2,36,36,36,18,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
37,3,96fadf71abab0e5a,adc13dc767d1a30a,False,38a32e34e61b70e2,37,37,37,18,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
38,3,96fadf71abab0e5a,e473fe5afd972bf9,False,38a32e34e61b70e2,38,38,38,19,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
39,3,96fadf71abab0e5a,f41f85539dbfff47,False,38a32e34e61b70e2,39,39,39,19,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
40,3,96fadf71abab0e5a,328575fe711447a3,False,38a32e34e61b70e2,40,40,40,20,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
41,3,96fadf71abab0e5a,9cb8e110cb14d331,False,38a32e34e61b70e2,41,41,41,20,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
42,3,71d67d5da38eb1bd,71d67d5da38eb1bd,True,38a32e34e61b70e2,42,42,42,21,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
43,4,71d67d5da38eb1bd,11cb87d8c8704add,False,38a32e34e61b70e2,43,43,43,21,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
44,4,71d67d5da38eb1bd,c0d7fef32fadf9ec,False,38a32e34e61b70e2,44,44,44,22,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
45,4,71d67d5da38eb1bd,aa85fbb2a6a2ccf8,False,38a32e34e61b70e2,45,45,45,22,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
46,4,71d67d5da38eb1bd,6fe838b36dff5a5b,False,38a32e34e61b70e2,46,46,46,23,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
47,4,71d67d5da38eb1bd,d4e184734966040c,False,38a32e34e61b70e2,47,47,47,23,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
48,4,71d67d5da38eb1bd,8b3aac08f0ebf6c2,False,38a32e34e61b70e2,48,48,48,24,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
49,4,71d67d5da38eb1bd,7c597d4c996826bd,False,38a32e34e61b70e2,49,49,49,24,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
50,4,71d67d5da38eb1bd,2e6eae6cedb58326,False,38a32e34e61b70e2,50,50,50,25,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
51,4,71d67d5da38eb1bd,e62e4a2462aa3ae8,False,38a32e34e61b70e2,51,51,51,25,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
52,4,71d67d5da38eb1bd,5b21f23f29a260a3,False,38a32e34e61b70e2,52,52,52,26,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
53,4,71d67d5da38eb1bd,36110af4bcedfb24,False,38a32e34e61b70e2,53,53,53,26,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
54,4,71d67d5da38eb1bd,4d891de887bf448f,False,38a32e34e61b70e2,54,54,54,27,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
55,4,71d67d5da38eb1bd,d116ba9b9496fbc4,False,38a32e34e61b70e2,55,55,55,27,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
56,4,4324b0c806924238,4324b0c806924238,True,38a32e34e61b70e2,56,56,56,28,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
57,5,4324b0c806924238,5bc4c9c4998311f8,False,38a32e34e61b70e2,57,57,57,28,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
58,5,4324b0c806924238,68f3a71ab94f61f4,False,38a32e34e61b70e2,58,58,58,29,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
59,5,4324b0c806924238,f336309efacaf80f,False,38a32e34e61b70e2,59,59,59,29,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
60,5,4324b0c806924238,f195f025a661f55d,False,38a32e34e61b70e2,60,60,60,30,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
61,5,4324b0c806924238,63c23abaf211b390,False,38a32e34e61b70e2,61,61,61,30,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
62,5,4324b0c806924238,14cf9d07a25fe19a,False,38a32e34e61b70e2,62,62,62,31,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
63,5,4324b0c806924238,c687ace20dde2434,False,38a32e34e61b70e2,63,63,63,31,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
64,5,4324b0c806924238,858d237c9cc28c78,False,38a32e34e61b70e2,64,64,64,32,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
65,5,4324b0c806924238,0d56beb10ae4b9d7,False,38a32e34e61b70e2,65,65,65,32,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
66,5,4324b0c806924238,52bb124f92aee6a0,False,38a32e34e61b70e2,66,66,66,33,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
67,5,4324b0c806924238,19ca019307f45c01,False,38a32e34e61b70e2,67,67,67,33,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
68,5,4324b0c806924238,ab5a32ddf76cb114,False,38a32e34e61b70e2,68,68,68,34,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
69,5,4324b0c806924238,fd41e59fa6718d36,False,38a32e34e61b70e2,69,69,69,34,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
70,5,da08d9d8369f2b5f,da08d9d8369f2b5f,True,38a32e34e61b70e2,70,70,70,35,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
71,6,da08d9d8369f2b5f,177baa53adf9c073,False,38a32e34e61b70e2,71,71,71,35,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
72,6,da08d9d8369f2b5f,bde95ddc050d1025,False,38a32e34e61b70e2,72,72,72,36,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
73,6,da08d9d8369f2b5f,ecaad9aeb90cb6e6,False,38a32e34e61b70e2,73,73,73,36,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
74,6,da08d9d8369f2b5f,cc87337fe5d63259,False,38a32e34e61b70e2,74,74,74,37,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
75,6,da08d9d8369f2b5f,570f90dafe0ddc59,False,38a32e34e61b70e2,75,75,75,37,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
76,6,da08d9d8369f2b5f,8ef11d0008ccce9f,False,38a32e34e61b70e2,76,76,76,38,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
77,6,da08d9d8369f2b5f,85c7a04757291753,False,38a32e34e61b70e2,77,77,77,38,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
78,6,da08d9d8369f2b5f,01c6338a89e6a147,False,38a32e34e61b70e2,78,78,78,39,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
79,6,da08d9d8369f2b5f,c7bfe9f5c6ed9ff1,False,38a32e34e61b70e2,79,79,79,39,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
80,6,da08d9d8369f2b5f,f184431187d0b97b,False,38a32e34e61b70e2,80,80,80,40,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
81,6,da08d9d8369f2b5f,a7719b3d44026a22,False,38a32e34e61b70e2,81,81,81,40,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
82,6,da08d9d8369f2b5f,7b2bc43740d4c2bf,False,38a32e34e61b70e2,82,82,82,41,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
83,6,da08d9d8369f2b5f,4712e016512bc7b7,False,38a32e34e61b70e2,83,83,83,41,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
84,6,3e2d58e9e4998c82,3e2d58e9e4998c82,True,38a32e34e61b70e2,84,84,84,42,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
85,7,3e2d58e9e4998c82,2543f7fa66ce1591,False,38a32e34e61b70e2,85,85,85,42,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
86,7,3e2d58e9e4998c82,66ea4a6930c4bbfa,False,38a32e34e61b70e2,86,86,86,43,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
87,7,3e2d58e9e4998c82,7490321e29828114,False,38a32e34e61b70e2,87,87,87,43,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
88,7,3e2d58e9e4998c82,2a2e50d9dfe3708e,False,38a32e34e61b70e2,88,88,88,44,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
89,7,3e2d58e9e4998c82,677871bed20fa524,False,38a32e34e61b70e2,89,89,89,44,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
90,7,3e2d58e9e4998c82,2e4aefaa7f4d3bdb,False,38a32e34e61b70e2,90,90,90,45,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
91,7,3e2d58e9e4998c82,247ce93b5dba9f76,False,38a32e34e61b70e2,91,91,91,45,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
92,7,3e2d58e9e4998c82,928caa681f068380,False,38a32e34e61b70e2,92,92,92,46,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
93,7,3e2d58e9e4998c82,335b9a0e256e6439,False,38a32e34e61b70e2,93,93,93,46,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
94,7,3e2d58e9e4998c82,d28d180e83ef392b,False,38a32e34e61b70e2,94,94,94,47,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
95,7,3e2d58e9e4998c82,5656744eafb86039,False,38a32e34e61b70e2,95,95,95,47,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
96,7,3e2d58e9e4998c82,8cd9bc4d08a73ffd,False,38a32e34e61b70e2,96,96,96,48,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
97,7,3e2d58e9e4998c82,f8189cceb4767d07,False,38a32e34e61b70e2,97,97,97,48,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
98,7,fd053df5379b67ef,fd053df5379b67ef,True,38a32e34e61b70e2,98,98,98,49,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
99,8,fd053df5379b67ef,c20e14a3335c7238,False,38a32e34e61b70e2,99,99,99,49,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
100,8,fd053df5379b67ef,d07ac12839bcadce,False,38a32e34e61b70e2,100,100,100,50,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
101,8,fd053df5379b67ef,ce686ee633ec0309,False,38a32e34e61b70e2,101,101,101,50,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
102,8,fd053df5379b67ef,bec471002835b160,False,38a32e34e61b70e2,102,102,102,51,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
103,8,fd053df5379b67ef,e40071b46d61dab4,False,38a32e34e61b70e2,103,103,103,51,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
104,8,fd053df5379b67ef,e0a09cce6ccb5db8,False,38a32e34e61b70e2,104,104,104,52,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
105,8,fd053df5379b67ef,6aae9cb3abd7ac8f,False,38a32e34e61b70e2,105,105,105,52,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
106,8,fd053df5379b67ef,e6a6dab802e97970,False,38a32e34e61b70e2,106,106,106,53,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
107,8,fd053df5379b67ef,6ad38afe6a54f49c,False,38a32e34e61b70e2,107,107,107,53,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
108,8,fd053df5379b67ef,b234f92f223d869b,False,38a32e34e61b70e2,108,108,108,54,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
109,8,fd053df5379b67ef,04c239a04d822cd7,False,38a32e34e61b70e2,109,109,109,54,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
110,8,fd053df5379b67ef,20a00b4a6ab0336c,False,38a32e34e61b70e2,110,110,110,55,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
111,8,fd053df5379b67ef,cebd29e68b1d8e89,False,38a32e34e61b70e2,111,111,111,55,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
112,8,3aeb5685192a99b1,3aeb5685192a99b1,True,38a32e34e61b70e2,112,112,112,56,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
113,9,3aeb5685192a99b1,547b7e7a4a23b68d,False,38a32e34e61b70e2,113,113,113,56,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
114,9,3aeb5685192a99b1,a71f6b6da934f039,False,38a32e34e61b70e2,114,114,114,57,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
115,9,3aeb5685192a99b1,cf0b386617a7042c,False,38a32e34e61b70e2,115,115,115,57,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
116,9,3aeb5685192a99b1,e4983cc24da085db,False,38a32e34e61b70e2,116,116,116,58,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
117,9,3aeb5685192a99b1,0bea53b98ac45674,False,38a32e34e61b70e2,117,117,117,58,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
118,9,3aeb5685192a99b1,97ccad0098102900,False,38a32e34e61b70e2,118,118,118,59,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
119,9,3aeb5685192a99b1,6a95aa186b464de7,False,38a32e34e61b70e2,119,119,119,59,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
120,9,3aeb5685192a99b1,5c05d85015835469,False,38a32e34e61b70e2,120,120,120,60,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
121,9,3aeb5685192a99b1,b7a93acce61bffba,False,38a32e34e61b70e2,121,121,121,60,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
122,9,3aeb5685192a99b1,7f8edcb91ecb431d,False,38a32e34e61b70e2,122,122,122,61,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
123,9,3aeb5685192a99b1,8befe0e5019d69a6,False,38a32e34e61b70e2,123,123,123,61,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
124,9,3aeb5685192a99b1,356936e5d8b29714,False,38a32e34e61b70e2,124,124,124,62,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
125,9,3aeb5685192a99b1,266d63d291236727,False,38a32e34e61b70e2,125,125,125,62,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
126,9,20728cffa81ee71e,20728cffa81ee71e,True,38a32e34e61b70e2,126,126,126,63,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
127,10,20728cffa81ee71e,1ee23ae880f20cb4,False,38a32e34e61b70e2,127,127,127,63,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
128,10,20728cffa81ee71e,b1d0fc456fea2899,False,38a32e34e61b70e2,128,128,128,64,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
129,10,20728cffa81ee71e,15f7ae4ed3cd1629,False,38a32e34e61b70e2,129,129,129,64,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
130,10,20728cffa81ee71e,d9943ba079685e58,False,38a32e34e61b70e2,130,130,130,65,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
131,10,20728cffa81ee71e,a660394254a5231c,False,38a32e34e61b70e2,131,131,131,65,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
132,10,20728cffa81ee71e,a9bd0c8ff3364729,False,38a32e34e61b70e2,132,132,132,66,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
133,10,20728cffa81ee71e,49cc0bc5425c31de,False,38a32e34e61b70e2,133,133,133,66,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
134,10,20728cffa81ee71e,d1e6fb39f0495c11,False,38a32e34e61b70e2,134,134,134,67,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
135,10,20728cffa81ee71e,262c4da743206528,False,38a32e34e61b70e2,135,135,135,67,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
136,10,20728cffa81ee71e,10b7f355167a4b68,False,38a32e34e61b70e2,136,136,136,68,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
137,10,20728cffa81ee71e,ec6a74508a7cf371,False,38a32e34e61b70e2,137,137,137,68,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
138,10,20728cffa81ee71e,359b0dd0934e789e,False,38a32e34e61b70e2,138,138,138,69,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
139,10,20728cffa81ee71e,08df7a16ff1b66fd,False,38a32e34e61b70e2,139,139,139,69,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
140,10,2934d33b0d50cb6e,2934d33b0d50cb6e,True,38a32e34e61b70e2,140,140,140,70,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
141,11,2934d33b0d50cb6e,96f4154bb27acd88,False,38a32e34e61b70e2,141,141,141,70,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
142,11,2934d33b0d50cb6e,149569db81b0a3e3,False,38a32e34e61b70e2,142,142,142,71,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
143,11,2934d33b0d50cb6e,6d2dd003d97b883c,False,38a32e34e61b70e2,143,143,143,71,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
144,11,2934d33b0d50cb6e,0caaca0ccd520f32,False,38a32e34e61b70e2,144,144,144,72,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
145,11,2934d33b0d50cb6e,9044045b8f4b13ba,False,38a32e34e61b70e2,145,145,145,72,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
146,11,2934d33b0d50cb6e,c880f296c5fee679,False,38a32e34e61b70e2,146,146,146,73,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
147,11,2934d33b0d50cb6e,a76a7c7b9ad4f8c8,False,38a32e34e61b70e2,147,147,147,73,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
148,11,2934d33b0d50cb6e,cacf8f413baf03f5,False,38a32e34e61b70e2,148,148,148,74,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
149,11,2934d33b0d50cb6e,f75ad281d7610a60,False,38a32e34e61b70e2,149,149,149,74,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
150,11,2934d33b0d50cb6e,20ced45378beb19e,False,38a32e34e61b70e2,150,150,150,75,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
151,11,2934d33b0d50cb6e,41664c70306535a5,False,38a32e34e61b70e2,151,151,151,75,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
152,11,2934d33b0d50cb6e,87dc2b4561bbdc3c,False,38a32e34e61b70e2,152,152,152,76,"post_entry_hash,autonomous_tick,needs,memory,routine,interaction,technology,welfare,replay"
