tick_id,day,settlement_id,object_id,lender_id,borrower_id,witness_id,loan_start_day,due_day,days_overdue,default_state,custody_holder,debt_before,debt_after,trust_before,trust_after,default_visible,repair_available,bounded_default
124,7,repair_ring,cool cloth,Wren,Pax,Vale,2,5,2,defaulted,Vale,0.109,0.133,0.664,0.652,True,True,True
125,7,riverbend,cedar plank,Ari,Cee,Nox,4,6,1,late,Lio,0.152,0.164,0.658,0.652,True,True,True
126,8,archive,signal spool,Nia,Toma,Vell,3,6,2,defaulted,Vell,0.118,0.142,0.626,0.614,True,True,True
127,8,signal,oil lantern,Ren,Kesh,Oda,3,7,1,late,Oda,0.089,0.101,0.641,0.635,True,True,True
128,8,orchard,dry cord,Pim,Suf,Ivo,2,4,4,defaulted,Mara,0.104,0.152,0.646,0.622,True,True,True
129,8,repair_ring,cool cloth,Wren,Juno,Pax,2,5,3,defaulted,Vale,0.095,0.131,0.649,0.631,True,True,True
130,8,riverbend,cedar plank,Ari,Lio,Cee,4,6,2,defaulted,Lio,0.179,0.203,0.636,0.624,True,True,True
131,8,roofward,herb ledger,Sera,Orr,Bex,3,7,1,late,Bex,0.12,0.132,0.646,0.64,True,True,True
133,8,signal,wind wrap,Oda,Milo,Ren,2,7,1,late,Kesh,0.052,0.064,0.66,0.654,True,True,True
134,8,orchard,seed satchel,Ivo,Mara,Pim,3,6,2,defaulted,Pim,0.132,0.156,0.609,0.597,True,True,True
135,8,repair_ring,copper wire,Pax,Vale,Wren,2,7,1,late,Juno,0.138,0.15,0.618,0.612,True,True,True
136,8,riverbend,binding cord,Cee,Nox,Ari,2,4,4,defaulted,Lio,0.114,0.162,0.661,0.637,True,True,True
137,8,roofward,shade cloth,Bex,Fay,Sera,2,5,3,defaulted,Orr,0.062,0.098,0.666,0.648,True,True,True
138,8,archive,signal spool,Nia,Toma,Vell,3,6,2,defaulted,Vell,0.143,0.167,0.614,0.602,True,True,True
139,8,signal,oil lantern,Ren,Kesh,Oda,3,7,1,late,Oda,0.087,0.099,0.651,0.645,True,True,True
140,8,orchard,dry cord,Pim,Suf,Ivo,2,4,4,defaulted,Mara,0.132,0.18,0.63,0.606,True,True,True
141,8,repair_ring,cool cloth,Wren,Juno,Pax,2,5,3,defaulted,Vale,0.137,0.173,0.628,0.61,True,True,True
142,8,riverbend,cedar plank,Ari,Lio,Cee,4,6,2,defaulted,Lio,0.189,0.213,0.64,0.628,True,True,True
144,9,signal,oil lantern,Ren,Ren,Kesh,3,7,2,defaulted,Oda,0.071,0.095,0.681,0.669,True,True,True
145,9,orchard,dry cord,Pim,Pim,Suf,2,4,5,defaulted,Mara,0.119,0.167,0.645,0.621,True,True,True
146,9,repair_ring,cool cloth,Wren,Wren,Juno,2,5,4,defaulted,Vale,0.124,0.172,0.634,0.61,True,True,True
147,9,riverbend,cedar plank,Ari,Ari,Lio,4,6,3,defaulted,Lio,0.115,0.151,0.661,0.643,True,True,True
149,9,archive,memory tag,Vell,Vell,Rin,2,9,1,late,Toma,0.132,0.144,0.636,0.63,True,True,True
150,9,signal,wind wrap,Oda,Oda,Milo,2,7,2,defaulted,Kesh,0.142,0.166,0.669,0.657,True,True,True
151,9,orchard,seed satchel,Ivo,Ivo,Mara,3,6,3,defaulted,Pim,0.172,0.208,0.627,0.609,True,True,True
152,9,repair_ring,copper wire,Pax,Pax,Vale,2,7,2,defaulted,Juno,0.133,0.157,0.652,0.64,True,True,True
153,9,riverbend,binding cord,Cee,Cee,Nox,2,4,5,defaulted,Lio,0.144,0.192,0.66,0.636,True,True,True
155,9,archive,signal spool,Nia,Nia,Toma,3,6,3,defaulted,Vell,0.151,0.187,0.642,0.624,True,True,True
156,9,signal,oil lantern,Ren,Ren,Kesh,3,7,2,defaulted,Oda,0.081,0.105,0.685,0.673,True,True,True
157,9,orchard,dry cord,Pim,Pim,Suf,2,4,5,defaulted,Mara,0.147,0.195,0.629,0.605,True,True,True
158,9,repair_ring,cool cloth,Wren,Wren,Juno,2,5,4,defaulted,Vale,0.178,0.226,0.607,0.583,True,True,True
159,9,riverbend,cedar plank,Ari,Ari,Lio,4,6,3,defaulted,Lio,0.137,0.173,0.659,0.641,True,True,True
161,9,archive,memory tag,Vell,Vell,Rin,2,9,1,late,Toma,0.15,0.162,0.627,0.621,True,True,True
162,10,orchard,dry cord,Pim,Mara,Pim,2,4,6,defaulted,Mara,0.156,0.204,0.597,0.573,True,True,True
163,10,repair_ring,cool cloth,Wren,Vale,Wren,2,5,5,defaulted,Vale,0.136,0.184,0.628,0.604,True,True,True
164,10,riverbend,cedar plank,Ari,Nox,Ari,4,6,4,defaulted,Lio,0.162,0.21,0.637,0.613,True,True,True
166,10,archive,memory tag,Vell,Toma,Vell,2,9,1,late,Toma,0.153,0.165,0.618,0.612,True,True,True
167,10,signal,wind wrap,Oda,Kesh,Oda,2,7,3,defaulted,Kesh,0.079,0.115,0.653,0.635,True,True,True
168,10,orchard,seed satchel,Ivo,Suf,Ivo,3,6,4,defaulted,Pim,0.186,0.234,0.603,0.579,True,True,True
169,10,repair_ring,copper wire,Pax,Juno,Pax,2,7,3,defaulted,Juno,0.174,0.21,0.61,0.592,True,True,True
170,10,riverbend,binding cord,Cee,Lio,Cee,2,4,6,defaulted,Lio,0.193,0.241,0.636,0.612,True,True,True
172,10,archive,signal spool,Nia,Rin,Nia,3,6,4,defaulted,Vell,0.135,0.183,0.642,0.618,True,True,True
173,10,signal,oil lantern,Ren,Milo,Ren,3,7,3,defaulted,Oda,0.064,0.1,0.654,0.636,True,True,True
174,10,orchard,dry cord,Pim,Mara,Pim,2,4,6,defaulted,Mara,0.184,0.232,0.581,0.557,True,True,True
175,10,repair_ring,cool cloth,Wren,Vale,Wren,2,5,5,defaulted,Vale,0.19,0.238,0.601,0.577,True,True,True
178,10,archive,memory tag,Vell,Toma,Vell,2,9,1,late,Toma,0.171,0.183,0.609,0.603,True,True,True
179,10,signal,wind wrap,Oda,Kesh,Oda,2,7,3,defaulted,Kesh,0.115,0.151,0.635,0.617,True,True,True
180,11,repair_ring,cool cloth,Wren,Pax,Vale,2,5,6,defaulted,Vale,0.143,0.191,0.656,0.632,True,True,True
182,11,roofward,herb ledger,Sera,Bex,Fay,3,11,1,late,Bex,0.129,0.141,0.648,0.642,True,True,True
183,11,archive,memory tag,Vell,Nia,Toma,2,9,2,defaulted,Toma,0.173,0.197,0.64,0.628,True,True,True
184,11,signal,wind wrap,Oda,Ren,Kesh,2,7,4,defaulted,Kesh,0.085,0.133,0.681,0.657,True,True,True
185,11,orchard,seed satchel,Ivo,Pim,Suf,3,6,5,defaulted,Pim,0.201,0.249,0.602,0.578,True,True,True
186,11,repair_ring,copper wire,Pax,Wren,Juno,2,7,4,defaulted,Juno,0.226,0.274,0.583,0.559,True,True,True
188,11,roofward,shade cloth,Bex,Sera,Orr,2,11,1,late,Orr,0.082,0.094,0.633,0.627,True,True,True
189,11,archive,signal spool,Nia,Vell,Rin,3,6,5,defaulted,Vell,0.162,0.21,0.621,0.597,True,True,True
190,11,signal,oil lantern,Ren,Oda,Milo,3,7,4,defaulted,Oda,0.167,0.215,0.657,0.633,True,True,True
191,11,orchard,dry cord,Pim,Ivo,Mara,2,4,7,defaulted,Mara,0.208,0.256,0.609,0.585,True,True,True
192,11,repair_ring,cool cloth,Wren,Pax,Vale,2,5,6,defaulted,Vale,0.197,0.245,0.629,0.605,True,True,True
194,11,roofward,herb ledger,Sera,Bex,Fay,3,11,1,late,Bex,0.121,0.133,0.65,0.644,True,True,True
195,11,archive,memory tag,Vell,Nia,Toma,2,9,2,defaulted,Toma,0.203,0.227,0.625,0.613,True,True,True
196,11,signal,wind wrap,Oda,Ren,Kesh,2,7,4,defaulted,Kesh,0.133,0.181,0.657,0.633,True,True,True
197,11,orchard,seed satchel,Ivo,Pim,Suf,3,6,5,defaulted,Pim,0.249,0.297,0.578,0.554,True,True,True
199,12,roofward,herb ledger,Sera,Orr,Bex,3,11,1,late,Bex,0.119,0.131,0.645,0.639,True,True,True
200,12,archive,memory tag,Vell,Rin,Nia,2,9,3,defaulted,Toma,0.169,0.205,0.634,0.616,True,True,True
201,12,signal,wind wrap,Oda,Milo,Ren,2,7,5,defaulted,Kesh,0.08,0.128,0.644,0.62,True,True,True
202,12,orchard,seed satchel,Ivo,Mara,Pim,3,6,6,defaulted,Pim,0.238,0.286,0.554,0.53,True,True,True
203,12,repair_ring,copper wire,Pax,Vale,Wren,2,7,5,defaulted,Juno,0.238,0.286,0.577,0.553,True,True,True
205,12,roofward,shade cloth,Bex,Fay,Sera,2,11,1,late,Orr,0.084,0.096,0.653,0.647,True,True,True
206,12,archive,signal spool,Nia,Toma,Vell,3,6,6,defaulted,Vell,0.183,0.231,0.603,0.579,True,True,True
207,12,signal,oil lantern,Ren,Kesh,Oda,3,7,5,defaulted,Oda,0.151,0.199,0.617,0.593,True,True,True
208,12,orchard,dry cord,Pim,Suf,Ivo,2,4,8,defaulted,Mara,0.235,0.283,0.579,0.555,True,True,True
211,12,roofward,herb ledger,Sera,Orr,Bex,3,11,1,late,Bex,0.111,0.123,0.647,0.641,True,True,True
212,12,archive,memory tag,Vell,Rin,Nia,2,9,3,defaulted,Toma,0.211,0.247,0.613,0.595,True,True,True
213,12,signal,wind wrap,Oda,Milo,Ren,2,7,5,defaulted,Kesh,0.129,0.177,0.62,0.596,True,True,True
214,12,orchard,seed satchel,Ivo,Mara,Pim,3,6,6,defaulted,Pim,0.286,0.334,0.53,0.506,True,True,True
215,12,repair_ring,copper wire,Pax,Vale,Wren,2,7,5,defaulted,Juno,0.272,0.32,0.569,0.545,True,True,True
216,13,roofward,herb ledger,Sera,Sera,Orr,3,11,2,defaulted,Bex,0.094,0.118,0.627,0.615,True,True,True
217,13,archive,memory tag,Vell,Vell,Rin,2,9,4,defaulted,Toma,0.196,0.244,0.613,0.589,True,True,True
218,13,signal,wind wrap,Oda,Oda,Milo,2,7,6,defaulted,Kesh,0.195,0.243,0.641,0.617,True,True,True
219,13,orchard,seed satchel,Ivo,Ivo,Mara,3,6,7,defaulted,Pim,0.262,0.31,0.582,0.558,True,True,True
221,13,riverbend,binding cord,Cee,Cee,Nox,2,13,1,late,Lio,0.159,0.171,0.66,0.654,True,True,True
222,13,roofward,shade cloth,Bex,Bex,Fay,2,11,2,defaulted,Orr,0.139,0.163,0.641,0.629,True,True,True
223,13,archive,signal spool,Nia,Nia,Toma,3,6,7,defaulted,Vell,0.228,0.276,0.613,0.589,True,True,True
224,13,signal,oil lantern,Ren,Ren,Kesh,3,7,6,defaulted,Oda,0.181,0.229,0.633,0.609,True,True,True
225,13,orchard,dry cord,Pim,Pim,Suf,2,4,9,defaulted,Mara,0.283,0.331,0.57,0.546,True,True,True
227,13,riverbend,cedar plank,Ari,Ari,Lio,4,13,1,late,Lio,0.153,0.165,0.649,0.643,True,True,True
228,13,roofward,herb ledger,Sera,Sera,Orr,3,11,2,defaulted,Bex,0.098,0.122,0.623,0.611,True,True,True
229,13,archive,memory tag,Vell,Vell,Rin,2,9,4,defaulted,Toma,0.25,0.298,0.586,0.562,True,True,True
230,13,signal,wind wrap,Oda,Oda,Milo,2,7,6,defaulted,Kesh,0.243,0.291,0.617,0.593,True,True,True
231,13,orchard,seed satchel,Ivo,Ivo,Mara,3,6,7,defaulted,Pim,0.311,0.359,0.558,0.534,True,True,True
233,13,riverbend,binding cord,Cee,Cee,Nox,2,13,1,late,Lio,0.171,0.183,0.654,0.648,True,True,True
234,14,archive,memory tag,Vell,Toma,Vell,2,9,5,defaulted,Toma,0.217,0.265,0.595,0.571,True,True,True
235,14,signal,wind wrap,Oda,Kesh,Oda,2,7,7,defaulted,Kesh,0.179,0.227,0.601,0.577,True,True,True
236,14,orchard,seed satchel,Ivo,Suf,Ivo,3,6,8,defaulted,Pim,0.289,0.337,0.552,0.528,True,True,True
238,14,riverbend,binding cord,Cee,Lio,Cee,2,13,1,late,Lio,0.207,0.219,0.636,0.63,True,True,True
239,14,roofward,shade cloth,Bex,Orr,Bex,2,11,3,defaulted,Orr,0.129,0.165,0.638,0.62,True,True,True
240,14,archive,signal spool,Nia,Rin,Nia,3,6,8,defaulted,Vell,0.247,0.295,0.595,0.571,True,True,True
241,14,signal,oil lantern,Ren,Milo,Ren,3,7,7,defaulted,Oda,0.178,0.226,0.596,0.572,True,True,True
244,14,riverbend,cedar plank,Ari,Nox,Ari,4,13,1,late,Lio,0.177,0.189,0.637,0.631,True,True,True
245,14,roofward,herb ledger,Sera,Fay,Sera,3,11,3,defaulted,Bex,0.096,0.132,0.647,0.629,True,True,True
246,14,archive,memory tag,Vell,Toma,Vell,2,9,5,defaulted,Toma,0.271,0.319,0.568,0.544,True,True,True
247,14,signal,wind wrap,Oda,Kesh,Oda,2,7,7,defaulted,Kesh,0.227,0.275,0.577,0.553,True,True,True
248,14,orchard,seed satchel,Ivo,Suf,Ivo,3,6,8,defaulted,Pim,0.337,0.385,0.528,0.504,True,True,True
250,14,riverbend,binding cord,Cee,Lio,Cee,2,13,1,late,Lio,0.219,0.231,0.63,0.624,True,True,True
251,14,roofward,shade cloth,Bex,Orr,Bex,2,11,3,defaulted,Orr,0.165,0.201,0.62,0.602,True,True,True
252,15,signal,wind wrap,Oda,Ren,Kesh,2,7,8,defaulted,Kesh,0.209,0.257,0.617,0.593,True,True,True
254,15,repair_ring,copper wire,Pax,Wren,Juno,2,15,1,late,Juno,0.26,0.272,0.575,0.569,True,True,True
255,15,riverbend,binding cord,Cee,Ari,Lio,2,13,2,defaulted,Lio,0.145,0.169,0.651,0.639,True,True,True
256,15,roofward,shade cloth,Bex,Sera,Orr,2,11,4,defaulted,Orr,0.128,0.176,0.608,0.584,True,True,True
257,15,archive,signal spool,Nia,Vell,Rin,3,6,9,defaulted,Vell,0.298,0.346,0.562,0.538,True,True,True
258,15,signal,oil lantern,Ren,Oda,Milo,3,7,8,defaulted,Oda,0.291,0.339,0.593,0.569,True,True,True
260,15,repair_ring,cool cloth,Wren,Pax,Vale,2,15,1,late,Vale,0.212,0.224,0.629,0.623,True,True,True
261,15,riverbend,cedar plank,Ari,Cee,Nox,4,13,2,defaulted,Lio,0.183,0.207,0.648,0.636,True,True,True
262,15,roofward,herb ledger,Sera,Bex,Fay,3,11,4,defaulted,Bex,0.164,0.212,0.629,0.605,True,True,True
263,15,archive,memory tag,Vell,Nia,Toma,2,9,6,defaulted,Toma,0.262,0.31,0.605,0.581,True,True,True
266,15,repair_ring,copper wire,Pax,Wren,Juno,2,15,1,late,Juno,0.258,0.27,0.585,0.579,True,True,True
267,15,riverbend,binding cord,Cee,Ari,Lio,2,13,2,defaulted,Lio,0.17,0.194,0.639,0.627,True,True,True
268,15,roofward,shade cloth,Bex,Sera,Orr,2,11,4,defaulted,Orr,0.176,0.224,0.584,0.56,True,True,True
269,15,archive,signal spool,Nia,Vell,Rin,3,6,9,defaulted,Vell,0.332,0.38,0.554,0.53,True,True,True
271,16,repair_ring,copper wire,Pax,Vale,Wren,2,15,1,late,Juno,0.301,0.313,0.553,0.547,True,True,True
272,16,riverbend,binding cord,Cee,Nox,Ari,2,13,3,defaulted,Lio,0.169,0.205,0.639,0.621,True,True,True
273,16,roofward,shade cloth,Bex,Fay,Sera,2,11,5,defaulted,Orr,0.138,0.186,0.626,0.602,True,True,True
274,16,archive,signal spool,Nia,Toma,Vell,3,6,10,defaulted,Vell,0.32,0.368,0.544,0.52,True,True,True
275,16,signal,oil lantern,Ren,Kesh,Oda,3,7,9,defaulted,Oda,0.275,0.323,0.553,0.529,True,True,True
277,16,repair_ring,cool cloth,Wren,Juno,Pax,2,15,1,late,Vale,0.162,0.174,0.632,0.626,True,True,True
278,16,riverbend,cedar plank,Ari,Lio,Cee,4,13,3,defaulted,Lio,0.231,0.267,0.624,0.606,True,True,True
279,16,roofward,herb ledger,Sera,Orr,Bex,3,11,5,defaulted,Bex,0.187,0.235,0.618,0.594,True,True,True
280,16,archive,memory tag,Vell,Rin,Nia,2,9,7,defaulted,Toma,0.281,0.329,0.587,0.563,True,True,True
281,16,signal,wind wrap,Oda,Milo,Ren,2,16,1,late,Kesh,0.206,0.218,0.58,0.574,True,True,True
283,16,repair_ring,copper wire,Pax,Vale,Wren,2,15,1,late,Juno,0.299,0.311,0.563,0.557,True,True,True
284,16,riverbend,binding cord,Cee,Nox,Ari,2,13,3,defaulted,Lio,0.205,0.241,0.621,0.603,True,True,True
285,16,roofward,shade cloth,Bex,Fay,Sera,2,11,5,defaulted,Orr,0.187,0.235,0.602,0.578,True,True,True
287,16,signal,oil lantern,Ren,Kesh,Oda,3,7,9,defaulted,Oda,0.303,0.351,0.537,0.513,True,True,True
288,17,repair_ring,copper wire,Pax,Pax,Vale,2,15,2,defaulted,Juno,0.224,0.248,0.623,0.611,True,True,True
289,17,riverbend,binding cord,Cee,Cee,Nox,2,13,4,defaulted,Lio,0.187,0.235,0.644,0.62,True,True,True
290,17,roofward,shade cloth,Bex,Bex,Fay,2,11,6,defaulted,Orr,0.218,0.266,0.602,0.578,True,True,True
292,17,signal,oil lantern,Ren,Ren,Kesh,3,7,10,defaulted,Oda,0.259,0.307,0.593,0.569,True,True,True
293,17,orchard,dry cord,Pim,Pim,Suf,2,17,1,late,Mara,0.323,0.335,0.559,0.553,True,True,True
294,17,repair_ring,cool cloth,Wren,Wren,Juno,2,15,2,defaulted,Vale,0.25,0.274,0.587,0.575,True,True,True
295,17,riverbend,cedar plank,Ari,Ari,Lio,4,13,4,defaulted,Lio,0.195,0.243,0.627,0.603,True,True,True
296,17,roofward,herb ledger,Sera,Sera,Orr,3,11,6,defaulted,Bex,0.21,0.258,0.576,0.552,True,True,True
298,17,signal,wind wrap,Oda,Oda,Milo,2,16,1,late,Kesh,0.319,0.331,0.577,0.571,True,True,True
299,17,orchard,seed satchel,Ivo,Ivo,Mara,3,17,1,late,Pim,0.351,0.363,0.547,0.541,True,True,True
300,17,repair_ring,copper wire,Pax,Pax,Vale,2,15,2,defaulted,Juno,0.234,0.258,0.627,0.615,True,True,True
301,17,riverbend,binding cord,Cee,Cee,Nox,2,13,4,defaulted,Lio,0.235,0.283,0.62,0.596,True,True,True
302,17,roofward,shade cloth,Bex,Bex,Fay,2,11,6,defaulted,Orr,0.266,0.314,0.578,0.554,True,True,True
304,17,signal,oil lantern,Ren,Ren,Kesh,3,7,10,defaulted,Oda,0.287,0.335,0.577,0.553,True,True,True
305,17,orchard,dry cord,Pim,Pim,Suf,2,17,1,late,Mara,0.341,0.353,0.55,0.544,True,True,True
306,18,riverbend,binding cord,Cee,Lio,Cee,2,13,5,defaulted,Lio,0.247,0.295,0.614,0.59,True,True,True
307,18,roofward,shade cloth,Bex,Orr,Bex,2,11,7,defaulted,Orr,0.241,0.289,0.591,0.567,True,True,True
308,18,archive,signal spool,Nia,Rin,Nia,3,18,1,late,Vell,0.329,0.341,0.563,0.557,True,True,True
309,18,signal,oil lantern,Ren,Milo,Ren,3,7,11,defaulted,Oda,0.218,0.266,0.574,0.55,True,True,True
310,18,orchard,dry cord,Pim,Mara,Pim,2,17,1,late,Mara,0.313,0.325,0.535,0.529,True,True,True
311,18,repair_ring,cool cloth,Wren,Vale,Wren,2,15,3,defaulted,Vale,0.291,0.327,0.565,0.547,True,True,True
312,18,riverbend,cedar plank,Ari,Nox,Ari,4,13,5,defaulted,Lio,0.241,0.289,0.603,0.579,True,True,True
313,18,roofward,herb ledger,Sera,Fay,Sera,3,11,7,defaulted,Bex,0.221,0.269,0.594,0.57,True,True,True
314,18,archive,memory tag,Vell,Toma,Vell,2,18,1,late,Toma,0.334,0.346,0.544,0.538,True,True,True
315,18,signal,wind wrap,Oda,Kesh,Oda,2,16,2,defaulted,Kesh,0.357,0.381,0.51,0.498,True,True,True
316,18,orchard,seed satchel,Ivo,Suf,Ivo,3,17,1,late,Pim,0.377,0.389,0.517,0.511,True,True,True
317,18,repair_ring,copper wire,Pax,Juno,Pax,2,15,3,defaulted,Juno,0.174,0.21,0.626,0.608,True,True,True
318,18,riverbend,binding cord,Cee,Lio,Cee,2,13,5,defaulted,Lio,0.296,0.344,0.59,0.566,True,True,True
319,18,roofward,shade cloth,Bex,Orr,Bex,2,11,7,defaulted,Orr,0.289,0.337,0.567,0.543,True,True,True
320,18,archive,signal spool,Nia,Rin,Nia,3,18,1,late,Vell,0.327,0.339,0.573,0.567,True,True,True
321,18,signal,oil lantern,Ren,Milo,Ren,3,7,11,defaulted,Oda,0.246,0.294,0.558,0.534,True,True,True
322,18,orchard,dry cord,Pim,Mara,Pim,2,17,1,late,Mara,0.331,0.343,0.526,0.52,True,True,True
323,18,repair_ring,cool cloth,Wren,Vale,Wren,2,15,3,defaulted,Vale,0.327,0.363,0.547,0.529,True,True,True
324,19,roofward,shade cloth,Bex,Sera,Orr,2,11,8,defaulted,Orr,0.264,0.312,0.549,0.525,True,True,True
325,19,archive,signal spool,Nia,Vell,Rin,3,18,1,late,Vell,0.361,0.373,0.538,0.532,True,True,True
326,19,signal,oil lantern,Ren,Oda,Milo,3,7,12,defaulted,Oda,0.331,0.379,0.571,0.547,True,True,True
327,19,orchard,dry cord,Pim,Ivo,Mara,2,17,2,defaulted,Mara,0.349,0.373,0.557,0.545,True,True,True
328,19,repair_ring,cool cloth,Wren,Pax,Vale,2,15,4,defaulted,Vale,0.238,0.286,0.623,0.599,True,True,True
329,19,riverbend,cedar plank,Ari,Cee,Nox,4,13,6,defaulted,Lio,0.283,0.331,0.596,0.572,True,True,True
331,19,archive,memory tag,Vell,Nia,Toma,2,18,1,late,Toma,0.276,0.288,0.605,0.599,True,True,True
332,19,signal,wind wrap,Oda,Ren,Kesh,2,16,3,defaulted,Kesh,0.341,0.377,0.55,0.532,True,True,True
333,19,orchard,seed satchel,Ivo,Pim,Suf,3,17,2,defaulted,Pim,0.353,0.377,0.544,0.532,True,True,True
334,19,repair_ring,copper wire,Pax,Wren,Juno,2,15,4,defaulted,Juno,0.275,0.323,0.575,0.551,True,True,True
335,19,riverbend,binding cord,Cee,Ari,Lio,2,13,6,defaulted,Lio,0.223,0.271,0.611,0.587,True,True,True
336,19,roofward,shade cloth,Bex,Sera,Orr,2,11,8,defaulted,Orr,0.313,0.361,0.525,0.501,True,True,True
337,19,archive,signal spool,Nia,Vell,Rin,3,18,1,late,Vell,0.359,0.371,0.548,0.542,True,True,True
338,19,signal,oil lantern,Ren,Oda,Milo,3,7,12,defaulted,Oda,0.359,0.407,0.555,0.531,True,True,True
