tick_id,day,week,settlement_id,resident_id,food_item,water_source,shelter_id,food_stock_before,food_stock_after,water_stock_before,water_stock_after,shelter_occupancy,shelter_capacity,hunger_before,hunger_after,thirst_before,thirst_after,ration_policy,economy_visible,reserve_floor_preserved
11,1,1,cinder_garden,Wren,seed meal,cool basin,cool basin,132.86,133.26,118.44,118.66,6,9,0.22,0.19,0.2,0.161,normal meal,True,True
12,1,1,lichen_bridge,Kio,rope grain,meal cistern,lichen wall,132.57,132.85,118.44,118.66,6,9,0.22,0.19,0.2,0.175,normal meal,True,True
13,1,1,orchid_engine,Cai,steam tea,condense pan,sleep cot,132.57,132.85,118.44,118.66,6,9,0.22,0.19,0.2,0.161,normal meal,True,True
14,1,1,moss_ward,Milo,moss bread,spring pipe,moss hall,132.51,132.79,118.44,118.66,5,9,0.22,0.19,0.2,0.161,normal meal,True,True
15,1,1,glass_harbor,Sera,kelp roll,cistern,net room,132.9,133.24,118.66,118.88,8,9,0.22,0.16,0.2,0.159,normal meal,True,True
16,2,1,lichen_bridge,Kio,rope grain,wall seep,rest alcove,132.85,133.31,118.66,118.88,6,9,0.19,0.13,0.175,0.12,normal meal,True,True
17,2,1,orchid_engine,Cai,steam tea,valve cistern,orchid bay,132.85,133.19,118.66,118.88,7,9,0.19,0.13,0.161,0.106,normal meal,True,True
18,2,1,moss_ward,Milo,moss bread,rain jar,root alcove,132.79,133.13,118.66,118.88,6,9,0.19,0.13,0.161,0.106,normal meal,True,True
19,2,1,glass_harbor,Sera,kelp roll,fog catcher,steam alcove,133.24,133.58,118.88,119.1,7,9,0.16,0.1,0.159,0.104,normal meal,True,True
20,2,1,cinder_garden,Juno,cool mash,cool basin,cool basin,133.26,133.54,118.66,118.78,6,9,0.22,0.19,0.2,0.175,normal meal,True,True
21,2,1,lichen_bridge,Luma,lichen soup,meal cistern,lichen wall,133.31,133.71,118.88,119.1,6,9,0.22,0.19,0.2,0.161,normal meal,True,True
22,2,1,orchid_engine,Dax,gear stew,condense pan,sleep cot,133.19,133.47,118.88,119.1,5,9,0.22,0.19,0.2,0.161,normal meal,True,True
23,2,1,moss_ward,Tala,root cakes,spring pipe,moss hall,133.13,133.41,118.88,119.1,6,9,0.22,0.19,0.2,0.161,normal meal,True,True
24,2,1,glass_harbor,Nia,salt porridge,cistern,net room,133.58,133.86,119.1,119.32,5,9,0.16,0.13,0.159,0.12,normal meal,True,True
25,2,1,cinder_garden,Pax,ember fruit,dew tray,shade tent,133.54,133.82,118.78,118.9,7,9,0.16,0.13,0.145,0.12,normal meal,True,True
26,2,1,lichen_bridge,Rin,bridge stew,wall seep,meal room,133.71,134.11,119.1,119.32,5,9,0.16,0.13,0.159,0.12,normal meal,True,True
27,2,1,orchid_engine,Eli,orchid rice,valve cistern,warm vent,133.47,133.7,119.1,119.32,6,9,0.16,0.13,0.145,0.106,normal meal,True,True
28,2,1,moss_ward,Ari,broth,rain jar,dry loft,133.41,133.64,119.1,119.32,5,9,0.19,0.16,0.161,0.122,normal meal,True,True
29,2,1,glass_harbor,Oren,tea loaf,fog catcher,lamp bunk,133.86,134.14,119.32,119.54,6,9,0.19,0.16,0.175,0.136,normal meal,True,True
30,2,1,cinder_garden,Vale,seed meal,cool basin,seed shelf,133.82,134.1,118.9,119.02,6,9,0.19,0.16,0.161,0.136,normal meal,True,True
31,2,1,lichen_bridge,Sol,rope grain,meal cistern,rest alcove,134.11,134.52,119.32,119.54,7,9,0.19,0.13,0.175,0.12,normal meal,True,True
32,3,1,moss_ward,Ari,broth,spring pipe,moss hall,133.64,134.05,119.32,119.54,6,9,0.16,0.1,0.122,0.067,normal meal,True,True
33,3,1,glass_harbor,Oren,tea loaf,cistern,net room,134.14,134.48,119.54,119.76,7,9,0.16,0.1,0.136,0.081,normal meal,True,True
34,3,1,cinder_garden,Vale,seed meal,dew tray,shade tent,134.1,134.44,119.02,119.14,6,9,0.16,0.1,0.136,0.081,normal meal,True,True
35,3,1,lichen_bridge,Sol,rope grain,wall seep,meal room,134.52,134.81,119.54,119.76,7,9,0.13,0.07,0.12,0.065,normal meal,True,True
36,3,1,orchid_engine,Bea,steam tea,valve cistern,warm vent,133.7,134.1,119.32,119.54,5,9,0.19,0.16,0.161,0.122,normal meal,True,True
37,3,1,moss_ward,Fay,moss bread,rain jar,dry loft,134.05,134.45,119.54,119.76,6,9,0.19,0.16,0.161,0.122,normal meal,True,True
38,3,1,glass_harbor,Puck,kelp roll,fog catcher,lamp bunk,134.48,134.76,119.76,119.98,5,9,0.19,0.16,0.175,0.136,normal meal,True,True
39,3,1,cinder_garden,Wren,cool mash,cool basin,seed shelf,134.44,134.72,119.14,119.26,6,9,0.19,0.16,0.161,0.122,normal meal,True,True
40,3,1,lichen_bridge,Kio,lichen soup,meal cistern,rest alcove,134.81,135.09,119.76,119.98,5,9,0.13,0.1,0.12,0.081,normal meal,True,True
41,3,1,orchid_engine,Cai,gear stew,condense pan,orchid bay,134.1,134.5,119.54,119.76,6,9,0.13,0.1,0.106,0.067,normal meal,True,True
42,3,1,moss_ward,Milo,root cakes,spring pipe,root alcove,134.45,134.85,119.76,119.98,5,9,0.13,0.1,0.106,0.067,normal meal,True,True
43,3,1,glass_harbor,Sera,salt porridge,cistern,steam alcove,134.76,135.04,119.98,120.2,6,9,0.1,0.07,0.104,0.065,normal meal,True,True
44,3,1,cinder_garden,Juno,ember fruit,dew tray,cool basin,134.72,135.0,119.26,119.38,5,9,0.19,0.16,0.175,0.136,normal meal,True,True
45,3,1,lichen_bridge,Luma,bridge stew,wall seep,lichen wall,135.09,135.37,119.98,120.2,6,9,0.19,0.16,0.161,0.122,normal meal,True,True
46,3,1,orchid_engine,Dax,orchid rice,valve cistern,sleep cot,134.5,134.9,119.76,119.98,5,9,0.19,0.16,0.161,0.122,normal meal,True,True
47,3,1,moss_ward,Tala,broth,rain jar,moss hall,134.85,135.31,119.98,120.2,7,9,0.19,0.13,0.161,0.106,normal meal,True,True
48,4,1,cinder_garden,Juno,ember fruit,cool basin,seed shelf,135.0,135.34,119.38,119.5,7,9,0.16,0.1,0.136,0.095,normal meal,True,True
49,4,1,lichen_bridge,Luma,bridge stew,meal cistern,rest alcove,135.37,135.71,120.2,120.42,7,9,0.16,0.1,0.122,0.067,normal meal,True,True
50,4,1,orchid_engine,Dax,orchid rice,condense pan,orchid bay,134.9,135.24,119.98,120.2,7,9,0.16,0.1,0.122,0.081,normal meal,True,True
51,4,1,moss_ward,Tala,broth,spring pipe,root alcove,135.31,135.65,120.2,120.42,8,9,0.13,0.07,0.106,0.065,normal meal,True,True
52,4,1,glass_harbor,Nia,tea loaf,cistern,steam alcove,135.04,135.32,120.2,120.42,5,9,0.13,0.1,0.12,0.081,normal meal,True,True
53,4,1,cinder_garden,Pax,seed meal,dew tray,cool basin,135.34,135.62,119.5,119.62,7,9,0.13,0.1,0.12,0.095,normal meal,True,True
54,4,1,lichen_bridge,Rin,rope grain,wall seep,lichen wall,135.71,135.99,120.42,120.64,5,9,0.13,0.1,0.12,0.081,normal meal,True,True
55,4,1,orchid_engine,Eli,steam tea,valve cistern,sleep cot,135.24,135.47,120.2,120.42,7,9,0.13,0.1,0.106,0.081,normal meal,True,True
56,4,1,moss_ward,Ari,moss bread,rain jar,moss hall,135.65,135.88,120.42,120.64,6,9,0.1,0.07,0.067,0.042,normal meal,True,True
57,4,1,glass_harbor,Oren,kelp roll,fog catcher,net room,135.32,135.6,120.42,120.64,6,9,0.1,0.07,0.081,0.042,normal meal,True,True
58,4,1,cinder_garden,Vale,cool mash,cool basin,shade tent,135.62,135.9,119.62,119.74,6,9,0.1,0.07,0.081,0.056,normal meal,True,True
59,4,1,lichen_bridge,Sol,lichen soup,meal cistern,meal room,135.99,136.22,120.64,120.86,6,9,0.07,0.04,0.065,0.026,normal meal,True,True
60,4,1,orchid_engine,Bea,gear stew,condense pan,warm vent,135.47,135.75,120.42,120.64,6,9,0.16,0.13,0.122,0.097,normal meal,True,True
61,4,1,moss_ward,Fay,root cakes,spring pipe,dry loft,135.88,136.16,120.64,120.86,7,9,0.16,0.13,0.122,0.097,normal meal,True,True
62,4,1,glass_harbor,Puck,salt porridge,cistern,lamp bunk,135.6,135.88,120.64,120.86,5,9,0.16,0.13,0.136,0.097,normal meal,True,True
63,4,1,cinder_garden,Wren,ember fruit,dew tray,seed shelf,135.9,136.24,119.74,119.86,8,9,0.16,0.1,0.122,0.081,normal meal,True,True
64,5,1,orchid_engine,Bea,gear stew,valve cistern,sleep cot,135.75,136.09,120.64,120.76,6,9,0.13,0.07,0.097,0.042,normal meal,True,True
65,5,1,moss_ward,Fay,root cakes,rain jar,moss hall,136.16,136.5,120.86,121.08,7,9,0.13,0.07,0.097,0.042,normal meal,True,True
66,5,1,glass_harbor,Puck,salt porridge,fog catcher,net room,135.88,136.34,120.86,121.08,6,9,0.13,0.07,0.097,0.042,normal meal,True,True
67,5,1,cinder_garden,Wren,ember fruit,cool basin,shade tent,136.24,136.58,119.86,120.08,7,9,0.1,0.04,0.081,0.026,normal meal,True,True
68,5,1,lichen_bridge,Kio,bridge stew,meal cistern,meal room,136.22,136.5,120.86,121.08,6,9,0.1,0.07,0.081,0.056,normal meal,True,True
69,5,1,orchid_engine,Cai,orchid rice,condense pan,warm vent,136.09,136.37,120.76,120.88,6,9,0.1,0.07,0.067,0.028,normal meal,True,True
70,5,1,moss_ward,Milo,broth,spring pipe,dry loft,136.5,136.78,121.08,121.3,5,9,0.1,0.07,0.067,0.028,normal meal,True,True
71,5,1,glass_harbor,Sera,tea loaf,cistern,lamp bunk,136.34,136.74,121.08,121.3,6,9,0.07,0.04,0.065,0.026,normal meal,True,True
72,5,1,cinder_garden,Juno,seed meal,dew tray,seed shelf,136.58,136.86,120.08,120.3,5,9,0.1,0.07,0.095,0.056,normal meal,True,True
73,5,1,lichen_bridge,Luma,rope grain,wall seep,rest alcove,136.5,136.78,121.08,121.3,7,9,0.1,0.07,0.067,0.042,normal meal,True,True
74,5,1,orchid_engine,Dax,steam tea,valve cistern,orchid bay,136.37,136.65,120.88,121.0,5,9,0.1,0.07,0.081,0.042,normal meal,True,True
75,5,1,moss_ward,Tala,moss bread,rain jar,root alcove,136.78,137.06,121.3,121.52,6,9,0.07,0.04,0.065,0.026,normal meal,True,True
76,5,1,glass_harbor,Nia,kelp roll,fog catcher,steam alcove,136.74,137.14,121.3,121.52,5,9,0.1,0.07,0.081,0.042,normal meal,True,True
77,5,1,cinder_garden,Pax,cool mash,cool basin,cool basin,136.86,137.14,120.3,120.52,6,9,0.1,0.07,0.095,0.056,normal meal,True,True
78,5,1,lichen_bridge,Rin,lichen soup,meal cistern,lichen wall,136.78,137.06,121.3,121.52,6,9,0.1,0.07,0.081,0.056,normal meal,True,True
79,5,1,orchid_engine,Eli,gear stew,condense pan,sleep cot,136.65,136.94,121.0,121.12,7,9,0.1,0.04,0.081,0.026,normal meal,True,True
80,6,1,glass_harbor,Nia,kelp roll,cistern,lamp bunk,137.14,137.48,121.52,121.74,7,9,0.07,0.01,0.042,0.001,normal meal,True,True
81,6,1,cinder_garden,Pax,cool mash,dew tray,seed shelf,137.14,137.6,120.52,120.74,7,9,0.07,0.01,0.056,0.001,normal meal,True,True
82,6,1,lichen_bridge,Rin,lichen soup,wall seep,rest alcove,137.06,137.4,121.52,121.74,7,9,0.07,0.01,0.056,0.015,normal meal,True,True
83,6,1,orchid_engine,Eli,gear stew,valve cistern,orchid bay,136.94,137.23,121.12,121.34,7,9,0.04,0.0,0.026,0.0,normal meal,True,True
84,6,1,moss_ward,Ari,root cakes,rain jar,root alcove,137.06,137.29,121.52,121.74,5,9,0.07,0.04,0.042,0.016,normal meal,True,True
85,6,1,glass_harbor,Oren,salt porridge,fog catcher,steam alcove,137.48,137.76,121.74,121.96,7,9,0.07,0.04,0.042,0.017,normal meal,True,True
86,6,1,cinder_garden,Vale,ember fruit,cool basin,cool basin,137.6,138.0,120.74,120.96,5,9,0.07,0.04,0.056,0.017,normal meal,True,True
87,6,1,lichen_bridge,Sol,bridge stew,meal cistern,lichen wall,137.4,137.63,121.74,121.96,7,9,0.04,0.018,0.026,0.016,normal meal,True,True
88,6,1,orchid_engine,Bea,orchid rice,condense pan,sleep cot,137.23,137.51,121.34,121.56,5,9,0.07,0.04,0.042,0.016,normal meal,True,True
89,6,1,moss_ward,Fay,broth,spring pipe,moss hall,137.29,137.57,121.74,121.96,6,9,0.07,0.04,0.042,0.016,normal meal,True,True
90,6,1,glass_harbor,Puck,tea loaf,cistern,net room,137.76,138.04,121.96,122.18,6,9,0.07,0.04,0.042,0.017,normal meal,True,True
91,6,1,cinder_garden,Wren,seed meal,dew tray,shade tent,138.0,138.4,120.96,121.18,6,9,0.04,0.018,0.026,0.016,normal meal,True,True
92,6,1,lichen_bridge,Kio,rope grain,wall seep,meal room,137.63,137.91,121.96,122.18,6,9,0.07,0.04,0.056,0.031,normal meal,True,True
93,6,1,orchid_engine,Cai,steam tea,valve cistern,warm vent,137.51,137.79,121.56,121.78,6,9,0.07,0.04,0.028,0.016,normal meal,True,True
94,6,1,moss_ward,Milo,moss bread,rain jar,dry loft,137.57,137.85,121.96,122.18,5,9,0.07,0.04,0.028,0.016,normal meal,True,True
95,6,1,glass_harbor,Sera,kelp roll,fog catcher,lamp bunk,138.04,138.38,122.18,122.4,8,9,0.04,0.0,0.026,0.0,normal meal,True,True
96,7,1,lichen_bridge,Kio,rope grain,meal cistern,lichen wall,137.91,138.37,122.18,122.4,6,9,0.04,0.0,0.031,0.0,normal meal,True,True
97,7,1,orchid_engine,Cai,steam tea,condense pan,sleep cot,137.79,138.13,121.78,122.0,7,9,0.04,0.0,0.016,0.0,normal meal,True,True
98,7,1,moss_ward,Milo,moss bread,spring pipe,moss hall,137.85,138.19,122.18,122.4,6,9,0.04,0.0,0.016,0.0,normal meal,True,True
99,7,1,glass_harbor,Sera,kelp roll,cistern,net room,138.38,138.72,122.4,122.62,7,9,0.0,0.0,0.0,0.0,normal meal,True,True
100,7,1,cinder_garden,Juno,cool mash,dew tray,shade tent,138.4,138.68,121.18,121.3,6,9,0.07,0.04,0.056,0.031,normal meal,True,True
101,7,1,lichen_bridge,Luma,lichen soup,wall seep,meal room,138.37,138.77,122.4,122.62,6,9,0.07,0.04,0.042,0.016,normal meal,True,True
102,7,1,orchid_engine,Dax,gear stew,valve cistern,warm vent,138.13,138.41,122.0,122.22,5,9,0.07,0.04,0.042,0.016,normal meal,True,True
103,7,1,moss_ward,Tala,root cakes,rain jar,dry loft,138.19,138.47,122.4,122.62,6,9,0.04,0.018,0.026,0.016,normal meal,True,True
104,7,1,glass_harbor,Nia,salt porridge,fog catcher,lamp bunk,138.72,139.0,122.62,122.84,5,9,0.01,0.018,0.001,0.016,normal meal,True,True
105,7,1,cinder_garden,Pax,ember fruit,cool basin,seed shelf,138.68,138.96,121.3,121.42,7,9,0.01,0.018,0.001,0.016,normal meal,True,True
106,7,1,lichen_bridge,Rin,bridge stew,meal cistern,rest alcove,138.77,139.17,122.62,122.84,5,9,0.01,0.018,0.015,0.016,normal meal,True,True
107,7,1,orchid_engine,Eli,orchid rice,condense pan,orchid bay,138.41,138.64,122.22,122.44,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
108,7,1,moss_ward,Ari,broth,spring pipe,root alcove,138.47,138.7,122.62,122.84,5,9,0.04,0.018,0.016,0.016,normal meal,True,True
109,7,1,glass_harbor,Oren,tea loaf,cistern,steam alcove,139.0,139.28,122.84,123.06,6,9,0.04,0.018,0.017,0.016,normal meal,True,True
110,7,1,cinder_garden,Vale,seed meal,dew tray,cool basin,138.96,139.24,121.42,121.54,6,9,0.04,0.018,0.017,0.016,normal meal,True,True
111,7,1,lichen_bridge,Sol,rope grain,wall seep,lichen wall,139.17,139.58,122.84,123.06,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
112,8,2,moss_ward,Ari,root cakes,rain jar,moss hall,138.7,139.11,122.84,123.06,6,9,0.018,0.0,0.016,0.0,normal meal,True,True
113,8,2,glass_harbor,Oren,salt porridge,fog catcher,net room,139.28,139.62,123.06,123.28,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
114,8,2,cinder_garden,Vale,ember fruit,cool basin,shade tent,139.24,139.58,121.54,121.66,6,9,0.018,0.0,0.016,0.0,normal meal,True,True
115,8,2,lichen_bridge,Sol,bridge stew,meal cistern,meal room,139.58,139.87,123.06,123.28,7,9,0.0,0.0,0.0,0.0,normal meal,True,True
116,8,2,orchid_engine,Bea,orchid rice,condense pan,warm vent,138.64,139.04,122.44,122.66,5,9,0.04,0.018,0.016,0.016,normal meal,True,True
117,8,2,moss_ward,Fay,broth,spring pipe,dry loft,139.11,139.51,123.06,123.28,6,9,0.04,0.018,0.016,0.016,normal meal,True,True
118,8,2,glass_harbor,Puck,tea loaf,cistern,lamp bunk,139.62,139.9,123.28,123.5,5,9,0.04,0.018,0.017,0.016,normal meal,True,True
119,8,2,cinder_garden,Wren,seed meal,dew tray,seed shelf,139.58,139.86,121.66,121.78,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
120,8,2,lichen_bridge,Kio,rope grain,wall seep,rest alcove,139.87,140.15,123.28,123.5,5,9,0.0,0.018,0.0,0.016,normal meal,True,True
121,8,2,orchid_engine,Cai,steam tea,valve cistern,orchid bay,139.04,139.44,122.66,122.88,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
122,8,2,moss_ward,Milo,moss bread,rain jar,root alcove,139.51,139.91,123.28,123.5,5,9,0.0,0.018,0.0,0.016,normal meal,True,True
123,8,2,glass_harbor,Sera,kelp roll,fog catcher,steam alcove,139.9,140.18,123.5,123.72,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
124,8,2,cinder_garden,Juno,cool mash,cool basin,cool basin,139.86,140.14,121.78,121.9,5,9,0.04,0.018,0.031,0.016,normal meal,True,True
125,8,2,lichen_bridge,Luma,lichen soup,meal cistern,lichen wall,140.15,140.43,123.5,123.72,6,9,0.04,0.018,0.016,0.016,normal meal,True,True
126,8,2,orchid_engine,Dax,gear stew,condense pan,sleep cot,139.44,139.84,122.88,123.1,5,9,0.04,0.018,0.016,0.016,normal meal,True,True
127,8,2,moss_ward,Tala,root cakes,spring pipe,moss hall,139.91,140.37,123.5,123.72,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
128,9,2,cinder_garden,Juno,cool mash,dew tray,seed shelf,140.14,140.48,121.9,122.02,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
129,9,2,lichen_bridge,Luma,lichen soup,wall seep,rest alcove,140.43,140.77,123.72,123.94,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
130,9,2,orchid_engine,Dax,gear stew,valve cistern,orchid bay,139.84,140.18,123.1,123.32,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
131,9,2,moss_ward,Tala,root cakes,rain jar,root alcove,140.37,140.71,123.72,123.94,8,9,0.0,0.0,0.0,0.0,normal meal,True,True
132,9,2,glass_harbor,Nia,salt porridge,fog catcher,steam alcove,140.18,140.46,123.72,123.94,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
133,9,2,cinder_garden,Pax,ember fruit,cool basin,cool basin,140.48,140.76,122.02,122.14,7,9,0.018,0.018,0.016,0.016,normal meal,True,True
134,9,2,lichen_bridge,Rin,bridge stew,meal cistern,lichen wall,140.77,141.05,123.94,124.16,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
135,9,2,orchid_engine,Eli,orchid rice,condense pan,sleep cot,140.18,140.41,123.32,123.54,7,9,0.018,0.018,0.016,0.016,normal meal,True,True
136,9,2,moss_ward,Ari,broth,spring pipe,moss hall,140.71,140.94,123.94,124.16,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
137,9,2,glass_harbor,Oren,tea loaf,cistern,net room,140.46,140.74,123.94,124.16,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
138,9,2,cinder_garden,Vale,seed meal,dew tray,shade tent,140.76,141.04,122.14,122.26,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
139,9,2,lichen_bridge,Sol,rope grain,wall seep,meal room,141.05,141.28,124.16,124.38,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
140,9,2,orchid_engine,Bea,steam tea,valve cistern,warm vent,140.41,140.69,123.54,123.76,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
141,9,2,moss_ward,Fay,moss bread,rain jar,dry loft,140.94,141.22,124.16,124.38,7,9,0.018,0.018,0.016,0.016,normal meal,True,True
142,9,2,glass_harbor,Puck,kelp roll,fog catcher,lamp bunk,140.74,141.02,124.16,124.38,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
143,9,2,cinder_garden,Wren,cool mash,cool basin,seed shelf,141.04,141.38,122.26,122.38,8,9,0.018,0.0,0.016,0.0,normal meal,True,True
144,10,2,orchid_engine,Bea,steam tea,condense pan,sleep cot,140.69,141.03,123.76,123.88,6,9,0.018,0.0,0.016,0.0,normal meal,True,True
145,10,2,moss_ward,Fay,moss bread,spring pipe,moss hall,141.22,141.56,124.38,124.6,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
146,10,2,glass_harbor,Puck,kelp roll,cistern,net room,141.02,141.48,124.38,124.6,6,9,0.018,0.0,0.016,0.0,normal meal,True,True
147,10,2,cinder_garden,Wren,cool mash,dew tray,shade tent,141.38,141.72,122.38,122.6,7,9,0.0,0.0,0.0,0.0,normal meal,True,True
148,10,2,lichen_bridge,Kio,lichen soup,wall seep,meal room,141.28,141.56,124.38,124.6,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
149,10,2,orchid_engine,Cai,gear stew,valve cistern,warm vent,141.03,141.31,123.88,124.0,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
150,10,2,moss_ward,Milo,root cakes,rain jar,dry loft,141.56,141.84,124.6,124.82,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
151,10,2,glass_harbor,Sera,salt porridge,fog catcher,lamp bunk,141.48,141.88,124.6,124.82,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
152,10,2,cinder_garden,Juno,ember fruit,cool basin,seed shelf,141.72,142.0,122.6,122.82,5,9,0.0,0.018,0.0,0.016,normal meal,True,True
153,10,2,lichen_bridge,Luma,bridge stew,meal cistern,rest alcove,141.56,141.84,124.6,124.82,7,9,0.0,0.018,0.0,0.016,normal meal,True,True
154,10,2,orchid_engine,Dax,orchid rice,condense pan,orchid bay,141.31,141.59,124.0,124.12,5,9,0.0,0.018,0.0,0.016,normal meal,True,True
155,10,2,moss_ward,Tala,broth,spring pipe,root alcove,141.84,142.12,124.82,125.04,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
156,10,2,glass_harbor,Nia,tea loaf,cistern,steam alcove,141.88,142.28,124.82,125.04,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
157,10,2,cinder_garden,Pax,seed meal,dew tray,cool basin,142.0,142.28,122.82,123.04,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
158,10,2,lichen_bridge,Rin,rope grain,wall seep,lichen wall,141.84,142.12,124.82,125.04,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
159,10,2,orchid_engine,Eli,steam tea,valve cistern,sleep cot,141.59,141.88,124.12,124.24,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
160,11,2,glass_harbor,Nia,tea loaf,fog catcher,lamp bunk,142.28,142.62,125.04,125.26,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
161,11,2,cinder_garden,Pax,seed meal,cool basin,seed shelf,142.28,142.74,123.04,123.26,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
162,11,2,lichen_bridge,Rin,rope grain,meal cistern,rest alcove,142.12,142.46,125.04,125.26,7,9,0.018,0.0,0.016,0.0,normal meal,True,True
163,11,2,orchid_engine,Eli,steam tea,condense pan,orchid bay,141.88,142.17,124.24,124.46,7,9,0.0,0.0,0.0,0.0,normal meal,True,True
164,11,2,moss_ward,Ari,moss bread,spring pipe,root alcove,142.12,142.35,125.04,125.26,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
165,11,2,glass_harbor,Oren,kelp roll,cistern,steam alcove,142.62,142.9,125.26,125.48,7,9,0.018,0.018,0.016,0.016,normal meal,True,True
166,11,2,cinder_garden,Vale,cool mash,dew tray,cool basin,142.74,143.14,123.26,123.48,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
167,11,2,lichen_bridge,Sol,lichen soup,wall seep,lichen wall,142.46,142.69,125.26,125.48,7,9,0.018,0.018,0.016,0.016,normal meal,True,True
168,11,2,orchid_engine,Bea,gear stew,valve cistern,sleep cot,142.17,142.45,124.46,124.68,5,9,0.0,0.018,0.0,0.016,normal meal,True,True
169,11,2,moss_ward,Fay,root cakes,rain jar,moss hall,142.35,142.63,125.26,125.48,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
170,11,2,glass_harbor,Puck,salt porridge,fog catcher,net room,142.9,143.18,125.48,125.7,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
171,11,2,cinder_garden,Wren,ember fruit,cool basin,shade tent,143.14,143.54,123.48,123.7,6,9,0.0,0.018,0.0,0.016,normal meal,True,True
172,11,2,lichen_bridge,Kio,bridge stew,meal cistern,meal room,142.69,142.97,125.48,125.7,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
173,11,2,orchid_engine,Cai,orchid rice,condense pan,warm vent,142.45,142.73,124.68,124.9,6,9,0.018,0.018,0.016,0.016,normal meal,True,True
174,11,2,moss_ward,Milo,broth,spring pipe,dry loft,142.63,142.91,125.48,125.7,5,9,0.018,0.018,0.016,0.016,normal meal,True,True
175,11,2,glass_harbor,Sera,tea loaf,cistern,lamp bunk,143.18,143.52,125.7,125.92,8,9,0.018,0.0,0.016,0.0,normal meal,True,True
