tick,day,resident,resource_name,resource_before,resource_after,item_name,item_before,item_after,widget_patch,visible_delta,localstorage_written
16,1,Fay,stone,18,17,dry cloak,3,3,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
17,1,Milo,copper,19,20,sealed jar,0,0,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
18,2,Sera,charcoal,21,22,patch kit,0,1,"{""after"": 22, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:+1,True
19,2,Tovan,water,22,21,dry cloak,2,2,"{""after"": 21, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; dry cloak:+0,True
20,2,Nia,fiber,23,24,sealed jar,4,4,"{""after"": 24, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
21,2,Ari,wood,24,23,patch kit,0,0,"{""after"": 23, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; patch kit:+0,True
22,2,Fay,stone,25,26,dry cloak,2,2,"{""after"": 26, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
23,2,Milo,copper,26,25,sealed jar,4,5,"{""after"": 25, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""copper""}",copper:-1; sealed jar:+1,True
24,2,Sera,herb,27,28,patch kit,1,0,"{""after"": 28, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
25,2,Tovan,charcoal,28,27,dry cloak,3,4,"{""after"": 27, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+1,True
26,2,Nia,water,29,30,sealed jar,0,0,"{""after"": 30, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; sealed jar:+0,True
27,2,Ari,fiber,30,29,patch kit,1,0,"{""after"": 29, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
28,2,Fay,wood,31,32,dry cloak,3,3,"{""after"": 32, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
29,2,Milo,stone,9,8,sealed jar,0,0,"{""after"": 8, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
30,2,Sera,copper,10,11,patch kit,2,3,"{""after"": 11, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; patch kit:+1,True
31,2,Tovan,herb,11,10,dry cloak,4,4,"{""after"": 10, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
32,2,Nia,charcoal,12,13,sealed jar,1,2,"{""after"": 13, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+1,True
33,2,Ari,water,13,12,patch kit,2,1,"{""after"": 12, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:-1,True
34,2,Fay,fiber,14,15,dry cloak,4,4,"{""after"": 15, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
35,2,Milo,wood,15,14,sealed jar,1,1,"{""after"": 14, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
36,3,Sera,copper,17,16,patch kit,1,0,"{""after"": 16, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
37,3,Tovan,herb,18,19,dry cloak,3,4,"{""after"": 19, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; dry cloak:+1,True
38,3,Nia,charcoal,19,18,sealed jar,0,0,"{""after"": 18, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
39,3,Ari,water,20,21,patch kit,1,0,"{""after"": 21, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; patch kit:-1,True
40,3,Fay,fiber,21,20,dry cloak,3,3,"{""after"": 20, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
41,3,Milo,wood,22,23,sealed jar,0,0,"{""after"": 23, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
42,3,Sera,stone,23,22,patch kit,2,3,"{""after"": 22, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; patch kit:+1,True
43,3,Tovan,copper,24,25,dry cloak,4,4,"{""after"": 25, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
44,3,Nia,herb,25,24,sealed jar,1,2,"{""after"": 24, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; sealed jar:+1,True
45,3,Ari,charcoal,26,27,patch kit,2,1,"{""after"": 27, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
46,3,Fay,water,27,26,dry cloak,4,4,"{""after"": 26, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; dry cloak:+0,True
47,3,Milo,fiber,28,29,sealed jar,1,1,"{""after"": 29, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
48,3,Sera,wood,29,28,patch kit,3,2,"{""after"": 28, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
49,3,Tovan,stone,30,31,dry cloak,0,1,"{""after"": 31, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:+1; dry cloak:+1,True
50,3,Nia,copper,31,30,sealed jar,2,2,"{""after"": 30, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
51,3,Ari,herb,9,10,patch kit,3,4,"{""after"": 10, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; patch kit:+1,True
52,3,Fay,charcoal,10,9,dry cloak,0,0,"{""after"": 9, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
53,3,Milo,water,11,12,sealed jar,2,2,"{""after"": 12, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""water""}",water:+1; sealed jar:+0,True
54,4,Sera,wood,13,14,patch kit,2,3,"{""after"": 14, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; patch kit:+1,True
55,4,Tovan,stone,14,13,dry cloak,4,4,"{""after"": 13, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:-1; dry cloak:+0,True
56,4,Nia,copper,15,16,sealed jar,1,2,"{""after"": 16, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; sealed jar:+1,True
57,4,Ari,herb,16,15,patch kit,2,1,"{""after"": 15, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""herb""}",herb:-1; patch kit:-1,True
58,4,Fay,charcoal,17,18,dry cloak,4,4,"{""after"": 18, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
59,4,Milo,water,18,17,sealed jar,1,1,"{""after"": 17, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; sealed jar:+0,True
60,4,Sera,fiber,19,20,patch kit,3,2,"{""after"": 20, ""before"": 19, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
61,4,Tovan,wood,20,19,dry cloak,0,1,"{""after"": 19, ""before"": 20, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:-1; dry cloak:+1,True
62,4,Nia,stone,21,22,sealed jar,2,2,"{""after"": 22, ""before"": 21, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
63,4,Ari,copper,22,21,patch kit,3,4,"{""after"": 21, ""before"": 22, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:-1; patch kit:+1,True
64,4,Fay,herb,23,24,dry cloak,0,0,"{""after"": 24, ""before"": 23, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; dry cloak:+0,True
65,4,Milo,charcoal,24,23,sealed jar,2,2,"{""after"": 23, ""before"": 24, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
66,4,Sera,water,25,26,patch kit,4,3,"{""after"": 26, ""before"": 25, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""water""}",water:+1; patch kit:-1,True
67,4,Tovan,fiber,26,25,dry cloak,1,1,"{""after"": 25, ""before"": 26, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
68,4,Nia,wood,27,28,sealed jar,3,4,"{""after"": 28, ""before"": 27, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; sealed jar:+1,True
69,4,Ari,stone,28,27,patch kit,4,3,"{""after"": 27, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
70,4,Fay,copper,29,30,dry cloak,1,2,"{""after"": 30, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; dry cloak:+1,True
71,4,Milo,herb,30,29,sealed jar,3,3,"{""after"": 29, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
72,5,Sera,water,9,8,patch kit,3,2,"{""after"": 8, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; patch kit:-1,True
73,5,Tovan,fiber,10,11,dry cloak,0,1,"{""after"": 11, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; dry cloak:+1,True
74,5,Nia,wood,11,10,sealed jar,2,2,"{""after"": 10, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; sealed jar:+0,True
75,5,Ari,stone,12,13,patch kit,3,4,"{""after"": 13, ""before"": 12, ""item"": ""patch kit"", ""itemAfter"": 4, ""resource"": ""stone""}",stone:+1; patch kit:+1,True
76,5,Fay,copper,13,12,dry cloak,0,0,"{""after"": 12, ""before"": 13, ""item"": ""dry cloak"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
77,5,Milo,herb,14,15,sealed jar,2,2,"{""after"": 15, ""before"": 14, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
78,5,Sera,charcoal,15,14,patch kit,4,3,"{""after"": 14, ""before"": 15, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
79,5,Tovan,water,16,17,dry cloak,1,1,"{""after"": 17, ""before"": 16, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""water""}",water:+1; dry cloak:+0,True
80,5,Nia,fiber,17,16,sealed jar,3,4,"{""after"": 16, ""before"": 17, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; sealed jar:+1,True
81,5,Ari,wood,18,19,patch kit,4,3,"{""after"": 19, ""before"": 18, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:+1; patch kit:-1,True
82,5,Fay,stone,19,18,dry cloak,1,2,"{""after"": 18, ""before"": 19, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""stone""}",stone:-1; dry cloak:+1,True
83,5,Milo,copper,20,21,sealed jar,3,3,"{""after"": 21, ""before"": 20, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:+1; sealed jar:+0,True
84,5,Sera,herb,21,20,patch kit,0,0,"{""after"": 20, ""before"": 21, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:-1; patch kit:+0,True
85,5,Tovan,charcoal,22,23,dry cloak,2,2,"{""after"": 23, ""before"": 22, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; dry cloak:+0,True
86,5,Nia,water,23,22,sealed jar,4,4,"{""after"": 22, ""before"": 23, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""water""}",water:-1; sealed jar:+0,True
87,5,Ari,fiber,24,25,patch kit,0,1,"{""after"": 25, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""fiber""}",fiber:+1; patch kit:+1,True
88,5,Fay,wood,25,24,dry cloak,2,2,"{""after"": 24, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
89,5,Milo,stone,26,27,sealed jar,4,5,"{""after"": 27, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""stone""}",stone:+1; sealed jar:+1,True
90,6,Sera,herb,28,29,patch kit,4,3,"{""after"": 29, ""before"": 28, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
91,6,Tovan,charcoal,29,28,dry cloak,1,1,"{""after"": 28, ""before"": 29, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+0,True
92,6,Nia,water,30,31,sealed jar,3,4,"{""after"": 31, ""before"": 30, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; sealed jar:+1,True
93,6,Ari,fiber,31,30,patch kit,4,3,"{""after"": 30, ""before"": 31, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; patch kit:-1,True
94,6,Fay,wood,9,10,dry cloak,1,2,"{""after"": 10, ""before"": 9, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""wood""}",wood:+1; dry cloak:+1,True
95,6,Milo,stone,10,9,sealed jar,3,3,"{""after"": 9, ""before"": 10, ""item"": ""sealed jar"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
96,6,Sera,copper,11,12,patch kit,0,0,"{""after"": 12, ""before"": 11, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:+1; patch kit:+0,True
97,6,Tovan,herb,12,11,dry cloak,2,2,"{""after"": 11, ""before"": 12, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
98,6,Nia,charcoal,13,14,sealed jar,4,4,"{""after"": 14, ""before"": 13, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+0,True
99,6,Ari,water,14,13,patch kit,0,1,"{""after"": 13, ""before"": 14, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; patch kit:+1,True
100,6,Fay,fiber,15,16,dry cloak,2,2,"{""after"": 16, ""before"": 15, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; dry cloak:+0,True
101,6,Milo,wood,16,15,sealed jar,4,5,"{""after"": 15, ""before"": 16, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""wood""}",wood:-1; sealed jar:+1,True
102,6,Sera,stone,17,18,patch kit,1,0,"{""after"": 18, ""before"": 17, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; patch kit:-1,True
103,6,Tovan,copper,18,17,dry cloak,3,3,"{""after"": 17, ""before"": 18, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""copper""}",copper:-1; dry cloak:+0,True
104,6,Nia,herb,19,20,sealed jar,0,0,"{""after"": 20, ""before"": 19, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; sealed jar:+0,True
105,6,Ari,charcoal,20,19,patch kit,1,0,"{""after"": 19, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; patch kit:-1,True
106,6,Fay,water,21,22,dry cloak,3,4,"{""after"": 22, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""water""}",water:+1; dry cloak:+1,True
107,6,Milo,fiber,22,21,sealed jar,0,0,"{""after"": 21, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:-1; sealed jar:+0,True
108,7,Sera,stone,24,23,patch kit,0,0,"{""after"": 23, ""before"": 24, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:-1; patch kit:+0,True
109,7,Tovan,copper,25,26,dry cloak,2,2,"{""after"": 26, ""before"": 25, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
110,7,Nia,herb,26,25,sealed jar,4,4,"{""after"": 25, ""before"": 26, ""item"": ""sealed jar"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; sealed jar:+0,True
111,7,Ari,charcoal,27,28,patch kit,0,1,"{""after"": 28, ""before"": 27, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""charcoal""}",charcoal:+1; patch kit:+1,True
112,7,Fay,water,28,27,dry cloak,2,2,"{""after"": 27, ""before"": 28, ""item"": ""dry cloak"", ""itemAfter"": 2, ""resource"": ""water""}",water:-1; dry cloak:+0,True
113,7,Milo,fiber,29,30,sealed jar,4,5,"{""after"": 30, ""before"": 29, ""item"": ""sealed jar"", ""itemAfter"": 5, ""resource"": ""fiber""}",fiber:+1; sealed jar:+1,True
114,7,Sera,wood,30,29,patch kit,1,0,"{""after"": 29, ""before"": 30, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""wood""}",wood:-1; patch kit:-1,True
115,7,Tovan,stone,31,32,dry cloak,3,3,"{""after"": 32, ""before"": 31, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""stone""}",stone:+1; dry cloak:+0,True
116,7,Nia,copper,9,8,sealed jar,0,0,"{""after"": 8, ""before"": 9, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; sealed jar:+0,True
117,7,Ari,herb,10,11,patch kit,1,0,"{""after"": 11, ""before"": 10, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""herb""}",herb:+1; patch kit:-1,True
118,7,Fay,charcoal,11,10,dry cloak,3,4,"{""after"": 10, ""before"": 11, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""charcoal""}",charcoal:-1; dry cloak:+1,True
119,7,Milo,water,12,13,sealed jar,0,0,"{""after"": 13, ""before"": 12, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""water""}",water:+1; sealed jar:+0,True
120,7,Sera,fiber,13,12,patch kit,2,3,"{""after"": 12, ""before"": 13, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""fiber""}",fiber:-1; patch kit:+1,True
121,7,Tovan,wood,14,15,dry cloak,4,4,"{""after"": 15, ""before"": 14, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""wood""}",wood:+1; dry cloak:+0,True
122,7,Nia,stone,15,14,sealed jar,1,1,"{""after"": 14, ""before"": 15, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; sealed jar:+0,True
123,7,Ari,copper,16,17,patch kit,2,1,"{""after"": 17, ""before"": 16, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""copper""}",copper:+1; patch kit:-1,True
124,7,Fay,herb,17,16,dry cloak,4,4,"{""after"": 16, ""before"": 17, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:-1; dry cloak:+0,True
125,7,Milo,charcoal,18,19,sealed jar,1,2,"{""after"": 19, ""before"": 18, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; sealed jar:+1,True
126,8,Sera,fiber,20,21,patch kit,1,0,"{""after"": 21, ""before"": 20, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""fiber""}",fiber:+1; patch kit:-1,True
127,8,Tovan,wood,21,20,dry cloak,3,3,"{""after"": 20, ""before"": 21, ""item"": ""dry cloak"", ""itemAfter"": 3, ""resource"": ""wood""}",wood:-1; dry cloak:+0,True
128,8,Nia,stone,22,23,sealed jar,0,0,"{""after"": 23, ""before"": 22, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""stone""}",stone:+1; sealed jar:+0,True
129,8,Ari,copper,23,22,patch kit,1,0,"{""after"": 22, ""before"": 23, ""item"": ""patch kit"", ""itemAfter"": 0, ""resource"": ""copper""}",copper:-1; patch kit:-1,True
130,8,Fay,herb,24,25,dry cloak,3,4,"{""after"": 25, ""before"": 24, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""herb""}",herb:+1; dry cloak:+1,True
131,8,Milo,charcoal,25,24,sealed jar,0,0,"{""after"": 24, ""before"": 25, ""item"": ""sealed jar"", ""itemAfter"": 0, ""resource"": ""charcoal""}",charcoal:-1; sealed jar:+0,True
132,8,Sera,water,26,27,patch kit,2,3,"{""after"": 27, ""before"": 26, ""item"": ""patch kit"", ""itemAfter"": 3, ""resource"": ""water""}",water:+1; patch kit:+1,True
133,8,Tovan,fiber,27,26,dry cloak,4,4,"{""after"": 26, ""before"": 27, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""fiber""}",fiber:-1; dry cloak:+0,True
134,8,Nia,wood,28,29,sealed jar,1,1,"{""after"": 29, ""before"": 28, ""item"": ""sealed jar"", ""itemAfter"": 1, ""resource"": ""wood""}",wood:+1; sealed jar:+0,True
135,8,Ari,stone,29,28,patch kit,2,1,"{""after"": 28, ""before"": 29, ""item"": ""patch kit"", ""itemAfter"": 1, ""resource"": ""stone""}",stone:-1; patch kit:-1,True
136,8,Fay,copper,30,31,dry cloak,4,4,"{""after"": 31, ""before"": 30, ""item"": ""dry cloak"", ""itemAfter"": 4, ""resource"": ""copper""}",copper:+1; dry cloak:+0,True
137,8,Milo,herb,31,30,sealed jar,1,2,"{""after"": 30, ""before"": 31, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""herb""}",herb:-1; sealed jar:+1,True
138,8,Sera,charcoal,9,10,patch kit,3,2,"{""after"": 10, ""before"": 9, ""item"": ""patch kit"", ""itemAfter"": 2, ""resource"": ""charcoal""}",charcoal:+1; patch kit:-1,True
139,8,Tovan,water,10,9,dry cloak,0,1,"{""after"": 9, ""before"": 10, ""item"": ""dry cloak"", ""itemAfter"": 1, ""resource"": ""water""}",water:-1; dry cloak:+1,True
140,8,Nia,fiber,11,12,sealed jar,2,2,"{""after"": 12, ""before"": 11, ""item"": ""sealed jar"", ""itemAfter"": 2, ""resource"": ""fiber""}",fiber:+1; sealed jar:+0,True
