tick_id,day,agent_id,my_body_score,my_object_score,my_home_score,my_choice_score,boundary_pressure,autonomy_pressure,felt_respect,self_confidence,social_face,boundary_phrase_public,self_boundary_intact
55,5,Fay,0.8222,0.7976,0.7712,0.8219,0.148,0.381,0.839,0.611,0.53,That is mine; ask before touching it.,True
56,5,Nia,0.8188,0.8444,0.7504,0.7892,0.261,0.708,0.672,0.594,0.484,I need room to choose.,True
57,5,Milo,0.8228,0.8156,0.7584,0.7782,0.442,0.818,0.465,0.614,0.458,I need room to choose.,True
59,5,Juno,0.8272,0.8048,0.7408,0.7822,0.414,0.778,0.617,0.636,0.495,I need room to choose.,True
60,6,Ari,0.823,0.8192,0.7792,0.7972,0.493,0.628,0.467,0.615,0.458,I need room to choose.,True
61,6,Fay,0.823,0.7976,0.7712,0.8215,0.103,0.385,0.899,0.615,0.532,I can stay with this.,True
62,6,Nia,0.8238,0.8444,0.7504,0.7888,0.216,0.712,0.732,0.619,0.486,I need room to choose.,True
64,6,Ivo,0.828,0.8318,0.7776,0.8119,0.239,0.481,0.739,0.64,0.534,That is mine; ask before touching it.,True
67,6,Fay,0.8238,0.7976,0.7712,0.816,0.188,0.44,0.834,0.619,0.534,That is mine; ask before touching it.,True
69,6,Milo,0.8236,0.8156,0.7584,0.7778,0.448,0.822,0.5,0.618,0.46,That is mine; ask before touching it.,True
71,6,Juno,0.828,0.8048,0.7408,0.7818,0.42,0.782,0.652,0.64,0.497,That is mine; ask before touching it.,True
72,7,Ari,0.8238,0.8192,0.7792,0.7997,0.448,0.603,0.527,0.619,0.486,I can stay with this.,True
74,7,Nia,0.8246,0.8444,0.7504,0.7884,0.222,0.716,0.744,0.623,0.488,I need room to choose.,True
76,7,Ivo,0.8288,0.8318,0.7776,0.8064,0.324,0.536,0.674,0.644,0.499,I can stay with this.,True
78,7,Ari,0.8246,0.8192,0.7792,0.7993,0.454,0.607,0.562,0.623,0.488,That is mine; ask before touching it.,True
79,7,Fay,0.8246,0.7976,0.7712,0.8105,0.273,0.495,0.769,0.623,0.499,I can stay with this.,True
81,7,Milo,0.8286,0.8156,0.7584,0.7803,0.454,0.797,0.535,0.643,0.462,I need room to choose.,True
83,7,Juno,0.833,0.8048,0.7408,0.7843,0.426,0.757,0.687,0.665,0.499,I need room to choose.,True
84,8,Ari,0.8254,0.8192,0.7792,0.7989,0.409,0.611,0.622,0.627,0.49,I can stay with this.,True
86,8,Nia,0.8254,0.8444,0.7504,0.788,0.228,0.72,0.756,0.627,0.49,I need room to choose.,True
88,8,Ivo,0.8252,0.8318,0.7776,0.8009,0.409,0.591,0.609,0.626,0.464,I can stay with this.,True
91,8,Fay,0.821,0.7976,0.7712,0.805,0.358,0.55,0.704,0.605,0.464,I can stay with this.,True
93,8,Milo,0.8294,0.8156,0.7584,0.7748,0.539,0.852,0.47,0.647,0.464,That is mine; ask before touching it.,True
95,8,Juno,0.8338,0.8048,0.7408,0.7788,0.511,0.812,0.622,0.669,0.501,That is mine; ask before touching it.,True
96,9,Ari,0.8262,0.8192,0.7792,0.8014,0.364,0.586,0.682,0.631,0.492,I can stay with this.,True
98,9,Nia,0.8262,0.8444,0.7504,0.7876,0.234,0.724,0.791,0.631,0.492,That is mine; ask before touching it.,True
100,9,Ivo,0.8302,0.8318,0.7776,0.8034,0.415,0.566,0.644,0.651,0.466,I can stay with this.,True
101,9,Juno,0.8388,0.8048,0.7408,0.7813,0.517,0.787,0.657,0.694,0.503,I need room to choose.,True
103,9,Fay,0.826,0.7976,0.7712,0.8075,0.364,0.525,0.739,0.63,0.466,I can stay with this.,True
105,9,Milo,0.8302,0.8156,0.7584,0.7693,0.624,0.907,0.405,0.651,0.429,I need room to choose.,True
107,9,Juno,0.8396,0.8048,0.7408,0.7758,0.602,0.842,0.592,0.698,0.468,I need room to choose.,True
108,10,Fay,0.8268,0.7976,0.7712,0.8071,0.37,0.529,0.751,0.634,0.468,I can stay with this.,True
110,10,Milo,0.831,0.8156,0.7584,0.764,0.709,0.96,0.34,0.655,0.394,I need room to choose.,True
111,10,Ivo,0.8352,0.8318,0.7776,0.8059,0.421,0.541,0.679,0.676,0.468,I can stay with this.,True
112,10,Juno,0.8446,0.8048,0.7408,0.7783,0.608,0.817,0.627,0.723,0.47,I need room to choose.,True
115,10,Nia,0.8312,0.8444,0.7504,0.7901,0.24,0.699,0.826,0.656,0.494,I need room to choose.,True
117,10,Ivo,0.8402,0.8318,0.7776,0.8084,0.427,0.516,0.714,0.701,0.47,I can stay with this.,True
119,10,Ari,0.827,0.8192,0.7792,0.7959,0.449,0.641,0.617,0.635,0.457,I need room to choose.,True
120,11,Fay,0.8276,0.7976,0.7712,0.8067,0.376,0.533,0.763,0.638,0.47,I can stay with this.,True
122,11,Milo,0.8274,0.8156,0.7584,0.764,0.794,0.96,0.275,0.637,0.359,I need room to choose.,True
124,11,Juno,0.8454,0.8048,0.7408,0.7728,0.693,0.872,0.562,0.727,0.472,That is mine; ask before touching it.,True
127,11,Nia,0.832,0.8444,0.7504,0.7846,0.325,0.754,0.761,0.66,0.496,That is mine; ask before touching it.,True
128,11,Milo,0.8282,0.8156,0.7584,0.764,0.8,0.96,0.31,0.641,0.361,That is mine; ask before touching it.,True
129,11,Ivo,0.841,0.8318,0.7776,0.8029,0.512,0.571,0.649,0.705,0.472,That is mine; ask before touching it.,True
131,11,Ari,0.8278,0.8192,0.7792,0.7955,0.455,0.645,0.652,0.639,0.459,That is mine; ask before touching it.,True
132,12,Fay,0.8284,0.7976,0.7712,0.8063,0.382,0.537,0.798,0.642,0.472,That is mine; ask before touching it.,True
133,12,Nia,0.8328,0.8444,0.7504,0.7791,0.41,0.809,0.696,0.664,0.461,I need room to choose.,True
134,12,Milo,0.8332,0.8156,0.7584,0.7665,0.806,0.935,0.345,0.666,0.363,I need room to choose.,True
136,12,Juno,0.8462,0.8048,0.7408,0.7673,0.778,0.927,0.497,0.731,0.437,I need room to choose.,True
139,12,Nia,0.8336,0.8444,0.7504,0.7736,0.495,0.864,0.631,0.668,0.426,I need room to choose.,True
141,12,Ivo,0.8418,0.8318,0.7776,0.7974,0.597,0.626,0.584,0.709,0.437,I need room to choose.,True
143,12,Ari,0.8328,0.8192,0.7792,0.798,0.461,0.62,0.687,0.664,0.461,I need room to choose.,True
144,13,Fay,0.8292,0.7976,0.7712,0.8008,0.467,0.592,0.733,0.646,0.474,That is mine; ask before touching it.,True
146,13,Milo,0.834,0.8156,0.7584,0.7661,0.812,0.939,0.38,0.67,0.365,That is mine; ask before touching it.,True
148,13,Juno,0.847,0.8048,0.7408,0.7669,0.784,0.931,0.532,0.735,0.439,That is mine; ask before touching it.,True
150,13,Fay,0.83,0.7976,0.7712,0.7953,0.552,0.647,0.668,0.65,0.476,That is mine; ask before touching it.,True
151,13,Nia,0.8344,0.8444,0.7504,0.7732,0.501,0.868,0.666,0.672,0.428,That is mine; ask before touching it.,True
153,13,Ivo,0.8426,0.8318,0.7776,0.797,0.603,0.63,0.596,0.713,0.439,I need room to choose.,True
155,13,Ari,0.8336,0.8192,0.7792,0.7925,0.546,0.675,0.622,0.668,0.463,That is mine; ask before touching it.,True
156,14,Fay,0.8308,0.7976,0.7712,0.7898,0.637,0.702,0.603,0.654,0.441,I need room to choose.,True
158,14,Milo,0.839,0.8156,0.7584,0.7686,0.818,0.914,0.415,0.695,0.367,I need room to choose.,True
160,14,Juno,0.852,0.8048,0.7408,0.7694,0.79,0.906,0.567,0.76,0.441,I need room to choose.,True
161,14,Ari,0.8386,0.8192,0.7792,0.795,0.552,0.65,0.657,0.693,0.465,I need room to choose.,True
163,14,Nia,0.8394,0.8444,0.7504,0.7757,0.507,0.843,0.701,0.697,0.43,I need room to choose.,True
165,14,Ivo,0.8434,0.8318,0.7776,0.7995,0.558,0.605,0.656,0.717,0.467,I can stay with this.,True
167,14,Ari,0.8394,0.8192,0.7792,0.7895,0.637,0.705,0.592,0.697,0.43,I need room to choose.,True
168,15,Fay,0.8272,0.7976,0.7712,0.7843,0.722,0.757,0.538,0.636,0.406,I need room to choose.,True
170,15,Milo,0.8398,0.8156,0.7584,0.764,0.903,0.96,0.35,0.699,0.369,That is mine; ask before touching it.,True
172,15,Juno,0.8528,0.8048,0.7408,0.764,0.875,0.96,0.502,0.764,0.443,That is mine; ask before touching it.,True
175,15,Nia,0.8402,0.8444,0.7504,0.7702,0.592,0.898,0.636,0.701,0.432,That is mine; ask before touching it.,True
177,15,Ivo,0.8442,0.8318,0.7776,0.7991,0.513,0.609,0.716,0.721,0.469,I can stay with this.,True
179,15,Ari,0.8402,0.8192,0.7792,0.7891,0.643,0.709,0.604,0.701,0.432,I need room to choose.,True
180,16,Fay,0.8322,0.7976,0.7712,0.7868,0.728,0.732,0.573,0.661,0.408,I need room to choose.,True
182,16,Milo,0.8406,0.8156,0.7584,0.764,0.94,0.96,0.285,0.703,0.334,I need room to choose.,True
184,16,Juno,0.8536,0.8048,0.7408,0.764,0.94,0.96,0.437,0.768,0.408,I need room to choose.,True
187,16,Nia,0.841,0.8444,0.7504,0.7647,0.677,0.953,0.571,0.705,0.397,I need room to choose.,True
189,16,Ivo,0.845,0.8318,0.7776,0.8016,0.468,0.584,0.776,0.725,0.471,I can stay with this.,True
190,16,Juno,0.8544,0.8048,0.7408,0.764,0.94,0.96,0.449,0.772,0.41,I need room to choose.,True
191,16,Ari,0.841,0.8192,0.7792,0.7916,0.598,0.684,0.664,0.705,0.46,I need room to choose.,True
192,17,Fay,0.833,0.7976,0.7712,0.7864,0.734,0.736,0.608,0.665,0.41,That is mine; ask before touching it.,True
194,17,Milo,0.8414,0.8156,0.7584,0.764,0.94,0.96,0.32,0.707,0.336,That is mine; ask before touching it.,True
195,17,Ivo,0.8458,0.8318,0.7776,0.7961,0.553,0.639,0.711,0.729,0.473,That is mine; ask before touching it.,True
196,17,Juno,0.8552,0.8048,0.7408,0.764,0.94,0.96,0.461,0.776,0.412,I need room to choose.,True
199,17,Nia,0.8418,0.8444,0.7504,0.7643,0.683,0.957,0.583,0.709,0.399,I need room to choose.,True
201,17,Ivo,0.8508,0.8318,0.7776,0.7957,0.508,0.643,0.771,0.754,0.475,I need room to choose.,True
203,17,Ari,0.8418,0.8192,0.7792,0.7912,0.553,0.688,0.724,0.709,0.462,I need room to choose.,True
204,18,Fay,0.838,0.7976,0.7712,0.7889,0.74,0.711,0.643,0.69,0.412,I need room to choose.,True
206,18,Milo,0.8464,0.8156,0.7584,0.7665,0.94,0.935,0.355,0.732,0.338,I need room to choose.,True
208,18,Juno,0.856,0.8048,0.7408,0.7665,0.895,0.935,0.521,0.78,0.44,I need room to choose.,True
211,18,Nia,0.8426,0.8444,0.7504,0.7668,0.638,0.932,0.643,0.713,0.427,I need room to choose.,True
212,18,Milo,0.8472,0.8156,0.7584,0.769,0.895,0.91,0.415,0.736,0.34,I need room to choose.,True
213,18,Ivo,0.8516,0.8318,0.7776,0.7953,0.514,0.647,0.783,0.758,0.477,I need room to choose.,True
215,18,Ari,0.8426,0.8192,0.7792,0.7937,0.508,0.663,0.784,0.713,0.464,I need room to choose.,True
216,19,Fay,0.8388,0.7976,0.7712,0.7834,0.825,0.766,0.578,0.694,0.414,That is mine; ask before touching it.,True
217,19,Nia,0.8434,0.8444,0.7504,0.7664,0.644,0.936,0.678,0.717,0.429,That is mine; ask before touching it.,True
218,19,Milo,0.848,0.8156,0.7584,0.764,0.94,0.96,0.35,0.74,0.342,That is mine; ask before touching it.,True
220,19,Juno,0.8568,0.8048,0.7408,0.7661,0.85,0.939,0.581,0.784,0.442,I need room to choose.,True
223,19,Nia,0.8442,0.8444,0.7504,0.766,0.599,0.94,0.738,0.721,0.431,I need room to choose.,True
225,19,Ivo,0.8524,0.8318,0.7776,0.7949,0.52,0.651,0.795,0.762,0.479,I need room to choose.,True
227,19,Ari,0.8476,0.8192,0.7792,0.7933,0.463,0.667,0.844,0.738,0.466,I need room to choose.,True
228,20,Nia,0.845,0.8444,0.7504,0.7656,0.605,0.944,0.773,0.725,0.433,That is mine; ask before touching it.,True
230,20,Ivo,0.8532,0.8318,0.7776,0.7945,0.526,0.655,0.807,0.766,0.481,I need room to choose.,True
232,20,Ari,0.8484,0.8192,0.7792,0.7878,0.548,0.722,0.779,0.742,0.468,That is mine; ask before touching it.,True
233,20,Fay,0.8396,0.7976,0.7712,0.783,0.831,0.77,0.59,0.698,0.416,I need room to choose.,True
235,20,Milo,0.853,0.8156,0.7584,0.764,0.895,0.96,0.41,0.765,0.344,I need room to choose.,True
237,20,Juno,0.8576,0.8048,0.7408,0.764,0.935,0.96,0.516,0.788,0.444,That is mine; ask before touching it.,True
239,20,Fay,0.8404,0.7976,0.7712,0.7826,0.837,0.774,0.602,0.702,0.418,I need room to choose.,True
240,21,Nia,0.85,0.8444,0.7504,0.7681,0.611,0.919,0.808,0.75,0.435,I need room to choose.,True
242,21,Ivo,0.854,0.8318,0.7776,0.797,0.481,0.63,0.867,0.77,0.509,I need room to choose.,True
244,21,Ari,0.8492,0.8192,0.7792,0.7823,0.633,0.777,0.714,0.746,0.433,I need room to choose.,True
247,21,Milo,0.8538,0.8156,0.7584,0.764,0.901,0.96,0.422,0.769,0.346,I need room to choose.,True
249,21,Juno,0.8584,0.8048,0.7408,0.764,0.94,0.96,0.451,0.792,0.409,I need room to choose.,True
250,21,Ari,0.85,0.8192,0.7792,0.7819,0.639,0.781,0.726,0.75,0.435,I need room to choose.,True
251,21,Fay,0.8412,0.7976,0.7712,0.7822,0.843,0.778,0.637,0.706,0.42,That is mine; ask before touching it.,True
252,22,Nia,0.8508,0.8444,0.7504,0.764,0.696,0.96,0.743,0.754,0.437,That is mine; ask before touching it.,True
254,22,Ivo,0.8548,0.8318,0.7776,0.7966,0.436,0.634,0.927,0.774,0.511,I need room to choose.,True
256,22,Ari,0.8508,0.8192,0.7792,0.7815,0.645,0.785,0.738,0.754,0.437,I need room to choose.,True
259,22,Milo,0.8546,0.8156,0.7584,0.764,0.907,0.96,0.434,0.773,0.348,I need room to choose.,True
261,22,Juno,0.8548,0.8048,0.7408,0.764,0.94,0.96,0.386,0.774,0.374,I need room to choose.,True
263,22,Fay,0.842,0.7976,0.7712,0.7767,0.928,0.833,0.572,0.71,0.422,That is mine; ask before touching it.,True
264,23,Nia,0.8516,0.8444,0.7504,0.764,0.781,0.96,0.678,0.758,0.402,I need room to choose.,True
266,23,Ivo,0.8556,0.8318,0.7776,0.7991,0.391,0.609,0.96,0.778,0.513,I can stay with this.,True
267,23,Juno,0.8556,0.8048,0.7408,0.764,0.94,0.96,0.398,0.778,0.376,I need room to choose.,True
268,23,Ari,0.8516,0.8192,0.7792,0.784,0.6,0.76,0.798,0.758,0.465,I need room to choose.,True
271,23,Milo,0.8554,0.8156,0.7584,0.764,0.913,0.96,0.469,0.777,0.35,That is mine; ask before touching it.,True
273,23,Juno,0.8606,0.8048,0.7408,0.7665,0.94,0.935,0.433,0.803,0.378,I need room to choose.,True
275,23,Fay,0.8428,0.7976,0.7712,0.7712,0.94,0.888,0.507,0.714,0.387,I need room to choose.,True
276,24,Nia,0.8524,0.8444,0.7504,0.764,0.787,0.96,0.69,0.762,0.404,I need room to choose.,True
278,24,Ivo,0.8606,0.8318,0.7776,0.7987,0.346,0.613,0.96,0.803,0.515,I can stay with this.,True
280,24,Ari,0.8524,0.8192,0.7792,0.7836,0.555,0.764,0.858,0.762,0.467,I need room to choose.,True
283,24,Milo,0.8562,0.8156,0.7584,0.764,0.94,0.96,0.404,0.781,0.352,That is mine; ask before touching it.,True
284,24,Ivo,0.857,0.8318,0.7776,0.7932,0.431,0.668,0.895,0.785,0.48,I need room to choose.,True
285,24,Juno,0.8614,0.8048,0.7408,0.7661,0.94,0.939,0.468,0.807,0.38,That is mine; ask before touching it.,True
287,24,Fay,0.8392,0.7976,0.7712,0.7657,0.94,0.943,0.442,0.696,0.352,I need room to choose.,True
288,25,Nia,0.8532,0.8444,0.7504,0.7665,0.742,0.935,0.75,0.766,0.432,I need room to choose.,True
289,25,Milo,0.857,0.8156,0.7584,0.7665,0.895,0.935,0.464,0.785,0.354,I need room to choose.,True
290,25,Ivo,0.8578,0.8318,0.7776,0.7928,0.437,0.672,0.907,0.789,0.482,I need room to choose.,True
292,25,Ari,0.8532,0.8192,0.7792,0.7861,0.51,0.739,0.918,0.766,0.469,I need room to choose.,True
295,25,Milo,0.8578,0.8156,0.7584,0.764,0.94,0.96,0.399,0.789,0.319,I need room to choose.,True
297,25,Juno,0.8664,0.8048,0.7408,0.7686,0.94,0.914,0.503,0.832,0.382,I need room to choose.,True
299,25,Fay,0.8442,0.7976,0.7712,0.7682,0.94,0.918,0.477,0.721,0.354,I need room to choose.,True
300,26,Nia,0.854,0.8444,0.7504,0.7661,0.697,0.939,0.81,0.77,0.434,I need room to choose.,True
302,26,Ivo,0.8586,0.8318,0.7776,0.7924,0.443,0.676,0.919,0.793,0.484,I need room to choose.,True
304,26,Ari,0.8582,0.8192,0.7792,0.7857,0.465,0.743,0.96,0.791,0.471,I need room to choose.,True
306,26,Nia,0.8548,0.8444,0.7504,0.764,0.782,0.96,0.745,0.774,0.436,That is mine; ask before touching it.,True
307,26,Milo,0.8542,0.8156,0.7584,0.764,0.94,0.96,0.334,0.771,0.284,I need room to choose.,True
309,26,Juno,0.8672,0.8048,0.7408,0.764,0.94,0.96,0.438,0.836,0.384,That is mine; ask before touching it.,True
311,26,Fay,0.845,0.7976,0.7712,0.7678,0.94,0.922,0.512,0.725,0.356,That is mine; ask before touching it.,True
312,27,Nia,0.8556,0.8444,0.7504,0.7665,0.737,0.935,0.805,0.778,0.438,I need room to choose.,True
314,27,Ivo,0.8594,0.8318,0.7776,0.792,0.449,0.68,0.954,0.797,0.486,That is mine; ask before touching it.,True
316,27,Ari,0.859,0.8192,0.7792,0.7853,0.471,0.747,0.96,0.795,0.473,I need room to choose.,True
317,27,Fay,0.8458,0.7976,0.7712,0.7674,0.94,0.926,0.547,0.729,0.358,That is mine; ask before touching it.,True
319,27,Milo,0.8592,0.8156,0.7584,0.7665,0.94,0.935,0.369,0.796,0.286,I need room to choose.,True
321,27,Juno,0.868,0.8048,0.7408,0.764,0.94,0.96,0.373,0.84,0.349,I need room to choose.,True
323,27,Fay,0.8508,0.7976,0.7712,0.7699,0.94,0.901,0.582,0.754,0.36,I need room to choose.,True
324,28,Nia,0.8606,0.8444,0.7504,0.7661,0.692,0.939,0.865,0.803,0.44,I need room to choose.,True
326,28,Ivo,0.8602,0.8318,0.7776,0.7865,0.534,0.735,0.889,0.801,0.488,That is mine; ask before touching it.,True
328,28,Ari,0.8598,0.8192,0.7792,0.7849,0.477,0.751,0.96,0.799,0.475,I need room to choose.,True
331,28,Milo,0.86,0.8156,0.7584,0.7661,0.94,0.939,0.404,0.8,0.288,That is mine; ask before touching it.,True
333,28,Juno,0.8688,0.8048,0.7408,0.764,0.94,0.96,0.408,0.844,0.351,That is mine; ask before touching it.,True
334,28,Ari,0.8606,0.8192,0.7792,0.7845,0.483,0.755,0.96,0.803,0.477,That is mine; ask before touching it.,True
335,28,Fay,0.8516,0.7976,0.7712,0.7644,0.94,0.956,0.517,0.758,0.362,That is mine; ask before touching it.,True
336,29,Nia,0.8614,0.8444,0.7504,0.7657,0.698,0.943,0.877,0.807,0.442,I need room to choose.,True
338,29,Ivo,0.861,0.8318,0.7776,0.781,0.619,0.79,0.824,0.805,0.453,I need room to choose.,True
340,29,Ari,0.8614,0.8192,0.7792,0.7841,0.489,0.759,0.96,0.807,0.479,That is mine; ask before touching it.,True
343,29,Milo,0.865,0.8156,0.7584,0.7686,0.94,0.914,0.439,0.825,0.29,I need room to choose.,True
345,29,Juno,0.8738,0.8048,0.7408,0.7665,0.94,0.935,0.443,0.869,0.353,I need room to choose.,True
347,29,Fay,0.8524,0.7976,0.7712,0.764,0.94,0.96,0.452,0.762,0.327,I need room to choose.,True
348,30,Milo,0.8658,0.8156,0.7584,0.7682,0.94,0.918,0.474,0.829,0.292,That is mine; ask before touching it.,True
350,30,Juno,0.8788,0.8048,0.7408,0.769,0.94,0.91,0.478,0.894,0.355,I need room to choose.,True
352,30,Fay,0.8532,0.7976,0.7712,0.764,0.94,0.96,0.387,0.766,0.292,I need room to choose.,True
355,30,Ivo,0.8618,0.8318,0.7776,0.7755,0.704,0.845,0.759,0.809,0.418,I need room to choose.,True
356,30,Juno,0.8838,0.8048,0.7408,0.7715,0.94,0.885,0.513,0.919,0.357,I need room to choose.,True
357,30,Ari,0.8664,0.8192,0.7792,0.7866,0.495,0.734,0.96,0.832,0.481,I need room to choose.,True
359,30,Nia,0.8664,0.8444,0.7504,0.7682,0.704,0.918,0.912,0.832,0.444,I need room to choose.,True
360,31,Milo,0.8666,0.8156,0.7584,0.764,0.94,0.96,0.409,0.833,0.294,That is mine; ask before touching it.,True
361,31,Ivo,0.8582,0.8318,0.7776,0.77,0.789,0.9,0.694,0.791,0.383,I need room to choose.,True
362,31,Juno,0.8846,0.8048,0.7408,0.7711,0.94,0.889,0.548,0.923,0.359,That is mine; ask before touching it.,True
364,31,Fay,0.8496,0.7976,0.7712,0.764,0.94,0.96,0.322,0.748,0.257,I need room to choose.,True
367,31,Ivo,0.859,0.8318,0.7776,0.7696,0.795,0.904,0.729,0.795,0.385,That is mine; ask before touching it.,True
369,31,Ari,0.8672,0.8192,0.7792,0.7811,0.58,0.789,0.895,0.836,0.483,That is mine; ask before touching it.,True
371,31,Nia,0.8672,0.8444,0.7504,0.764,0.789,0.96,0.847,0.836,0.446,That is mine; ask before touching it.,True
372,32,Milo,0.8674,0.8156,0.7584,0.764,0.94,0.96,0.344,0.837,0.259,I need room to choose.,True
374,32,Juno,0.8896,0.8048,0.7408,0.7736,0.94,0.864,0.583,0.948,0.361,I need room to choose.,True
376,32,Fay,0.8546,0.7976,0.7712,0.7665,0.94,0.935,0.357,0.773,0.259,I need room to choose.,True
378,32,Milo,0.8682,0.8156,0.7584,0.764,0.94,0.96,0.279,0.841,0.224,I need room to choose.,True
379,32,Ivo,0.864,0.8318,0.7776,0.7721,0.801,0.879,0.764,0.82,0.387,I need room to choose.,True
381,32,Ari,0.868,0.8192,0.7792,0.7756,0.665,0.844,0.83,0.84,0.448,I need room to choose.,True
383,32,Nia,0.868,0.8444,0.7504,0.764,0.874,0.96,0.782,0.84,0.411,I need room to choose.,True
384,33,Milo,0.8646,0.8156,0.7584,0.764,0.94,0.96,0.214,0.823,0.189,I need room to choose.,True
386,33,Juno,0.8904,0.8048,0.7408,0.7681,0.94,0.919,0.518,0.952,0.363,That is mine; ask before touching it.,True
388,33,Fay,0.8554,0.7976,0.7712,0.7661,0.94,0.939,0.392,0.777,0.261,That is mine; ask before touching it.,True
389,33,Nia,0.8688,0.8444,0.7504,0.764,0.94,0.96,0.717,0.844,0.413,That is mine; ask before touching it.,True
391,33,Ivo,0.8648,0.8318,0.7776,0.7666,0.886,0.934,0.699,0.824,0.389,That is mine; ask before touching it.,True
393,33,Ari,0.8688,0.8192,0.7792,0.7752,0.671,0.848,0.865,0.844,0.45,That is mine; ask before touching it.,True
395,33,Nia,0.8696,0.8444,0.7504,0.764,0.94,0.96,0.729,0.848,0.415,I need room to choose.,True
396,34,Milo,0.8696,0.8156,0.7584,0.7665,0.94,0.935,0.249,0.848,0.191,I need room to choose.,True
398,34,Juno,0.8912,0.8048,0.7408,0.764,0.94,0.96,0.453,0.956,0.328,I need room to choose.,True
400,34,Fay,0.8604,0.7976,0.7712,0.7686,0.94,0.914,0.427,0.802,0.263,I need room to choose.,True
403,34,Ivo,0.8656,0.8318,0.7776,0.764,0.94,0.96,0.634,0.828,0.354,I need room to choose.,True
405,34,Ari,0.8738,0.8192,0.7792,0.7777,0.677,0.823,0.9,0.869,0.452,I need room to choose.,True
406,34,Fay,0.8612,0.7976,0.7712,0.764,0.94,0.96,0.362,0.806,0.228,I need room to choose.,True
407,34,Nia,0.8704,0.8444,0.7504,0.7665,0.895,0.935,0.789,0.852,0.443,I need room to choose.,True
