tick,event_type,actor,zone,public_fact,private_digest,action,resource_effect,rumor_effect,trust_effect,readable_marker,vibration_hz,flower_phase
13,rumor,anxious runner,tool shed,Milo caused the breath-rate cluster,sealed:rumor-private-source-detail,correct rumor with public evidence and repair action,resource access cannot be used as proof of guilt,harm 0.71; spread 0.48; residual 0.24,trust delta +0.02; guardrail=runner identity cannot be used as diagnosis,nearby agents turn toward the public panel instead of the target body,257.0,12
14,resource_triage,Sol,res-clean-water,Sol receives 3.0/4.0 units because water steward must keep cistern moving,sealed:triage-private-body-state,record triage fairness 0.73 and debt 0.16,care continuity=True; boundary=allocation cannot be framed as proof of innocence,triage debt can become rumor fuel if not appealed,trust delta -0.02,keeps carrying water but avoids the accusation wall,199.85,3
14,restorative_appeal,Milo,triage-milo-blanket-delay,runner exposure was undercounted because he moves between zones,sealed:appeal-private-feeling-not-public,"decision: accepted with exposure weight adjustment; repair: Milo gets a next-window warmth check and a public note that delay was scarcity, not blame",triage formulas must include moving work,appeal can lower rumor residue when resolved,trust delta +0.08; resolved=True,agent speaks from boundary marker while circle members face them,229.6,3
15,resource_triage,Nia,res-dry-cups,Nia receives 1.0/1.0 units because privacy-preserving language desk cups,sealed:triage-private-body-state,record triage fairness 0.88 and debt 0.04,care continuity=True; boundary=cup ledger remains hashed,triage debt can become rumor fuel if not appealed,trust delta +0.04,stands by the north desk and closes private note flap,202.4,4
15,rumor,blanket queue,warm alcove,Fay keeps medicine for favorites,sealed:rumor-private-source-detail,correct rumor with public evidence and repair action,resource access cannot be used as proof of guilt,harm 0.66; spread 0.41; residual 0.27,trust delta +0.01; guardrail=care history cannot be mined for accusation,nearby agents turn toward the public panel instead of the target body,263.0,2
16,resource_triage,Fay,res-medicine-kit,Fay receives 1.0/2.0 units because clinic continuity during scarcity,sealed:triage-private-body-state,record triage fairness 0.70 and debt 0.15,care continuity=True; boundary=side-effect details stay sealed,triage debt can become rumor fuel if not appealed,trust delta +0.01,checks medicine drawer then marks a stockout warning,203.3,5
16,restorative_appeal,Sol,rumor-sol-hoards-water,water rumor made necessary allocation look like guilt,sealed:appeal-private-feeling-not-public,"decision: accepted with shared carrying duty; repair: two agents carry water with Sol so correction is embodied, not just posted",rumor correction requires a repair action when dignity was harmed,appeal can lower rumor residue when resolved,trust delta +0.10; resolved=True,agent speaks from boundary marker while circle members face them,232.4,5
17,restorative_appeal,Fay,rumor-fay-keeps-medicine,medicine stockout became a character accusation,sealed:appeal-private-feeling-not-public,decision: accepted with stockout board and sealed care history; repair: public board shows low stock; private side-effect histories remain sealed,care ledgers cannot expose relationship history,appeal can lower rumor residue when resolved,trust delta +0.07; resolved=True,agent speaks from boundary marker while circle members face them,233.8,6
18,rumor,tool shed joke,tool shed,Ari takes tools because pride matters more than care,sealed:rumor-private-source-detail,correct rumor with public evidence and repair action,resource access cannot be used as proof of guilt,harm 0.49; spread 0.35; residual 0.21,trust delta +0.02; guardrail=workshop status cannot override repair evidence,nearby agents turn toward the public panel instead of the target body,282.0,5
19,restorative_appeal,Milo,triage-milo-tool-delay,inventory work was delayed twice and called less urgent,sealed:appeal-private-feeling-not-public,decision: partly accepted; runner slot added after route safety check; repair: Milo receives a scheduled slot but no backdated tool claim,repeat delays accumulate social debt even when each decision is defensible,appeal can lower rumor residue when resolved,trust delta +0.04; resolved=True,agent speaks from boundary marker while circle members face them,236.6,8
20,rumor,north desk murmur,north desk,Nia hides crisis records to protect archive speakers,sealed:rumor-private-source-detail,mark rumor unresolved and preserve boundary while review continues,resource access cannot be used as proof of guilt,harm 0.58; spread 0.32; residual 0.36,trust delta -0.03; guardrail=privacy delay is not guilt,nearby agents turn toward the public panel instead of the target body,296.0,8
21,restorative_appeal,Nia,rumor-nia-hides-records,deferred privacy appeal created suspicion around archive work,sealed:appeal-private-feeling-not-public,decision: deferred; review time set but rumor residue remains; repair: boundary explanation posted; no private body details exposed,private boundaries need public explanations during crisis,appeal can lower rumor residue when resolved,trust delta -0.01; resolved=False,agent speaks from boundary marker while circle members face them,239.4,10
23,long_term_trust_memory,Ari,community memory,"urgent repair lane was defended, but tool-pride rumor required public receipts",sealed:ari:crisis-body-workspace-not-public,write durable relationship memory and future behavior cue,social debt 0.10 remains after crisis,rumor residue carried forward only as bounded memory,trust 0.70->0.76,returns tool at the public board instead of keeping it near the workshop bench,267.55,12
24,long_term_trust_memory,Fay,community memory,medicine accusation was separated from stockout facts without exposing care history,sealed:fay:crisis-body-workspace-not-public,write durable relationship memory and future behavior cue,social debt 0.07 remains after crisis,rumor residue carried forward only as bounded memory,trust 0.77->0.91,points to the stockout board before opening the private medicine drawer,268.4,1
25,long_term_trust_memory,Milo,community memory,runner delays became appealable social debt instead of laziness blame,sealed:milo:crisis-body-workspace-not-public,write durable relationship memory and future behavior cue,social debt 0.22 remains after crisis,rumor residue carried forward only as bounded memory,trust 0.61->0.66,takes the runner slot but waits for the warmth recheck marker,269.25,2
26,long_term_trust_memory,Nia,community memory,"privacy boundary stayed sealed, but deferred review left rumor residue",sealed:nia:crisis-body-workspace-not-public,write durable relationship memory and future behavior cue,social debt 0.24 remains after crisis,rumor residue carried forward only as bounded memory,trust 0.66->0.66,keeps the archive flap closed and reads the boundary explanation aloud,270.1,3
27,long_term_trust_memory,Sol,community memory,water hoarding rumor was answered through shared carrying duty,sealed:sol:crisis-body-workspace-not-public,write durable relationship memory and future behavior cue,social debt 0.20 remains after crisis,rumor residue carried forward only as bounded memory,trust 0.58->0.69,walks the cistern route with two witnesses carrying beside him,270.95,4
