tick_id,day,settlement_id,resident_id,animation_id,gaze_keyframes,posture_keyframes,gesture_keyframes,duration_ms,loop_mode,relationship,queue_pressure,trust_repair_need,animation_matches_state,visible_animation_timeline,not_private_workspace_dump
12,1,riverbend,Cee,anim:riverbend:Cee:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
13,1,roofward,Fay,anim:roofward:Fay:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
13,1,roofward,Sera,anim:roofward:Sera:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.334,0.042,True,True,True
13,1,roofward,Orr,anim:roofward:Orr:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
14,1,archive,Nia,anim:archive:Nia:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
14,1,archive,Toma,anim:archive:Toma:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
14,1,archive,Vell,anim:archive:Vell:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
15,1,signal,Milo,anim:signal:Milo:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.684,0.344,0.0384,True,True,True
15,1,signal,Ren,anim:signal:Ren:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
15,1,signal,Kesh,anim:signal:Kesh:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
16,1,orchard,Ivo,anim:orchard:Ivo:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
16,1,orchard,Mara,anim:orchard:Mara:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
16,1,orchard,Pim,anim:orchard:Pim:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
17,1,repair_ring,Juno,anim:repair_ring:Juno:6,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
17,1,repair_ring,Pax,anim:repair_ring:Pax:7,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
17,1,repair_ring,Vale,anim:repair_ring:Vale:8,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
18,2,roofward,Fay,anim:roofward:Fay:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.342,0.06,True,True,True
18,2,roofward,Sera,anim:roofward:Sera:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
18,2,roofward,Orr,anim:roofward:Orr:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
19,2,archive,Nia,anim:archive:Nia:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
19,2,archive,Toma,anim:archive:Toma:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
19,2,archive,Vell,anim:archive:Vell:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
20,2,signal,Milo,anim:signal:Milo:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.684,0.344,0.0384,True,True,True
20,2,signal,Ren,anim:signal:Ren:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
20,2,signal,Kesh,anim:signal:Kesh:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
21,2,orchard,Ivo,anim:orchard:Ivo:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
21,2,orchard,Mara,anim:orchard:Mara:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
21,2,orchard,Pim,anim:orchard:Pim:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
22,2,repair_ring,Juno,anim:repair_ring:Juno:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
22,2,repair_ring,Pax,anim:repair_ring:Pax:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
22,2,repair_ring,Vale,anim:repair_ring:Vale:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
23,2,riverbend,Ari,anim:riverbend:Ari:9,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.0096,True,True,True
23,2,riverbend,Lio,anim:riverbend:Lio:10,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.34,0.06,True,True,True
23,2,riverbend,Cee,anim:riverbend:Cee:11,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.342,0.06,True,True,True
24,2,roofward,Fay,anim:roofward:Fay:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.342,0.06,True,True,True
24,2,roofward,Sera,anim:roofward:Sera:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
24,2,roofward,Orr,anim:roofward:Orr:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
25,2,archive,Nia,anim:archive:Nia:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
25,2,archive,Toma,anim:archive:Toma:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
25,2,archive,Vell,anim:archive:Vell:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
26,2,signal,Milo,anim:signal:Milo:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
26,2,signal,Ren,anim:signal:Ren:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
26,2,signal,Kesh,anim:signal:Kesh:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.342,0.06,True,True,True
27,2,orchard,Ivo,anim:orchard:Ivo:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.332,0.042,True,True,True
27,2,orchard,Mara,anim:orchard:Mara:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
27,2,orchard,Pim,anim:orchard:Pim:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
28,2,repair_ring,Juno,anim:repair_ring:Juno:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
28,2,repair_ring,Pax,anim:repair_ring:Pax:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.661,0.332,0.042,True,True,True
28,2,repair_ring,Vale,anim:repair_ring:Vale:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
29,2,riverbend,Ari,anim:riverbend:Ari:12,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.334,0.0096,True,True,True
29,2,riverbend,Lio,anim:riverbend:Lio:13,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.34,0.06,True,True,True
29,2,riverbend,Cee,anim:riverbend:Cee:14,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.342,0.06,True,True,True
30,2,roofward,Fay,anim:roofward:Fay:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.334,0.042,True,True,True
30,2,roofward,Sera,anim:roofward:Sera:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
30,2,roofward,Orr,anim:roofward:Orr:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
31,2,archive,Nia,anim:archive:Nia:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
31,2,archive,Toma,anim:archive:Toma:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
31,2,archive,Vell,anim:archive:Vell:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
32,2,signal,Milo,anim:signal:Milo:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
32,2,signal,Ren,anim:signal:Ren:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
32,2,signal,Kesh,anim:signal:Kesh:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.684,0.344,0.0384,True,True,True
33,2,orchard,Ivo,anim:orchard:Ivo:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
33,2,orchard,Mara,anim:orchard:Mara:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
33,2,orchard,Pim,anim:orchard:Pim:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.34,0.06,True,True,True
34,2,repair_ring,Juno,anim:repair_ring:Juno:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
34,2,repair_ring,Pax,anim:repair_ring:Pax:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.665,0.334,0.042,True,True,True
34,2,repair_ring,Vale,anim:repair_ring:Vale:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
35,2,riverbend,Ari,anim:riverbend:Ari:15,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.334,0.0096,True,True,True
35,2,riverbend,Lio,anim:riverbend:Lio:16,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.34,0.06,True,True,True
35,2,riverbend,Cee,anim:riverbend:Cee:17,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.344,0.0384,True,True,True
36,3,archive,Nia,anim:archive:Nia:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.342,0.06,True,True,True
36,3,archive,Toma,anim:archive:Toma:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
36,3,archive,Vell,anim:archive:Vell:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
37,3,signal,Milo,anim:signal:Milo:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
37,3,signal,Ren,anim:signal:Ren:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.342,0.06,True,True,True
37,3,signal,Kesh,anim:signal:Kesh:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.684,0.344,0.0384,True,True,True
38,3,orchard,Ivo,anim:orchard:Ivo:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
38,3,orchard,Mara,anim:orchard:Mara:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
38,3,orchard,Pim,anim:orchard:Pim:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
39,3,repair_ring,Juno,anim:repair_ring:Juno:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.34,0.06,True,True,True
39,3,repair_ring,Pax,anim:repair_ring:Pax:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.665,0.334,0.042,True,True,True
39,3,repair_ring,Vale,anim:repair_ring:Vale:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
40,3,riverbend,Ari,anim:riverbend:Ari:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.334,0.0096,True,True,True
40,3,riverbend,Lio,anim:riverbend:Lio:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.342,0.06,True,True,True
40,3,riverbend,Cee,anim:riverbend:Cee:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.344,0.0384,True,True,True
41,3,roofward,Fay,anim:roofward:Fay:18,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
41,3,roofward,Sera,anim:roofward:Sera:19,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
41,3,roofward,Orr,anim:roofward:Orr:20,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.34,0.06,True,True,True
42,3,archive,Nia,anim:archive:Nia:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.654,0.342,0.06,True,True,True
42,3,archive,Toma,anim:archive:Toma:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
42,3,archive,Vell,anim:archive:Vell:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
43,3,signal,Milo,anim:signal:Milo:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
43,3,signal,Ren,anim:signal:Ren:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.66,0.342,0.06,True,True,True
43,3,signal,Kesh,anim:signal:Kesh:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
44,3,orchard,Ivo,anim:orchard:Ivo:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
44,3,orchard,Mara,anim:orchard:Mara:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
44,3,orchard,Pim,anim:orchard:Pim:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.332,0.042,True,True,True
45,3,repair_ring,Juno,anim:repair_ring:Juno:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.332,0.042,True,True,True
45,3,repair_ring,Pax,anim:repair_ring:Pax:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.665,0.334,0.042,True,True,True
45,3,repair_ring,Vale,anim:repair_ring:Vale:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.683,0.334,0.042,True,True,True
46,3,riverbend,Ari,anim:riverbend:Ari:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.685,0.334,0.0096,True,True,True
46,3,riverbend,Lio,anim:riverbend:Lio:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.666,0.342,0.06,True,True,True
46,3,riverbend,Cee,anim:riverbend:Cee:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.344,0.0384,True,True,True
47,3,roofward,Fay,anim:roofward:Fay:21,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
47,3,roofward,Sera,anim:roofward:Sera:22,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
47,3,roofward,Orr,anim:roofward:Orr:23,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.667,0.332,0.042,True,True,True
48,3,archive,Nia,anim:archive:Nia:24,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.661,0.334,0.042,True,True,True
48,3,archive,Toma,anim:archive:Toma:25,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
48,3,archive,Vell,anim:archive:Vell:26,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.679,0.334,0.042,True,True,True
49,3,signal,Milo,anim:signal:Milo:24,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
49,3,signal,Ren,anim:signal:Ren:25,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.672,0.344,0.0384,True,True,True
49,3,signal,Kesh,anim:signal:Kesh:26,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.69,0.344,0.0384,True,True,True
50,3,orchard,Ivo,anim:orchard:Ivo:24,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
50,3,orchard,Mara,anim:orchard:Mara:25,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.694,0.334,0.0258,True,True,True
50,3,orchard,Pim,anim:orchard:Pim:26,scan>avatar>room,neutral>attentive>neutral,idle-hands>small-turn>idle-hands,800,loop-idle,0.676,0.334,0.0258,True,True,True
