tick_id,day,agent,skill_domain,practice_delta,skill_before,skill_after,fatigue_cost,helps_project,specialization_visible
32,2,Ari,carpentry,0.009,0.37,0.379,0.025,False,Ari:carpentry:0.38
33,2,Fay,cultivation,0.002,0.417,0.419,0.025,False,Fay:cultivation:0.42
34,2,Nia,recordkeeping,0.009,0.457,0.466,0.025,False,Nia:recordkeeping:0.47
35,2,Milo,signalcraft,0.002,0.49,0.492,0.025,False,Milo:signalcraft:0.49
36,3,Ari,carpentry,0.002,0.379,0.381,0.025,False,Ari:carpentry:0.38
37,3,Fay,cultivation,0.002,0.419,0.421,0.025,False,Fay:cultivation:0.42
38,3,Nia,recordkeeping,0.009,0.466,0.475,0.025,False,Nia:recordkeeping:0.48
39,3,Milo,signalcraft,0.002,0.492,0.494,0.025,False,Milo:signalcraft:0.49
40,3,Ari,carpentry,0.002,0.381,0.383,0.025,False,Ari:carpentry:0.38
41,3,Fay,cultivation,0.009,0.421,0.43,0.025,False,Fay:cultivation:0.43
42,3,Nia,recordkeeping,0.002,0.475,0.477,0.025,False,Nia:recordkeeping:0.48
43,3,Milo,signalcraft,0.002,0.494,0.496,0.025,False,Milo:signalcraft:0.50
44,3,Ari,carpentry,0.009,0.383,0.392,0.025,False,Ari:carpentry:0.39
45,3,Fay,cultivation,0.002,0.43,0.432,0.025,False,Fay:cultivation:0.43
46,3,Nia,recordkeeping,0.002,0.477,0.479,0.025,False,Nia:recordkeeping:0.48
47,3,Milo,signalcraft,0.009,0.496,0.505,0.025,True,Milo:signalcraft:0.51
48,3,Ari,carpentry,0.002,0.392,0.394,0.025,False,Ari:carpentry:0.39
49,3,Fay,cultivation,0.002,0.432,0.434,0.025,False,Fay:cultivation:0.43
50,3,Nia,recordkeeping,0.009,0.479,0.488,0.025,True,Nia:recordkeeping:0.49
51,3,Milo,signalcraft,0.002,0.505,0.507,0.025,False,Milo:signalcraft:0.51
52,3,Ari,carpentry,0.002,0.394,0.396,0.025,False,Ari:carpentry:0.40
53,3,Fay,cultivation,0.002,0.434,0.436,0.025,False,Fay:cultivation:0.44
54,4,Milo,signalcraft,0.002,0.507,0.509,0.025,False,Milo:signalcraft:0.51
55,4,Ari,carpentry,0.002,0.396,0.398,0.025,False,Ari:carpentry:0.40
56,4,Fay,cultivation,0.009,0.436,0.445,0.025,False,Fay:cultivation:0.45
57,4,Nia,recordkeeping,0.002,0.488,0.49,0.025,False,Nia:recordkeeping:0.49
58,4,Milo,signalcraft,0.002,0.509,0.511,0.025,False,Milo:signalcraft:0.51
59,4,Ari,carpentry,0.009,0.398,0.407,0.025,False,Ari:carpentry:0.41
60,4,Fay,cultivation,0.002,0.445,0.447,0.025,False,Fay:cultivation:0.45
61,4,Nia,recordkeeping,0.002,0.49,0.492,0.025,False,Nia:recordkeeping:0.49
62,4,Milo,signalcraft,0.009,0.511,0.52,0.025,True,Milo:signalcraft:0.52
63,4,Ari,carpentry,0.002,0.407,0.409,0.025,False,Ari:carpentry:0.41
64,4,Fay,cultivation,0.002,0.447,0.449,0.025,False,Fay:cultivation:0.45
65,4,Nia,recordkeeping,0.009,0.492,0.501,0.025,True,Nia:recordkeeping:0.50
66,4,Milo,signalcraft,0.002,0.52,0.522,0.025,False,Milo:signalcraft:0.52
67,4,Ari,carpentry,0.002,0.409,0.411,0.025,False,Ari:carpentry:0.41
68,4,Fay,cultivation,0.009,0.449,0.458,0.025,False,Fay:cultivation:0.46
69,4,Nia,recordkeeping,0.002,0.501,0.503,0.025,False,Nia:recordkeeping:0.50
70,4,Milo,signalcraft,0.002,0.522,0.524,0.025,False,Milo:signalcraft:0.52
71,4,Ari,carpentry,0.002,0.411,0.413,0.025,False,Ari:carpentry:0.41
72,5,Fay,cultivation,0.002,0.458,0.46,0.025,False,Fay:cultivation:0.46
73,5,Nia,recordkeeping,0.002,0.503,0.505,0.025,False,Nia:recordkeeping:0.51
74,5,Milo,signalcraft,0.009,0.524,0.533,0.025,True,Milo:signalcraft:0.53
75,5,Ari,carpentry,0.002,0.413,0.415,0.025,False,Ari:carpentry:0.42
76,5,Fay,cultivation,0.009,0.46,0.469,0.025,False,Fay:cultivation:0.47
77,5,Nia,recordkeeping,0.009,0.505,0.514,0.025,True,Nia:recordkeeping:0.51
78,5,Milo,signalcraft,0.002,0.533,0.535,0.025,False,Milo:signalcraft:0.54
79,5,Ari,carpentry,0.002,0.415,0.417,0.025,False,Ari:carpentry:0.42
80,5,Fay,cultivation,0.009,0.469,0.478,0.025,False,Fay:cultivation:0.48
81,5,Nia,recordkeeping,0.002,0.514,0.516,0.025,False,Nia:recordkeeping:0.52
82,5,Milo,signalcraft,0.002,0.535,0.537,0.025,False,Milo:signalcraft:0.54
83,5,Ari,carpentry,0.009,0.417,0.426,0.025,False,Ari:carpentry:0.43
84,5,Fay,cultivation,0.002,0.478,0.48,0.025,False,Fay:cultivation:0.48
85,5,Nia,recordkeeping,0.009,0.516,0.525,0.025,True,Nia:recordkeeping:0.53
86,5,Milo,signalcraft,0.009,0.537,0.546,0.025,True,Milo:signalcraft:0.55
87,5,Ari,carpentry,0.009,0.426,0.435,0.025,False,Ari:carpentry:0.44
88,5,Fay,cultivation,0.002,0.48,0.482,0.025,False,Fay:cultivation:0.48
89,5,Nia,recordkeeping,0.002,0.525,0.527,0.025,False,Nia:recordkeeping:0.53
90,6,Milo,signalcraft,0.002,0.546,0.548,0.025,False,Milo:signalcraft:0.55
91,6,Ari,carpentry,0.002,0.435,0.437,0.025,False,Ari:carpentry:0.44
92,6,Fay,cultivation,0.009,0.482,0.491,0.025,True,Fay:cultivation:0.49
93,6,Nia,recordkeeping,0.002,0.527,0.529,0.025,False,Nia:recordkeeping:0.53
94,6,Milo,signalcraft,0.002,0.548,0.55,0.025,False,Milo:signalcraft:0.55
95,6,Ari,carpentry,0.009,0.437,0.446,0.025,False,Ari:carpentry:0.45
96,6,Fay,cultivation,0.002,0.491,0.493,0.025,False,Fay:cultivation:0.49
97,6,Nia,recordkeeping,0.002,0.529,0.531,0.025,False,Nia:recordkeeping:0.53
98,6,Milo,signalcraft,0.009,0.55,0.559,0.025,True,Milo:signalcraft:0.56
99,6,Ari,carpentry,0.002,0.446,0.448,0.025,False,Ari:carpentry:0.45
100,6,Fay,cultivation,0.002,0.493,0.495,0.025,False,Fay:cultivation:0.50
101,6,Nia,recordkeeping,0.009,0.531,0.54,0.025,True,Nia:recordkeeping:0.54
102,6,Milo,signalcraft,0.002,0.559,0.561,0.025,False,Milo:signalcraft:0.56
103,6,Ari,carpentry,0.002,0.448,0.45,0.025,False,Ari:carpentry:0.45
104,6,Fay,cultivation,0.009,0.495,0.504,0.025,True,Fay:cultivation:0.50
105,6,Nia,recordkeeping,0.002,0.54,0.542,0.025,False,Nia:recordkeeping:0.54
106,6,Milo,signalcraft,0.002,0.561,0.563,0.025,False,Milo:signalcraft:0.56
107,6,Ari,carpentry,0.002,0.45,0.452,0.025,False,Ari:carpentry:0.45
108,7,Fay,cultivation,0.002,0.504,0.506,0.025,False,Fay:cultivation:0.51
109,7,Nia,recordkeeping,0.009,0.542,0.551,0.025,True,Nia:recordkeeping:0.55
110,7,Milo,signalcraft,0.009,0.563,0.572,0.025,True,Milo:signalcraft:0.57
111,7,Ari,carpentry,0.009,0.452,0.461,0.025,False,Ari:carpentry:0.46
112,7,Fay,cultivation,0.002,0.506,0.508,0.025,False,Fay:cultivation:0.51
113,7,Nia,recordkeeping,0.009,0.551,0.56,0.025,True,Nia:recordkeeping:0.56
114,7,Milo,signalcraft,0.002,0.572,0.574,0.025,False,Milo:signalcraft:0.57
115,7,Ari,carpentry,0.002,0.461,0.463,0.025,False,Ari:carpentry:0.46
116,7,Fay,cultivation,0.009,0.508,0.517,0.025,True,Fay:cultivation:0.52
117,7,Nia,recordkeeping,0.002,0.56,0.562,0.045,False,Nia:recordkeeping:0.56
118,7,Milo,signalcraft,0.009,0.574,0.583,0.045,True,Milo:signalcraft:0.58
119,7,Ari,carpentry,0.009,0.463,0.472,0.025,False,Ari:carpentry:0.47
120,7,Fay,cultivation,0.009,0.517,0.526,0.025,True,Fay:cultivation:0.53
121,7,Nia,recordkeeping,0.002,0.562,0.564,0.045,False,Nia:recordkeeping:0.56
122,7,Milo,signalcraft,0.009,0.583,0.592,0.045,True,Milo:signalcraft:0.59
123,7,Ari,carpentry,0.002,0.472,0.474,0.025,False,Ari:carpentry:0.47
124,7,Fay,cultivation,0.002,0.526,0.528,0.025,False,Fay:cultivation:0.53
125,7,Nia,recordkeeping,0.002,0.564,0.566,0.025,False,Nia:recordkeeping:0.57
126,8,Ari,carpentry,0.002,0.474,0.476,0.025,False,Ari:carpentry:0.48
127,8,Fay,cultivation,0.009,0.528,0.537,0.025,True,Fay:cultivation:0.54
128,8,Nia,recordkeeping,0.009,0.566,0.575,0.025,True,Nia:recordkeeping:0.58
129,8,Milo,signalcraft,0.002,0.592,0.594,0.045,False,Milo:signalcraft:0.59
130,8,Ari,carpentry,0.002,0.476,0.478,0.025,False,Ari:carpentry:0.48
131,8,Fay,cultivation,0.009,0.537,0.546,0.045,True,Fay:cultivation:0.55
132,8,Nia,recordkeeping,0.002,0.575,0.577,0.025,False,Nia:recordkeeping:0.58
133,8,Milo,signalcraft,0.002,0.594,0.596,0.045,False,Milo:signalcraft:0.60
134,8,Ari,carpentry,0.009,0.478,0.487,0.025,True,Ari:carpentry:0.49
135,8,Fay,cultivation,0.002,0.546,0.548,0.045,False,Fay:cultivation:0.55
136,8,Nia,recordkeeping,0.009,0.577,0.586,0.025,True,Nia:recordkeeping:0.59
137,8,Milo,signalcraft,0.009,0.596,0.605,0.025,True,Milo:signalcraft:0.61
138,8,Ari,carpentry,0.009,0.487,0.496,0.025,True,Ari:carpentry:0.50
139,8,Fay,cultivation,0.002,0.548,0.55,0.045,False,Fay:cultivation:0.55
140,8,Nia,recordkeeping,0.009,0.586,0.595,0.025,True,Nia:recordkeeping:0.60
141,8,Milo,signalcraft,0.002,0.605,0.607,0.025,False,Milo:signalcraft:0.61
142,8,Ari,carpentry,0.002,0.496,0.498,0.025,False,Ari:carpentry:0.50
143,8,Fay,cultivation,0.002,0.55,0.552,0.025,False,Fay:cultivation:0.55
144,9,Nia,recordkeeping,0.002,0.595,0.597,0.025,False,Nia:recordkeeping:0.60
145,9,Milo,signalcraft,0.002,0.607,0.609,0.025,False,Milo:signalcraft:0.61
146,9,Ari,carpentry,0.009,0.498,0.507,0.025,True,Ari:carpentry:0.51
147,9,Fay,cultivation,0.002,0.552,0.554,0.025,False,Fay:cultivation:0.55
148,9,Nia,recordkeeping,0.002,0.597,0.599,0.025,False,Nia:recordkeeping:0.60
149,9,Milo,signalcraft,0.009,0.609,0.618,0.025,True,Milo:signalcraft:0.62
150,9,Ari,carpentry,0.002,0.507,0.509,0.025,False,Ari:carpentry:0.51
151,9,Fay,cultivation,0.002,0.554,0.556,0.025,False,Fay:cultivation:0.56
152,9,Nia,recordkeeping,0.009,0.599,0.608,0.025,True,Nia:recordkeeping:0.61
153,9,Milo,signalcraft,0.002,0.618,0.62,0.025,False,Milo:signalcraft:0.62
154,9,Ari,carpentry,0.002,0.509,0.511,0.025,False,Ari:carpentry:0.51
155,9,Fay,cultivation,0.009,0.556,0.565,0.025,True,Fay:cultivation:0.57
156,9,Nia,recordkeeping,0.002,0.608,0.61,0.025,False,Nia:recordkeeping:0.61
157,9,Milo,signalcraft,0.002,0.62,0.622,0.025,False,Milo:signalcraft:0.62
158,9,Ari,carpentry,0.009,0.511,0.52,0.025,True,Ari:carpentry:0.52
159,9,Fay,cultivation,0.002,0.565,0.567,0.025,False,Fay:cultivation:0.57
160,9,Nia,recordkeeping,0.002,0.61,0.612,0.025,False,Nia:recordkeeping:0.61
161,9,Milo,signalcraft,0.002,0.622,0.624,0.045,False,Milo:signalcraft:0.62
162,10,Ari,carpentry,0.009,0.52,0.529,0.045,True,Ari:carpentry:0.53
163,10,Fay,cultivation,0.002,0.567,0.569,0.025,False,Fay:cultivation:0.57
164,10,Nia,recordkeeping,0.009,0.612,0.621,0.025,True,Nia:recordkeeping:0.62
165,10,Milo,signalcraft,0.002,0.624,0.626,0.045,False,Milo:signalcraft:0.63
166,10,Ari,carpentry,0.002,0.529,0.531,0.025,False,Ari:carpentry:0.53
167,10,Fay,cultivation,0.009,0.569,0.578,0.025,True,Fay:cultivation:0.58
168,10,Nia,recordkeeping,0.002,0.621,0.623,0.025,False,Nia:recordkeeping:0.62
169,10,Milo,signalcraft,0.009,0.626,0.635,0.045,True,Milo:signalcraft:0.64
170,10,Ari,carpentry,0.009,0.531,0.54,0.025,True,Ari:carpentry:0.54
171,10,Fay,cultivation,0.009,0.578,0.587,0.025,True,Fay:cultivation:0.59
172,10,Nia,recordkeeping,0.002,0.623,0.625,0.025,False,Nia:recordkeeping:0.63
173,10,Milo,signalcraft,0.009,0.635,0.644,0.045,True,Milo:signalcraft:0.64
174,10,Ari,carpentry,0.002,0.54,0.542,0.025,False,Ari:carpentry:0.54
175,10,Fay,cultivation,0.002,0.587,0.589,0.025,False,Fay:cultivation:0.59
176,10,Nia,recordkeeping,0.009,0.625,0.634,0.025,True,Nia:recordkeeping:0.63
177,10,Milo,signalcraft,0.002,0.644,0.646,0.045,False,Milo:signalcraft:0.65
178,10,Ari,carpentry,0.002,0.542,0.544,0.025,False,Ari:carpentry:0.54
179,10,Fay,cultivation,0.002,0.589,0.591,0.025,False,Fay:cultivation:0.59
180,11,Nia,recordkeeping,0.002,0.634,0.636,0.025,False,Nia:recordkeeping:0.64
181,11,Milo,signalcraft,0.002,0.646,0.648,0.045,False,Milo:signalcraft:0.65
182,11,Ari,carpentry,0.009,0.544,0.553,0.025,True,Ari:carpentry:0.55
183,11,Fay,cultivation,0.002,0.591,0.593,0.025,False,Fay:cultivation:0.59
184,11,Nia,recordkeeping,0.002,0.636,0.638,0.025,False,Nia:recordkeeping:0.64
185,11,Milo,signalcraft,0.009,0.648,0.657,0.045,True,Milo:signalcraft:0.66
186,11,Ari,carpentry,0.002,0.553,0.555,0.025,False,Ari:carpentry:0.56
187,11,Fay,cultivation,0.002,0.593,0.595,0.025,False,Fay:cultivation:0.60
188,11,Nia,recordkeeping,0.009,0.638,0.647,0.025,True,Nia:recordkeeping:0.65
189,11,Milo,signalcraft,0.002,0.657,0.659,0.025,False,Milo:signalcraft:0.66
190,11,Ari,carpentry,0.002,0.555,0.557,0.025,False,Ari:carpentry:0.56
191,11,Fay,cultivation,0.009,0.595,0.604,0.025,True,Fay:cultivation:0.60
192,11,Nia,recordkeeping,0.002,0.647,0.649,0.025,False,Nia:recordkeeping:0.65
193,11,Milo,signalcraft,0.002,0.659,0.661,0.025,False,Milo:signalcraft:0.66
194,11,Ari,carpentry,0.009,0.557,0.566,0.025,True,Ari:carpentry:0.57
195,11,Fay,cultivation,0.002,0.604,0.606,0.025,False,Fay:cultivation:0.61
196,11,Nia,recordkeeping,0.002,0.649,0.651,0.025,False,Nia:recordkeeping:0.65
197,11,Milo,signalcraft,0.002,0.661,0.663,0.025,False,Milo:signalcraft:0.66
198,12,Fay,cultivation,0.002,0.606,0.608,0.025,False,Fay:cultivation:0.61
199,12,Nia,recordkeeping,0.002,0.651,0.653,0.025,False,Nia:recordkeeping:0.65
200,12,Milo,signalcraft,0.009,0.663,0.672,0.045,True,Milo:signalcraft:0.67
201,12,Ari,carpentry,0.002,0.566,0.568,0.025,False,Ari:carpentry:0.57
202,12,Fay,cultivation,0.002,0.608,0.61,0.025,False,Fay:cultivation:0.61
203,12,Nia,recordkeeping,0.009,0.653,0.662,0.025,True,Nia:recordkeeping:0.66
204,12,Milo,signalcraft,0.002,0.672,0.674,0.045,False,Milo:signalcraft:0.67
205,12,Ari,carpentry,0.002,0.568,0.57,0.025,False,Ari:carpentry:0.57
206,12,Fay,cultivation,0.009,0.61,0.619,0.025,True,Fay:cultivation:0.62
207,12,Nia,recordkeeping,0.002,0.662,0.664,0.025,False,Nia:recordkeeping:0.66
208,12,Milo,signalcraft,0.002,0.674,0.676,0.045,False,Milo:signalcraft:0.68
209,12,Ari,carpentry,0.009,0.57,0.579,0.025,True,Ari:carpentry:0.58
210,12,Fay,cultivation,0.002,0.619,0.621,0.025,False,Fay:cultivation:0.62
211,12,Nia,recordkeeping,0.002,0.664,0.666,0.025,False,Nia:recordkeeping:0.67
212,12,Milo,signalcraft,0.009,0.676,0.685,0.045,True,Milo:signalcraft:0.69
213,12,Ari,carpentry,0.002,0.579,0.581,0.025,False,Ari:carpentry:0.58
214,12,Fay,cultivation,0.002,0.621,0.623,0.025,False,Fay:cultivation:0.62
215,12,Nia,recordkeeping,0.002,0.666,0.668,0.025,False,Nia:recordkeeping:0.67
216,13,Milo,signalcraft,0.002,0.685,0.687,0.045,False,Milo:signalcraft:0.69
217,13,Ari,carpentry,0.002,0.581,0.583,0.025,False,Ari:carpentry:0.58
218,13,Fay,cultivation,0.009,0.623,0.632,0.025,True,Fay:cultivation:0.63
219,13,Nia,recordkeeping,0.002,0.668,0.67,0.025,False,Nia:recordkeeping:0.67
220,13,Milo,signalcraft,0.009,0.687,0.696,0.025,True,Milo:signalcraft:0.70
221,13,Ari,carpentry,0.009,0.583,0.592,0.025,True,Ari:carpentry:0.59
222,13,Fay,cultivation,0.009,0.632,0.641,0.025,True,Fay:cultivation:0.64
223,13,Nia,recordkeeping,0.002,0.67,0.672,0.025,False,Nia:recordkeeping:0.67
224,13,Milo,signalcraft,0.009,0.696,0.705,0.025,True,Milo:signalcraft:0.71
225,13,Ari,carpentry,0.002,0.592,0.594,0.025,False,Ari:carpentry:0.59
226,13,Fay,cultivation,0.002,0.641,0.643,0.025,False,Fay:cultivation:0.64
227,13,Nia,recordkeeping,0.009,0.672,0.681,0.025,True,Nia:recordkeeping:0.68
228,13,Milo,signalcraft,0.002,0.705,0.707,0.025,False,Milo:signalcraft:0.71
229,13,Ari,carpentry,0.002,0.594,0.596,0.025,False,Ari:carpentry:0.60
230,13,Fay,cultivation,0.009,0.643,0.652,0.025,True,Fay:cultivation:0.65
231,13,Nia,recordkeeping,0.009,0.681,0.69,0.025,True,Nia:recordkeeping:0.69
232,13,Milo,signalcraft,0.002,0.707,0.709,0.025,False,Milo:signalcraft:0.71
233,13,Ari,carpentry,0.009,0.596,0.605,0.025,True,Ari:carpentry:0.61
234,14,Fay,cultivation,0.002,0.652,0.654,0.025,False,Fay:cultivation:0.65
235,14,Nia,recordkeeping,0.002,0.69,0.692,0.025,False,Nia:recordkeeping:0.69
236,14,Milo,signalcraft,0.009,0.709,0.718,0.025,True,Milo:signalcraft:0.72
237,14,Ari,carpentry,0.002,0.605,0.607,0.025,False,Ari:carpentry:0.61
238,14,Fay,cultivation,0.002,0.654,0.656,0.025,False,Fay:cultivation:0.66
239,14,Nia,recordkeeping,0.009,0.692,0.701,0.025,True,Nia:recordkeeping:0.70
240,14,Milo,signalcraft,0.002,0.718,0.72,0.025,False,Milo:signalcraft:0.72
241,14,Ari,carpentry,0.002,0.607,0.609,0.025,False,Ari:carpentry:0.61
242,14,Fay,cultivation,0.009,0.656,0.665,0.025,True,Fay:cultivation:0.67
243,14,Nia,recordkeeping,0.002,0.701,0.703,0.045,False,Nia:recordkeeping:0.70
244,14,Milo,signalcraft,0.002,0.72,0.722,0.025,False,Milo:signalcraft:0.72
245,14,Ari,carpentry,0.009,0.609,0.618,0.025,True,Ari:carpentry:0.62
246,14,Fay,cultivation,0.002,0.665,0.667,0.025,False,Fay:cultivation:0.67
247,14,Nia,recordkeeping,0.002,0.703,0.705,0.025,False,Nia:recordkeeping:0.71
248,14,Milo,signalcraft,0.009,0.722,0.731,0.045,True,Milo:signalcraft:0.73
249,14,Ari,carpentry,0.002,0.618,0.62,0.025,False,Ari:carpentry:0.62
250,14,Fay,cultivation,0.002,0.667,0.669,0.025,False,Fay:cultivation:0.67
251,14,Nia,recordkeeping,0.002,0.705,0.707,0.025,False,Nia:recordkeeping:0.71
252,15,Milo,signalcraft,0.002,0.731,0.733,0.025,False,Milo:signalcraft:0.73
253,15,Ari,carpentry,0.002,0.62,0.622,0.025,False,Ari:carpentry:0.62
254,15,Fay,cultivation,0.009,0.669,0.678,0.025,True,Fay:cultivation:0.68
255,15,Nia,recordkeeping,0.009,0.707,0.716,0.025,True,Nia:recordkeeping:0.72
256,15,Milo,signalcraft,0.002,0.733,0.735,0.025,False,Milo:signalcraft:0.74
257,15,Ari,carpentry,0.009,0.622,0.631,0.025,True,Ari:carpentry:0.63
258,15,Fay,cultivation,0.002,0.678,0.68,0.025,False,Fay:cultivation:0.68
259,15,Nia,recordkeeping,0.002,0.716,0.718,0.025,False,Nia:recordkeeping:0.72
260,15,Milo,signalcraft,0.009,0.735,0.744,0.025,True,Milo:signalcraft:0.74
261,15,Ari,carpentry,0.002,0.631,0.633,0.025,False,Ari:carpentry:0.63
262,15,Fay,cultivation,0.002,0.68,0.682,0.025,False,Fay:cultivation:0.68
263,15,Nia,recordkeeping,0.009,0.718,0.727,0.025,True,Nia:recordkeeping:0.73
264,15,Milo,signalcraft,0.009,0.744,0.753,0.025,True,Milo:signalcraft:0.75
265,15,Ari,carpentry,0.002,0.633,0.635,0.025,False,Ari:carpentry:0.64
266,15,Fay,cultivation,0.009,0.682,0.691,0.025,True,Fay:cultivation:0.69
267,15,Nia,recordkeeping,0.002,0.727,0.729,0.025,False,Nia:recordkeeping:0.73
268,15,Milo,signalcraft,0.002,0.753,0.755,0.025,False,Milo:signalcraft:0.76
269,15,Ari,carpentry,0.002,0.635,0.637,0.025,False,Ari:carpentry:0.64
270,16,Nia,recordkeeping,0.002,0.729,0.731,0.025,False,Nia:recordkeeping:0.73
271,16,Milo,signalcraft,0.009,0.755,0.764,0.025,True,Milo:signalcraft:0.76
272,16,Ari,carpentry,0.009,0.637,0.646,0.025,True,Ari:carpentry:0.65
273,16,Fay,cultivation,0.009,0.691,0.7,0.025,True,Fay:cultivation:0.70
274,16,Nia,recordkeeping,0.002,0.731,0.733,0.025,False,Nia:recordkeeping:0.73
275,16,Milo,signalcraft,0.009,0.764,0.773,0.025,True,Milo:signalcraft:0.77
276,16,Ari,carpentry,0.002,0.646,0.648,0.025,False,Ari:carpentry:0.65
277,16,Fay,cultivation,0.002,0.7,0.702,0.025,False,Fay:cultivation:0.70
278,16,Nia,recordkeeping,0.009,0.733,0.742,0.025,True,Nia:recordkeeping:0.74
279,16,Milo,signalcraft,0.002,0.773,0.775,0.025,False,Milo:signalcraft:0.78
280,16,Ari,carpentry,0.002,0.648,0.65,0.025,False,Ari:carpentry:0.65
281,16,Fay,cultivation,0.009,0.702,0.711,0.025,True,Fay:cultivation:0.71
282,16,Nia,recordkeeping,0.009,0.742,0.751,0.025,True,Nia:recordkeeping:0.75
283,16,Milo,signalcraft,0.002,0.775,0.777,0.025,False,Milo:signalcraft:0.78
284,16,Ari,carpentry,0.009,0.65,0.659,0.025,True,Ari:carpentry:0.66
285,16,Fay,cultivation,0.002,0.711,0.713,0.045,False,Fay:cultivation:0.71
286,16,Nia,recordkeeping,0.002,0.751,0.753,0.025,False,Nia:recordkeeping:0.75
287,16,Milo,signalcraft,0.002,0.777,0.779,0.025,False,Milo:signalcraft:0.78
288,17,Ari,carpentry,0.002,0.659,0.661,0.025,False,Ari:carpentry:0.66
289,17,Fay,cultivation,0.002,0.713,0.715,0.045,False,Fay:cultivation:0.72
290,17,Nia,recordkeeping,0.009,0.753,0.762,0.025,True,Nia:recordkeeping:0.76
291,17,Milo,signalcraft,0.002,0.779,0.781,0.025,False,Milo:signalcraft:0.78
292,17,Ari,carpentry,0.002,0.661,0.663,0.025,False,Ari:carpentry:0.66
293,17,Fay,cultivation,0.009,0.715,0.724,0.045,True,Fay:cultivation:0.72
294,17,Nia,recordkeeping,0.002,0.762,0.764,0.025,False,Nia:recordkeeping:0.76
295,17,Milo,signalcraft,0.002,0.781,0.783,0.025,False,Milo:signalcraft:0.78
296,17,Ari,carpentry,0.009,0.663,0.672,0.025,True,Ari:carpentry:0.67
297,17,Fay,cultivation,0.002,0.724,0.726,0.045,False,Fay:cultivation:0.73
298,17,Nia,recordkeeping,0.002,0.764,0.766,0.025,False,Nia:recordkeeping:0.77
299,17,Milo,signalcraft,0.009,0.783,0.792,0.025,True,Milo:signalcraft:0.79
300,17,Ari,carpentry,0.002,0.672,0.674,0.025,False,Ari:carpentry:0.67
301,17,Fay,cultivation,0.002,0.726,0.728,0.025,False,Fay:cultivation:0.73
302,17,Nia,recordkeeping,0.009,0.766,0.775,0.025,True,Nia:recordkeeping:0.78
303,17,Milo,signalcraft,0.002,0.792,0.794,0.025,False,Milo:signalcraft:0.79
304,17,Ari,carpentry,0.002,0.674,0.676,0.025,False,Ari:carpentry:0.68
