tick,day,restore_id,scene_id,saved_avatar_x,saved_avatar_y,restored_avatar_x,restored_avatar_y,restored_agent,restore_error,position_restore_ok,visible_restore_feedback
34,3,v21-restore-0034,v21-scene-d03,6.0,3.28,5.72,3.04,Keth,0.368782,1,0
35,3,v21-restore-0035,v21-scene-d03,6.0,3.28,5.72,3.04,Melo,0.368782,1,0
36,3,v21-restore-0036,v21-scene-d03,6.0,3.28,5.72,3.04,Nari,0.368782,1,0
37,3,v21-restore-0037,v21-scene-d03,6.0,3.04,6.0,3.04,Ori,0.0,1,0
38,3,v21-restore-0038,v21-scene-d03,6.0,3.04,6.28,3.04,Vonn,0.28,1,0
39,3,v21-restore-0039,v21-scene-d03,6.0,3.04,6.0,3.04,Sova,0.0,1,0
40,3,v21-restore-0040,v21-scene-d03,6.0,3.04,6.0,3.04,Keth,0.0,1,0
41,3,v21-restore-0041,v21-scene-d03,6.0,3.04,6.28,3.04,Melo,0.28,1,1
42,3,v21-restore-0042,v21-scene-d03,6.0,3.04,6.28,3.04,Nari,0.28,1,0
43,3,v21-restore-0043,v21-scene-d03,6.0,3.04,6.56,3.04,Ori,0.56,1,0
44,3,v21-restore-0044,v21-scene-d03,6.56,3.04,6.56,3.04,Vonn,0.0,1,1
45,4,v21-restore-0045,v21-scene-d04,6.56,3.04,6.56,3.04,Keth,0.0,1,0
46,4,v21-restore-0046,v21-scene-d04,6.56,3.04,6.56,3.04,Melo,0.0,1,1
47,4,v21-restore-0047,v21-scene-d04,6.56,3.04,6.56,3.04,Nari,0.0,1,1
48,4,v21-restore-0048,v21-scene-d04,6.56,3.04,6.56,3.04,Ori,0.0,1,0
49,4,v21-restore-0049,v21-scene-d04,6.56,3.04,6.56,2.8,Vonn,0.24,1,0
50,4,v21-restore-0050,v21-scene-d04,6.56,3.04,6.56,2.8,Sova,0.24,1,0
51,4,v21-restore-0051,v21-scene-d04,6.56,3.04,6.84,2.8,Keth,0.368782,1,0
52,4,v21-restore-0052,v21-scene-d04,6.56,3.04,6.84,3.04,Melo,0.28,1,0
53,4,v21-restore-0053,v21-scene-d04,6.56,3.04,6.84,3.28,Nari,0.368782,1,0
54,4,v21-restore-0054,v21-scene-d04,6.56,3.04,6.84,3.28,Ori,0.368782,1,0
55,4,v21-restore-0055,v21-scene-d04,6.56,3.04,6.84,3.04,Vonn,0.28,1,0
56,4,v21-restore-0056,v21-scene-d04,6.56,3.04,6.84,3.04,Sova,0.28,1,0
57,4,v21-restore-0057,v21-scene-d04,6.56,3.04,6.56,3.04,Keth,0.0,1,0
58,4,v21-restore-0058,v21-scene-d04,6.56,3.04,6.56,3.04,Melo,0.0,1,0
59,4,v21-restore-0059,v21-scene-d04,6.56,3.04,6.56,2.8,Nari,0.24,1,0
60,5,v21-restore-0060,v21-scene-d05,6.56,3.04,6.84,2.8,Vonn,0.368782,1,0
61,5,v21-restore-0061,v21-scene-d05,6.84,2.8,6.84,2.8,Sova,0.0,1,1
62,5,v21-restore-0062,v21-scene-d05,6.84,2.8,6.84,2.8,Keth,0.0,1,0
63,5,v21-restore-0063,v21-scene-d05,6.84,2.8,7.12,2.8,Melo,0.28,1,0
64,5,v21-restore-0064,v21-scene-d05,6.84,2.8,7.12,2.56,Nari,0.368782,1,0
65,5,v21-restore-0065,v21-scene-d05,6.84,2.8,7.12,2.8,Ori,0.28,1,0
66,5,v21-restore-0066,v21-scene-d05,6.84,2.8,7.12,2.56,Vonn,0.368782,1,0
67,5,v21-restore-0067,v21-scene-d05,6.84,2.8,6.84,2.56,Sova,0.24,1,0
68,5,v21-restore-0068,v21-scene-d05,6.84,2.8,6.56,2.56,Keth,0.368782,1,0
69,5,v21-restore-0069,v21-scene-d05,6.56,2.56,6.56,2.56,Melo,0.0,1,1
70,5,v21-restore-0070,v21-scene-d05,6.56,2.56,6.56,2.56,Nari,0.0,1,0
71,5,v21-restore-0071,v21-scene-d05,6.56,2.56,6.56,2.8,Ori,0.24,1,0
72,5,v21-restore-0072,v21-scene-d05,6.56,2.56,6.56,2.8,Vonn,0.24,1,0
73,5,v21-restore-0073,v21-scene-d05,6.56,2.56,6.56,3.04,Sova,0.48,1,0
74,5,v21-restore-0074,v21-scene-d05,6.56,3.04,6.56,3.04,Keth,0.0,1,0
75,6,v21-restore-0075,v21-scene-d06,6.56,3.04,6.56,3.04,Nari,0.0,1,0
76,6,v21-restore-0076,v21-scene-d06,6.56,3.04,6.56,3.04,Ori,0.0,1,0
77,6,v21-restore-0077,v21-scene-d06,6.56,3.04,6.56,3.28,Vonn,0.24,1,0
78,6,v21-restore-0078,v21-scene-d06,6.56,3.04,6.56,3.28,Sova,0.24,1,0
79,6,v21-restore-0079,v21-scene-d06,6.56,3.04,6.56,3.28,Keth,0.24,1,0
80,6,v21-restore-0080,v21-scene-d06,6.56,3.28,6.56,3.28,Melo,0.0,1,1
81,6,v21-restore-0081,v21-scene-d06,6.56,3.28,6.84,3.28,Nari,0.28,1,0
82,6,v21-restore-0082,v21-scene-d06,6.56,3.28,6.84,3.04,Ori,0.368782,1,1
83,6,v21-restore-0083,v21-scene-d06,6.56,3.28,6.84,2.8,Vonn,0.555698,1,0
84,6,v21-restore-0084,v21-scene-d06,6.56,3.28,6.84,2.8,Sova,0.555698,1,0
85,6,v21-restore-0085,v21-scene-d06,6.56,3.28,6.84,2.56,Keth,0.772528,1,0
86,6,v21-restore-0086,v21-scene-d06,6.56,3.28,6.84,2.56,Melo,0.772528,1,0
87,6,v21-restore-0087,v21-scene-d06,6.56,3.28,7.12,2.56,Nari,0.91214,1,0
88,6,v21-restore-0088,v21-scene-d06,6.56,3.28,7.12,2.56,Ori,0.91214,1,0
89,6,v21-restore-0089,v21-scene-d06,6.56,3.28,7.12,2.56,Vonn,0.91214,1,0
90,7,v21-restore-0090,v21-scene-d07,6.56,3.28,7.12,2.56,Keth,0.91214,1,0
91,7,v21-restore-0091,v21-scene-d07,6.56,3.28,7.12,2.8,Melo,0.737564,1,0
92,7,v21-restore-0092,v21-scene-d07,6.56,3.28,7.12,2.8,Nari,0.737564,1,0
93,7,v21-restore-0093,v21-scene-d07,6.56,3.28,7.12,2.8,Ori,0.737564,1,0
94,7,v21-restore-0094,v21-scene-d07,6.56,3.28,7.12,2.56,Vonn,0.91214,1,0
95,7,v21-restore-0095,v21-scene-d07,6.56,3.28,7.12,2.32,Sova,1.111396,1,0
96,7,v21-restore-0096,v21-scene-d07,6.56,3.28,7.12,2.32,Keth,1.111396,1,0
97,7,v21-restore-0097,v21-scene-d07,6.56,3.28,7.12,2.32,Melo,1.111396,1,0
98,7,v21-restore-0098,v21-scene-d07,6.56,3.28,7.12,2.08,Nari,1.324236,0,0
99,7,v21-restore-0099,v21-scene-d07,6.56,3.28,7.12,1.84,Ori,1.545057,0,0
100,7,v21-restore-0100,v21-scene-d07,6.56,3.28,7.12,1.84,Vonn,1.545057,0,0
101,7,v21-restore-0101,v21-scene-d07,7.12,1.84,7.12,1.84,Sova,0.0,1,1
102,7,v21-restore-0102,v21-scene-d07,7.12,1.84,7.12,1.84,Keth,0.0,1,0
103,7,v21-restore-0103,v21-scene-d07,7.12,1.84,7.12,1.84,Melo,0.0,1,0
104,7,v21-restore-0104,v21-scene-d07,7.12,1.84,7.12,1.84,Nari,0.0,1,0
105,8,v21-restore-0105,v21-scene-d08,7.12,1.84,6.84,1.84,Vonn,0.28,1,0
106,8,v21-restore-0106,v21-scene-d08,7.12,1.84,6.84,1.84,Sova,0.28,1,0
107,8,v21-restore-0107,v21-scene-d08,7.12,1.84,7.12,1.84,Keth,0.0,1,0
108,8,v21-restore-0108,v21-scene-d08,7.12,1.84,7.4,1.84,Melo,0.28,1,0
109,8,v21-restore-0109,v21-scene-d08,7.12,1.84,7.68,1.84,Nari,0.56,1,0
110,8,v21-restore-0110,v21-scene-d08,7.12,1.84,7.68,1.84,Ori,0.56,1,0
111,8,v21-restore-0111,v21-scene-d08,7.4,1.84,7.4,1.84,Vonn,0.0,1,0
112,8,v21-restore-0112,v21-scene-d08,7.4,1.84,7.12,1.84,Sova,0.28,1,0
113,8,v21-restore-0113,v21-scene-d08,7.4,1.84,7.12,1.84,Keth,0.28,1,0
114,8,v21-restore-0114,v21-scene-d08,7.4,1.84,6.84,1.84,Melo,0.56,1,0
115,8,v21-restore-0115,v21-scene-d08,7.4,1.84,6.84,1.84,Nari,0.56,1,0
116,8,v21-restore-0116,v21-scene-d08,7.4,1.84,6.84,2.08,Ori,0.609262,1,0
117,8,v21-restore-0117,v21-scene-d08,7.4,1.84,6.84,2.08,Vonn,0.609262,1,0
118,8,v21-restore-0118,v21-scene-d08,6.84,2.08,6.84,2.08,Sova,0.0,1,1
119,8,v21-restore-0119,v21-scene-d08,6.84,2.08,6.84,1.84,Keth,0.24,1,0
120,9,v21-restore-0120,v21-scene-d09,6.84,2.08,6.84,1.84,Nari,0.24,1,0
121,9,v21-restore-0121,v21-scene-d09,6.84,2.08,6.84,1.6,Ori,0.48,1,0
122,9,v21-restore-0122,v21-scene-d09,6.84,1.6,6.84,1.6,Vonn,0.0,1,1
123,9,v21-restore-0123,v21-scene-d09,6.84,1.6,6.56,1.6,Sova,0.28,1,1
124,9,v21-restore-0124,v21-scene-d09,6.84,1.6,6.56,1.6,Keth,0.28,1,0
125,9,v21-restore-0125,v21-scene-d09,6.84,1.6,6.56,1.84,Melo,0.368782,1,0
126,9,v21-restore-0126,v21-scene-d09,6.84,1.6,6.56,2.08,Nari,0.555698,1,0
127,9,v21-restore-0127,v21-scene-d09,6.84,1.6,6.56,2.08,Ori,0.555698,1,0
128,9,v21-restore-0128,v21-scene-d09,6.84,1.6,6.84,2.08,Vonn,0.48,1,0
129,9,v21-restore-0129,v21-scene-d09,6.84,1.6,6.84,2.32,Sova,0.72,1,0
130,9,v21-restore-0130,v21-scene-d09,6.84,1.6,6.84,2.32,Keth,0.72,1,0
131,9,v21-restore-0131,v21-scene-d09,6.84,1.6,6.84,2.08,Melo,0.48,1,0
132,9,v21-restore-0132,v21-scene-d09,6.84,1.6,6.84,2.32,Nari,0.72,1,0
133,9,v21-restore-0133,v21-scene-d09,6.84,1.6,6.84,2.32,Ori,0.72,1,0
134,9,v21-restore-0134,v21-scene-d09,6.84,1.6,6.84,2.32,Vonn,0.72,1,0
135,10,v21-restore-0135,v21-scene-d10,6.84,1.6,6.84,2.56,Keth,0.96,1,0
136,10,v21-restore-0136,v21-scene-d10,6.84,1.6,7.12,2.56,Melo,1.0,1,0
137,10,v21-restore-0137,v21-scene-d10,6.84,1.6,7.12,2.32,Nari,0.772528,1,0
138,10,v21-restore-0138,v21-scene-d10,6.84,1.6,7.12,2.32,Ori,0.772528,1,0
139,10,v21-restore-0139,v21-scene-d10,6.84,1.6,7.12,2.32,Vonn,0.772528,1,0
140,10,v21-restore-0140,v21-scene-d10,6.84,1.6,7.12,2.08,Sova,0.555698,1,0
141,10,v21-restore-0141,v21-scene-d10,6.84,1.6,7.12,2.08,Keth,0.555698,1,0
142,10,v21-restore-0142,v21-scene-d10,6.84,1.6,7.12,2.32,Melo,0.772528,1,0
143,10,v21-restore-0143,v21-scene-d10,6.84,1.6,6.84,2.32,Nari,0.72,1,0
144,10,v21-restore-0144,v21-scene-d10,6.84,1.6,6.84,2.32,Ori,0.72,1,0
145,10,v21-restore-0145,v21-scene-d10,6.84,1.6,6.84,2.56,Vonn,0.96,1,0
146,10,v21-restore-0146,v21-scene-d10,6.84,1.6,6.84,2.56,Sova,0.96,1,0
147,10,v21-restore-0147,v21-scene-d10,6.84,1.6,7.12,2.56,Keth,1.0,1,0
148,10,v21-restore-0148,v21-scene-d10,7.12,2.56,7.12,2.56,Melo,0.0,1,0
149,10,v21-restore-0149,v21-scene-d10,7.12,2.56,6.84,2.56,Nari,0.28,1,0
150,11,v21-restore-0150,v21-scene-d11,7.12,2.56,6.84,2.56,Vonn,0.28,1,0
151,11,v21-restore-0151,v21-scene-d11,7.12,2.56,6.84,2.56,Sova,0.28,1,0
152,11,v21-restore-0152,v21-scene-d11,7.12,2.56,7.12,2.56,Keth,0.0,1,0
153,11,v21-restore-0153,v21-scene-d11,7.12,2.56,7.12,2.56,Melo,0.0,1,0
154,11,v21-restore-0154,v21-scene-d11,7.12,2.56,7.12,2.56,Nari,0.0,1,1
155,11,v21-restore-0155,v21-scene-d11,7.12,2.56,7.12,2.56,Ori,0.0,1,0
156,11,v21-restore-0156,v21-scene-d11,7.12,2.56,7.12,2.56,Vonn,0.0,1,0
157,11,v21-restore-0157,v21-scene-d11,7.12,2.56,7.12,2.56,Sova,0.0,1,0
158,11,v21-restore-0158,v21-scene-d11,7.12,2.56,7.12,2.56,Keth,0.0,1,0
159,11,v21-restore-0159,v21-scene-d11,7.12,2.56,7.12,2.56,Melo,0.0,1,0
160,11,v21-restore-0160,v21-scene-d11,7.12,2.56,7.12,2.56,Nari,0.0,1,1
161,11,v21-restore-0161,v21-scene-d11,7.12,2.56,7.12,2.56,Ori,0.0,1,0
162,11,v21-restore-0162,v21-scene-d11,7.12,2.56,7.12,2.32,Vonn,0.24,1,0
163,11,v21-restore-0163,v21-scene-d11,7.12,2.56,7.12,2.56,Sova,0.0,1,0
164,11,v21-restore-0164,v21-scene-d11,7.12,2.56,7.12,2.56,Keth,0.0,1,1
165,12,v21-restore-0165,v21-scene-d12,7.12,2.56,7.12,2.56,Nari,0.0,1,0
166,12,v21-restore-0166,v21-scene-d12,7.12,2.56,7.12,2.56,Ori,0.0,1,0
167,12,v21-restore-0167,v21-scene-d12,7.12,2.56,7.12,2.56,Vonn,0.0,1,0
168,12,v21-restore-0168,v21-scene-d12,7.12,2.56,7.12,2.32,Sova,0.24,1,0
169,12,v21-restore-0169,v21-scene-d12,7.12,2.56,7.12,2.08,Keth,0.48,1,0
170,12,v21-restore-0170,v21-scene-d12,7.12,2.56,6.84,2.08,Melo,0.555698,1,0
171,12,v21-restore-0171,v21-scene-d12,7.12,2.56,7.12,2.08,Nari,0.48,1,0
172,12,v21-restore-0172,v21-scene-d12,7.12,2.56,7.12,2.08,Ori,0.48,1,0
173,12,v21-restore-0173,v21-scene-d12,7.12,2.56,7.4,2.08,Vonn,0.555698,1,0
174,12,v21-restore-0174,v21-scene-d12,7.4,2.08,7.4,2.08,Sova,0.0,1,1
175,12,v21-restore-0175,v21-scene-d12,7.4,2.08,7.68,2.08,Keth,0.28,1,0
176,12,v21-restore-0176,v21-scene-d12,7.4,2.08,7.96,2.08,Melo,0.56,1,0
177,12,v21-restore-0177,v21-scene-d12,7.4,2.08,7.96,2.32,Nari,0.609262,1,0
178,12,v21-restore-0178,v21-scene-d12,7.4,2.08,8.24,2.32,Ori,0.873613,1,0
179,12,v21-restore-0179,v21-scene-d12,7.4,2.08,8.24,2.56,Vonn,0.967471,1,0
180,13,v21-restore-0180,v21-scene-d13,7.4,2.08,8.24,2.32,Keth,0.873613,1,0
181,13,v21-restore-0181,v21-scene-d13,8.24,2.32,8.24,2.32,Melo,0.0,1,1
182,13,v21-restore-0182,v21-scene-d13,8.24,2.32,8.24,2.08,Nari,0.24,1,0
183,13,v21-restore-0183,v21-scene-d13,8.24,2.32,8.24,2.08,Ori,0.24,1,0
184,13,v21-restore-0184,v21-scene-d13,8.24,2.32,8.24,2.08,Vonn,0.24,1,0
185,13,v21-restore-0185,v21-scene-d13,8.24,1.84,8.24,1.84,Sova,0.0,1,0
186,13,v21-restore-0186,v21-scene-d13,8.24,1.84,8.24,1.84,Keth,0.0,1,1
187,13,v21-restore-0187,v21-scene-d13,8.24,1.84,8.24,1.84,Melo,0.0,1,0
188,13,v21-restore-0188,v21-scene-d13,8.24,1.84,8.24,1.84,Nari,0.0,1,0
189,13,v21-restore-0189,v21-scene-d13,8.24,1.84,8.24,1.84,Ori,0.0,1,0
190,13,v21-restore-0190,v21-scene-d13,8.24,1.84,8.24,1.84,Vonn,0.0,1,0
191,13,v21-restore-0191,v21-scene-d13,8.24,1.84,8.24,1.84,Sova,0.0,1,0
192,13,v21-restore-0192,v21-scene-d13,8.24,1.84,7.96,1.84,Keth,0.28,1,0
193,13,v21-restore-0193,v21-scene-d13,8.24,1.84,7.96,1.6,Melo,0.368782,1,0
194,13,v21-restore-0194,v21-scene-d13,8.24,1.84,7.96,1.6,Nari,0.368782,1,0
195,14,v21-restore-0195,v21-scene-d14,8.24,1.84,7.96,1.6,Vonn,0.368782,1,0
196,14,v21-restore-0196,v21-scene-d14,8.24,1.84,8.24,1.6,Sova,0.24,1,0
197,14,v21-restore-0197,v21-scene-d14,8.24,1.84,7.96,1.6,Keth,0.368782,1,0
198,14,v21-restore-0198,v21-scene-d14,8.24,1.84,7.68,1.6,Melo,0.609262,1,0
199,14,v21-restore-0199,v21-scene-d14,8.24,1.84,7.96,1.6,Nari,0.368782,1,0
200,14,v21-restore-0200,v21-scene-d14,8.24,1.84,7.96,1.6,Ori,0.368782,1,0
201,14,v21-restore-0201,v21-scene-d14,8.24,1.84,7.96,1.84,Vonn,0.28,1,0
202,14,v21-restore-0202,v21-scene-d14,8.24,1.84,7.96,1.84,Sova,0.28,1,0
203,14,v21-restore-0203,v21-scene-d14,8.24,1.84,7.96,1.84,Keth,0.28,1,0
204,14,v21-restore-0204,v21-scene-d14,8.24,1.84,7.96,1.84,Melo,0.28,1,0
205,14,v21-restore-0205,v21-scene-d14,8.24,1.84,7.96,1.84,Nari,0.28,1,1
206,14,v21-restore-0206,v21-scene-d14,8.24,1.84,7.96,1.84,Ori,0.28,1,0
207,14,v21-restore-0207,v21-scene-d14,7.96,1.84,7.96,1.84,Vonn,0.0,1,1
208,14,v21-restore-0208,v21-scene-d14,7.96,1.84,8.24,1.84,Sova,0.28,1,0
209,14,v21-restore-0209,v21-scene-d14,8.24,1.84,8.24,1.84,Keth,0.0,1,1
210,15,v21-restore-0210,v21-scene-d15,8.24,1.84,8.24,1.84,Nari,0.0,1,0
211,15,v21-restore-0211,v21-scene-d15,8.24,1.84,7.96,1.84,Ori,0.28,1,0
212,15,v21-restore-0212,v21-scene-d15,8.24,1.84,7.96,2.08,Vonn,0.368782,1,0
213,15,v21-restore-0213,v21-scene-d15,8.24,1.84,7.96,2.08,Sova,0.368782,1,0
214,15,v21-restore-0214,v21-scene-d15,8.24,1.84,7.96,2.32,Keth,0.555698,1,0
215,15,v21-restore-0215,v21-scene-d15,7.96,2.32,7.96,2.32,Melo,0.0,1,1
216,15,v21-restore-0216,v21-scene-d15,7.96,2.32,7.68,2.32,Nari,0.28,1,0
217,15,v21-restore-0217,v21-scene-d15,7.96,2.32,7.68,2.32,Ori,0.28,1,0
218,15,v21-restore-0218,v21-scene-d15,7.96,2.32,7.68,2.32,Vonn,0.28,1,0
219,15,v21-restore-0219,v21-scene-d15,7.96,2.32,7.68,2.32,Sova,0.28,1,0
220,15,v21-restore-0220,v21-scene-d15,7.96,2.32,7.68,2.32,Keth,0.28,1,0
221,15,v21-restore-0221,v21-scene-d15,7.96,2.32,7.68,2.32,Melo,0.28,1,0
222,15,v21-restore-0222,v21-scene-d15,7.68,2.32,7.68,2.32,Nari,0.0,1,0
223,15,v21-restore-0223,v21-scene-d15,7.68,2.32,7.68,2.32,Ori,0.0,1,0
224,15,v21-restore-0224,v21-scene-d15,7.68,2.32,7.96,2.32,Vonn,0.28,1,0
225,16,v21-restore-0225,v21-scene-d16,7.68,2.32,7.96,2.32,Keth,0.28,1,0
226,16,v21-restore-0226,v21-scene-d16,7.68,2.32,7.68,2.32,Melo,0.0,1,0
227,16,v21-restore-0227,v21-scene-d16,7.68,2.32,7.4,2.32,Nari,0.28,1,0
228,16,v21-restore-0228,v21-scene-d16,7.68,2.32,7.68,2.32,Ori,0.0,1,0
229,16,v21-restore-0229,v21-scene-d16,7.68,2.32,7.68,2.32,Vonn,0.0,1,0
230,16,v21-restore-0230,v21-scene-d16,7.68,2.32,7.68,2.32,Sova,0.0,1,1
231,16,v21-restore-0231,v21-scene-d16,7.68,2.32,7.68,2.08,Keth,0.24,1,0
232,16,v21-restore-0232,v21-scene-d16,7.68,2.32,7.68,2.08,Melo,0.24,1,0
233,16,v21-restore-0233,v21-scene-d16,7.68,2.32,7.68,1.84,Nari,0.48,1,0
234,16,v21-restore-0234,v21-scene-d16,7.68,1.84,7.68,1.84,Ori,0.0,1,1
235,16,v21-restore-0235,v21-scene-d16,7.68,1.84,7.68,1.6,Vonn,0.24,1,0
236,16,v21-restore-0236,v21-scene-d16,7.68,1.84,7.68,1.6,Sova,0.24,1,0
237,16,v21-restore-0237,v21-scene-d16,7.68,1.84,7.96,1.6,Keth,0.368782,1,0
238,16,v21-restore-0238,v21-scene-d16,7.68,1.84,7.96,1.6,Melo,0.368782,1,0
239,16,v21-restore-0239,v21-scene-d16,7.68,1.84,7.96,1.84,Nari,0.28,1,0
240,17,v21-restore-0240,v21-scene-d17,7.68,1.84,7.68,1.84,Vonn,0.0,1,0
241,17,v21-restore-0241,v21-scene-d17,7.68,1.84,7.68,1.84,Sova,0.0,1,0
242,17,v21-restore-0242,v21-scene-d17,7.68,1.84,7.68,1.84,Keth,0.0,1,0
243,17,v21-restore-0243,v21-scene-d17,7.68,1.84,7.96,1.84,Melo,0.28,1,0
244,17,v21-restore-0244,v21-scene-d17,7.68,1.84,7.96,1.84,Nari,0.28,1,0
245,17,v21-restore-0245,v21-scene-d17,7.68,1.84,7.96,2.08,Ori,0.368782,1,0
246,17,v21-restore-0246,v21-scene-d17,7.68,1.84,7.96,2.08,Vonn,0.368782,1,1
247,17,v21-restore-0247,v21-scene-d17,7.68,1.84,7.96,2.08,Sova,0.368782,1,0
248,17,v21-restore-0248,v21-scene-d17,7.68,1.84,7.96,2.08,Keth,0.368782,1,0
249,17,v21-restore-0249,v21-scene-d17,7.68,1.84,7.68,2.08,Melo,0.24,1,0
250,17,v21-restore-0250,v21-scene-d17,7.68,1.84,7.68,1.84,Nari,0.0,1,0
251,17,v21-restore-0251,v21-scene-d17,7.68,1.84,7.68,1.84,Ori,0.0,1,0
252,17,v21-restore-0252,v21-scene-d17,7.68,1.84,7.68,1.84,Vonn,0.0,1,0
253,17,v21-restore-0253,v21-scene-d17,7.68,1.84,7.68,1.84,Sova,0.0,1,1
254,17,v21-restore-0254,v21-scene-d17,7.68,1.84,7.68,1.84,Keth,0.0,1,0
255,18,v21-restore-0255,v21-scene-d18,7.68,1.84,7.68,1.84,Nari,0.0,1,0
256,18,v21-restore-0256,v21-scene-d18,7.68,1.84,7.4,1.84,Ori,0.28,1,0
257,18,v21-restore-0257,v21-scene-d18,7.4,1.84,7.4,1.84,Vonn,0.0,1,1
258,18,v21-restore-0258,v21-scene-d18,7.4,1.84,7.68,1.84,Sova,0.28,1,0
259,18,v21-restore-0259,v21-scene-d18,7.68,1.84,7.68,1.84,Keth,0.0,1,0
260,18,v21-restore-0260,v21-scene-d18,7.68,1.84,7.68,1.84,Melo,0.0,1,0
261,18,v21-restore-0261,v21-scene-d18,7.68,1.84,7.4,1.84,Nari,0.28,1,0
262,18,v21-restore-0262,v21-scene-d18,7.68,1.84,7.4,2.08,Ori,0.368782,1,0
263,18,v21-restore-0263,v21-scene-d18,7.68,1.84,7.4,2.08,Vonn,0.368782,1,0
264,18,v21-restore-0264,v21-scene-d18,7.68,1.84,7.4,2.08,Sova,0.368782,1,0
265,18,v21-restore-0265,v21-scene-d18,7.68,1.84,7.4,2.32,Keth,0.555698,1,0
266,18,v21-restore-0266,v21-scene-d18,7.68,1.84,7.4,2.32,Melo,0.555698,1,0
267,18,v21-restore-0267,v21-scene-d18,7.68,1.84,7.4,2.32,Nari,0.555698,1,0
268,18,v21-restore-0268,v21-scene-d18,7.68,1.84,7.4,2.56,Ori,0.772528,1,0
269,18,v21-restore-0269,v21-scene-d18,7.68,1.84,7.4,2.56,Vonn,0.772528,1,0
270,19,v21-restore-0270,v21-scene-d19,7.68,1.84,7.4,2.56,Keth,0.772528,1,0
271,19,v21-restore-0271,v21-scene-d19,7.68,1.84,7.4,2.8,Melo,1.0,1,0
272,19,v21-restore-0272,v21-scene-d19,7.68,1.84,7.4,2.8,Nari,1.0,1,0
273,19,v21-restore-0273,v21-scene-d19,7.68,1.84,7.12,2.8,Ori,1.111396,1,0
