tick,day,transaction_id,scene_id,action,object_name,owner_agent,count_before,count_after,transaction_valid,owner_acknowledged,persisted_to_storage,transaction_integrity_score
71,5,v22-tx-0071,v22-scene-d05,mark,path cord,Keth,0,0,1,1,1,1.0
72,5,v22-tx-0072,v22-scene-d05,trade,path cord,Keth,0,0,0,0,1,0.5
73,5,v22-tx-0073,v22-scene-d05,take,path cord,Keth,0,1,1,1,1,1.0
74,5,v22-tx-0074,v22-scene-d05,take,path cord,Keth,1,2,1,1,1,1.0
75,5,v22-tx-0075,v22-scene-d05,observe,path cord,Keth,2,2,1,1,1,1.0
76,5,v22-tx-0076,v22-scene-d05,observe,path cord,Keth,2,2,1,1,1,1.0
77,5,v22-tx-0077,v22-scene-d05,take,path cord,Keth,2,2,0,0,1,0.5
78,5,v22-tx-0078,v22-scene-d05,trade,path cord,Keth,2,1,1,1,1,1.0
79,5,v22-tx-0079,v22-scene-d05,restore,path cord,Keth,1,1,1,1,1,1.0
80,6,v22-tx-0080,v22-scene-d06,restore,path cord,Keth,1,1,1,1,1,1.0
81,6,v22-tx-0081,v22-scene-d06,trade,path cord,Keth,1,0,1,1,1,1.0
82,6,v22-tx-0082,v22-scene-d06,take,path cord,Keth,0,1,1,1,1,1.0
83,6,v22-tx-0083,v22-scene-d06,place,path cord,Keth,1,0,1,1,0,0.75
84,6,v22-tx-0084,v22-scene-d06,restore,path cord,Keth,0,0,1,1,1,1.0
85,6,v22-tx-0085,v22-scene-d06,observe,path cord,Keth,0,0,1,1,1,1.0
86,6,v22-tx-0086,v22-scene-d06,place,path cord,Keth,0,0,0,0,1,0.5
87,6,v22-tx-0087,v22-scene-d06,trade,path cord,Keth,0,0,0,0,1,0.5
88,6,v22-tx-0088,v22-scene-d06,mark,path cord,Keth,0,0,1,1,1,1.0
89,6,v22-tx-0089,v22-scene-d06,place,path cord,Keth,0,0,0,0,1,0.5
90,6,v22-tx-0090,v22-scene-d06,observe,path cord,Keth,0,0,1,1,1,1.0
91,6,v22-tx-0091,v22-scene-d06,observe,path cord,Keth,0,0,1,1,1,1.0
92,6,v22-tx-0092,v22-scene-d06,trade,path cord,Keth,0,0,0,0,1,0.5
93,6,v22-tx-0093,v22-scene-d06,observe,path cord,Keth,0,0,1,1,1,1.0
94,6,v22-tx-0094,v22-scene-d06,take,path cord,Keth,0,1,1,1,1,1.0
95,6,v22-tx-0095,v22-scene-d06,trade,path cord,Keth,1,0,1,1,1,1.0
96,7,v22-tx-0096,v22-scene-d07,none,path cord,Keth,0,0,1,1,1,1.0
97,7,v22-tx-0097,v22-scene-d07,observe,path cord,Keth,0,0,1,1,1,1.0
98,7,v22-tx-0098,v22-scene-d07,offer,path cord,Keth,0,0,1,1,1,1.0
99,7,v22-tx-0099,v22-scene-d07,take,path cord,Keth,0,0,0,0,1,0.5
100,7,v22-tx-0100,v22-scene-d07,mark,path cord,Keth,0,0,1,1,1,1.0
101,7,v22-tx-0101,v22-scene-d07,observe,path cord,Keth,0,0,1,1,1,1.0
102,7,v22-tx-0102,v22-scene-d07,trade,path cord,Keth,0,0,0,0,1,0.5
103,7,v22-tx-0103,v22-scene-d07,observe,path cord,Keth,0,0,1,1,1,1.0
104,7,v22-tx-0104,v22-scene-d07,restore,path cord,Keth,0,0,1,1,1,1.0
105,7,v22-tx-0105,v22-scene-d07,place,path cord,Keth,0,0,0,0,1,0.5
106,7,v22-tx-0106,v22-scene-d07,trade,path cord,Keth,0,0,0,0,1,0.5
107,7,v22-tx-0107,v22-scene-d07,take,path cord,Keth,0,0,0,0,1,0.5
108,7,v22-tx-0108,v22-scene-d07,offer,path cord,Keth,0,0,1,1,1,1.0
109,7,v22-tx-0109,v22-scene-d07,place,path cord,Keth,0,0,0,0,1,0.5
110,7,v22-tx-0110,v22-scene-d07,restore,path cord,Keth,0,0,1,1,1,1.0
111,7,v22-tx-0111,v22-scene-d07,place,path cord,Keth,0,0,0,0,1,0.5
112,8,v22-tx-0112,v22-scene-d08,mark,path cord,Keth,0,0,1,1,1,1.0
113,8,v22-tx-0113,v22-scene-d08,place,path cord,Keth,0,0,0,0,1,0.5
114,8,v22-tx-0114,v22-scene-d08,none,path cord,Keth,0,0,1,1,1,1.0
115,8,v22-tx-0115,v22-scene-d08,take,path cord,Keth,0,0,0,0,1,0.5
116,8,v22-tx-0116,v22-scene-d08,observe,path cord,Keth,0,0,1,1,1,1.0
117,8,v22-tx-0117,v22-scene-d08,observe,path cord,Keth,0,0,1,1,1,1.0
118,8,v22-tx-0118,v22-scene-d08,trade,path cord,Keth,0,0,0,0,1,0.5
119,8,v22-tx-0119,v22-scene-d08,observe,path cord,Keth,0,0,1,1,1,1.0
120,8,v22-tx-0120,v22-scene-d08,none,path cord,Keth,0,0,1,1,0,0.75
121,8,v22-tx-0121,v22-scene-d08,trade,path cord,Keth,0,0,0,0,1,0.5
122,8,v22-tx-0122,v22-scene-d08,restore,path cord,Keth,0,0,1,1,1,1.0
123,8,v22-tx-0123,v22-scene-d08,mark,path cord,Keth,0,0,1,1,1,1.0
124,8,v22-tx-0124,v22-scene-d08,place,path cord,Keth,0,0,0,0,1,0.5
125,8,v22-tx-0125,v22-scene-d08,take,path cord,Keth,0,0,0,0,1,0.5
126,8,v22-tx-0126,v22-scene-d08,take,path cord,Keth,0,0,0,0,1,0.5
127,8,v22-tx-0127,v22-scene-d08,place,path cord,Keth,0,0,0,0,1,0.5
128,9,v22-tx-0128,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
129,9,v22-tx-0129,v22-scene-d09,place,path cord,Keth,0,0,0,0,1,0.5
130,9,v22-tx-0130,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
131,9,v22-tx-0131,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
132,9,v22-tx-0132,v22-scene-d09,take,path cord,Keth,0,0,0,0,1,0.5
133,9,v22-tx-0133,v22-scene-d09,mark,path cord,Keth,0,0,1,1,1,1.0
134,9,v22-tx-0134,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
135,9,v22-tx-0135,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
136,9,v22-tx-0136,v22-scene-d09,mark,path cord,Keth,0,0,1,1,1,1.0
137,9,v22-tx-0137,v22-scene-d09,observe,path cord,Keth,0,0,1,1,1,1.0
138,9,v22-tx-0138,v22-scene-d09,offer,path cord,Keth,0,0,1,1,1,1.0
139,9,v22-tx-0139,v22-scene-d09,place,path cord,Keth,0,0,0,0,1,0.5
140,9,v22-tx-0140,v22-scene-d09,offer,path cord,Keth,0,0,1,0,1,0.75
141,9,v22-tx-0141,v22-scene-d09,none,path cord,Keth,0,0,1,1,1,1.0
142,9,v22-tx-0142,v22-scene-d09,mark,path cord,Keth,0,0,1,1,1,1.0
143,9,v22-tx-0143,v22-scene-d09,restore,path cord,Keth,0,0,1,1,1,1.0
144,10,v22-tx-0144,v22-scene-d10,restore,path cord,Keth,0,0,1,1,1,1.0
145,10,v22-tx-0145,v22-scene-d10,mark,path cord,Keth,0,0,1,1,1,1.0
146,10,v22-tx-0146,v22-scene-d10,place,path cord,Keth,0,0,0,0,1,0.5
147,10,v22-tx-0147,v22-scene-d10,restore,path cord,Keth,0,0,1,1,1,1.0
148,10,v22-tx-0148,v22-scene-d10,place,path cord,Keth,0,0,0,0,1,0.5
149,10,v22-tx-0149,v22-scene-d10,mark,path cord,Keth,0,0,1,1,1,1.0
150,10,v22-tx-0150,v22-scene-d10,offer,path cord,Keth,0,0,1,1,1,1.0
151,10,v22-tx-0151,v22-scene-d10,none,path cord,Keth,0,0,1,1,1,1.0
152,10,v22-tx-0152,v22-scene-d10,restore,path cord,Keth,0,0,1,1,1,1.0
153,10,v22-tx-0153,v22-scene-d10,offer,path cord,Keth,0,0,1,1,1,1.0
154,10,v22-tx-0154,v22-scene-d10,mark,path cord,Keth,0,0,1,1,1,1.0
155,10,v22-tx-0155,v22-scene-d10,place,path cord,Keth,0,0,0,0,1,0.5
156,10,v22-tx-0156,v22-scene-d10,observe,path cord,Keth,0,0,1,1,1,1.0
157,10,v22-tx-0157,v22-scene-d10,observe,path cord,Keth,0,0,1,1,0,0.75
158,10,v22-tx-0158,v22-scene-d10,restore,path cord,Keth,0,0,1,1,1,1.0
159,10,v22-tx-0159,v22-scene-d10,none,path cord,Keth,0,0,1,1,1,1.0
160,11,v22-tx-0160,v22-scene-d11,mark,path cord,Keth,0,0,1,1,1,1.0
161,11,v22-tx-0161,v22-scene-d11,observe,path cord,Keth,0,0,1,1,1,1.0
162,11,v22-tx-0162,v22-scene-d11,offer,path cord,Keth,0,0,1,1,1,1.0
163,11,v22-tx-0163,v22-scene-d11,mark,path cord,Keth,0,0,1,1,1,1.0
164,11,v22-tx-0164,v22-scene-d11,none,path cord,Keth,0,0,1,1,1,1.0
165,11,v22-tx-0165,v22-scene-d11,take,path cord,Keth,0,0,0,0,1,0.5
166,11,v22-tx-0166,v22-scene-d11,restore,path cord,Keth,0,0,1,1,1,1.0
167,11,v22-tx-0167,v22-scene-d11,trade,path cord,Keth,0,0,0,0,1,0.5
168,11,v22-tx-0168,v22-scene-d11,take,path cord,Keth,0,0,0,0,1,0.5
169,11,v22-tx-0169,v22-scene-d11,observe,path cord,Keth,0,0,1,1,1,1.0
170,11,v22-tx-0170,v22-scene-d11,mark,path cord,Keth,0,0,1,1,1,1.0
171,11,v22-tx-0171,v22-scene-d11,trade,path cord,Keth,0,0,0,0,1,0.5
172,11,v22-tx-0172,v22-scene-d11,restore,path cord,Keth,0,0,1,1,1,1.0
173,11,v22-tx-0173,v22-scene-d11,observe,path cord,Keth,0,0,1,1,1,1.0
174,11,v22-tx-0174,v22-scene-d11,restore,path cord,Keth,0,0,1,1,1,1.0
175,11,v22-tx-0175,v22-scene-d11,trade,path cord,Keth,0,0,0,0,1,0.5
176,12,v22-tx-0176,v22-scene-d12,observe,path cord,Keth,0,0,1,1,1,1.0
177,12,v22-tx-0177,v22-scene-d12,restore,path cord,Keth,0,0,1,1,1,1.0
178,12,v22-tx-0178,v22-scene-d12,observe,path cord,Keth,0,0,1,1,1,1.0
179,12,v22-tx-0179,v22-scene-d12,trade,path cord,Keth,0,0,0,0,1,0.5
180,12,v22-tx-0180,v22-scene-d12,offer,path cord,Keth,0,0,1,1,1,1.0
181,12,v22-tx-0181,v22-scene-d12,none,path cord,Keth,0,0,1,1,1,1.0
182,12,v22-tx-0182,v22-scene-d12,observe,path cord,Keth,0,0,1,1,1,1.0
183,12,v22-tx-0183,v22-scene-d12,restore,path cord,Keth,0,0,1,1,1,1.0
184,12,v22-tx-0184,v22-scene-d12,take,path cord,Keth,0,1,1,1,1,1.0
185,12,v22-tx-0185,v22-scene-d12,offer,path cord,Keth,1,0,1,1,1,1.0
186,12,v22-tx-0186,v22-scene-d12,take,path cord,Keth,0,1,1,1,1,1.0
187,12,v22-tx-0187,v22-scene-d12,restore,path cord,Keth,1,1,1,1,1,1.0
188,12,v22-tx-0188,v22-scene-d12,none,path cord,Keth,1,1,1,1,1,1.0
189,12,v22-tx-0189,v22-scene-d12,place,path cord,Keth,1,0,1,1,1,1.0
190,12,v22-tx-0190,v22-scene-d12,take,path cord,Keth,0,0,0,0,1,0.5
191,12,v22-tx-0191,v22-scene-d12,observe,path cord,Keth,0,0,1,1,1,1.0
192,13,v22-tx-0192,v22-scene-d13,restore,path cord,Keth,0,0,1,1,1,1.0
193,13,v22-tx-0193,v22-scene-d13,none,path cord,Keth,0,0,1,1,1,1.0
194,13,v22-tx-0194,v22-scene-d13,mark,path cord,Keth,0,0,1,1,0,0.75
195,13,v22-tx-0195,v22-scene-d13,offer,path cord,Keth,0,0,1,1,1,1.0
196,13,v22-tx-0196,v22-scene-d13,restore,path cord,Keth,0,0,1,1,1,1.0
197,13,v22-tx-0197,v22-scene-d13,place,path cord,Keth,0,0,0,0,1,0.5
198,13,v22-tx-0198,v22-scene-d13,restore,path cord,Keth,0,0,1,1,1,1.0
199,13,v22-tx-0199,v22-scene-d13,none,path cord,Keth,0,0,1,1,1,1.0
200,13,v22-tx-0200,v22-scene-d13,take,path cord,Keth,0,1,1,1,1,1.0
201,13,v22-tx-0201,v22-scene-d13,offer,path cord,Keth,1,0,1,1,1,1.0
202,13,v22-tx-0202,v22-scene-d13,mark,path cord,Keth,0,0,1,1,1,1.0
203,13,v22-tx-0203,v22-scene-d13,trade,path cord,Keth,0,0,0,0,1,0.5
204,13,v22-tx-0204,v22-scene-d13,restore,path cord,Keth,0,0,1,1,1,1.0
205,13,v22-tx-0205,v22-scene-d13,observe,path cord,Keth,0,0,1,1,1,1.0
206,13,v22-tx-0206,v22-scene-d13,take,path cord,Keth,0,1,1,1,1,1.0
207,13,v22-tx-0207,v22-scene-d13,restore,path cord,Keth,1,1,1,1,1,1.0
208,14,v22-tx-0208,v22-scene-d14,none,path cord,Keth,1,1,1,1,1,1.0
209,14,v22-tx-0209,v22-scene-d14,none,path cord,Keth,1,1,1,1,1,1.0
210,14,v22-tx-0210,v22-scene-d14,observe,path cord,Keth,1,1,1,1,1,1.0
211,14,v22-tx-0211,v22-scene-d14,trade,path cord,Keth,1,0,1,1,1,1.0
212,14,v22-tx-0212,v22-scene-d14,observe,path cord,Keth,0,0,1,1,1,1.0
213,14,v22-tx-0213,v22-scene-d14,place,path cord,Keth,0,0,0,0,1,0.5
214,14,v22-tx-0214,v22-scene-d14,none,path cord,Keth,0,0,1,1,1,1.0
215,14,v22-tx-0215,v22-scene-d14,observe,path cord,Keth,0,0,1,1,1,1.0
216,14,v22-tx-0216,v22-scene-d14,none,path cord,Keth,0,0,1,1,1,1.0
217,14,v22-tx-0217,v22-scene-d14,mark,path cord,Keth,0,0,1,1,1,1.0
218,14,v22-tx-0218,v22-scene-d14,trade,path cord,Keth,0,0,0,0,1,0.5
219,14,v22-tx-0219,v22-scene-d14,observe,path cord,Keth,0,0,1,1,1,1.0
220,14,v22-tx-0220,v22-scene-d14,take,path cord,Keth,0,1,1,1,1,1.0
221,14,v22-tx-0221,v22-scene-d14,observe,path cord,Keth,1,1,1,1,1,1.0
222,14,v22-tx-0222,v22-scene-d14,observe,path cord,Keth,1,1,1,1,1,1.0
223,14,v22-tx-0223,v22-scene-d14,restore,path cord,Keth,1,1,1,1,1,1.0
224,15,v22-tx-0224,v22-scene-d15,take,path cord,Keth,1,2,1,1,1,1.0
225,15,v22-tx-0225,v22-scene-d15,observe,path cord,Keth,2,2,1,1,1,1.0
226,15,v22-tx-0226,v22-scene-d15,take,path cord,Keth,2,2,0,0,1,0.5
227,15,v22-tx-0227,v22-scene-d15,trade,path cord,Keth,2,1,1,1,1,1.0
228,15,v22-tx-0228,v22-scene-d15,trade,path cord,Keth,1,0,1,1,1,1.0
229,15,v22-tx-0229,v22-scene-d15,observe,path cord,Keth,0,0,1,1,1,1.0
230,15,v22-tx-0230,v22-scene-d15,place,path cord,Keth,0,0,0,0,1,0.5
231,15,v22-tx-0231,v22-scene-d15,trade,path cord,Keth,0,0,0,0,0,0.25
232,15,v22-tx-0232,v22-scene-d15,restore,path cord,Keth,0,0,1,1,1,1.0
233,15,v22-tx-0233,v22-scene-d15,take,path cord,Keth,0,1,1,1,1,1.0
234,15,v22-tx-0234,v22-scene-d15,restore,path cord,Keth,1,1,1,1,1,1.0
235,15,v22-tx-0235,v22-scene-d15,take,path cord,Keth,1,2,1,0,1,0.75
236,15,v22-tx-0236,v22-scene-d15,observe,path cord,Keth,2,2,1,1,1,1.0
237,15,v22-tx-0237,v22-scene-d15,take,path cord,Keth,2,2,0,0,1,0.5
238,15,v22-tx-0238,v22-scene-d15,restore,path cord,Keth,2,2,1,1,1,1.0
239,15,v22-tx-0239,v22-scene-d15,restore,rain mirror,Vonn,0,0,1,1,1,1.0
240,16,v22-tx-0240,v22-scene-d16,restore,rain mirror,Vonn,0,0,1,1,1,1.0
241,16,v22-tx-0241,v22-scene-d16,trade,path cord,Keth,2,1,1,1,1,1.0
242,16,v22-tx-0242,v22-scene-d16,restore,path cord,Keth,1,1,1,1,1,1.0
243,16,v22-tx-0243,v22-scene-d16,place,path cord,Keth,1,0,1,1,1,1.0
244,16,v22-tx-0244,v22-scene-d16,restore,path cord,Keth,0,0,1,1,1,1.0
245,16,v22-tx-0245,v22-scene-d16,take,path cord,Keth,0,0,0,0,1,0.5
246,16,v22-tx-0246,v22-scene-d16,restore,path cord,Keth,0,0,1,1,1,1.0
247,16,v22-tx-0247,v22-scene-d16,place,path cord,Keth,0,0,0,0,1,0.5
248,16,v22-tx-0248,v22-scene-d16,place,path cord,Keth,0,0,0,0,1,0.5
249,16,v22-tx-0249,v22-scene-d16,observe,rain mirror,Vonn,0,0,1,1,1,1.0
250,16,v22-tx-0250,v22-scene-d16,observe,rain mirror,Vonn,0,0,1,1,1,1.0
251,16,v22-tx-0251,v22-scene-d16,observe,ember bowl,Sova,0,0,1,1,1,1.0
252,16,v22-tx-0252,v22-scene-d16,mark,ember bowl,Sova,0,0,1,1,1,1.0
253,16,v22-tx-0253,v22-scene-d16,none,ember bowl,Sova,0,0,1,1,1,1.0
254,16,v22-tx-0254,v22-scene-d16,observe,ember bowl,Sova,0,0,1,1,1,1.0
255,16,v22-tx-0255,v22-scene-d16,mark,ember bowl,Sova,0,0,1,1,1,1.0
256,17,v22-tx-0256,v22-scene-d17,offer,ember bowl,Sova,0,0,1,1,1,1.0
257,17,v22-tx-0257,v22-scene-d17,trade,path cord,Keth,0,0,0,0,1,0.5
258,17,v22-tx-0258,v22-scene-d17,trade,path cord,Keth,0,0,0,0,1,0.5
259,17,v22-tx-0259,v22-scene-d17,observe,path cord,Keth,0,0,1,1,1,1.0
260,17,v22-tx-0260,v22-scene-d17,offer,rain mirror,Vonn,0,0,1,0,1,0.75
261,17,v22-tx-0261,v22-scene-d17,mark,rain mirror,Vonn,0,0,1,1,1,1.0
262,17,v22-tx-0262,v22-scene-d17,take,ember bowl,Sova,0,1,1,1,1,1.0
263,17,v22-tx-0263,v22-scene-d17,place,ember bowl,Sova,1,0,1,1,1,1.0
264,17,v22-tx-0264,v22-scene-d17,place,ember bowl,Sova,0,0,0,0,1,0.5
265,17,v22-tx-0265,v22-scene-d17,observe,ember bowl,Sova,0,0,1,1,1,1.0
266,17,v22-tx-0266,v22-scene-d17,restore,ember bowl,Sova,0,0,1,1,1,1.0
267,17,v22-tx-0267,v22-scene-d17,observe,ember bowl,Sova,0,0,1,1,1,1.0
268,17,v22-tx-0268,v22-scene-d17,take,ember bowl,Sova,0,0,0,0,0,0.25
269,17,v22-tx-0269,v22-scene-d17,take,ember bowl,Sova,0,0,0,0,1,0.5
270,17,v22-tx-0270,v22-scene-d17,take,ember bowl,Sova,0,0,0,0,1,0.5
271,17,v22-tx-0271,v22-scene-d17,observe,ember bowl,Sova,0,0,1,1,1,1.0
272,18,v22-tx-0272,v22-scene-d18,take,ember bowl,Sova,0,0,0,0,1,0.5
273,18,v22-tx-0273,v22-scene-d18,none,ember bowl,Sova,0,0,1,1,1,1.0
274,18,v22-tx-0274,v22-scene-d18,offer,ember bowl,Sova,0,0,1,1,1,1.0
275,18,v22-tx-0275,v22-scene-d18,place,ember bowl,Sova,0,0,0,0,1,0.5
276,18,v22-tx-0276,v22-scene-d18,place,ember bowl,Sova,0,0,0,0,1,0.5
277,18,v22-tx-0277,v22-scene-d18,offer,ember bowl,Sova,0,0,1,1,1,1.0
278,18,v22-tx-0278,v22-scene-d18,take,ember bowl,Sova,0,1,1,1,1,1.0
279,18,v22-tx-0279,v22-scene-d18,take,ember bowl,Sova,1,2,1,1,1,1.0
280,18,v22-tx-0280,v22-scene-d18,mark,ember bowl,Sova,2,2,1,1,1,1.0
281,18,v22-tx-0281,v22-scene-d18,mark,ember bowl,Sova,2,2,1,1,1,1.0
282,18,v22-tx-0282,v22-scene-d18,trade,ember bowl,Sova,2,1,1,1,1,1.0
283,18,v22-tx-0283,v22-scene-d18,restore,ember bowl,Sova,1,1,1,1,1,1.0
284,18,v22-tx-0284,v22-scene-d18,take,ember bowl,Sova,1,1,0,0,1,0.5
285,18,v22-tx-0285,v22-scene-d18,restore,ember bowl,Sova,1,1,1,1,1,1.0
286,18,v22-tx-0286,v22-scene-d18,take,ember bowl,Sova,1,1,0,0,1,0.5
287,18,v22-tx-0287,v22-scene-d18,trade,ember bowl,Sova,1,0,1,1,1,1.0
288,19,v22-tx-0288,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
289,19,v22-tx-0289,v22-scene-d19,none,ember bowl,Sova,0,0,1,1,1,1.0
290,19,v22-tx-0290,v22-scene-d19,observe,ember bowl,Sova,0,0,1,1,1,1.0
291,19,v22-tx-0291,v22-scene-d19,trade,ember bowl,Sova,0,0,0,0,1,0.5
