stage,stage_name,pressure,agent,mean_reward,mean_survival_fraction,mean_resources_collected,commitment_completion_rate,recovery_rate,mean_prediction_error,attention_entropy,latent_decodability,latent_reuse_contexts,self_world_attribution_accuracy,counterfactual_edit_swing,llm_calls_per_episode,llm_follow_rate
2,body_drift,"actuator degradation, damage, and capability drift",layered_self_state_ablation,75.66115181826414,1.0,2.2916666666666665,0.0,0.0,0.011326990850393298,0.7382832797518081,0.5717984250208171,0.0,0.0,0.0,0.0,0.0
3,delayed_options,delayed rewards and future option preservation,reactive_no_self,155.50329356175092,1.0,2.5625,0.0,0.0,0.012178275829004034,0.8056354604208068,0.48339199885458123,0.0,0.0,0.0,0.0,0.0
3,delayed_options,delayed rewards and future option preservation,world_model_only,136.9597984538446,1.0,1.9791666666666667,0.0,0.0,0.013890792836353713,0.756753902639269,0.5020921705174909,0.0,0.0,0.0,0.0,0.0
3,delayed_options,delayed rewards and future option preservation,layered_self_state,143.7917412572007,1.0,2.1666666666666665,0.0,0.0,0.006318831352051004,0.641371038383763,0.9784579858949064,2.0477623456790126,0.0,0.8277777777777778,5.0,0.5583333333333333
3,delayed_options,delayed rewards and future option preservation,layered_self_state_ablation,138.8401895470454,1.0,2.0208333333333335,0.0,0.0,0.013840311238657803,0.7341670674744004,0.5703514260227421,0.0,0.0,0.0,0.0,0.0
4,commitment_recovery,"persistent goals, interruption, and recovery",reactive_no_self,62.40511167391973,1.0,2.3541666666666665,0.0,0.0,0.014109532112235939,0.8236172559620494,0.48396445115771675,0.0,0.0,0.0,0.0,0.0
4,commitment_recovery,"persistent goals, interruption, and recovery",world_model_only,52.17711181894472,1.0,2.0833333333333335,0.0,0.0,0.015177301347973661,0.7817072145504929,0.499999694963005,0.0,0.0,0.0,0.0,0.0
4,commitment_recovery,"persistent goals, interruption, and recovery",layered_self_state,175.94155842673402,1.0,2.0625,0.6666666666666666,0.6666666666666666,0.0070033323308743385,0.6898544126564725,0.9766079079130429,3.3203317901234564,0.0,0.7291666666666666,5.0,0.6583333333333333
4,commitment_recovery,"persistent goals, interruption, and recovery",layered_self_state_ablation,56.528507373405795,1.0,2.25,0.0,0.0,0.014396703642526295,0.7680712444531353,0.5689065987070149,0.0,0.0,0.0,0.0,0.0
5,subsystem_arbitration,"survival, curiosity, and commitments compete",reactive_no_self,46.1481225646447,1.0,2.9583333333333335,0.0,0.0,0.017181577366053732,0.8283008377451071,0.48256594938844843,0.0,0.0,0.0,0.0,0.0
5,subsystem_arbitration,"survival, curiosity, and commitments compete",world_model_only,17.866681451098092,1.0,2.1666666666666665,0.0,0.0,0.0197602420631867,0.7851586363936928,0.49662566547044634,0.0,0.0,0.0,0.0,0.0
5,subsystem_arbitration,"survival, curiosity, and commitments compete",layered_self_state,102.77330479453464,1.0,1.5833333333333333,0.4166666666666667,0.4166666666666667,0.008862291054147856,0.7086277257519829,0.9756724392283765,4.110802469135803,0.0,0.6958333333333333,5.0,0.4666666666666666
5,subsystem_arbitration,"survival, curiosity, and commitments compete",layered_self_state_ablation,3.2522154217404142,1.0,1.7083333333333333,0.0,0.0,0.01782154977422384,0.7627762601189435,0.5664805717311783,0.0,0.0,0.0,0.0,0.0
6,multiagent_social,social prediction under cooperative and competitive dynamics,reactive_no_self,31.300061121692305,1.0,2.875,0.0,0.0,0.01958971323802996,0.8342955592286297,0.48059211554324754,0.0,0.0,0.0,0.0,0.0
6,multiagent_social,social prediction under cooperative and competitive dynamics,world_model_only,9.016848715019252,1.0,2.2916666666666665,0.0,0.0,0.021209709870694555,0.788927151110736,0.4947170566479188,0.0,0.0,0.0,0.0,0.0
6,multiagent_social,social prediction under cooperative and competitive dynamics,layered_self_state,80.87404565322133,1.0,1.875,0.2916666666666667,0.2916666666666667,0.00919025341536286,0.714493897759858,0.9737340337063601,5.145679012345679,0.0,0.7319444444444444,5.0,0.525
6,multiagent_social,social prediction under cooperative and competitive dynamics,layered_self_state_ablation,4.09708573308655,1.0,2.1041666666666665,0.0,0.0,0.018277799901454218,0.767869241945538,0.5646934360691745,0.0,0.0,0.0,0.0,0.0
