tick,day,public_state,avatar_state,autonomous_agent_state,need_panel,memory_panel,routine_panel,interaction_panel,technology_panel,welfare_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
11,1,day 1 hour 16: Ori does route_patrol; avatar=present_passive,avatar present but not driving this tick,"Orchardline routine=evening; avatar_required=False; reason=Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=present_passive.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 1 Ori did route_patrol while avatar was present_passive; trust=0.71; boundary=0.35,route_patrol complete; progress=0.33; avatar_required=false,no agent-agent interaction this tick,lum-melo keeps water terraces public-use rules active while avatar is present_passive.,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.,sound=0.40; smell=0.29; temp=0.56; wet=0.20; pulse=2.40Hz; flower=146.8,False,ssrm250_browser_world_v10_autonomous_society,5a6db78ff6a5b27e2c
12,1,day 1 hour 17: Vonn does archive_update; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Rainline routine=evening; avatar_required=False; reason=Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 1 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,archive_update complete; progress=0.36; avatar_required=false,Vonn and Keth record teaching_memory without avatar prompt.,technology access unchanged this tick,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.40; smell=0.31; temp=0.54; wet=0.46; pulse=2.12Hz; flower=277.9,False,ssrm250_browser_world_v10_autonomous_society,a5f851b2a75fca8d20
13,1,day 1 hour 18: Sova does work_project; avatar=present_passive,avatar present but not driving this tick,"Hearthline routine=evening; avatar_required=False; reason=Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Sova did work_project while avatar was present_passive; trust=0.62; boundary=0.30,work_project complete; progress=0.27; avatar_required=false,no agent-agent interaction this tick,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.40; smell=0.29; temp=0.65; wet=0.22; pulse=2.31Hz; flower=59.7,False,ssrm250_browser_world_v10_autonomous_society,ddea7a364aafecd834
14,1,day 1 hour 19: Keth does work_project; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Routeline routine=evening; avatar_required=False; reason=Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 1 Keth did work_project while avatar was idle_nearby; trust=0.64; boundary=0.31,work_project complete; progress=0.29; avatar_required=false,Keth and Nari record work_coordination without avatar prompt.,technology access unchanged this tick,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.40; smell=0.29; temp=0.58; wet=0.20; pulse=2.17Hz; flower=194.0,False,ssrm250_browser_world_v10_autonomous_society,765c5494724905ab93
15,2,day 2 hour 6: Nari does maintain_tool; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Ledgerline routine=morning; avatar_required=False; reason=Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Nari did maintain_tool while avatar was absent_saved; trust=0.68; boundary=0.34,maintain_tool complete; progress=0.33; avatar_required=false,no agent-agent interaction this tick,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.,sound=0.40; smell=0.47; temp=0.52; wet=0.21; pulse=2.06Hz; flower=348.0,False,ssrm250_browser_world_v10_autonomous_society,421274a6fc9b14fc9d
16,2,day 2 hour 7: Ori does share_resource; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Orchardline routine=morning; avatar_required=False; reason=Ori continues terrace water and care pauses because share_resource is due, avatar_mode=idle_nearby.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Ori did share_resource while avatar was idle_nearby; trust=0.71; boundary=0.35,share_resource complete; progress=0.34; avatar_required=false,Ori and Keth record cooperative_care without avatar prompt.,lum-melo keeps water terraces public-use rules active while avatar is present_passive.,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.,sound=0.40; smell=0.47; temp=0.50; wet=0.23; pulse=2.40Hz; flower=133.3,False,ssrm250_browser_world_v10_autonomous_society,afbf081e4ee2341ae7
17,2,day 2 hour 8: Vonn does maintain_tool; avatar=present_passive,avatar present but not driving this tick,"Rainline routine=morning; avatar_required=False; reason=Vonn continues weather bell and wet route warning because maintain_tool is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Vonn did maintain_tool while avatar was present_passive; trust=0.72; boundary=0.37,maintain_tool complete; progress=0.37; avatar_required=false,no agent-agent interaction this tick,sova-vonn keeps weather bells public-use rules active while avatar is present_passive.,Vonn autonomous maintain_tool; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.40; smell=0.49; temp=0.47; wet=0.45; pulse=2.12Hz; flower=264.4,False,ssrm250_browser_world_v10_autonomous_society,a82227b44cf4ae47ad
18,2,day 2 hour 9: Sova does boundary_review; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Hearthline routine=morning; avatar_required=False; reason=Sova continues warm cups and public archive because boundary_review is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Sova did boundary_review while avatar was absent_saved; trust=0.61; boundary=0.29,boundary_review complete; progress=0.27; avatar_required=false,Sova and Nari record bounded_dispute without avatar prompt.,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.40; smell=0.29; temp=0.57; wet=0.21; pulse=2.31Hz; flower=46.3,False,ssrm250_browser_world_v10_autonomous_society,8bd8ec5d939a4f7bfc
19,2,day 2 hour 10: Keth does boundary_review; avatar=present_passive,avatar present but not driving this tick,"Routeline routine=midday; avatar_required=False; reason=Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,boundary_review complete; progress=0.29; avatar_required=false,no agent-agent interaction this tick,tek-nari keeps stone bridge joints public-use rules active while avatar is present_passive.,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.39; smell=0.29; temp=0.50; wet=0.20; pulse=2.17Hz; flower=180.6,False,ssrm250_browser_world_v10_autonomous_society,3d313082728d690852
20,2,day 2 hour 11: Melo does weather_watch; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Marketline routine=midday; avatar_required=False; reason=Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Melo did weather_watch while avatar was idle_nearby; trust=0.67; boundary=0.32,weather_watch complete; progress=0.29; avatar_required=false,Melo and Vonn record work_coordination without avatar prompt.,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.39; smell=0.29; temp=0.50; wet=0.20; pulse=2.47Hz; flower=325.0,False,ssrm250_browser_world_v10_autonomous_society,ef69e9566d4ec87d7d
21,2,day 2 hour 12: Nari does archive_update; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Ledgerline routine=midday; avatar_required=False; reason=Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Nari did archive_update while avatar was absent_saved; trust=0.68; boundary=0.34,archive_update complete; progress=0.35; avatar_required=false,no agent-agent interaction this tick,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.39; smell=0.29; temp=0.51; wet=0.21; pulse=2.06Hz; flower=93.0,False,ssrm250_browser_world_v10_autonomous_society,91165587ed4b655c4c
22,2,day 2 hour 13: Ori does route_patrol; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Orchardline routine=midday; avatar_required=False; reason=Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Ori did route_patrol while avatar was absent_saved; trust=0.71; boundary=0.35,route_patrol complete; progress=0.35; avatar_required=false,Ori and Keth record work_coordination without avatar prompt.,lum-melo keeps water terraces public-use rules active while avatar is present_passive.,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.,sound=0.38; smell=0.29; temp=0.52; wet=0.21; pulse=2.40Hz; flower=238.4,False,ssrm250_browser_world_v10_autonomous_society,962c95495552c93b9b
23,2,day 2 hour 14: Vonn does archive_update; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Rainline routine=midday; avatar_required=False; reason=Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=idle_nearby.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Vonn did archive_update while avatar was idle_nearby; trust=0.72; boundary=0.37,archive_update complete; progress=0.39; avatar_required=false,no agent-agent interaction this tick,sova-vonn keeps weather bells public-use rules active while avatar is idle_nearby.,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.38; smell=0.30; temp=0.51; wet=0.41; pulse=2.12Hz; flower=9.4,False,ssrm250_browser_world_v10_autonomous_society,3ee66039251be02d92
24,2,day 2 hour 15: Sova does work_project; avatar=present_passive,avatar present but not driving this tick,"Hearthline routine=evening; avatar_required=False; reason=Sova continues warm cups and public archive because work_project is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Sova did work_project while avatar was present_passive; trust=0.61; boundary=0.29,work_project complete; progress=0.29; avatar_required=false,Sova and Nari record work_coordination without avatar prompt.,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.37; smell=0.29; temp=0.63; wet=0.19; pulse=2.31Hz; flower=151.3,False,ssrm250_browser_world_v10_autonomous_society,3bcf9e23fa9e1962ac
25,2,day 2 hour 16: Keth does work_project; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Routeline routine=evening; avatar_required=False; reason=Keth continues route repair and boundary marks because work_project is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Keth did work_project while avatar was absent_saved; trust=0.63; boundary=0.30,work_project complete; progress=0.31; avatar_required=false,no agent-agent interaction this tick,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.37; smell=0.29; temp=0.56; wet=0.17; pulse=2.17Hz; flower=285.6,False,ssrm250_browser_world_v10_autonomous_society,5d7a355fd6d0d08f19
26,2,day 2 hour 17: Melo does agent_checkin; avatar=present_passive,avatar present but not driving this tick,"Marketline routine=evening; avatar_required=False; reason=Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 2 Melo did agent_checkin while avatar was present_passive; trust=0.67; boundary=0.32,agent_checkin complete; progress=0.30; avatar_required=false,Melo and Vonn record cooperative_care without avatar prompt.,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.48; smell=0.29; temp=0.57; wet=0.16; pulse=2.47Hz; flower=70.0,False,ssrm250_browser_world_v10_autonomous_society,12986df91f91625c02
27,2,day 2 hour 18: Nari does maintain_tool; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Ledgerline routine=evening; avatar_required=False; reason=Nari continues public ledger and sealed memory because maintain_tool is due, avatar_mode=idle_nearby.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Nari did maintain_tool while avatar was idle_nearby; trust=0.68; boundary=0.34,maintain_tool complete; progress=0.37; avatar_required=false,no agent-agent interaction this tick,nari-vonn keeps seed ledgers public-use rules active while avatar is idle_nearby.,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.,sound=0.36; smell=0.47; temp=0.58; wet=0.17; pulse=2.06Hz; flower=198.1,False,ssrm250_browser_world_v10_autonomous_society,aded1af530c61c69a9
28,2,day 2 hour 19: Ori does share_resource; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Orchardline routine=evening; avatar_required=False; reason=Ori continues terrace water and care pauses because share_resource is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 2 Ori did share_resource while avatar was absent_saved; trust=0.72; boundary=0.35,share_resource complete; progress=0.36; avatar_required=false,Ori and Keth record cooperative_care without avatar prompt.,lum-melo keeps water terraces public-use rules active while avatar is present_passive.,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.,sound=0.35; smell=0.47; temp=0.58; wet=0.16; pulse=2.40Hz; flower=343.4,False,ssrm250_browser_world_v10_autonomous_society,ffb6349875d89329f7
29,3,day 3 hour 6: Sova does boundary_review; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Hearthline routine=morning; avatar_required=False; reason=Sova continues warm cups and public archive because boundary_review is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Sova did boundary_review while avatar was idle_nearby; trust=0.61; boundary=0.29,boundary_review complete; progress=0.30; avatar_required=false,no agent-agent interaction this tick,lum-ori keeps hearth ceramics public-use rules active while avatar is idle_nearby.,Sova autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.35; smell=0.29; temp=0.61; wet=0.13; pulse=2.31Hz; flower=137.9,False,ssrm250_browser_world_v10_autonomous_society,36d17da1fb448d03d4
30,3,day 3 hour 7: Keth does boundary_review; avatar=present_passive,avatar present but not driving this tick,"Routeline routine=morning; avatar_required=False; reason=Keth continues route repair and boundary marks because boundary_review is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Keth did boundary_review while avatar was present_passive; trust=0.63; boundary=0.30,boundary_review complete; progress=0.32; avatar_required=false,Keth and Vonn record bounded_dispute without avatar prompt.,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.34; smell=0.29; temp=0.52; wet=0.13; pulse=2.17Hz; flower=272.1,False,ssrm250_browser_world_v10_autonomous_society,465423e23af4a83db3
31,3,day 3 hour 8: Melo does weather_watch; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Marketline routine=morning; avatar_required=False; reason=Melo continues market weights and fair exchange because weather_watch is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Melo did weather_watch while avatar was absent_saved; trust=0.67; boundary=0.32,weather_watch complete; progress=0.31; avatar_required=false,no agent-agent interaction this tick,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.34; smell=0.29; temp=0.51; wet=0.12; pulse=2.47Hz; flower=56.6,False,ssrm250_browser_world_v10_autonomous_society,c1b29bfe2597ee223e
32,3,day 3 hour 9: Nari does archive_update; avatar=present_passive,avatar present but not driving this tick,"Ledgerline routine=morning; avatar_required=False; reason=Nari continues public ledger and sealed memory because archive_update is due, avatar_mode=present_passive.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 3 Nari did archive_update while avatar was present_passive; trust=0.68; boundary=0.34,archive_update complete; progress=0.39; avatar_required=false,Nari and Keth record teaching_memory without avatar prompt.,nari-vonn keeps seed ledgers public-use rules active while avatar is idle_nearby.,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.33; smell=0.29; temp=0.51; wet=0.12; pulse=2.06Hz; flower=184.6,False,ssrm250_browser_world_v10_autonomous_society,418c350bd172726da8
33,3,day 3 hour 10: Ori does route_patrol; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Orchardline routine=midday; avatar_required=False; reason=Ori continues terrace water and care pauses because route_patrol is due, avatar_mode=idle_nearby.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 3 Ori did route_patrol while avatar was idle_nearby; trust=0.72; boundary=0.35,route_patrol complete; progress=0.38; avatar_required=false,no agent-agent interaction this tick,lum-melo keeps water terraces public-use rules active while avatar is idle_nearby.,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.,sound=0.32; smell=0.29; temp=0.51; wet=0.11; pulse=2.40Hz; flower=330.0,False,ssrm250_browser_world_v10_autonomous_society,f3740cfbce95e8893a
34,3,day 3 hour 11: Vonn does archive_update; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Rainline routine=midday; avatar_required=False; reason=Vonn continues weather bell and wet route warning because archive_update is due, avatar_mode=absent_saved.",dominant=thirst; behavior=looks toward cup shelf; recovery=water pause or care round,day 3 Vonn did archive_update while avatar was absent_saved; trust=0.72; boundary=0.37,archive_update complete; progress=0.41; avatar_required=false,Vonn and Nari record teaching_memory without avatar prompt.,sova-vonn keeps weather bells public-use rules active while avatar is idle_nearby.,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.,sound=0.32; smell=0.30; temp=0.49; wet=0.33; pulse=2.12Hz; flower=101.0,False,ssrm250_browser_world_v10_autonomous_society,add7e3a520b8d7ec3c
35,3,day 3 hour 12: Sova does work_project; avatar=absent_saved,avatar idle/absent; society tick continues from saved post-entry state,"Hearthline routine=midday; avatar_required=False; reason=Sova continues warm cups and public archive because work_project is due, avatar_mode=absent_saved.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Sova did work_project while avatar was absent_saved; trust=0.61; boundary=0.29,work_project complete; progress=0.32; avatar_required=false,no agent-agent interaction this tick,lum-ori keeps hearth ceramics public-use rules active while avatar is absent_saved.,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.32; smell=0.29; temp=0.60; wet=0.08; pulse=2.31Hz; flower=242.9,False,ssrm250_browser_world_v10_autonomous_society,7edd382baaabd63940
36,3,day 3 hour 13: Keth does work_project; avatar=idle_nearby,avatar idle/absent; society tick continues from saved post-entry state,"Routeline routine=midday; avatar_required=False; reason=Keth continues route repair and boundary marks because work_project is due, avatar_mode=idle_nearby.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Keth did work_project while avatar was idle_nearby; trust=0.63; boundary=0.30,work_project complete; progress=0.34; avatar_required=false,Keth and Vonn record work_coordination without avatar prompt.,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.31; smell=0.28; temp=0.54; wet=0.07; pulse=2.17Hz; flower=17.2,False,ssrm250_browser_world_v10_autonomous_society,008a0deddeb9b5eed8
37,3,day 3 hour 14: Melo does agent_checkin; avatar=present_passive,avatar present but not driving this tick,"Marketline routine=midday; avatar_required=False; reason=Melo continues market weights and fair exchange because agent_checkin is due, avatar_mode=present_passive.",dominant=fatigue; behavior=slower gait and lower voice; recovery=rest_recover or shorten route,day 3 Melo did agent_checkin while avatar was present_passive; trust=0.68; boundary=0.32,agent_checkin complete; progress=0.31; avatar_required=false,no agent-agent interaction this tick,melo-keth keeps measure weights public-use rules active while avatar is present_passive.,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.,sound=0.43; smell=0.28; temp=0.55; wet=0.06; pulse=2.47Hz; flower=161.6,False,ssrm250_browser_world_v10_autonomous_society,70096b751a53c4d4c9
