tick_id,day,material,claimant_project,claimant_agent,competing_project,competing_agent,claimant_priority,competing_priority,conflict,winner_project,loser_project,compromise,visible_conflict_marker
28,2,water,greenhouse_heat_loop,Fay,flood_bridge_market_route,Ari,0.54,0.59,False,none,none,none,False
29,2,planks,flood_bridge_market_route,Nia,archive_public_kiosk,Nia,0.68,0.63,False,none,none,none,False
30,2,thread,archive_public_kiosk,Fay,dusk_signal_court,Milo,0.7,0.45,False,none,none,none,False
31,2,oil,dusk_signal_court,Ari,greenhouse_heat_loop,Fay,0.61,0.57,False,none,none,none,False
32,2,water,greenhouse_heat_loop,Fay,flood_bridge_market_route,Ari,0.82,0.53,False,none,none,none,False
33,2,planks,flood_bridge_market_route,Nia,archive_public_kiosk,Nia,0.61,0.57,False,none,none,none,False
34,2,thread,archive_public_kiosk,Fay,dusk_signal_court,Milo,0.63,0.39,False,none,none,none,False
35,2,oil,dusk_signal_court,Ari,greenhouse_heat_loop,Fay,0.54,0.51,False,none,none,none,False
36,2,water,greenhouse_heat_loop,Fay,flood_bridge_market_route,Ari,0.75,0.47,False,none,none,none,False
37,2,planks,flood_bridge_market_route,Nia,archive_public_kiosk,Nia,0.54,0.51,False,none,none,none,False
38,2,thread,archive_public_kiosk,Fay,dusk_signal_court,Milo,0.56,0.63,False,none,none,none,False
39,2,oil,dusk_signal_court,Ari,greenhouse_heat_loop,Fay,0.82,0.45,False,none,none,none,False
40,3,compost,greenhouse_heat_loop,Nia,archive_public_kiosk,Nia,0.63,0.53,False,none,none,none,False
41,3,resin,flood_bridge_market_route,Ari,dusk_signal_court,Milo,0.42,0.57,False,none,none,none,False
42,3,glass,archive_public_kiosk,Milo,greenhouse_heat_loop,Fay,0.56,0.39,False,none,none,none,False
43,3,wire,dusk_signal_court,Milo,flood_bridge_market_route,Ari,0.7,0.51,False,none,none,none,False
44,3,compost,greenhouse_heat_loop,Nia,archive_public_kiosk,Nia,0.56,0.47,False,none,none,none,False
45,3,resin,flood_bridge_market_route,Ari,dusk_signal_court,Milo,0.7,0.51,False,none,none,none,False
46,3,glass,archive_public_kiosk,Milo,greenhouse_heat_loop,Fay,0.49,0.63,False,none,none,none,False
47,3,wire,dusk_signal_court,Milo,flood_bridge_market_route,Ari,0.63,0.45,False,none,none,none,False
48,3,compost,greenhouse_heat_loop,Nia,archive_public_kiosk,Nia,0.49,0.71,False,none,none,none,False
49,3,resin,flood_bridge_market_route,Ari,dusk_signal_court,Milo,0.63,0.45,False,none,none,none,False
50,3,glass,archive_public_kiosk,Milo,greenhouse_heat_loop,Fay,0.42,0.57,False,none,none,none,False
51,3,wire,dusk_signal_court,Milo,flood_bridge_market_route,Ari,0.56,0.39,False,none,none,none,False
52,3,compost,greenhouse_heat_loop,Nia,archive_public_kiosk,Nia,0.42,0.65,False,none,none,none,False
53,3,resin,flood_bridge_market_route,Ari,dusk_signal_court,Milo,0.56,0.39,False,none,none,none,False
54,3,glass,archive_public_kiosk,Milo,greenhouse_heat_loop,Fay,0.7,0.51,False,none,none,none,False
55,3,wire,dusk_signal_court,Milo,flood_bridge_market_route,Ari,0.49,0.63,False,none,none,none,False
56,3,compost,greenhouse_heat_loop,Nia,archive_public_kiosk,Nia,0.7,0.59,False,none,none,none,False
57,3,resin,flood_bridge_market_route,Ari,dusk_signal_court,Milo,0.49,0.63,False,none,none,none,False
58,3,glass,archive_public_kiosk,Milo,greenhouse_heat_loop,Fay,0.63,0.45,False,none,none,none,False
59,3,wire,dusk_signal_court,Milo,flood_bridge_market_route,Ari,0.42,0.57,False,none,none,none,False
60,4,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.82,0.65,False,none,none,none,False
61,4,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.49,0.39,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
62,4,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.75,0.51,True,archive_public_kiosk,dusk_signal_court,winner receives current slot,True
63,4,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.42,0.63,False,none,none,none,False
64,4,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.75,0.59,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
65,4,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.42,0.63,False,none,none,none,False
66,4,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.68,0.45,True,archive_public_kiosk,dusk_signal_court,winner receives current slot,True
67,4,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.7,0.57,True,dusk_signal_court,greenhouse_heat_loop,winner receives current slot,True
68,4,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.68,0.53,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
69,4,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.7,0.57,True,flood_bridge_market_route,archive_public_kiosk,winner receives current slot,True
70,4,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.61,0.39,False,none,none,none,False
71,4,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.63,0.51,True,dusk_signal_court,greenhouse_heat_loop,winner receives current slot,True
72,4,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.61,0.47,False,none,none,none,False
73,4,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.63,0.51,True,flood_bridge_market_route,archive_public_kiosk,winner receives current slot,True
74,4,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.54,0.63,True,dusk_signal_court,archive_public_kiosk,split stock and schedule appeal,True
75,4,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.56,0.45,False,none,none,none,False
76,4,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.54,0.71,True,flood_bridge_market_route,greenhouse_heat_loop,winner receives current slot,True
77,4,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.56,0.45,False,none,none,none,False
78,4,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.82,0.57,True,archive_public_kiosk,dusk_signal_court,winner receives current slot,True
79,4,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.49,0.39,True,dusk_signal_court,greenhouse_heat_loop,split stock and schedule appeal,True
80,5,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.49,0.53,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
81,5,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.75,0.57,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
82,5,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.42,0.39,False,none,none,none,False
83,5,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.75,0.57,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
84,5,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.42,0.47,False,none,none,none,False
85,5,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.68,0.51,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
86,5,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.7,0.63,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
87,5,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.68,0.51,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,False
88,5,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.7,0.71,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
89,5,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.61,0.45,False,none,none,none,False
90,5,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.63,0.57,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
91,5,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.61,0.45,False,none,none,none,False
92,5,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.63,0.65,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
93,5,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.54,0.39,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
94,5,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.56,0.51,False,none,none,none,False
95,5,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.54,0.39,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
96,5,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.56,0.59,False,none,none,none,False
97,5,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.82,0.63,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
98,5,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.49,0.45,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
99,5,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.82,0.63,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
100,6,oil,flood_bridge_market_route,Milo,archive_public_kiosk,Nia,0.56,0.65,True,archive_public_kiosk,flood_bridge_market_route,split stock and schedule appeal,True
101,6,ink,archive_public_kiosk,Ari,dusk_signal_court,Milo,0.7,0.39,False,none,none,none,False
102,6,rope,dusk_signal_court,Fay,greenhouse_heat_loop,Fay,0.49,0.51,False,none,none,none,False
103,6,copper,greenhouse_heat_loop,Milo,flood_bridge_market_route,Ari,0.7,0.39,False,none,none,none,False
104,6,oil,flood_bridge_market_route,Milo,archive_public_kiosk,Nia,0.49,0.59,False,none,none,none,False
105,6,ink,archive_public_kiosk,Ari,dusk_signal_court,Milo,0.63,0.63,True,archive_public_kiosk,dusk_signal_court,split stock and schedule appeal,True
106,6,rope,dusk_signal_court,Fay,greenhouse_heat_loop,Fay,0.42,0.45,False,none,none,none,False
107,6,copper,greenhouse_heat_loop,Milo,flood_bridge_market_route,Ari,0.63,0.63,True,greenhouse_heat_loop,flood_bridge_market_route,split stock and schedule appeal,True
108,6,oil,flood_bridge_market_route,Milo,archive_public_kiosk,Nia,0.42,0.53,False,none,none,none,False
109,6,ink,archive_public_kiosk,Ari,dusk_signal_court,Milo,0.56,0.57,False,none,none,none,False
110,6,rope,dusk_signal_court,Fay,greenhouse_heat_loop,Fay,0.7,0.39,True,dusk_signal_court,greenhouse_heat_loop,winner receives current slot,True
111,6,copper,greenhouse_heat_loop,Milo,flood_bridge_market_route,Ari,0.56,0.57,False,none,none,none,False
112,6,oil,flood_bridge_market_route,Milo,archive_public_kiosk,Nia,0.7,0.47,True,flood_bridge_market_route,archive_public_kiosk,winner receives current slot,True
113,6,ink,archive_public_kiosk,Ari,dusk_signal_court,Milo,0.49,0.51,False,none,none,none,False
114,6,rope,dusk_signal_court,Fay,greenhouse_heat_loop,Fay,0.63,0.63,False,none,none,none,False
115,6,copper,greenhouse_heat_loop,Milo,flood_bridge_market_route,Ari,0.49,0.51,False,none,none,none,False
116,6,oil,flood_bridge_market_route,Milo,archive_public_kiosk,Nia,0.63,0.71,False,none,none,none,False
117,6,ink,archive_public_kiosk,Ari,dusk_signal_court,Milo,0.42,0.45,True,dusk_signal_court,archive_public_kiosk,split stock and schedule appeal,True
118,6,rope,dusk_signal_court,Fay,greenhouse_heat_loop,Fay,0.56,0.57,False,none,none,none,False
119,6,copper,greenhouse_heat_loop,Milo,flood_bridge_market_route,Ari,0.42,0.45,True,flood_bridge_market_route,greenhouse_heat_loop,split stock and schedule appeal,True
120,7,planks,flood_bridge_market_route,Nia,dusk_signal_court,Milo,0.75,0.47,True,flood_bridge_market_route,dusk_signal_court,winner receives current slot,True
121,7,thread,archive_public_kiosk,Fay,greenhouse_heat_loop,Fay,0.42,0.51,False,none,none,none,False
122,7,oil,dusk_signal_court,Ari,flood_bridge_market_route,Ari,0.68,0.63,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
123,7,water,greenhouse_heat_loop,Fay,archive_public_kiosk,Nia,0.54,0.51,False,none,none,none,False
124,7,planks,flood_bridge_market_route,Nia,dusk_signal_court,Milo,0.68,0.71,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
125,7,thread,archive_public_kiosk,Fay,greenhouse_heat_loop,Fay,0.7,0.45,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
126,7,oil,dusk_signal_court,Ari,flood_bridge_market_route,Ari,0.61,0.57,False,none,none,none,False
127,7,water,greenhouse_heat_loop,Fay,archive_public_kiosk,Nia,0.82,0.45,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
128,7,planks,flood_bridge_market_route,Nia,dusk_signal_court,Milo,0.61,0.65,False,none,none,none,False
129,7,thread,archive_public_kiosk,Fay,greenhouse_heat_loop,Fay,0.63,0.39,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
130,7,oil,dusk_signal_court,Ari,flood_bridge_market_route,Ari,0.54,0.51,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
131,7,water,greenhouse_heat_loop,Fay,archive_public_kiosk,Nia,0.75,0.39,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
132,7,planks,flood_bridge_market_route,Nia,dusk_signal_court,Milo,0.54,0.59,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,True
133,7,thread,archive_public_kiosk,Fay,greenhouse_heat_loop,Fay,0.56,0.63,False,none,none,none,False
134,7,oil,dusk_signal_court,Ari,flood_bridge_market_route,Ari,0.82,0.45,True,dusk_signal_court,flood_bridge_market_route,winner receives current slot,True
135,7,water,greenhouse_heat_loop,Fay,archive_public_kiosk,Nia,0.68,0.63,False,none,none,none,False
136,7,planks,flood_bridge_market_route,Nia,dusk_signal_court,Milo,0.82,0.53,True,flood_bridge_market_route,dusk_signal_court,winner receives current slot,True
137,7,thread,archive_public_kiosk,Fay,greenhouse_heat_loop,Fay,0.49,0.57,True,greenhouse_heat_loop,archive_public_kiosk,split stock and schedule appeal,True
138,7,oil,dusk_signal_court,Ari,flood_bridge_market_route,Ari,0.75,0.39,False,none,none,none,False
139,7,water,greenhouse_heat_loop,Fay,archive_public_kiosk,Nia,0.61,0.57,True,greenhouse_heat_loop,archive_public_kiosk,split stock and schedule appeal,True
140,8,resin,flood_bridge_market_route,Ari,archive_public_kiosk,Nia,0.7,0.59,False,none,none,none,False
141,8,glass,archive_public_kiosk,Milo,dusk_signal_court,Milo,0.49,0.63,False,none,none,none,False
142,8,wire,dusk_signal_court,Milo,greenhouse_heat_loop,Fay,0.63,0.45,True,dusk_signal_court,greenhouse_heat_loop,winner receives current slot,True
143,8,compost,greenhouse_heat_loop,Nia,flood_bridge_market_route,Ari,0.61,0.63,False,none,none,none,False
144,8,resin,flood_bridge_market_route,Ari,archive_public_kiosk,Nia,0.63,0.53,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
145,8,glass,archive_public_kiosk,Milo,dusk_signal_court,Milo,0.42,0.57,False,none,none,none,False
146,8,wire,dusk_signal_court,Milo,greenhouse_heat_loop,Fay,0.56,0.39,False,none,none,none,False
147,8,compost,greenhouse_heat_loop,Nia,flood_bridge_market_route,Ari,0.54,0.57,False,none,none,none,False
148,8,resin,flood_bridge_market_route,Ari,archive_public_kiosk,Nia,0.56,0.47,False,none,none,none,False
149,8,glass,archive_public_kiosk,Milo,dusk_signal_court,Milo,0.7,0.51,True,archive_public_kiosk,dusk_signal_court,winner receives current slot,True
150,8,wire,dusk_signal_court,Milo,greenhouse_heat_loop,Fay,0.49,0.63,False,none,none,none,False
151,8,compost,greenhouse_heat_loop,Nia,flood_bridge_market_route,Ari,0.82,0.51,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
152,8,resin,flood_bridge_market_route,Ari,archive_public_kiosk,Nia,0.49,0.71,False,none,none,none,False
153,8,glass,archive_public_kiosk,Milo,dusk_signal_court,Milo,0.63,0.45,False,none,none,none,False
154,8,wire,dusk_signal_court,Milo,greenhouse_heat_loop,Fay,0.42,0.57,True,greenhouse_heat_loop,dusk_signal_court,winner receives current slot,True
155,8,compost,greenhouse_heat_loop,Nia,flood_bridge_market_route,Ari,0.75,0.45,False,none,none,none,False
156,8,resin,flood_bridge_market_route,Ari,archive_public_kiosk,Nia,0.42,0.65,True,archive_public_kiosk,flood_bridge_market_route,winner receives current slot,True
157,8,glass,archive_public_kiosk,Milo,dusk_signal_court,Milo,0.56,0.39,False,none,none,none,False
158,8,wire,dusk_signal_court,Milo,greenhouse_heat_loop,Fay,0.7,0.51,False,none,none,none,False
159,8,compost,greenhouse_heat_loop,Nia,flood_bridge_market_route,Ari,0.68,0.39,False,none,none,none,False
160,9,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.42,0.71,False,none,none,none,False
161,9,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.68,0.45,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
162,9,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.7,0.57,True,dusk_signal_court,flood_bridge_market_route,winner receives current slot,True
163,9,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.68,0.45,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
164,9,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.7,0.65,True,flood_bridge_market_route,dusk_signal_court,split stock and schedule appeal,True
165,9,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.61,0.39,False,none,none,none,False
166,9,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.63,0.51,True,dusk_signal_court,flood_bridge_market_route,winner receives current slot,True
167,9,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.61,0.39,False,none,none,none,False
168,9,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.63,0.59,True,flood_bridge_market_route,dusk_signal_court,split stock and schedule appeal,True
169,9,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.54,0.63,True,greenhouse_heat_loop,archive_public_kiosk,split stock and schedule appeal,True
170,9,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.56,0.45,False,none,none,none,False
171,9,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.54,0.63,True,archive_public_kiosk,greenhouse_heat_loop,split stock and schedule appeal,True
172,9,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.56,0.53,False,none,none,none,False
173,9,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.82,0.57,True,archive_public_kiosk,greenhouse_heat_loop,winner receives current slot,True
174,9,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.49,0.39,True,dusk_signal_court,flood_bridge_market_route,split stock and schedule appeal,False
175,9,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.82,0.57,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
176,9,rope,flood_bridge_market_route,Fay,dusk_signal_court,Milo,0.49,0.47,True,flood_bridge_market_route,dusk_signal_court,split stock and schedule appeal,True
177,9,paper,archive_public_kiosk,Nia,greenhouse_heat_loop,Fay,0.75,0.51,False,none,none,none,False
178,9,glass,dusk_signal_court,Nia,flood_bridge_market_route,Ari,0.42,0.63,True,flood_bridge_market_route,dusk_signal_court,winner receives current slot,True
179,9,glass,greenhouse_heat_loop,Ari,archive_public_kiosk,Nia,0.75,0.51,False,none,none,none,False
180,10,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.68,0.59,True,archive_public_kiosk,dusk_signal_court,split stock and schedule appeal,True
181,10,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.7,0.63,True,dusk_signal_court,greenhouse_heat_loop,split stock and schedule appeal,True
182,10,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.68,0.51,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
183,10,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.7,0.63,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
184,10,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.61,0.53,False,none,none,none,False
185,10,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.63,0.57,True,dusk_signal_court,greenhouse_heat_loop,split stock and schedule appeal,True
186,10,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.61,0.45,False,none,none,none,False
187,10,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.63,0.57,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
188,10,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.54,0.47,True,archive_public_kiosk,dusk_signal_court,split stock and schedule appeal,True
189,10,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.56,0.51,False,none,none,none,False
190,10,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.54,0.39,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
191,10,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.56,0.51,False,none,none,none,False
192,10,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.82,0.71,True,archive_public_kiosk,dusk_signal_court,split stock and schedule appeal,True
193,10,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.49,0.45,True,dusk_signal_court,greenhouse_heat_loop,split stock and schedule appeal,True
194,10,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.82,0.63,True,greenhouse_heat_loop,flood_bridge_market_route,winner receives current slot,True
195,10,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.49,0.45,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
196,10,paper,archive_public_kiosk,Nia,dusk_signal_court,Milo,0.75,0.65,False,none,none,none,False
197,10,glass,dusk_signal_court,Nia,greenhouse_heat_loop,Fay,0.42,0.39,True,dusk_signal_court,greenhouse_heat_loop,split stock and schedule appeal,True
198,10,glass,greenhouse_heat_loop,Ari,flood_bridge_market_route,Ari,0.75,0.57,False,none,none,none,False
199,10,rope,flood_bridge_market_route,Fay,archive_public_kiosk,Nia,0.42,0.39,True,flood_bridge_market_route,archive_public_kiosk,split stock and schedule appeal,True
200,11,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.75,0.71,True,archive_public_kiosk,greenhouse_heat_loop,split stock and schedule appeal,True
201,11,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.42,0.45,False,none,none,none,False
202,11,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.75,0.63,True,greenhouse_heat_loop,archive_public_kiosk,winner receives current slot,True
203,11,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.42,0.45,False,none,none,none,False
204,11,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.68,0.65,False,none,none,none,False
205,11,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.7,0.39,True,dusk_signal_court,flood_bridge_market_route,winner receives current slot,True
206,11,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.68,0.57,False,none,none,none,False
207,11,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.7,0.39,True,flood_bridge_market_route,dusk_signal_court,winner receives current slot,True
208,11,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.61,0.59,False,none,none,none,False
209,11,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.63,0.63,False,none,none,none,False
210,11,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.61,0.51,False,none,none,none,False
211,11,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.63,0.63,False,none,none,none,False
212,11,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.54,0.53,True,archive_public_kiosk,greenhouse_heat_loop,split stock and schedule appeal,True
213,11,rope,dusk_signal_court,Fay,flood_bridge_market_route,Ari,0.56,0.57,False,none,none,none,False
214,11,copper,greenhouse_heat_loop,Milo,archive_public_kiosk,Nia,0.54,0.45,True,greenhouse_heat_loop,archive_public_kiosk,split stock and schedule appeal,True
215,11,oil,flood_bridge_market_route,Milo,dusk_signal_court,Milo,0.56,0.57,False,none,none,none,False
216,11,ink,archive_public_kiosk,Ari,greenhouse_heat_loop,Fay,0.82,0.47,False,none,none,none,False
