tick,day,session_id,saved_key,restored_conversation_key,restored_resource_key,restored_consequence_key,restored_ok
40,3,v57-d003-s04,ssrm:v57:v57-d003-s04,canvas:glasshouse:resident:Fay:phrase:offer_tool,fiber:20,Fay->Ari:debt is marked paid,True
48,3,v57-d003-s12,ssrm:v57:v57-d003-s12,canvas:west hearth:resident:Sera:phrase:apologize,wood:28,Sera->Milo:group mood steadies,True
56,4,v57-d004-s02,ssrm:v57:v57-d004-s02,canvas:fiber loft:resident:Nia:phrase:ask_sensory,copper:16,Nia->Tovan:bystander learns caution,True
64,4,v57-d004-s10,ssrm:v57:v57-d004-s10,canvas:river gate:resident:Fay:phrase:request_space,herb:24,Fay->Ari:trust warms,True
72,5,v57-d005-s00,ssrm:v57:v57-d005-s00,canvas:tool alcove:resident:Sera:phrase:thank_resident,water:8,Sera->Milo:debt is marked paid,True
80,5,v57-d005-s08,ssrm:v57:v57-d005-s08,canvas:glasshouse:resident:Nia:phrase:ask_repair,fiber:16,Nia->Tovan:group mood steadies,True
88,5,v57-d005-s16,ssrm:v57:v57-d005-s16,canvas:west hearth:resident:Fay:phrase:ask_help,wood:24,Fay->Ari:guardedness rises,True
96,6,v57-d006-s06,ssrm:v57:v57-d006-s06,canvas:fiber loft:resident:Sera:phrase:offer_tool,copper:12,Sera->Milo:trust warms,True
104,6,v57-d006-s14,ssrm:v57:v57-d006-s14,canvas:river gate:resident:Nia:phrase:apologize,herb:20,Nia->Tovan:work slows but recovers,True
112,7,v57-d007-s04,ssrm:v57:v57-d007-s04,canvas:tool alcove:resident:Fay:phrase:ask_sensory,water:27,Fay->Ari:group mood steadies,True
120,7,v57-d007-s12,ssrm:v57:v57-d007-s12,canvas:glasshouse:resident:Sera:phrase:request_space,fiber:12,Sera->Milo:guardedness rises,True
128,8,v57-d008-s02,ssrm:v57:v57-d008-s02,canvas:rain court:resident:Nia:phrase:thank_resident,stone:23,Nia->Tovan:trust warms,True
136,8,v57-d008-s10,ssrm:v57:v57-d008-s10,canvas:fiber loft:resident:Fay:phrase:ask_repair,copper:31,Fay->Ari:work slows but recovers,True
144,9,v57-d009-s00,ssrm:v57:v57-d009-s00,canvas:west hearth:resident:Sera:phrase:ask_help,charcoal:15,Sera->Milo:group mood steadies,True
152,9,v57-d009-s08,ssrm:v57:v57-d009-s08,canvas:tool alcove:resident:Nia:phrase:offer_tool,water:23,Nia->Tovan:guardedness rises,True
160,9,v57-d009-s16,ssrm:v57:v57-d009-s16,canvas:glasshouse:resident:Fay:phrase:apologize,fiber:8,Fay->Ari:debt is marked paid,True
168,10,v57-d010-s06,ssrm:v57:v57-d010-s06,canvas:rain court:resident:Sera:phrase:ask_sensory,stone:19,Sera->Milo:work slows but recovers,True
176,10,v57-d010-s14,ssrm:v57:v57-d010-s14,canvas:fiber loft:resident:Nia:phrase:request_space,copper:27,Nia->Tovan:bystander learns caution,True
184,11,v57-d011-s04,ssrm:v57:v57-d011-s04,canvas:west hearth:resident:Fay:phrase:thank_resident,charcoal:11,Fay->Ari:guardedness rises,True
192,11,v57-d011-s12,ssrm:v57:v57-d011-s12,canvas:tool alcove:resident:Sera:phrase:ask_repair,water:19,Sera->Milo:debt is marked paid,True
200,12,v57-d012-s02,ssrm:v57:v57-d012-s02,canvas:river gate:resident:Nia:phrase:ask_help,wood:30,Nia->Tovan:work slows but recovers,True
208,12,v57-d012-s10,ssrm:v57:v57-d012-s10,canvas:rain court:resident:Fay:phrase:offer_tool,stone:15,Fay->Ari:bystander learns caution,True
216,13,v57-d013-s00,ssrm:v57:v57-d013-s00,canvas:glasshouse:resident:Sera:phrase:apologize,herb:22,Sera->Milo:guardedness rises,True
224,13,v57-d013-s08,ssrm:v57:v57-d013-s08,canvas:west hearth:resident:Nia:phrase:ask_sensory,charcoal:30,Nia->Tovan:debt is marked paid,True
232,13,v57-d013-s16,ssrm:v57:v57-d013-s16,canvas:tool alcove:resident:Fay:phrase:request_space,water:15,Fay->Ari:group mood steadies,True
240,14,v57-d014-s06,ssrm:v57:v57-d014-s06,canvas:river gate:resident:Sera:phrase:thank_resident,wood:26,Sera->Milo:bystander learns caution,True
248,14,v57-d014-s14,ssrm:v57:v57-d014-s14,canvas:rain court:resident:Nia:phrase:ask_repair,stone:11,Nia->Tovan:trust warms,True
256,15,v57-d015-s04,ssrm:v57:v57-d015-s04,canvas:glasshouse:resident:Fay:phrase:ask_help,herb:18,Fay->Ari:debt is marked paid,True
264,15,v57-d015-s12,ssrm:v57:v57-d015-s12,canvas:west hearth:resident:Sera:phrase:offer_tool,charcoal:26,Sera->Milo:group mood steadies,True
272,16,v57-d016-s02,ssrm:v57:v57-d016-s02,canvas:fiber loft:resident:Nia:phrase:apologize,fiber:14,Nia->Tovan:bystander learns caution,True
280,16,v57-d016-s10,ssrm:v57:v57-d016-s10,canvas:river gate:resident:Fay:phrase:ask_sensory,wood:22,Fay->Ari:trust warms,True
288,17,v57-d017-s00,ssrm:v57:v57-d017-s00,canvas:tool alcove:resident:Sera:phrase:request_space,copper:29,Sera->Milo:debt is marked paid,True
296,17,v57-d017-s08,ssrm:v57:v57-d017-s08,canvas:glasshouse:resident:Nia:phrase:thank_resident,herb:14,Nia->Tovan:group mood steadies,True
304,17,v57-d017-s16,ssrm:v57:v57-d017-s16,canvas:west hearth:resident:Fay:phrase:ask_repair,charcoal:22,Fay->Ari:guardedness rises,True
312,18,v57-d018-s06,ssrm:v57:v57-d018-s06,canvas:fiber loft:resident:Sera:phrase:ask_help,fiber:10,Sera->Milo:trust warms,True
320,18,v57-d018-s14,ssrm:v57:v57-d018-s14,canvas:river gate:resident:Nia:phrase:offer_tool,wood:18,Nia->Tovan:work slows but recovers,True
328,19,v57-d019-s04,ssrm:v57:v57-d019-s04,canvas:tool alcove:resident:Fay:phrase:apologize,copper:25,Fay->Ari:group mood steadies,True
336,19,v57-d019-s12,ssrm:v57:v57-d019-s12,canvas:glasshouse:resident:Sera:phrase:ask_sensory,herb:10,Sera->Milo:guardedness rises,True
344,20,v57-d020-s02,ssrm:v57:v57-d020-s02,canvas:rain court:resident:Nia:phrase:request_space,water:21,Nia->Tovan:trust warms,True
352,20,v57-d020-s10,ssrm:v57:v57-d020-s10,canvas:fiber loft:resident:Fay:phrase:thank_resident,fiber:29,Fay->Ari:work slows but recovers,True
360,21,v57-d021-s00,ssrm:v57:v57-d021-s00,canvas:west hearth:resident:Sera:phrase:ask_repair,stone:13,Sera->Milo:group mood steadies,True
368,21,v57-d021-s08,ssrm:v57:v57-d021-s08,canvas:tool alcove:resident:Nia:phrase:ask_help,copper:21,Nia->Tovan:guardedness rises,True
376,21,v57-d021-s16,ssrm:v57:v57-d021-s16,canvas:glasshouse:resident:Fay:phrase:offer_tool,herb:29,Fay->Ari:debt is marked paid,True
384,22,v57-d022-s06,ssrm:v57:v57-d022-s06,canvas:rain court:resident:Sera:phrase:apologize,water:17,Sera->Milo:work slows but recovers,True
392,22,v57-d022-s14,ssrm:v57:v57-d022-s14,canvas:fiber loft:resident:Nia:phrase:ask_sensory,fiber:25,Nia->Tovan:bystander learns caution,True
400,23,v57-d023-s04,ssrm:v57:v57-d023-s04,canvas:west hearth:resident:Fay:phrase:request_space,stone:9,Fay->Ari:guardedness rises,True
408,23,v57-d023-s12,ssrm:v57:v57-d023-s12,canvas:tool alcove:resident:Sera:phrase:thank_resident,copper:17,Sera->Milo:debt is marked paid,True
416,24,v57-d024-s02,ssrm:v57:v57-d024-s02,canvas:river gate:resident:Nia:phrase:ask_repair,charcoal:28,Nia->Tovan:work slows but recovers,True
424,24,v57-d024-s10,ssrm:v57:v57-d024-s10,canvas:rain court:resident:Fay:phrase:ask_help,water:13,Fay->Ari:bystander learns caution,True
432,25,v57-d025-s00,ssrm:v57:v57-d025-s00,canvas:glasshouse:resident:Sera:phrase:offer_tool,wood:20,Sera->Milo:guardedness rises,True
440,25,v57-d025-s08,ssrm:v57:v57-d025-s08,canvas:west hearth:resident:Nia:phrase:apologize,stone:28,Nia->Tovan:debt is marked paid,True
448,25,v57-d025-s16,ssrm:v57:v57-d025-s16,canvas:tool alcove:resident:Fay:phrase:ask_sensory,copper:13,Fay->Ari:group mood steadies,True
456,26,v57-d026-s06,ssrm:v57:v57-d026-s06,canvas:river gate:resident:Sera:phrase:request_space,charcoal:24,Sera->Milo:bystander learns caution,True
464,26,v57-d026-s14,ssrm:v57:v57-d026-s14,canvas:rain court:resident:Nia:phrase:thank_resident,water:32,Nia->Tovan:trust warms,True
472,27,v57-d027-s04,ssrm:v57:v57-d027-s04,canvas:glasshouse:resident:Fay:phrase:ask_repair,wood:16,Fay->Ari:debt is marked paid,True
480,27,v57-d027-s12,ssrm:v57:v57-d027-s12,canvas:west hearth:resident:Sera:phrase:ask_help,stone:24,Sera->Milo:group mood steadies,True
488,28,v57-d028-s02,ssrm:v57:v57-d028-s02,canvas:fiber loft:resident:Nia:phrase:offer_tool,herb:12,Nia->Tovan:bystander learns caution,True
496,28,v57-d028-s10,ssrm:v57:v57-d028-s10,canvas:river gate:resident:Fay:phrase:apologize,charcoal:20,Fay->Ari:trust warms,True
504,29,v57-d029-s00,ssrm:v57:v57-d029-s00,canvas:tool alcove:resident:Sera:phrase:ask_sensory,fiber:27,Sera->Milo:debt is marked paid,True
512,29,v57-d029-s08,ssrm:v57:v57-d029-s08,canvas:glasshouse:resident:Nia:phrase:request_space,wood:12,Nia->Tovan:group mood steadies,True
520,29,v57-d029-s16,ssrm:v57:v57-d029-s16,canvas:west hearth:resident:Fay:phrase:thank_resident,stone:20,Fay->Ari:guardedness rises,True
528,30,v57-d030-s06,ssrm:v57:v57-d030-s06,canvas:fiber loft:resident:Sera:phrase:ask_repair,herb:31,Sera->Milo:trust warms,True
536,30,v57-d030-s14,ssrm:v57:v57-d030-s14,canvas:river gate:resident:Nia:phrase:ask_help,charcoal:16,Nia->Tovan:work slows but recovers,True
544,31,v57-d031-s04,ssrm:v57:v57-d031-s04,canvas:tool alcove:resident:Fay:phrase:offer_tool,fiber:23,Fay->Ari:group mood steadies,True
552,31,v57-d031-s12,ssrm:v57:v57-d031-s12,canvas:glasshouse:resident:Sera:phrase:apologize,wood:8,Sera->Milo:guardedness rises,True
560,32,v57-d032-s02,ssrm:v57:v57-d032-s02,canvas:rain court:resident:Nia:phrase:ask_sensory,copper:19,Nia->Tovan:trust warms,True
568,32,v57-d032-s10,ssrm:v57:v57-d032-s10,canvas:fiber loft:resident:Fay:phrase:request_space,herb:27,Fay->Ari:work slows but recovers,True
576,33,v57-d033-s00,ssrm:v57:v57-d033-s00,canvas:west hearth:resident:Sera:phrase:thank_resident,water:11,Sera->Milo:group mood steadies,True
584,33,v57-d033-s08,ssrm:v57:v57-d033-s08,canvas:tool alcove:resident:Nia:phrase:ask_repair,fiber:19,Nia->Tovan:guardedness rises,True
592,33,v57-d033-s16,ssrm:v57:v57-d033-s16,canvas:glasshouse:resident:Fay:phrase:ask_help,wood:27,Fay->Ari:debt is marked paid,True
600,34,v57-d034-s06,ssrm:v57:v57-d034-s06,canvas:rain court:resident:Sera:phrase:offer_tool,copper:15,Sera->Milo:work slows but recovers,True
608,34,v57-d034-s14,ssrm:v57:v57-d034-s14,canvas:fiber loft:resident:Nia:phrase:apologize,herb:23,Nia->Tovan:bystander learns caution,True
616,35,v57-d035-s04,ssrm:v57:v57-d035-s04,canvas:west hearth:resident:Fay:phrase:ask_sensory,water:30,Fay->Ari:guardedness rises,True
624,35,v57-d035-s12,ssrm:v57:v57-d035-s12,canvas:tool alcove:resident:Sera:phrase:request_space,fiber:15,Sera->Milo:debt is marked paid,True
632,36,v57-d036-s02,ssrm:v57:v57-d036-s02,canvas:river gate:resident:Nia:phrase:thank_resident,stone:26,Nia->Tovan:work slows but recovers,True
640,36,v57-d036-s10,ssrm:v57:v57-d036-s10,canvas:rain court:resident:Fay:phrase:ask_repair,copper:11,Fay->Ari:bystander learns caution,True
648,37,v57-d037-s00,ssrm:v57:v57-d037-s00,canvas:glasshouse:resident:Sera:phrase:ask_help,charcoal:18,Sera->Milo:guardedness rises,True
656,37,v57-d037-s08,ssrm:v57:v57-d037-s08,canvas:west hearth:resident:Nia:phrase:offer_tool,water:26,Nia->Tovan:debt is marked paid,True
664,37,v57-d037-s16,ssrm:v57:v57-d037-s16,canvas:tool alcove:resident:Fay:phrase:apologize,fiber:11,Fay->Ari:group mood steadies,True
672,38,v57-d038-s06,ssrm:v57:v57-d038-s06,canvas:river gate:resident:Sera:phrase:ask_sensory,stone:22,Sera->Milo:bystander learns caution,True
680,38,v57-d038-s14,ssrm:v57:v57-d038-s14,canvas:rain court:resident:Nia:phrase:request_space,copper:30,Nia->Tovan:trust warms,True
688,39,v57-d039-s04,ssrm:v57:v57-d039-s04,canvas:glasshouse:resident:Fay:phrase:thank_resident,charcoal:14,Fay->Ari:debt is marked paid,True
696,39,v57-d039-s12,ssrm:v57:v57-d039-s12,canvas:west hearth:resident:Sera:phrase:ask_repair,water:22,Sera->Milo:group mood steadies,True
704,40,v57-d040-s02,ssrm:v57:v57-d040-s02,canvas:fiber loft:resident:Nia:phrase:ask_help,wood:10,Nia->Tovan:bystander learns caution,True
712,40,v57-d040-s10,ssrm:v57:v57-d040-s10,canvas:river gate:resident:Fay:phrase:offer_tool,stone:18,Fay->Ari:trust warms,True
720,41,v57-d041-s00,ssrm:v57:v57-d041-s00,canvas:tool alcove:resident:Sera:phrase:apologize,herb:25,Sera->Milo:debt is marked paid,True
728,41,v57-d041-s08,ssrm:v57:v57-d041-s08,canvas:glasshouse:resident:Nia:phrase:ask_sensory,charcoal:10,Nia->Tovan:group mood steadies,True
736,41,v57-d041-s16,ssrm:v57:v57-d041-s16,canvas:west hearth:resident:Fay:phrase:request_space,water:18,Fay->Ari:guardedness rises,True
744,42,v57-d042-s06,ssrm:v57:v57-d042-s06,canvas:fiber loft:resident:Sera:phrase:thank_resident,wood:29,Sera->Milo:trust warms,True
752,42,v57-d042-s14,ssrm:v57:v57-d042-s14,canvas:river gate:resident:Nia:phrase:ask_repair,stone:14,Nia->Tovan:work slows but recovers,True
760,43,v57-d043-s04,ssrm:v57:v57-d043-s04,canvas:tool alcove:resident:Fay:phrase:ask_help,herb:21,Fay->Ari:group mood steadies,True
768,43,v57-d043-s12,ssrm:v57:v57-d043-s12,canvas:glasshouse:resident:Sera:phrase:offer_tool,charcoal:29,Sera->Milo:guardedness rises,True
776,44,v57-d044-s02,ssrm:v57:v57-d044-s02,canvas:rain court:resident:Nia:phrase:apologize,fiber:17,Nia->Tovan:trust warms,True
784,44,v57-d044-s10,ssrm:v57:v57-d044-s10,canvas:fiber loft:resident:Fay:phrase:ask_sensory,wood:25,Fay->Ari:work slows but recovers,True
792,45,v57-d045-s00,ssrm:v57:v57-d045-s00,canvas:west hearth:resident:Sera:phrase:request_space,copper:9,Sera->Milo:group mood steadies,True
800,45,v57-d045-s08,ssrm:v57:v57-d045-s08,canvas:tool alcove:resident:Nia:phrase:thank_resident,herb:17,Nia->Tovan:guardedness rises,True
808,45,v57-d045-s16,ssrm:v57:v57-d045-s16,canvas:glasshouse:resident:Fay:phrase:ask_repair,charcoal:25,Fay->Ari:debt is marked paid,True
816,46,v57-d046-s06,ssrm:v57:v57-d046-s06,canvas:rain court:resident:Sera:phrase:ask_help,fiber:13,Sera->Milo:work slows but recovers,True
824,46,v57-d046-s14,ssrm:v57:v57-d046-s14,canvas:fiber loft:resident:Nia:phrase:offer_tool,wood:21,Nia->Tovan:bystander learns caution,True
832,47,v57-d047-s04,ssrm:v57:v57-d047-s04,canvas:west hearth:resident:Fay:phrase:apologize,copper:28,Fay->Ari:guardedness rises,True
840,47,v57-d047-s12,ssrm:v57:v57-d047-s12,canvas:tool alcove:resident:Sera:phrase:ask_sensory,herb:13,Sera->Milo:debt is marked paid,True
848,48,v57-d048-s02,ssrm:v57:v57-d048-s02,canvas:river gate:resident:Nia:phrase:request_space,water:24,Nia->Tovan:work slows but recovers,True
856,48,v57-d048-s10,ssrm:v57:v57-d048-s10,canvas:rain court:resident:Fay:phrase:thank_resident,fiber:32,Fay->Ari:bystander learns caution,True
864,49,v57-d049-s00,ssrm:v57:v57-d049-s00,canvas:glasshouse:resident:Sera:phrase:ask_repair,stone:16,Sera->Milo:guardedness rises,True
872,49,v57-d049-s08,ssrm:v57:v57-d049-s08,canvas:west hearth:resident:Nia:phrase:ask_help,copper:24,Nia->Tovan:debt is marked paid,True
880,49,v57-d049-s16,ssrm:v57:v57-d049-s16,canvas:tool alcove:resident:Fay:phrase:offer_tool,herb:9,Fay->Ari:group mood steadies,True
888,50,v57-d050-s06,ssrm:v57:v57-d050-s06,canvas:river gate:resident:Sera:phrase:apologize,water:20,Sera->Milo:bystander learns caution,True
896,50,v57-d050-s14,ssrm:v57:v57-d050-s14,canvas:rain court:resident:Nia:phrase:ask_sensory,fiber:28,Nia->Tovan:trust warms,True
904,51,v57-d051-s04,ssrm:v57:v57-d051-s04,canvas:glasshouse:resident:Fay:phrase:request_space,stone:12,Fay->Ari:debt is marked paid,True
912,51,v57-d051-s12,ssrm:v57:v57-d051-s12,canvas:west hearth:resident:Sera:phrase:thank_resident,copper:20,Sera->Milo:group mood steadies,True
920,52,v57-d052-s02,ssrm:v57:v57-d052-s02,canvas:fiber loft:resident:Nia:phrase:ask_repair,charcoal:31,Nia->Tovan:bystander learns caution,True
928,52,v57-d052-s10,ssrm:v57:v57-d052-s10,canvas:river gate:resident:Fay:phrase:ask_help,water:16,Fay->Ari:trust warms,True
936,53,v57-d053-s00,ssrm:v57:v57-d053-s00,canvas:tool alcove:resident:Sera:phrase:offer_tool,wood:23,Sera->Milo:debt is marked paid,True
944,53,v57-d053-s08,ssrm:v57:v57-d053-s08,canvas:glasshouse:resident:Nia:phrase:apologize,stone:8,Nia->Tovan:group mood steadies,True
952,53,v57-d053-s16,ssrm:v57:v57-d053-s16,canvas:west hearth:resident:Fay:phrase:ask_sensory,copper:16,Fay->Ari:guardedness rises,True
960,54,v57-d054-s06,ssrm:v57:v57-d054-s06,canvas:fiber loft:resident:Sera:phrase:request_space,charcoal:27,Sera->Milo:trust warms,True
968,54,v57-d054-s14,ssrm:v57:v57-d054-s14,canvas:river gate:resident:Nia:phrase:thank_resident,water:12,Nia->Tovan:work slows but recovers,True
976,55,v57-d055-s04,ssrm:v57:v57-d055-s04,canvas:tool alcove:resident:Fay:phrase:ask_repair,wood:19,Fay->Ari:group mood steadies,True
984,55,v57-d055-s12,ssrm:v57:v57-d055-s12,canvas:glasshouse:resident:Sera:phrase:ask_help,stone:27,Sera->Milo:guardedness rises,True
992,56,v57-d056-s02,ssrm:v57:v57-d056-s02,canvas:rain court:resident:Nia:phrase:offer_tool,herb:15,Nia->Tovan:trust warms,True
1000,56,v57-d056-s10,ssrm:v57:v57-d056-s10,canvas:fiber loft:resident:Fay:phrase:apologize,charcoal:23,Fay->Ari:work slows but recovers,True
1008,57,v57-d057-s00,ssrm:v57:v57-d057-s00,canvas:west hearth:resident:Sera:phrase:ask_sensory,fiber:30,Sera->Milo:group mood steadies,True
1016,57,v57-d057-s08,ssrm:v57:v57-d057-s08,canvas:tool alcove:resident:Nia:phrase:request_space,wood:15,Nia->Tovan:guardedness rises,True
1024,57,v57-d057-s16,ssrm:v57:v57-d057-s16,canvas:glasshouse:resident:Fay:phrase:thank_resident,stone:23,Fay->Ari:debt is marked paid,True
1032,58,v57-d058-s06,ssrm:v57:v57-d058-s06,canvas:rain court:resident:Sera:phrase:ask_repair,herb:11,Sera->Milo:work slows but recovers,True
1040,58,v57-d058-s14,ssrm:v57:v57-d058-s14,canvas:fiber loft:resident:Nia:phrase:ask_help,charcoal:19,Nia->Tovan:bystander learns caution,True
1048,59,v57-d059-s04,ssrm:v57:v57-d059-s04,canvas:west hearth:resident:Fay:phrase:offer_tool,fiber:26,Fay->Ari:guardedness rises,True
1056,59,v57-d059-s12,ssrm:v57:v57-d059-s12,canvas:tool alcove:resident:Sera:phrase:apologize,wood:11,Sera->Milo:debt is marked paid,True
1064,60,v57-d060-s02,ssrm:v57:v57-d060-s02,canvas:river gate:resident:Nia:phrase:ask_sensory,copper:22,Nia->Tovan:work slows but recovers,True
1072,60,v57-d060-s10,ssrm:v57:v57-d060-s10,canvas:rain court:resident:Fay:phrase:request_space,herb:30,Fay->Ari:bystander learns caution,True
1080,61,v57-d061-s00,ssrm:v57:v57-d061-s00,canvas:glasshouse:resident:Sera:phrase:thank_resident,water:14,Sera->Milo:guardedness rises,True
1088,61,v57-d061-s08,ssrm:v57:v57-d061-s08,canvas:west hearth:resident:Nia:phrase:ask_repair,fiber:22,Nia->Tovan:debt is marked paid,True
1096,61,v57-d061-s16,ssrm:v57:v57-d061-s16,canvas:tool alcove:resident:Fay:phrase:ask_help,wood:30,Fay->Ari:group mood steadies,True
1104,62,v57-d062-s06,ssrm:v57:v57-d062-s06,canvas:river gate:resident:Sera:phrase:offer_tool,copper:18,Sera->Milo:bystander learns caution,True
1112,62,v57-d062-s14,ssrm:v57:v57-d062-s14,canvas:rain court:resident:Nia:phrase:apologize,herb:26,Nia->Tovan:trust warms,True
1120,63,v57-d063-s04,ssrm:v57:v57-d063-s04,canvas:glasshouse:resident:Fay:phrase:ask_sensory,water:10,Fay->Ari:debt is marked paid,True
1128,63,v57-d063-s12,ssrm:v57:v57-d063-s12,canvas:west hearth:resident:Sera:phrase:request_space,fiber:18,Sera->Milo:group mood steadies,True
1136,64,v57-d064-s02,ssrm:v57:v57-d064-s02,canvas:fiber loft:resident:Nia:phrase:thank_resident,stone:29,Nia->Tovan:bystander learns caution,True
1144,64,v57-d064-s10,ssrm:v57:v57-d064-s10,canvas:river gate:resident:Fay:phrase:ask_repair,copper:14,Fay->Ari:trust warms,True
1152,65,v57-d065-s00,ssrm:v57:v57-d065-s00,canvas:tool alcove:resident:Sera:phrase:ask_help,charcoal:21,Sera->Milo:debt is marked paid,True
1160,65,v57-d065-s08,ssrm:v57:v57-d065-s08,canvas:glasshouse:resident:Nia:phrase:offer_tool,water:29,Nia->Tovan:group mood steadies,True
1168,65,v57-d065-s16,ssrm:v57:v57-d065-s16,canvas:west hearth:resident:Fay:phrase:apologize,fiber:14,Fay->Ari:guardedness rises,True
1176,66,v57-d066-s06,ssrm:v57:v57-d066-s06,canvas:fiber loft:resident:Sera:phrase:ask_sensory,stone:25,Sera->Milo:trust warms,True
1184,66,v57-d066-s14,ssrm:v57:v57-d066-s14,canvas:river gate:resident:Nia:phrase:request_space,copper:10,Nia->Tovan:work slows but recovers,True
1192,67,v57-d067-s04,ssrm:v57:v57-d067-s04,canvas:tool alcove:resident:Fay:phrase:thank_resident,charcoal:17,Fay->Ari:group mood steadies,True
1200,67,v57-d067-s12,ssrm:v57:v57-d067-s12,canvas:glasshouse:resident:Sera:phrase:ask_repair,water:25,Sera->Milo:guardedness rises,True
1208,68,v57-d068-s02,ssrm:v57:v57-d068-s02,canvas:rain court:resident:Nia:phrase:ask_help,wood:13,Nia->Tovan:trust warms,True
1216,68,v57-d068-s10,ssrm:v57:v57-d068-s10,canvas:fiber loft:resident:Fay:phrase:offer_tool,stone:21,Fay->Ari:work slows but recovers,True
1224,69,v57-d069-s00,ssrm:v57:v57-d069-s00,canvas:west hearth:resident:Sera:phrase:apologize,herb:28,Sera->Milo:group mood steadies,True
1232,69,v57-d069-s08,ssrm:v57:v57-d069-s08,canvas:tool alcove:resident:Nia:phrase:ask_sensory,charcoal:13,Nia->Tovan:guardedness rises,True
1240,69,v57-d069-s16,ssrm:v57:v57-d069-s16,canvas:glasshouse:resident:Fay:phrase:request_space,water:21,Fay->Ari:debt is marked paid,True
1248,70,v57-d070-s06,ssrm:v57:v57-d070-s06,canvas:rain court:resident:Sera:phrase:thank_resident,wood:32,Sera->Milo:work slows but recovers,True
1256,70,v57-d070-s14,ssrm:v57:v57-d070-s14,canvas:fiber loft:resident:Nia:phrase:ask_repair,stone:17,Nia->Tovan:bystander learns caution,True
1264,71,v57-d071-s04,ssrm:v57:v57-d071-s04,canvas:west hearth:resident:Fay:phrase:ask_help,herb:24,Fay->Ari:guardedness rises,True
1272,71,v57-d071-s12,ssrm:v57:v57-d071-s12,canvas:tool alcove:resident:Sera:phrase:offer_tool,charcoal:9,Sera->Milo:debt is marked paid,True
1280,72,v57-d072-s02,ssrm:v57:v57-d072-s02,canvas:river gate:resident:Nia:phrase:apologize,fiber:20,Nia->Tovan:work slows but recovers,True
