tick_id,day,settlement_id,object_id,owner_id,object_use,avatar_action,permission_state,inventory_before,inventory_after,location_after,owner_badge_visible,permission_badge_visible,rollback_action_visible,consequence_visible,ownership_respected_or_repairable
23,2,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
24,2,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
25,2,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
26,2,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
27,2,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
28,2,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
29,2,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
30,2,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
31,2,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
32,2,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
33,2,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
34,2,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
35,2,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
36,3,archive,clean cloth,shared,care,turn_left,observed,empty,empty,ink niche,True,True,True,True,True
37,3,signal,mast rope,Milo,repair,approach_group,observed,empty,empty,arrival court,True,True,True,True,True
38,3,orchard,market token,Mara,trade,request_permission,granted,empty,empty,satchel shed,True,True,True,True,True
39,3,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
40,3,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
41,3,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
42,3,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
43,3,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
44,3,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
45,3,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
46,3,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
47,3,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
48,3,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
49,3,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
50,3,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
51,3,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
52,3,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
53,3,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
54,4,signal,mast rope,Milo,repair,approach_group,observed,empty,empty,arrival court,True,True,True,True,True
55,4,orchard,market token,Mara,trade,request_permission,granted,empty,empty,satchel shed,True,True,True,True,True
56,4,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
57,4,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
58,4,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
59,4,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
60,4,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
61,4,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
62,4,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
63,4,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
64,4,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
65,4,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
66,4,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
67,4,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
68,4,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
69,4,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
70,4,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
71,4,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
72,5,orchard,market token,Mara,trade,request_permission,granted,empty,empty,satchel shed,True,True,True,True,True
73,5,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
74,5,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
75,5,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
76,5,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
77,5,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
78,5,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
79,5,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
80,5,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
81,5,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
82,5,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
83,5,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
84,5,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
85,5,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
86,5,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
87,5,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
88,5,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
89,5,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
90,6,repair_ring,bell gauge,Vale,diagnostic,pickup_shared_object,deferred,empty,empty,wire bench,True,True,True,True,True
91,6,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
92,6,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
93,6,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
94,6,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
95,6,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
96,6,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
97,6,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
98,6,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
99,6,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
100,6,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
101,6,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
102,6,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
103,6,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
104,6,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
105,6,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
106,6,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
107,6,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
108,7,riverbend,dry shawl,shared,care,approach_group,observed,empty,empty,dry ridge,True,True,True,True,True
109,7,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
110,7,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
111,7,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
112,7,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
113,7,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
114,7,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
115,7,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
116,7,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
117,7,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
118,7,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
119,7,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
120,7,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
121,7,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
122,7,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
123,7,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
124,7,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
125,7,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
126,8,roofward,sun lens,Fay,craft,request_permission,granted,empty,empty,glass stair,True,True,True,True,True
127,8,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
128,8,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
129,8,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
130,8,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
131,8,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
132,8,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
133,8,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
134,8,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
135,8,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
136,8,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
137,8,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
138,8,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
139,8,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
140,8,signal,signal lens,Kesh,craft,pickup_owned_object,not_requested,empty,signal lens,avatar inventory,True,True,True,True,True
141,8,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
142,8,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
143,8,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,empty,empty,wet crossing,True,True,True,True,True
144,9,archive,ink ribbon,Toma,craft,pickup_shared_object,deferred,empty,empty,spool room,True,True,True,True,True
145,9,signal,signal lens,Kesh,craft,return_object,returning,signal lens,empty,lantern walk,True,True,True,True,True
146,9,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
147,9,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
148,9,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
149,9,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
150,9,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
151,9,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
152,9,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
153,9,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
154,9,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
155,9,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
156,9,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
157,9,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
158,9,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
159,9,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
160,9,riverbend,ridge lantern,Lio,signal,pickup_owned_object,not_requested,empty,ridge lantern,avatar inventory,True,True,True,True,True
161,9,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
162,10,signal,signal lens,Kesh,craft,return_object,returning,empty,empty,lantern walk,True,True,True,True,True
163,10,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
164,10,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
165,10,riverbend,ridge lantern,Lio,signal,return_object,returning,ridge lantern,empty,wet crossing,True,True,True,True,True
166,10,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
167,10,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
168,10,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
169,10,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
170,10,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
171,10,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
172,10,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
173,10,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
174,10,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
175,10,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
176,10,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
177,10,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,empty,empty,wet crossing,True,True,True,True,True
178,10,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
179,10,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
180,11,orchard,apple wrap,shared,care,wait_respectfully,respectful,empty,empty,mud row,True,True,True,True,True
181,11,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
182,11,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
183,11,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
184,11,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
185,11,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
186,11,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
187,11,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
188,11,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
189,11,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
190,11,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
191,11,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
192,11,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
193,11,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
194,11,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,empty,empty,wet crossing,True,True,True,True,True
195,11,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
196,11,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
197,11,signal,mast rope,Milo,repair,offer_help,respectful,empty,empty,arrival court,True,True,True,True,True
198,12,repair_ring,insulated tongs,Juno,repair,listen_memory,respectful,empty,empty,wire bench,True,True,True,True,True
199,12,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
200,12,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
201,12,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
202,12,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
203,12,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
204,12,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
205,12,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
206,12,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
207,12,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
208,12,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,empty,empty,lantern walk,True,True,True,True,True
209,12,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
210,12,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
211,12,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,empty,empty,wet crossing,True,True,True,True,True
212,12,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
213,12,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
214,12,signal,mast rope,Milo,repair,offer_help,respectful,empty,empty,arrival court,True,True,True,True,True
215,12,orchard,market token,Mara,trade,inspect_inventory,observed,empty,empty,satchel shed,True,True,True,True,True
216,13,riverbend,ridge lantern,Lio,signal,return_object,returning,empty,empty,wet crossing,True,True,True,True,True
217,13,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
218,13,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
219,13,signal,mast rope,Milo,repair,move_forward,observed,empty,empty,arrival court,True,True,True,True,True
220,13,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
221,13,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
222,13,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
223,13,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
224,13,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
225,13,signal,signal lens,Kesh,craft,pickup_owned_object,not_requested,empty,signal lens,avatar inventory,True,True,True,True,True
226,13,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
227,13,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
228,13,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,empty,empty,wet crossing,True,True,True,True,True
229,13,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
230,13,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
231,13,signal,mast rope,Milo,repair,offer_help,respectful,signal lens,signal lens,arrival court,True,True,True,True,True
232,13,orchard,market token,Mara,trade,inspect_inventory,observed,empty,empty,satchel shed,True,True,True,True,True
233,13,repair_ring,bell gauge,Vale,diagnostic,turn_left,observed,empty,empty,wire bench,True,True,True,True,True
234,14,roofward,brass hinge,Orr,repair,wait_respectfully,respectful,empty,empty,sun sill,True,True,True,True,True
235,14,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
236,14,signal,mast rope,Milo,repair,move_forward,observed,signal lens,signal lens,arrival court,True,True,True,True,True
237,14,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
238,14,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
239,14,riverbend,dry shawl,shared,care,move_forward,observed,empty,empty,dry ridge,True,True,True,True,True
240,14,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
241,14,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
242,14,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,signal lens,signal lens,avatar inventory,True,True,True,True,True
243,14,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
244,14,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
245,14,riverbend,ridge lantern,Lio,signal,pickup_owned_object,not_requested,empty,ridge lantern,avatar inventory,True,True,True,True,True
246,14,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
247,14,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
248,14,signal,mast rope,Milo,repair,offer_help,respectful,signal lens,signal lens,arrival court,True,True,True,True,True
249,14,orchard,market token,Mara,trade,inspect_inventory,observed,empty,empty,satchel shed,True,True,True,True,True
250,14,repair_ring,bell gauge,Vale,diagnostic,turn_left,observed,empty,empty,wire bench,True,True,True,True,True
251,14,riverbend,dry shawl,shared,care,offer_help,respectful,ridge lantern,ridge lantern,dry ridge,True,True,True,True,True
252,15,archive,clean cloth,shared,care,listen_memory,respectful,empty,empty,ink niche,True,True,True,True,True
253,15,signal,mast rope,Milo,repair,move_forward,observed,signal lens,signal lens,arrival court,True,True,True,True,True
254,15,orchard,market token,Mara,trade,turn_right,observed,empty,empty,satchel shed,True,True,True,True,True
255,15,repair_ring,bell gauge,Vale,diagnostic,start_conversation,observed,empty,empty,wire bench,True,True,True,True,True
256,15,riverbend,dry shawl,shared,care,move_forward,observed,ridge lantern,ridge lantern,dry ridge,True,True,True,True,True
257,15,roofward,sun lens,Fay,craft,turn_right,observed,empty,empty,glass stair,True,True,True,True,True
258,15,archive,ink ribbon,Toma,craft,start_conversation,observed,empty,empty,spool room,True,True,True,True,True
259,15,signal,signal lens,Kesh,craft,pickup_owned_object,deferred,signal lens,signal lens,avatar inventory,True,True,True,True,True
260,15,orchard,apple wrap,shared,care,drop_object,returning,empty,empty,mud row,True,True,True,True,True
261,15,repair_ring,insulated tongs,Juno,repair,apologize,repairing,empty,empty,wire bench,True,True,True,True,True
262,15,riverbend,ridge lantern,Lio,signal,pickup_owned_object,deferred,ridge lantern,ridge lantern,avatar inventory,True,True,True,True,True
263,15,roofward,brass hinge,Orr,repair,drop_object,returning,empty,empty,sun sill,True,True,True,True,True
264,15,archive,clean cloth,shared,care,apologize,repairing,empty,empty,ink niche,True,True,True,True,True
265,15,signal,mast rope,Milo,repair,offer_help,respectful,signal lens,signal lens,arrival court,True,True,True,True,True
266,15,orchard,market token,Mara,trade,inspect_inventory,observed,empty,empty,satchel shed,True,True,True,True,True
