tick,day,loop_id,sound_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_dialogue,flower_phase
34,3,v18-loop-006,2.01,0.27,17.04,0.18,0.1997,0.0516,1,66.959876
35,3,v18-loop-006,2.125,0.35,17.04,0.18,0.1997,0.0516,1,208.03264
36,4,v18-loop-007,1.62,0.22,17.12,0.18,0.0155,0.134,1,321.228004
37,4,v18-loop-007,1.655,0.27,17.12,0.18,0.192,0.056,1,108.116268
38,4,v18-loop-007,1.77,0.27,19.32,0.18,0.1934,0.0552,1,249.254832
39,4,v18-loop-007,1.805,0.27,17.12,0.18,0.1913,0.0564,1,27.748896
40,4,v18-loop-007,1.72,0.35,17.12,0.18,0.1955,0.054,1,162.81906
41,4,v18-loop-007,1.795,0.35,15.72,0.38,0.1927,0.0556,1,302.520224
42,4,v18-loop-008,1.91,0.27,17.12,0.18,0.1997,0.1316,1,83.921988
43,4,v18-loop-008,1.945,0.27,17.12,0.18,0.1927,0.0556,1,222.185752
44,4,v18-loop-008,1.9,0.27,19.32,0.18,0.1997,0.0516,1,358.627516
45,4,v18-loop-008,1.935,0.27,17.12,0.18,0.1927,0.0556,1,136.89128
46,4,v18-loop-008,2.01,0.35,17.12,0.18,0.1955,0.054,1,276.855644
47,4,v18-loop-008,2.085,0.35,15.72,0.38,0.1955,0.054,1,56.688408
48,5,v18-loop-009,1.62,0.22,17.2,0.24,0.0155,0.054,1,171.321172
49,5,v18-loop-009,1.695,0.27,19.4,0.24,0.1955,0.054,1,319.613936
50,5,v18-loop-009,1.73,0.27,17.2,0.24,0.1955,0.054,1,98.2067
51,5,v18-loop-009,1.845,0.35,17.2,0.24,0.1955,0.054,1,239.279464
52,5,v18-loop-009,1.72,0.35,15.8,0.44,0.1955,0.054,1,12.912228
53,5,v18-loop-009,1.795,0.27,17.2,0.24,0.1927,0.1356,1,152.613392
54,5,v18-loop-010,1.83,0.27,17.2,0.24,0.1892,0.0576,1,291.041656
55,5,v18-loop-010,1.945,0.27,19.4,0.24,0.1997,0.0516,1,72.60792
56,5,v18-loop-010,1.9,0.27,17.2,0.24,0.1997,0.0516,1,208.720684
57,5,v18-loop-010,1.935,0.35,17.2,0.24,0.1976,0.0528,1,347.214748
58,5,v18-loop-010,1.99,0.35,15.8,0.44,0.1955,0.054,1,126.328812
59,5,v18-loop-010,2.085,0.22,17.2,0.24,0.1355,0.134,1,263.961576
60,6,v18-loop-011,1.58,0.22,19.48,0.18,0.0113,0.0564,1,19.97694
61,6,v18-loop-011,1.655,0.27,17.28,0.18,0.1913,0.0564,1,168.269704
62,6,v18-loop-011,1.73,0.3,17.28,0.18,0.0155,0.124,1,299.839868
63,6,v18-loop-011,1.845,0.35,15.88,0.38,0.1955,0.054,1,89.372632
64,6,v18-loop-011,1.72,0.27,17.28,0.18,0.1955,0.134,0,223.005396
65,6,v18-loop-011,1.795,0.27,17.28,0.18,0.1927,0.0556,1,2.70656
66,6,v18-loop-012,1.87,0.27,19.48,0.18,0.1955,0.054,1,142.670924
67,6,v18-loop-012,1.985,0.27,17.28,0.18,0.1969,0.0532,1,283.809488
68,6,v18-loop-012,1.9,0.35,17.28,0.18,0.1997,0.0516,1,58.813852
69,6,v18-loop-012,1.935,0.35,15.88,0.38,0.1997,0.0516,1,197.406616
70,6,v18-loop-012,2.05,0.27,17.28,0.18,0.1997,0.1316,1,338.47938
71,6,v18-loop-012,2.045,0.27,17.28,0.18,0.192,0.056,1,115.470244
72,7,v18-loop-013,1.58,0.22,17.36,0.18,0.0113,0.0564,1,230.070108
73,7,v18-loop-013,1.695,0.35,17.36,0.18,0.1955,0.054,1,19.800272
74,7,v18-loop-013,1.73,0.35,15.96,0.38,0.1913,0.0564,1,158.195636
75,7,v18-loop-013,1.805,0.27,17.36,0.18,0.1913,0.1364,1,298.0284
76,7,v18-loop-013,1.76,0.27,17.36,0.18,0.1976,0.0528,1,74.437264
77,7,v18-loop-013,1.835,0.27,19.56,0.18,0.1997,0.0516,1,214.368728
78,7,v18-loop-014,1.91,0.27,17.36,0.18,0.1997,0.0516,1,354.201492
79,7,v18-loop-014,1.945,0.35,17.36,0.18,0.1955,0.054,1,132.596856
80,7,v18-loop-014,1.86,0.35,15.96,0.38,0.1927,0.0556,1,267.33802
81,7,v18-loop-014,1.935,0.27,17.36,0.18,0.1955,0.134,1,47.302384
82,7,v18-loop-014,2.01,0.27,17.36,0.18,0.1927,0.0556,1,187.003548
83,7,v18-loop-014,2.085,0.27,19.56,0.18,0.1927,0.0556,1,326.836312
84,8,v18-loop-015,1.62,0.3,17.44,0.18,0.0155,0.054,1,81.600676
85,8,v18-loop-015,1.695,0.35,16.04,0.38,0.1955,0.054,1,229.89344
86,8,v18-loop-015,1.73,0.27,17.44,0.18,0.1885,0.138,1,8.157204
87,8,v18-loop-015,1.785,0.27,17.44,0.18,0.1913,0.0564,1,147.501568
88,8,v18-loop-015,1.68,0.22,19.64,0.18,0.012,0.056,1,273.327232
89,8,v18-loop-015,1.795,0.27,17.44,0.18,0.1927,0.0556,1,62.892896
90,8,v18-loop-016,1.91,0.35,17.44,0.18,0.1997,0.0516,1,204.29466
91,8,v18-loop-016,1.985,0.35,16.04,0.38,0.1969,0.0532,1,343.995824
92,8,v18-loop-016,1.9,0.27,17.44,0.18,0.1997,0.1316,1,119.000188
93,8,v18-loop-016,1.975,0.22,17.44,0.18,0.0169,0.1232,1,250.241352
94,8,v18-loop-016,2.01,0.27,19.64,0.18,0.1955,0.054,1,37.228316
95,8,v18-loop-016,2.125,0.27,17.44,0.18,0.1976,0.0528,0,178.39978
96,9,v18-loop-017,1.58,0.3,16.12,0.38,0.0113,0.0564,1,290.256444
97,9,v18-loop-017,1.695,0.27,17.52,0.18,0.1955,0.134,1,79.986608
98,9,v18-loop-017,1.77,0.27,17.52,0.18,0.1955,0.054,1,219.819372
99,9,v18-loop-017,1.805,0.27,19.72,0.18,0.1955,0.054,1,358.412136
100,9,v18-loop-017,1.72,0.27,17.52,0.18,0.1955,0.054,1,133.2849
101,9,v18-loop-017,1.795,0.35,17.52,0.18,0.1927,0.0556,1,272.986064
102,9,v18-loop-018,1.91,0.35,16.12,0.38,0.1997,0.0516,1,54.387828
103,9,v18-loop-018,1.945,0.27,17.52,0.18,0.1955,0.134,1,192.783192
104,9,v18-loop-018,1.86,0.27,17.52,0.18,0.1955,0.054,1,327.655956
105,9,v18-loop-018,1.935,0.27,19.72,0.18,0.1962,0.0536,1,107.52162
106,9,v18-loop-018,2.01,0.27,17.52,0.18,0.1927,0.0556,1,247.189884
107,9,v18-loop-018,2.125,0.35,17.52,0.18,0.1997,0.0516,1,28.591648
108,10,v18-loop-019,1.58,0.22,17.6,0.24,0.0113,0.1364,1,140.349612
109,10,v18-loop-019,1.655,0.27,17.6,0.24,0.1913,0.0564,1,288.642376
110,10,v18-loop-019,1.73,0.27,19.8,0.24,0.1955,0.054,1,68.67254
111,10,v18-loop-019,1.845,0.27,17.6,0.24,0.1955,0.054,1,209.745304
112,10,v18-loop-019,1.76,0.35,17.6,0.24,0.1969,0.0532,1,344.683868
113,10,v18-loop-019,1.835,0.35,16.2,0.44,0.1997,0.0516,1,124.648232
114,10,v18-loop-020,1.87,0.27,17.6,0.24,0.1976,0.1328,1,263.142296
115,10,v18-loop-020,1.945,0.27,17.6,0.24,0.1927,0.0556,1,42.74476
116,10,v18-loop-020,1.84,0.27,19.8,0.24,0.1927,0.0556,1,176.997524
117,10,v18-loop-020,1.935,0.22,17.6,0.24,0.1327,0.0556,1,314.630288
118,10,v18-loop-020,2.05,0.35,17.6,0.24,0.1997,0.0516,1,98.852052
119,10,v18-loop-020,2.125,0.35,16.2,0.44,0.1969,0.0532,1,238.553216
120,11,v18-loop-021,1.58,0.22,17.68,0.18,0.0113,0.0564,1,350.44278
121,11,v18-loop-021,1.655,0.27,19.88,0.18,0.1913,0.0564,1,138.735544
122,11,v18-loop-021,1.69,0.27,17.68,0.18,0.1878,0.0584,1,277.163808
123,11,v18-loop-021,1.805,0.35,17.68,0.18,0.1913,0.0564,1,58.401072
124,11,v18-loop-021,1.76,0.3,16.28,0.38,0.0197,0.1216,1,186.448636
125,11,v18-loop-021,1.795,0.27,17.68,0.18,0.1955,0.134,1,333.304
126,11,v18-loop-022,1.91,0.27,17.68,0.18,0.1997,0.0516,0,114.574164
127,11,v18-loop-022,1.945,0.27,19.88,0.18,0.1927,0.0556,1,252.837928
128,11,v18-loop-022,1.86,0.27,17.68,0.18,0.1997,0.0516,1,28.039692
129,11,v18-loop-022,1.935,0.35,17.68,0.18,0.1927,0.0556,1,167.543456
130,11,v18-loop-022,2.05,0.35,16.28,0.38,0.1997,0.0516,1,308.94522
131,11,v18-loop-022,2.125,0.27,17.68,0.18,0.1997,0.1316,1,88.777984
132,12,v18-loop-023,1.58,0.22,19.96,0.18,0.0085,0.058,1,200.404348
133,12,v18-loop-023,1.695,0.27,17.76,0.18,0.1934,0.0552,1,350.167412
134,12,v18-loop-023,1.73,0.35,17.76,0.18,0.1913,0.0564,1,128.661476
135,12,v18-loop-023,1.805,0.35,16.36,0.38,0.1885,0.058,1,268.36264
136,12,v18-loop-023,1.72,0.27,17.76,0.18,0.1955,0.134,1,43.564404
137,12,v18-loop-023,1.795,0.27,17.76,0.18,0.1955,0.054,1,183.397168
138,12,v18-loop-024,1.91,0.27,19.96,0.18,0.1997,0.0516,1,324.667332
139,12,v18-loop-024,1.905,0.27,17.76,0.18,0.192,0.056,1,101.658196
140,12,v18-loop-024,1.9,0.35,17.76,0.18,0.2039,0.0492,1,239.57026
141,12,v18-loop-024,1.935,0.35,16.36,0.38,0.1955,0.054,1,17.768224
142,12,v18-loop-024,2.01,0.27,17.76,0.18,0.1955,0.134,1,157.600988
143,12,v18-loop-024,2.125,0.27,17.76,0.18,0.1997,0.0516,1,298.871152
144,13,v18-loop-025,1.58,0.22,17.84,0.18,0.0113,0.0564,1,50.629116
145,13,v18-loop-025,1.675,0.35,17.84,0.18,0.1927,0.0556,1,199.60768
146,13,v18-loop-025,1.77,0.3,16.44,0.38,0.1355,0.054,1,337.372044
147,13,v18-loop-025,1.845,0.27,17.84,0.18,0.1997,0.1316,1,120.222208
148,13,v18-loop-025,1.76,0.27,17.84,0.18,0.1997,0.0516,1,255.094972
149,13,v18-loop-025,1.795,0.27,20.04,0.18,0.1997,0.0516,1,33.687736
150,13,v18-loop-026,1.87,0.27,17.84,0.18,0.1955,0.054,1,173.3231
151,13,v18-loop-026,1.985,0.35,17.84,0.18,0.1997,0.0516,1,314.593264
152,13,v18-loop-026,1.86,0.35,16.44,0.38,0.1906,0.0568,1,87.798328
153,13,v18-loop-026,1.935,0.27,17.84,0.18,0.1955,0.134,1,227.861392
154,13,v18-loop-026,2.05,0.27,17.84,0.18,0.1997,0.0516,1,9.131556
155,13,v18-loop-026,2.085,0.22,20.04,0.18,0.0155,0.124,1,139.06692
156,14,v18-loop-027,1.54,0.3,17.92,0.18,0.005,0.06,1,259.186184
157,14,v18-loop-027,1.655,0.35,16.52,0.38,0.1913,0.0564,0,49.015048
158,14,v18-loop-027,1.73,0.27,17.92,0.18,0.1885,0.138,1,188.716212
159,14,v18-loop-027,1.845,0.27,17.92,0.18,0.1955,0.054,1,330.117976
160,14,v18-loop-027,1.72,0.27,20.12,0.18,0.1955,0.054,1,103.75074
161,14,v18-loop-027,1.835,0.27,17.92,0.18,0.1997,0.0516,1,245.020904
162,14,v18-loop-028,1.91,0.35,17.92,0.18,0.1997,0.0516,1,24.853668
163,14,v18-loop-028,1.985,0.35,16.52,0.38,0.1997,0.0516,1,164.686432
164,14,v18-loop-028,1.86,0.27,17.92,0.18,0.1955,0.134,1,298.121796
165,14,v18-loop-028,1.935,0.27,17.92,0.18,0.1997,0.0516,1,78.15196
166,14,v18-loop-028,2.01,0.27,20.12,0.18,0.1955,0.054,1,217.787324
167,14,v18-loop-028,2.085,0.27,17.92,0.18,0.1955,0.054,1,357.620088
168,15,v18-loop-029,1.62,0.3,16.6,0.44,0.0155,0.054,1,112.252852
169,15,v18-loop-029,1.655,0.27,18.0,0.24,0.1955,0.134,1,259.305616
170,15,v18-loop-029,1.73,0.27,18.0,0.24,0.1913,0.0564,1,38.94098
171,15,v18-loop-029,1.805,0.27,20.2,0.24,0.1906,0.0568,1,178.740844
172,15,v18-loop-029,1.76,0.27,18.0,0.24,0.1997,0.0516,1,315.281308
173,15,v18-loop-029,1.755,0.35,18.0,0.24,0.192,0.056,1,92.272172
174,15,v18-loop-030,1.85,0.35,16.6,0.44,0.1955,0.054,1,232.889436
175,15,v18-loop-030,1.985,0.22,18.0,0.24,0.1369,0.1332,1,11.828
176,15,v18-loop-030,1.86,0.27,18.0,0.24,0.1997,0.0516,1,148.412364
177,15,v18-loop-030,1.975,0.27,20.2,0.24,0.1997,0.0516,1,289.485128
178,15,v18-loop-030,2.01,0.27,18.0,0.24,0.1955,0.054,1,67.880492
179,15,v18-loop-030,2.085,0.35,18.0,0.24,0.1955,0.054,1,207.713256
180,16,v18-loop-031,1.62,0.22,18.08,0.18,0.0155,0.134,1,322.34602
181,16,v18-loop-031,1.655,0.27,18.08,0.18,0.1913,0.0564,1,109.201384
182,16,v18-loop-031,1.77,0.27,20.28,0.18,0.1955,0.054,1,250.471548
183,16,v18-loop-031,1.805,0.27,18.08,0.18,0.1885,0.058,1,28.735312
184,16,v18-loop-031,1.72,0.35,18.08,0.18,0.1927,0.0556,1,163.805476
185,16,v18-loop-031,1.835,0.35,16.68,0.38,0.1997,0.0516,1,305.20724
186,16,v18-loop-032,1.87,0.22,18.08,0.18,0.0155,0.204,1,75.142604
187,16,v18-loop-032,1.985,0.27,18.08,0.18,0.1997,0.0516,1,224.872768
188,16,v18-loop-032,1.9,0.27,20.28,0.18,0.1997,0.0516,0,359.745532
189,16,v18-loop-032,1.975,0.27,18.08,0.18,0.1997,0.0516,1,139.578296
190,16,v18-loop-032,1.97,0.35,18.08,0.18,0.1941,0.0548,1,276.66786
191,16,v18-loop-032,2.085,0.35,16.68,0.38,0.1955,0.054,1,57.806424
192,17,v18-loop-033,1.58,0.22,18.16,0.18,0.0113,0.0564,1,171.001788
193,17,v18-loop-033,1.655,0.27,20.36,0.18,0.1913,0.0564,1,319.294552
194,17,v18-loop-033,1.73,0.27,18.16,0.18,0.1885,0.058,1,98.995716
195,17,v18-loop-033,1.805,0.35,18.16,0.18,0.1913,0.0564,1,238.96008
196,17,v18-loop-033,1.76,0.35,16.76,0.38,0.1997,0.0516,1,15.467644
197,17,v18-loop-033,1.835,0.27,18.16,0.18,0.1969,0.1332,1,155.168808
198,17,v18-loop-034,1.91,0.27,18.16,0.18,0.1997,0.0516,1,295.133172
199,17,v18-loop-034,1.985,0.27,20.36,0.18,0.1997,0.0516,1,74.965936
200,17,v18-loop-034,1.86,0.27,18.16,0.18,0.1955,0.054,1,208.4013
201,17,v18-loop-034,1.975,0.35,18.16,0.18,0.1997,0.0516,1,349.671464
202,17,v18-loop-034,2.01,0.35,16.76,0.38,0.1955,0.054,1,128.066828
203,17,v18-loop-034,2.105,0.27,18.16,0.18,0.2039,0.1292,1,268.914392
204,18,v18-loop-035,1.58,0.22,20.44,0.18,0.0113,0.0564,1,21.094956
205,18,v18-loop-035,1.655,0.27,18.24,0.18,0.1955,0.054,1,169.58512
206,18,v18-loop-035,1.77,0.35,18.24,0.18,0.1955,0.054,1,310.657884
207,18,v18-loop-035,1.765,0.35,16.84,0.38,0.192,0.056,1,87.846148
208,18,v18-loop-035,1.72,0.27,18.24,0.18,0.1955,0.134,1,224.123412
209,18,v18-loop-035,1.795,0.27,18.24,0.18,0.1934,0.0552,1,3.857476
210,18,v18-loop-036,1.91,0.27,20.44,0.18,0.1969,0.0532,1,145.09474
211,18,v18-loop-036,1.985,0.27,18.24,0.18,0.1997,0.0516,1,285.059104
212,18,v18-loop-036,1.9,0.35,18.24,0.18,0.1997,0.0516,1,59.931868
213,18,v18-loop-036,1.935,0.35,16.84,0.38,0.1955,0.054,1,198.327232
214,18,v18-loop-036,2.01,0.27,18.24,0.18,0.1927,0.1356,1,338.028396
215,18,v18-loop-036,2.085,0.27,18.24,0.18,0.1955,0.054,1,117.99276
216,19,v18-loop-037,1.62,0.22,18.32,0.18,0.0155,0.054,1,232.625524
217,19,v18-loop-037,1.695,0.3,18.32,0.18,0.0155,0.124,1,12.458288
218,19,v18-loop-037,1.73,0.35,16.92,0.38,0.1913,0.0564,1,159.313652
219,19,v18-loop-037,1.805,0.27,18.32,0.18,0.1913,0.1364,0,299.146416
220,19,v18-loop-037,1.72,0.27,18.32,0.18,0.1955,0.054,1,74.21658
221,19,v18-loop-037,1.795,0.27,20.52,0.18,0.1927,0.0556,1,213.917744
222,19,v18-loop-038,1.87,0.27,18.32,0.18,0.1955,0.054,1,353.882108
223,19,v18-loop-038,1.985,0.35,18.32,0.18,0.1969,0.0532,1,135.020672
224,19,v18-loop-038,1.82,0.3,16.92,0.38,0.0092,0.0576,1,258.591536
225,19,v18-loop-038,1.935,0.27,18.32,0.18,0.1997,0.1316,1,48.6178
226,19,v18-loop-038,2.01,0.27,18.32,0.18,0.1955,0.054,1,188.253164
227,19,v18-loop-038,2.085,0.27,20.52,0.18,0.1955,0.054,1,328.085928
228,20,v18-loop-039,1.62,0.3,18.4,0.24,0.0134,0.0552,1,82.619992
229,20,v18-loop-039,1.695,0.35,17.0,0.44,0.1955,0.054,1,231.011456
230,20,v18-loop-039,1.73,0.27,18.4,0.24,0.1913,0.1364,1,9.40682
231,20,v18-loop-039,1.845,0.27,18.4,0.24,0.1955,0.054,1,150.676984
232,20,v18-loop-039,1.7,0.27,20.6,0.24,0.1997,0.0516,1,283.887148
233,20,v18-loop-039,1.795,0.22,18.4,0.24,0.1355,0.054,1,61.322512
234,20,v18-loop-040,1.91,0.35,18.4,0.24,0.1997,0.0516,1,205.412676
235,20,v18-loop-040,1.945,0.35,17.0,0.44,0.1955,0.054,1,343.80804
236,20,v18-loop-040,1.86,0.27,18.4,0.24,0.1927,0.1356,1,118.549204
237,20,v18-loop-040,1.935,0.27,18.4,0.24,0.1927,0.0556,1,258.381968
238,20,v18-loop-040,2.05,0.27,20.6,0.24,0.1997,0.0516,1,39.783732
239,20,v18-loop-040,2.125,0.27,18.4,0.24,0.1997,0.0516,1,179.616496
240,21,v18-loop-041,1.58,0.3,17.08,0.38,0.0155,0.054,1,291.57186
241,21,v18-loop-041,1.615,0.22,18.48,0.18,0.0078,0.1384,1,69.802724
242,21,v18-loop-041,1.73,0.27,18.48,0.18,0.1913,0.0564,1,219.499988
243,21,v18-loop-041,1.805,0.27,20.68,0.18,0.1913,0.0564,1,359.332752
244,21,v18-loop-041,1.72,0.27,18.48,0.18,0.1955,0.054,1,134.402916
245,21,v18-loop-041,1.835,0.35,18.48,0.18,0.1997,0.0516,1,275.67308
246,21,v18-loop-042,1.87,0.35,17.08,0.38,0.1997,0.0516,1,54.265844
247,21,v18-loop-042,1.945,0.27,18.48,0.18,0.1976,0.1328,1,193.999908
248,21,v18-loop-042,1.86,0.22,18.48,0.18,0.0155,0.124,1,320.313972
249,21,v18-loop-042,1.975,0.27,20.68,0.18,0.1969,0.0532,1,109.912536
250,21,v18-loop-042,2.05,0.27,18.48,0.18,0.1997,0.0516,0,249.8769
251,21,v18-loop-042,2.085,0.35,18.48,0.18,0.1927,0.0556,1,28.140664
252,22,v18-loop-043,1.62,0.22,18.56,0.18,0.0155,0.134,1,142.905028
253,22,v18-loop-043,1.695,0.27,18.56,0.18,0.1955,0.054,1,291.197792
254,22,v18-loop-043,1.73,0.27,20.76,0.18,0.1913,0.0564,1,69.593156
255,22,v18-loop-043,1.805,0.27,18.56,0.18,0.1913,0.0564,1,209.42592
256,22,v18-loop-043,1.76,0.35,18.56,0.18,0.1997,0.0516,1,345.933484
257,22,v18-loop-043,1.835,0.35,17.16,0.38,0.1997,0.0516,1,125.766248
258,22,v18-loop-044,1.83,0.27,18.56,0.18,0.192,0.136,1,262.757112
259,22,v18-loop-044,1.985,0.27,18.56,0.18,0.1969,0.0532,1,45.300176
260,22,v18-loop-044,1.86,0.27,20.76,0.18,0.1955,0.054,1,178.86714
261,22,v18-loop-044,1.915,0.27,18.56,0.18,0.1955,0.054,1,318.079904
262,22,v18-loop-044,2.01,0.3,18.56,0.18,0.1327,0.0556,1,95.581068
263,22,v18-loop-044,2.125,0.35,17.16,0.38,0.1997,0.0516,1,239.802832
264,23,v18-loop-045,1.58,0.22,18.64,0.18,0.0155,0.054,1,351.758196
265,23,v18-loop-045,1.655,0.27,20.84,0.18,0.1885,0.058,1,139.72196
266,23,v18-loop-045,1.77,0.27,18.64,0.18,0.1934,0.0552,1,281.025024
267,23,v18-loop-045,1.845,0.35,18.64,0.18,0.1955,0.054,1,60.956488
268,23,v18-loop-045,1.72,0.35,17.24,0.38,0.1955,0.054,1,194.589252
269,23,v18-loop-045,1.835,0.27,18.64,0.18,0.1997,0.1316,1,335.859416
270,23,v18-loop-046,1.87,0.27,18.64,0.18,0.1955,0.054,1,114.25478
271,23,v18-loop-046,1.945,0.27,20.84,0.18,0.1927,0.0556,1,253.955944
272,23,v18-loop-046,1.86,0.27,18.64,0.18,0.1927,0.0556,1,28.828708
273,23,v18-loop-046,1.975,0.35,18.64,0.18,0.1969,0.0532,1,170.098872
274,23,v18-loop-046,2.05,0.35,17.24,0.38,0.1997,0.0516,1,310.063236
275,23,v18-loop-046,2.045,0.27,18.64,0.18,0.1892,0.1376,1,86.9225
276,24,v18-loop-047,1.58,0.22,20.92,0.18,0.0113,0.0564,1,201.653964
277,24,v18-loop-047,1.695,0.27,18.72,0.18,0.1955,0.054,1,351.384128
278,24,v18-loop-047,1.73,0.35,18.72,0.18,0.1913,0.0564,1,129.779492
279,24,v18-loop-047,1.845,0.3,17.32,0.38,0.0155,0.124,1,262.589656
280,24,v18-loop-047,1.76,0.27,18.72,0.18,0.1997,0.1316,1,46.11982
281,24,v18-loop-047,1.835,0.27,18.72,0.18,0.1997,0.0516,0,185.952584
282,24,v18-loop-048,1.87,0.27,20.92,0.18,0.1955,0.054,1,324.347948
283,24,v18-loop-048,1.945,0.27,18.72,0.18,0.1955,0.054,1,104.180712
284,24,v18-loop-048,1.86,0.35,18.72,0.18,0.1927,0.0556,1,238.921876
285,24,v18-loop-048,1.935,0.35,17.32,0.38,0.1906,0.0568,1,18.65594
286,24,v18-loop-048,2.01,0.27,18.72,0.18,0.1955,0.134,1,158.719004
287,24,v18-loop-048,2.125,0.27,18.72,0.18,0.1997,0.0516,1,299.989168
