tick_id,day,settlement_id,reload_probe,saved_room,saved_avatar_position,saved_object_count,saved_body_state,saved_dialect_memory_count,restore_integrity,replay_exportable
60,6,riverbend,True,plank hall,"0.040,0.549",2,"{""arousal"": 0.276606, ""comfort"": 0.588, ""energy"": 0.616, ""pain"": 0.05, ""temperature"": 0.505, ""wetness"": 0.237}",4,True,True
71,6,repair_ring,True,bell alcove,"0.960,0.500",2,"{""arousal"": 0.26048, ""comfort"": 0.649, ""energy"": 0.651, ""pain"": 0.0, ""temperature"": 0.477, ""wetness"": 0.145}",1,True,True
72,7,roofward,True,ledger loft,"0.445,0.500",2,"{""arousal"": 0.28048, ""comfort"": 0.707, ""energy"": 0.645, ""pain"": 0.028, ""temperature"": 0.866, ""wetness"": 0.229}",2,True,True
74,7,signal,True,lantern walk,"0.095,0.451",2,"{""arousal"": 0.295936, ""comfort"": 0.658, ""energy"": 0.686, ""pain"": 0.014, ""temperature"": 0.658, ""wetness"": 0.48}",1,True,True
83,7,riverbend,True,plank hall,"0.150,0.402",2,"{""arousal"": 0.264768, ""comfort"": 0.638, ""energy"": 0.68, ""pain"": 0.01, ""temperature"": 0.517, ""wetness"": 0.357}",4,True,True
84,8,roofward,True,arrival court,"0.335,0.549",2,"{""arousal"": 0.268512, ""comfort"": 0.722, ""energy"": 0.633, ""pain"": 0.02, ""temperature"": 0.874, ""wetness"": 0.234}",3,True,True
95,8,riverbend,True,plank hall,"0.260,0.402",2,"{""arousal"": 0.257436, ""comfort"": 0.653, ""energy"": 0.668, ""pain"": 0.002, ""temperature"": 0.551, ""wetness"": 0.437}",5,True,True
96,9,roofward,True,glass stair,"0.225,0.549",2,"{""arousal"": 0.260224, ""comfort"": 0.682, ""energy"": 0.621, ""pain"": 0.046, ""temperature"": 0.853, ""wetness"": 0.27}",3,True,True
107,9,riverbend,True,plank hall,"0.370,0.500",2,"{""arousal"": 0.251104, ""comfort"": 0.668, ""energy"": 0.656, ""pain"": 0.0, ""temperature"": 0.559, ""wetness"": 0.517}",4,True,True
108,10,roofward,True,ledger loft,"0.115,0.500",2,"{""arousal"": 0.25132, ""comfort"": 0.694, ""energy"": 0.59, ""pain"": 0.038, ""temperature"": 0.887, ""wetness"": 0.262}",4,True,True
111,10,orchard,True,satchel shed,"0.115,0.500",2,"{""arousal"": 0.251016, ""comfort"": 0.668, ""energy"": 0.571, ""pain"": 0.026, ""temperature"": 0.777, ""wetness"": 0.306}",4,True,True
119,10,riverbend,True,dry ridge,"0.480,0.402",2,"{""arousal"": 0.245076, ""comfort"": 0.68, ""energy"": 0.644, ""pain"": 0.0, ""temperature"": 0.567, ""wetness"": 0.509}",6,True,True
120,11,roofward,True,arrival court,"0.040,0.549",2,"{""arousal"": 0.242664, ""comfort"": 0.709, ""energy"": 0.6, ""pain"": 0.016, ""temperature"": 0.895, ""wetness"": 0.342}",4,True,True
131,11,riverbend,True,arrival court,"0.590,0.402",2,"{""arousal"": 0.239536, ""comfort"": 0.64, ""energy"": 0.613, ""pain"": 0.0, ""temperature"": 0.517, ""wetness"": 0.501}",5,True,True
132,12,roofward,True,arrival court,"0.040,0.549",2,"{""arousal"": 0.234348, ""comfort"": 0.724, ""energy"": 0.588, ""pain"": 0.008, ""temperature"": 0.929, ""wetness"": 0.422}",5,True,True
143,12,riverbend,True,arrival court,"0.700,0.500",2,"{""arousal"": 0.234172, ""comfort"": 0.626, ""energy"": 0.582, ""pain"": 0.0, ""temperature"": 0.496, ""wetness"": 0.493}",7,True,True
144,13,roofward,True,arrival court,"0.040,0.500",2,"{""arousal"": 0.226792, ""comfort"": 0.739, ""energy"": 0.576, ""pain"": 0.0, ""temperature"": 0.937, ""wetness"": 0.502}",5,True,True
148,13,repair_ring,True,arrival court,"0.960,0.549",2,"{""arousal"": 0.175334, ""comfort"": 0.71, ""energy"": 0.576, ""pain"": 0.026, ""temperature"": 0.494, ""wetness"": 0.106}",6,True,True
155,13,riverbend,True,plank hall,"0.810,0.402",2,"{""arousal"": 0.230268, ""comfort"": 0.641, ""energy"": 0.611, ""pain"": 0.0, ""temperature"": 0.504, ""wetness"": 0.573}",5,True,True
156,14,archive,True,arrival court,"0.905,0.647",2,"{""arousal"": 0.124714, ""comfort"": 0.722, ""energy"": 0.526, ""pain"": 0.036, ""temperature"": 0.525, ""wetness"": 0.054}",7,True,True
167,14,roofward,True,glass stair,"0.150,0.500",2,"{""arousal"": 0.216798, ""comfort"": 0.734, ""energy"": 0.558, ""pain"": 0.0, ""temperature"": 0.891, ""wetness"": 0.503}",5,True,True
168,15,archive,True,stone stacks,"0.795,0.647",2,"{""arousal"": 0.111746, ""comfort"": 0.682, ""energy"": 0.495, ""pain"": 0.028, ""temperature"": 0.504, ""wetness"": 0.09}",7,True,True
179,15,roofward,True,warm lane,"0.260,0.598",2,"{""arousal"": 0.208906, ""comfort"": 0.746, ""energy"": 0.546, ""pain"": 0.0, ""temperature"": 0.951, ""wetness"": 0.495}",6,True,True
180,16,archive,True,ink niche,"0.685,0.598",2,"{""arousal"": 0.098162, ""comfort"": 0.694, ""energy"": 0.483, ""pain"": 0.02, ""temperature"": 0.538, ""wetness"": 0.082}",8,True,True
185,16,roofward,True,ledger loft,"0.315,0.549",2,"{""arousal"": 0.204792, ""comfort"": 0.752, ""energy"": 0.54, ""pain"": 0.0, ""temperature"": 0.955, ""wetness"": 0.491}",6,True,True
191,16,roofward,True,glass stair,"0.370,0.500",2,"{""arousal"": 0.200878, ""comfort"": 0.732, ""energy"": 0.515, ""pain"": 0.0, ""temperature"": 0.93, ""wetness"": 0.487}",6,True,True
192,17,archive,True,arrival court,"0.575,0.647",2,"{""arousal"": 0.082926, ""comfort"": 0.709, ""energy"": 0.512, ""pain"": 0.0, ""temperature"": 0.572, ""wetness"": 0.118}",8,True,True
203,17,roofward,True,glass stair,"0.480,0.500",2,"{""arousal"": 0.193026, ""comfort"": 0.718, ""energy"": 0.484, ""pain"": 0.0, ""temperature"": 0.909, ""wetness"": 0.479}",7,True,True
204,18,archive,True,stone stacks,"0.465,0.647",2,"{""arousal"": 0.06843, ""comfort"": 0.724, ""energy"": 0.5, ""pain"": 0.0, ""temperature"": 0.577, ""wetness"": 0.154}",8,True,True
215,18,roofward,True,glass stair,"0.590,0.598",2,"{""arousal"": 0.184654, ""comfort"": 0.733, ""energy"": 0.513, ""pain"": 0.0, ""temperature"": 0.859, ""wetness"": 0.471}",6,True,True
216,19,archive,True,spool room,"0.355,0.598",2,"{""arousal"": 0.052482, ""comfort"": 0.765, ""energy"": 0.488, ""pain"": 0.0, ""temperature"": 0.556, ""wetness"": 0.115}",8,True,True
222,19,archive,True,spool room,"0.300,0.598",2,"{""arousal"": 0.04434, ""comfort"": 0.771, ""energy"": 0.482, ""pain"": 0.0, ""temperature"": 0.56, ""wetness"": 0.111}",8,True,True
227,19,roofward,True,glass stair,"0.700,0.500",2,"{""arousal"": 0.175762, ""comfort"": 0.748, ""energy"": 0.501, ""pain"": 0.0, ""temperature"": 0.809, ""wetness"": 0.463}",7,True,True
228,20,archive,True,ink niche,"0.245,0.647",2,"{""arousal"": 0.036086, ""comfort"": 0.777, ""energy"": 0.476, ""pain"": 0.0, ""temperature"": 0.59, ""wetness"": 0.107}",8,True,True
239,20,roofward,True,glass stair,"0.810,0.500",2,"{""arousal"": 0.16573, ""comfort"": 0.763, ""energy"": 0.489, ""pain"": 0.0, ""temperature"": 0.759, ""wetness"": 0.424}",6,True,True
240,21,signal,True,lens room,"0.755,0.255",2,"{""arousal"": 0.165606, ""comfort"": 0.798, ""energy"": 0.606, ""pain"": 0.0, ""temperature"": 0.601, ""wetness"": 0.35}",7,True,True
251,21,archive,True,spool room,"0.300,0.794",2,"{""arousal"": 0.02, ""comfort"": 0.769, ""energy"": 0.42, ""pain"": 0.01, ""temperature"": 0.602, ""wetness"": 0.139}",8,True,True
252,22,signal,True,lens room,"0.645,0.206",2,"{""arousal"": 0.15277, ""comfort"": 0.839, ""energy"": 0.594, ""pain"": 0.0, ""temperature"": 0.661, ""wetness"": 0.342}",8,True,True
259,22,orchard,True,arrival court,"0.810,0.598",2,"{""arousal"": 0.209596, ""comfort"": 0.816, ""energy"": 0.465, ""pain"": 0.0, ""temperature"": 0.926, ""wetness"": 0.672}",8,True,True
263,22,archive,True,spool room,"0.410,0.696",2,"{""arousal"": 0.02, ""comfort"": 0.755, ""energy"": 0.389, ""pain"": 0.002, ""temperature"": 0.61, ""wetness"": 0.175}",8,True,True
264,23,signal,True,lens room,"0.535,0.255",2,"{""arousal"": 0.13848, ""comfort"": 0.88, ""energy"": 0.582, ""pain"": 0.0, ""temperature"": 0.721, ""wetness"": 0.303}",8,True,True
275,23,archive,True,ink niche,"0.520,0.696",2,"{""arousal"": 0.02, ""comfort"": 0.796, ""energy"": 0.418, ""pain"": 0.0, ""temperature"": 0.67, ""wetness"": 0.167}",8,True,True
276,24,signal,True,arrival court,"0.425,0.255",2,"{""arousal"": 0.124736, ""comfort"": 0.866, ""energy"": 0.57, ""pain"": 0.03, ""temperature"": 0.755, ""wetness"": 0.339}",8,True,True
287,24,archive,True,arrival court,"0.630,0.794",2,"{""arousal"": 0.02, ""comfort"": 0.811, ""energy"": 0.406, ""pain"": 0.0, ""temperature"": 0.704, ""wetness"": 0.247}",8,True,True
288,25,signal,True,mast base,"0.315,0.206",2,"{""arousal"": 0.113652, ""comfort"": 0.826, ""energy"": 0.539, ""pain"": 0.022, ""temperature"": 0.734, ""wetness"": 0.375}",8,True,True
296,25,repair_ring,True,arrival court,"0.740,0.696",2,"{""arousal"": 0.02, ""comfort"": 0.878, ""energy"": 0.394, ""pain"": 0.0, ""temperature"": 0.547, ""wetness"": 0.032}",8,True,True
299,25,archive,True,stone stacks,"0.740,0.696",2,"{""arousal"": 0.02, ""comfort"": 0.826, ""energy"": 0.394, ""pain"": 0.0, ""temperature"": 0.654, ""wetness"": 0.208}",8,True,True
300,26,signal,True,lantern walk,"0.205,0.255",2,"{""arousal"": 0.102576, ""comfort"": 0.812, ""energy"": 0.508, ""pain"": 0.014, ""temperature"": 0.713, ""wetness"": 0.367}",8,True,True
311,26,archive,True,spool room,"0.850,0.696",2,"{""arousal"": 0.02, ""comfort"": 0.838, ""energy"": 0.382, ""pain"": 0.0, ""temperature"": 0.662, ""wetness"": 0.2}",8,True,True
312,27,signal,True,arrival court,"0.095,0.255",2,"{""arousal"": 0.091324, ""comfort"": 0.798, ""energy"": 0.496, ""pain"": 0.006, ""temperature"": 0.747, ""wetness"": 0.403}",8,True,True
323,27,archive,True,stone stacks,"0.960,0.794",2,"{""arousal"": 0.02, ""comfort"": 0.824, ""energy"": 0.351, ""pain"": 0.0, ""temperature"": 0.667, ""wetness"": 0.192}",8,True,True
324,28,orchard,True,satchel shed,"0.755,0.500",2,"{""arousal"": 0.177344, ""comfort"": 0.813, ""energy"": 0.402, ""pain"": 0.0, ""temperature"": 0.735, ""wetness"": 0.597}",8,True,True
333,28,roofward,True,ledger loft,"0.700,0.500",2,"{""arousal"": 0.068462, ""comfort"": 0.952, ""energy"": 0.396, ""pain"": 0.0, ""temperature"": 0.869, ""wetness"": 0.311}",8,True,True
335,28,signal,True,arrival court,"0.150,0.108",2,"{""arousal"": 0.075226, ""comfort"": 0.848, ""energy"": 0.56, ""pain"": 0.0, ""temperature"": 0.759, ""wetness"": 0.523}",8,True,True
336,29,orchard,True,arrival court,"0.645,0.549",2,"{""arousal"": 0.16812, ""comfort"": 0.854, ""energy"": 0.39, ""pain"": 0.0, ""temperature"": 0.769, ""wetness"": 0.558}",8,True,True
347,29,signal,True,arrival court,"0.260,0.108",2,"{""arousal"": 0.065934, ""comfort"": 0.863, ""energy"": 0.548, ""pain"": 0.0, ""temperature"": 0.793, ""wetness"": 0.603}",8,True,True
348,30,orchard,True,seed lane,"0.535,0.549",2,"{""arousal"": 0.1592, ""comfort"": 0.84, ""energy"": 0.378, ""pain"": 0.0, ""temperature"": 0.777, ""wetness"": 0.594}",8,True,True
359,30,signal,True,arrival court,"0.370,0.206",2,"{""arousal"": 0.057882, ""comfort"": 0.878, ""energy"": 0.536, ""pain"": 0.0, ""temperature"": 0.801, ""wetness"": 0.683}",8,True,True
360,31,orchard,True,satchel shed,"0.425,0.500",2,"{""arousal"": 0.151208, ""comfort"": 0.826, ""energy"": 0.347, ""pain"": 0.0, ""temperature"": 0.782, ""wetness"": 0.586}",8,True,True
370,31,archive,True,spool room,"0.960,0.892",2,"{""arousal"": 0.02, ""comfort"": 0.852, ""energy"": 0.306, ""pain"": 0.0, ""temperature"": 0.638, ""wetness"": 0.248}",8,True,True
371,31,signal,True,mast base,"0.480,0.108",2,"{""arousal"": 0.05275, ""comfort"": 0.838, ""energy"": 0.524, ""pain"": 0.026, ""temperature"": 0.751, ""wetness"": 0.675}",8,True,True
372,32,orchard,True,arrival court,"0.315,0.549",2,"{""arousal"": 0.14242, ""comfort"": 0.867, ""energy"": 0.357, ""pain"": 0.0, ""temperature"": 0.79, ""wetness"": 0.578}",8,True,True
383,32,signal,True,lens room,"0.590,0.108",2,"{""arousal"": 0.047002, ""comfort"": 0.85, ""energy"": 0.493, ""pain"": 0.018, ""temperature"": 0.811, ""wetness"": 0.667}",8,True,True
384,33,orchard,True,arrival court,"0.205,0.549",2,"{""arousal"": 0.132488, ""comfort"": 0.908, ""energy"": 0.345, ""pain"": 0.0, ""temperature"": 0.824, ""wetness"": 0.57}",8,True,True
395,33,signal,True,lens room,"0.700,0.206",2,"{""arousal"": 0.04095, ""comfort"": 0.836, ""energy"": 0.462, ""pain"": 0.01, ""temperature"": 0.816, ""wetness"": 0.659}",8,True,True
396,34,orchard,True,arrival court,"0.095,0.500",2,"{""arousal"": 0.121102, ""comfort"": 0.949, ""energy"": 0.333, ""pain"": 0.0, ""temperature"": 0.832, ""wetness"": 0.531}",8,True,True
407,34,signal,True,arrival court,"0.810,0.108",2,"{""arousal"": 0.035506, ""comfort"": 0.851, ""energy"": 0.491, ""pain"": 0.0, ""temperature"": 0.824, ""wetness"": 0.739}",8,True,True
408,35,repair_ring,True,spark lane,"0.905,0.941",2,"{""arousal"": 0.02, ""comfort"": 0.94, ""energy"": 0.226, ""pain"": 0.018, ""temperature"": 0.692, ""wetness"": 0.04}",8,True,True
419,35,orchard,True,seed lane,"0.150,0.500",2,"{""arousal"": 0.103912, ""comfort"": 0.96, ""energy"": 0.315, ""pain"": 0.0, ""temperature"": 0.844, ""wetness"": 0.607}",8,True,True
420,36,repair_ring,True,bell alcove,"0.795,0.911",2,"{""arousal"": 0.02, ""comfort"": 0.926, ""energy"": 0.195, ""pain"": 0.01, ""temperature"": 0.7, ""wetness"": 0.076}",8,True,True
431,36,orchard,True,market plank,"0.260,0.598",2,"{""arousal"": 0.094512, ""comfort"": 0.92, ""energy"": 0.303, ""pain"": 0.03, ""temperature"": 0.794, ""wetness"": 0.599}",8,True,True
432,37,repair_ring,True,wire bench,"0.685,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.912, ""energy"": 0.183, ""pain"": 0.002, ""temperature"": 0.705, ""wetness"": 0.068}",8,True,True
443,37,orchard,True,seed lane,"0.370,0.500",2,"{""arousal"": 0.086928, ""comfort"": 0.906, ""energy"": 0.272, ""pain"": 0.044, ""temperature"": 0.828, ""wetness"": 0.635}",8,True,True
444,38,repair_ring,True,spark lane,"0.575,0.911",2,"{""arousal"": 0.02, ""comfort"": 0.927, ""energy"": 0.212, ""pain"": 0.0, ""temperature"": 0.739, ""wetness"": 0.104}",8,True,True
455,38,orchard,True,seed lane,"0.480,0.500",2,"{""arousal"": 0.08058, ""comfort"": 0.892, ""energy"": 0.241, ""pain"": 0.036, ""temperature"": 0.862, ""wetness"": 0.671}",8,True,True
456,39,repair_ring,True,bell alcove,"0.465,0.911",2,"{""arousal"": 0.02, ""comfort"": 0.96, ""energy"": 0.2, ""pain"": 0.0, ""temperature"": 0.773, ""wetness"": 0.14}",8,True,True
467,39,orchard,True,seed lane,"0.590,0.598",2,"{""arousal"": 0.074152, ""comfort"": 0.907, ""energy"": 0.27, ""pain"": 0.014, ""temperature"": 0.87, ""wetness"": 0.751}",8,True,True
468,40,repair_ring,True,arrival court,"0.355,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.94, ""energy"": 0.188, ""pain"": 0.0, ""temperature"": 0.752, ""wetness"": 0.101}",8,True,True
479,40,orchard,True,seed lane,"0.700,0.500",2,"{""arousal"": 0.068484, ""comfort"": 0.922, ""energy"": 0.258, ""pain"": 0.006, ""temperature"": 0.904, ""wetness"": 0.831}",8,True,True
480,41,repair_ring,True,wire bench,"0.245,0.911",2,"{""arousal"": 0.02, ""comfort"": 0.926, ""energy"": 0.176, ""pain"": 0.026, ""temperature"": 0.757, ""wetness"": 0.093}",8,True,True
481,41,riverbend,True,plank hall,"0.810,0.089",2,"{""arousal"": 0.169538, ""comfort"": 0.86, ""energy"": 0.416, ""pain"": 0.002, ""temperature"": 0.679, ""wetness"": 0.876}",8,True,True
491,41,orchard,True,seed lane,"0.810,0.500",2,"{""arousal"": 0.063636, ""comfort"": 0.937, ""energy"": 0.246, ""pain"": 0.0, ""temperature"": 0.912, ""wetness"": 0.911}",8,True,True
492,42,riverbend,True,dry ridge,"0.755,0.040",2,"{""arousal"": 0.166266, ""comfort"": 0.901, ""energy"": 0.445, ""pain"": 0.0, ""temperature"": 0.687, ""wetness"": 0.912}",8,True,True
503,42,repair_ring,True,arrival court,"0.300,0.960",2,"{""arousal"": 0.02, ""comfort"": 0.866, ""energy"": 0.12, ""pain"": 0.036, ""temperature"": 0.711, ""wetness"": 0.125}",8,True,True
504,43,riverbend,True,kit alcove,"0.645,0.040",2,"{""arousal"": 0.16185, ""comfort"": 0.942, ""energy"": 0.474, ""pain"": 0.0, ""temperature"": 0.721, ""wetness"": 0.904}",8,True,True
515,43,repair_ring,True,arrival court,"0.410,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.826, ""energy"": 0.089, ""pain"": 0.028, ""temperature"": 0.69, ""wetness"": 0.161}",8,True,True
516,44,riverbend,True,arrival court,"0.535,0.089",2,"{""arousal"": 0.15701, ""comfort"": 0.94, ""energy"": 0.462, ""pain"": 0.0, ""temperature"": 0.726, ""wetness"": 0.896}",8,True,True
518,44,archive,True,stone stacks,"0.465,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.809, ""energy"": 0.124, ""pain"": 0.0, ""temperature"": 0.755, ""wetness"": 0.733}",8,True,True
527,44,repair_ring,True,wire bench,"0.520,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.867, ""energy"": 0.118, ""pain"": 0.006, ""temperature"": 0.75, ""wetness"": 0.153}",8,True,True
528,45,riverbend,True,plank hall,"0.425,0.089",2,"{""arousal"": 0.15183, ""comfort"": 0.94, ""energy"": 0.45, ""pain"": 0.0, ""temperature"": 0.705, ""wetness"": 0.901}",8,True,True
539,45,repair_ring,True,spark lane,"0.630,0.960",2,"{""arousal"": 0.02, ""comfort"": 0.882, ""energy"": 0.106, ""pain"": 0.0, ""temperature"": 0.784, ""wetness"": 0.233}",8,True,True
540,46,riverbend,True,dry ridge,"0.315,0.040",2,"{""arousal"": 0.150118, ""comfort"": 0.926, ""energy"": 0.438, ""pain"": 0.026, ""temperature"": 0.713, ""wetness"": 0.936}",8,True,True
551,46,repair_ring,True,bell alcove,"0.740,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.923, ""energy"": 0.094, ""pain"": 0.0, ""temperature"": 0.792, ""wetness"": 0.194}",8,True,True
552,47,riverbend,True,arrival court,"0.205,0.089",2,"{""arousal"": 0.14779, ""comfort"": 0.912, ""energy"": 0.407, ""pain"": 0.018, ""temperature"": 0.718, ""wetness"": 0.928}",8,True,True
555,47,signal,True,mast base,"0.205,0.089",2,"{""arousal"": 0.02, ""comfort"": 0.84, ""energy"": 0.388, ""pain"": 0.014, ""temperature"": 0.68, ""wetness"": 0.861}",8,True,True
563,47,repair_ring,True,arrival court,"0.850,0.862",2,"{""arousal"": 0.02, ""comfort"": 0.883, ""energy"": 0.082, ""pain"": 0.03, ""temperature"": 0.742, ""wetness"": 0.186}",8,True,True
564,48,riverbend,True,plank hall,"0.095,0.089",2,"{""arousal"": 0.145182, ""comfort"": 0.927, ""energy"": 0.417, ""pain"": 0.0, ""temperature"": 0.726, ""wetness"": 0.94}",8,True,True
575,48,repair_ring,True,bell alcove,"0.960,0.960",2,"{""arousal"": 0.02, ""comfort"": 0.895, ""energy"": 0.06, ""pain"": 0.022, ""temperature"": 0.776, ""wetness"": 0.178}",8,True,True
576,49,roofward,True,warm lane,"0.755,0.500",2,"{""arousal"": 0.02, ""comfort"": 0.96, ""energy"": 0.159, ""pain"": 0.0, ""temperature"": 0.96, ""wetness"": 0.595}",8,True,True
587,49,riverbend,True,dry ridge,"0.150,0.040",2,"{""arousal"": 0.140046, ""comfort"": 0.948, ""energy"": 0.44, ""pain"": 0.0, ""temperature"": 0.738, ""wetness"": 0.932}",8,True,True
588,50,roofward,True,ledger loft,"0.645,0.549",2,"{""arousal"": 0.02, ""comfort"": 0.96, ""energy"": 0.147, ""pain"": 0.0, ""temperature"": 0.96, ""wetness"": 0.587}",8,True,True
592,50,repair_ring,True,wire bench,"0.960,0.911",2,"{""arousal"": 0.02, ""comfort"": 0.887, ""energy"": 0.06, ""pain"": 0.01, ""temperature"": 0.785, ""wetness"": 0.166}",8,True,True
599,50,riverbend,True,kit alcove,"0.260,0.040",2,"{""arousal"": 0.135598, ""comfort"": 0.96, ""energy"": 0.428, ""pain"": 0.0, ""temperature"": 0.798, ""wetness"": 0.924}",8,True,True
600,51,roofward,True,arrival court,"0.535,0.549",2,"{""arousal"": 0.02, ""comfort"": 0.94, ""energy"": 0.116, ""pain"": 0.018, ""temperature"": 0.96, ""wetness"": 0.623}",8,True,True
611,51,riverbend,True,arrival court,"0.370,0.138",2,"{""arousal"": 0.130848, ""comfort"": 0.96, ""energy"": 0.416, ""pain"": 0.0, ""temperature"": 0.748, ""wetness"": 0.885}",8,True,True
612,52,roofward,True,glass stair,"0.425,0.500",2,"{""arousal"": 0.02, ""comfort"": 0.9, ""energy"": 0.085, ""pain"": 0.01, ""temperature"": 0.935, ""wetness"": 0.659}",8,True,True
623,52,riverbend,True,plank hall,"0.480,0.040",2,"{""arousal"": 0.128078, ""comfort"": 0.92, ""energy"": 0.404, ""pain"": 0.03, ""temperature"": 0.756, ""wetness"": 0.94}",8,True,True
624,53,roofward,True,ledger loft,"0.315,0.549",2,"{""arousal"": 0.02, ""comfort"": 0.912, ""energy"": 0.073, ""pain"": 0.002, ""temperature"": 0.96, ""wetness"": 0.651}",8,True,True
629,53,riverbend,True,dry ridge,"0.535,0.040",2,"{""arousal"": 0.127106, ""comfort"": 0.926, ""energy"": 0.398, ""pain"": 0.026, ""temperature"": 0.76, ""wetness"": 0.936}",8,True,True
635,53,riverbend,True,arrival court,"0.590,0.040",2,"{""arousal"": 0.126214, ""comfort"": 0.906, ""energy"": 0.373, ""pain"": 0.022, ""temperature"": 0.735, ""wetness"": 0.932}",8,True,True
636,54,roofward,True,arrival court,"0.205,0.549",2,"{""arousal"": 0.02, ""comfort"": 0.927, ""energy"": 0.102, ""pain"": 0.0, ""temperature"": 0.96, ""wetness"": 0.687}",8,True,True
647,54,riverbend,True,arrival court,"0.700,0.138",2,"{""arousal"": 0.124046, ""comfort"": 0.892, ""energy"": 0.342, ""pain"": 0.014, ""temperature"": 0.714, ""wetness"": 0.924}",8,True,True
648,55,roofward,True,glass stair,"0.095,0.500",2,"{""arousal"": 0.02, ""comfort"": 0.94, ""energy"": 0.09, ""pain"": 0.0, ""temperature"": 0.935, ""wetness"": 0.723}",8,True,True
659,55,riverbend,True,arrival court,"0.810,0.040",2,"{""arousal"": 0.120398, ""comfort"": 0.907, ""energy"": 0.371, ""pain"": 0.0, ""temperature"": 0.664, ""wetness"": 0.916}",8,True,True
660,56,archive,True,ink niche,"0.905,0.960",2,"{""arousal"": 0.026388, ""comfort"": 0.734, ""energy"": 0.06, ""pain"": 0.018, ""temperature"": 0.7, ""wetness"": 0.932}",8,True,True
666,56,archive,True,arrival court,"0.850,0.960",2,"{""arousal"": 0.0283, ""comfort"": 0.714, ""energy"": 0.06, ""pain"": 0.036, ""temperature"": 0.704, ""wetness"": 0.94}",8,True,True
671,56,roofward,True,glass stair,"0.150,0.500",2,"{""arousal"": 0.02, ""comfort"": 0.94, ""energy"": 0.072, ""pain"": 0.0, ""temperature"": 0.86, ""wetness"": 0.649}",8,True,True
672,57,archive,True,stone stacks,"0.795,0.911",2,"{""arousal"": 0.030292, ""comfort"": 0.694, ""energy"": 0.06, ""pain"": 0.032, ""temperature"": 0.679, ""wetness"": 0.936}",8,True,True
683,57,roofward,True,warm lane,"0.260,0.598",2,"{""arousal"": 0.02, ""comfort"": 0.952, ""energy"": 0.06, ""pain"": 0.0, ""temperature"": 0.92, ""wetness"": 0.641}",8,True,True
684,58,archive,True,spool room,"0.685,0.862",2,"{""arousal"": 0.032812, ""comfort"": 0.735, ""energy"": 0.095, ""pain"": 0.01, ""temperature"": 0.687, ""wetness"": 0.928}",8,True,True
