tick,day,scene_id,selected_object,held_object_count,visible_object_count,ceremony_object_count,object_owner_boundaries_preserved,inventory_panel_visible,inventory_persisted,inventory_persistence_score
104,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
105,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
106,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
107,7,v22-scene-d07,path cord,0,1,1,0,1,1,0.756
108,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
109,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
110,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
111,7,v22-scene-d07,path cord,0,1,1,1,1,1,0.956
112,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
113,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
114,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
115,8,v22-scene-d08,path cord,0,1,1,0,1,1,0.756
116,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
117,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
118,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
119,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
120,8,v22-scene-d08,path cord,0,1,1,1,1,0,0.756
121,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
122,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
123,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
124,8,v22-scene-d08,path cord,0,1,1,1,1,1,0.956
125,8,v22-scene-d08,path cord,0,1,1,0,1,1,0.756
126,8,v22-scene-d08,path cord,0,1,1,0,1,1,0.756
127,8,v22-scene-d08,path cord,0,0,1,1,0,1,0.756
128,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
129,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
130,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
131,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
132,9,v22-scene-d09,path cord,0,1,1,0,1,1,0.756
133,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
134,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
135,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
136,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
137,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
138,9,v22-scene-d09,path cord,0,1,1,1,1,1,0.956
139,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
140,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
141,9,v22-scene-d09,path cord,0,0,1,1,0,1,0.756
142,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
143,9,v22-scene-d09,path cord,0,0,1,1,1,1,0.956
144,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
145,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
146,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
147,10,v22-scene-d10,path cord,0,1,1,1,1,1,0.956
148,10,v22-scene-d10,path cord,0,1,1,1,1,1,0.956
149,10,v22-scene-d10,path cord,0,1,1,1,1,1,0.956
150,10,v22-scene-d10,path cord,0,1,1,1,1,1,0.956
151,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
152,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
153,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
154,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
155,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
156,10,v22-scene-d10,path cord,0,0,1,1,0,1,0.756
157,10,v22-scene-d10,path cord,0,0,1,1,1,0,0.756
158,10,v22-scene-d10,path cord,0,0,1,1,1,1,0.956
159,10,v22-scene-d10,path cord,0,0,1,1,0,1,0.756
160,11,v22-scene-d11,path cord,0,0,1,1,1,1,0.956
161,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
162,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
163,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
164,11,v22-scene-d11,path cord,0,0,1,1,0,1,0.756
165,11,v22-scene-d11,path cord,0,0,1,0,1,1,0.756
166,11,v22-scene-d11,path cord,0,0,1,1,1,1,0.956
167,11,v22-scene-d11,path cord,0,0,1,1,1,1,0.956
168,11,v22-scene-d11,path cord,0,0,1,0,1,1,0.756
169,11,v22-scene-d11,path cord,0,0,1,1,1,1,0.956
170,11,v22-scene-d11,path cord,0,0,1,1,1,1,0.956
171,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
172,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
173,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
174,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
175,11,v22-scene-d11,path cord,0,1,1,1,1,1,0.956
176,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
177,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
178,12,v22-scene-d12,path cord,0,0,1,1,1,1,0.956
179,12,v22-scene-d12,path cord,0,0,1,1,1,1,0.956
180,12,v22-scene-d12,path cord,0,0,1,1,1,1,0.956
181,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
182,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
183,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
184,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
185,12,v22-scene-d12,path cord,1,1,2,1,0,1,0.8
186,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
187,12,v22-scene-d12,path cord,1,1,2,1,1,1,1.0
188,12,v22-scene-d12,path cord,1,1,2,1,1,1,1.0
189,12,v22-scene-d12,path cord,1,1,2,1,1,1,1.0
190,12,v22-scene-d12,path cord,0,1,1,0,1,1,0.756
191,12,v22-scene-d12,path cord,0,1,1,1,1,1,0.956
192,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
193,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
194,13,v22-scene-d13,path cord,0,1,1,1,1,0,0.756
195,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
196,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
197,13,v22-scene-d13,path cord,0,2,2,1,1,1,1.0
198,13,v22-scene-d13,path cord,0,2,2,1,1,1,1.0
199,13,v22-scene-d13,path cord,0,2,2,1,1,1,1.0
200,13,v22-scene-d13,path cord,0,2,2,1,1,1,1.0
201,13,v22-scene-d13,path cord,1,2,3,1,1,1,1.0
202,13,v22-scene-d13,path cord,0,2,2,1,1,1,1.0
203,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
204,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
205,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
206,13,v22-scene-d13,path cord,0,1,1,1,1,1,0.956
207,13,v22-scene-d13,path cord,1,1,2,1,1,1,1.0
208,14,v22-scene-d14,path cord,1,1,2,1,1,1,1.0
209,14,v22-scene-d14,path cord,1,2,3,1,1,1,1.0
210,14,v22-scene-d14,path cord,1,2,3,1,1,1,1.0
211,14,v22-scene-d14,path cord,1,2,3,1,1,1,1.0
212,14,v22-scene-d14,path cord,0,2,2,1,1,1,1.0
213,14,v22-scene-d14,path cord,0,2,2,1,1,1,1.0
214,14,v22-scene-d14,path cord,0,2,2,1,0,1,0.8
215,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
216,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
217,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
218,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
219,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
220,14,v22-scene-d14,path cord,0,1,1,1,1,1,0.956
221,14,v22-scene-d14,path cord,1,2,3,1,1,1,1.0
222,14,v22-scene-d14,path cord,1,2,3,1,1,1,1.0
223,14,v22-scene-d14,path cord,1,3,4,1,1,1,1.0
224,15,v22-scene-d15,path cord,1,3,4,1,1,1,1.0
225,15,v22-scene-d15,path cord,2,3,5,1,1,1,1.0
226,15,v22-scene-d15,path cord,2,3,5,0,1,1,0.8
227,15,v22-scene-d15,path cord,2,2,4,1,1,1,1.0
228,15,v22-scene-d15,path cord,1,1,2,1,1,1,1.0
229,15,v22-scene-d15,path cord,0,1,1,1,1,1,0.956
230,15,v22-scene-d15,path cord,0,1,1,1,1,1,0.956
231,15,v22-scene-d15,path cord,0,1,1,1,1,0,0.756
232,15,v22-scene-d15,path cord,0,1,1,1,1,1,0.956
233,15,v22-scene-d15,path cord,0,2,2,1,1,1,1.0
234,15,v22-scene-d15,path cord,1,2,3,1,1,1,1.0
235,15,v22-scene-d15,path cord,1,3,4,1,1,1,1.0
236,15,v22-scene-d15,path cord,2,3,5,1,1,1,1.0
237,15,v22-scene-d15,path cord,2,4,6,0,1,1,0.8
238,15,v22-scene-d15,path cord,2,4,6,1,1,1,1.0
239,15,v22-scene-d15,rain mirror,2,4,6,0,1,1,0.8
240,16,v22-scene-d16,rain mirror,2,3,5,0,1,1,0.8
241,16,v22-scene-d16,path cord,2,3,5,1,1,1,1.0
242,16,v22-scene-d16,path cord,1,3,4,1,1,1,1.0
243,16,v22-scene-d16,path cord,1,3,4,1,0,1,0.8
244,16,v22-scene-d16,path cord,0,3,3,1,1,1,1.0
245,16,v22-scene-d16,path cord,0,3,3,0,1,1,0.8
246,16,v22-scene-d16,path cord,0,4,4,1,1,1,1.0
247,16,v22-scene-d16,path cord,0,4,4,1,1,1,1.0
248,16,v22-scene-d16,path cord,0,4,4,1,1,1,1.0
249,16,v22-scene-d16,rain mirror,0,4,4,0,1,1,0.8
250,16,v22-scene-d16,rain mirror,0,4,4,0,1,1,0.8
251,16,v22-scene-d16,ember bowl,0,4,4,1,1,1,1.0
252,16,v22-scene-d16,ember bowl,0,4,4,1,1,1,1.0
253,16,v22-scene-d16,ember bowl,0,3,3,1,1,1,1.0
254,16,v22-scene-d16,ember bowl,0,3,3,1,1,1,1.0
255,16,v22-scene-d16,ember bowl,0,2,2,1,1,1,1.0
256,17,v22-scene-d17,ember bowl,0,3,3,1,1,1,1.0
257,17,v22-scene-d17,path cord,0,3,3,1,1,1,1.0
258,17,v22-scene-d17,path cord,0,4,4,1,1,1,1.0
259,17,v22-scene-d17,path cord,0,4,4,1,1,1,1.0
260,17,v22-scene-d17,rain mirror,0,4,4,0,1,1,0.8
261,17,v22-scene-d17,rain mirror,0,4,4,0,1,1,0.8
262,17,v22-scene-d17,ember bowl,0,4,4,1,1,1,1.0
263,17,v22-scene-d17,ember bowl,1,4,5,1,1,1,1.0
264,17,v22-scene-d17,ember bowl,0,2,2,1,1,1,1.0
265,17,v22-scene-d17,ember bowl,0,2,2,1,1,1,1.0
266,17,v22-scene-d17,ember bowl,0,2,2,1,1,1,1.0
267,17,v22-scene-d17,ember bowl,0,1,1,1,1,1,0.956
268,17,v22-scene-d17,ember bowl,0,1,1,0,1,0,0.556
269,17,v22-scene-d17,ember bowl,0,1,1,0,1,1,0.756
270,17,v22-scene-d17,ember bowl,0,1,1,0,1,1,0.756
271,17,v22-scene-d17,ember bowl,0,1,1,1,1,1,0.956
272,18,v22-scene-d18,ember bowl,0,3,3,0,0,1,0.6
273,18,v22-scene-d18,ember bowl,0,3,3,1,1,1,1.0
274,18,v22-scene-d18,ember bowl,0,4,4,1,1,1,1.0
275,18,v22-scene-d18,ember bowl,0,2,2,1,1,1,1.0
276,18,v22-scene-d18,ember bowl,0,2,2,1,1,1,1.0
277,18,v22-scene-d18,ember bowl,0,2,2,1,1,1,1.0
278,18,v22-scene-d18,ember bowl,0,2,2,1,1,1,1.0
279,18,v22-scene-d18,ember bowl,1,1,2,1,1,1,1.0
280,18,v22-scene-d18,ember bowl,2,1,3,1,1,1,1.0
281,18,v22-scene-d18,ember bowl,2,1,3,1,1,1,1.0
282,18,v22-scene-d18,ember bowl,2,1,3,1,1,1,1.0
283,18,v22-scene-d18,ember bowl,1,1,2,1,1,1,1.0
284,18,v22-scene-d18,ember bowl,1,1,2,0,1,1,0.8
285,18,v22-scene-d18,ember bowl,1,1,2,1,1,1,1.0
286,18,v22-scene-d18,ember bowl,1,2,3,0,1,1,0.8
287,18,v22-scene-d18,ember bowl,1,2,3,1,1,1,1.0
288,19,v22-scene-d19,ember bowl,0,2,2,1,1,1,1.0
289,19,v22-scene-d19,ember bowl,0,2,2,1,1,1,1.0
290,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
291,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
292,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
293,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
294,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
295,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
296,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
297,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
298,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
299,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
300,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
301,19,v22-scene-d19,ember bowl,0,1,1,1,0,1,0.756
302,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
303,19,v22-scene-d19,ember bowl,0,1,1,1,1,1,0.956
304,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
305,20,v22-scene-d20,ember bowl,0,1,1,1,1,0,0.756
306,20,v22-scene-d20,ember bowl,0,1,1,0,1,1,0.756
307,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
308,20,v22-scene-d20,ember bowl,0,0,1,1,1,1,0.956
309,20,v22-scene-d20,ember bowl,0,0,1,1,1,1,0.956
310,20,v22-scene-d20,path cord,0,2,2,1,1,1,1.0
311,20,v22-scene-d20,path cord,0,3,3,1,1,1,1.0
312,20,v22-scene-d20,ember bowl,0,3,3,1,1,1,1.0
313,20,v22-scene-d20,ember bowl,0,3,3,1,1,1,1.0
314,20,v22-scene-d20,ember bowl,0,3,3,1,1,1,1.0
315,20,v22-scene-d20,ember bowl,0,2,2,0,1,1,0.8
316,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
317,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
318,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
319,20,v22-scene-d20,ember bowl,0,1,1,1,1,1,0.956
320,21,v22-scene-d21,ember bowl,0,0,1,1,1,1,0.956
321,21,v22-scene-d21,path cord,0,0,1,1,1,1,0.956
322,21,v22-scene-d21,path cord,0,1,1,1,1,1,0.956
323,21,v22-scene-d21,path cord,0,2,2,0,1,1,0.8
324,21,v22-scene-d21,path cord,0,3,3,1,1,1,1.0
325,21,v22-scene-d21,path cord,0,4,4,1,1,1,1.0
326,21,v22-scene-d21,path cord,0,4,4,1,1,1,1.0
327,21,v22-scene-d21,rain mirror,0,4,4,0,1,1,0.8
328,21,v22-scene-d21,rain mirror,0,4,4,0,1,1,0.8
329,21,v22-scene-d21,ember bowl,0,3,3,1,1,1,1.0
330,21,v22-scene-d21,ember bowl,0,3,3,1,0,1,0.8
331,21,v22-scene-d21,ember bowl,0,1,1,1,1,1,0.956
332,21,v22-scene-d21,path cord,0,0,1,1,1,1,0.956
333,21,v22-scene-d21,path cord,0,0,1,1,1,1,0.956
334,21,v22-scene-d21,path cord,0,0,1,1,1,1,0.956
335,21,v22-scene-d21,path cord,0,1,1,1,1,1,0.956
336,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
337,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
338,22,v22-scene-d22,path cord,0,1,1,0,1,1,0.756
339,22,v22-scene-d22,path cord,0,2,2,1,1,1,1.0
340,22,v22-scene-d22,path cord,0,2,2,1,1,1,1.0
341,22,v22-scene-d22,path cord,0,2,2,0,1,1,0.8
342,22,v22-scene-d22,path cord,0,1,1,1,1,0,0.756
343,22,v22-scene-d22,path cord,0,1,1,0,1,1,0.756
344,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
345,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
346,22,v22-scene-d22,path cord,0,1,1,0,1,1,0.756
347,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
348,22,v22-scene-d22,path cord,0,1,1,0,1,1,0.756
349,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
350,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
351,22,v22-scene-d22,path cord,0,1,1,1,1,1,0.956
352,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
353,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
354,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
355,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
356,23,v22-scene-d23,path cord,0,1,1,1,0,1,0.756
357,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
358,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
359,23,v22-scene-d23,path cord,0,1,1,1,0,1,0.756
360,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
361,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
362,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
363,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
364,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
365,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
366,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
367,23,v22-scene-d23,path cord,0,1,1,1,1,1,0.956
368,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
369,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
370,24,v22-scene-d24,path cord,0,1,1,1,0,0,0.556
371,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
372,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
373,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
374,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
375,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
376,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
377,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
378,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
379,24,v22-scene-d24,path cord,0,1,1,1,1,0,0.756
380,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
381,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
382,24,v22-scene-d24,path cord,0,1,1,0,1,1,0.756
383,24,v22-scene-d24,path cord,0,1,1,1,1,1,0.956
