tick_id,day,session_id,settlement_id,resident_id,site_id,start_x,start_y,target_x,target_y,distance_before,distance_after,path_nodes,collision_or_boundary,arrived_or_closer,sensory_marker,frequency_hz,flower_phase
92,6,session-001,cinder_garden,Pax,ash_path,4,10,5,9,2,0,4->10|5->11|6->12,clear,True,cool ash,9.9763,0.313413
93,6,session-001,lichen_bridge,Rin,meal_room,5,1,9,5,8,4,5->1|6->2|7->3|8->3|9->3,clear,True,lichen soup,8.6249,0.30519
94,6,session-001,orchid_engine,Eli,engine_ring,6,3,4,3,2,0,6->3|7->4|8->5,clear,True,warm iron,10.97865,0.330968
95,6,session-001,moss_ward,Ari,blanket_room,7,5,6,4,2,0,7->5|8->6|9->7,wet edge reroute,True,warm wool,6.32965,0.287746
96,6,session-001,glass_harbor,Oren,fog_rail,8,7,11,3,7,3,8->7|9->8|10->9|11->9|12->9,clear,True,cold fog,7.451264,0.303524
97,6,session-001,cinder_garden,Vale,seed_shelf,9,9,2,5,11,7,9->9|10->10|11->11|12->11|13->11,clear,True,seed oil,10.002914,0.327302
98,6,session-001,lichen_bridge,Sol,signal_post,10,0,6,10,14,10,10->0|11->1|12->2|13->2|14->2,clear,True,bell hum,8.670407,0.319079
99,6,session-001,orchid_engine,Bea,orchid_bay,11,2,12,4,3,0,11->2|12->3|13->4|14->4,clear,True,orchid steam,11.0333,0.344857
100,6,session-001,moss_ward,Fay,rain_gate,12,4,2,8,14,10,12->4|13->5|14->6|15->6|16->6,clear,True,wet moss,6.352257,0.301635
101,6,session-001,glass_harbor,Puck,net_room,0,6,7,5,8,4,0->6|1->7|2->8|3->8|4->8,clear,True,salt fiber,7.5029,0.317413
102,6,session-001,cinder_garden,Wren,shade_tent,1,8,10,6,11,7,1->8|2->9|3->10|4->10|5->10,clear,True,dry shade,10.057764,0.34119
103,6,session-001,lichen_bridge,Kio,rope_bridge,2,10,1,7,4,0,2->10|3->11|4->12|5->12|6->12,clear,True,damp rope,8.7573,0.332968
104,6,session-001,orchid_engine,Cai,gear_wash,3,1,8,8,12,8,3->1|4->2|5->3|6->3|7->3,clear,True,gear oil,11.0584,0.358746
105,6,session-001,moss_ward,Milo,root_alcove,4,3,9,2,6,2,4->3|5->4|6->5|7->5|8->5,clear,True,root ink,6.42475,0.315524
106,6,session-001,glass_harbor,Sera,lamp_pier,5,5,3,9,6,2,5->5|6->6|7->7|8->7|9->7,clear,True,lamp oil,7.56565,0.331302
107,6,session-001,cinder_garden,Juno,ash_path,6,7,5,9,3,0,6->7|7->8|8->9|9->9,clear,True,cool ash,10.14155,0.355079
108,7,session-002,orchid_engine,Bea,engine_ring,3,7,4,3,5,1,3->7|4->8|5->9|6->9|7->9,clear,True,warm iron,11.12345,0.370333
109,7,session-002,moss_ward,Fay,blanket_room,4,9,6,4,7,3,4->9|5->10|6->11|7->11|8->11,clear,True,warm wool,6.464364,0.327111
110,7,session-002,glass_harbor,Puck,fog_rail,5,0,11,3,9,5,5->0|6->1|7->2|8->2|9->2,clear,True,cold fog,7.59965,0.342889
111,7,session-002,cinder_garden,Wren,seed_shelf,6,2,2,5,7,3,6->2|7->3|8->4|9->4|10->4,clear,True,seed oil,10.166364,0.366667
112,7,session-002,lichen_bridge,Kio,signal_post,7,4,6,10,7,3,7->4|8->5|9->6|10->6|11->6,clear,True,bell hum,8.837164,0.358444
113,7,session-002,orchid_engine,Cai,orchid_bay,8,6,12,4,6,2,8->6|9->7|10->8|11->8|12->8,clear,True,orchid steam,11.17265,0.384222
114,7,session-002,moss_ward,Milo,rain_gate,9,8,2,8,7,3,9->8|10->9|11->10|12->10|13->10,wet edge reroute,True,wet moss,6.519614,0.341
115,7,session-002,glass_harbor,Sera,net_room,10,10,7,5,8,4,10->10|11->11|12->12|13->12|14->12,clear,True,salt fiber,7.6574,0.356778
116,7,session-002,cinder_garden,Juno,shade_tent,11,1,10,6,6,2,11->1|12->2|13->3|14->3|15->3,clear,True,dry shade,10.2257,0.380556
117,7,session-002,lichen_bridge,Luma,rope_bridge,12,3,1,7,15,11,12->3|13->4|14->5|15->5|16->5,clear,True,damp rope,8.87855,0.372333
118,7,session-002,orchid_engine,Dax,gear_wash,0,5,8,8,11,7,0->5|1->6|2->7|3->7|4->7,clear,True,gear oil,11.214014,0.398111
119,7,session-002,moss_ward,Tala,root_alcove,1,7,9,2,13,9,1->7|2->8|3->9|4->9|5->9,clear,True,root ink,6.562396,0.354889
120,7,session-002,glass_harbor,Nia,lamp_pier,2,9,3,9,1,0,2->9|3->10,clear,True,lamp oil,7.73455,0.370667
121,7,session-002,cinder_garden,Pax,ash_path,3,0,5,9,11,7,3->0|4->1|5->2|6->2|7->2,clear,True,cool ash,10.266914,0.394444
122,7,session-002,lichen_bridge,Rin,meal_room,4,2,9,5,8,4,4->2|5->3|6->4|7->4|8->4,clear,True,lichen soup,8.94405,0.386222
123,7,session-002,orchid_engine,Eli,engine_ring,5,4,4,3,2,0,5->4|6->5|7->6,clear,True,warm iron,11.2979,0.412
124,7,session-002,moss_ward,Ari,blanket_room,6,6,6,4,2,0,6->6|7->7|8->8,clear,True,warm wool,6.6488,0.368778
125,7,session-002,glass_harbor,Oren,fog_rail,7,8,11,3,9,5,7->8|8->9|9->10|10->10|11->10,clear,True,cold fog,7.7648,0.384556
126,8,session-002,lichen_bridge,Luma,signal_post,4,8,6,10,4,0,4->8|5->9|6->10|7->10|8->10,clear,True,bell hum,9.0108,0.39781
127,8,session-002,orchid_engine,Dax,orchid_bay,5,10,12,4,13,9,5->10|6->11|7->12|8->12|9->12,clear,True,orchid steam,11.310746,0.423587
128,8,session-002,moss_ward,Tala,rain_gate,6,1,2,8,11,7,6->1|7->2|8->3|9->3|10->3,clear,True,wet moss,6.664164,0.380365
129,8,session-002,glass_harbor,Nia,net_room,7,3,7,5,2,0,7->3|8->4|9->5,clear,True,salt fiber,7.8338,0.396143
130,8,session-002,cinder_garden,Pax,shade_tent,8,5,10,6,3,0,8->5|9->6|10->7|11->7,clear,True,dry shade,10.3948,0.419921
131,8,session-002,lichen_bridge,Rin,rope_bridge,9,7,1,7,8,4,9->7|10->8|11->9|12->9|13->9,clear,True,damp rope,9.0433,0.411698
132,8,session-002,orchid_engine,Eli,gear_wash,10,9,8,8,3,0,10->9|11->10|12->11|13->11,clear,True,gear oil,11.39705,0.437476
133,8,session-002,moss_ward,Ari,root_alcove,11,0,9,2,4,0,11->0|12->1|13->2|14->2|15->2,wet edge reroute,True,root ink,6.74805,0.394254
134,8,session-002,glass_harbor,Oren,lamp_pier,12,2,3,9,16,12,12->2|13->3|14->4|15->4|16->4,clear,True,lamp oil,7.8553,0.410032
135,8,session-002,cinder_garden,Vale,ash_path,0,4,5,9,10,6,0->4|1->5|2->6|3->6|4->6,clear,True,cool ash,10.4228,0.43381
136,8,session-002,lichen_bridge,Sol,meal_room,1,6,9,5,9,5,1->6|2->7|3->8|4->8|5->8,clear,True,lichen soup,9.0958,0.425587
137,8,session-002,orchid_engine,Bea,engine_ring,2,8,4,3,7,3,2->8|3->9|4->10|5->10|6->10,clear,True,warm iron,11.432414,0.451365
138,8,session-002,moss_ward,Fay,blanket_room,3,10,6,4,9,5,3->10|4->11|5->12|6->12|7->12,clear,True,warm wool,6.7778,0.408143
139,8,session-002,glass_harbor,Puck,fog_rail,4,1,11,3,9,5,4->1|5->2|6->3|7->3|8->3,clear,True,cold fog,7.9189,0.423921
140,8,session-002,cinder_garden,Wren,seed_shelf,5,3,2,5,5,1,5->3|6->4|7->5|8->5|9->5,clear,True,seed oil,10.4959,0.447698
141,8,session-002,lichen_bridge,Kio,signal_post,6,5,6,10,5,1,6->5|7->6|8->7|9->7|10->7,clear,True,bell hum,9.1667,0.439476
142,8,session-002,orchid_engine,Cai,orchid_bay,7,7,12,4,8,4,7->7|8->8|9->9|10->9|11->9,clear,True,orchid steam,11.4843,0.465254
143,8,session-002,moss_ward,Milo,rain_gate,8,9,2,8,7,3,8->9|9->10|10->11|11->11|12->11,clear,True,wet moss,6.838864,0.422032
144,9,session-002,cinder_garden,Vale,shade_tent,5,9,10,6,8,4,5->9|6->10|7->11|8->11|9->11,clear,True,dry shade,10.52655,0.459286
145,9,session-002,lichen_bridge,Sol,rope_bridge,6,0,1,7,12,8,6->0|7->1|8->2|9->2|10->2,clear,True,damp rope,9.19005,0.451063
146,9,session-002,orchid_engine,Bea,gear_wash,7,2,8,8,7,3,7->2|8->3|9->4|10->4|11->4,clear,True,gear oil,11.531564,0.476841
147,9,session-002,moss_ward,Fay,root_alcove,8,4,9,2,3,0,8->4|9->5|10->6|11->6,clear,True,root ink,6.90205,0.433619
148,9,session-002,glass_harbor,Puck,lamp_pier,9,6,3,9,9,5,9->6|10->7|11->8|12->8|13->8,clear,True,lamp oil,8.01805,0.449397
149,9,session-002,cinder_garden,Wren,ash_path,10,8,5,9,6,2,10->8|11->9|12->10|13->10|14->10,clear,True,cool ash,10.58915,0.473175
150,9,session-002,lichen_bridge,Kio,meal_room,11,10,9,5,7,3,11->10|12->11|13->12|14->12|15->12,clear,True,lichen soup,9.255564,0.464952
151,9,session-002,orchid_engine,Cai,engine_ring,12,1,4,3,10,6,12->1|13->2|14->3|15->3|16->3,clear,True,warm iron,11.57905,0.49073
152,9,session-002,moss_ward,Milo,blanket_room,0,3,6,4,7,3,0->3|1->4|2->5|3->5|4->5,wet edge reroute,True,warm wool,6.938014,0.447508
153,9,session-002,glass_harbor,Sera,fog_rail,1,5,11,3,12,8,1->5|2->6|3->7|4->7|5->7,clear,True,cold fog,8.06805,0.463286
154,9,session-002,cinder_garden,Juno,seed_shelf,2,7,2,5,2,0,2->7|3->8|4->9,clear,True,seed oil,10.65895,0.487063
155,9,session-002,lichen_bridge,Luma,signal_post,3,9,6,10,4,0,3->9|4->10|5->11|6->11|7->11,clear,True,bell hum,9.33005,0.478841
156,9,session-002,orchid_engine,Dax,orchid_bay,4,0,12,4,12,8,4->0|5->1|6->2|7->2|8->2,clear,True,orchid steam,11.63115,0.504619
157,9,session-002,moss_ward,Tala,rain_gate,5,2,2,8,9,5,5->2|6->3|7->4|8->4|9->4,clear,True,wet moss,6.98705,0.461397
158,9,session-002,glass_harbor,Nia,net_room,6,4,7,5,2,0,6->4|7->5|8->6,clear,True,salt fiber,8.15295,0.477175
159,9,session-002,cinder_garden,Pax,shade_tent,7,6,10,6,3,0,7->6|8->7|9->8|10->8,clear,True,dry shade,10.71405,0.500952
160,9,session-002,lichen_bridge,Rin,rope_bridge,8,8,1,7,8,4,8->8|9->9|10->10|11->10|12->10,clear,True,damp rope,9.36245,0.49273
161,9,session-002,orchid_engine,Eli,gear_wash,9,10,8,8,3,0,9->10|10->11|11->12|12->12,clear,True,gear oil,11.7163,0.518508
162,10,session-002,glass_harbor,Sera,lamp_pier,6,10,3,9,4,0,6->10|7->11|8->12|9->12|10->12,clear,True,lamp oil,8.1973,0.488762
163,10,session-002,cinder_garden,Juno,ash_path,7,1,5,9,10,6,7->1|8->2|9->3|10->3|11->3,clear,True,cool ash,10.7312,0.51254
164,10,session-002,lichen_bridge,Luma,meal_room,8,3,9,5,3,0,8->3|9->4|10->5|11->5,clear,True,lichen soup,9.4292,0.504317
165,10,session-002,orchid_engine,Dax,engine_ring,9,5,4,3,7,3,9->5|10->6|11->7|12->7|13->7,clear,True,warm iron,11.741114,0.530095
166,10,session-002,moss_ward,Tala,blanket_room,10,7,6,4,7,3,10->7|11->8|12->9|13->9|14->9,clear,True,warm wool,7.091914,0.486873
167,10,session-002,glass_harbor,Nia,fog_rail,11,9,11,3,6,2,11->9|12->10|13->11|14->11|15->11,clear,True,cold fog,8.2372,0.502651
168,10,session-002,cinder_garden,Pax,seed_shelf,12,0,2,5,15,11,12->0|13->1|14->2|15->2|16->2,clear,True,seed oil,10.7803,0.526429
169,10,session-002,lichen_bridge,Rin,signal_post,0,2,6,10,14,10,0->2|1->3|2->4|3->4|4->4,clear,True,bell hum,9.452057,0.518206
170,10,session-002,orchid_engine,Eli,orchid_bay,1,4,12,4,11,7,1->4|2->5|3->6|4->6|5->6,clear,True,orchid steam,11.786814,0.543984
171,10,session-002,moss_ward,Ari,rain_gate,2,6,2,8,2,0,2->6|3->7|4->8,wet edge reroute,True,wet moss,7.1662,0.500762
172,10,session-002,glass_harbor,Oren,net_room,3,8,7,5,7,3,3->8|4->9|5->10|6->10|7->10,clear,True,salt fiber,8.288014,0.51654
173,10,session-002,cinder_garden,Vale,shade_tent,4,10,10,6,10,6,4->10|5->11|6->12|7->12|8->12,clear,True,dry shade,10.8413,0.540317
174,10,session-002,lichen_bridge,Sol,rope_bridge,5,1,1,7,10,6,5->1|6->2|7->3|8->3|9->3,clear,True,damp rope,9.5123,0.532095
175,10,session-002,orchid_engine,Bea,gear_wash,6,3,8,8,7,3,6->3|7->4|8->5|9->5|10->5,clear,True,gear oil,11.850814,0.557873
176,10,session-002,moss_ward,Fay,root_alcove,7,5,9,2,5,1,7->5|8->6|9->7|10->7|11->7,clear,True,root ink,7.2122,0.514651
177,10,session-002,glass_harbor,Puck,lamp_pier,8,7,3,9,7,3,8->7|9->8|10->9|11->9|12->9,clear,True,lamp oil,8.343014,0.530429
178,10,session-002,cinder_garden,Wren,ash_path,9,9,5,9,4,0,9->9|10->10|11->11|12->11|13->11,clear,True,cool ash,10.9233,0.554206
179,10,session-002,lichen_bridge,Kio,meal_room,10,0,9,5,6,2,10->0|11->1|12->2|13->2|14->2,clear,True,lichen soup,9.5791,0.545984
180,11,session-002,moss_ward,Ari,blanket_room,7,0,6,4,5,1,7->0|8->1|9->2|10->2|11->2,clear,True,warm wool,7.25635,0.526238
