tick_id,day,settlement_id,snapshot_key,reload_index,absence_negotiation_count,mediation_count,default_count,forgiveness_count,avatar_choice_count,checksum,restored_negotiations_visible,restored_mediation_visible,restored_defaults_visible,restored_forgiveness_visible,restored_choices_visible,replay_exportable
251,14,roofward,ssrm.v47.snapshot.roofward.14.17,9,42,21,21,13,29,v47-160200,True,True,True,True,True,True
252,15,signal,ssrm.v47.snapshot.signal.15.0,5,43,22,26,18,29,v47-015039,True,True,True,True,True,True
259,15,orchard,ssrm.v47.snapshot.orchard.15.7,8,44,21,29,13,32,v47-068755,True,True,True,True,True,True
269,15,archive,ssrm.v47.snapshot.archive.15.17,6,45,21,31,19,35,v47-095196,True,True,True,True,True,True
270,16,orchard,ssrm.v47.snapshot.orchard.16.0,9,46,22,29,14,34,v47-069338,True,True,True,True,True,True
287,16,signal,ssrm.v47.snapshot.signal.16.17,6,48,24,30,19,33,v47-044831,True,True,True,True,True,True
288,17,repair_ring,ssrm.v47.snapshot.repair_ring.17.0,5,49,25,27,26,38,v47-299745,True,True,True,True,True,True
296,17,roofward,ssrm.v47.snapshot.roofward.17.8,10,50,26,29,17,35,v47-164449,True,True,True,True,True,True
305,17,orchard,ssrm.v47.snapshot.orchard.17.17,10,51,24,32,17,38,v47-120988,True,True,True,True,True,True
306,18,riverbend,ssrm.v47.snapshot.riverbend.18.0,6,52,25,34,20,36,v47-182270,True,True,True,True,True,True
323,18,repair_ring,ssrm.v47.snapshot.repair_ring.18.17,6,54,27,32,27,41,v47-325076,True,True,True,True,True,True
324,19,roofward,ssrm.v47.snapshot.roofward.19.0,11,55,28,34,20,39,v47-162356,True,True,True,True,True,True
333,19,orchard,ssrm.v47.snapshot.orchard.19.9,11,56,27,37,19,42,v47-102440,True,True,True,True,True,True
341,19,riverbend,ssrm.v47.snapshot.riverbend.19.17,7,57,27,38,21,40,v47-217004,True,True,True,True,True,True
342,20,archive,ssrm.v47.snapshot.archive.20.0,7,58,28,40,26,45,v47-068953,True,True,True,True,True,True
359,20,roofward,ssrm.v47.snapshot.roofward.20.17,12,60,30,38,22,43,v47-183496,True,True,True,True,True,True
360,21,signal,ssrm.v47.snapshot.signal.21.0,7,61,31,43,23,43,v47-009745,True,True,True,True,True,True
370,21,roofward,ssrm.v47.snapshot.roofward.21.10,13,62,32,40,24,45,v47-181431,True,True,True,True,True,True
377,21,archive,ssrm.v47.snapshot.archive.21.17,8,63,30,45,27,48,v47-098937,True,True,True,True,True,True
378,22,orchard,ssrm.v47.snapshot.orchard.22.0,12,64,31,45,23,48,v47-092080,True,True,True,True,True,True
395,22,signal,ssrm.v47.snapshot.signal.22.17,8,66,33,48,25,47,v47-050149,True,True,True,True,True,True
396,23,repair_ring,ssrm.v47.snapshot.repair_ring.23.0,7,67,34,41,31,48,v47-295496,True,True,True,True,True,True
407,23,orchard,ssrm.v47.snapshot.orchard.23.11,13,68,33,48,25,51,v47-122580,True,True,True,True,True,True
413,23,orchard,ssrm.v47.snapshot.orchard.23.17,14,69,33,49,25,52,v47-127799,True,True,True,True,True,True
414,24,riverbend,ssrm.v47.snapshot.riverbend.24.0,8,70,34,45,24,50,v47-182802,True,True,True,True,True,True
431,24,repair_ring,ssrm.v47.snapshot.repair_ring.24.17,8,72,36,45,32,52,v47-325626,True,True,True,True,True,True
432,25,roofward,ssrm.v47.snapshot.roofward.25.0,14,73,37,51,29,53,v47-164486,True,True,True,True,True,True
444,25,roofward,ssrm.v47.snapshot.roofward.25.12,15,75,39,53,31,55,v47-192962,True,True,True,True,True,True
449,25,riverbend,ssrm.v47.snapshot.riverbend.25.17,9,75,36,50,26,54,v47-218659,True,True,True,True,True,True
450,26,archive,ssrm.v47.snapshot.archive.26.0,9,76,37,58,30,55,v47-075706,True,True,True,True,True,True
467,26,roofward,ssrm.v47.snapshot.roofward.26.17,16,78,39,56,32,57,v47-201371,True,True,True,True,True,True
468,27,signal,ssrm.v47.snapshot.signal.27.0,9,79,40,56,32,57,v47-023322,True,True,True,True,True,True
481,27,orchard,ssrm.v47.snapshot.orchard.27.13,15,81,39,55,31,61,v47-125132,True,True,True,True,True,True
485,27,archive,ssrm.v47.snapshot.archive.27.17,10,81,39,62,31,59,v47-126844,True,True,True,True,True,True
486,28,orchard,ssrm.v47.snapshot.orchard.28.0,16,82,40,56,32,62,v47-096161,True,True,True,True,True,True
503,28,signal,ssrm.v47.snapshot.signal.28.17,10,84,42,59,34,61,v47-074312,True,True,True,True,True,True
504,29,repair_ring,ssrm.v47.snapshot.repair_ring.29.0,9,85,43,58,36,62,v47-304429,True,True,True,True,True,True
518,29,roofward,ssrm.v47.snapshot.roofward.29.14,17,87,45,61,37,64,v47-199768,True,True,True,True,True,True
521,29,orchard,ssrm.v47.snapshot.orchard.29.17,17,87,42,61,33,65,v47-130876,True,True,True,True,True,True
522,30,riverbend,ssrm.v47.snapshot.riverbend.30.0,10,88,43,63,32,64,v47-210356,True,True,True,True,True,True
539,30,repair_ring,ssrm.v47.snapshot.repair_ring.30.17,10,90,45,63,38,66,v47-352348,True,True,True,True,True,True
540,31,roofward,ssrm.v47.snapshot.roofward.31.0,18,91,46,65,39,67,v47-170878,True,True,True,True,True,True
555,31,orchard,ssrm.v47.snapshot.orchard.31.15,18,93,45,67,34,69,v47-132620,True,True,True,True,True,True
557,31,riverbend,ssrm.v47.snapshot.riverbend.31.17,11,93,45,67,35,68,v47-246334,True,True,True,True,True,True
558,32,archive,ssrm.v47.snapshot.archive.32.0,11,94,46,75,34,69,v47-100598,True,True,True,True,True,True
575,32,roofward,ssrm.v47.snapshot.roofward.32.17,19,96,48,70,40,70,v47-196037,True,True,True,True,True,True
576,33,signal,ssrm.v47.snapshot.signal.33.0,11,97,49,72,41,71,v47-045433,True,True,True,True,True,True
592,33,roofward,ssrm.v47.snapshot.roofward.33.16,20,99,51,73,42,71,v47-193461,True,True,True,True,True,True
593,33,archive,ssrm.v47.snapshot.archive.33.17,12,99,48,80,36,73,v47-131571,True,True,True,True,True,True
594,34,orchard,ssrm.v47.snapshot.orchard.34.0,19,100,49,70,36,72,v47-122596,True,True,True,True,True,True
611,34,signal,ssrm.v47.snapshot.signal.34.17,12,102,51,76,44,75,v47-097628,True,True,True,True,True,True
612,35,repair_ring,ssrm.v47.snapshot.repair_ring.35.0,11,103,52,72,45,76,v47-347066,True,True,True,True,True,True
629,35,orchard,ssrm.v47.snapshot.orchard.35.17,20,105,51,74,37,76,v47-152713,True,True,True,True,True,True
630,36,riverbend,ssrm.v47.snapshot.riverbend.36.0,12,106,52,80,41,78,v47-237875,True,True,True,True,True,True
647,36,repair_ring,ssrm.v47.snapshot.repair_ring.36.17,12,108,54,77,47,80,v47-383120,True,True,True,True,True,True
648,37,roofward,ssrm.v47.snapshot.roofward.37.0,21,109,55,83,44,77,v47-195159,True,True,True,True,True,True
665,37,riverbend,ssrm.v47.snapshot.riverbend.37.17,13,111,54,85,43,82,v47-269052,True,True,True,True,True,True
666,38,archive,ssrm.v47.snapshot.archive.38.0,13,112,55,88,42,83,v47-125318,True,True,True,True,True,True
683,38,roofward,ssrm.v47.snapshot.roofward.38.17,22,114,57,87,45,81,v47-225222,True,True,True,True,True,True
684,39,signal,ssrm.v47.snapshot.signal.39.0,13,115,58,83,51,85,v47-074923,True,True,True,True,True,True
701,39,archive,ssrm.v47.snapshot.archive.39.17,14,117,57,91,45,87,v47-160637,True,True,True,True,True,True
702,40,orchard,ssrm.v47.snapshot.orchard.40.0,21,118,58,87,40,86,v47-126375,True,True,True,True,True,True
703,40,repair_ring,ssrm.v47.snapshot.repair_ring.40.1,13,118,60,87,52,88,v47-352940,True,True,True,True,True,True
719,40,signal,ssrm.v47.snapshot.signal.40.17,14,120,60,88,52,88,v47-100320,True,True,True,True,True,True
720,41,repair_ring,ssrm.v47.snapshot.repair_ring.41.0,14,121,61,88,54,90,v47-348651,True,True,True,True,True,True
737,41,orchard,ssrm.v47.snapshot.orchard.41.17,22,123,60,92,42,90,v47-147917,True,True,True,True,True,True
738,42,riverbend,ssrm.v47.snapshot.riverbend.42.0,14,124,61,94,50,92,v47-237868,True,True,True,True,True,True
740,42,archive,ssrm.v47.snapshot.archive.42.2,15,124,61,98,48,93,v47-129067,True,True,True,True,True,True
755,42,repair_ring,ssrm.v47.snapshot.repair_ring.42.17,15,126,63,91,57,94,v47-384233,True,True,True,True,True,True
756,43,roofward,ssrm.v47.snapshot.roofward.43.0,23,127,64,100,49,91,v47-215798,True,True,True,True,True,True
773,43,riverbend,ssrm.v47.snapshot.riverbend.43.17,15,129,63,99,51,95,v47-277569,True,True,True,True,True,True
774,44,archive,ssrm.v47.snapshot.archive.44.0,16,130,64,104,51,97,v47-148071,True,True,True,True,True,True
777,44,repair_ring,ssrm.v47.snapshot.repair_ring.44.3,16,130,66,95,60,97,v47-356572,True,True,True,True,True,True
791,44,roofward,ssrm.v47.snapshot.roofward.44.17,24,132,66,105,51,95,v47-246998,True,True,True,True,True,True
792,45,signal,ssrm.v47.snapshot.signal.45.0,15,133,67,97,56,95,v47-080253,True,True,True,True,True,True
809,45,archive,ssrm.v47.snapshot.archive.45.17,17,135,66,108,53,101,v47-204512,True,True,True,True,True,True
810,46,orchard,ssrm.v47.snapshot.orchard.46.0,23,136,67,101,48,100,v47-172714,True,True,True,True,True,True
814,46,archive,ssrm.v47.snapshot.archive.46.4,18,136,67,108,54,102,v47-179606,True,True,True,True,True,True
827,46,signal,ssrm.v47.snapshot.signal.46.17,16,138,69,101,57,99,v47-136117,True,True,True,True,True,True
828,47,repair_ring,ssrm.v47.snapshot.repair_ring.47.0,17,139,70,104,64,104,v47-402789,True,True,True,True,True,True
845,47,orchard,ssrm.v47.snapshot.orchard.47.17,24,141,69,106,51,104,v47-204437,True,True,True,True,True,True
846,48,riverbend,ssrm.v47.snapshot.riverbend.48.0,16,142,70,112,54,102,v47-287061,True,True,True,True,True,True
851,48,repair_ring,ssrm.v47.snapshot.repair_ring.48.5,18,142,72,107,65,106,v47-407557,True,True,True,True,True,True
863,48,repair_ring,ssrm.v47.snapshot.repair_ring.48.17,19,144,72,109,65,107,v47-438509,True,True,True,True,True,True
864,49,roofward,ssrm.v47.snapshot.roofward.49.0,25,145,73,113,58,105,v47-245885,True,True,True,True,True,True
881,49,riverbend,ssrm.v47.snapshot.riverbend.49.17,17,147,72,116,55,106,v47-326866,True,True,True,True,True,True
882,50,archive,ssrm.v47.snapshot.archive.50.0,19,148,73,115,60,111,v47-172804,True,True,True,True,True,True
888,50,archive,ssrm.v47.snapshot.archive.50.6,20,149,74,116,61,112,v47-174399,True,True,True,True,True,True
899,50,roofward,ssrm.v47.snapshot.roofward.50.17,26,150,75,116,60,109,v47-271428,True,True,True,True,True,True
900,51,signal,ssrm.v47.snapshot.signal.51.0,17,151,76,114,61,109,v47-121914,True,True,True,True,True,True
917,51,archive,ssrm.v47.snapshot.archive.51.17,21,153,75,120,61,114,v47-198782,True,True,True,True,True,True
918,52,orchard,ssrm.v47.snapshot.orchard.52.0,25,154,76,117,57,114,v47-178609,True,True,True,True,True,True
925,52,repair_ring,ssrm.v47.snapshot.repair_ring.52.7,20,155,78,117,68,113,v47-408694,True,True,True,True,True,True
935,52,signal,ssrm.v47.snapshot.signal.52.17,18,156,78,119,63,113,v47-157733,True,True,True,True,True,True
936,53,repair_ring,ssrm.v47.snapshot.repair_ring.53.0,21,157,79,119,69,114,v47-409827,True,True,True,True,True,True
953,53,orchard,ssrm.v47.snapshot.orchard.53.17,26,159,78,120,59,118,v47-213500,True,True,True,True,True,True
954,54,riverbend,ssrm.v47.snapshot.riverbend.54.0,18,160,79,129,58,116,v47-300418,True,True,True,True,True,True
962,54,archive,ssrm.v47.snapshot.archive.54.8,22,161,80,128,63,119,v47-180231,True,True,True,True,True,True
971,54,repair_ring,ssrm.v47.snapshot.repair_ring.54.17,22,162,81,124,70,118,v47-431115,True,True,True,True,True,True
972,55,roofward,ssrm.v47.snapshot.roofward.55.0,27,163,82,129,67,119,v47-251791,True,True,True,True,True,True
989,55,riverbend,ssrm.v47.snapshot.riverbend.55.17,19,165,81,134,60,120,v47-322040,True,True,True,True,True,True
990,56,archive,ssrm.v47.snapshot.archive.56.0,23,166,82,129,64,121,v47-178617,True,True,True,True,True,True
999,56,repair_ring,ssrm.v47.snapshot.repair_ring.56.9,23,167,84,129,72,122,v47-412285,True,True,True,True,True,True
1007,56,roofward,ssrm.v47.snapshot.roofward.56.17,28,168,84,133,70,123,v47-278138,True,True,True,True,True,True
1008,57,signal,ssrm.v47.snapshot.signal.57.0,19,169,85,128,70,123,v47-131239,True,True,True,True,True,True
1025,57,archive,ssrm.v47.snapshot.archive.57.17,24,171,84,133,65,125,v47-208776,True,True,True,True,True,True
1026,58,orchard,ssrm.v47.snapshot.orchard.58.0,27,172,85,133,66,128,v47-184360,True,True,True,True,True,True
1036,58,archive,ssrm.v47.snapshot.archive.58.10,25,173,86,135,66,126,v47-210430,True,True,True,True,True,True
1043,58,signal,ssrm.v47.snapshot.signal.58.17,20,174,87,133,72,127,v47-157735,True,True,True,True,True,True
1044,59,repair_ring,ssrm.v47.snapshot.repair_ring.59.0,24,175,88,137,74,128,v47-415064,True,True,True,True,True,True
1061,59,orchard,ssrm.v47.snapshot.orchard.59.17,28,177,87,138,67,131,v47-219183,True,True,True,True,True,True
1062,60,riverbend,ssrm.v47.snapshot.riverbend.60.0,20,178,88,142,66,130,v47-294577,True,True,True,True,True,True
1073,60,repair_ring,ssrm.v47.snapshot.repair_ring.60.11,25,179,90,139,75,131,v47-435423,True,True,True,True,True,True
1079,60,repair_ring,ssrm.v47.snapshot.repair_ring.60.17,26,180,90,139,76,132,v47-435929,True,True,True,True,True,True
1080,61,roofward,ssrm.v47.snapshot.roofward.61.0,29,181,91,140,77,133,v47-245931,True,True,True,True,True,True
1097,61,riverbend,ssrm.v47.snapshot.riverbend.61.17,21,183,90,145,69,134,v47-325427,True,True,True,True,True,True
1098,62,archive,ssrm.v47.snapshot.archive.62.0,26,184,91,146,68,135,v47-182920,True,True,True,True,True,True
1110,62,archive,ssrm.v47.snapshot.archive.62.12,27,186,93,148,69,137,v47-215783,True,True,True,True,True,True
1115,62,roofward,ssrm.v47.snapshot.roofward.62.17,30,186,93,145,78,136,v47-280976,True,True,True,True,True,True
1116,63,signal,ssrm.v47.snapshot.signal.63.0,21,187,94,144,79,137,v47-132478,True,True,True,True,True,True
1133,63,archive,ssrm.v47.snapshot.archive.63.17,28,189,93,151,70,139,v47-214588,True,True,True,True,True,True
1134,64,orchard,ssrm.v47.snapshot.orchard.64.0,29,190,94,148,70,138,v47-184902,True,True,True,True,True,True
1147,64,repair_ring,ssrm.v47.snapshot.repair_ring.64.13,27,192,96,147,82,141,v47-439064,True,True,True,True,True,True
1151,64,signal,ssrm.v47.snapshot.signal.64.17,22,192,96,147,82,141,v47-158262,True,True,True,True,True,True
1152,65,repair_ring,ssrm.v47.snapshot.repair_ring.65.0,28,193,97,148,83,142,v47-414497,True,True,True,True,True,True
1169,65,orchard,ssrm.v47.snapshot.orchard.65.17,30,195,96,153,71,142,v47-210789,True,True,True,True,True,True
1170,66,riverbend,ssrm.v47.snapshot.riverbend.66.0,22,196,97,158,75,144,v47-305148,True,True,True,True,True,True
1184,66,archive,ssrm.v47.snapshot.archive.66.14,29,198,99,156,75,146,v47-222523,True,True,True,True,True,True
1187,66,repair_ring,ssrm.v47.snapshot.repair_ring.66.17,29,198,99,153,85,146,v47-450733,True,True,True,True,True,True
1188,67,roofward,ssrm.v47.snapshot.roofward.67.0,31,199,100,154,82,143,v47-272444,True,True,True,True,True,True
1205,67,riverbend,ssrm.v47.snapshot.riverbend.67.17,23,201,99,162,77,148,v47-331238,True,True,True,True,True,True
1206,68,archive,ssrm.v47.snapshot.archive.68.0,30,202,100,160,76,149,v47-199979,True,True,True,True,True,True
1221,68,repair_ring,ssrm.v47.snapshot.repair_ring.68.15,30,204,102,158,89,151,v47-461109,True,True,True,True,True,True
1223,68,roofward,ssrm.v47.snapshot.roofward.68.17,32,204,102,158,83,147,v47-302788,True,True,True,True,True,True
1224,69,signal,ssrm.v47.snapshot.signal.69.0,23,205,103,160,89,151,v47-150432,True,True,True,True,True,True
1241,69,archive,ssrm.v47.snapshot.archive.69.17,31,207,102,165,79,153,v47-236444,True,True,True,True,True,True
1242,70,orchard,ssrm.v47.snapshot.orchard.70.0,31,208,103,166,74,152,v47-200955,True,True,True,True,True,True
1258,70,archive,ssrm.v47.snapshot.archive.70.16,32,210,105,168,80,155,v47-229152,True,True,True,True,True,True
1259,70,signal,ssrm.v47.snapshot.signal.70.17,24,210,105,165,90,154,v47-175917,True,True,True,True,True,True
1260,71,repair_ring,ssrm.v47.snapshot.repair_ring.71.0,31,211,106,160,92,156,v47-425954,True,True,True,True,True,True
1277,71,orchard,ssrm.v47.snapshot.orchard.71.17,32,213,105,168,76,156,v47-235428,True,True,True,True,True,True
1278,72,riverbend,ssrm.v47.snapshot.riverbend.72.0,24,214,106,169,84,158,v47-325019,True,True,True,True,True,True
1295,72,repair_ring,ssrm.v47.snapshot.repair_ring.72.17,32,216,108,163,95,160,v47-461620,True,True,True,True,True,True
1296,73,roofward,ssrm.v47.snapshot.roofward.73.0,33,217,109,171,87,157,v47-276823,True,True,True,True,True,True
1313,73,riverbend,ssrm.v47.snapshot.riverbend.73.17,25,219,108,174,85,161,v47-355206,True,True,True,True,True,True
1314,74,archive,ssrm.v47.snapshot.archive.74.0,33,220,109,176,85,163,v47-206307,True,True,True,True,True,True
1331,74,roofward,ssrm.v47.snapshot.roofward.74.17,34,222,111,176,89,161,v47-303334,True,True,True,True,True,True
1332,75,signal,ssrm.v47.snapshot.signal.75.0,25,223,112,175,94,161,v47-151509,True,True,True,True,True,True
1349,75,archive,ssrm.v47.snapshot.archive.75.17,34,225,111,179,87,167,v47-241284,True,True,True,True,True,True
1350,76,orchard,ssrm.v47.snapshot.orchard.76.0,33,226,112,177,82,166,v47-208303,True,True,True,True,True,True
1367,76,signal,ssrm.v47.snapshot.signal.76.17,26,228,114,180,95,165,v47-186909,True,True,True,True,True,True
1368,77,repair_ring,ssrm.v47.snapshot.repair_ring.77.0,33,229,115,176,102,170,v47-458350,True,True,True,True,True,True
1369,77,riverbend,ssrm.v47.snapshot.riverbend.77.1,26,229,114,182,88,166,v47-330725,True,True,True,True,True,True
1385,77,orchard,ssrm.v47.snapshot.orchard.77.17,34,231,114,182,85,170,v47-235260,True,True,True,True,True,True
1386,78,riverbend,ssrm.v47.snapshot.riverbend.78.0,27,232,115,183,88,168,v47-330234,True,True,True,True,True,True
1403,78,repair_ring,ssrm.v47.snapshot.repair_ring.78.17,34,234,117,181,103,173,v47-488825,True,True,True,True,True,True
1404,79,roofward,ssrm.v47.snapshot.roofward.79.0,35,235,118,185,96,171,v47-281459,True,True,True,True,True,True
1406,79,signal,ssrm.v47.snapshot.signal.79.2,27,235,118,187,97,171,v47-164096,True,True,True,True,True,True
1421,79,riverbend,ssrm.v47.snapshot.riverbend.79.17,28,237,117,187,89,172,v47-365248,True,True,True,True,True,True
1422,80,archive,ssrm.v47.snapshot.archive.80.0,35,238,118,192,94,177,v47-212142,True,True,True,True,True,True
1439,80,roofward,ssrm.v47.snapshot.roofward.80.17,36,240,120,190,98,175,v47-303391,True,True,True,True,True,True
1440,81,signal,ssrm.v47.snapshot.signal.81.0,28,241,121,193,99,175,v47-156877,True,True,True,True,True,True
1443,81,riverbend,ssrm.v47.snapshot.riverbend.81.3,29,241,120,191,90,175,v47-322232,True,True,True,True,True,True
1457,81,archive,ssrm.v47.snapshot.archive.81.17,36,243,120,197,95,180,v47-237536,True,True,True,True,True,True
1458,82,orchard,ssrm.v47.snapshot.orchard.82.0,35,244,121,189,91,180,v47-207230,True,True,True,True,True,True
1475,82,signal,ssrm.v47.snapshot.signal.82.17,29,246,123,195,101,179,v47-212423,True,True,True,True,True,True
1476,83,repair_ring,ssrm.v47.snapshot.repair_ring.83.0,35,247,124,190,107,180,v47-458934,True,True,True,True,True,True
1480,83,signal,ssrm.v47.snapshot.signal.83.4,30,247,124,195,102,179,v47-182246,True,True,True,True,True,True
1493,83,orchard,ssrm.v47.snapshot.orchard.83.17,36,249,123,192,93,184,v47-242173,True,True,True,True,True,True
1494,84,riverbend,ssrm.v47.snapshot.riverbend.84.0,30,250,124,200,92,182,v47-315360,True,True,True,True,True,True
1511,84,repair_ring,ssrm.v47.snapshot.repair_ring.84.17,36,252,126,195,108,184,v47-494792,True,True,True,True,True,True
1512,85,roofward,ssrm.v47.snapshot.roofward.85.0,37,253,127,201,105,185,v47-299051,True,True,True,True,True,True
1517,85,riverbend,ssrm.v47.snapshot.riverbend.85.5,31,253,126,203,93,184,v47-324853,True,True,True,True,True,True
1529,85,riverbend,ssrm.v47.snapshot.riverbend.85.17,32,255,126,205,94,186,v47-356824,True,True,True,True,True,True
1530,86,archive,ssrm.v47.snapshot.archive.86.0,37,256,127,207,98,187,v47-217358,True,True,True,True,True,True
1547,86,roofward,ssrm.v47.snapshot.roofward.86.17,38,258,129,204,108,189,v47-339452,True,True,True,True,True,True
1548,87,signal,ssrm.v47.snapshot.signal.87.0,31,259,130,204,108,189,v47-181719,True,True,True,True,True,True
1554,87,signal,ssrm.v47.snapshot.signal.87.6,32,260,131,205,108,190,v47-177894,True,True,True,True,True,True
1565,87,archive,ssrm.v47.snapshot.archive.87.17,38,261,129,212,99,191,v47-243260,True,True,True,True,True,True
1566,88,orchard,ssrm.v47.snapshot.orchard.88.0,37,262,130,205,100,194,v47-229421,True,True,True,True,True,True
1583,88,signal,ssrm.v47.snapshot.signal.88.17,33,264,132,209,110,193,v47-208619,True,True,True,True,True,True
1584,89,repair_ring,ssrm.v47.snapshot.repair_ring.89.0,37,265,133,203,112,194,v47-460978,True,True,True,True,True,True
1591,89,riverbend,ssrm.v47.snapshot.riverbend.89.7,33,266,132,212,99,194,v47-333276,True,True,True,True,True,True
1601,89,orchard,ssrm.v47.snapshot.orchard.89.17,38,267,132,210,101,197,v47-264393,True,True,True,True,True,True
1602,90,riverbend,ssrm.v47.snapshot.riverbend.90.0,34,268,133,214,100,196,v47-346760,True,True,True,True,True,True
1619,90,repair_ring,ssrm.v47.snapshot.repair_ring.90.17,38,270,135,206,114,198,v47-491629,True,True,True,True,True,True
1620,91,roofward,ssrm.v47.snapshot.roofward.91.0,39,271,136,217,115,199,v47-305511,True,True,True,True,True,True
1628,91,signal,ssrm.v47.snapshot.signal.91.8,34,272,137,215,115,200,v47-177277,True,True,True,True,True,True
1637,91,riverbend,ssrm.v47.snapshot.riverbend.91.17,35,273,135,219,103,200,v47-373796,True,True,True,True,True,True
1638,92,archive,ssrm.v47.snapshot.archive.92.0,39,274,136,225,102,201,v47-228378,True,True,True,True,True,True
1655,92,roofward,ssrm.v47.snapshot.roofward.92.17,40,276,138,222,116,202,v47-326122,True,True,True,True,True,True
1656,93,signal,ssrm.v47.snapshot.signal.93.0,35,277,139,216,117,203,v47-181583,True,True,True,True,True,True
1665,93,riverbend,ssrm.v47.snapshot.riverbend.93.9,36,278,138,224,105,204,v47-355011,True,True,True,True,True,True
1673,93,archive,ssrm.v47.snapshot.archive.93.17,40,279,138,227,104,205,v47-262941,True,True,True,True,True,True
1674,94,orchard,ssrm.v47.snapshot.orchard.94.0,39,280,139,219,104,204,v47-234155,True,True,True,True,True,True
1691,94,signal,ssrm.v47.snapshot.signal.94.17,36,282,141,219,120,207,v47-207546,True,True,True,True,True,True
1692,95,repair_ring,ssrm.v47.snapshot.repair_ring.95.0,39,283,142,219,121,208,v47-462046,True,True,True,True,True,True
