tick,day,scene_id,moving_entity,target_x,target_y,collision_kind,collision_detected,avoidance_vector_x,avoidance_vector_y,collision_resolved,personal_space_preserved
21,2,v20-scene-d02,avatar,5.266283,3.264982,avatar_overlap,0,0.0,0.0,1,1
22,2,v20-scene-d02,avatar,5.771157,2.98774,none,0,0.0,0.0,1,1
23,2,v20-scene-d02,avatar,6.080205,2.985578,avatar_overlap,0,0.0,0.0,1,1
24,2,v20-scene-d02,avatar,6.639931,3.069008,agent_space,0,0.0,0.0,1,1
25,2,v20-scene-d02,avatar,7.173516,3.239719,avatar_overlap,1,0.202487,-0.015274,1,1
26,2,v20-scene-d02,avatar,7.405119,3.289996,object_path,1,0.177291,-0.021381,1,1
27,2,v20-scene-d02,avatar,7.784186,3.603485,agent_space,1,0.094276,-0.059282,1,1
28,3,v20-scene-d03,avatar,7.929366,3.988673,wall,1,0.091177,-0.068264,1,1
29,3,v20-scene-d03,avatar,8.01795,4.353537,avatar_overlap,1,0.130454,-0.062675,1,1
30,3,v20-scene-d03,avatar,7.988082,4.694575,object_path,0,0.0,0.0,1,1
31,3,v20-scene-d03,avatar,7.617118,4.990159,wall,1,0.217262,-0.051818,1,1
32,3,v20-scene-d03,avatar,7.410158,5.025533,table_edge,0,0.0,0.0,1,1
33,3,v20-scene-d03,avatar,7.156302,5.194173,wall,0,0.0,0.0,1,1
34,3,v20-scene-d03,avatar,6.644598,5.297852,table_edge,0,0.0,0.0,1,1
35,3,v20-scene-d03,avatar,6.380328,5.345456,object_path,0,0.0,0.0,1,1
36,3,v20-scene-d03,avatar,6.142202,5.150755,object_path,1,0.399982,0.248498,1,1
37,3,v20-scene-d03,avatar,5.70086,5.12957,none,0,0.0,0.0,1,1
38,3,v20-scene-d03,avatar,5.538873,5.096796,none,0,0.0,0.0,1,1
39,3,v20-scene-d03,avatar,5.412162,5.063797,avatar_overlap,0,0.0,0.0,1,1
40,3,v20-scene-d03,avatar,5.072524,4.836633,agent_space,0,0.0,0.0,1,1
41,3,v20-scene-d03,avatar,4.990772,4.815365,object_path,0,0.0,0.0,1,1
42,4,v20-scene-d04,avatar,4.699765,4.663278,table_edge,0,0.0,0.0,1,1
43,4,v20-scene-d04,avatar,4.641831,4.626946,object_path,0,0.0,0.0,1,1
44,4,v20-scene-d04,avatar,4.600076,4.566943,avatar_overlap,0,0.0,0.0,1,1
45,4,v20-scene-d04,avatar,4.347294,4.475256,object_path,1,-0.647581,-0.138658,1,1
46,4,v20-scene-d04,avatar,4.380539,4.148771,agent_space,0,0.0,0.0,1,1
47,4,v20-scene-d04,avatar,4.478224,3.990904,object_path,0,0.0,0.0,1,1
48,4,v20-scene-d04,avatar,4.416622,3.812115,table_edge,0,0.0,0.0,1,1
49,4,v20-scene-d04,avatar,4.686367,3.629182,table_edge,0,0.0,0.0,1,1
50,4,v20-scene-d04,avatar,5.049565,3.263302,object_path,0,0.0,0.0,1,1
51,4,v20-scene-d04,avatar,5.258031,3.137309,none,0,0.0,0.0,1,1
52,4,v20-scene-d04,avatar,5.773033,3.072431,object_path,0,0.0,0.0,1,1
53,4,v20-scene-d04,avatar,6.326616,3.085105,table_edge,0,0.0,0.0,1,1
54,4,v20-scene-d04,avatar,6.644391,2.984357,wall,1,0.265278,-0.082029,1,1
55,4,v20-scene-d04,avatar,7.169384,3.170192,agent_space,1,0.146806,-0.042749,1,1
56,5,v20-scene-d05,avatar,7.595609,3.440299,table_edge,1,0.116594,-0.035433,1,1
57,5,v20-scene-d05,avatar,7.908742,3.780771,avatar_overlap,1,0.120389,-0.021955,0,0
58,5,v20-scene-d05,avatar,8.100091,4.145844,table_edge,1,0.134576,-0.065637,1,1
59,5,v20-scene-d05,avatar,7.926569,4.508259,none,0,0.0,0.0,1,1
60,5,v20-scene-d05,avatar,7.876998,4.642556,object_path,0,0.0,0.0,1,1
61,5,v20-scene-d05,avatar,7.730369,4.928187,agent_space,0,0.0,0.0,1,1
62,5,v20-scene-d05,avatar,7.272793,5.15181,wall,0,0.0,0.0,1,1
63,5,v20-scene-d05,avatar,7.013656,5.308424,none,0,0.0,0.0,1,1
64,5,v20-scene-d05,avatar,6.741585,5.201204,agent_space,0,0.0,0.0,1,1
65,5,v20-scene-d05,avatar,6.240853,5.240096,object_path,0,0.0,0.0,1,1
66,5,v20-scene-d05,avatar,6.008792,5.239462,wall,0,0.0,0.0,1,1
67,5,v20-scene-d05,avatar,5.814547,5.21517,object_path,0,0.0,0.0,1,1
68,5,v20-scene-d05,avatar,5.419353,4.981654,none,0,0.0,0.0,1,1
69,5,v20-scene-d05,avatar,5.29818,4.949429,wall,0,0.0,0.0,1,1
70,6,v20-scene-d06,avatar,4.974785,4.79381,agent_space,0,0.0,0.0,1,1
71,6,v20-scene-d06,avatar,4.900077,4.77378,avatar_overlap,0,0.0,0.0,1,1
72,6,v20-scene-d06,avatar,4.83419,4.749062,object_path,1,-0.599639,0.232779,1,1
73,6,v20-scene-d06,avatar,4.538477,4.709215,agent_space,0,0.0,0.0,1,1
74,6,v20-scene-d06,avatar,4.500827,4.443999,avatar_overlap,0,0.0,0.0,1,1
75,6,v20-scene-d06,avatar,4.494973,4.346119,none,0,0.0,0.0,1,1
76,6,v20-scene-d06,avatar,4.298448,4.213542,wall,0,0.0,0.0,1,1
77,6,v20-scene-d06,avatar,4.409547,4.050947,agent_space,0,0.0,0.0,1,1
78,6,v20-scene-d06,avatar,4.60378,3.670019,agent_space,0,0.0,0.0,1,1
79,6,v20-scene-d06,avatar,4.650436,3.488499,table_edge,0,0.0,0.0,1,1
80,6,v20-scene-d06,avatar,5.02986,3.328103,avatar_overlap,0,0.0,0.0,1,1
81,6,v20-scene-d06,avatar,5.49195,3.211621,table_edge,1,0.23427,-0.190628,1,1
82,6,v20-scene-d06,avatar,5.776169,2.959644,avatar_overlap,0,0.0,0.0,1,1
83,6,v20-scene-d06,avatar,6.333169,2.987448,object_path,0,0.0,0.0,1,1
84,7,v20-scene-d07,avatar,6.915113,3.055029,object_path,1,0.200409,-0.05432,1,1
85,7,v20-scene-d07,avatar,7.403663,3.288453,object_path,1,0.19487,-0.016511,1,1
86,7,v20-scene-d07,avatar,7.805923,3.58946,wall,1,0.132641,-0.026483,1,1
87,7,v20-scene-d07,avatar,7.857962,3.936328,object_path,1,0.103148,0.007848,1,1
88,7,v20-scene-d07,avatar,8.026756,4.102925,table_edge,1,0.127987,-0.112803,1,1
89,7,v20-scene-d07,avatar,8.071418,4.462061,wall,1,0.144129,-0.038318,1,1
90,7,v20-scene-d07,avatar,7.762767,4.788948,table_edge,1,0.20393,-0.080471,1,1
91,7,v20-scene-d07,avatar,7.601324,5.064192,table_edge,0,0.0,0.0,1,1
92,7,v20-scene-d07,avatar,7.374089,5.075904,table_edge,0,0.0,0.0,1,1
93,7,v20-scene-d07,avatar,6.870603,5.220599,agent_space,0,0.0,0.0,1,1
94,7,v20-scene-d07,avatar,6.598955,5.302805,agent_space,0,0.0,0.0,1,1
95,7,v20-scene-d07,avatar,6.342325,5.333457,table_edge,0,0.0,0.0,1,1
96,7,v20-scene-d07,avatar,5.876622,5.127411,none,0,0.0,0.0,1,1
97,7,v20-scene-d07,avatar,5.689509,5.100484,object_path,0,0.0,0.0,1,1
98,8,v20-scene-d08,avatar,5.296218,4.932183,wall,0,0.0,0.0,1,1
99,8,v20-scene-d08,avatar,5.191277,4.903479,object_path,1,-0.281976,0.382706,1,1
100,8,v20-scene-d08,avatar,5.106218,4.881174,avatar_overlap,0,0.0,0.0,1,1
101,8,v20-scene-d08,avatar,4.793274,4.860992,none,0,0.0,0.0,1,1
102,8,v20-scene-d08,avatar,4.728926,4.634357,wall,0,0.0,0.0,1,1
103,8,v20-scene-d08,avatar,4.675689,4.590658,agent_space,0,0.0,0.0,1,1
104,8,v20-scene-d08,avatar,4.402595,4.519987,avatar_overlap,0,0.0,0.0,1,1
105,8,v20-scene-d08,avatar,4.404241,4.415845,none,0,0.0,0.0,1,1
106,8,v20-scene-d08,avatar,4.458545,4.077327,agent_space,0,0.0,0.0,1,1
107,8,v20-scene-d08,avatar,4.343568,3.910383,table_edge,0,0.0,0.0,1,1
108,8,v20-scene-d08,avatar,4.553944,3.727894,object_path,1,-0.14728,-0.343811,1,1
109,8,v20-scene-d08,avatar,4.857525,3.548495,avatar_overlap,0,0.0,0.0,1,1
110,8,v20-scene-d08,avatar,5.012851,3.194326,none,0,0.0,0.0,1,1
111,8,v20-scene-d08,avatar,5.487896,3.088026,table_edge,0,0.0,0.0,1,1
112,9,v20-scene-d09,avatar,6.057825,2.936158,agent_space,0,0.0,0.0,1,1
113,9,v20-scene-d09,avatar,6.617862,3.015488,table_edge,0,0.0,0.0,1,1
114,9,v20-scene-d09,avatar,7.153485,3.182229,wall,1,0.204641,-0.028119,0,0
115,9,v20-scene-d09,avatar,7.388713,3.429099,agent_space,1,0.179802,0.013974,1,1
116,9,v20-scene-d09,avatar,7.772654,3.540111,object_path,1,0.094702,-0.070312,1,1
117,9,v20-scene-d09,avatar,8.043175,3.892525,table_edge,1,0.15153,0.00325,1,1
118,9,v20-scene-d09,avatar,7.949388,4.259759,object_path,1,0.102869,-0.056976,1,1
119,9,v20-scene-d09,avatar,7.972588,4.614809,none,0,0.0,0.0,1,1
120,9,v20-scene-d09,avatar,7.885525,4.733654,none,0,0.0,0.0,1,1
121,9,v20-scene-d09,avatar,7.470151,4.998126,object_path,0,0.0,0.0,1,1
122,9,v20-scene-d09,avatar,7.23422,5.197814,wall,0,0.0,0.0,1,1
123,9,v20-scene-d09,avatar,6.967301,5.330742,object_path,0,0.0,0.0,1,1
124,9,v20-scene-d09,avatar,6.456828,5.202733,object_path,0,0.0,0.0,1,1
125,9,v20-scene-d09,avatar,6.204816,5.225633,agent_space,0,0.0,0.0,1,1
126,10,v20-scene-d10,avatar,5.713092,5.083252,agent_space,1,0.274793,0.281712,1,1
127,10,v20-scene-d10,avatar,5.549318,5.050729,table_edge,0,0.0,0.0,1,1
128,10,v20-scene-d10,avatar,5.421124,5.017562,table_edge,0,0.0,0.0,1,1
129,10,v20-scene-d10,avatar,5.080434,4.990076,table_edge,0,0.0,0.0,1,1
130,10,v20-scene-d10,avatar,4.998031,4.768616,wall,0,0.0,0.0,1,1
131,10,v20-scene-d10,avatar,4.926732,4.748,none,0,0.0,0.0,1,1
132,10,v20-scene-d10,avatar,4.624003,4.719099,table_edge,0,0.0,0.0,1,1
133,10,v20-scene-d10,avatar,4.573536,4.671223,avatar_overlap,0,0.0,0.0,1,1
134,10,v20-scene-d10,avatar,4.545472,4.394882,avatar_overlap,0,0.0,0.0,1,1
135,10,v20-scene-d10,avatar,4.315205,4.284444,none,0,0.0,0.0,1,1
136,10,v20-scene-d10,avatar,4.380931,4.140176,agent_space,0,0.0,0.0,1,1
137,10,v20-scene-d10,avatar,4.52036,3.969303,wall,0,0.0,0.0,1,1
138,10,v20-scene-d10,avatar,4.507137,3.585859,avatar_overlap,0,0.0,0.0,1,1
139,10,v20-scene-d10,avatar,4.8276,3.409303,avatar_overlap,0,0.0,0.0,1,1
140,11,v20-scene-d11,avatar,5.239193,3.094306,object_path,0,0.0,0.0,1,1
141,11,v20-scene-d11,avatar,5.751652,3.026166,none,0,0.0,0.0,1,1
142,11,v20-scene-d11,avatar,6.304164,3.034958,avatar_overlap,0,0.0,0.0,1,1
143,11,v20-scene-d11,avatar,6.62256,3.130101,table_edge,0,0.0,0.0,1,1
144,11,v20-scene-d11,avatar,7.149896,3.112037,agent_space,1,0.148786,-0.055064,1,1
145,11,v20-scene-d11,avatar,7.610796,3.371832,wall,0,0.0,0.0,1,1
146,11,v20-scene-d11,avatar,7.735698,3.692108,wall,1,0.099789,-0.017554,1,1
147,11,v20-scene-d11,avatar,7.984347,4.0492,table_edge,1,0.11256,-0.008718,1,1
148,11,v20-scene-d11,avatar,8.108022,4.216192,table_edge,1,0.154991,-0.101324,1,1
149,11,v20-scene-d11,avatar,7.870177,4.566374,table_edge,1,0.135284,-0.06779,1,1
150,11,v20-scene-d11,avatar,7.76542,4.876587,object_path,0,0.0,0.0,1,1
151,11,v20-scene-d11,avatar,7.577019,5.129948,none,0,0.0,0.0,1,1
152,11,v20-scene-d11,avatar,7.093357,5.117551,none,0,0.0,0.0,1,1
153,11,v20-scene-d11,avatar,6.823899,5.238902,agent_space,1,0.43088,0.034579,1,1
154,12,v20-scene-d12,avatar,6.256203,5.191614,table_edge,0,0.0,0.0,1,1
155,12,v20-scene-d12,avatar,6.022537,5.19247,none,0,0.0,0.0,1,1
156,12,v20-scene-d12,avatar,5.826445,5.168939,object_path,0,0.0,0.0,1,1
157,12,v20-scene-d12,avatar,5.429503,5.135581,avatar_overlap,0,0.0,0.0,1,1
158,12,v20-scene-d12,avatar,5.306919,4.903138,avatar_overlap,0,0.0,0.0,1,1
159,12,v20-scene-d12,avatar,5.210173,4.876883,object_path,0,0.0,0.0,1,1
160,12,v20-scene-d12,avatar,4.890189,4.856097,none,0,0.0,0.0,1,1
161,12,v20-scene-d12,avatar,4.820449,4.834746,wall,0,0.0,0.0,1,1
162,12,v20-scene-d12,avatar,4.759458,4.603227,wall,1,-0.651422,0.148626,1,1
163,12,v20-scene-d12,avatar,4.472091,4.550859,agent_space,0,0.0,0.0,1,1
164,12,v20-scene-d12,avatar,4.449561,4.468661,none,0,0.0,0.0,1,1
165,12,v20-scene-d12,avatar,4.467977,4.351934,avatar_overlap,0,0.0,0.0,1,1
166,12,v20-scene-d12,avatar,4.305704,4.002149,avatar_overlap,0,0.0,0.0,1,1
167,12,v20-scene-d12,avatar,4.459987,3.827803,none,0,0.0,0.0,1,1
168,13,v20-scene-d13,avatar,4.638706,3.448999,wall,0,0.0,0.0,1,1
169,13,v20-scene-d13,avatar,5.013948,3.287107,wall,0,0.0,0.0,1,1
170,13,v20-scene-d13,avatar,5.472562,3.168092,table_edge,0,0.0,0.0,1,1
171,13,v20-scene-d13,avatar,5.75448,3.112717,none,0,0.0,0.0,1,1
172,13,v20-scene-d13,avatar,6.3107,2.936567,avatar_overlap,0,0.0,0.0,1,1
173,13,v20-scene-d13,avatar,6.866254,3.047537,avatar_overlap,0,0.0,0.0,1,1
174,13,v20-scene-d13,avatar,7.144149,3.244379,agent_space,1,0.17445,-0.017587,1,1
175,13,v20-scene-d13,avatar,7.589757,3.516531,agent_space,1,0.167651,0.012256,1,1
176,13,v20-scene-d13,avatar,7.934961,3.645301,object_path,1,0.122959,-0.059947,1,1
177,13,v20-scene-d13,avatar,7.921455,4.006195,wall,1,0.095042,-0.027115,1,1
178,13,v20-scene-d13,avatar,8.022707,4.372074,agent_space,1,0.157533,-0.098295,1,1
179,13,v20-scene-d13,avatar,8.004295,4.716633,wall,1,0.162303,-0.026241,1,1
180,13,v20-scene-d13,avatar,7.642604,4.817664,none,0,0.0,0.0,1,1
181,13,v20-scene-d13,avatar,7.442104,5.059627,agent_space,0,0.0,0.0,1,1
182,14,v20-scene-d14,avatar,6.887,5.167636,none,0,0.0,0.0,1,1
183,14,v20-scene-d14,avatar,6.615167,5.252553,none,0,0.0,0.0,1,1
184,14,v20-scene-d14,avatar,6.357422,5.285299,table_edge,0,0.0,0.0,1,1
185,14,v20-scene-d14,avatar,5.890042,5.280606,agent_space,0,0.0,0.0,1,1
186,14,v20-scene-d14,avatar,5.701078,5.05432,wall,0,0.0,0.0,1,1
187,14,v20-scene-d14,avatar,5.550806,5.020477,avatar_overlap,0,0.0,0.0,1,1
188,14,v20-scene-d14,avatar,5.19355,4.988931,agent_space,0,0.0,0.0,1,1
189,14,v20-scene-d14,avatar,5.100447,4.96388,none,0,0.0,0.0,1,1
190,14,v20-scene-d14,avatar,5.022664,4.743569,object_path,0,0.0,0.0,1,1
191,14,v20-scene-d14,avatar,4.714432,4.721166,wall,0,0.0,0.0,1,1
192,14,v20-scene-d14,avatar,4.655335,4.686678,wall,0,0.0,0.0,1,1
193,14,v20-scene-d14,avatar,4.611434,4.629522,avatar_overlap,0,0.0,0.0,1,1
194,14,v20-scene-d14,avatar,4.354966,4.34131,wall,0,0.0,0.0,1,1
195,14,v20-scene-d14,avatar,4.382664,4.218339,none,0,0.0,0.0,1,1
196,15,v20-scene-d15,avatar,4.339666,3.870966,none,0,0.0,0.0,1,1
197,15,v20-scene-d15,avatar,4.545824,3.688825,avatar_overlap,0,0.0,0.0,1,1
198,15,v20-scene-d15,avatar,4.845013,3.508806,avatar_overlap,1,0.053959,-0.301408,1,1
199,15,v20-scene-d15,avatar,4.996246,3.352949,table_edge,0,0.0,0.0,1,1
200,15,v20-scene-d15,avatar,5.467996,3.043943,object_path,0,0.0,0.0,1,1
201,15,v20-scene-d15,avatar,5.998429,3.001842,none,0,0.0,0.0,1,1
202,15,v20-scene-d15,avatar,6.317221,3.04101,table_edge,0,0.0,0.0,1,1
203,15,v20-scene-d15,avatar,6.868726,3.167769,table_edge,0,0.0,0.0,1,1
204,15,v20-scene-d15,avatar,7.376054,3.179171,avatar_overlap,1,0.179857,-0.045097,1,1
205,15,v20-scene-d15,avatar,7.565455,3.463074,table_edge,1,0.151706,-0.00542,1,1
206,15,v20-scene-d15,avatar,7.890365,3.799537,object_path,1,0.093679,-0.058458,1,1
207,15,v20-scene-d15,avatar,8.094493,4.163347,wall,1,0.138437,0.016939,1,1
208,15,v20-scene-d15,avatar,7.933506,4.327257,avatar_overlap,1,0.123679,-0.09225,1,1
209,15,v20-scene-d15,avatar,7.895062,4.66547,avatar_overlap,1,0.184001,-0.080118,0,0
210,16,v20-scene-d16,avatar,7.483629,4.939519,none,0,0.0,0.0,1,1
211,16,v20-scene-d16,avatar,7.249862,5.142336,avatar_overlap,0,0.0,0.0,1,1
212,16,v20-scene-d16,avatar,6.983748,5.278301,object_path,0,0.0,0.0,1,1
213,16,v20-scene-d16,avatar,6.4729,5.352908,avatar_overlap,0,0.0,0.0,1,1
214,16,v20-scene-d16,avatar,6.219642,5.177773,wall,0,0.0,0.0,1,1
215,16,v20-scene-d16,avatar,5.998808,5.168051,avatar_overlap,0,0.0,0.0,1,1
216,16,v20-scene-d16,avatar,5.576974,5.139467,wall,1,0.202568,0.342474,1,1
217,16,v20-scene-d16,avatar,5.433182,5.105463,table_edge,0,0.0,0.0,1,1
218,16,v20-scene-d16,avatar,5.320959,4.874949,none,0,0.0,0.0,1,1
219,16,v20-scene-d16,avatar,4.991206,4.851044,object_path,0,0.0,0.0,1,1
220,16,v20-scene-d16,avatar,4.915433,4.830981,avatar_overlap,0,0.0,0.0,1,1
221,16,v20-scene-d16,avatar,4.848691,4.807199,wall,0,0.0,0.0,1,1
222,16,v20-scene-d16,avatar,4.551686,4.569392,object_path,0,0.0,0.0,1,1
223,16,v20-scene-d16,avatar,4.51165,4.50717,table_edge,0,0.0,0.0,1,1
224,17,v20-scene-d17,avatar,4.317381,4.242702,agent_space,0,0.0,0.0,1,1
225,17,v20-scene-d17,avatar,4.380086,4.099905,avatar_overlap,1,-0.462165,-0.288012,1,1
226,17,v20-scene-d17,avatar,4.515731,3.930011,table_edge,0,0.0,0.0,1,1
227,17,v20-scene-d17,avatar,4.498229,3.746754,agent_space,0,0.0,0.0,1,1
228,17,v20-scene-d17,avatar,4.814317,3.36939,avatar_overlap,0,0.0,0.0,1,1
229,17,v20-scene-d17,avatar,5.22117,3.220309,avatar_overlap,0,0.0,0.0,1,1
230,17,v20-scene-d17,avatar,5.465344,3.121968,object_path,0,0.0,0.0,1,1
231,17,v20-scene-d17,avatar,6.003307,3.093611,none,0,0.0,0.0,1,1
232,17,v20-scene-d17,avatar,6.56351,2.948301,wall,0,0.0,0.0,1,1
233,17,v20-scene-d17,avatar,6.869766,3.090754,agent_space,0,0.0,0.0,1,1
234,17,v20-scene-d17,avatar,7.365426,3.316322,agent_space,1,0.127012,-0.029963,1,1
235,17,v20-scene-d17,avatar,7.777756,3.611323,wall,1,0.210567,0.033979,1,1
236,17,v20-scene-d17,avatar,7.841842,3.75466,object_path,1,0.090231,-0.051332,1,1
237,17,v20-scene-d17,avatar,8.023464,4.120498,wall,1,0.113646,-0.045292,1,1
238,18,v20-scene-d18,avatar,7.876332,4.50311,agent_space,1,0.132993,-0.079006,1,1
239,18,v20-scene-d18,avatar,7.776096,4.815618,table_edge,0,0.0,0.0,1,1
240,18,v20-scene-d18,avatar,7.590989,5.071893,table_edge,0,0.0,0.0,1,1
241,18,v20-scene-d18,avatar,7.109242,5.262636,object_path,0,0.0,0.0,1,1
242,18,v20-scene-d18,avatar,6.840357,5.186972,object_path,0,0.0,0.0,1,1
243,18,v20-scene-d18,avatar,6.571219,5.25165,object_path,1,0.48491,0.141574,1,1
244,18,v20-scene-d18,avatar,6.082929,5.26913,avatar_overlap,0,0.0,0.0,1,1
245,18,v20-scene-d18,avatar,5.86885,5.254894,table_edge,0,0.0,0.0,1,1
246,18,v20-scene-d18,avatar,5.694112,5.024453,agent_space,0,0.0,0.0,1,1
247,18,v20-scene-d18,avatar,5.316584,4.990576,table_edge,0,0.0,0.0,1,1
248,18,v20-scene-d18,avatar,5.209091,4.961196,none,0,0.0,0.0,1,1
249,18,v20-scene-d18,avatar,5.122407,4.938345,none,0,0.0,0.0,1,1
250,18,v20-scene-d18,avatar,4.808478,4.718282,wall,0,0.0,0.0,1,1
251,18,v20-scene-d18,avatar,4.743248,4.692779,avatar_overlap,0,0.0,0.0,1,1
252,19,v20-scene-d19,avatar,4.477585,4.506236,none,0,0.0,0.0,1,1
253,19,v20-scene-d19,avatar,4.453569,4.425575,avatar_overlap,0,0.0,0.0,1,1
254,19,v20-scene-d19,avatar,4.469673,4.310478,none,0,0.0,0.0,1,1
255,19,v20-scene-d19,avatar,4.304231,4.1621,avatar_overlap,0,0.0,0.0,1,1
256,19,v20-scene-d19,avatar,4.454617,3.78861,table_edge,0,0.0,0.0,1,1
257,19,v20-scene-d19,avatar,4.693678,3.604866,table_edge,0,0.0,0.0,1,1
258,19,v20-scene-d19,avatar,4.786577,3.430887,wall,0,0.0,0.0,1,1
259,19,v20-scene-d19,avatar,5.208613,3.289313,agent_space,0,0.0,0.0,1,1
260,19,v20-scene-d19,avatar,5.704449,3.002266,avatar_overlap,0,0.0,0.0,1,1
261,19,v20-scene-d19,avatar,6.008914,2.988079,table_edge,1,0.280764,-0.152662,1,1
262,19,v20-scene-d19,avatar,6.56935,3.058449,wall,1,0.201976,-0.056977,1,1
263,19,v20-scene-d19,avatar,7.109163,3.216443,table_edge,0,0.0,0.0,1,1
264,19,v20-scene-d19,avatar,7.35209,3.255731,wall,1,0.148294,-0.035029,1,1
265,19,v20-scene-d19,avatar,7.746537,3.561145,wall,1,0.143791,-0.012742,1,1
266,20,v20-scene-d20,avatar,7.917406,3.941378,agent_space,1,0.095397,-0.038075,0,0
267,20,v20-scene-d20,avatar,8.024463,4.307631,none,0,0.0,0.0,1,1
268,20,v20-scene-d20,avatar,8.011341,4.65372,agent_space,1,0.160387,-0.037309,1,1
269,20,v20-scene-d20,avatar,7.653969,4.957184,wall,0,0.0,0.0,1,1
270,20,v20-scene-d20,avatar,7.456519,5.002131,avatar_overlap,1,0.316822,-0.075338,1,1
271,20,v20-scene-d20,avatar,7.207752,5.180774,none,0,0.0,0.0,1,1
272,20,v20-scene-d20,avatar,6.696974,5.293703,table_edge,0,0.0,0.0,1,1
273,20,v20-scene-d20,avatar,6.430232,5.348861,agent_space,0,0.0,0.0,1,1
274,20,v20-scene-d20,avatar,6.187341,5.159465,wall,0,0.0,0.0,1,1
275,20,v20-scene-d20,avatar,5.740182,5.141221,none,0,0.0,0.0,1,1
276,20,v20-scene-d20,avatar,5.572463,5.10934,none,0,0.0,0.0,1,1
277,20,v20-scene-d20,avatar,5.44096,5.07585,table_edge,0,0.0,0.0,1,1
278,20,v20-scene-d20,avatar,5.097891,4.847668,table_edge,0,0.0,0.0,1,1
279,20,v20-scene-d20,avatar,5.014009,4.825746,wall,1,-0.470628,0.316486,1,1
280,21,v20-scene-d21,avatar,4.721159,4.674726,object_path,0,0.0,0.0,1,1
281,21,v20-scene-d21,avatar,4.661554,4.641041,none,0,0.0,0.0,1,1
282,21,v20-scene-d21,avatar,4.616716,4.585155,wall,0,0.0,0.0,1,1
283,21,v20-scene-d21,avatar,4.358622,4.498519,agent_space,0,0.0,0.0,1,1
284,21,v20-scene-d21,avatar,4.383853,4.177162,agent_space,0,0.0,0.0,1,1
285,21,v20-scene-d21,avatar,4.470833,4.023467,avatar_overlap,0,0.0,0.0,1,1
286,21,v20-scene-d21,avatar,4.396383,3.846864,none,0,0.0,0.0,1,1
287,21,v20-scene-d21,avatar,4.652179,3.663286,agent_space,0,0.0,0.0,1,1
288,21,v20-scene-d21,avatar,5.001739,3.293429,wall,1,0.120657,-0.302643,1,1
289,21,v20-scene-d21,avatar,5.198463,3.160086,none,0,0.0,0.0,1,1
290,21,v20-scene-d21,avatar,5.705143,3.084931,avatar_overlap,0,0.0,0.0,1,1
291,21,v20-scene-d21,avatar,6.255048,3.085298,none,0,0.0,0.0,1,1
292,21,v20-scene-d21,avatar,6.574525,2.971446,avatar_overlap,0,0.0,0.0,1,1
293,21,v20-scene-d21,avatar,7.106714,3.144777,none,0,0.0,0.0,1,1
294,22,v20-scene-d22,avatar,7.551319,3.400822,table_edge,1,0.15403,-0.017579,1,1
295,22,v20-scene-d22,avatar,7.88155,3.735368,avatar_overlap,1,0.09342,-0.069342,1,1
296,22,v20-scene-d22,avatar,8.0915,4.098505,agent_space,1,0.13923,0.005949,1,1
297,22,v20-scene-d22,avatar,7.936263,4.463009,object_path,1,0.121534,-0.055371,1,1
298,22,v20-scene-d22,avatar,7.902966,4.602937,table_edge,1,0.181074,-0.09169,1,1
