tech_id,tick,day,lineage,agent,technology,autonomous_tech_action,access_level,integrity_after,maintenance_need,misuse_guard_active,permission_rule_retained,avatar_required,public_note
74,147,11,Hearthline,Sova,hearth ceramics,public_use,0.474,0.838,0.180325,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is idle_nearby.
75,149,11,Marketline,Melo,measure weights,inspect_and_teach,0.468,0.94,0.077771,True,True,False,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.
76,151,11,Orchardline,Ori,water terraces,inspect_and_teach,0.516,0.864,0.151298,True,True,False,lum-melo keeps water terraces public-use rules active while avatar is idle_nearby.
77,153,11,Hearthline,Sova,hearth ceramics,inspect_and_teach,0.474,0.842,0.172147,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is absent_saved.
78,155,12,Ledgerline,Nari,seed ledgers,maintain,0.513,1.0,0.014144,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.
79,157,12,Rainline,Vonn,weather bells,maintain,0.528,1.0,0.030598,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is idle_nearby.
80,159,12,Routeline,Keth,stone bridge joints,public_use,0.471,0.854,0.157102,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.
81,161,12,Ledgerline,Nari,seed ledgers,maintain,0.516,1.0,0.009432,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is present_passive.
82,163,12,Rainline,Vonn,weather bells,maintain,0.531,1.0,0.026231,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is present_passive.
83,165,12,Routeline,Keth,stone bridge joints,inspect_and_teach,0.471,0.858,0.147479,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.
84,167,12,Ledgerline,Nari,seed ledgers,maintain,0.519,1.0,0.004715,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is idle_nearby.
85,169,13,Hearthline,Sova,hearth ceramics,public_use,0.48,0.836,0.168707,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.
86,171,13,Marketline,Melo,measure weights,inspect_and_teach,0.468,0.94,0.062568,True,True,False,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.
87,173,13,Orchardline,Ori,water terraces,inspect_and_teach,0.516,0.864,0.13709,True,True,False,lum-melo keeps water terraces public-use rules active while avatar is idle_nearby.
88,175,13,Hearthline,Sova,hearth ceramics,inspect_and_teach,0.48,0.84,0.162403,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is absent_saved.
89,177,13,Marketline,Melo,measure weights,maintain,0.471,0.95,0.052453,True,True,False,melo-keth keeps measure weights public-use rules active while avatar is idle_nearby.
90,179,13,Orchardline,Ori,water terraces,public_use,0.522,0.858,0.143804,True,True,False,lum-melo keeps water terraces public-use rules active while avatar is absent_saved.
91,181,13,Hearthline,Sova,hearth ceramics,public_use,0.486,0.834,0.16694,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.
92,183,14,Ledgerline,Nari,seed ledgers,maintain,0.522,1.0,0.003548,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is idle_nearby.
93,185,14,Rainline,Vonn,weather bells,maintain,0.534,1.0,0.022654,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is absent_saved.
94,187,14,Routeline,Keth,stone bridge joints,inspect_and_teach,0.471,0.862,0.14292,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is present_passive.
95,189,14,Ledgerline,Nari,seed ledgers,maintain,0.525,1.0,0.007035,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is present_passive.
96,191,14,Rainline,Vonn,weather bells,maintain,0.537,1.0,0.025525,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is absent_saved.
97,193,14,Routeline,Keth,stone bridge joints,public_use,0.477,0.856,0.153721,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is idle_nearby.
98,195,14,Ledgerline,Nari,seed ledgers,maintain,0.528,1.0,0.01179,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.
99,197,15,Hearthline,Sova,hearth ceramics,inspect_and_teach,0.486,0.838,0.174144,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is absent_saved.
100,199,15,Marketline,Melo,measure weights,maintain,0.474,0.96,0.053824,True,True,False,melo-keth keeps measure weights public-use rules active while avatar is idle_nearby.
101,201,15,Orchardline,Ori,water terraces,public_use,0.528,0.852,0.163504,True,True,False,lum-melo keeps water terraces public-use rules active while avatar is absent_saved.
102,203,15,Hearthline,Sova,hearth ceramics,public_use,0.492,0.832,0.18361,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is idle_nearby.
103,205,15,Marketline,Melo,measure weights,inspect_and_teach,0.474,0.96,0.056971,True,True,False,melo-keth keeps measure weights public-use rules active while avatar is absent_saved.
104,207,15,Orchardline,Ori,water terraces,inspect_and_teach,0.528,0.852,0.165506,True,True,False,lum-melo keeps water terraces public-use rules active while avatar is present_passive.
105,209,15,Hearthline,Sova,hearth ceramics,inspect_and_teach,0.492,0.836,0.182604,True,True,False,lum-ori keeps hearth ceramics public-use rules active while avatar is present_passive.
106,211,16,Ledgerline,Nari,seed ledgers,maintain,0.531,1.0,0.017694,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.
107,213,16,Rainline,Vonn,weather bells,maintain,0.54,1.0,0.035335,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is present_passive.
108,215,16,Routeline,Keth,stone bridge joints,public_use,0.483,0.85,0.166458,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is present_passive.
109,217,16,Ledgerline,Nari,seed ledgers,maintain,0.534,1.0,0.015998,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is absent_saved.
110,219,16,Rainline,Vonn,weather bells,maintain,0.543,1.0,0.033739,True,True,False,sova-vonn keeps weather bells public-use rules active while avatar is idle_nearby.
111,221,16,Routeline,Keth,stone bridge joints,inspect_and_teach,0.483,0.854,0.158362,True,True,False,tek-nari keeps stone bridge joints public-use rules active while avatar is absent_saved.
112,223,16,Ledgerline,Nari,seed ledgers,maintain,0.537,1.0,0.011078,True,True,False,nari-vonn keeps seed ledgers public-use rules active while avatar is idle_nearby.
