event_id,week,source_household,target_household,public_diffusion_marker,public_ritual_marker,public_reputation_marker,private_cultural_hint,guardrail_marker,replay_checkpoint,trace_integrity_token
1,1,Hearthnest,Marketroof,Hearthnest->Marketroof: lum adoption 0.40->0.56,lum-circle; ritual=0.29; clause=invite without pressure,avatar=0.56; pressure=0.17; household keeps ordinary distance,gain=0.160; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,r245-week01-event001,r245:1:0aaf6aacc6
12,1,Rainloft,Marketroof,Rainloft->Marketroof: sova adoption 0.40->0.56,sova-circle; ritual=0.30; clause=invite without pressure,avatar=0.58; pressure=0.16; household keeps ordinary distance,gain=0.162; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:12:93db925822
13,1,Hearthnest,Orchardring,Hearthnest->Orchardring: ori adoption 0.40->0.56,ori-circle; ritual=0.43; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.163; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:13:cfc1c6bc9b
14,1,Routehall,Rainloft,Routehall->Rainloft: tek adoption 0.40->0.56,tek-circle; ritual=0.37; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.160; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:14:053ab42da3
15,1,Marketroof,Hearthnest,Marketroof->Hearthnest: melo adoption 0.40->0.56,melo-circle; ritual=0.45; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.162; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:15:5ca1514187
16,1,Quietledger,Routehall,Quietledger->Routehall: nari adoption 0.78->0.91,nari-circle; ritual=0.42; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.125; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:16:800a9de16b
17,1,Orchardring,Marketroof,Orchardring->Marketroof: lum adoption 0.56->0.71,lum-circle; ritual=0.37; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.146; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:17:f2f941b454
18,1,Rainloft,Quietledger,Rainloft->Quietledger: sova adoption 0.62->0.76,sova-circle; ritual=0.37; clause=invite without pressure,avatar=0.60; pressure=0.15; household allows warmer greeting,gain=0.138; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:18:f9569cb226
19,1,Hearthnest,Rainloft,Hearthnest->Rainloft: lum adoption 0.40->0.56,lum-circle; ritual=0.44; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.158; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:19:cc2ef3a056
20,1,Routehall,Hearthnest,Routehall->Hearthnest: tek adoption 0.56->0.71,tek-circle; ritual=0.52; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.142; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:20:33202ce438
21,1,Marketroof,Routehall,Marketroof->Routehall: melo adoption 0.56->0.71,melo-circle; ritual=0.44; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.143; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:21:2917adb348
22,1,Quietledger,Marketroof,Quietledger->Marketroof: nari adoption 0.40->0.56,nari-circle; ritual=0.38; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.158; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:22:e11c73fbec
23,1,Orchardring,Quietledger,Orchardring->Quietledger: lum adoption 0.56->0.70,lum-circle; ritual=0.44; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.142; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:23:e8323de4bf
24,1,Rainloft,Orchardring,Rainloft->Orchardring: sova adoption 0.40->0.56,sova-circle; ritual=0.49; clause=invite without pressure,avatar=0.62; pressure=0.14; household allows warmer greeting,gain=0.156; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:24:2ff89f76a3
25,1,Hearthnest,Routehall,Hearthnest->Routehall: lum adoption 0.40->0.56,lum-circle; ritual=0.45; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.156; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:25:27dbf6a2be
26,1,Routehall,Marketroof,Routehall->Marketroof: tek adoption 0.40->0.56,tek-circle; ritual=0.45; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.156; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:26:0ab97f46cd
27,1,Marketroof,Quietledger,Marketroof->Quietledger: melo adoption 0.40->0.56,melo-circle; ritual=0.50; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.155; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:27:5f8524e975
28,1,Quietledger,Orchardring,Quietledger->Orchardring: nari adoption 0.40->0.56,nari-circle; ritual=0.50; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.156; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:28:df89481a24
29,1,Orchardring,Rainloft,Orchardring->Rainloft: tek adoption 0.56->0.70,tek-circle; ritual=0.45; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.142; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:29:040baf347d
30,1,Rainloft,Hearthnest,Rainloft->Hearthnest: sova adoption 0.72->0.85,sova-circle; ritual=0.58; clause=invite without pressure,avatar=0.64; pressure=0.13; household allows warmer greeting,gain=0.125; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:30:899cd0b488
31,1,Hearthnest,Routehall,Hearthnest->Routehall: lum adoption 0.56->0.70,lum-circle; ritual=0.46; clause=invite without pressure,avatar=0.66; pressure=0.12; household allows warmer greeting,gain=0.143; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:31:e25c524674
32,1,Routehall,Marketroof,Routehall->Marketroof: tek adoption 0.56->0.70,tek-circle; ritual=0.46; clause=invite without pressure,avatar=0.66; pressure=0.11; household allows warmer greeting,gain=0.143; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:32:790b3f4df5
33,1,Marketroof,Quietledger,Marketroof->Quietledger: melo adoption 0.56->0.70,melo-circle; ritual=0.57; clause=invite without pressure,avatar=0.66; pressure=0.12; household allows warmer greeting,gain=0.143; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:33:1b174aee91
34,1,Quietledger,Orchardring,Quietledger->Orchardring: nari adoption 0.56->0.70,nari-circle; ritual=0.57; clause=invite without pressure,avatar=0.66; pressure=0.11; household allows warmer greeting,gain=0.143; grounding=0.966; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:34:6354a47f22
35,1,Orchardring,Rainloft,Orchardring->Rainloft: melo adoption 0.56->0.70,melo-circle; ritual=0.46; clause=invite without pressure,avatar=0.66; pressure=0.12; household allows warmer greeting,gain=0.143; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,r245-week01-event035,r245:35:8e3ecdbe38
36,1,Rainloft,Hearthnest,Rainloft->Hearthnest: sova adoption 0.85->0.96,sova-circle; ritual=0.59; clause=invite without pressure,avatar=0.66; pressure=0.12; household allows warmer greeting,gain=0.117; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:36:2034d81918
37,2,Hearthnest,Quietledger,Hearthnest->Quietledger: vonn-na adoption 0.76->0.84,vonn-na-circle; ritual=0.59; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.16; household keeps ordinary distance,gain=0.081; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:37:205a645646
38,2,Routehall,Orchardring,Routehall->Orchardring: tek-ri adoption 0.74->0.87,tek-ri-circle; ritual=0.64; clause=invite without pressure,avatar=0.68; pressure=0.10; household allows warmer greeting,gain=0.127; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:38:23cedb995a
39,2,Marketroof,Rainloft,Marketroof->Rainloft: vonn-so adoption 0.72->0.81,vonn-so-circle; ritual=0.49; clause=pause if sleep debt or boundary warning appears,avatar=0.66; pressure=0.12; household keeps ordinary distance,gain=0.088; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:39:4ef275ae69
40,2,Quietledger,Hearthnest,Quietledger->Hearthnest: vonn-v adoption 0.40->0.51,vonn-v-circle; ritual=0.62; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.16; household keeps ordinary distance,gain=0.110; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:40:ef45053f30
41,2,Orchardring,Routehall,Orchardring->Routehall: vonn-na adoption 0.40->0.51,vonn-na-circle; ritual=0.49; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.16; household keeps ordinary distance,gain=0.106; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:41:75141ce3d9
42,2,Rainloft,Marketroof,Rainloft->Marketroof: sova-ri adoption 0.56->0.71,sova-ri-circle; ritual=0.53; clause=invite without pressure,avatar=0.68; pressure=0.10; household allows warmer greeting,gain=0.146; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:42:35ed3b3145
43,2,Hearthnest,Orchardring,Hearthnest->Orchardring: vonn-v adoption 0.40->0.51,vonn-v-circle; ritual=0.66; clause=pause if sleep debt or boundary warning appears,avatar=0.66; pressure=0.14; household keeps ordinary distance,gain=0.114; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:43:6c9571534c
44,2,Routehall,Rainloft,Routehall->Rainloft: nari-na adoption 0.80->0.88,nari-na-circle; ritual=0.51; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.16; household keeps ordinary distance,gain=0.082; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:44:c9d0c23496
45,2,Marketroof,Hearthnest,Marketroof->Hearthnest: melo-ri adoption 0.56->0.71,melo-ri-circle; ritual=0.69; clause=invite without pressure,avatar=0.66; pressure=0.15; household allows warmer greeting,gain=0.147; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:45:389784d160
46,2,Quietledger,Routehall,Quietledger->Routehall: sova-so adoption 0.56->0.66,sova-so-circle; ritual=0.51; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.16; household keeps ordinary distance,gain=0.102; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:46:cc5547fbfe
47,2,Orchardring,Marketroof,Orchardring->Marketroof: vonn-v adoption 0.58->0.68,vonn-v-circle; ritual=0.55; clause=pause if sleep debt or boundary warning appears,avatar=0.66; pressure=0.14; household keeps ordinary distance,gain=0.101; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:47:6b74a1a747
48,2,Rainloft,Quietledger,Rainloft->Quietledger: nari-na adoption 0.86->0.94,nari-na-circle; ritual=0.62; clause=pause if sleep debt or boundary warning appears,avatar=0.62; pressure=0.20; household keeps ordinary distance,gain=0.079; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:48:b291ea1604
49,2,Hearthnest,Rainloft,Hearthnest->Rainloft: sova-so adoption 0.80->0.89,sova-so-circle; ritual=0.54; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.17; household keeps ordinary distance,gain=0.085; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:49:95c1a542a0
50,2,Routehall,Hearthnest,Routehall->Hearthnest: keth-v adoption 0.40->0.51,keth-v-circle; ritual=0.71; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.19; household keeps ordinary distance,gain=0.112; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:50:7c1efde540
51,2,Marketroof,Routehall,Marketroof->Routehall: vonn-na adoption 0.51->0.61,vonn-na-circle; ritual=0.54; clause=pause if sleep debt or boundary warning appears,avatar=0.62; pressure=0.20; household keeps ordinary distance,gain=0.102; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:51:b4e02c8d9a
52,2,Quietledger,Marketroof,Quietledger->Marketroof: nari-ri adoption 0.56->0.70,nari-ri-circle; ritual=0.62; clause=invite without pressure,avatar=0.68; pressure=0.13; household allows warmer greeting,gain=0.146; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:52:8b3bb4d4a4
53,2,Orchardring,Quietledger,Orchardring->Quietledger: vonn-so adoption 0.84->0.92,vonn-so-circle; ritual=0.65; clause=pause if sleep debt or boundary warning appears,avatar=0.62; pressure=0.20; household keeps ordinary distance,gain=0.083; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:53:f67d43fbe0
54,2,Rainloft,Orchardring,Rainloft->Orchardring: vonn-v adoption 0.51->0.62,vonn-v-circle; ritual=0.69; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.18; household keeps ordinary distance,gain=0.105; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:54:87b1bff75c
55,2,Hearthnest,Routehall,Hearthnest->Routehall: ori-ri adoption 0.40->0.56,ori-ri-circle; ritual=0.60; clause=invite without pressure,avatar=0.64; pressure=0.19; household allows warmer greeting,gain=0.160; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:55:f9023a48a8
56,2,Routehall,Marketroof,Routehall->Marketroof: vonn-so adoption 0.68->0.77,vonn-so-circle; ritual=0.65; clause=pause if sleep debt or boundary warning appears,avatar=0.68; pressure=0.14; household keeps ordinary distance,gain=0.092; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:56:60fbf6c7a6
57,2,Marketroof,Quietledger,Marketroof->Quietledger: keth-v adoption 0.40->0.51,keth-v-circle; ritual=0.67; clause=pause if sleep debt or boundary warning appears,avatar=0.61; pressure=0.24; household keeps ordinary distance,gain=0.108; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:57:7affd0037d
58,2,Quietledger,Orchardring,Quietledger->Orchardring: nari-na adoption 0.70->0.78,nari-na-circle; ritual=0.72; clause=pause if sleep debt or boundary warning appears,avatar=0.63; pressure=0.22; household keeps ordinary distance,gain=0.085; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:58:7893aadd5d
59,2,Orchardring,Rainloft,Orchardring->Rainloft: lum-ri adoption 0.56->0.70,lum-ri-circle; ritual=0.60; clause=invite without pressure,avatar=0.66; pressure=0.16; household allows warmer greeting,gain=0.142; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:59:19c63d0624
60,2,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-so adoption 0.96->1.00,sova-so-circle; ritual=0.74; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.19; household keeps ordinary distance,gain=0.038; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:60:25be74d3ed
61,2,Hearthnest,Routehall,Hearthnest->Routehall: vonn-na adoption 0.61->0.70,vonn-na-circle; ritual=0.63; clause=pause if sleep debt or boundary warning appears,avatar=0.63; pressure=0.23; household keeps ordinary distance,gain=0.089; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:61:ac7091017d
62,2,Routehall,Marketroof,Routehall->Marketroof: tek-ri adoption 0.70->0.83,tek-ri-circle; ritual=0.71; clause=invite without pressure,avatar=0.70; pressure=0.13; household allows warmer greeting,gain=0.129; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:62:42442c3efb
63,2,Marketroof,Quietledger,Marketroof->Quietledger: vonn-so adoption 0.92->1.00,vonn-so-circle; ritual=0.70; clause=pause if sleep debt or boundary warning appears,avatar=0.61; pressure=0.25; household keeps ordinary distance,gain=0.073; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:63:1c54dade40
64,2,Quietledger,Orchardring,Quietledger->Orchardring: vonn-v adoption 0.62->0.71,vonn-v-circle; ritual=0.74; clause=pause if sleep debt or boundary warning appears,avatar=0.61; pressure=0.26; household keeps ordinary distance,gain=0.092; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:64:d3e7ae1c0f
65,2,Orchardring,Rainloft,Orchardring->Rainloft: vonn-na adoption 0.81->0.88,vonn-na-circle; ritual=0.63; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.20; household keeps ordinary distance,gain=0.076; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:65:bbe2d1db0a
66,2,Rainloft,Hearthnest,Rainloft->Hearthnest: sova-ri adoption 1.00->1.00,sova-ri-circle; ritual=0.81; clause=invite without pressure,avatar=0.66; pressure=0.18; household allows warmer greeting,gain=0.000; grounding=0.964; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:66:9cc8a24638
67,2,Hearthnest,Marketroof,Hearthnest->Marketroof: vonn-v adoption 0.77->0.86,vonn-v-circle; ritual=0.74; clause=pause if sleep debt or boundary warning appears,avatar=0.68; pressure=0.17; household keeps ordinary distance,gain=0.083; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:67:45a1b89a8d
68,2,Routehall,Quietledger,Routehall->Quietledger: nari-na adoption 0.94->1.00,nari-na-circle; ritual=0.72; clause=pause if sleep debt or boundary warning appears,avatar=0.59; pressure=0.29; household asks for boundary proof before cooperation,gain=0.061; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:68:6cf7d644e3
69,2,Marketroof,Orchardring,Marketroof->Orchardring: melo-ri adoption 0.81->0.93,melo-ri-circle; ritual=0.81; clause=invite without pressure,avatar=0.63; pressure=0.25; household allows warmer greeting,gain=0.118; grounding=0.965; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:69:88ca9a24ab
70,2,Quietledger,Rainloft,Quietledger->Rainloft: sova-so adoption 0.89->0.96,sova-so-circle; ritual=0.66; clause=pause if sleep debt or boundary warning appears,avatar=0.64; pressure=0.20; household keeps ordinary distance,gain=0.077; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,r245-week02-event070,r245:70:33c7072dd4
71,2,Orchardring,Hearthnest,Orchardring->Hearthnest: vonn-v adoption 0.51->0.61,vonn-v-circle; ritual=0.83; clause=pause if sleep debt or boundary warning appears,avatar=0.65; pressure=0.22; household keeps ordinary distance,gain=0.100; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:71:b95760557f
72,2,Rainloft,Routehall,Rainloft->Routehall: nari-na adoption 0.91->0.98,nari-na-circle; ritual=0.66; clause=pause if sleep debt or boundary warning appears,avatar=0.61; pressure=0.27; household asks for boundary proof before cooperation,gain=0.071; grounding=1.000; spread_reason=warning spread without forced adoption,welfare-carried,no_checkpoint,r245:72:c200ef2ad2
73,3,Hearthnest,Orchardring,Hearthnest->Orchardring: lum-a adoption 0.70->0.83,lum-a-circle; ritual=0.88; clause=invite without pressure,avatar=0.65; pressure=0.24; household allows warmer greeting,gain=0.131; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:73:c7fedbe453
74,3,Routehall,Rainloft,Routehall->Rainloft: tek-a adoption 0.70->0.83,tek-a-circle; ritual=0.72; clause=invite without pressure,avatar=0.66; pressure=0.19; household allows warmer greeting,gain=0.129; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:74:9291bace11
75,3,Marketroof,Hearthnest,Marketroof->Hearthnest: melo-a adoption 0.71->0.84,melo-a-circle; ritual=0.84; clause=invite without pressure,avatar=0.67; pressure=0.21; household allows warmer greeting,gain=0.131; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:75:801b6c7b92
76,3,Quietledger,Routehall,Quietledger->Routehall: nari-a adoption 0.98->1.00,nari-a-circle; ritual=0.67; clause=invite without pressure,avatar=0.63; pressure=0.26; household allows warmer greeting,gain=0.024; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:76:5e394a0295
77,3,Orchardring,Marketroof,Orchardring->Marketroof: lum-a adoption 0.71->0.84,lum-a-circle; ritual=0.81; clause=invite without pressure,avatar=0.70; pressure=0.16; household allows warmer greeting,gain=0.132; grounding=0.963; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:77:7a39a36246
78,3,Rainloft,Quietledger,Rainloft->Quietledger: sova-a adoption 0.76->0.88,sova-a-circle; ritual=0.79; clause=invite without pressure,avatar=0.61; pressure=0.28; household allows warmer greeting,gain=0.127; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:78:57665c6cbb
79,3,Hearthnest,Rainloft,Hearthnest->Rainloft: lum-a adoption 0.70->0.83,lum-a-circle; ritual=0.73; clause=invite without pressure,avatar=0.68; pressure=0.18; household allows warmer greeting,gain=0.133; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:79:a7fe1131a6
80,3,Routehall,Hearthnest,Routehall->Hearthnest: tek-a adoption 0.71->0.84,tek-a-circle; ritual=0.91; clause=invite without pressure,avatar=0.69; pressure=0.20; household allows warmer greeting,gain=0.133; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:80:d69e96f181
81,3,Marketroof,Routehall,Marketroof->Routehall: melo-a adoption 0.71->0.84,melo-a-circle; ritual=0.73; clause=invite without pressure,avatar=0.65; pressure=0.25; household allows warmer greeting,gain=0.133; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:81:398740cdcd
82,3,Quietledger,Marketroof,Quietledger->Marketroof: nari-a adoption 0.70->0.84,nari-a-circle; ritual=0.82; clause=invite without pressure,avatar=0.72; pressure=0.15; household allows warmer greeting,gain=0.134; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:82:d3a4631ffb
83,3,Orchardring,Quietledger,Orchardring->Quietledger: tek-a adoption 0.56->0.71,tek-a-circle; ritual=0.80; clause=invite without pressure,avatar=0.63; pressure=0.27; household allows warmer greeting,gain=0.148; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:83:8501a724cd
84,3,Rainloft,Orchardring,Rainloft->Orchardring: sova-a adoption 0.56->0.71,sova-a-circle; ritual=0.94; clause=invite without pressure,avatar=0.67; pressure=0.23; household allows warmer greeting,gain=0.149; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:84:7cd5f3cce3
85,3,Hearthnest,Routehall,Hearthnest->Routehall: lum-a adoption 0.70->0.83,lum-a-circle; ritual=0.75; clause=invite without pressure,avatar=0.67; pressure=0.24; household allows warmer greeting,gain=0.134; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:85:a5fa899e47
86,3,Routehall,Marketroof,Routehall->Marketroof: tek-a adoption 0.83->0.95,tek-a-circle; ritual=0.83; clause=invite without pressure,avatar=0.74; pressure=0.14; household allows warmer greeting,gain=0.121; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:86:c2cff0c867
87,3,Marketroof,Quietledger,Marketroof->Quietledger: melo-a adoption 0.70->0.83,melo-a-circle; ritual=0.87; clause=invite without pressure,avatar=0.65; pressure=0.26; household allows warmer greeting,gain=0.134; grounding=0.962; spread_reason=ritual and care spread,welfare-carried,no_checkpoint,r245:87:0ed3b71094
