tick_id,day,settlement_id,resident_id,room_id,schedule_phase,avatar_action,dialect_memory_used,body_state_referenced,object_context_referenced,interaction_visible,private_workspace_hidden
78,7,roofward,Sera,ledger loft,evening repair,dry_off,True,True,False,True,True
79,7,archive,Nia,stone stacks,evening repair,move_north,True,False,False,True,True
80,7,signal,Ren,lantern walk,evening repair,inspect_object,True,False,True,True,True
81,7,orchard,Ivo,satchel shed,night memory,place_object,True,False,True,True,True
82,7,repair_ring,Pax,wire bench,night memory,ask_dialect_memory,True,False,False,True,True
83,7,riverbend,Ari,plank hall,night memory,inspect_object,True,False,True,True,True
84,8,roofward,Fay,arrival court,morning work,talk_resident,True,True,True,True,True
85,8,archive,Toma,ink niche,morning work,wait_for_schedule,True,False,False,True,True
86,8,signal,Milo,lantern walk,morning work,warm_up,True,True,False,True,True
87,8,orchard,Mara,satchel shed,midday exchange,avoid_hazard,True,True,False,True,True
88,8,repair_ring,Juno,spark lane,midday exchange,move_east,True,False,False,True,True
89,8,riverbend,Lio,plank hall,midday exchange,warm_up,True,True,False,True,True
90,8,roofward,Fay,arrival court,evening repair,avoid_hazard,True,True,False,True,True
91,8,archive,Toma,stone stacks,evening repair,move_east,True,False,True,True,True
92,8,signal,Milo,lantern walk,evening repair,pick_up_object,True,False,True,True,True
93,8,orchard,Mara,satchel shed,night memory,talk_resident,True,True,False,True,True
94,8,repair_ring,Juno,bell alcove,night memory,wait_for_schedule,True,False,False,True,True
95,8,riverbend,Lio,plank hall,night memory,pick_up_object,True,False,True,True,True
96,9,roofward,Sera,glass stair,morning work,ask_dialect_memory,True,False,False,True,True
97,9,archive,Nia,stone stacks,morning work,rest,True,True,False,True,True
98,9,signal,Ren,lantern walk,morning work,dry_off,True,True,True,True,True
99,9,orchard,Ivo,seed lane,midday exchange,move_north,True,False,False,True,True
100,9,repair_ring,Pax,bell alcove,midday exchange,inspect_object,True,False,True,True,True
101,9,riverbend,Ari,plank hall,midday exchange,dry_off,True,True,False,True,True
102,9,roofward,Sera,warm lane,evening repair,move_north,True,False,False,True,True
103,9,archive,Nia,stone stacks,evening repair,inspect_object,True,False,True,True,True
104,9,signal,Ren,lantern walk,evening repair,place_object,True,False,True,True,True
105,9,orchard,Ivo,seed lane,night memory,ask_dialect_memory,True,False,True,True,True
106,9,repair_ring,Pax,bell alcove,night memory,rest,True,True,False,True,True
107,9,riverbend,Ari,plank hall,night memory,place_object,True,False,True,True,True
108,10,roofward,Fay,ledger loft,morning work,wait_for_schedule,True,False,False,True,True
109,10,archive,Toma,stone stacks,morning work,warm_up,True,True,False,True,True
110,10,signal,Milo,lantern walk,morning work,avoid_hazard,True,True,False,True,True
111,10,orchard,Mara,satchel shed,midday exchange,move_east,True,False,False,True,True
112,10,repair_ring,Juno,bell alcove,midday exchange,pick_up_object,True,False,True,True,True
113,10,riverbend,Lio,dry ridge,midday exchange,avoid_hazard,True,True,False,True,True
114,10,roofward,Fay,arrival court,evening repair,move_east,True,False,False,True,True
115,10,archive,Toma,stone stacks,evening repair,pick_up_object,True,False,True,True,True
116,10,signal,Milo,lantern walk,evening repair,talk_resident,True,True,False,True,True
117,10,orchard,Mara,seed lane,night memory,wait_for_schedule,True,False,False,True,True
118,10,repair_ring,Juno,bell alcove,night memory,warm_up,True,True,False,True,True
119,10,riverbend,Lio,dry ridge,night memory,talk_resident,True,True,True,True,True
120,11,roofward,Sera,arrival court,morning work,rest,True,True,False,True,True
121,11,archive,Nia,stone stacks,morning work,dry_off,True,True,False,True,True
122,11,signal,Ren,lens room,morning work,move_north,True,False,False,True,True
123,11,orchard,Ivo,seed lane,midday exchange,inspect_object,True,False,True,True,True
124,11,repair_ring,Pax,bell alcove,midday exchange,place_object,True,False,True,True,True
125,11,riverbend,Ari,arrival court,midday exchange,move_north,True,False,False,True,True
126,11,roofward,Sera,arrival court,evening repair,inspect_object,True,False,True,True,True
127,11,archive,Nia,stone stacks,evening repair,place_object,True,False,True,True,True
128,11,signal,Ren,lens room,evening repair,ask_dialect_memory,True,False,False,True,True
129,11,orchard,Ivo,seed lane,night memory,rest,True,True,False,True,True
130,11,repair_ring,Pax,bell alcove,night memory,dry_off,True,True,False,True,True
131,11,riverbend,Ari,arrival court,night memory,ask_dialect_memory,True,False,False,True,True
132,12,roofward,Fay,arrival court,morning work,warm_up,True,True,False,True,True
133,12,archive,Toma,stone stacks,morning work,avoid_hazard,True,True,True,True,True
134,12,signal,Milo,arrival court,morning work,move_east,True,False,False,True,True
135,12,orchard,Mara,seed lane,midday exchange,pick_up_object,True,False,True,True,True
136,12,repair_ring,Juno,bell alcove,midday exchange,talk_resident,True,True,False,True,True
137,12,riverbend,Lio,dry ridge,midday exchange,move_east,True,False,False,True,True
138,12,roofward,Fay,arrival court,evening repair,pick_up_object,True,False,True,True,True
139,12,archive,Toma,stone stacks,evening repair,talk_resident,True,True,False,True,True
140,12,signal,Milo,mast base,evening repair,wait_for_schedule,True,False,True,True,True
141,12,orchard,Mara,seed lane,night memory,warm_up,True,True,False,True,True
142,12,repair_ring,Juno,arrival court,night memory,avoid_hazard,True,True,False,True,True
143,12,riverbend,Lio,arrival court,night memory,wait_for_schedule,True,False,False,True,True
144,13,roofward,Sera,arrival court,morning work,dry_off,True,True,False,True,True
145,13,archive,Nia,ink niche,morning work,move_north,True,False,False,True,True
146,13,signal,Ren,mast base,morning work,inspect_object,True,False,True,True,True
147,13,orchard,Ivo,seed lane,midday exchange,place_object,True,False,True,True,True
148,13,repair_ring,Pax,arrival court,midday exchange,ask_dialect_memory,True,False,False,True,True
149,13,riverbend,Ari,plank hall,midday exchange,inspect_object,True,False,True,True,True
150,13,roofward,Sera,arrival court,evening repair,place_object,True,False,True,True,True
151,13,archive,Nia,ink niche,evening repair,ask_dialect_memory,True,False,False,True,True
152,13,signal,Ren,mast base,evening repair,rest,True,True,False,True,True
153,13,orchard,Ivo,seed lane,night memory,dry_off,True,True,False,True,True
154,13,repair_ring,Pax,wire bench,night memory,move_north,True,False,True,True,True
155,13,riverbend,Ari,plank hall,night memory,rest,True,True,False,True,True
156,14,archive,Nia,arrival court,morning work,move_north,True,False,False,True,True
157,14,signal,Ren,mast base,morning work,inspect_object,True,False,True,True,True
158,14,orchard,Ivo,seed lane,morning work,place_object,True,False,True,True,True
159,14,repair_ring,Pax,wire bench,midday exchange,ask_dialect_memory,True,False,False,True,True
160,14,riverbend,Ari,plank hall,midday exchange,inspect_object,True,False,True,True,True
161,14,roofward,Sera,glass stair,midday exchange,place_object,True,False,True,True,True
162,14,archive,Nia,arrival court,evening repair,ask_dialect_memory,True,False,False,True,True
163,14,signal,Ren,mast base,evening repair,rest,True,True,False,True,True
164,14,orchard,Ivo,seed lane,evening repair,dry_off,True,True,False,True,True
165,14,repair_ring,Pax,bell alcove,night memory,move_north,True,False,False,True,True
166,14,riverbend,Ari,plank hall,night memory,rest,True,True,False,True,True
167,14,roofward,Sera,glass stair,night memory,dry_off,True,True,False,True,True
168,15,archive,Toma,stone stacks,morning work,move_east,True,False,True,True,True
169,15,signal,Milo,mast base,morning work,pick_up_object,True,False,True,True,True
170,15,orchard,Mara,seed lane,morning work,talk_resident,True,True,False,True,True
171,15,repair_ring,Juno,wire bench,midday exchange,wait_for_schedule,True,False,False,True,True
172,15,riverbend,Lio,plank hall,midday exchange,pick_up_object,True,False,True,True,True
173,15,roofward,Fay,warm lane,midday exchange,talk_resident,True,True,False,True,True
174,15,archive,Toma,spool room,evening repair,wait_for_schedule,True,False,False,True,True
175,15,signal,Milo,mast base,evening repair,warm_up,True,True,True,True,True
176,15,orchard,Mara,seed lane,evening repair,avoid_hazard,True,True,False,True,True
177,15,repair_ring,Juno,bell alcove,night memory,move_east,True,False,False,True,True
178,15,riverbend,Lio,plank hall,night memory,warm_up,True,True,False,True,True
179,15,roofward,Fay,warm lane,night memory,avoid_hazard,True,True,False,True,True
180,16,archive,Nia,ink niche,morning work,inspect_object,True,False,True,True,True
181,16,signal,Ren,mast base,morning work,place_object,True,False,True,True,True
182,16,orchard,Ivo,seed lane,morning work,ask_dialect_memory,True,False,True,True,True
183,16,repair_ring,Pax,bell alcove,midday exchange,rest,True,True,False,True,True
184,16,riverbend,Ari,plank hall,midday exchange,place_object,True,False,True,True,True
185,16,roofward,Sera,ledger loft,midday exchange,ask_dialect_memory,True,False,False,True,True
186,16,archive,Nia,ink niche,evening repair,rest,True,True,False,True,True
187,16,signal,Ren,mast base,evening repair,dry_off,True,True,False,True,True
188,16,orchard,Ivo,market plank,evening repair,move_north,True,False,False,True,True
189,16,repair_ring,Pax,bell alcove,night memory,inspect_object,True,False,True,True,True
190,16,riverbend,Ari,plank hall,night memory,dry_off,True,True,False,True,True
191,16,roofward,Sera,glass stair,night memory,move_north,True,False,False,True,True
192,17,archive,Toma,arrival court,morning work,pick_up_object,True,False,True,True,True
193,17,signal,Milo,mast base,morning work,talk_resident,True,True,False,True,True
194,17,orchard,Mara,satchel shed,morning work,wait_for_schedule,True,False,False,True,True
195,17,repair_ring,Juno,bell alcove,midday exchange,warm_up,True,True,False,True,True
196,17,riverbend,Lio,plank hall,midday exchange,talk_resident,True,True,True,True,True
197,17,roofward,Fay,ledger loft,midday exchange,wait_for_schedule,True,False,False,True,True
198,17,archive,Toma,arrival court,evening repair,warm_up,True,True,False,True,True
199,17,signal,Milo,mast base,evening repair,avoid_hazard,True,True,False,True,True
200,17,orchard,Mara,arrival court,evening repair,move_east,True,False,False,True,True
201,17,repair_ring,Juno,bell alcove,night memory,pick_up_object,True,False,True,True,True
202,17,riverbend,Lio,dry ridge,night memory,avoid_hazard,True,True,False,True,True
203,17,roofward,Fay,glass stair,night memory,move_east,True,False,True,True,True
204,18,archive,Nia,stone stacks,morning work,place_object,True,False,True,True,True
205,18,signal,Ren,mast base,morning work,ask_dialect_memory,True,False,False,True,True
206,18,orchard,Ivo,arrival court,morning work,rest,True,True,False,True,True
207,18,repair_ring,Pax,bell alcove,midday exchange,dry_off,True,True,False,True,True
208,18,riverbend,Ari,dry ridge,midday exchange,ask_dialect_memory,True,False,False,True,True
209,18,roofward,Sera,glass stair,midday exchange,rest,True,True,False,True,True
210,18,archive,Nia,stone stacks,evening repair,dry_off,True,True,True,True,True
211,18,signal,Ren,lens room,evening repair,move_north,True,False,False,True,True
212,18,orchard,Ivo,arrival court,evening repair,inspect_object,True,False,True,True,True
213,18,repair_ring,Pax,bell alcove,night memory,place_object,True,False,True,True,True
214,18,riverbend,Ari,kit alcove,night memory,move_north,True,False,False,True,True
215,18,roofward,Sera,glass stair,night memory,inspect_object,True,False,True,True,True
216,19,archive,Toma,spool room,morning work,talk_resident,True,True,False,True,True
217,19,signal,Milo,mast base,morning work,wait_for_schedule,True,False,True,True,True
218,19,orchard,Mara,arrival court,morning work,warm_up,True,True,False,True,True
219,19,repair_ring,Juno,bell alcove,midday exchange,avoid_hazard,True,True,False,True,True
220,19,riverbend,Lio,arrival court,midday exchange,wait_for_schedule,True,False,False,True,True
221,19,roofward,Fay,glass stair,midday exchange,warm_up,True,True,False,True,True
222,19,archive,Toma,spool room,evening repair,avoid_hazard,True,True,False,True,True
223,19,signal,Milo,lens room,evening repair,move_east,True,False,False,True,True
224,19,orchard,Mara,arrival court,evening repair,pick_up_object,True,False,True,True,True
225,19,repair_ring,Juno,bell alcove,night memory,talk_resident,True,True,False,True,True
226,19,riverbend,Lio,plank hall,night memory,move_east,True,False,False,True,True
227,19,roofward,Fay,glass stair,night memory,pick_up_object,True,False,True,True,True
228,20,archive,Nia,ink niche,morning work,ask_dialect_memory,True,False,False,True,True
229,20,signal,Ren,lens room,morning work,rest,True,True,False,True,True
230,20,orchard,Ivo,arrival court,morning work,dry_off,True,True,False,True,True
231,20,repair_ring,Pax,wire bench,midday exchange,move_north,True,False,True,True,True
232,20,riverbend,Ari,plank hall,midday exchange,rest,True,True,False,True,True
233,20,roofward,Sera,glass stair,midday exchange,dry_off,True,True,False,True,True
234,20,archive,Nia,arrival court,evening repair,move_north,True,False,False,True,True
235,20,signal,Ren,lens room,evening repair,inspect_object,True,False,True,True,True
236,20,orchard,Ivo,arrival court,evening repair,place_object,True,False,True,True,True
237,20,repair_ring,Pax,wire bench,night memory,ask_dialect_memory,True,False,False,True,True
238,20,riverbend,Ari,dry ridge,night memory,inspect_object,True,False,True,True,True
239,20,roofward,Sera,glass stair,night memory,place_object,True,False,True,True,True
240,21,signal,Ren,lens room,morning work,rest,True,True,False,True,True
241,21,orchard,Ivo,arrival court,morning work,dry_off,True,True,False,True,True
242,21,repair_ring,Pax,spark lane,morning work,move_north,True,False,False,True,True
243,21,riverbend,Ari,dry ridge,midday exchange,rest,True,True,False,True,True
244,21,roofward,Sera,glass stair,midday exchange,dry_off,True,True,False,True,True
245,21,archive,Nia,spool room,midday exchange,move_north,True,False,True,True,True
246,21,signal,Ren,lens room,evening repair,inspect_object,True,False,True,True,True
247,21,orchard,Ivo,arrival court,evening repair,place_object,True,False,True,True,True
248,21,repair_ring,Pax,spark lane,evening repair,ask_dialect_memory,True,False,False,True,True
249,21,riverbend,Ari,dry ridge,night memory,inspect_object,True,False,True,True,True
250,21,roofward,Sera,warm lane,night memory,place_object,True,False,True,True,True
251,21,archive,Nia,spool room,night memory,ask_dialect_memory,True,False,False,True,True
252,22,signal,Milo,lens room,morning work,warm_up,True,True,True,True,True
253,22,orchard,Mara,arrival court,morning work,avoid_hazard,True,True,False,True,True
254,22,repair_ring,Juno,bell alcove,morning work,move_east,True,False,False,True,True
255,22,riverbend,Lio,dry ridge,midday exchange,warm_up,True,True,False,True,True
256,22,roofward,Fay,warm lane,midday exchange,avoid_hazard,True,True,False,True,True
257,22,archive,Toma,arrival court,midday exchange,move_east,True,False,False,True,True
258,22,signal,Milo,lens room,evening repair,pick_up_object,True,False,True,True,True
259,22,orchard,Mara,arrival court,evening repair,talk_resident,True,True,True,True,True
260,22,repair_ring,Juno,arrival court,evening repair,wait_for_schedule,True,False,False,True,True
261,22,riverbend,Lio,dry ridge,night memory,pick_up_object,True,False,True,True,True
262,22,roofward,Fay,ledger loft,night memory,talk_resident,True,True,False,True,True
263,22,archive,Toma,spool room,night memory,wait_for_schedule,True,False,False,True,True
264,23,signal,Ren,lens room,morning work,dry_off,True,True,False,True,True
265,23,orchard,Ivo,market plank,morning work,move_north,True,False,False,True,True
266,23,repair_ring,Pax,arrival court,morning work,inspect_object,True,False,True,True,True
267,23,riverbend,Ari,dry ridge,midday exchange,dry_off,True,True,False,True,True
268,23,roofward,Sera,arrival court,midday exchange,move_north,True,False,False,True,True
269,23,archive,Nia,ink niche,midday exchange,inspect_object,True,False,True,True,True
270,23,signal,Ren,lens room,evening repair,place_object,True,False,True,True,True
271,23,orchard,Ivo,market plank,evening repair,ask_dialect_memory,True,False,False,True,True
272,23,repair_ring,Pax,arrival court,evening repair,rest,True,True,False,True,True
273,23,riverbend,Ari,dry ridge,night memory,place_object,True,False,True,True,True
274,23,roofward,Sera,glass stair,night memory,ask_dialect_memory,True,False,False,True,True
275,23,archive,Nia,ink niche,night memory,rest,True,True,False,True,True
276,24,signal,Milo,arrival court,morning work,avoid_hazard,True,True,False,True,True
277,24,orchard,Mara,arrival court,morning work,move_east,True,False,False,True,True
278,24,repair_ring,Juno,arrival court,morning work,pick_up_object,True,False,True,True,True
279,24,riverbend,Lio,dry ridge,midday exchange,avoid_hazard,True,True,False,True,True
280,24,roofward,Fay,warm lane,midday exchange,move_east,True,False,True,True,True
281,24,archive,Toma,arrival court,midday exchange,pick_up_object,True,False,True,True,True
282,24,signal,Milo,arrival court,evening repair,talk_resident,True,True,False,True,True
283,24,orchard,Mara,market plank,evening repair,wait_for_schedule,True,False,False,True,True
284,24,repair_ring,Juno,arrival court,evening repair,warm_up,True,True,False,True,True
285,24,riverbend,Lio,dry ridge,night memory,talk_resident,True,True,False,True,True
286,24,roofward,Fay,ledger loft,night memory,wait_for_schedule,True,False,False,True,True
287,24,archive,Toma,arrival court,night memory,warm_up,True,True,True,True,True
288,25,signal,Ren,mast base,morning work,move_north,True,False,False,True,True
289,25,orchard,Ivo,market plank,morning work,inspect_object,True,False,True,True,True
290,25,repair_ring,Pax,arrival court,morning work,place_object,True,False,True,True,True
291,25,riverbend,Ari,arrival court,midday exchange,move_north,True,False,False,True,True
292,25,roofward,Sera,ledger loft,midday exchange,inspect_object,True,False,True,True,True
293,25,archive,Nia,stone stacks,midday exchange,place_object,True,False,True,True,True
294,25,signal,Ren,mast base,evening repair,ask_dialect_memory,True,False,True,True,True
295,25,orchard,Ivo,market plank,evening repair,rest,True,True,False,True,True
296,25,repair_ring,Pax,arrival court,evening repair,dry_off,True,True,False,True,True
297,25,riverbend,Ari,arrival court,night memory,ask_dialect_memory,True,False,False,True,True
298,25,roofward,Sera,ledger loft,night memory,rest,True,True,False,True,True
299,25,archive,Nia,stone stacks,night memory,dry_off,True,True,False,True,True
300,26,signal,Milo,lantern walk,morning work,move_east,True,False,False,True,True
301,26,orchard,Mara,market plank,morning work,pick_up_object,True,False,True,True,True
302,26,repair_ring,Juno,arrival court,morning work,talk_resident,True,True,False,True,True
303,26,riverbend,Lio,dry ridge,midday exchange,move_east,True,False,False,True,True
304,26,roofward,Fay,ledger loft,midday exchange,pick_up_object,True,False,True,True,True
305,26,archive,Toma,spool room,midday exchange,talk_resident,True,True,False,True,True
306,26,signal,Milo,lens room,evening repair,wait_for_schedule,True,False,False,True,True
307,26,orchard,Mara,market plank,evening repair,warm_up,True,True,False,True,True
308,26,repair_ring,Juno,arrival court,evening repair,avoid_hazard,True,True,True,True,True
309,26,riverbend,Lio,arrival court,night memory,wait_for_schedule,True,False,False,True,True
310,26,roofward,Fay,ledger loft,night memory,warm_up,True,True,False,True,True
311,26,archive,Toma,spool room,night memory,avoid_hazard,True,True,False,True,True
312,27,signal,Ren,arrival court,morning work,inspect_object,True,False,True,True,True
313,27,orchard,Ivo,market plank,morning work,place_object,True,False,True,True,True
314,27,repair_ring,Pax,arrival court,morning work,ask_dialect_memory,True,False,False,True,True
315,27,riverbend,Ari,arrival court,midday exchange,inspect_object,True,False,True,True,True
316,27,roofward,Sera,ledger loft,midday exchange,place_object,True,False,True,True,True
317,27,archive,Nia,ink niche,midday exchange,ask_dialect_memory,True,False,False,True,True
318,27,signal,Ren,arrival court,evening repair,rest,True,True,False,True,True
319,27,orchard,Ivo,market plank,evening repair,dry_off,True,True,False,True,True
320,27,repair_ring,Pax,wire bench,evening repair,move_north,True,False,False,True,True
321,27,riverbend,Ari,arrival court,night memory,rest,True,True,False,True,True
322,27,roofward,Sera,ledger loft,night memory,dry_off,True,True,True,True,True
323,27,archive,Nia,stone stacks,night memory,move_north,True,False,False,True,True
324,28,orchard,Ivo,satchel shed,morning work,place_object,True,False,True,True,True
325,28,repair_ring,Pax,wire bench,morning work,ask_dialect_memory,True,False,False,True,True
326,28,riverbend,Ari,arrival court,morning work,inspect_object,True,False,True,True,True
327,28,roofward,Sera,ledger loft,midday exchange,place_object,True,False,True,True,True
328,28,archive,Nia,stone stacks,midday exchange,ask_dialect_memory,True,False,False,True,True
329,28,signal,Ren,arrival court,midday exchange,rest,True,True,True,True,True
330,28,orchard,Ivo,satchel shed,evening repair,dry_off,True,True,False,True,True
331,28,repair_ring,Pax,bell alcove,evening repair,move_north,True,False,False,True,True
332,28,riverbend,Ari,arrival court,evening repair,rest,True,True,False,True,True
333,28,roofward,Sera,ledger loft,night memory,dry_off,True,True,False,True,True
334,28,archive,Nia,spool room,night memory,move_north,True,False,False,True,True
335,28,signal,Ren,arrival court,night memory,inspect_object,True,False,True,True,True
336,29,orchard,Mara,arrival court,morning work,talk_resident,True,True,True,True,True
337,29,repair_ring,Juno,wire bench,morning work,wait_for_schedule,True,False,False,True,True
338,29,riverbend,Lio,arrival court,morning work,pick_up_object,True,False,True,True,True
339,29,roofward,Fay,ledger loft,midday exchange,talk_resident,True,True,False,True,True
340,29,archive,Toma,ink niche,midday exchange,wait_for_schedule,True,False,False,True,True
341,29,signal,Milo,arrival court,midday exchange,warm_up,True,True,False,True,True
342,29,orchard,Mara,arrival court,evening repair,avoid_hazard,True,True,False,True,True
343,29,repair_ring,Juno,bell alcove,evening repair,move_east,True,False,True,True,True
344,29,riverbend,Lio,arrival court,evening repair,warm_up,True,True,False,True,True
345,29,roofward,Fay,ledger loft,night memory,avoid_hazard,True,True,False,True,True
346,29,archive,Toma,arrival court,night memory,move_east,True,False,False,True,True
347,29,signal,Milo,arrival court,night memory,pick_up_object,True,False,True,True,True
348,30,orchard,Ivo,seed lane,morning work,ask_dialect_memory,True,False,False,True,True
349,30,repair_ring,Pax,bell alcove,morning work,rest,True,True,False,True,True
350,30,riverbend,Ari,arrival court,morning work,place_object,True,False,True,True,True
351,30,roofward,Sera,ledger loft,midday exchange,ask_dialect_memory,True,False,False,True,True
352,30,archive,Nia,arrival court,midday exchange,rest,True,True,False,True,True
353,30,signal,Ren,arrival court,midday exchange,dry_off,True,True,False,True,True
354,30,orchard,Ivo,market plank,evening repair,move_north,True,False,False,True,True
355,30,repair_ring,Pax,bell alcove,evening repair,inspect_object,True,False,True,True,True
356,30,riverbend,Ari,arrival court,evening repair,dry_off,True,True,False,True,True
357,30,roofward,Sera,glass stair,night memory,move_north,True,False,True,True,True
358,30,archive,Nia,stone stacks,night memory,inspect_object,True,False,True,True,True
359,30,signal,Ren,arrival court,night memory,place_object,True,False,True,True,True
360,31,orchard,Mara,satchel shed,morning work,wait_for_schedule,True,False,False,True,True
361,31,repair_ring,Juno,bell alcove,morning work,warm_up,True,True,False,True,True
362,31,riverbend,Lio,arrival court,morning work,talk_resident,True,True,False,True,True
363,31,roofward,Fay,ledger loft,midday exchange,wait_for_schedule,True,False,False,True,True
