tick,day,replay_id,scene_id,includes_object_dialogue,includes_agent_request,includes_reaction_consequence,includes_later_pathing,includes_access_refusal,includes_storage_snapshot,deterministic_order,replay_integrity_score
29,2,v23-replay-0029,v23-scene-d02,1,True,1,1,1,1,1,0.954167
30,2,v23-replay-0030,v23-scene-d02,1,1,1,1,1,1,1,0.9375
31,2,v23-replay-0031,v23-scene-d02,1,1,1,1,0,1,1,0.96875
32,3,v23-replay-0032,v23-scene-d03,0,False,1,1,1,1,1,0.90625
33,3,v23-replay-0033,v23-scene-d03,1,True,1,1,1,1,1,0.979167
34,3,v23-replay-0034,v23-scene-d03,1,1,1,1,1,1,1,0.9375
35,3,v23-replay-0035,v23-scene-d03,1,1,1,1,1,1,1,0.9375
36,3,v23-replay-0036,v23-scene-d03,1,1,1,1,1,1,1,0.947917
37,3,v23-replay-0037,v23-scene-d03,1,1,1,1,1,1,1,0.93125
38,3,v23-replay-0038,v23-scene-d03,1,1,1,1,1,1,1,0.9375
39,3,v23-replay-0039,v23-scene-d03,0,False,1,1,1,1,1,0.94375
40,3,v23-replay-0040,v23-scene-d03,1,1,1,1,1,1,1,0.9375
41,3,v23-replay-0041,v23-scene-d03,1,1,1,1,1,1,1,0.96875
42,3,v23-replay-0042,v23-scene-d03,1,1,1,1,1,1,1,0.9125
43,3,v23-replay-0043,v23-scene-d03,1,False,1,1,1,1,1,0.96875
44,3,v23-replay-0044,v23-scene-d03,1,1,1,1,1,1,1,0.954167
45,3,v23-replay-0045,v23-scene-d03,1,True,0,0,1,0,1,0.858333
46,3,v23-replay-0046,v23-scene-d03,0,False,1,1,1,1,1,0.94375
47,3,v23-replay-0047,v23-scene-d03,1,1,1,1,1,1,1,0.9625
48,4,v23-replay-0048,v23-scene-d04,1,1,1,1,1,1,1,1.0
49,4,v23-replay-0049,v23-scene-d04,1,True,1,1,1,1,1,0.910417
50,4,v23-replay-0050,v23-scene-d04,1,1,1,1,1,1,1,0.954167
51,4,v23-replay-0051,v23-scene-d04,0,False,0,1,1,1,1,0.860417
52,4,v23-replay-0052,v23-scene-d04,0,False,1,1,1,1,1,0.94375
53,4,v23-replay-0053,v23-scene-d04,1,1,1,1,1,1,1,0.9375
54,4,v23-replay-0054,v23-scene-d04,1,1,1,1,1,1,1,0.916667
55,4,v23-replay-0055,v23-scene-d04,1,1,1,1,1,1,1,0.9125
56,4,v23-replay-0056,v23-scene-d04,1,1,1,1,1,1,1,0.975
57,4,v23-replay-0057,v23-scene-d04,1,True,1,1,1,1,1,0.979167
58,4,v23-replay-0058,v23-scene-d04,1,1,1,1,1,1,1,0.9375
59,4,v23-replay-0059,v23-scene-d04,0,False,0,1,0,1,1,0.829167
60,4,v23-replay-0060,v23-scene-d04,1,1,1,1,1,1,1,1.0
61,4,v23-replay-0061,v23-scene-d04,1,1,1,1,1,1,1,0.9125
62,4,v23-replay-0062,v23-scene-d04,1,1,1,1,1,1,1,0.879167
63,4,v23-replay-0063,v23-scene-d04,1,1,1,1,1,1,1,0.9375
64,5,v23-replay-0064,v23-scene-d05,1,1,1,1,1,1,1,1.0
65,5,v23-replay-0065,v23-scene-d05,1,1,1,1,1,1,1,1.0
66,5,v23-replay-0066,v23-scene-d05,1,1,1,1,1,1,1,0.96875
67,5,v23-replay-0067,v23-scene-d05,1,1,1,1,1,1,1,0.879167
68,5,v23-replay-0068,v23-scene-d05,1,1,1,1,1,1,1,0.95
69,5,v23-replay-0069,v23-scene-d05,0,True,0,1,1,0,1,0.870833
70,5,v23-replay-0070,v23-scene-d05,1,1,1,1,1,1,1,0.954167
71,5,v23-replay-0071,v23-scene-d05,1,1,1,1,1,1,1,0.975
72,5,v23-replay-0072,v23-scene-d05,1,1,1,1,1,1,1,0.975
73,5,v23-replay-0073,v23-scene-d05,1,True,1,1,1,1,1,0.922917
74,5,v23-replay-0074,v23-scene-d05,1,False,1,1,1,1,1,0.96875
75,5,v23-replay-0075,v23-scene-d05,1,1,1,1,1,1,1,0.975
76,5,v23-replay-0076,v23-scene-d05,1,1,1,1,1,1,1,0.975
77,5,v23-replay-0077,v23-scene-d05,1,True,1,1,1,1,1,0.947917
78,5,v23-replay-0078,v23-scene-d05,1,1,0,1,0,1,1,0.860417
79,5,v23-replay-0079,v23-scene-d05,1,1,1,1,1,1,1,0.9375
80,6,v23-replay-0080,v23-scene-d06,1,1,1,1,1,1,1,0.94375
81,6,v23-replay-0081,v23-scene-d06,1,1,1,1,0,1,1,0.891667
82,6,v23-replay-0082,v23-scene-d06,1,1,1,1,1,1,1,0.9625
83,6,v23-replay-0083,v23-scene-d06,0,False,1,1,1,1,1,0.94375
84,6,v23-replay-0084,v23-scene-d06,1,1,1,1,1,1,1,1.0
85,6,v23-replay-0085,v23-scene-d06,1,True,1,1,1,1,1,0.947917
86,6,v23-replay-0086,v23-scene-d06,1,1,1,1,1,1,1,0.975
87,6,v23-replay-0087,v23-scene-d06,1,1,1,1,1,1,1,0.975
88,6,v23-replay-0088,v23-scene-d06,1,1,1,1,1,1,1,0.9375
89,6,v23-replay-0089,v23-scene-d06,1,True,1,1,1,1,1,0.947917
90,6,v23-replay-0090,v23-scene-d06,1,1,1,1,1,1,1,0.9125
91,6,v23-replay-0091,v23-scene-d06,1,1,1,1,1,1,1,0.916667
92,6,v23-replay-0092,v23-scene-d06,1,1,1,1,1,1,1,0.9625
93,6,v23-replay-0093,v23-scene-d06,1,1,1,1,1,1,1,1.0
94,6,v23-replay-0094,v23-scene-d06,1,1,1,1,1,1,1,0.95
95,6,v23-replay-0095,v23-scene-d06,1,1,1,1,1,1,1,0.90625
96,7,v23-replay-0096,v23-scene-d07,1,1,1,1,1,1,1,1.0
97,7,v23-replay-0097,v23-scene-d07,1,True,1,1,1,0,1,0.889583
98,7,v23-replay-0098,v23-scene-d07,1,1,1,1,1,1,1,0.954167
99,7,v23-replay-0099,v23-scene-d07,1,1,1,1,1,1,1,0.95
100,7,v23-replay-0100,v23-scene-d07,1,1,1,1,1,1,1,0.96875
101,7,v23-replay-0101,v23-scene-d07,0,True,0,1,1,0,1,0.870833
102,7,v23-replay-0102,v23-scene-d07,1,1,1,1,1,1,1,0.9375
103,7,v23-replay-0103,v23-scene-d07,1,1,1,1,0,1,1,0.9375
104,7,v23-replay-0104,v23-scene-d07,1,1,1,1,1,1,1,1.0
105,7,v23-replay-0105,v23-scene-d07,1,True,1,1,1,1,1,0.910417
106,7,v23-replay-0106,v23-scene-d07,0,False,1,1,1,1,1,0.94375
107,7,v23-replay-0107,v23-scene-d07,1,1,1,1,1,1,1,0.9125
108,7,v23-replay-0108,v23-scene-d07,1,1,1,1,1,1,1,0.975
109,7,v23-replay-0109,v23-scene-d07,1,True,1,1,1,0,1,0.958333
110,7,v23-replay-0110,v23-scene-d07,1,1,1,1,1,1,1,0.975
111,7,v23-replay-0111,v23-scene-d07,1,1,1,1,1,1,1,0.9375
112,8,v23-replay-0112,v23-scene-d08,1,1,1,1,1,1,1,0.9375
113,8,v23-replay-0113,v23-scene-d08,1,True,1,1,1,1,1,0.979167
114,8,v23-replay-0114,v23-scene-d08,1,1,1,1,1,1,1,0.975
115,8,v23-replay-0115,v23-scene-d08,1,1,1,1,1,1,1,0.975
116,8,v23-replay-0116,v23-scene-d08,1,1,1,1,1,1,1,1.0
117,8,v23-replay-0117,v23-scene-d08,1,True,1,1,1,1,1,0.910417
118,8,v23-replay-0118,v23-scene-d08,1,1,1,1,1,1,1,0.891667
119,8,v23-replay-0119,v23-scene-d08,1,1,1,1,1,1,1,1.0
120,8,v23-replay-0120,v23-scene-d08,0,False,1,1,1,1,1,0.94375
121,8,v23-replay-0121,v23-scene-d08,0,True,1,1,1,1,1,0.922917
122,8,v23-replay-0122,v23-scene-d08,1,1,1,1,0,1,1,0.93125
123,8,v23-replay-0123,v23-scene-d08,0,False,1,1,1,1,1,0.922917
124,8,v23-replay-0124,v23-scene-d08,1,1,1,1,1,1,1,0.91875
125,8,v23-replay-0125,v23-scene-d08,1,True,1,1,1,1,1,0.979167
126,8,v23-replay-0126,v23-scene-d08,1,1,1,1,1,1,1,0.9375
127,8,v23-replay-0127,v23-scene-d08,1,1,1,1,1,1,1,0.9375
128,9,v23-replay-0128,v23-scene-d09,1,1,1,1,1,1,1,1.0
129,9,v23-replay-0129,v23-scene-d09,1,1,1,1,1,1,1,0.979167
130,9,v23-replay-0130,v23-scene-d09,1,1,1,1,1,1,1,0.975
131,9,v23-replay-0131,v23-scene-d09,0,False,0,1,1,1,1,0.860417
132,9,v23-replay-0132,v23-scene-d09,1,1,0,1,1,0,1,0.839583
133,9,v23-replay-0133,v23-scene-d09,1,True,1,1,1,1,1,0.885417
134,9,v23-replay-0134,v23-scene-d09,1,1,1,1,0,1,1,0.9375
135,9,v23-replay-0135,v23-scene-d09,1,1,1,1,1,1,1,0.975
136,9,v23-replay-0136,v23-scene-d09,1,False,1,1,0,1,1,0.90625
137,9,v23-replay-0137,v23-scene-d09,1,True,1,1,1,1,1,0.954167
138,9,v23-replay-0138,v23-scene-d09,1,1,1,1,1,1,1,0.975
139,9,v23-replay-0139,v23-scene-d09,1,1,1,1,0,1,1,0.96875
140,9,v23-replay-0140,v23-scene-d09,1,1,1,1,0,1,1,0.879167
141,9,v23-replay-0141,v23-scene-d09,0,True,1,1,1,1,1,0.954167
142,9,v23-replay-0142,v23-scene-d09,1,1,1,1,1,1,1,0.975
143,9,v23-replay-0143,v23-scene-d09,1,1,1,1,1,1,1,0.975
144,10,v23-replay-0144,v23-scene-d10,1,1,1,1,1,1,1,0.975
145,10,v23-replay-0145,v23-scene-d10,1,1,1,1,1,1,1,0.9625
146,10,v23-replay-0146,v23-scene-d10,1,1,1,1,1,1,1,0.95
147,10,v23-replay-0147,v23-scene-d10,1,1,1,1,1,1,1,0.975
148,10,v23-replay-0148,v23-scene-d10,1,1,1,1,1,1,1,0.96875
149,10,v23-replay-0149,v23-scene-d10,1,1,1,1,0,1,1,0.96875
150,10,v23-replay-0150,v23-scene-d10,1,1,1,1,1,1,1,0.975
151,10,v23-replay-0151,v23-scene-d10,1,1,1,1,1,1,1,0.975
152,10,v23-replay-0152,v23-scene-d10,1,1,1,1,1,1,1,0.9375
153,10,v23-replay-0153,v23-scene-d10,1,1,1,1,1,1,1,0.96875
154,10,v23-replay-0154,v23-scene-d10,0,False,1,1,1,1,1,0.94375
155,10,v23-replay-0155,v23-scene-d10,1,1,1,1,1,1,1,0.954167
156,10,v23-replay-0156,v23-scene-d10,1,1,1,1,1,1,1,0.891667
157,10,v23-replay-0157,v23-scene-d10,0,False,1,1,1,1,1,0.854167
158,10,v23-replay-0158,v23-scene-d10,1,1,1,1,1,1,1,0.9125
159,10,v23-replay-0159,v23-scene-d10,1,1,1,1,1,1,1,0.9125
160,11,v23-replay-0160,v23-scene-d11,1,1,0,0,1,0,1,0.802083
161,11,v23-replay-0161,v23-scene-d11,1,True,1,1,1,1,1,0.941667
162,11,v23-replay-0162,v23-scene-d11,1,1,1,1,0,1,1,0.93125
163,11,v23-replay-0163,v23-scene-d11,1,1,1,1,1,1,1,0.96875
164,11,v23-replay-0164,v23-scene-d11,1,1,1,1,1,1,1,0.975
165,11,v23-replay-0165,v23-scene-d11,1,1,1,1,0,1,1,0.9375
166,11,v23-replay-0166,v23-scene-d11,1,1,1,1,1,1,1,0.975
167,11,v23-replay-0167,v23-scene-d11,1,False,1,1,0,1,1,0.9
168,11,v23-replay-0168,v23-scene-d11,1,1,1,1,1,1,1,0.975
169,11,v23-replay-0169,v23-scene-d11,1,1,1,1,1,1,1,1.0
170,11,v23-replay-0170,v23-scene-d11,1,1,1,1,1,1,1,1.0
171,11,v23-replay-0171,v23-scene-d11,1,1,1,1,1,1,1,1.0
172,11,v23-replay-0172,v23-scene-d11,1,1,1,1,1,1,1,0.9375
173,11,v23-replay-0173,v23-scene-d11,1,1,1,1,1,1,1,0.916667
174,11,v23-replay-0174,v23-scene-d11,1,1,1,1,1,1,1,0.9375
175,11,v23-replay-0175,v23-scene-d11,1,1,1,1,1,1,1,0.8875
176,12,v23-replay-0176,v23-scene-d12,1,1,1,1,0,1,1,0.947917
177,12,v23-replay-0177,v23-scene-d12,1,True,0,1,1,0,1,0.895833
178,12,v23-replay-0178,v23-scene-d12,1,1,0,1,1,1,1,0.860417
179,12,v23-replay-0179,v23-scene-d12,1,1,1,1,1,1,1,0.975
180,12,v23-replay-0180,v23-scene-d12,1,1,1,1,1,1,1,0.975
181,12,v23-replay-0181,v23-scene-d12,0,True,1,1,1,1,1,0.954167
182,12,v23-replay-0182,v23-scene-d12,1,1,1,1,1,1,1,0.94375
183,12,v23-replay-0183,v23-scene-d12,1,1,1,1,1,1,1,0.979167
184,12,v23-replay-0184,v23-scene-d12,1,1,1,1,1,1,1,0.9375
185,12,v23-replay-0185,v23-scene-d12,1,1,1,1,1,1,1,0.875
186,12,v23-replay-0186,v23-scene-d12,1,1,1,1,1,1,1,0.9375
187,12,v23-replay-0187,v23-scene-d12,1,1,1,1,1,1,1,0.975
188,12,v23-replay-0188,v23-scene-d12,0,False,1,1,1,1,1,0.94375
189,12,v23-replay-0189,v23-scene-d12,1,True,1,1,1,1,1,0.947917
190,12,v23-replay-0190,v23-scene-d12,1,1,1,1,0,1,1,0.93125
191,12,v23-replay-0191,v23-scene-d12,1,1,1,1,1,1,1,0.879167
192,13,v23-replay-0192,v23-scene-d13,1,1,1,1,1,1,1,0.929167
193,13,v23-replay-0193,v23-scene-d13,0,True,1,1,1,1,1,0.922917
194,13,v23-replay-0194,v23-scene-d13,0,False,1,1,1,1,1,0.94375
195,13,v23-replay-0195,v23-scene-d13,1,1,1,1,1,1,1,0.9375
196,13,v23-replay-0196,v23-scene-d13,1,1,1,1,1,1,1,0.9375
197,13,v23-replay-0197,v23-scene-d13,1,1,1,1,1,1,1,0.9625
198,13,v23-replay-0198,v23-scene-d13,1,False,1,1,1,1,1,0.9125
199,13,v23-replay-0199,v23-scene-d13,0,False,1,1,1,1,1,0.94375
200,13,v23-replay-0200,v23-scene-d13,1,1,1,1,0,1,1,0.96875
201,13,v23-replay-0201,v23-scene-d13,0,True,1,1,1,1,1,0.954167
202,13,v23-replay-0202,v23-scene-d13,1,1,1,1,1,1,1,0.975
203,13,v23-replay-0203,v23-scene-d13,1,1,1,1,1,1,1,0.979167
204,13,v23-replay-0204,v23-scene-d13,1,1,1,1,1,1,1,0.9375
205,13,v23-replay-0205,v23-scene-d13,1,True,1,1,1,1,1,0.947917
206,13,v23-replay-0206,v23-scene-d13,1,1,1,1,1,1,1,0.975
207,13,v23-replay-0207,v23-scene-d13,1,1,1,1,1,1,1,0.9625
208,14,v23-replay-0208,v23-scene-d14,1,1,1,1,1,1,1,0.9
209,14,v23-replay-0209,v23-scene-d14,1,True,1,1,1,1,1,0.954167
210,14,v23-replay-0210,v23-scene-d14,1,1,1,1,0,1,1,0.93125
211,14,v23-replay-0211,v23-scene-d14,0,False,1,1,1,1,1,0.94375
212,14,v23-replay-0212,v23-scene-d14,1,1,1,1,0,1,1,0.93125
213,14,v23-replay-0213,v23-scene-d14,1,True,1,1,1,1,1,0.954167
214,14,v23-replay-0214,v23-scene-d14,1,1,1,1,1,1,1,0.941667
215,14,v23-replay-0215,v23-scene-d14,1,1,1,1,1,1,1,0.975
216,14,v23-replay-0216,v23-scene-d14,1,1,1,1,1,1,1,0.975
217,14,v23-replay-0217,v23-scene-d14,0,True,1,1,1,1,1,0.916667
218,14,v23-replay-0218,v23-scene-d14,0,False,1,1,1,1,1,0.94375
219,14,v23-replay-0219,v23-scene-d14,1,1,1,1,1,1,1,0.975
220,14,v23-replay-0220,v23-scene-d14,1,1,1,1,1,1,1,0.975
221,14,v23-replay-0221,v23-scene-d14,1,True,1,1,1,1,1,0.947917
222,14,v23-replay-0222,v23-scene-d14,1,1,1,1,1,1,1,0.954167
223,14,v23-replay-0223,v23-scene-d14,1,1,1,1,1,1,1,0.975
224,15,v23-replay-0224,v23-scene-d15,1,1,1,1,1,1,1,0.95
225,15,v23-replay-0225,v23-scene-d15,0,True,1,1,1,1,1,0.922917
226,15,v23-replay-0226,v23-scene-d15,1,1,1,1,1,1,1,0.954167
227,15,v23-replay-0227,v23-scene-d15,1,1,1,1,1,1,1,0.9375
228,15,v23-replay-0228,v23-scene-d15,1,1,1,1,1,1,1,0.975
229,15,v23-replay-0229,v23-scene-d15,1,True,1,1,1,0,1,0.9375
230,15,v23-replay-0230,v23-scene-d15,1,1,1,1,1,1,1,0.975
231,15,v23-replay-0231,v23-scene-d15,0,False,1,1,1,1,1,0.94375
232,15,v23-replay-0232,v23-scene-d15,1,1,1,1,1,1,1,0.95
233,15,v23-replay-0233,v23-scene-d15,1,1,1,1,1,1,1,0.96875
234,15,v23-replay-0234,v23-scene-d15,1,1,1,1,1,1,1,0.9375
235,15,v23-replay-0235,v23-scene-d15,1,1,1,1,1,1,1,0.9625
236,15,v23-replay-0236,v23-scene-d15,1,1,1,1,1,1,1,0.9625
237,15,v23-replay-0237,v23-scene-d15,1,1,1,1,1,1,1,0.9375
238,15,v23-replay-0238,v23-scene-d15,1,1,1,1,1,1,1,1.0
239,15,v23-replay-0239,v23-scene-d15,1,1,1,1,1,1,1,0.975
240,16,v23-replay-0240,v23-scene-d16,1,1,1,1,1,1,1,0.96875
241,16,v23-replay-0241,v23-scene-d16,1,True,1,1,1,1,1,0.910417
242,16,v23-replay-0242,v23-scene-d16,1,1,1,1,1,1,1,0.9375
243,16,v23-replay-0243,v23-scene-d16,1,1,1,1,1,1,1,0.95
244,16,v23-replay-0244,v23-scene-d16,1,1,1,1,1,1,1,0.9375
245,16,v23-replay-0245,v23-scene-d16,1,1,1,1,0,1,1,0.9375
246,16,v23-replay-0246,v23-scene-d16,1,1,1,1,1,1,1,1.0
247,16,v23-replay-0247,v23-scene-d16,1,1,1,1,1,1,1,0.9
248,16,v23-replay-0248,v23-scene-d16,1,1,1,1,1,1,1,1.0
249,16,v23-replay-0249,v23-scene-d16,1,True,1,1,1,1,1,0.979167
250,16,v23-replay-0250,v23-scene-d16,1,1,1,1,1,1,1,0.922917
251,16,v23-replay-0251,v23-scene-d16,1,1,1,1,1,1,1,0.875
252,16,v23-replay-0252,v23-scene-d16,1,1,1,1,1,1,1,0.9375
253,16,v23-replay-0253,v23-scene-d16,1,1,1,1,0,1,1,0.910417
254,16,v23-replay-0254,v23-scene-d16,1,1,1,1,1,1,1,0.975
255,16,v23-replay-0255,v23-scene-d16,1,1,1,1,1,1,1,0.979167
256,17,v23-replay-0256,v23-scene-d17,1,1,1,1,1,1,1,0.9375
257,17,v23-replay-0257,v23-scene-d17,1,1,1,0,1,1,1,0.8625
258,17,v23-replay-0258,v23-scene-d17,1,1,1,1,1,1,1,1.0
259,17,v23-replay-0259,v23-scene-d17,1,1,1,1,1,1,1,0.975
260,17,v23-replay-0260,v23-scene-d17,1,False,1,1,1,1,1,0.94375
261,17,v23-replay-0261,v23-scene-d17,1,1,1,1,0,1,1,0.96875
262,17,v23-replay-0262,v23-scene-d17,1,1,1,1,1,1,1,0.9625
263,17,v23-replay-0263,v23-scene-d17,1,1,1,1,1,1,1,0.9375
264,17,v23-replay-0264,v23-scene-d17,1,1,1,1,1,1,1,1.0
265,17,v23-replay-0265,v23-scene-d17,1,True,1,1,1,1,1,0.941667
266,17,v23-replay-0266,v23-scene-d17,1,1,1,1,1,1,1,0.947917
267,17,v23-replay-0267,v23-scene-d17,1,1,1,1,1,1,1,0.9375
268,17,v23-replay-0268,v23-scene-d17,0,False,1,1,1,1,1,0.9125
269,17,v23-replay-0269,v23-scene-d17,1,1,1,1,1,1,1,0.947917
270,17,v23-replay-0270,v23-scene-d17,1,1,1,1,1,1,1,0.9125
271,17,v23-replay-0271,v23-scene-d17,1,1,1,1,1,1,1,0.975
272,18,v23-replay-0272,v23-scene-d18,1,1,1,1,1,1,1,0.9375
273,18,v23-replay-0273,v23-scene-d18,0,True,1,1,1,1,1,0.922917
274,18,v23-replay-0274,v23-scene-d18,1,1,1,1,1,1,1,0.975
275,18,v23-replay-0275,v23-scene-d18,1,1,1,1,1,1,1,0.975
276,18,v23-replay-0276,v23-scene-d18,1,1,1,1,1,1,1,0.94375
277,18,v23-replay-0277,v23-scene-d18,1,1,1,1,1,1,1,0.9375
278,18,v23-replay-0278,v23-scene-d18,1,1,1,1,1,1,1,0.975
279,18,v23-replay-0279,v23-scene-d18,1,1,1,1,1,1,1,0.9375
280,18,v23-replay-0280,v23-scene-d18,0,False,1,1,1,1,1,0.94375
281,18,v23-replay-0281,v23-scene-d18,1,True,1,1,1,1,1,0.941667
282,18,v23-replay-0282,v23-scene-d18,1,1,1,1,1,1,1,0.954167
283,18,v23-replay-0283,v23-scene-d18,1,1,1,1,0,1,1,0.90625
284,18,v23-replay-0284,v23-scene-d18,1,1,1,1,1,1,1,0.954167
285,18,v23-replay-0285,v23-scene-d18,1,True,1,1,1,1,1,0.947917
286,18,v23-replay-0286,v23-scene-d18,1,1,1,1,1,1,1,0.9375
287,18,v23-replay-0287,v23-scene-d18,1,1,1,1,1,1,1,0.975
288,19,v23-replay-0288,v23-scene-d19,1,1,1,1,1,1,1,0.975
289,19,v23-replay-0289,v23-scene-d19,1,1,1,1,1,1,1,0.95
290,19,v23-replay-0290,v23-scene-d19,1,1,1,1,1,1,1,1.0
291,19,v23-replay-0291,v23-scene-d19,1,False,1,1,1,1,1,0.96875
292,19,v23-replay-0292,v23-scene-d19,1,1,1,1,1,1,1,0.9
293,19,v23-replay-0293,v23-scene-d19,1,True,1,1,1,1,1,0.979167
294,19,v23-replay-0294,v23-scene-d19,1,1,1,1,1,1,1,0.95
295,19,v23-replay-0295,v23-scene-d19,1,1,1,1,1,1,1,1.0
296,19,v23-replay-0296,v23-scene-d19,1,1,1,1,1,1,1,0.916667
297,19,v23-replay-0297,v23-scene-d19,1,True,1,1,1,0,1,0.889583
298,19,v23-replay-0298,v23-scene-d19,1,1,1,1,1,1,1,0.96875
299,19,v23-replay-0299,v23-scene-d19,1,1,1,1,1,1,1,0.9375
300,19,v23-replay-0300,v23-scene-d19,1,1,1,1,1,1,1,0.975
301,19,v23-replay-0301,v23-scene-d19,1,True,1,1,1,1,1,0.979167
302,19,v23-replay-0302,v23-scene-d19,1,1,1,1,1,1,1,0.95
303,19,v23-replay-0303,v23-scene-d19,1,1,0,1,1,1,1,0.860417
304,20,v23-replay-0304,v23-scene-d20,1,1,1,1,1,1,1,0.975
305,20,v23-replay-0305,v23-scene-d20,0,False,1,1,1,1,1,0.922917
306,20,v23-replay-0306,v23-scene-d20,1,1,1,1,1,1,1,0.975
307,20,v23-replay-0307,v23-scene-d20,1,1,1,1,1,1,1,0.975
308,20,v23-replay-0308,v23-scene-d20,1,1,1,1,1,1,1,0.975
309,20,v23-replay-0309,v23-scene-d20,1,True,1,1,1,1,1,0.910417
310,20,v23-replay-0310,v23-scene-d20,1,1,1,1,1,1,1,0.96875
311,20,v23-replay-0311,v23-scene-d20,1,1,1,1,1,1,1,0.9125
312,20,v23-replay-0312,v23-scene-d20,1,1,1,1,1,1,1,0.941667
313,20,v23-replay-0313,v23-scene-d20,1,True,1,1,1,1,1,0.979167
314,20,v23-replay-0314,v23-scene-d20,1,1,1,1,1,1,1,0.975
315,20,v23-replay-0315,v23-scene-d20,1,1,1,1,1,1,1,0.929167
316,20,v23-replay-0316,v23-scene-d20,1,1,1,1,1,1,1,1.0
317,20,v23-replay-0317,v23-scene-d20,1,True,1,1,1,1,1,0.947917
318,20,v23-replay-0318,v23-scene-d20,1,1,1,1,1,1,1,0.9375
319,20,v23-replay-0319,v23-scene-d20,1,1,1,1,1,1,1,0.9375
320,21,v23-replay-0320,v23-scene-d21,1,1,1,1,1,1,1,0.975
321,21,v23-replay-0321,v23-scene-d21,1,True,1,1,1,1,1,0.979167
322,21,v23-replay-0322,v23-scene-d21,1,False,1,1,1,1,1,0.96875
323,21,v23-replay-0323,v23-scene-d21,1,1,1,1,1,1,1,0.9375
324,21,v23-replay-0324,v23-scene-d21,1,1,1,1,1,1,1,0.9375
325,21,v23-replay-0325,v23-scene-d21,1,True,1,1,1,1,1,0.910417
326,21,v23-replay-0326,v23-scene-d21,1,1,1,1,0,1,1,0.96875
327,21,v23-replay-0327,v23-scene-d21,1,1,1,0,1,1,1,0.80625
328,21,v23-replay-0328,v23-scene-d21,1,1,1,1,1,1,1,0.85625
329,21,v23-replay-0329,v23-scene-d21,1,1,1,1,1,1,1,0.9
330,21,v23-replay-0330,v23-scene-d21,1,1,1,1,1,1,1,0.9375
331,21,v23-replay-0331,v23-scene-d21,1,1,1,1,1,1,1,1.0
332,21,v23-replay-0332,v23-scene-d21,0,False,1,1,1,1,1,0.94375
333,21,v23-replay-0333,v23-scene-d21,1,1,1,1,1,1,1,0.9625
334,21,v23-replay-0334,v23-scene-d21,1,1,1,1,1,1,1,0.975
335,21,v23-replay-0335,v23-scene-d21,1,1,1,1,1,1,1,0.910417
336,22,v23-replay-0336,v23-scene-d22,1,1,1,1,1,1,1,1.0
337,22,v23-replay-0337,v23-scene-d22,1,1,1,1,1,1,1,0.879167
338,22,v23-replay-0338,v23-scene-d22,1,1,1,1,1,1,1,0.975
