technology_id,year,household_id,lineage_name,precursor,innovation,material_basis,maintenance_cost,safety_effect,market_effect,rollback_plan
tech_987_redstair,987,redstair,Redstair witness shell archive,heated moss wall,shell listening and dispute repair witness shell archive,"cool clay, shell resonance, still air",0.29,0.575,0.51,fall back to household ritual memory and manual repair if mechanism fails
tech_987_wheelwright,987,wheelwright,Wheelwright witness shell archive,heated moss wall,copper vane maintenance witness shell archive,"river spray, copper tang, wheel pulse",0.29,0.575,0.51,fall back to household ritual memory and manual repair if mechanism fails
tech_1597_westkeepers,1597,westkeepers,Westkeepers market canopy geometry,witness shell archive,stone-and-bronze pathwork market canopy geometry,"chalk dust, warm metal, echoing steps",0.272,0.65,0.58,fall back to household ritual memory and manual repair if mechanism fails
tech_1597_mossgarden,1597,mossgarden,Mossgarden market canopy geometry,witness shell archive,"seed, cup, and blanket care market canopy geometry","wet moss, seed oil, low humming",0.252,0.65,0.58,fall back to household ritual memory and manual repair if mechanism fails
tech_1597_ledgerkin,1597,ledgerkin,Ledgerkin market canopy geometry,witness shell archive,thread ledger counting market canopy geometry,"coin-clicks, wool thread, dry wood",0.232,0.65,0.58,fall back to household ritual memory and manual repair if mechanism fails
tech_1597_redstair,1597,redstair,Redstair market canopy geometry,witness shell archive,shell listening and dispute repair market canopy geometry,"cool clay, shell resonance, still air",0.272,0.65,0.58,fall back to household ritual memory and manual repair if mechanism fails
tech_1597_wheelwright,1597,wheelwright,Wheelwright market canopy geometry,witness shell archive,copper vane maintenance market canopy geometry,"river spray, copper tang, wheel pulse",0.272,0.65,0.58,fall back to household ritual memory and manual repair if mechanism fails
tech_2584_westkeepers,2584,westkeepers,Westkeepers storm route lattice,market canopy geometry,stone-and-bronze pathwork storm route lattice,"chalk dust, warm metal, echoing steps",0.254,0.725,0.65,fall back to household ritual memory and manual repair if mechanism fails
tech_2584_mossgarden,2584,mossgarden,Mossgarden storm route lattice,market canopy geometry,"seed, cup, and blanket care storm route lattice","wet moss, seed oil, low humming",0.234,0.725,0.65,fall back to household ritual memory and manual repair if mechanism fails
tech_2584_ledgerkin,2584,ledgerkin,Ledgerkin storm route lattice,market canopy geometry,thread ledger counting storm route lattice,"coin-clicks, wool thread, dry wood",0.214,0.725,0.65,fall back to household ritual memory and manual repair if mechanism fails
tech_2584_redstair,2584,redstair,Redstair storm route lattice,market canopy geometry,shell listening and dispute repair storm route lattice,"cool clay, shell resonance, still air",0.254,0.725,0.65,fall back to household ritual memory and manual repair if mechanism fails
tech_2584_wheelwright,2584,wheelwright,Wheelwright storm route lattice,market canopy geometry,copper vane maintenance storm route lattice,"river spray, copper tang, wheel pulse",0.254,0.725,0.65,fall back to household ritual memory and manual repair if mechanism fails
tech_4181_westkeepers,4181,westkeepers,Westkeepers proto-script tablets,storm route lattice,stone-and-bronze pathwork proto-script tablets,"chalk dust, warm metal, echoing steps",0.236,0.8,0.72,fall back to household ritual memory and manual repair if mechanism fails
tech_4181_mossgarden,4181,mossgarden,Mossgarden proto-script tablets,storm route lattice,"seed, cup, and blanket care proto-script tablets","wet moss, seed oil, low humming",0.216,0.8,0.72,fall back to household ritual memory and manual repair if mechanism fails
tech_4181_ledgerkin,4181,ledgerkin,Ledgerkin proto-script tablets,storm route lattice,thread ledger counting proto-script tablets,"coin-clicks, wool thread, dry wood",0.196,0.8,0.72,fall back to household ritual memory and manual repair if mechanism fails
tech_4181_redstair,4181,redstair,Redstair proto-script tablets,storm route lattice,shell listening and dispute repair proto-script tablets,"cool clay, shell resonance, still air",0.236,0.8,0.72,fall back to household ritual memory and manual repair if mechanism fails
tech_4181_wheelwright,4181,wheelwright,Wheelwright proto-script tablets,storm route lattice,copper vane maintenance proto-script tablets,"river spray, copper tang, wheel pulse",0.236,0.8,0.72,fall back to household ritual memory and manual repair if mechanism fails
