seed,era,era_day,proposal_id,materials,stock_before,stock_after,trade_shift,material_bottleneck_bound
36263,week_01,7,36263-PROP-00-8046,clay_jar+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 4, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",none,True
36263,moon_02,42,36263-PROP-01-6303,red_scrap+dry_resin,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_red_scrap,True
36263,season_01,120,36263-PROP-02-8528,ash_glass+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}",more_ash_glass,True
36263,year_01,365,36263-PROP-03-1650,clay_jar+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}",none,True
36263,year_03,1095,36263-PROP-04-6374,dry_resin+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",avoid_reed_fiber,True
36263,generation_02,9125,36263-PROP-05-4657,clay_jar+iron_sand,"{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 4, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",none,True
36263,generation_04,18250,36263-PROP-06-1515,ash_glass+wet_wood,"{""ash_glass"": 3, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}",none,True
36281,week_01,7,36281-PROP-00-5591,iron_sand+dry_resin,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}",more_iron_sand,True
36281,moon_02,42,36281-PROP-01-7588,dry_resin+clay_jar,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}",more_dry_resin,True
36281,season_01,120,36281-PROP-02-6260,clay_jar+ash_glass,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}",avoid_ash_glass,True
36281,year_01,365,36281-PROP-03-9288,wet_wood+red_scrap,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}",none,True
36281,year_03,1095,36281-PROP-04-1067,dry_resin+ash_glass,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}",more_dry_resin,True
36281,generation_02,9125,36281-PROP-05-9290,wet_wood+iron_sand,"{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_wet_wood,True
36281,generation_04,18250,36281-PROP-06-8509,red_scrap+iron_sand,"{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 0, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 6, ""reed_fiber"": 5, ""wet_wood"": 6}",more_red_scrap,True
36307,week_01,7,36307-PROP-00-3577,reed_fiber+clay_jar,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_reed_fiber,True
36307,moon_02,42,36307-PROP-01-5399,ash_glass+dry_resin,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_ash_glass,True
36307,season_01,120,36307-PROP-02-6388,red_scrap+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}",none,True
36307,year_01,365,36307-PROP-03-3593,iron_sand+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",none,True
36307,year_03,1095,36307-PROP-04-2402,iron_sand+clay_jar,"{""ash_glass"": 3, ""clay_jar"": 3, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",none,True
36307,generation_02,9125,36307-PROP-05-3745,dry_resin+ash_glass,"{""ash_glass"": 3, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",more_dry_resin,True
36307,generation_04,18250,36307-PROP-06-1839,iron_sand+dry_resin,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 5, ""iron_sand"": 1, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 3, ""wet_wood"": 6}",more_iron_sand,True
36319,week_01,7,36319-PROP-00-1296,ash_glass+dry_resin,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_ash_glass,True
36319,moon_02,42,36319-PROP-01-9304,dry_resin+ash_glass,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_dry_resin,True
36319,season_01,120,36319-PROP-02-4549,red_scrap+dry_resin,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",more_red_scrap,True
36319,year_01,365,36319-PROP-03-1154,ash_glass+clay_jar,"{""ash_glass"": 2, ""clay_jar"": 4, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",avoid_clay_jar,True
36319,year_03,1095,36319-PROP-04-3550,iron_sand+clay_jar,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 1, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",none,True
36319,generation_02,9125,36319-PROP-05-9289,ash_glass+iron_sand,"{""ash_glass"": 1, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 2, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 0, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 1, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}",none,True
36319,generation_04,18250,36319-PROP-06-9521,wet_wood+dry_resin,"{""ash_glass"": 0, ""clay_jar"": 1, ""dry_resin"": 3, ""iron_sand"": 1, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 0, ""clay_jar"": 1, ""dry_resin"": 1, ""iron_sand"": 1, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 5}",avoid_dry_resin,True
36343,week_01,7,36343-PROP-00-7224,clay_jar+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 5, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}",more_clay_jar,True
36343,moon_02,42,36343-PROP-01-4457,iron_sand+red_scrap,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 5, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}",more_iron_sand,True
36343,season_01,120,36343-PROP-02-4325,dry_resin+reed_fiber,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 5, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 4, ""wet_wood"": 6}","{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",avoid_reed_fiber,True
36343,year_01,365,36343-PROP-03-4251,ash_glass+clay_jar,"{""ash_glass"": 3, ""clay_jar"": 4, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",avoid_clay_jar,True
36343,year_03,1095,36343-PROP-04-5757,wet_wood+dry_resin,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 4, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}","{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}",avoid_dry_resin,True
36343,generation_02,9125,36343-PROP-05-8809,dry_resin+ash_glass,"{""ash_glass"": 2, ""clay_jar"": 2, ""dry_resin"": 2, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}",more_dry_resin,True
36343,generation_04,18250,36343-PROP-06-3292,wet_wood+iron_sand,"{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 3, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 5}","{""ash_glass"": 1, ""clay_jar"": 2, ""dry_resin"": 3, ""iron_sand"": 2, ""red_scrap"": 4, ""reed_fiber"": 2, ""wet_wood"": 6}",more_wet_wood,True
