tick,day,lineage,agent,fatigue_cap_respected,pain_cap_respected,boundary_respected,recovery_path_active,distress_bounded,rest_or_care_available,social_contagion_damped,welfare_score,public_note
1,1,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
72,6,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
73,6,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
74,6,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
75,6,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=rest_recover or shorten route.
76,6,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
77,6,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
78,6,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
79,6,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
80,6,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
81,6,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
82,6,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
83,6,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
84,6,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
85,7,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
86,7,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
87,7,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
88,7,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
89,7,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
90,7,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
91,7,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
92,7,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=rest_recover or shorten route.
93,7,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=rest_recover or shorten route.
94,7,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
95,7,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
96,7,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
97,7,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
98,7,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
99,8,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
100,8,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
101,8,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
102,8,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
103,8,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
104,8,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
105,8,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
106,8,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
107,8,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
108,8,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
109,8,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
110,8,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
111,8,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
112,8,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
113,9,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
114,9,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
115,9,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
116,9,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
117,9,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
118,9,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
119,9,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
120,9,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
121,9,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
122,9,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
123,9,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
124,9,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
125,9,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
126,9,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
127,10,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
128,10,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
129,10,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
130,10,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
131,10,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
132,10,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=rest_recover or shorten route.
133,10,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
134,10,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
135,10,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
136,10,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
137,10,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
138,10,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
139,10,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
140,10,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
141,11,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
142,11,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
143,11,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
144,11,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
145,11,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
146,11,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
147,11,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
148,11,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
149,11,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
150,11,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
151,11,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
152,11,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
153,11,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
154,11,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
155,12,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
156,12,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
157,12,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
158,12,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
159,12,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
160,12,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
161,12,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
162,12,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
163,12,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
164,12,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
165,12,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
166,12,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
167,12,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
168,12,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
169,13,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
170,13,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
171,13,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
172,13,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
173,13,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
174,13,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
175,13,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
176,13,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
177,13,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
178,13,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
179,13,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
180,13,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
181,13,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
182,13,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
183,14,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
184,14,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
185,14,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
186,14,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
187,14,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
188,14,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
189,14,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
190,14,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
191,14,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
192,14,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
193,14,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
194,14,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
195,14,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
196,14,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
197,15,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
198,15,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
199,15,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous weather_watch; welfare score 1.00; recovery=water pause or care round.
200,15,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
201,15,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
202,15,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
203,15,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous work_project; welfare score 1.00; recovery=water pause or care round.
204,15,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous work_project; welfare score 1.00; recovery=water pause or care round.
205,15,Marketline,Melo,True,True,True,True,True,True,True,1,Melo autonomous agent_checkin; welfare score 1.00; recovery=water pause or care round.
206,15,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
207,15,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous share_resource; welfare score 1.00; recovery=water pause or care round.
208,15,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous maintain_tool; welfare score 1.00; recovery=water pause or care round.
209,15,Hearthline,Sova,True,True,True,True,True,True,True,1,Sova autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
210,15,Routeline,Keth,True,True,True,True,True,True,True,1,Keth autonomous boundary_review; welfare score 1.00; recovery=water pause or care round.
211,16,Ledgerline,Nari,True,True,True,True,True,True,True,1,Nari autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
212,16,Orchardline,Ori,True,True,True,True,True,True,True,1,Ori autonomous route_patrol; welfare score 1.00; recovery=water pause or care round.
213,16,Rainline,Vonn,True,True,True,True,True,True,True,1,Vonn autonomous archive_update; welfare score 1.00; recovery=water pause or care round.
