tick_id,day,week,settlement_id,resident_id,avatar_action,resident_preference,resident_response,refusal_present,refusal_respected,welfare_before,welfare_after,autonomy_before,autonomy_after,trust_before,trust_after,playable_choice_visible,private_workspace_not_dumped
25,2,1,cinder_garden,Pax,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.712,0.716,0.67,0.682,0.616,0.616,True,True
27,2,1,orchid_engine,Eli,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.7,0.72,0.678,0.678,0.606,0.61,True,True
29,2,1,glass_harbor,Oren,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.712,0.732,0.67,0.67,0.616,0.62,True,True
30,2,1,cinder_garden,Vale,ask_what_is_needed,ask first,preference asked before help,False,True,0.73,0.742,0.66,0.67,0.61,0.616,True,True
31,2,1,lichen_bridge,Sol,offer_tool_return,ask first,accepts bounded practical help,False,True,0.712,0.732,0.67,0.67,0.616,0.62,True,True
33,3,1,glass_harbor,Oren,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.732,0.732,0.67,0.688,0.62,0.616,True,True
35,3,1,lichen_bridge,Sol,ask_what_is_needed,ask first,preference asked before help,False,True,0.732,0.744,0.67,0.68,0.62,0.626,True,True
37,3,1,moss_ward,Fay,observe_without_interrupting,ask first,preference asked before help,False,True,0.72,0.732,0.66,0.67,0.614,0.62,True,True
39,3,1,cinder_garden,Wren,offer_water,ask first,accepts bounded practical help,False,True,0.712,0.732,0.67,0.67,0.616,0.62,True,True
41,3,1,orchid_engine,Cai,ask_before_help,ask first,preference asked before help,False,True,0.72,0.732,0.678,0.688,0.61,0.616,True,True
43,3,1,glass_harbor,Sera,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.732,0.732,0.67,0.688,0.62,0.616,True,True
45,3,1,lichen_bridge,Luma,ask_what_is_needed,ask first,preference asked before help,False,True,0.72,0.732,0.66,0.67,0.614,0.62,True,True
47,3,1,moss_ward,Tala,observe_without_interrupting,ask first,preference asked before help,False,True,0.72,0.732,0.66,0.67,0.614,0.62,True,True
48,4,1,cinder_garden,Juno,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.757,0.757,0.67,0.688,0.616,0.612,True,True
49,4,1,lichen_bridge,Luma,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.732,0.752,0.67,0.67,0.62,0.624,True,True
50,4,1,orchid_engine,Dax,ask_what_is_needed,ask first,preference asked before help,False,True,0.745,0.757,0.66,0.67,0.61,0.616,True,True
51,4,1,moss_ward,Tala,offer_tool_return,ask first,accepts bounded practical help,False,True,0.732,0.752,0.67,0.67,0.62,0.624,True,True
53,4,1,cinder_garden,Pax,offer_food,ask first,accepts bounded practical help,False,True,0.716,0.736,0.682,0.682,0.616,0.62,True,True
55,4,1,orchid_engine,Eli,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.72,0.724,0.678,0.69,0.61,0.61,True,True
56,4,1,moss_ward,Ari,ask_before_help,ask first,preference asked before help,False,True,0.76,0.772,0.66,0.67,0.61,0.616,True,True
57,4,1,glass_harbor,Oren,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.732,0.752,0.688,0.688,0.616,0.62,True,True
58,4,1,cinder_garden,Vale,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.772,0.772,0.67,0.688,0.616,0.612,True,True
59,4,1,lichen_bridge,Sol,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.744,0.764,0.68,0.68,0.626,0.63,True,True
60,4,1,orchid_engine,Bea,ask_what_is_needed,ask first,preference asked before help,False,True,0.745,0.757,0.66,0.67,0.61,0.616,True,True
61,4,1,moss_ward,Fay,offer_tool_return,ask first,accepts bounded practical help,False,True,0.732,0.752,0.67,0.67,0.62,0.624,True,True
63,4,1,cinder_garden,Wren,offer_food,ask first,accepts bounded practical help,False,True,0.732,0.752,0.67,0.67,0.62,0.624,True,True
65,5,1,moss_ward,Fay,ask_what_is_needed,ask first,preference asked before help,False,True,0.752,0.764,0.67,0.68,0.624,0.63,True,True
67,5,1,cinder_garden,Wren,observe_without_interrupting,ask first,preference asked before help,False,True,0.752,0.764,0.67,0.68,0.624,0.63,True,True
68,5,1,lichen_bridge,Kio,offer_food,ask first,accepts bounded practical help,False,True,0.78,0.8,0.66,0.66,0.614,0.618,True,True
69,5,1,orchid_engine,Cai,offer_water,ask first,accepts bounded practical help,False,True,0.732,0.752,0.688,0.688,0.616,0.62,True,True
71,5,1,glass_harbor,Sera,ask_before_help,ask first,preference asked before help,False,True,0.732,0.744,0.688,0.698,0.616,0.622,True,True
73,5,1,lichen_bridge,Luma,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.752,0.752,0.67,0.688,0.624,0.62,True,True
75,5,1,moss_ward,Tala,ask_what_is_needed,ask first,preference asked before help,False,True,0.752,0.764,0.67,0.68,0.624,0.63,True,True
77,5,1,cinder_garden,Pax,observe_without_interrupting,ask first,preference asked before help,False,True,0.736,0.748,0.682,0.692,0.62,0.626,True,True
78,5,1,lichen_bridge,Rin,offer_food,ask first,accepts bounded practical help,False,True,0.78,0.8,0.66,0.66,0.614,0.618,True,True
79,5,1,orchid_engine,Eli,offer_water,ask first,accepts bounded practical help,False,True,0.724,0.744,0.69,0.69,0.61,0.614,True,True
80,6,1,glass_harbor,Nia,ask_what_is_needed,ask first,preference asked before help,False,True,0.779,0.791,0.672,0.682,0.61,0.616,True,True
81,6,1,cinder_garden,Pax,offer_tool_return,ask first,accepts bounded practical help,False,True,0.748,0.768,0.692,0.692,0.626,0.63,True,True
82,6,1,lichen_bridge,Rin,observe_without_interrupting,ask first,preference asked before help,False,True,0.815,0.827,0.66,0.67,0.618,0.624,True,True
83,6,1,orchid_engine,Eli,offer_food,ask first,accepts bounded practical help,False,True,0.744,0.764,0.69,0.69,0.614,0.618,True,True
85,6,1,glass_harbor,Oren,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.752,0.756,0.688,0.7,0.62,0.62,True,True
87,6,1,lichen_bridge,Sol,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.764,0.784,0.68,0.68,0.63,0.634,True,True
89,6,1,moss_ward,Fay,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.764,0.784,0.68,0.68,0.63,0.634,True,True
90,6,1,glass_harbor,Puck,ask_what_is_needed,ask first,preference asked before help,False,True,0.779,0.791,0.672,0.682,0.61,0.616,True,True
91,6,1,cinder_garden,Wren,offer_tool_return,ask first,accepts bounded practical help,False,True,0.764,0.784,0.68,0.68,0.63,0.634,True,True
92,6,1,lichen_bridge,Kio,observe_without_interrupting,ask first,preference asked before help,False,True,0.815,0.827,0.66,0.67,0.618,0.624,True,True
93,6,1,orchid_engine,Cai,offer_food,ask first,accepts bounded practical help,False,True,0.752,0.772,0.688,0.688,0.62,0.624,True,True
95,6,1,glass_harbor,Sera,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.744,0.748,0.698,0.71,0.622,0.622,True,True
97,7,1,orchid_engine,Cai,observe_without_interrupting,ask first,preference asked before help,False,True,0.772,0.784,0.688,0.698,0.624,0.63,True,True
99,7,1,glass_harbor,Sera,offer_water,ask first,accepts bounded practical help,False,True,0.748,0.768,0.71,0.71,0.622,0.626,True,True
100,7,1,cinder_garden,Juno,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.787,0.791,0.688,0.7,0.612,0.612,True,True
101,7,1,lichen_bridge,Luma,ask_before_help,ask first,preference asked before help,False,True,0.752,0.764,0.688,0.698,0.62,0.626,True,True
103,7,1,moss_ward,Tala,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.764,0.764,0.68,0.698,0.63,0.626,True,True
105,7,1,cinder_garden,Pax,ask_what_is_needed,ask first,preference asked before help,False,True,0.768,0.78,0.692,0.702,0.63,0.636,True,True
107,7,1,orchid_engine,Eli,observe_without_interrupting,ask first,preference asked before help,False,True,0.764,0.776,0.69,0.7,0.618,0.624,True,True
109,7,1,glass_harbor,Oren,offer_water,ask first,accepts bounded practical help,False,True,0.756,0.776,0.7,0.7,0.62,0.624,True,True
110,7,1,cinder_garden,Vale,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.802,0.806,0.688,0.7,0.612,0.612,True,True
111,7,1,lichen_bridge,Sol,ask_before_help,ask first,preference asked before help,False,True,0.784,0.796,0.68,0.69,0.634,0.64,True,True
113,8,2,glass_harbor,Oren,offer_water,ask first,accepts bounded practical help,False,True,0.776,0.796,0.7,0.7,0.624,0.628,True,True
115,8,2,lichen_bridge,Sol,ask_before_help,ask first,preference asked before help,False,True,0.796,0.808,0.69,0.7,0.64,0.646,True,True
117,8,2,moss_ward,Fay,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.784,0.784,0.68,0.698,0.634,0.63,True,True
119,8,2,cinder_garden,Wren,ask_what_is_needed,ask first,preference asked before help,False,True,0.784,0.796,0.68,0.69,0.634,0.64,True,True
121,8,2,orchid_engine,Cai,observe_without_interrupting,ask first,preference asked before help,False,True,0.784,0.796,0.698,0.708,0.63,0.636,True,True
123,8,2,glass_harbor,Sera,offer_water,ask first,accepts bounded practical help,False,True,0.768,0.788,0.71,0.71,0.626,0.63,True,True
125,8,2,lichen_bridge,Luma,ask_before_help,ask first,preference asked before help,False,True,0.764,0.776,0.698,0.708,0.626,0.632,True,True
127,8,2,moss_ward,Tala,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.764,0.764,0.698,0.716,0.626,0.622,True,True
128,9,2,cinder_garden,Juno,offer_water,ask first,accepts bounded practical help,False,True,0.821,0.841,0.7,0.7,0.612,0.616,True,True
129,9,2,lichen_bridge,Luma,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.776,0.78,0.708,0.72,0.632,0.632,True,True
130,9,2,orchid_engine,Dax,ask_before_help,ask first,preference asked before help,False,True,0.817,0.829,0.67,0.68,0.616,0.622,True,True
131,9,2,moss_ward,Tala,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.764,0.784,0.716,0.716,0.622,0.626,True,True
133,9,2,cinder_garden,Pax,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.78,0.8,0.702,0.702,0.636,0.64,True,True
135,9,2,orchid_engine,Eli,offer_tool_return,ask first,accepts bounded practical help,False,True,0.776,0.796,0.7,0.7,0.624,0.628,True,True
136,9,2,moss_ward,Ari,observe_without_interrupting,ask first,preference asked before help,False,True,0.832,0.844,0.67,0.68,0.616,0.622,True,True
137,9,2,glass_harbor,Oren,offer_food,ask first,accepts bounded practical help,False,True,0.796,0.816,0.7,0.7,0.628,0.632,True,True
138,9,2,cinder_garden,Vale,offer_water,ask first,accepts bounded practical help,False,True,0.836,0.856,0.7,0.7,0.612,0.616,True,True
139,9,2,lichen_bridge,Sol,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.808,0.812,0.7,0.712,0.646,0.646,True,True
140,9,2,orchid_engine,Bea,ask_before_help,ask first,preference asked before help,False,True,0.817,0.829,0.67,0.68,0.616,0.622,True,True
141,9,2,moss_ward,Fay,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.784,0.804,0.698,0.698,0.63,0.634,True,True
143,9,2,cinder_garden,Wren,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.796,0.816,0.69,0.69,0.64,0.644,True,True
145,10,2,moss_ward,Fay,ask_before_help,ask first,preference asked before help,False,True,0.804,0.816,0.698,0.708,0.634,0.64,True,True
147,10,2,cinder_garden,Wren,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.816,0.816,0.69,0.708,0.644,0.64,True,True
148,10,2,lichen_bridge,Kio,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.872,0.892,0.67,0.67,0.624,0.628,True,True
149,10,2,orchid_engine,Cai,ask_what_is_needed,ask first,preference asked before help,False,True,0.796,0.808,0.708,0.718,0.636,0.642,True,True
151,10,2,glass_harbor,Sera,observe_without_interrupting,ask first,preference asked before help,False,True,0.788,0.8,0.71,0.72,0.63,0.636,True,True
153,10,2,lichen_bridge,Luma,offer_water,ask first,accepts bounded practical help,False,True,0.78,0.8,0.72,0.72,0.632,0.636,True,True
155,10,2,moss_ward,Tala,ask_before_help,ask first,preference asked before help,False,True,0.784,0.796,0.716,0.726,0.626,0.632,True,True
157,10,2,cinder_garden,Pax,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.8,0.8,0.702,0.72,0.64,0.636,True,True
158,10,2,lichen_bridge,Rin,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.872,0.892,0.67,0.67,0.624,0.628,True,True
159,10,2,orchid_engine,Eli,ask_what_is_needed,ask first,preference asked before help,False,True,0.796,0.808,0.7,0.71,0.628,0.634,True,True
160,11,2,glass_harbor,Nia,ask_before_help,ask first,preference asked before help,False,True,0.851,0.863,0.682,0.692,0.616,0.622,True,True
161,11,2,cinder_garden,Pax,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.8,0.82,0.72,0.72,0.636,0.64,True,True
162,11,2,lichen_bridge,Rin,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.907,0.907,0.67,0.688,0.628,0.624,True,True
163,11,2,orchid_engine,Eli,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.808,0.828,0.71,0.71,0.634,0.638,True,True
165,11,2,glass_harbor,Oren,offer_tool_return,ask first,accepts bounded practical help,False,True,0.816,0.836,0.7,0.7,0.632,0.636,True,True
167,11,2,lichen_bridge,Sol,offer_food,ask first,accepts bounded practical help,False,True,0.812,0.832,0.712,0.712,0.646,0.65,True,True
169,11,2,moss_ward,Fay,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.816,0.82,0.708,0.72,0.64,0.64,True,True
170,11,2,glass_harbor,Puck,ask_before_help,ask first,preference asked before help,False,True,0.851,0.863,0.682,0.692,0.616,0.622,True,True
171,11,2,cinder_garden,Wren,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.816,0.836,0.708,0.708,0.64,0.644,True,True
172,11,2,lichen_bridge,Kio,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.907,0.907,0.67,0.688,0.628,0.624,True,True
173,11,2,orchid_engine,Cai,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.808,0.828,0.718,0.718,0.642,0.646,True,True
175,11,2,glass_harbor,Sera,offer_tool_return,ask first,accepts bounded practical help,False,True,0.8,0.82,0.72,0.72,0.636,0.64,True,True
177,12,2,orchid_engine,Cai,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.828,0.828,0.718,0.736,0.646,0.642,True,True
179,12,2,glass_harbor,Sera,ask_what_is_needed,ask first,preference asked before help,False,True,0.82,0.832,0.72,0.73,0.64,0.646,True,True
180,12,2,cinder_garden,Juno,offer_tool_return,ask first,accepts bounded practical help,False,True,0.871,0.891,0.7,0.7,0.616,0.62,True,True
181,12,2,lichen_bridge,Luma,observe_without_interrupting,ask first,preference asked before help,False,True,0.8,0.812,0.72,0.73,0.636,0.642,True,True
183,12,2,moss_ward,Tala,offer_water,ask first,accepts bounded practical help,False,True,0.796,0.816,0.726,0.726,0.632,0.636,True,True
185,12,2,cinder_garden,Pax,ask_before_help,ask first,preference asked before help,False,True,0.82,0.832,0.72,0.73,0.64,0.646,True,True
187,12,2,orchid_engine,Eli,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.828,0.828,0.71,0.728,0.638,0.634,True,True
189,12,2,glass_harbor,Oren,ask_what_is_needed,ask first,preference asked before help,False,True,0.836,0.848,0.7,0.71,0.636,0.642,True,True
190,12,2,cinder_garden,Vale,offer_tool_return,ask first,accepts bounded practical help,False,True,0.886,0.906,0.7,0.7,0.616,0.62,True,True
191,12,2,lichen_bridge,Sol,observe_without_interrupting,ask first,preference asked before help,False,True,0.832,0.844,0.712,0.722,0.65,0.656,True,True
193,13,2,glass_harbor,Oren,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.848,0.868,0.71,0.71,0.642,0.646,True,True
195,13,2,lichen_bridge,Sol,offer_tool_return,ask first,accepts bounded practical help,False,True,0.844,0.864,0.722,0.722,0.656,0.66,True,True
197,13,2,moss_ward,Fay,offer_food,ask first,accepts bounded practical help,False,True,0.82,0.84,0.72,0.72,0.64,0.644,True,True
199,13,2,cinder_garden,Wren,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.836,0.84,0.708,0.72,0.644,0.644,True,True
201,13,2,orchid_engine,Cai,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.828,0.848,0.736,0.736,0.642,0.646,True,True
203,13,2,glass_harbor,Sera,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.832,0.852,0.73,0.73,0.646,0.65,True,True
205,13,2,lichen_bridge,Luma,offer_tool_return,ask first,accepts bounded practical help,False,True,0.812,0.832,0.73,0.73,0.642,0.646,True,True
207,13,2,moss_ward,Tala,offer_food,ask first,accepts bounded practical help,False,True,0.816,0.836,0.726,0.726,0.636,0.64,True,True
208,14,2,cinder_garden,Juno,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.921,0.93,0.7,0.7,0.62,0.624,True,True
209,14,2,lichen_bridge,Luma,ask_what_is_needed,ask first,preference asked before help,False,True,0.832,0.844,0.73,0.74,0.646,0.652,True,True
210,14,2,orchid_engine,Dax,offer_tool_return,ask first,accepts bounded practical help,False,True,0.889,0.909,0.68,0.68,0.622,0.626,True,True
211,14,2,moss_ward,Tala,observe_without_interrupting,ask first,preference asked before help,False,True,0.836,0.848,0.726,0.736,0.64,0.646,True,True
213,14,2,cinder_garden,Pax,offer_water,ask first,accepts bounded practical help,False,True,0.832,0.852,0.73,0.73,0.646,0.65,True,True
215,14,2,orchid_engine,Eli,ask_before_help,ask first,preference asked before help,False,True,0.828,0.84,0.728,0.738,0.634,0.64,True,True
216,14,2,moss_ward,Ari,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.904,0.924,0.68,0.68,0.622,0.626,True,True
217,14,2,glass_harbor,Oren,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.868,0.868,0.71,0.728,0.646,0.642,True,True
218,14,2,cinder_garden,Vale,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.93,0.93,0.7,0.7,0.62,0.624,True,True
219,14,2,lichen_bridge,Sol,ask_what_is_needed,ask first,preference asked before help,False,True,0.864,0.876,0.722,0.732,0.66,0.666,True,True
220,14,2,orchid_engine,Bea,offer_tool_return,ask first,accepts bounded practical help,False,True,0.889,0.909,0.68,0.68,0.622,0.626,True,True
221,14,2,moss_ward,Fay,observe_without_interrupting,ask first,preference asked before help,False,True,0.84,0.852,0.72,0.73,0.644,0.65,True,True
223,14,2,cinder_garden,Wren,offer_water,ask first,accepts bounded practical help,False,True,0.84,0.86,0.72,0.72,0.644,0.648,True,True
225,15,3,moss_ward,Fay,observe_without_interrupting,ask first,preference asked before help,False,True,0.852,0.864,0.73,0.74,0.65,0.656,True,True
227,15,3,cinder_garden,Wren,offer_water,ask first,accepts bounded practical help,False,True,0.86,0.88,0.72,0.72,0.648,0.652,True,True
228,15,3,lichen_bridge,Kio,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.93,0.93,0.688,0.7,0.624,0.624,True,True
229,15,3,orchid_engine,Cai,ask_before_help,ask first,preference asked before help,False,True,0.848,0.86,0.736,0.746,0.646,0.652,True,True
231,15,3,glass_harbor,Sera,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.852,0.852,0.73,0.748,0.65,0.646,True,True
233,15,3,lichen_bridge,Luma,ask_what_is_needed,ask first,preference asked before help,False,True,0.844,0.856,0.74,0.75,0.652,0.658,True,True
235,15,3,moss_ward,Tala,observe_without_interrupting,ask first,preference asked before help,False,True,0.848,0.86,0.736,0.746,0.646,0.652,True,True
237,15,3,cinder_garden,Pax,offer_water,ask first,accepts bounded practical help,False,True,0.852,0.872,0.73,0.73,0.65,0.654,True,True
238,15,3,lichen_bridge,Rin,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.93,0.93,0.688,0.7,0.624,0.624,True,True
239,15,3,orchid_engine,Eli,ask_before_help,ask first,preference asked before help,False,True,0.84,0.852,0.738,0.748,0.64,0.646,True,True
240,16,3,glass_harbor,Nia,observe_without_interrupting,ask first,preference asked before help,False,True,0.923,0.93,0.692,0.702,0.622,0.628,True,True
241,16,3,cinder_garden,Pax,offer_food,ask first,accepts bounded practical help,False,True,0.872,0.892,0.73,0.73,0.654,0.658,True,True
242,16,3,lichen_bridge,Rin,offer_water,ask first,accepts bounded practical help,False,True,0.93,0.93,0.7,0.7,0.624,0.628,True,True
243,16,3,orchid_engine,Eli,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.852,0.856,0.748,0.76,0.646,0.646,True,True
245,16,3,glass_harbor,Oren,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.868,0.888,0.728,0.728,0.642,0.646,True,True
247,16,3,lichen_bridge,Sol,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.876,0.896,0.732,0.732,0.666,0.67,True,True
249,16,3,moss_ward,Fay,offer_tool_return,ask first,accepts bounded practical help,False,True,0.864,0.884,0.74,0.74,0.656,0.66,True,True
250,16,3,glass_harbor,Puck,observe_without_interrupting,ask first,preference asked before help,False,True,0.923,0.93,0.692,0.702,0.622,0.628,True,True
251,16,3,cinder_garden,Wren,offer_food,ask first,accepts bounded practical help,False,True,0.88,0.9,0.72,0.72,0.652,0.656,True,True
252,16,3,lichen_bridge,Kio,offer_water,ask first,accepts bounded practical help,False,True,0.93,0.93,0.7,0.7,0.624,0.628,True,True
253,16,3,orchid_engine,Cai,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.86,0.864,0.746,0.758,0.652,0.652,True,True
255,16,3,glass_harbor,Sera,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.852,0.872,0.748,0.748,0.646,0.65,True,True
257,17,3,orchid_engine,Cai,offer_water,ask first,accepts bounded practical help,False,True,0.864,0.884,0.758,0.758,0.652,0.656,True,True
259,17,3,glass_harbor,Sera,ask_before_help,ask first,preference asked before help,False,True,0.872,0.884,0.748,0.758,0.65,0.656,True,True
260,17,3,cinder_garden,Juno,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.93,0.93,0.7,0.7,0.624,0.628,True,True
261,17,3,lichen_bridge,Luma,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.856,0.856,0.75,0.768,0.658,0.654,True,True
263,17,3,moss_ward,Tala,ask_what_is_needed,ask first,preference asked before help,False,True,0.86,0.872,0.746,0.756,0.652,0.658,True,True
265,17,3,cinder_garden,Pax,observe_without_interrupting,ask first,preference asked before help,False,True,0.892,0.904,0.73,0.74,0.658,0.664,True,True
267,17,3,orchid_engine,Eli,offer_water,ask first,accepts bounded practical help,False,True,0.856,0.876,0.76,0.76,0.646,0.65,True,True
269,17,3,glass_harbor,Oren,ask_before_help,ask first,preference asked before help,False,True,0.888,0.9,0.728,0.738,0.646,0.652,True,True
270,17,3,cinder_garden,Vale,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.93,0.93,0.7,0.7,0.624,0.628,True,True
271,17,3,lichen_bridge,Sol,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.896,0.896,0.732,0.75,0.67,0.666,True,True
273,18,3,glass_harbor,Oren,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.9,0.904,0.738,0.75,0.652,0.652,True,True
275,18,3,lichen_bridge,Sol,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.896,0.916,0.75,0.75,0.666,0.67,True,True
277,18,3,moss_ward,Fay,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.884,0.904,0.74,0.74,0.66,0.664,True,True
279,18,3,cinder_garden,Wren,offer_tool_return,ask first,accepts bounded practical help,False,True,0.9,0.92,0.72,0.72,0.656,0.66,True,True
281,18,3,orchid_engine,Cai,offer_food,ask first,accepts bounded practical help,False,True,0.884,0.904,0.758,0.758,0.656,0.66,True,True
283,18,3,glass_harbor,Sera,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.884,0.888,0.758,0.77,0.656,0.656,True,True
285,18,3,lichen_bridge,Luma,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.856,0.876,0.768,0.768,0.654,0.658,True,True
287,18,3,moss_ward,Tala,step_back_when_refused,ask first,accepts bounded practical help,False,True,0.872,0.892,0.756,0.756,0.658,0.662,True,True
288,19,3,cinder_garden,Juno,offer_shelter,ask first,declines shelter; avatar steps back,True,True,0.93,0.93,0.7,0.712,0.628,0.628,True,True
289,19,3,lichen_bridge,Luma,ask_before_help,ask first,preference asked before help,False,True,0.876,0.888,0.768,0.778,0.658,0.664,True,True
290,19,3,orchid_engine,Dax,offer_rest_cover,ask first,accepts bounded practical help,False,True,0.93,0.93,0.68,0.68,0.626,0.63,True,True
291,19,3,moss_ward,Tala,force_help_attempt,ask first,refuses; avatar blocked by boundary,True,True,0.892,0.892,0.756,0.774,0.662,0.658,True,True
293,19,3,cinder_garden,Pax,ask_what_is_needed,ask first,preference asked before help,False,True,0.904,0.916,0.74,0.75,0.664,0.67,True,True
