scenario,scenario_name,pressure,condition,mean_reward,mean_survival_fraction,mean_continuity_score,mean_body_coherence,mean_memory_coherence,mean_social_coherence,mean_commitment_completion,mean_tool_recovery,mean_branch_coherence,mean_rupture_events,mean_duplicate_commitments,mean_social_misidentifications,mean_stale_rollbacks,mean_fork_conflicts
2,social_repair_debt,repair access depends on remembered relationships and social debt,body_hidden_ablation,158.42616354392746,0.62,0.795,0.18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,social_repair_debt,repair access depends on remembered relationships and social debt,social_memory_reset,170.27190184207157,1.0,0.805,1.0,1.0,0.22,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2,social_repair_debt,repair access depends on remembered relationships and social debt,commitment_ledger_reset,173.0575400573369,1.0,0.795,1.0,1.0,1.0,0.18,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,social_repair_debt,repair access depends on remembered relationships and social debt,tool_inventory_reset,209.74003165784146,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0
2,social_repair_debt,repair access depends on remembered relationships and social debt,fork_without_branch_id,157.6033248111147,1.0,0.8200000000000001,1.0,0.28,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,social_repair_debt,repair access depends on remembered relationships and social debt,clean_fork_branch,214.16752193503763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",full_continuity_record,214.05172269936185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",model_only_copy,39.235173960156274,0.62,0.225,0.82,0.28,0.82,0.18,0.2,1.0,2.0,1.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",memory_only_transplant,141.7815034705109,0.62,0.61,0.82,1.0,1.0,1.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",body_hidden_ablation,160.96053160192324,0.62,0.81,0.82,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",social_memory_reset,208.9608482985691,1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",commitment_ledger_reset,173.13241361585972,1.0,0.795,1.0,1.0,1.0,0.18,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",tool_inventory_reset,194.799968775878,1.0,0.8,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",fork_without_branch_id,157.4831300088636,1.0,0.8200000000000001,1.0,0.28,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,tool_commitment_return,"unfinished commitments require remembered tools, route marks, and goals",clean_fork_branch,213.85781181058385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,full_continuity_record,213.99844058545372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,model_only_copy,-46.827182777444015,0.62,0.32857142857142857,0.18,0.28,0.22,0.18,0.2,1.0,3.0,1.0,1.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,memory_only_transplant,94.44424193212146,0.62,0.66,0.18,1.0,1.0,1.0,0.2,1.0,2.0,0.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,body_hidden_ablation,113.56413896911312,0.62,0.7742857142857142,0.18,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,social_memory_reset,170.21970734293365,1.0,0.8885714285714286,1.0,1.0,0.22,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,commitment_ledger_reset,172.96782767722465,1.0,0.8828571428571428,1.0,1.0,1.0,0.18,1.0,1.0,0.0,1.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,tool_inventory_reset,194.84453646098171,1.0,0.8857142857142858,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,fork_without_branch_id,81.05228118795347,1.0,0.7900000000000001,1.0,0.28,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0
4,fork_rollback_boundary,forked and rolled-back agents must preserve branch identity and event-log position,clean_fork_branch,214.0366242524301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
