technology_slot_id,year,household_id,technology_name,use_context,maintenance_need,failure_risk,rollback_action,market_or_ritual_link,playable_affordance
tech_slot_agent_987_westkeepers,987,westkeepers,westkeepers wheel brake,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.276,0.18,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 987,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_987_mossgarden,987,mossgarden,mossgarden wheel brake,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.282,0.18,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 987,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_987_ledgerkin,987,ledgerkin,ledgerkin wheel brake,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.288,0.18,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 987,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_987_redstair,987,redstair,redstair wheel brake,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.294,0.18,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 987,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_987_wheelwright,987,wheelwright,wheelwright wheel brake,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.3,0.22,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 987,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_1597_westkeepers,1597,westkeepers,westkeepers heated wall,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.248,0.16,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 1597,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_1597_mossgarden,1597,mossgarden,mossgarden heated wall,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.254,0.16,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 1597,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_1597_ledgerkin,1597,ledgerkin,ledgerkin heated wall,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.26,0.16,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 1597,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_1597_redstair,1597,redstair,redstair heated wall,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.266,0.16,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 1597,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_1597_wheelwright,1597,wheelwright,wheelwright heated wall,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.272,0.2,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 1597,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_2584_westkeepers,2584,westkeepers,westkeepers shell archive,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.22,0.14,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 2584,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_2584_mossgarden,2584,mossgarden,mossgarden shell archive,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.226,0.14,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 2584,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_2584_ledgerkin,2584,ledgerkin,ledgerkin shell archive,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.232,0.14,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 2584,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_2584_redstair,2584,redstair,redstair shell archive,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.238,0.14,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 2584,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_2584_wheelwright,2584,wheelwright,wheelwright shell archive,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.244,0.18,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 2584,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_4181_westkeepers,4181,westkeepers,westkeepers market canopy,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.192,0.12,manual ritual memory and household repair if tool fails,feeds westkeepers market slot and ritual slot for year 4181,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_4181_mossgarden,4181,mossgarden,mossgarden market canopy,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.198,0.12,manual ritual memory and household repair if tool fails,feeds mossgarden market slot and ritual slot for year 4181,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_4181_ledgerkin,4181,ledgerkin,ledgerkin market canopy,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.204,0.12,manual ritual memory and household repair if tool fails,feeds ledgerkin market slot and ritual slot for year 4181,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_4181_redstair,4181,redstair,redstair market canopy,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.21,0.12,manual ritual memory and household repair if tool fails,feeds redstair market slot and ritual slot for year 4181,"inspect, help repair, ask history, or decline unsafe use"
tech_slot_agent_4181_wheelwright,4181,wheelwright,wheelwright market canopy,"market support, ritual stabilization, body-cost reduction, or archive continuity",0.216,0.16,manual ritual memory and household repair if tool fails,feeds wheelwright market slot and ritual slot for year 4181,"inspect, help repair, ask history, or decline unsafe use"
