tick_id,day,settlement_id,resident_id,project_id,material_item,inventory_before,inventory_after,output_item,output_before,output_after,task_effect,inventory_delta_visible,material_consumed,output_created,no_magic_inventory
0,1,glass_harbor,Oren,4691632fda,salt chalk,520,518,mend fog net output,0,1,consume 2 salt chalk; advance mend fog net,True,True,True,True
37,3,moss_ward,Ari,572d4e939c,moss cord,519,518,patch blanket loom output,2,3,consume 1 moss cord; advance patch blanket loom,True,True,True,True
38,3,glass_harbor,Oren,5a399028bb,salt chalk,517,516,mark crossing rope output,2,3,consume 1 salt chalk; advance mark crossing rope,True,True,True,True
39,3,cinder_garden,Vale,cc7272cc69,shade reed,518,516,sort ember fruit output,2,3,consume 2 shade reed; advance sort ember fruit,True,True,True,True
40,3,lichen_bridge,Sol,76f402ab6a,bell tin,518,517,repair meal ledger output,2,3,consume 1 bell tin; advance repair meal ledger,True,True,True,True
41,3,orchid_engine,Bea,9a2f344251,orchid oil,518,517,clean gear wash output,1,2,consume 1 orchid oil; advance clean gear wash,True,True,True,True
42,3,moss_ward,Fay,69fbe1ae68,charcoal mark,518,517,raise warm-cup shelf output,1,2,consume 1 charcoal mark; advance raise warm-cup shelf,True,True,True,True
43,3,glass_harbor,Puck,cf04a81caf,lamp oil,518,517,mend fog net output,2,3,consume 1 lamp oil; advance mend fog net,True,True,True,True
44,3,cinder_garden,Wren,88d6240bdd,ember basket,518,517,repair seed calendar output,2,3,consume 1 ember basket; advance repair seed calendar,True,True,True,True
45,3,lichen_bridge,Kio,87e730b100,meal token,519,518,weave spare rope output,2,3,consume 1 meal token; advance weave spare rope,True,True,True,True
46,3,orchid_engine,Cai,b805ef5f3b,steam seal,519,518,stabilize steam kettle output,3,4,consume 1 steam seal; advance stabilize steam kettle,True,True,True,True
47,3,moss_ward,Milo,037725c0bc,reed bundle,518,517,patch blanket loom output,3,4,consume 1 reed bundle; advance patch blanket loom,True,True,True,True
48,3,glass_harbor,Sera,39906512c4,glass bead,518,517,mark crossing rope output,3,4,consume 1 glass bead; advance mark crossing rope,True,True,True,True
49,3,cinder_garden,Juno,5d450b0d31,cool stone,518,517,sort ember fruit output,3,4,consume 1 cool stone; advance sort ember fruit,True,True,True,True
50,3,lichen_bridge,Luma,c11ee45638,lichen glue,518,517,repair meal ledger output,3,4,consume 1 lichen glue; advance repair meal ledger,True,True,True,True
51,3,orchid_engine,Dax,fa2f54a5f1,valve grease,517,516,clean gear wash output,2,3,consume 1 valve grease; advance clean gear wash,True,True,True,True
52,3,moss_ward,Tala,5b51e19d49,dry clay,518,516,raise warm-cup shelf output,2,3,consume 2 dry clay; advance raise warm-cup shelf,True,True,True,True
53,3,glass_harbor,Nia,b58364559a,net fiber,518,517,mend fog net output,3,4,consume 1 net fiber; advance mend fog net,True,True,True,True
54,4,lichen_bridge,Kio,505b3ed3bc,meal token,518,517,test rope bridge output,2,3,consume 1 meal token; advance test rope bridge,True,True,True,True
55,4,orchid_engine,Cai,9567222324,steam seal,518,517,tend orchid lamp output,2,3,consume 1 steam seal; advance tend orchid lamp,True,True,True,True
56,4,moss_ward,Milo,022ca473b4,reed bundle,517,516,drain rain path output,2,3,consume 1 reed bundle; advance drain rain path,True,True,True,True
57,4,glass_harbor,Sera,e2517cc645,glass bead,517,516,seal fog catcher output,2,3,consume 1 glass bead; advance seal fog catcher,True,True,True,True
58,4,cinder_garden,Juno,46bd9e887d,cool stone,517,516,shade seed rows output,2,3,consume 1 cool stone; advance shade seed rows,True,True,True,True
59,4,lichen_bridge,Luma,ef4a1eb826,lichen glue,517,516,mark signal bell output,1,2,consume 1 lichen glue; advance mark signal bell,True,True,True,True
60,4,orchid_engine,Dax,5ea66d74e7,valve grease,516,515,listen to valve pulse output,1,2,consume 1 valve grease; advance listen to valve pulse,True,True,True,True
61,4,moss_ward,Tala,825eef3be9,dry clay,516,515,copy root ledger output,2,3,consume 1 dry clay; advance copy root ledger,True,True,True,True
62,4,glass_harbor,Nia,aa85d5f3cf,net fiber,517,516,relight public lamp output,2,3,consume 1 net fiber; advance relight public lamp,True,True,True,True
63,4,cinder_garden,Pax,bfe20f64e9,seed ink,518,517,cool ash path output,2,3,consume 1 seed ink; advance cool ash path,True,True,True,True
64,4,lichen_bridge,Rin,1ca3ca05c1,rope fiber,517,516,test rope bridge output,3,4,consume 1 rope fiber; advance test rope bridge,True,True,True,True
65,4,orchid_engine,Eli,79a49a3901,gear cloth,518,516,tend orchid lamp output,3,4,consume 2 gear cloth; advance tend orchid lamp,True,True,True,True
66,4,moss_ward,Ari,27a5f6be30,moss cord,518,517,drain rain path output,3,4,consume 1 moss cord; advance drain rain path,True,True,True,True
67,4,glass_harbor,Oren,139ed15166,salt chalk,516,515,seal fog catcher output,3,4,consume 1 salt chalk; advance seal fog catcher,True,True,True,True
68,4,cinder_garden,Vale,50e2b859c6,shade reed,516,515,shade seed rows output,3,4,consume 1 shade reed; advance shade seed rows,True,True,True,True
69,4,lichen_bridge,Sol,878bf0af37,bell tin,517,516,mark signal bell output,2,3,consume 1 bell tin; advance mark signal bell,True,True,True,True
70,4,orchid_engine,Bea,2899e764df,orchid oil,517,516,listen to valve pulse output,2,3,consume 1 orchid oil; advance listen to valve pulse,True,True,True,True
71,4,moss_ward,Fay,5147eb41b9,charcoal mark,517,516,copy root ledger output,3,4,consume 1 charcoal mark; advance copy root ledger,True,True,True,True
72,5,cinder_garden,Pax,f91854767d,seed ink,517,516,sort ember fruit output,4,5,consume 1 seed ink; advance sort ember fruit,True,True,True,True
73,5,lichen_bridge,Rin,47513db752,rope fiber,516,515,repair meal ledger output,4,5,consume 1 rope fiber; advance repair meal ledger,True,True,True,True
74,5,orchid_engine,Eli,ee36774892,gear cloth,516,515,clean gear wash output,3,4,consume 1 gear cloth; advance clean gear wash,True,True,True,True
75,5,moss_ward,Ari,6666182d43,moss cord,517,516,raise warm-cup shelf output,3,4,consume 1 moss cord; advance raise warm-cup shelf,True,True,True,True
76,5,glass_harbor,Oren,4691632fda,salt chalk,515,514,mend fog net output,4,5,consume 1 salt chalk; advance mend fog net,True,True,True,True
77,5,cinder_garden,Vale,669e90cbc3,shade reed,515,514,repair seed calendar output,3,4,consume 1 shade reed; advance repair seed calendar,True,True,True,True
78,5,lichen_bridge,Sol,797e050dde,bell tin,516,514,weave spare rope output,3,4,consume 2 bell tin; advance weave spare rope,True,True,True,True
79,5,orchid_engine,Bea,936769c116,orchid oil,516,515,stabilize steam kettle output,4,5,consume 1 orchid oil; advance stabilize steam kettle,True,True,True,True
80,5,moss_ward,Fay,23961e054e,charcoal mark,516,515,patch blanket loom output,4,5,consume 1 charcoal mark; advance patch blanket loom,True,True,True,True
81,5,glass_harbor,Puck,4e34e5eca9,lamp oil,517,516,mark crossing rope output,4,5,consume 1 lamp oil; advance mark crossing rope,True,True,True,True
82,5,cinder_garden,Wren,f54993de4d,ember basket,517,516,sort ember fruit output,5,6,consume 1 ember basket; advance sort ember fruit,True,True,True,True
83,5,lichen_bridge,Kio,e74a8726db,meal token,517,516,repair meal ledger output,5,6,consume 1 meal token; advance repair meal ledger,True,True,True,True
84,5,orchid_engine,Cai,fee339b1d9,steam seal,517,516,clean gear wash output,4,5,consume 1 steam seal; advance clean gear wash,True,True,True,True
85,5,moss_ward,Milo,d27f39c290,reed bundle,516,515,raise warm-cup shelf output,4,5,consume 1 reed bundle; advance raise warm-cup shelf,True,True,True,True
86,5,glass_harbor,Sera,c5ce3bb82a,glass bead,516,515,mend fog net output,5,6,consume 1 glass bead; advance mend fog net,True,True,True,True
87,5,cinder_garden,Juno,ab3857f6de,cool stone,516,515,repair seed calendar output,4,5,consume 1 cool stone; advance repair seed calendar,True,True,True,True
88,5,lichen_bridge,Luma,6e76849c77,lichen glue,516,515,weave spare rope output,4,5,consume 1 lichen glue; advance weave spare rope,True,True,True,True
89,5,orchid_engine,Dax,1194905158,valve grease,515,514,stabilize steam kettle output,5,6,consume 1 valve grease; advance stabilize steam kettle,True,True,True,True
90,6,glass_harbor,Puck,b9f27156b1,lamp oil,516,515,seal fog catcher output,4,5,consume 1 lamp oil; advance seal fog catcher,True,True,True,True
91,6,cinder_garden,Wren,8d7a6c2aa4,ember basket,516,514,shade seed rows output,4,5,consume 2 ember basket; advance shade seed rows,True,True,True,True
92,6,lichen_bridge,Kio,a9335a1d29,meal token,516,515,mark signal bell output,3,4,consume 1 meal token; advance mark signal bell,True,True,True,True
93,6,orchid_engine,Cai,b31fad0817,steam seal,516,515,listen to valve pulse output,3,4,consume 1 steam seal; advance listen to valve pulse,True,True,True,True
94,6,moss_ward,Milo,48ae12c016,reed bundle,515,514,copy root ledger output,4,5,consume 1 reed bundle; advance copy root ledger,True,True,True,True
95,6,glass_harbor,Sera,ea7173b0ad,glass bead,515,514,relight public lamp output,3,4,consume 1 glass bead; advance relight public lamp,True,True,True,True
96,6,cinder_garden,Juno,5f79a57e6f,cool stone,515,514,cool ash path output,3,4,consume 1 cool stone; advance cool ash path,True,True,True,True
97,6,lichen_bridge,Luma,e1bab827b9,lichen glue,515,514,test rope bridge output,4,5,consume 1 lichen glue; advance test rope bridge,True,True,True,True
98,6,orchid_engine,Dax,3645f43e1d,valve grease,514,513,tend orchid lamp output,4,5,consume 1 valve grease; advance tend orchid lamp,True,True,True,True
99,6,moss_ward,Tala,28589c06c6,dry clay,515,514,drain rain path output,4,5,consume 1 dry clay; advance drain rain path,True,True,True,True
100,6,glass_harbor,Nia,9a5c1e063a,net fiber,516,515,seal fog catcher output,5,6,consume 1 net fiber; advance seal fog catcher,True,True,True,True
101,6,cinder_garden,Pax,da2b247900,seed ink,516,515,shade seed rows output,5,6,consume 1 seed ink; advance shade seed rows,True,True,True,True
102,6,lichen_bridge,Rin,0d07f43a57,rope fiber,515,514,mark signal bell output,4,5,consume 1 rope fiber; advance mark signal bell,True,True,True,True
103,6,orchid_engine,Eli,2432f12bb3,gear cloth,515,514,listen to valve pulse output,4,5,consume 1 gear cloth; advance listen to valve pulse,True,True,True,True
104,6,moss_ward,Ari,2ea8f2d96e,moss cord,516,514,copy root ledger output,5,6,consume 2 moss cord; advance copy root ledger,True,True,True,True
105,6,glass_harbor,Oren,fd03ad5da8,salt chalk,514,513,relight public lamp output,4,5,consume 1 salt chalk; advance relight public lamp,True,True,True,True
106,6,cinder_garden,Vale,5e37aea90d,shade reed,514,513,cool ash path output,4,5,consume 1 shade reed; advance cool ash path,True,True,True,True
107,6,lichen_bridge,Sol,72a63892cd,bell tin,514,513,test rope bridge output,5,6,consume 1 bell tin; advance test rope bridge,True,True,True,True
108,7,moss_ward,Tala,5b51e19d49,dry clay,514,513,raise warm-cup shelf output,5,6,consume 1 dry clay; advance raise warm-cup shelf,True,True,True,True
109,7,glass_harbor,Nia,b58364559a,net fiber,515,514,mend fog net output,6,7,consume 1 net fiber; advance mend fog net,True,True,True,True
110,7,cinder_garden,Pax,301d0ea001,seed ink,515,514,repair seed calendar output,5,6,consume 1 seed ink; advance repair seed calendar,True,True,True,True
111,7,lichen_bridge,Rin,84fdd2bf40,rope fiber,514,513,weave spare rope output,5,6,consume 1 rope fiber; advance weave spare rope,True,True,True,True
112,7,orchid_engine,Eli,b41913dbe2,gear cloth,514,513,stabilize steam kettle output,6,7,consume 1 gear cloth; advance stabilize steam kettle,True,True,True,True
113,7,moss_ward,Ari,572d4e939c,moss cord,514,513,patch blanket loom output,5,6,consume 1 moss cord; advance patch blanket loom,True,True,True,True
114,7,glass_harbor,Oren,5a399028bb,salt chalk,513,512,mark crossing rope output,5,6,consume 1 salt chalk; advance mark crossing rope,True,True,True,True
115,7,cinder_garden,Vale,cc7272cc69,shade reed,513,512,sort ember fruit output,6,7,consume 1 shade reed; advance sort ember fruit,True,True,True,True
116,7,lichen_bridge,Sol,76f402ab6a,bell tin,513,512,repair meal ledger output,6,7,consume 1 bell tin; advance repair meal ledger,True,True,True,True
117,7,orchid_engine,Bea,9a2f344251,orchid oil,515,513,clean gear wash output,5,6,consume 2 orchid oil; advance clean gear wash,True,True,True,True
118,7,moss_ward,Fay,69fbe1ae68,charcoal mark,515,514,raise warm-cup shelf output,6,7,consume 1 charcoal mark; advance raise warm-cup shelf,True,True,True,True
119,7,glass_harbor,Puck,cf04a81caf,lamp oil,515,514,mend fog net output,7,8,consume 1 lamp oil; advance mend fog net,True,True,True,True
120,7,cinder_garden,Wren,88d6240bdd,ember basket,514,513,repair seed calendar output,6,7,consume 1 ember basket; advance repair seed calendar,True,True,True,True
121,7,lichen_bridge,Kio,87e730b100,meal token,515,514,weave spare rope output,6,7,consume 1 meal token; advance weave spare rope,True,True,True,True
122,7,orchid_engine,Cai,b805ef5f3b,steam seal,515,514,stabilize steam kettle output,7,8,consume 1 steam seal; advance stabilize steam kettle,True,True,True,True
123,7,moss_ward,Milo,037725c0bc,reed bundle,514,513,patch blanket loom output,6,7,consume 1 reed bundle; advance patch blanket loom,True,True,True,True
124,7,glass_harbor,Sera,39906512c4,glass bead,514,513,mark crossing rope output,6,7,consume 1 glass bead; advance mark crossing rope,True,True,True,True
125,7,cinder_garden,Juno,5d450b0d31,cool stone,514,513,sort ember fruit output,7,8,consume 1 cool stone; advance sort ember fruit,True,True,True,True
126,8,orchid_engine,Bea,2899e764df,orchid oil,513,512,listen to valve pulse output,5,6,consume 1 orchid oil; advance listen to valve pulse,True,True,True,True
127,8,moss_ward,Fay,5147eb41b9,charcoal mark,514,513,copy root ledger output,6,7,consume 1 charcoal mark; advance copy root ledger,True,True,True,True
128,8,glass_harbor,Puck,ed218dd38f,lamp oil,514,513,relight public lamp output,5,6,consume 1 lamp oil; advance relight public lamp,True,True,True,True
129,8,cinder_garden,Wren,a66b280afe,ember basket,513,512,cool ash path output,5,6,consume 1 ember basket; advance cool ash path,True,True,True,True
130,8,lichen_bridge,Kio,505b3ed3bc,meal token,514,512,test rope bridge output,6,7,consume 2 meal token; advance test rope bridge,True,True,True,True
131,8,orchid_engine,Cai,9567222324,steam seal,514,513,tend orchid lamp output,5,6,consume 1 steam seal; advance tend orchid lamp,True,True,True,True
132,8,moss_ward,Milo,022ca473b4,reed bundle,513,512,drain rain path output,5,6,consume 1 reed bundle; advance drain rain path,True,True,True,True
133,8,glass_harbor,Sera,e2517cc645,glass bead,513,512,seal fog catcher output,6,7,consume 1 glass bead; advance seal fog catcher,True,True,True,True
134,8,cinder_garden,Juno,46bd9e887d,cool stone,513,512,shade seed rows output,6,7,consume 1 cool stone; advance shade seed rows,True,True,True,True
135,8,lichen_bridge,Luma,ef4a1eb826,lichen glue,514,513,mark signal bell output,5,6,consume 1 lichen glue; advance mark signal bell,True,True,True,True
136,8,orchid_engine,Dax,5ea66d74e7,valve grease,513,512,listen to valve pulse output,6,7,consume 1 valve grease; advance listen to valve pulse,True,True,True,True
137,8,moss_ward,Tala,825eef3be9,dry clay,513,512,copy root ledger output,7,8,consume 1 dry clay; advance copy root ledger,True,True,True,True
138,8,glass_harbor,Nia,aa85d5f3cf,net fiber,514,513,relight public lamp output,6,7,consume 1 net fiber; advance relight public lamp,True,True,True,True
139,8,cinder_garden,Pax,bfe20f64e9,seed ink,514,513,cool ash path output,6,7,consume 1 seed ink; advance cool ash path,True,True,True,True
140,8,lichen_bridge,Rin,1ca3ca05c1,rope fiber,513,512,test rope bridge output,7,8,consume 1 rope fiber; advance test rope bridge,True,True,True,True
141,8,orchid_engine,Eli,79a49a3901,gear cloth,513,512,tend orchid lamp output,6,7,consume 1 gear cloth; advance tend orchid lamp,True,True,True,True
142,8,moss_ward,Ari,27a5f6be30,moss cord,513,512,drain rain path output,6,7,consume 1 moss cord; advance drain rain path,True,True,True,True
143,8,glass_harbor,Oren,139ed15166,salt chalk,512,510,seal fog catcher output,7,8,consume 2 salt chalk; advance seal fog catcher,True,True,True,True
144,9,lichen_bridge,Luma,6e76849c77,lichen glue,513,512,weave spare rope output,7,8,consume 1 lichen glue; advance weave spare rope,True,True,True,True
145,9,orchid_engine,Dax,1194905158,valve grease,512,511,stabilize steam kettle output,8,9,consume 1 valve grease; advance stabilize steam kettle,True,True,True,True
146,9,moss_ward,Tala,ffd144b235,dry clay,512,511,patch blanket loom output,7,8,consume 1 dry clay; advance patch blanket loom,True,True,True,True
147,9,glass_harbor,Nia,e283abe06a,net fiber,513,512,mark crossing rope output,7,8,consume 1 net fiber; advance mark crossing rope,True,True,True,True
148,9,cinder_garden,Pax,f91854767d,seed ink,513,512,sort ember fruit output,8,9,consume 1 seed ink; advance sort ember fruit,True,True,True,True
149,9,lichen_bridge,Rin,47513db752,rope fiber,512,511,repair meal ledger output,7,8,consume 1 rope fiber; advance repair meal ledger,True,True,True,True
150,9,orchid_engine,Eli,ee36774892,gear cloth,512,511,clean gear wash output,6,7,consume 1 gear cloth; advance clean gear wash,True,True,True,True
151,9,moss_ward,Ari,6666182d43,moss cord,512,511,raise warm-cup shelf output,7,8,consume 1 moss cord; advance raise warm-cup shelf,True,True,True,True
152,9,glass_harbor,Oren,4691632fda,salt chalk,510,509,mend fog net output,8,9,consume 1 salt chalk; advance mend fog net,True,True,True,True
153,9,cinder_garden,Vale,669e90cbc3,shade reed,512,511,repair seed calendar output,7,8,consume 1 shade reed; advance repair seed calendar,True,True,True,True
154,9,lichen_bridge,Sol,797e050dde,bell tin,512,511,weave spare rope output,8,9,consume 1 bell tin; advance weave spare rope,True,True,True,True
155,9,orchid_engine,Bea,936769c116,orchid oil,512,511,stabilize steam kettle output,9,10,consume 1 orchid oil; advance stabilize steam kettle,True,True,True,True
156,9,moss_ward,Fay,23961e054e,charcoal mark,513,511,patch blanket loom output,8,9,consume 2 charcoal mark; advance patch blanket loom,True,True,True,True
157,9,glass_harbor,Puck,4e34e5eca9,lamp oil,513,512,mark crossing rope output,8,9,consume 1 lamp oil; advance mark crossing rope,True,True,True,True
158,9,cinder_garden,Wren,f54993de4d,ember basket,512,511,sort ember fruit output,9,10,consume 1 ember basket; advance sort ember fruit,True,True,True,True
159,9,lichen_bridge,Kio,e74a8726db,meal token,512,511,repair meal ledger output,8,9,consume 1 meal token; advance repair meal ledger,True,True,True,True
160,9,orchid_engine,Cai,fee339b1d9,steam seal,513,512,clean gear wash output,7,8,consume 1 steam seal; advance clean gear wash,True,True,True,True
161,9,moss_ward,Milo,d27f39c290,reed bundle,512,511,raise warm-cup shelf output,8,9,consume 1 reed bundle; advance raise warm-cup shelf,True,True,True,True
162,10,cinder_garden,Vale,5e37aea90d,shade reed,511,510,cool ash path output,7,8,consume 1 shade reed; advance cool ash path,True,True,True,True
163,10,lichen_bridge,Sol,72a63892cd,bell tin,511,510,test rope bridge output,8,9,consume 1 bell tin; advance test rope bridge,True,True,True,True
164,10,orchid_engine,Bea,ff802a82b5,orchid oil,511,510,tend orchid lamp output,7,8,consume 1 orchid oil; advance tend orchid lamp,True,True,True,True
165,10,moss_ward,Fay,b4068fee47,charcoal mark,511,510,drain rain path output,7,8,consume 1 charcoal mark; advance drain rain path,True,True,True,True
166,10,glass_harbor,Puck,b9f27156b1,lamp oil,512,511,seal fog catcher output,8,9,consume 1 lamp oil; advance seal fog catcher,True,True,True,True
167,10,cinder_garden,Wren,8d7a6c2aa4,ember basket,511,510,shade seed rows output,7,8,consume 1 ember basket; advance shade seed rows,True,True,True,True
168,10,lichen_bridge,Kio,a9335a1d29,meal token,511,510,mark signal bell output,6,7,consume 1 meal token; advance mark signal bell,True,True,True,True
169,10,orchid_engine,Cai,b31fad0817,steam seal,512,510,listen to valve pulse output,7,8,consume 2 steam seal; advance listen to valve pulse,True,True,True,True
170,10,moss_ward,Milo,48ae12c016,reed bundle,511,510,copy root ledger output,8,9,consume 1 reed bundle; advance copy root ledger,True,True,True,True
171,10,glass_harbor,Sera,ea7173b0ad,glass bead,512,511,relight public lamp output,7,8,consume 1 glass bead; advance relight public lamp,True,True,True,True
172,10,cinder_garden,Juno,5f79a57e6f,cool stone,512,511,cool ash path output,8,9,consume 1 cool stone; advance cool ash path,True,True,True,True
173,10,lichen_bridge,Luma,e1bab827b9,lichen glue,512,511,test rope bridge output,9,10,consume 1 lichen glue; advance test rope bridge,True,True,True,True
174,10,orchid_engine,Dax,3645f43e1d,valve grease,511,510,tend orchid lamp output,8,9,consume 1 valve grease; advance tend orchid lamp,True,True,True,True
175,10,moss_ward,Tala,28589c06c6,dry clay,511,510,drain rain path output,8,9,consume 1 dry clay; advance drain rain path,True,True,True,True
176,10,glass_harbor,Nia,9a5c1e063a,net fiber,512,511,seal fog catcher output,9,10,consume 1 net fiber; advance seal fog catcher,True,True,True,True
177,10,cinder_garden,Pax,da2b247900,seed ink,512,511,shade seed rows output,8,9,consume 1 seed ink; advance shade seed rows,True,True,True,True
178,10,lichen_bridge,Rin,0d07f43a57,rope fiber,511,510,mark signal bell output,7,8,consume 1 rope fiber; advance mark signal bell,True,True,True,True
179,10,orchid_engine,Eli,2432f12bb3,gear cloth,511,510,listen to valve pulse output,8,9,consume 1 gear cloth; advance listen to valve pulse,True,True,True,True
180,11,glass_harbor,Sera,39906512c4,glass bead,511,510,mark crossing rope output,9,10,consume 1 glass bead; advance mark crossing rope,True,True,True,True
181,11,cinder_garden,Juno,5d450b0d31,cool stone,511,510,sort ember fruit output,10,11,consume 1 cool stone; advance sort ember fruit,True,True,True,True
182,11,lichen_bridge,Luma,c11ee45638,lichen glue,511,509,repair meal ledger output,9,10,consume 2 lichen glue; advance repair meal ledger,True,True,True,True
183,11,orchid_engine,Dax,fa2f54a5f1,valve grease,510,509,clean gear wash output,8,9,consume 1 valve grease; advance clean gear wash,True,True,True,True
184,11,moss_ward,Tala,5b51e19d49,dry clay,510,509,raise warm-cup shelf output,9,10,consume 1 dry clay; advance raise warm-cup shelf,True,True,True,True
185,11,glass_harbor,Nia,b58364559a,net fiber,511,510,mend fog net output,9,10,consume 1 net fiber; advance mend fog net,True,True,True,True
186,11,cinder_garden,Pax,301d0ea001,seed ink,511,510,repair seed calendar output,8,9,consume 1 seed ink; advance repair seed calendar,True,True,True,True
187,11,lichen_bridge,Rin,84fdd2bf40,rope fiber,510,509,weave spare rope output,9,10,consume 1 rope fiber; advance weave spare rope,True,True,True,True
188,11,orchid_engine,Eli,b41913dbe2,gear cloth,510,509,stabilize steam kettle output,10,11,consume 1 gear cloth; advance stabilize steam kettle,True,True,True,True
