tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
17,1,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.099,2.889,0.59171,0.60971,True,tired,True
18,2,Sera,open stance,away then back,touches chest,avatar,3.1,2.89,0.641583,0.659583,True,wet,True
19,2,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,3.1,3.28,0.634084,0.620084,True,steady,True
20,2,Nia,alert half-turn,toward exit,steps aside,avatar,3.099,2.889,0.676288,0.682288,True,wet,True
21,2,Ari,open stance,down at hands,small wave,side-on boundary,3.097,3.277,0.579737,0.565737,True,steady,True
22,2,Fay,focused crouch,toward avatar,palm stop,avatar,3.094,2.884,0.581689,0.599689,True,steady,True
23,2,Milo,alert half-turn,toward tool,points to shelf,avatar,3.091,2.881,0.608512,0.614512,True,steady,True
24,2,Sera,open stance,away then back,touches chest,avatar,3.087,2.877,0.637055,0.643055,True,wet,True
25,2,Tovan,focused crouch,toward bystander,offers handle,avatar,3.081,2.871,0.66414,0.68214,True,steady,True
26,2,Nia,alert half-turn,toward exit,steps aside,side-on boundary,3.075,3.255,0.683826,0.669826,True,wet,True
27,2,Ari,open stance,down at hands,small wave,avatar,3.068,2.858,0.543268,0.549268,True,steady,True
28,2,Fay,focused crouch,toward avatar,palm stop,side-on boundary,3.061,3.241,0.577022,0.563022,True,steady,True
29,2,Milo,alert half-turn,toward tool,points to shelf,avatar,3.052,2.842,0.624981,0.642981,True,steady,True
30,2,Sera,open stance,away then back,touches chest,avatar,3.043,2.833,0.650053,0.656053,True,wet,True
31,2,Tovan,focused crouch,toward bystander,offers handle,avatar,3.032,2.822,0.650089,0.656089,True,steady,True
32,2,Nia,alert half-turn,toward exit,steps aside,avatar,3.021,2.811,0.665665,0.683665,True,wet,True
33,2,Ari,open stance,down at hands,small wave,side-on boundary,3.01,3.19,0.558956,0.544956,True,tired,True
34,2,Fay,focused crouch,toward avatar,palm stop,avatar,2.997,2.787,0.582038,0.588038,True,tired,True
35,2,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,2.984,3.164,0.61906,0.60506,True,tired,True
36,3,Sera,open stance,toward bystander,touches chest,avatar,2.97,2.76,0.665572,0.671572,True,steady,True
37,3,Tovan,focused crouch,toward exit,offers handle,avatar,2.955,2.745,0.659224,0.677224,True,wet,True
38,3,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.939,3.119,0.685,0.671,True,steady,True
39,3,Ari,open stance,toward avatar,small wave,avatar,2.923,2.713,0.593368,0.599368,True,steady,True
40,3,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.906,3.086,0.604298,0.590298,True,steady,True
41,3,Milo,alert half-turn,away then back,points to shelf,avatar,2.888,2.678,0.628047,0.646047,True,wet,True
42,3,Sera,open stance,toward bystander,touches chest,avatar,2.87,2.66,0.652058,0.658058,True,steady,True
43,3,Tovan,focused crouch,toward exit,offers handle,avatar,2.851,2.641,0.683552,0.689552,True,wet,True
44,3,Nia,alert half-turn,down at hands,steps aside,avatar,2.831,2.621,0.677809,0.695809,True,steady,True
45,3,Ari,open stance,toward avatar,small wave,side-on boundary,2.811,2.991,0.591558,0.577558,True,steady,True
46,3,Fay,focused crouch,toward tool,palm stop,avatar,2.79,2.58,0.599231,0.605231,True,steady,True
47,3,Milo,alert half-turn,away then back,points to shelf,side-on boundary,2.769,2.949,0.650399,0.636399,True,wet,True
48,3,Sera,open stance,toward bystander,touches chest,avatar,2.747,2.537,0.645842,0.663842,True,steady,True
49,3,Tovan,focused crouch,toward exit,offers handle,avatar,2.725,2.515,0.651787,0.657787,True,wet,True
50,3,Nia,alert half-turn,down at hands,steps aside,avatar,2.702,2.492,0.67484,0.68084,True,steady,True
51,3,Ari,open stance,toward avatar,small wave,avatar,2.679,2.469,0.582983,0.600983,True,tired,True
52,3,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.655,2.835,0.603232,0.589232,True,tired,True
53,3,Milo,alert half-turn,away then back,points to shelf,avatar,2.63,2.42,0.646635,0.652635,True,tired,True
54,4,Sera,open stance,toward exit,touches chest,avatar,2.606,2.396,0.659489,0.665489,True,wet,True
55,4,Tovan,focused crouch,down at hands,offers handle,avatar,2.581,2.371,0.68784,0.69384,True,steady,True
56,4,Nia,alert half-turn,toward avatar,steps aside,avatar,2.555,2.345,0.668855,0.686855,True,steady,True
57,4,Ari,open stance,toward tool,small wave,side-on boundary,2.529,2.709,0.632454,0.618454,True,steady,True
58,4,Fay,focused crouch,away then back,palm stop,avatar,2.503,2.293,0.616414,0.622414,True,wet,True
59,4,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,2.477,2.657,0.6374,0.6234,True,steady,True
60,4,Sera,open stance,toward exit,touches chest,avatar,2.45,2.24,0.66984,0.68784,True,wet,True
61,4,Tovan,focused crouch,down at hands,offers handle,avatar,2.423,2.213,0.675519,0.681519,True,steady,True
62,4,Nia,alert half-turn,toward avatar,steps aside,avatar,2.396,2.186,0.67144,0.67744,True,steady,True
63,4,Ari,open stance,toward tool,small wave,avatar,2.369,2.159,0.61139,0.62939,True,steady,True
64,4,Fay,focused crouch,away then back,palm stop,side-on boundary,2.341,2.521,0.653205,0.639205,True,wet,True
65,4,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.314,2.104,0.673121,0.679121,True,steady,True
66,4,Sera,open stance,toward exit,touches chest,side-on boundary,2.286,2.466,0.668262,0.654262,True,wet,True
67,4,Tovan,focused crouch,down at hands,offers handle,avatar,2.258,2.048,0.675406,0.693406,True,steady,True
68,4,Nia,alert half-turn,toward avatar,steps aside,avatar,2.23,2.02,0.695847,0.701847,True,steady,True
69,4,Ari,open stance,toward tool,small wave,avatar,2.202,1.992,0.616441,0.622441,True,tired,True
70,4,Fay,focused crouch,away then back,palm stop,avatar,2.174,1.964,0.627085,0.645085,True,tired,True
71,4,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,2.147,2.327,0.656695,0.642695,True,tired,True
72,5,Sera,open stance,down at hands,touches chest,avatar,2.119,1.909,0.685645,0.703645,True,steady,True
73,5,Tovan,focused crouch,toward avatar,offers handle,avatar,2.091,1.881,0.66947,0.67547,True,steady,True
74,5,Nia,alert half-turn,toward tool,steps aside,avatar,2.063,1.853,0.69454,0.70054,True,steady,True
75,5,Ari,open stance,away then back,small wave,avatar,2.036,1.826,0.64351,0.66151,True,wet,True
76,5,Fay,focused crouch,toward bystander,palm stop,side-on boundary,2.009,2.189,0.667591,0.653591,True,steady,True
77,5,Milo,alert half-turn,toward exit,points to shelf,avatar,1.981,1.771,0.657637,0.663637,True,wet,True
78,5,Sera,open stance,down at hands,touches chest,side-on boundary,1.954,2.134,0.689198,0.675198,True,steady,True
79,5,Tovan,focused crouch,toward avatar,offers handle,avatar,1.928,1.718,0.663773,0.681773,True,steady,True
80,5,Nia,alert half-turn,toward tool,steps aside,avatar,1.901,1.691,0.694115,0.700115,True,steady,True
81,5,Ari,open stance,away then back,small wave,avatar,1.875,1.665,0.618932,0.624932,True,wet,True
82,5,Fay,focused crouch,toward bystander,palm stop,avatar,1.849,1.639,0.651222,0.669222,True,steady,True
83,5,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.824,2.004,0.682132,0.668132,True,wet,True
84,5,Sera,open stance,down at hands,touches chest,avatar,1.799,1.589,0.687541,0.693541,True,steady,True
85,5,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,1.774,1.954,0.669504,0.655504,True,steady,True
86,5,Nia,alert half-turn,toward tool,steps aside,avatar,1.749,1.539,0.673359,0.691359,True,steady,True
87,5,Ari,open stance,away then back,small wave,avatar,1.725,1.515,0.630117,0.636117,True,tired,True
88,5,Fay,focused crouch,toward bystander,palm stop,avatar,1.702,1.492,0.667996,0.673996,True,tired,True
89,5,Milo,alert half-turn,toward exit,points to shelf,avatar,1.679,1.469,0.664092,0.682092,True,tired,True
90,6,Sera,open stance,toward avatar,touches chest,side-on boundary,1.656,1.836,0.699533,0.685533,True,steady,True
91,6,Tovan,focused crouch,toward tool,offers handle,avatar,1.635,1.425,0.663595,0.681595,True,steady,True
92,6,Nia,alert half-turn,away then back,steps aside,avatar,1.613,1.403,0.654197,0.660197,True,wet,True
93,6,Ari,open stance,toward bystander,small wave,avatar,1.592,1.382,0.660461,0.666461,True,steady,True
94,6,Fay,focused crouch,toward exit,palm stop,avatar,1.572,1.362,0.6586,0.6766,True,wet,True
95,6,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.552,1.732,0.693726,0.679726,True,steady,True
96,6,Sera,open stance,toward avatar,touches chest,avatar,1.533,1.323,0.691397,0.697397,True,steady,True
97,6,Tovan,focused crouch,toward tool,offers handle,side-on boundary,1.515,1.695,0.675832,0.661832,True,steady,True
98,6,Nia,alert half-turn,away then back,steps aside,avatar,1.497,1.287,0.68335,0.70135,True,wet,True
99,6,Ari,open stance,toward bystander,small wave,avatar,1.48,1.27,0.654882,0.660882,True,steady,True
100,6,Fay,focused crouch,toward exit,palm stop,avatar,1.464,1.254,0.665643,0.671643,True,wet,True
101,6,Milo,alert half-turn,down at hands,points to shelf,avatar,1.448,1.238,0.661202,0.679202,True,steady,True
102,6,Sera,open stance,toward avatar,touches chest,side-on boundary,1.433,1.613,0.687346,0.673346,True,steady,True
103,6,Tovan,focused crouch,toward tool,offers handle,avatar,1.419,1.209,0.683938,0.689938,True,steady,True
104,6,Nia,alert half-turn,away then back,steps aside,side-on boundary,1.405,1.585,0.669341,0.655341,True,wet,True
105,6,Ari,open stance,toward bystander,small wave,avatar,1.393,1.183,0.647727,0.665727,True,steady,True
106,6,Fay,focused crouch,toward exit,palm stop,avatar,1.381,1.171,0.659086,0.665086,True,tired,True
107,6,Milo,alert half-turn,down at hands,points to shelf,avatar,1.369,1.159,0.67727,0.68327,True,tired,True
108,7,Sera,open stance,toward tool,touches chest,avatar,1.359,1.149,0.682196,0.688196,True,steady,True
109,7,Tovan,focused crouch,away then back,offers handle,side-on boundary,1.35,1.53,0.689291,0.675291,True,wet,True
110,7,Nia,alert half-turn,toward bystander,steps aside,avatar,1.341,1.131,0.668101,0.686101,True,steady,True
111,7,Ari,open stance,toward exit,small wave,avatar,1.333,1.123,0.655357,0.661357,True,wet,True
112,7,Fay,focused crouch,down at hands,palm stop,avatar,1.326,1.116,0.66006,0.66606,True,steady,True
113,7,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.32,1.11,0.667958,0.685958,True,steady,True
114,7,Sera,open stance,toward tool,touches chest,side-on boundary,1.314,1.494,0.674291,0.660291,True,steady,True
115,7,Tovan,focused crouch,away then back,offers handle,avatar,1.31,1.1,0.688975,0.694975,True,steady,True
116,7,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,1.306,1.486,0.663184,0.649184,True,steady,True
117,7,Ari,open stance,toward exit,small wave,avatar,1.303,1.093,0.658351,0.676351,True,steady,True
118,7,Fay,focused crouch,down at hands,palm stop,avatar,1.301,1.091,0.685804,0.691804,True,steady,True
119,7,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.3,1.09,0.664337,0.670337,True,steady,True
120,7,Sera,open stance,toward tool,touches chest,avatar,1.3,1.09,0.665756,0.683756,True,steady,True
121,7,Tovan,focused crouch,away then back,offers handle,side-on boundary,1.301,1.481,0.661969,0.647969,True,steady,True
122,7,Nia,alert half-turn,toward bystander,steps aside,avatar,1.302,1.092,0.663331,0.669331,True,steady,True
123,7,Ari,open stance,toward exit,small wave,side-on boundary,1.305,1.485,0.686013,0.672013,True,steady,True
124,7,Fay,focused crouch,down at hands,palm stop,avatar,1.308,1.098,0.663449,0.681449,True,tired,True
125,7,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.312,1.102,0.680517,0.686517,True,tired,True
126,8,Sera,open stance,away then back,touches chest,side-on boundary,1.317,1.497,0.664877,0.650877,True,steady,True
127,8,Tovan,focused crouch,toward bystander,offers handle,avatar,1.323,1.113,0.647203,0.653203,True,steady,True
128,8,Nia,alert half-turn,toward exit,steps aside,side-on boundary,1.329,1.509,0.626565,0.612565,True,steady,True
129,8,Ari,open stance,down at hands,small wave,avatar,1.337,1.127,0.66461,0.68261,True,steady,True
130,8,Fay,focused crouch,toward avatar,palm stop,avatar,1.345,1.135,0.682554,0.688554,True,steady,True
131,8,Milo,alert half-turn,toward tool,points to shelf,avatar,1.354,1.144,0.6949,0.7009,True,steady,True
132,8,Sera,open stance,away then back,touches chest,avatar,1.364,1.154,0.655796,0.673796,True,steady,True
133,8,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,1.375,1.555,0.668886,0.654886,True,steady,True
134,8,Nia,alert half-turn,toward exit,steps aside,avatar,1.386,1.176,0.661094,0.667094,True,steady,True
135,8,Ari,open stance,down at hands,small wave,side-on boundary,1.399,1.579,0.666283,0.652283,True,steady,True
136,8,Fay,focused crouch,toward avatar,palm stop,avatar,1.412,1.202,0.680784,0.698784,True,steady,True
137,8,Milo,alert half-turn,toward tool,points to shelf,avatar,1.426,1.216,0.659548,0.665548,True,steady,True
138,8,Sera,open stance,away then back,touches chest,avatar,1.44,1.23,0.676075,0.682075,True,steady,True
139,8,Tovan,focused crouch,toward bystander,offers handle,avatar,1.455,1.245,0.667837,0.685837,True,steady,True
140,8,Nia,alert half-turn,toward exit,steps aside,side-on boundary,1.472,1.652,0.637899,0.623899,True,steady,True
141,8,Ari,open stance,down at hands,small wave,avatar,1.488,1.278,0.672177,0.678177,True,steady,True
142,8,Fay,focused crouch,toward avatar,palm stop,side-on boundary,1.506,1.686,0.696805,0.682805,True,tired,True
143,8,Milo,alert half-turn,toward tool,points to shelf,avatar,1.524,1.314,0.696462,0.714462,True,tired,True
144,9,Sera,open stance,toward bystander,touches chest,avatar,1.542,1.332,0.664457,0.682457,True,steady,True
145,9,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.562,1.742,0.652662,0.638662,True,wet,True
146,9,Nia,alert half-turn,down at hands,steps aside,avatar,1.582,1.372,0.628315,0.634315,True,steady,True
147,9,Ari,open stance,toward avatar,small wave,side-on boundary,1.602,1.782,0.697142,0.683142,True,steady,True
148,9,Fay,focused crouch,toward tool,palm stop,avatar,1.624,1.414,0.675684,0.693684,True,steady,True
149,9,Milo,alert half-turn,away then back,points to shelf,avatar,1.645,1.435,0.681456,0.687456,True,wet,True
150,9,Sera,open stance,toward bystander,touches chest,avatar,1.667,1.457,0.640584,0.646584,True,steady,True
151,9,Tovan,focused crouch,toward exit,offers handle,avatar,1.69,1.48,0.643177,0.661177,True,wet,True
152,9,Nia,alert half-turn,down at hands,steps aside,side-on boundary,1.713,1.893,0.626137,0.612137,True,steady,True
153,9,Ari,open stance,toward avatar,small wave,avatar,1.737,1.527,0.679751,0.685751,True,steady,True
154,9,Fay,focused crouch,toward tool,palm stop,side-on boundary,1.761,1.941,0.695185,0.681185,True,steady,True
155,9,Milo,alert half-turn,away then back,points to shelf,avatar,1.786,1.576,0.658457,0.676457,True,wet,True
156,9,Sera,open stance,toward bystander,touches chest,avatar,1.811,1.601,0.646772,0.652772,True,steady,True
157,9,Tovan,focused crouch,toward exit,offers handle,avatar,1.836,1.626,0.630701,0.636701,True,wet,True
158,9,Nia,alert half-turn,down at hands,steps aside,avatar,1.862,1.652,0.624424,0.642424,True,steady,True
159,9,Ari,open stance,toward avatar,small wave,side-on boundary,1.888,2.068,0.675873,0.661873,True,steady,True
160,9,Fay,focused crouch,toward tool,palm stop,avatar,1.914,1.704,0.696866,0.702866,True,tired,True
161,9,Milo,alert half-turn,away then back,points to shelf,side-on boundary,1.941,2.121,0.676362,0.662362,True,tired,True
162,10,Sera,open stance,toward exit,touches chest,avatar,1.968,1.758,0.659446,0.665446,True,wet,True
163,10,Tovan,focused crouch,down at hands,offers handle,avatar,1.995,1.785,0.612911,0.630911,True,steady,True
164,10,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.022,2.202,0.602656,0.588656,True,steady,True
165,10,Ari,open stance,toward tool,small wave,avatar,2.049,1.839,0.680581,0.686581,True,steady,True
166,10,Fay,focused crouch,away then back,palm stop,side-on boundary,2.077,2.257,0.671734,0.657734,True,wet,True
167,10,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.105,1.895,0.675399,0.693399,True,steady,True
168,10,Sera,open stance,toward exit,touches chest,avatar,2.132,1.922,0.659468,0.665468,True,wet,True
169,10,Tovan,focused crouch,down at hands,offers handle,avatar,2.16,1.95,0.638128,0.644128,True,steady,True
170,10,Nia,alert half-turn,toward avatar,steps aside,avatar,2.188,1.978,0.590996,0.608996,True,steady,True
171,10,Ari,open stance,toward tool,small wave,side-on boundary,2.216,2.396,0.689353,0.675353,True,steady,True
172,10,Fay,focused crouch,away then back,palm stop,avatar,2.244,2.034,0.680903,0.686903,True,wet,True
173,10,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,2.272,2.452,0.652271,0.638271,True,steady,True
174,10,Sera,open stance,toward exit,touches chest,avatar,2.3,2.09,0.641619,0.659619,True,wet,True
175,10,Tovan,focused crouch,down at hands,offers handle,avatar,2.327,2.117,0.637355,0.643355,True,steady,True
176,10,Nia,alert half-turn,toward avatar,steps aside,avatar,2.355,2.145,0.592364,0.598364,True,steady,True
177,10,Ari,open stance,toward tool,small wave,avatar,2.382,2.172,0.67865,0.69665,True,steady,True
178,10,Fay,focused crouch,away then back,palm stop,side-on boundary,2.409,2.589,0.664051,0.650051,True,wet,True
179,10,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.436,2.226,0.662636,0.668636,True,tired,True
180,11,Sera,open stance,down at hands,touches chest,avatar,2.463,2.253,0.622157,0.628157,True,steady,True
181,11,Tovan,focused crouch,toward avatar,offers handle,avatar,2.49,2.28,0.591701,0.597701,True,steady,True
182,11,Nia,alert half-turn,toward tool,steps aside,avatar,2.516,2.306,0.584976,0.602976,True,steady,True
183,11,Ari,open stance,away then back,small wave,side-on boundary,2.542,2.722,0.654692,0.640692,True,wet,True
184,11,Fay,focused crouch,toward bystander,palm stop,avatar,2.568,2.358,0.665296,0.671296,True,steady,True
185,11,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,2.593,2.773,0.637075,0.623075,True,wet,True
186,11,Sera,open stance,down at hands,touches chest,avatar,2.618,2.408,0.643129,0.661129,True,steady,True
187,11,Tovan,focused crouch,toward avatar,offers handle,avatar,2.642,2.432,0.607525,0.613525,True,steady,True
188,11,Nia,alert half-turn,toward tool,steps aside,avatar,2.666,2.456,0.569883,0.575883,True,steady,True
189,11,Ari,open stance,away then back,small wave,avatar,2.69,2.48,0.685499,0.703499,True,wet,True
190,11,Fay,focused crouch,toward bystander,palm stop,side-on boundary,2.713,2.893,0.669706,0.655706,True,steady,True
191,11,Milo,alert half-turn,toward exit,points to shelf,avatar,2.736,2.526,0.639221,0.645221,True,wet,True
192,11,Sera,open stance,down at hands,touches chest,side-on boundary,2.758,2.938,0.623543,0.609543,True,steady,True
193,11,Tovan,focused crouch,toward avatar,offers handle,avatar,2.78,2.57,0.58629,0.60429,True,steady,True
194,11,Nia,alert half-turn,toward tool,steps aside,avatar,2.801,2.591,0.577195,0.583195,True,steady,True
195,11,Ari,open stance,away then back,small wave,avatar,2.821,2.611,0.658164,0.664164,True,wet,True
196,11,Fay,focused crouch,toward bystander,palm stop,avatar,2.841,2.631,0.650059,0.668059,True,steady,True
197,11,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,2.86,3.04,0.656356,0.642356,True,tired,True
198,12,Sera,open stance,toward avatar,touches chest,avatar,2.879,2.669,0.590627,0.608627,True,steady,True
199,12,Tovan,focused crouch,toward tool,offers handle,avatar,2.897,2.687,0.593128,0.599128,True,steady,True
200,12,Nia,alert half-turn,away then back,steps aside,avatar,2.914,2.704,0.531034,0.537034,True,wet,True
201,12,Ari,open stance,toward bystander,small wave,avatar,2.931,2.721,0.641819,0.659819,True,steady,True
202,12,Fay,focused crouch,toward exit,palm stop,side-on boundary,2.947,3.127,0.662816,0.648816,True,wet,True
203,12,Milo,alert half-turn,down at hands,points to shelf,avatar,2.962,2.752,0.604691,0.610691,True,steady,True
204,12,Sera,open stance,toward avatar,touches chest,side-on boundary,2.977,3.157,0.593419,0.579419,True,steady,True
205,12,Tovan,focused crouch,toward tool,offers handle,avatar,2.99,2.78,0.584884,0.602884,True,steady,True
206,12,Nia,alert half-turn,away then back,steps aside,avatar,3.003,2.793,0.542694,0.548694,True,wet,True
207,12,Ari,open stance,toward bystander,small wave,avatar,3.015,2.805,0.650085,0.656085,True,steady,True
208,12,Fay,focused crouch,toward exit,palm stop,avatar,3.027,2.817,0.626693,0.644693,True,wet,True
209,12,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,3.037,3.217,0.615118,0.601118,True,steady,True
210,12,Sera,open stance,toward avatar,touches chest,avatar,3.047,2.837,0.61846,0.62446,True,steady,True
211,12,Tovan,focused crouch,toward tool,offers handle,side-on boundary,3.056,3.236,0.57449,0.56049,True,steady,True
212,12,Nia,alert half-turn,away then back,steps aside,avatar,3.064,2.854,0.546339,0.564339,True,wet,True
213,12,Ari,open stance,toward bystander,small wave,avatar,3.072,2.862,0.668528,0.674528,True,steady,True
214,12,Fay,focused crouch,toward exit,palm stop,avatar,3.078,2.868,0.647156,0.653156,True,wet,True
215,12,Milo,alert half-turn,down at hands,points to shelf,avatar,3.084,2.874,0.608152,0.626152,True,tired,True
216,13,Sera,open stance,toward tool,touches chest,side-on boundary,3.089,3.269,0.555775,0.541775,True,steady,True
217,13,Tovan,focused crouch,away then back,offers handle,avatar,3.093,2.883,0.541756,0.559756,True,wet,True
218,13,Nia,alert half-turn,toward bystander,steps aside,avatar,3.096,2.886,0.504466,0.510466,True,steady,True
219,13,Ari,open stance,toward exit,small wave,avatar,3.098,2.888,0.655453,0.661453,True,wet,True
220,13,Fay,focused crouch,down at hands,palm stop,avatar,3.099,2.889,0.626259,0.644259,True,steady,True
221,13,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,3.1,3.28,0.606129,0.592129,True,steady,True
222,13,Sera,open stance,toward tool,touches chest,avatar,3.1,2.89,0.57575,0.58175,True,steady,True
223,13,Tovan,focused crouch,away then back,offers handle,side-on boundary,3.098,3.278,0.532197,0.518197,True,wet,True
224,13,Nia,alert half-turn,toward bystander,steps aside,avatar,3.096,2.886,0.524295,0.542295,True,steady,True
225,13,Ari,open stance,toward exit,small wave,avatar,3.093,2.883,0.627094,0.633094,True,wet,True
226,13,Fay,focused crouch,down at hands,palm stop,avatar,3.09,2.88,0.626681,0.632681,True,steady,True
227,13,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.085,2.875,0.582139,0.600139,True,steady,True
228,13,Sera,open stance,toward tool,touches chest,side-on boundary,3.079,3.259,0.571266,0.557266,True,steady,True
229,13,Tovan,focused crouch,away then back,offers handle,avatar,3.073,2.863,0.530735,0.536735,True,wet,True
230,13,Nia,alert half-turn,toward bystander,steps aside,side-on boundary,3.066,3.246,0.500724,0.486724,True,steady,True
231,13,Ari,open stance,toward exit,small wave,avatar,3.058,2.848,0.625314,0.643314,True,wet,True
232,13,Fay,focused crouch,down at hands,palm stop,avatar,3.049,2.839,0.607955,0.613955,True,steady,True
233,13,Milo,alert half-turn,toward avatar,points to shelf,avatar,3.039,2.829,0.607381,0.613381,True,tired,True
234,14,Sera,open stance,away then back,touches chest,avatar,3.029,2.819,0.533574,0.539574,True,wet,True
235,14,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,3.018,3.198,0.513526,0.499526,True,steady,True
236,14,Nia,alert half-turn,toward exit,steps aside,avatar,3.006,2.796,0.487725,0.505725,True,wet,True
237,14,Ari,open stance,down at hands,small wave,avatar,2.993,2.783,0.615723,0.621723,True,steady,True
238,14,Fay,focused crouch,toward avatar,palm stop,avatar,2.979,2.769,0.597105,0.603105,True,steady,True
239,14,Milo,alert half-turn,toward tool,points to shelf,avatar,2.965,2.755,0.57908,0.59708,True,steady,True
240,14,Sera,open stance,away then back,touches chest,side-on boundary,2.95,3.13,0.526367,0.512367,True,wet,True
241,14,Tovan,focused crouch,toward bystander,offers handle,avatar,2.934,2.724,0.527915,0.533915,True,steady,True
242,14,Nia,alert half-turn,toward exit,steps aside,side-on boundary,2.918,3.098,0.482349,0.468349,True,wet,True
243,14,Ari,open stance,down at hands,small wave,avatar,2.9,2.69,0.634983,0.652983,True,steady,True
244,14,Fay,focused crouch,toward avatar,palm stop,avatar,2.883,2.673,0.588719,0.594719,True,steady,True
245,14,Milo,alert half-turn,toward tool,points to shelf,avatar,2.864,2.654,0.585696,0.591696,True,steady,True
246,14,Sera,open stance,away then back,touches chest,avatar,2.845,2.635,0.56233,0.58033,True,wet,True
247,14,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,2.825,3.005,0.513262,0.499262,True,steady,True
248,14,Nia,alert half-turn,toward exit,steps aside,avatar,2.805,2.595,0.473126,0.479126,True,wet,True
249,14,Ari,open stance,down at hands,small wave,side-on boundary,2.784,2.964,0.627902,0.613902,True,steady,True
250,14,Fay,focused crouch,toward avatar,palm stop,avatar,2.762,2.552,0.616874,0.634874,True,steady,True
251,14,Milo,alert half-turn,toward tool,points to shelf,avatar,2.74,2.53,0.579874,0.585874,True,steady,True
252,15,Sera,open stance,toward bystander,touches chest,side-on boundary,2.718,2.898,0.51207,0.49807,True,steady,True
253,15,Tovan,focused crouch,toward exit,offers handle,avatar,2.695,2.485,0.495874,0.501874,True,wet,True
254,15,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.671,2.851,0.444806,0.430806,True,steady,True
255,15,Ari,open stance,toward avatar,small wave,avatar,2.647,2.437,0.612483,0.630483,True,steady,True
256,15,Fay,focused crouch,toward tool,palm stop,avatar,2.623,2.413,0.571507,0.577507,True,steady,True
