tick,day,snapshot_key,restored_avatar_room,restored_resident,restored_memory_key,restored_debt_name,replay_event_count,restored_ok,audit_scrubbable
197,11,ssrm:v58:snapshot:d011:t00197,tool alcove,Milo,milo:care_favor:d011:s17,care favor,140,True,True
198,12,ssrm:v58:snapshot:d012:t00198,fiber loft,Sera,sera:tool_loan:d012:s00,tool loan,140,True,True
203,12,ssrm:v58:snapshot:d012:t00203,rain court,Milo,milo:route_warning:d012:s05,route warning,140,True,True
210,12,ssrm:v58:snapshot:d012:t00210,fiber loft,Sera,sera:tool_loan:d012:s12,tool loan,140,True,True
215,12,ssrm:v58:snapshot:d012:t00215,rain court,Milo,milo:route_warning:d012:s17,route warning,140,True,True
216,13,ssrm:v58:snapshot:d013:t00216,west hearth,Sera,sera:water_carry:d013:s00,water carry,140,True,True
217,13,ssrm:v58:snapshot:d013:t00217,river gate,Tovan,tovan:repair_promise:d013:s01,repair promise,140,True,True
224,13,ssrm:v58:snapshot:d013:t00224,arrival court,Nia,nia:missed_greeting:d013:s08,missed greeting,140,True,True
231,13,ssrm:v58:snapshot:d013:t00231,tool alcove,Ari,ari:care_favor:d013:s15,care favor,140,True,True
233,13,ssrm:v58:snapshot:d013:t00233,fiber loft,Milo,milo:tool_loan:d013:s17,tool loan,140,True,True
234,14,ssrm:v58:snapshot:d014:t00234,river gate,Sera,sera:repair_promise:d014:s00,repair promise,140,True,True
238,14,ssrm:v58:snapshot:d014:t00238,fiber loft,Fay,fay:tool_loan:d014:s04,tool loan,140,True,True
245,14,ssrm:v58:snapshot:d014:t00245,west hearth,Milo,milo:water_carry:d014:s11,water carry,140,True,True
251,14,ssrm:v58:snapshot:d014:t00251,west hearth,Milo,milo:water_carry:d014:s17,water carry,140,True,True
252,15,ssrm:v58:snapshot:d015:t00252,arrival court,Sera,sera:missed_greeting:d015:s00,missed greeting,140,True,True
259,15,ssrm:v58:snapshot:d015:t00259,tool alcove,Tovan,tovan:care_favor:d015:s07,care favor,140,True,True
266,15,ssrm:v58:snapshot:d015:t00266,rain court,Nia,nia:route_warning:d015:s14,route warning,140,True,True
269,15,ssrm:v58:snapshot:d015:t00269,river gate,Milo,milo:repair_promise:d015:s17,repair promise,140,True,True
270,16,ssrm:v58:snapshot:d016:t00270,tool alcove,Sera,sera:care_favor:d016:s00,care favor,140,True,True
273,16,ssrm:v58:snapshot:d016:t00273,west hearth,Ari,ari:water_carry:d016:s03,water carry,140,True,True
280,16,ssrm:v58:snapshot:d016:t00280,river gate,Fay,fay:repair_promise:d016:s10,repair promise,140,True,True
287,16,ssrm:v58:snapshot:d016:t00287,arrival court,Milo,milo:missed_greeting:d016:s17,missed greeting,140,True,True
288,17,ssrm:v58:snapshot:d017:t00288,rain court,Sera,sera:route_warning:d017:s00,route warning,140,True,True
294,17,ssrm:v58:snapshot:d017:t00294,rain court,Sera,sera:route_warning:d017:s06,route warning,140,True,True
301,17,ssrm:v58:snapshot:d017:t00301,fiber loft,Tovan,tovan:tool_loan:d017:s13,tool loan,140,True,True
305,17,ssrm:v58:snapshot:d017:t00305,tool alcove,Milo,milo:care_favor:d017:s17,care favor,140,True,True
306,18,ssrm:v58:snapshot:d018:t00306,fiber loft,Sera,sera:tool_loan:d018:s00,tool loan,140,True,True
308,18,ssrm:v58:snapshot:d018:t00308,river gate,Nia,nia:repair_promise:d018:s02,repair promise,140,True,True
315,18,ssrm:v58:snapshot:d018:t00315,arrival court,Ari,ari:missed_greeting:d018:s09,missed greeting,140,True,True
322,18,ssrm:v58:snapshot:d018:t00322,tool alcove,Fay,fay:care_favor:d018:s16,care favor,140,True,True
323,18,ssrm:v58:snapshot:d018:t00323,rain court,Milo,milo:route_warning:d018:s17,route warning,140,True,True
324,19,ssrm:v58:snapshot:d019:t00324,west hearth,Sera,sera:water_carry:d019:s00,water carry,140,True,True
329,19,ssrm:v58:snapshot:d019:t00329,fiber loft,Milo,milo:tool_loan:d019:s05,tool loan,140,True,True
336,19,ssrm:v58:snapshot:d019:t00336,west hearth,Sera,sera:water_carry:d019:s12,water carry,140,True,True
341,19,ssrm:v58:snapshot:d019:t00341,fiber loft,Milo,milo:tool_loan:d019:s17,tool loan,140,True,True
342,20,ssrm:v58:snapshot:d020:t00342,river gate,Sera,sera:repair_promise:d020:s00,repair promise,140,True,True
343,20,ssrm:v58:snapshot:d020:t00343,arrival court,Tovan,tovan:missed_greeting:d020:s01,missed greeting,140,True,True
350,20,ssrm:v58:snapshot:d020:t00350,tool alcove,Nia,nia:care_favor:d020:s08,care favor,140,True,True
357,20,ssrm:v58:snapshot:d020:t00357,rain court,Ari,ari:route_warning:d020:s15,route warning,140,True,True
359,20,ssrm:v58:snapshot:d020:t00359,west hearth,Milo,milo:water_carry:d020:s17,water carry,140,True,True
360,21,ssrm:v58:snapshot:d021:t00360,arrival court,Sera,sera:missed_greeting:d021:s00,missed greeting,140,True,True
364,21,ssrm:v58:snapshot:d021:t00364,west hearth,Fay,fay:water_carry:d021:s04,water carry,140,True,True
371,21,ssrm:v58:snapshot:d021:t00371,river gate,Milo,milo:repair_promise:d021:s11,repair promise,140,True,True
377,21,ssrm:v58:snapshot:d021:t00377,river gate,Milo,milo:repair_promise:d021:s17,repair promise,140,True,True
378,22,ssrm:v58:snapshot:d022:t00378,tool alcove,Sera,sera:care_favor:d022:s00,care favor,140,True,True
385,22,ssrm:v58:snapshot:d022:t00385,rain court,Tovan,tovan:route_warning:d022:s07,route warning,140,True,True
392,22,ssrm:v58:snapshot:d022:t00392,fiber loft,Nia,nia:tool_loan:d022:s14,tool loan,140,True,True
395,22,ssrm:v58:snapshot:d022:t00395,arrival court,Milo,milo:missed_greeting:d022:s17,missed greeting,140,True,True
396,23,ssrm:v58:snapshot:d023:t00396,rain court,Sera,sera:route_warning:d023:s00,route warning,140,True,True
399,23,ssrm:v58:snapshot:d023:t00399,river gate,Ari,ari:repair_promise:d023:s03,repair promise,140,True,True
406,23,ssrm:v58:snapshot:d023:t00406,arrival court,Fay,fay:missed_greeting:d023:s10,missed greeting,140,True,True
413,23,ssrm:v58:snapshot:d023:t00413,tool alcove,Milo,milo:care_favor:d023:s17,care favor,140,True,True
414,24,ssrm:v58:snapshot:d024:t00414,fiber loft,Sera,sera:tool_loan:d024:s00,tool loan,140,True,True
420,24,ssrm:v58:snapshot:d024:t00420,fiber loft,Sera,sera:tool_loan:d024:s06,tool loan,140,True,True
427,24,ssrm:v58:snapshot:d024:t00427,west hearth,Tovan,tovan:water_carry:d024:s13,water carry,140,True,True
431,24,ssrm:v58:snapshot:d024:t00431,rain court,Milo,milo:route_warning:d024:s17,route warning,140,True,True
432,25,ssrm:v58:snapshot:d025:t00432,west hearth,Sera,sera:water_carry:d025:s00,water carry,140,True,True
434,25,ssrm:v58:snapshot:d025:t00434,arrival court,Nia,nia:missed_greeting:d025:s02,missed greeting,140,True,True
441,25,ssrm:v58:snapshot:d025:t00441,tool alcove,Ari,ari:care_favor:d025:s09,care favor,140,True,True
448,25,ssrm:v58:snapshot:d025:t00448,rain court,Fay,fay:route_warning:d025:s16,route warning,140,True,True
449,25,ssrm:v58:snapshot:d025:t00449,fiber loft,Milo,milo:tool_loan:d025:s17,tool loan,140,True,True
450,26,ssrm:v58:snapshot:d026:t00450,river gate,Sera,sera:repair_promise:d026:s00,repair promise,140,True,True
455,26,ssrm:v58:snapshot:d026:t00455,west hearth,Milo,milo:water_carry:d026:s05,water carry,140,True,True
462,26,ssrm:v58:snapshot:d026:t00462,river gate,Sera,sera:repair_promise:d026:s12,repair promise,140,True,True
467,26,ssrm:v58:snapshot:d026:t00467,west hearth,Milo,milo:water_carry:d026:s17,water carry,140,True,True
468,27,ssrm:v58:snapshot:d027:t00468,arrival court,Sera,sera:missed_greeting:d027:s00,missed greeting,140,True,True
469,27,ssrm:v58:snapshot:d027:t00469,tool alcove,Tovan,tovan:care_favor:d027:s01,care favor,140,True,True
476,27,ssrm:v58:snapshot:d027:t00476,rain court,Nia,nia:route_warning:d027:s08,route warning,140,True,True
483,27,ssrm:v58:snapshot:d027:t00483,fiber loft,Ari,ari:tool_loan:d027:s15,tool loan,140,True,True
485,27,ssrm:v58:snapshot:d027:t00485,river gate,Milo,milo:repair_promise:d027:s17,repair promise,140,True,True
486,28,ssrm:v58:snapshot:d028:t00486,tool alcove,Sera,sera:care_favor:d028:s00,care favor,140,True,True
490,28,ssrm:v58:snapshot:d028:t00490,river gate,Fay,fay:repair_promise:d028:s04,repair promise,140,True,True
497,28,ssrm:v58:snapshot:d028:t00497,arrival court,Milo,milo:missed_greeting:d028:s11,missed greeting,140,True,True
503,28,ssrm:v58:snapshot:d028:t00503,arrival court,Milo,milo:missed_greeting:d028:s17,missed greeting,140,True,True
504,29,ssrm:v58:snapshot:d029:t00504,rain court,Sera,sera:route_warning:d029:s00,route warning,140,True,True
511,29,ssrm:v58:snapshot:d029:t00511,fiber loft,Tovan,tovan:tool_loan:d029:s07,tool loan,140,True,True
518,29,ssrm:v58:snapshot:d029:t00518,west hearth,Nia,nia:water_carry:d029:s14,water carry,140,True,True
521,29,ssrm:v58:snapshot:d029:t00521,tool alcove,Milo,milo:care_favor:d029:s17,care favor,140,True,True
522,30,ssrm:v58:snapshot:d030:t00522,fiber loft,Sera,sera:tool_loan:d030:s00,tool loan,140,True,True
525,30,ssrm:v58:snapshot:d030:t00525,arrival court,Ari,ari:missed_greeting:d030:s03,missed greeting,140,True,True
532,30,ssrm:v58:snapshot:d030:t00532,tool alcove,Fay,fay:care_favor:d030:s10,care favor,140,True,True
539,30,ssrm:v58:snapshot:d030:t00539,rain court,Milo,milo:route_warning:d030:s17,route warning,140,True,True
540,31,ssrm:v58:snapshot:d031:t00540,west hearth,Sera,sera:water_carry:d031:s00,water carry,140,True,True
546,31,ssrm:v58:snapshot:d031:t00546,west hearth,Sera,sera:water_carry:d031:s06,water carry,140,True,True
553,31,ssrm:v58:snapshot:d031:t00553,river gate,Tovan,tovan:repair_promise:d031:s13,repair promise,140,True,True
557,31,ssrm:v58:snapshot:d031:t00557,fiber loft,Milo,milo:tool_loan:d031:s17,tool loan,140,True,True
558,32,ssrm:v58:snapshot:d032:t00558,river gate,Sera,sera:repair_promise:d032:s00,repair promise,140,True,True
560,32,ssrm:v58:snapshot:d032:t00560,tool alcove,Nia,nia:care_favor:d032:s02,care favor,140,True,True
567,32,ssrm:v58:snapshot:d032:t00567,rain court,Ari,ari:route_warning:d032:s09,route warning,140,True,True
574,32,ssrm:v58:snapshot:d032:t00574,fiber loft,Fay,fay:tool_loan:d032:s16,tool loan,140,True,True
575,32,ssrm:v58:snapshot:d032:t00575,west hearth,Milo,milo:water_carry:d032:s17,water carry,140,True,True
576,33,ssrm:v58:snapshot:d033:t00576,arrival court,Sera,sera:missed_greeting:d033:s00,missed greeting,140,True,True
581,33,ssrm:v58:snapshot:d033:t00581,river gate,Milo,milo:repair_promise:d033:s05,repair promise,140,True,True
588,33,ssrm:v58:snapshot:d033:t00588,arrival court,Sera,sera:missed_greeting:d033:s12,missed greeting,140,True,True
593,33,ssrm:v58:snapshot:d033:t00593,river gate,Milo,milo:repair_promise:d033:s17,repair promise,140,True,True
594,34,ssrm:v58:snapshot:d034:t00594,tool alcove,Sera,sera:care_favor:d034:s00,care favor,140,True,True
595,34,ssrm:v58:snapshot:d034:t00595,rain court,Tovan,tovan:route_warning:d034:s01,route warning,140,True,True
602,34,ssrm:v58:snapshot:d034:t00602,fiber loft,Nia,nia:tool_loan:d034:s08,tool loan,140,True,True
609,34,ssrm:v58:snapshot:d034:t00609,west hearth,Ari,ari:water_carry:d034:s15,water carry,140,True,True
611,34,ssrm:v58:snapshot:d034:t00611,arrival court,Milo,milo:missed_greeting:d034:s17,missed greeting,140,True,True
612,35,ssrm:v58:snapshot:d035:t00612,rain court,Sera,sera:route_warning:d035:s00,route warning,140,True,True
616,35,ssrm:v58:snapshot:d035:t00616,arrival court,Fay,fay:missed_greeting:d035:s04,missed greeting,140,True,True
623,35,ssrm:v58:snapshot:d035:t00623,tool alcove,Milo,milo:care_favor:d035:s11,care favor,140,True,True
629,35,ssrm:v58:snapshot:d035:t00629,tool alcove,Milo,milo:care_favor:d035:s17,care favor,140,True,True
630,36,ssrm:v58:snapshot:d036:t00630,fiber loft,Sera,sera:tool_loan:d036:s00,tool loan,140,True,True
637,36,ssrm:v58:snapshot:d036:t00637,west hearth,Tovan,tovan:water_carry:d036:s07,water carry,140,True,True
644,36,ssrm:v58:snapshot:d036:t00644,river gate,Nia,nia:repair_promise:d036:s14,repair promise,140,True,True
647,36,ssrm:v58:snapshot:d036:t00647,rain court,Milo,milo:route_warning:d036:s17,route warning,140,True,True
648,37,ssrm:v58:snapshot:d037:t00648,west hearth,Sera,sera:water_carry:d037:s00,water carry,140,True,True
651,37,ssrm:v58:snapshot:d037:t00651,tool alcove,Ari,ari:care_favor:d037:s03,care favor,140,True,True
658,37,ssrm:v58:snapshot:d037:t00658,rain court,Fay,fay:route_warning:d037:s10,route warning,140,True,True
665,37,ssrm:v58:snapshot:d037:t00665,fiber loft,Milo,milo:tool_loan:d037:s17,tool loan,140,True,True
666,38,ssrm:v58:snapshot:d038:t00666,river gate,Sera,sera:repair_promise:d038:s00,repair promise,140,True,True
672,38,ssrm:v58:snapshot:d038:t00672,river gate,Sera,sera:repair_promise:d038:s06,repair promise,140,True,True
679,38,ssrm:v58:snapshot:d038:t00679,arrival court,Tovan,tovan:missed_greeting:d038:s13,missed greeting,140,True,True
683,38,ssrm:v58:snapshot:d038:t00683,west hearth,Milo,milo:water_carry:d038:s17,water carry,140,True,True
684,39,ssrm:v58:snapshot:d039:t00684,arrival court,Sera,sera:missed_greeting:d039:s00,missed greeting,140,True,True
686,39,ssrm:v58:snapshot:d039:t00686,rain court,Nia,nia:route_warning:d039:s02,route warning,140,True,True
693,39,ssrm:v58:snapshot:d039:t00693,fiber loft,Ari,ari:tool_loan:d039:s09,tool loan,140,True,True
700,39,ssrm:v58:snapshot:d039:t00700,west hearth,Fay,fay:water_carry:d039:s16,water carry,140,True,True
701,39,ssrm:v58:snapshot:d039:t00701,river gate,Milo,milo:repair_promise:d039:s17,repair promise,140,True,True
702,40,ssrm:v58:snapshot:d040:t00702,tool alcove,Sera,sera:care_favor:d040:s00,care favor,140,True,True
707,40,ssrm:v58:snapshot:d040:t00707,arrival court,Milo,milo:missed_greeting:d040:s05,missed greeting,140,True,True
714,40,ssrm:v58:snapshot:d040:t00714,tool alcove,Sera,sera:care_favor:d040:s12,care favor,140,True,True
719,40,ssrm:v58:snapshot:d040:t00719,arrival court,Milo,milo:missed_greeting:d040:s17,missed greeting,140,True,True
720,41,ssrm:v58:snapshot:d041:t00720,rain court,Sera,sera:route_warning:d041:s00,route warning,140,True,True
721,41,ssrm:v58:snapshot:d041:t00721,fiber loft,Tovan,tovan:tool_loan:d041:s01,tool loan,140,True,True
728,41,ssrm:v58:snapshot:d041:t00728,west hearth,Nia,nia:water_carry:d041:s08,water carry,140,True,True
735,41,ssrm:v58:snapshot:d041:t00735,river gate,Ari,ari:repair_promise:d041:s15,repair promise,140,True,True
737,41,ssrm:v58:snapshot:d041:t00737,tool alcove,Milo,milo:care_favor:d041:s17,care favor,140,True,True
738,42,ssrm:v58:snapshot:d042:t00738,fiber loft,Sera,sera:tool_loan:d042:s00,tool loan,140,True,True
742,42,ssrm:v58:snapshot:d042:t00742,tool alcove,Fay,fay:care_favor:d042:s04,care favor,140,True,True
749,42,ssrm:v58:snapshot:d042:t00749,rain court,Milo,milo:route_warning:d042:s11,route warning,140,True,True
755,42,ssrm:v58:snapshot:d042:t00755,rain court,Milo,milo:route_warning:d042:s17,route warning,140,True,True
756,43,ssrm:v58:snapshot:d043:t00756,west hearth,Sera,sera:water_carry:d043:s00,water carry,140,True,True
763,43,ssrm:v58:snapshot:d043:t00763,river gate,Tovan,tovan:repair_promise:d043:s07,repair promise,140,True,True
770,43,ssrm:v58:snapshot:d043:t00770,arrival court,Nia,nia:missed_greeting:d043:s14,missed greeting,140,True,True
773,43,ssrm:v58:snapshot:d043:t00773,fiber loft,Milo,milo:tool_loan:d043:s17,tool loan,140,True,True
774,44,ssrm:v58:snapshot:d044:t00774,river gate,Sera,sera:repair_promise:d044:s00,repair promise,140,True,True
777,44,ssrm:v58:snapshot:d044:t00777,rain court,Ari,ari:route_warning:d044:s03,route warning,140,True,True
784,44,ssrm:v58:snapshot:d044:t00784,fiber loft,Fay,fay:tool_loan:d044:s10,tool loan,140,True,True
791,44,ssrm:v58:snapshot:d044:t00791,west hearth,Milo,milo:water_carry:d044:s17,water carry,140,True,True
792,45,ssrm:v58:snapshot:d045:t00792,arrival court,Sera,sera:missed_greeting:d045:s00,missed greeting,140,True,True
798,45,ssrm:v58:snapshot:d045:t00798,arrival court,Sera,sera:missed_greeting:d045:s06,missed greeting,140,True,True
805,45,ssrm:v58:snapshot:d045:t00805,tool alcove,Tovan,tovan:care_favor:d045:s13,care favor,140,True,True
809,45,ssrm:v58:snapshot:d045:t00809,river gate,Milo,milo:repair_promise:d045:s17,repair promise,140,True,True
810,46,ssrm:v58:snapshot:d046:t00810,tool alcove,Sera,sera:care_favor:d046:s00,care favor,140,True,True
812,46,ssrm:v58:snapshot:d046:t00812,fiber loft,Nia,nia:tool_loan:d046:s02,tool loan,140,True,True
819,46,ssrm:v58:snapshot:d046:t00819,west hearth,Ari,ari:water_carry:d046:s09,water carry,140,True,True
826,46,ssrm:v58:snapshot:d046:t00826,river gate,Fay,fay:repair_promise:d046:s16,repair promise,140,True,True
827,46,ssrm:v58:snapshot:d046:t00827,arrival court,Milo,milo:missed_greeting:d046:s17,missed greeting,140,True,True
828,47,ssrm:v58:snapshot:d047:t00828,rain court,Sera,sera:route_warning:d047:s00,route warning,140,True,True
833,47,ssrm:v58:snapshot:d047:t00833,tool alcove,Milo,milo:care_favor:d047:s05,care favor,140,True,True
840,47,ssrm:v58:snapshot:d047:t00840,rain court,Sera,sera:route_warning:d047:s12,route warning,140,True,True
845,47,ssrm:v58:snapshot:d047:t00845,tool alcove,Milo,milo:care_favor:d047:s17,care favor,140,True,True
846,48,ssrm:v58:snapshot:d048:t00846,fiber loft,Sera,sera:tool_loan:d048:s00,tool loan,140,True,True
847,48,ssrm:v58:snapshot:d048:t00847,west hearth,Tovan,tovan:water_carry:d048:s01,water carry,140,True,True
854,48,ssrm:v58:snapshot:d048:t00854,river gate,Nia,nia:repair_promise:d048:s08,repair promise,140,True,True
861,48,ssrm:v58:snapshot:d048:t00861,arrival court,Ari,ari:missed_greeting:d048:s15,missed greeting,140,True,True
863,48,ssrm:v58:snapshot:d048:t00863,rain court,Milo,milo:route_warning:d048:s17,route warning,140,True,True
864,49,ssrm:v58:snapshot:d049:t00864,west hearth,Sera,sera:water_carry:d049:s00,water carry,140,True,True
868,49,ssrm:v58:snapshot:d049:t00868,rain court,Fay,fay:route_warning:d049:s04,route warning,140,True,True
875,49,ssrm:v58:snapshot:d049:t00875,fiber loft,Milo,milo:tool_loan:d049:s11,tool loan,140,True,True
881,49,ssrm:v58:snapshot:d049:t00881,fiber loft,Milo,milo:tool_loan:d049:s17,tool loan,140,True,True
882,50,ssrm:v58:snapshot:d050:t00882,river gate,Sera,sera:repair_promise:d050:s00,repair promise,140,True,True
889,50,ssrm:v58:snapshot:d050:t00889,arrival court,Tovan,tovan:missed_greeting:d050:s07,missed greeting,140,True,True
896,50,ssrm:v58:snapshot:d050:t00896,tool alcove,Nia,nia:care_favor:d050:s14,care favor,140,True,True
899,50,ssrm:v58:snapshot:d050:t00899,west hearth,Milo,milo:water_carry:d050:s17,water carry,140,True,True
900,51,ssrm:v58:snapshot:d051:t00900,arrival court,Sera,sera:missed_greeting:d051:s00,missed greeting,140,True,True
903,51,ssrm:v58:snapshot:d051:t00903,fiber loft,Ari,ari:tool_loan:d051:s03,tool loan,140,True,True
910,51,ssrm:v58:snapshot:d051:t00910,west hearth,Fay,fay:water_carry:d051:s10,water carry,140,True,True
917,51,ssrm:v58:snapshot:d051:t00917,river gate,Milo,milo:repair_promise:d051:s17,repair promise,140,True,True
918,52,ssrm:v58:snapshot:d052:t00918,tool alcove,Sera,sera:care_favor:d052:s00,care favor,140,True,True
924,52,ssrm:v58:snapshot:d052:t00924,tool alcove,Sera,sera:care_favor:d052:s06,care favor,140,True,True
931,52,ssrm:v58:snapshot:d052:t00931,rain court,Tovan,tovan:route_warning:d052:s13,route warning,140,True,True
935,52,ssrm:v58:snapshot:d052:t00935,arrival court,Milo,milo:missed_greeting:d052:s17,missed greeting,140,True,True
936,53,ssrm:v58:snapshot:d053:t00936,rain court,Sera,sera:route_warning:d053:s00,route warning,140,True,True
938,53,ssrm:v58:snapshot:d053:t00938,west hearth,Nia,nia:water_carry:d053:s02,water carry,140,True,True
945,53,ssrm:v58:snapshot:d053:t00945,river gate,Ari,ari:repair_promise:d053:s09,repair promise,140,True,True
952,53,ssrm:v58:snapshot:d053:t00952,arrival court,Fay,fay:missed_greeting:d053:s16,missed greeting,140,True,True
953,53,ssrm:v58:snapshot:d053:t00953,tool alcove,Milo,milo:care_favor:d053:s17,care favor,140,True,True
954,54,ssrm:v58:snapshot:d054:t00954,fiber loft,Sera,sera:tool_loan:d054:s00,tool loan,140,True,True
959,54,ssrm:v58:snapshot:d054:t00959,rain court,Milo,milo:route_warning:d054:s05,route warning,140,True,True
966,54,ssrm:v58:snapshot:d054:t00966,fiber loft,Sera,sera:tool_loan:d054:s12,tool loan,140,True,True
971,54,ssrm:v58:snapshot:d054:t00971,rain court,Milo,milo:route_warning:d054:s17,route warning,140,True,True
972,55,ssrm:v58:snapshot:d055:t00972,west hearth,Sera,sera:water_carry:d055:s00,water carry,140,True,True
973,55,ssrm:v58:snapshot:d055:t00973,river gate,Tovan,tovan:repair_promise:d055:s01,repair promise,140,True,True
980,55,ssrm:v58:snapshot:d055:t00980,arrival court,Nia,nia:missed_greeting:d055:s08,missed greeting,140,True,True
987,55,ssrm:v58:snapshot:d055:t00987,tool alcove,Ari,ari:care_favor:d055:s15,care favor,140,True,True
989,55,ssrm:v58:snapshot:d055:t00989,fiber loft,Milo,milo:tool_loan:d055:s17,tool loan,140,True,True
