tick_id,day,guild,generation,elder,successor,route_id,inherited_forecast_rule,inherited_repair_ritual,record_quality,succession_visible,private_workspace_sealed
50,4,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5745,False,True
51,4,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5995,False,True
52,4,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6245,False,True
53,4,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6495,False,True
54,4,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.525,False,True
55,4,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.55,False,True
56,5,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.575,False,True
57,5,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6,False,True
58,5,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.625,False,True
59,5,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.65,False,True
60,5,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5255,False,True
61,5,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5505,False,True
62,5,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5755,False,True
63,5,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6005,False,True
64,5,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6255,False,True
65,5,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6505,False,True
66,5,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.526,False,True
67,5,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.551,False,True
68,5,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.576,False,True
69,5,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.601,False,True
70,6,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.626,False,True
71,6,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.651,False,True
72,6,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5265,False,True
73,6,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5515,False,True
74,6,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5765,False,True
75,6,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6015,False,True
76,6,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6265,False,True
77,6,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6515,False,True
78,6,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.527,False,True
79,6,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.552,False,True
80,6,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5785,False,True
81,6,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.602,False,True
82,6,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.627,False,True
83,6,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.652,False,True
84,7,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5525,False,True
85,7,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.579,False,True
86,7,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6025,False,True
87,7,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6275,False,True
88,7,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6525,False,True
89,7,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5275,False,True
90,7,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5545,False,True
91,7,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5795,False,True
92,7,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.603,False,True
93,7,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.628,False,True
94,7,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.653,False,True
95,7,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.528,False,True
96,7,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.555,False,True
97,7,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.58,False,True
98,8,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6035,False,True
99,8,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6285,False,True
100,8,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6535,False,True
101,8,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5285,False,True
102,8,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5555,False,True
103,8,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5805,False,True
104,8,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.604,False,True
105,8,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.629,False,True
106,8,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.654,False,True
107,8,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.529,False,True
108,8,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.556,False,True
109,8,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.581,False,True
110,8,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6045,False,True
111,8,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6295,False,True
112,9,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6545,False,True
113,9,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5295,False,True
114,9,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5565,False,True
115,9,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5815,False,True
116,9,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.605,False,True
117,9,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.63,False,True
118,9,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.655,False,True
119,9,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.53,False,True
120,9,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.557,False,True
121,9,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.582,False,True
122,9,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6055,False,True
123,9,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6305,False,True
124,9,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6555,False,True
125,9,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5305,False,True
126,10,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5575,False,True
127,10,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5825,False,True
128,10,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.606,False,True
129,10,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.631,False,True
130,10,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.656,False,True
131,10,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.531,False,True
132,10,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.558,False,True
133,10,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.583,False,True
134,10,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6065,False,True
135,10,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6315,False,True
136,10,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6565,False,True
137,10,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5315,False,True
138,10,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5585,False,True
139,10,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5835,False,True
140,11,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.607,False,True
141,11,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.632,False,True
142,11,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6585,False,True
143,11,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.532,False,True
144,11,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.559,False,True
145,11,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.584,False,True
146,11,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6075,False,True
147,11,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6325,False,True
148,11,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.659,False,True
149,11,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5325,False,True
150,11,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5595,False,True
151,11,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5845,False,True
152,11,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.608,False,True
153,11,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.633,False,True
154,12,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6595,False,True
155,12,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.533,False,True
156,12,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.56,False,True
157,12,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.585,False,True
158,12,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6085,False,True
159,12,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6335,False,True
160,12,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.66,False,True
161,12,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5335,False,True
162,12,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5605,False,True
163,12,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5855,False,True
164,12,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.609,False,True
165,12,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.634,False,True
166,12,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6605,False,True
167,12,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.534,False,True
168,13,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.561,False,True
169,13,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.586,False,True
170,13,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.611,False,True
171,13,Seed Guild,1,Ivo,Mara,orchard_riverbend,avoid fen mud when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6345,False,True
172,13,Repair Circle,1,Juno,Pax,central_repair_ring,avoid crowded repair yard when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.661,False,True
173,13,Bridgewright Guild,1,Ari,Toma,riverbend_roofward,avoid river flood when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5345,False,True
174,13,Glassgarden Guild,1,Fay,Lio,roofward_archive,avoid glasshouse heat surge when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5615,False,True
175,13,Index Guild,1,Nia,Sera,archive_signal,avoid wind archive scatter when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.5865,False,True
176,13,Signal Guild,1,Milo,Ren,signal_orchard,avoid dusk ice when risk>0.42,"mark hazard, rehearse detour, repair after caravan clears",0.6115,False,True
