tick_id,day,settlement_id,resident_id,avatar_action,queue_before,queue_after,task_delay_ms,relationship_delta,project_progress_delta,consequence_label,resident_response_marker,consequence_visible,bounded_consequence,no_permanent_damage
168,10,riverbend,Ari,approach,0.94,0.922,467,0.006,0.0,claim understood,looks toward avatar,True,True,True
169,10,roofward,Sera,ask_about_tool,0.574,0.582,324,0.006,0.0,claim understood,looks toward avatar,True,True,True
170,10,archive,Nia,touch_claimed_tool,0.479,0.485,283,0.003,0.0,boundary respected,looks toward avatar,True,True,True
171,10,signal,Ren,interrupt_queue,0.902,0.884,591,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
172,10,orchard,Ivo,consent_dialogue,0.574,0.582,324,0.006,0.0,claim understood,looks toward avatar,True,True,True
173,10,repair_ring,Pax,step_back,0.455,0.449,268,0.006,0.0,claim understood,looks toward avatar,True,True,True
174,10,riverbend,Ari,interrupt_queue,0.922,0.904,599,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
175,10,roofward,Sera,consent_dialogue,0.582,0.59,327,0.006,0.0,claim understood,looks toward avatar,True,True,True
176,10,archive,Nia,step_back,0.485,0.479,281,0.006,0.0,claim understood,looks toward avatar,True,True,True
177,10,signal,Ren,approach,0.884,0.892,454,0.006,0.0,claim understood,looks toward avatar,True,True,True
178,10,orchard,Ivo,ask_about_tool,0.582,0.59,327,0.006,0.0,claim understood,looks toward avatar,True,True,True
179,10,repair_ring,Pax,touch_claimed_tool,0.449,0.455,271,0.003,0.0,boundary respected,looks toward avatar,True,True,True
180,11,roofward,Sera,consent_dialogue,0.59,0.598,331,0.006,0.0,claim understood,looks toward avatar,True,True,True
181,11,archive,Nia,step_back,0.479,0.473,278,0.006,0.0,claim understood,looks toward avatar,True,True,True
182,11,signal,Ren,approach,0.892,0.9,457,0.006,0.0,claim understood,looks toward avatar,True,True,True
183,11,orchard,Ivo,ask_about_tool,0.59,0.598,331,0.006,0.0,claim understood,looks toward avatar,True,True,True
184,11,repair_ring,Pax,touch_claimed_tool,0.455,0.5,289,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
185,11,riverbend,Ari,approach,0.904,0.886,452,0.006,0.0,claim understood,looks toward avatar,True,True,True
186,11,roofward,Sera,ask_about_tool,0.598,0.606,334,0.006,0.0,claim understood,looks toward avatar,True,True,True
187,11,archive,Nia,touch_claimed_tool,0.473,0.479,281,0.003,0.0,boundary respected,looks toward avatar,True,True,True
188,11,signal,Ren,interrupt_queue,0.9,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
189,11,orchard,Ivo,consent_dialogue,0.598,0.606,334,0.006,0.0,claim understood,looks toward avatar,True,True,True
190,11,repair_ring,Pax,step_back,0.5,0.494,287,0.006,0.0,claim understood,looks toward avatar,True,True,True
191,11,riverbend,Ari,interrupt_queue,0.886,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
192,11,roofward,Sera,consent_dialogue,0.606,0.614,337,0.006,0.0,claim understood,looks toward avatar,True,True,True
193,11,archive,Nia,step_back,0.479,0.473,278,0.006,0.0,claim understood,looks toward avatar,True,True,True
194,11,signal,Ren,approach,0.94,0.922,467,0.006,0.0,claim understood,looks toward avatar,True,True,True
195,11,orchard,Ivo,ask_about_tool,0.606,0.614,337,0.006,0.0,claim understood,looks toward avatar,True,True,True
196,11,repair_ring,Pax,touch_claimed_tool,0.494,0.539,306,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
197,11,riverbend,Ari,approach,0.94,0.922,467,0.006,0.0,claim understood,looks toward avatar,True,True,True
198,12,archive,Nia,step_back,0.473,0.467,276,0.006,0.0,claim understood,looks toward avatar,True,True,True
199,12,signal,Ren,approach,0.922,0.904,459,0.006,0.0,claim understood,looks toward avatar,True,True,True
200,12,orchard,Ivo,ask_about_tool,0.614,0.622,341,0.006,0.0,claim understood,looks toward avatar,True,True,True
201,12,repair_ring,Pax,touch_claimed_tool,0.539,0.545,308,0.003,0.0,boundary respected,looks toward avatar,True,True,True
202,12,riverbend,Ari,approach,0.922,0.904,459,0.006,0.0,claim understood,looks toward avatar,True,True,True
203,12,roofward,Sera,ask_about_tool,0.614,0.622,341,0.006,0.0,claim understood,looks toward avatar,True,True,True
204,12,archive,Nia,touch_claimed_tool,0.467,0.512,295,-0.026,-0.006,ownership wound,turns away from avatar,True,True,True
205,12,signal,Ren,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
206,12,orchard,Ivo,consent_dialogue,0.622,0.63,344,0.006,0.0,claim understood,looks toward avatar,True,True,True
207,12,repair_ring,Pax,step_back,0.545,0.539,306,0.006,0.0,claim understood,looks toward avatar,True,True,True
208,12,riverbend,Ari,interrupt_queue,0.904,0.886,592,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
209,12,roofward,Sera,consent_dialogue,0.622,0.63,344,0.006,0.0,claim understood,looks toward avatar,True,True,True
210,12,archive,Nia,step_back,0.512,0.506,292,0.006,0.0,claim understood,looks toward avatar,True,True,True
211,12,signal,Ren,approach,0.886,0.894,455,0.006,0.0,claim understood,looks toward avatar,True,True,True
212,12,orchard,Ivo,ask_about_tool,0.63,0.638,347,0.006,0.0,claim understood,looks toward avatar,True,True,True
213,12,repair_ring,Pax,touch_claimed_tool,0.539,0.545,308,0.003,0.0,boundary respected,looks toward avatar,True,True,True
214,12,riverbend,Ari,approach,0.886,0.894,455,0.006,0.0,claim understood,looks toward avatar,True,True,True
215,12,roofward,Sera,ask_about_tool,0.63,0.638,347,0.006,0.0,claim understood,looks toward avatar,True,True,True
216,13,signal,Ren,approach,0.894,0.902,458,0.006,0.0,claim understood,looks toward avatar,True,True,True
217,13,orchard,Ivo,ask_about_tool,0.638,0.646,351,0.0,0.0,claim understood,looks toward avatar,True,True,True
218,13,repair_ring,Pax,touch_claimed_tool,0.545,0.551,311,0.003,0.0,boundary respected,looks toward avatar,True,True,True
219,13,riverbend,Ari,approach,0.894,0.902,458,0.006,0.0,claim understood,looks toward avatar,True,True,True
220,13,roofward,Sera,ask_about_tool,0.638,0.646,351,0.006,0.0,claim understood,looks toward avatar,True,True,True
221,13,archive,Nia,touch_claimed_tool,0.506,0.512,295,0.003,0.0,boundary respected,looks toward avatar,True,True,True
222,13,signal,Ren,interrupt_queue,0.902,0.884,591,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
223,13,orchard,Ivo,consent_dialogue,0.646,0.654,354,0.0,0.0,claim understood,looks toward avatar,True,True,True
224,13,repair_ring,Pax,step_back,0.551,0.545,308,0.006,0.0,claim understood,looks toward avatar,True,True,True
225,13,riverbend,Ari,interrupt_queue,0.902,0.884,591,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
226,13,roofward,Sera,consent_dialogue,0.646,0.654,354,0.006,0.0,claim understood,looks toward avatar,True,True,True
227,13,archive,Nia,step_back,0.512,0.506,292,0.006,0.0,claim understood,looks toward avatar,True,True,True
228,13,signal,Ren,approach,0.884,0.892,454,0.006,0.0,claim understood,looks toward avatar,True,True,True
229,13,orchard,Ivo,ask_about_tool,0.654,0.662,358,0.0,0.0,claim understood,looks toward avatar,True,True,True
230,13,repair_ring,Pax,touch_claimed_tool,0.545,0.551,311,0.003,0.0,boundary respected,looks toward avatar,True,True,True
231,13,riverbend,Ari,approach,0.884,0.892,454,0.006,0.0,claim understood,looks toward avatar,True,True,True
232,13,roofward,Sera,ask_about_tool,0.654,0.662,358,0.006,0.0,claim understood,looks toward avatar,True,True,True
233,13,archive,Nia,touch_claimed_tool,0.506,0.512,295,0.003,0.0,boundary respected,looks toward avatar,True,True,True
234,14,orchard,Ivo,ask_about_tool,0.662,0.67,361,0.0,0.0,claim understood,looks toward avatar,True,True,True
235,14,repair_ring,Pax,touch_claimed_tool,0.551,0.557,313,0.003,0.0,boundary respected,looks toward avatar,True,True,True
236,14,riverbend,Ari,approach,0.892,0.9,457,0.006,0.0,claim understood,looks toward avatar,True,True,True
237,14,roofward,Sera,ask_about_tool,0.662,0.67,361,0.006,0.0,claim understood,looks toward avatar,True,True,True
238,14,archive,Nia,touch_claimed_tool,0.512,0.518,297,0.003,0.0,boundary respected,looks toward avatar,True,True,True
239,14,signal,Ren,interrupt_queue,0.892,0.94,614,-0.008,0.0,queue interrupted,turns away from avatar,True,True,True
240,14,orchard,Ivo,consent_dialogue,0.67,0.678,364,0.0,0.0,claim understood,looks toward avatar,True,True,True
241,14,repair_ring,Pax,step_back,0.557,0.551,311,0.006,0.0,claim understood,looks toward avatar,True,True,True
