tick_id,day,week,settlement_id,simulated_year,dialect_family,phrase,ritual,craft_technology,lineage_memory,culture_marker_visible,not_autonomous_language_claim,frequency_hz,flower_phase
29,2,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,tea before crossing,lamp pier tool lineage v2,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.78862,0.215442
30,2,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,seed-count chant,ash path tool lineage v3,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,10.40862,0.24615
31,2,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,signal hush,lichen wall tool lineage v4,Sol remembers bridge hum-family shelter rule from year 1414,True,True,9.110217,0.237958
32,3,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,warm cup before work,moss lane tool lineage v1,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,5.724718,0.219767
33,3,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,lamp touch,salt steps tool lineage v2,Oren remembers harbor chime-family shelter rule from year 1265,True,True,6.927228,0.236275
34,3,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,cool hand sign,seed shelf tool lineage v3,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,9.547199,0.266983
35,3,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,rope touch,rope bridge tool lineage v4,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.248606,0.258792
36,3,1,orchid_engine,1492,engine ring-family,engine-5-keep Bea,orchid cup,orchid bay tool lineage v5,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.68616,0.2872
37,3,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Fay,door-watch blessing,tool nook tool lineage v6,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.09616,0.245808
38,3,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Puck,tea before crossing,lamp pier tool lineage v7,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.29862,0.262317
39,3,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Wren,seed-count chant,ash path tool lineage v8,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,9.91616,0.293025
40,3,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,signal hush,lichen wall tool lineage v9,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.627531,0.284833
41,3,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,valve pause,engine ring tool lineage v10,Cai remembers engine ring-family shelter rule from year 1489,True,True,11.015115,0.313242
42,3,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,blanket share,rain gate tool lineage v11,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,6.425072,0.27185
43,3,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,net-knot thanks,net room tool lineage v0,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.596805,0.288358
44,3,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Juno,shade cloth bow,ember bed tool lineage v1,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,10.26862,0.319067
45,3,1,lichen_bridge,1417,bridge hum-family,bridge-1-keep Luma,shared bowl,signal post tool lineage v2,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.99616,0.310875
46,3,1,orchid_engine,1492,engine ring-family,engine-5-keep Dax,gear-wash thanks,gear wash tool lineage v3,Dax remembers engine ring-family shelter rule from year 1489,True,True,11.38616,0.339283
47,3,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Tala,warm cup before work,moss lane tool lineage v4,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,6.767678,0.297892
48,4,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Juno,seed-count chant,ash path tool lineage v1,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,9.407199,0.3399
49,4,1,lichen_bridge,1417,bridge hum-family,bridge-1-keep Luma,signal hush,lichen wall tool lineage v2,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.134712,0.331708
50,4,1,orchid_engine,1492,engine ring-family,engine-5-keep Dax,valve pause,engine ring tool lineage v3,Dax remembers engine ring-family shelter rule from year 1489,True,True,10.524718,0.360117
51,4,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Tala,blanket share,rain gate tool lineage v4,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,5.906011,0.318725
52,4,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,net-knot thanks,net room tool lineage v5,Nia remembers harbor chime-family shelter rule from year 1265,True,True,7.135427,0.335233
53,4,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,shade cloth bow,ember bed tool lineage v6,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,9.760347,0.365942
54,4,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,shared bowl,signal post tool lineage v7,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.485427,0.35775
55,4,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,gear-wash thanks,gear wash tool lineage v8,Eli remembers engine ring-family shelter rule from year 1489,True,True,10.877887,0.386158
56,4,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,warm cup before work,moss lane tool lineage v9,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.294558,0.344767
57,4,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,lamp touch,salt steps tool lineage v10,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.494608,0.361275
58,4,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,cool hand sign,seed shelf tool lineage v11,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,10.117039,0.391983
59,4,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,rope touch,rope bridge tool lineage v0,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.815986,0.383792
60,4,1,orchid_engine,1492,engine ring-family,engine-5-keep Bea,orchid cup,orchid bay tool lineage v1,Bea remembers engine ring-family shelter rule from year 1489,True,True,11.256,0.4122
61,4,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Fay,door-watch blessing,tool nook tool lineage v2,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.666,0.370808
62,4,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Puck,tea before crossing,lamp pier tool lineage v3,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.866,0.387317
63,4,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Wren,seed-count chant,ash path tool lineage v4,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,10.454712,0.418025
64,5,1,orchid_engine,1492,engine ring-family,engine-5-keep Bea,gear-wash thanks,gear wash tool lineage v1,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.394225,0.433033
65,5,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Fay,warm cup before work,moss lane tool lineage v2,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,5.804239,0.391642
66,5,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Puck,lamp touch,salt steps tool lineage v3,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.004248,0.40815
67,5,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Wren,cool hand sign,seed shelf tool lineage v4,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,9.592732,0.438858
68,5,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,rope touch,rope bridge tool lineage v5,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.357371,0.430667
69,5,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,orchid cup,orchid bay tool lineage v6,Cai remembers engine ring-family shelter rule from year 1489,True,True,10.742495,0.459075
70,5,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,door-watch blessing,tool nook tool lineage v7,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,6.152452,0.417683
71,5,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,tea before crossing,lamp pier tool lineage v8,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.324185,0.434192
72,5,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Juno,seed-count chant,ash path tool lineage v9,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,9.974579,0.4649
73,5,1,lichen_bridge,1417,bridge hum-family,bridge-1-keep Luma,signal hush,lichen wall tool lineage v10,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.704552,0.456708
74,5,1,orchid_engine,1492,engine ring-family,engine-5-keep Dax,valve pause,engine ring tool lineage v11,Dax remembers engine ring-family shelter rule from year 1489,True,True,11.092098,0.485117
75,5,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Tala,blanket share,rain gate tool lineage v0,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,6.473391,0.443725
76,5,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,net-knot thanks,net room tool lineage v1,Nia remembers harbor chime-family shelter rule from year 1265,True,True,7.702807,0.460233
77,5,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,shade cloth bow,ember bed tool lineage v2,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,10.327727,0.490942
78,5,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,shared bowl,signal post tool lineage v3,Rin remembers bridge hum-family shelter rule from year 1414,True,True,9.055267,0.48275
79,5,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,gear-wash thanks,gear wash tool lineage v4,Eli remembers engine ring-family shelter rule from year 1489,True,True,11.415987,0.511158
80,6,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,tea before crossing,lamp pier tool lineage v1,Nia remembers harbor chime-family shelter rule from year 1265,True,True,6.840481,0.481067
81,6,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,seed-count chant,ash path tool lineage v2,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,9.465503,0.511775
82,6,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,signal hush,lichen wall tool lineage v3,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.192894,0.503583
83,6,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,valve pause,engine ring tool lineage v4,Eli remembers engine ring-family shelter rule from year 1489,True,True,10.553499,0.531992
84,6,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,blanket share,rain gate tool lineage v5,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.021938,0.4906
85,6,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,net-knot thanks,net room tool lineage v6,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.224448,0.507108
86,6,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,shade cloth bow,ember bed tool lineage v7,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,9.844419,0.537817
87,6,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,shared bowl,signal post tool lineage v8,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.545826,0.529625
88,6,1,orchid_engine,1492,engine ring-family,engine-5-keep Bea,gear-wash thanks,gear wash tool lineage v9,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.961605,0.558033
89,6,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Fay,warm cup before work,moss lane tool lineage v10,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.371619,0.516642
90,6,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Puck,lamp touch,salt steps tool lineage v11,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.574088,0.53315
91,6,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Wren,cool hand sign,seed shelf tool lineage v0,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,10.160112,0.563858
92,6,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,rope touch,rope bridge tool lineage v1,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.927211,0.555667
93,6,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,orchid cup,orchid bay tool lineage v2,Cai remembers engine ring-family shelter rule from year 1489,True,True,11.309875,0.584075
94,6,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,door-watch blessing,tool nook tool lineage v3,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,6.719832,0.542683
95,6,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,tea before crossing,lamp pier tool lineage v4,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.861697,0.559192
96,7,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Kio,shared bowl,signal post tool lineage v1,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.064505,0.5765
97,7,1,orchid_engine,1492,engine ring-family,engine-5-keep Cai,gear-wash thanks,gear wash tool lineage v2,Cai remembers engine ring-family shelter rule from year 1489,True,True,10.447267,0.604908
98,7,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Milo,warm cup before work,moss lane tool lineage v3,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,5.857215,0.563517
99,7,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Sera,lamp touch,salt steps tool lineage v4,Sera remembers harbor chime-family shelter rule from year 1265,True,True,6.998886,0.580025
100,7,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Juno,cool hand sign,seed shelf tool lineage v5,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,9.704419,0.610733
101,7,1,lichen_bridge,1417,bridge hum-family,bridge-1-keep Luma,rope touch,rope bridge tool lineage v6,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.431932,0.602542
102,7,1,orchid_engine,1492,engine ring-family,engine-5-keep Dax,orchid cup,orchid bay tool lineage v7,Dax remembers engine ring-family shelter rule from year 1489,True,True,10.819478,0.63095
103,7,1,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Tala,door-watch blessing,tool nook tool lineage v8,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,6.200771,0.589558
104,7,1,glass_harbor,1268,harbor chime-family,harbor-5-keep Nia,tea before crossing,lamp pier tool lineage v9,Nia remembers harbor chime-family shelter rule from year 1265,True,True,7.407861,0.606067
105,7,1,cinder_garden,1339,cinder pulse-family,cinder-6-keep Pax,seed-count chant,ash path tool lineage v10,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,10.035343,0.636775
106,7,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Rin,signal hush,lichen wall tool lineage v11,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.760274,0.628583
107,7,1,orchid_engine,1492,engine ring-family,engine-5-keep Eli,valve pause,engine ring tool lineage v0,Eli remembers engine ring-family shelter rule from year 1489,True,True,11.120879,0.656992
108,7,1,moss_ward,1184,moss-ward breath-family,moss-ward-5-keep Ari,blanket share,rain gate tool lineage v1,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.589318,0.6156
109,7,1,glass_harbor,1268,harbor chime-family,harbor-6-keep Oren,net-knot thanks,net room tool lineage v2,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.791828,0.632108
110,7,1,cinder_garden,1339,cinder pulse-family,cinder-0-keep Vale,shade cloth bow,ember bed tool lineage v3,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,10.414259,0.662817
111,7,1,lichen_bridge,1417,bridge hum-family,bridge-0-keep Sol,shared bowl,signal post tool lineage v4,Sol remembers bridge hum-family shelter rule from year 1414,True,True,9.083069,0.654625
112,8,2,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Ari,door-watch blessing,tool nook tool lineage v2,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,5.739509,0.637433
113,8,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Oren,tea before crossing,lamp pier tool lineage v3,Oren remembers harbor chime-family shelter rule from year 1265,True,True,6.942094,0.653942
114,8,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Vale,seed-count chant,ash path tool lineage v4,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,9.56444,0.68465
115,8,2,lichen_bridge,1417,bridge hum-family,bridge-1-keep Sol,signal hush,lichen wall tool lineage v5,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.233121,0.676458
116,8,2,orchid_engine,1492,engine ring-family,engine-6-keep Bea,valve pause,engine ring tool lineage v6,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.701985,0.704867
117,8,2,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Fay,blanket share,rain gate tool lineage v7,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.111999,0.663475
118,8,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Puck,net-knot thanks,net room tool lineage v8,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.314468,0.679983
119,8,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Wren,shade cloth bow,ember bed tool lineage v9,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,9.900492,0.710692
120,8,2,lichen_bridge,1417,bridge hum-family,bridge-1-keep Kio,shared bowl,signal post tool lineage v10,Kio remembers bridge hum-family shelter rule from year 1414,True,True,8.644885,0.7025
121,8,2,orchid_engine,1492,engine ring-family,engine-6-keep Cai,gear-wash thanks,gear wash tool lineage v11,Cai remembers engine ring-family shelter rule from year 1489,True,True,11.027647,0.730908
122,8,2,moss_ward,1184,moss-ward breath-family,moss-ward-0-keep Milo,warm cup before work,moss lane tool lineage v0,Milo remembers moss-ward breath-family shelter rule from year 1181,True,True,6.437595,0.689517
123,8,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Sera,lamp touch,salt steps tool lineage v1,Sera remembers harbor chime-family shelter rule from year 1265,True,True,7.579266,0.706025
124,8,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Juno,cool hand sign,seed shelf tool lineage v2,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,10.284799,0.736733
125,8,2,lichen_bridge,1417,bridge hum-family,bridge-2-keep Luma,rope touch,rope bridge tool lineage v3,Luma remembers bridge hum-family shelter rule from year 1414,True,True,9.012312,0.728542
126,8,2,orchid_engine,1492,engine ring-family,engine-6-keep Dax,orchid cup,orchid bay tool lineage v4,Dax remembers engine ring-family shelter rule from year 1489,True,True,11.399858,0.75695
127,8,2,moss_ward,1184,moss-ward breath-family,moss-ward-0-keep Tala,door-watch blessing,tool nook tool lineage v5,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,6.751071,0.715558
128,9,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Juno,shade cloth bow,ember bed tool lineage v2,Juno remembers cinder pulse-family shelter rule from year 1336,True,True,9.42198,0.757567
129,9,2,lichen_bridge,1417,bridge hum-family,bridge-2-keep Luma,shared bowl,signal post tool lineage v3,Luma remembers bridge hum-family shelter rule from year 1414,True,True,8.149578,0.749375
130,9,2,orchid_engine,1492,engine ring-family,engine-6-keep Dax,gear-wash thanks,gear wash tool lineage v4,Dax remembers engine ring-family shelter rule from year 1489,True,True,10.537049,0.777783
131,9,2,moss_ward,1184,moss-ward breath-family,moss-ward-0-keep Tala,warm cup before work,moss lane tool lineage v5,Tala remembers moss-ward breath-family shelter rule from year 1181,True,True,5.888215,0.736392
132,9,2,glass_harbor,1268,harbor chime-family,harbor-6-keep Nia,lamp touch,salt steps tool lineage v6,Nia remembers harbor chime-family shelter rule from year 1265,True,True,7.148241,0.7529
133,9,2,cinder_garden,1339,cinder pulse-family,cinder-0-keep Pax,cool hand sign,seed shelf tool lineage v7,Pax remembers cinder pulse-family shelter rule from year 1336,True,True,9.778183,0.783608
134,9,2,lichen_bridge,1417,bridge hum-family,bridge-1-keep Rin,rope touch,rope bridge tool lineage v8,Rin remembers bridge hum-family shelter rule from year 1414,True,True,8.500654,0.775417
135,9,2,orchid_engine,1492,engine ring-family,engine-6-keep Eli,orchid cup,orchid bay tool lineage v9,Eli remembers engine ring-family shelter rule from year 1489,True,True,10.863719,0.803825
136,9,2,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Ari,door-watch blessing,tool nook tool lineage v10,Ari remembers moss-ward breath-family shelter rule from year 1181,True,True,6.309349,0.762433
137,9,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Oren,tea before crossing,lamp pier tool lineage v11,Oren remembers harbor chime-family shelter rule from year 1265,True,True,7.509474,0.778942
138,9,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Vale,seed-count chant,ash path tool lineage v0,Vale remembers cinder pulse-family shelter rule from year 1336,True,True,10.13428,0.80965
139,9,2,lichen_bridge,1417,bridge hum-family,bridge-1-keep Sol,signal hush,lichen wall tool lineage v1,Sol remembers bridge hum-family shelter rule from year 1414,True,True,8.800501,0.801458
140,9,2,orchid_engine,1492,engine ring-family,engine-6-keep Bea,valve pause,engine ring tool lineage v2,Bea remembers engine ring-family shelter rule from year 1489,True,True,11.271825,0.829867
141,9,2,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Fay,blanket share,rain gate tool lineage v3,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,6.681839,0.788475
142,9,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Puck,net-knot thanks,net room tool lineage v4,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.881848,0.804983
143,9,2,cinder_garden,1339,cinder pulse-family,cinder-1-keep Wren,shade cloth bow,ember bed tool lineage v5,Wren remembers cinder pulse-family shelter rule from year 1336,True,True,10.4377,0.835692
144,10,2,orchid_engine,1492,engine ring-family,engine-6-keep Bea,orchid cup,orchid bay tool lineage v2,Bea remembers engine ring-family shelter rule from year 1489,True,True,10.408939,0.8507
145,10,2,moss_ward,1184,moss-ward breath-family,moss-ward-6-keep Fay,door-watch blessing,tool nook tool lineage v3,Fay remembers moss-ward breath-family shelter rule from year 1181,True,True,5.819025,0.809308
146,10,2,glass_harbor,1268,harbor chime-family,harbor-0-keep Puck,tea before crossing,lamp pier tool lineage v4,Puck remembers harbor chime-family shelter rule from year 1265,True,True,7.018985,0.825817
