epoch_index,year_start,year_end,years_compressed,generations_spanned,climate_phase,population_estimate,active_lineages,compression_hash,epoch_pressure,welfare_floor,flower_phase_deg
29,1400,1450,50,2,ritual consolidation,715,6,c97aee61333dc1,0.107898,0.689405,303.225156
30,1450,1500,50,2,storm memory,730,6,f8cc6c0bc090b3,0.240694,0.63703,90.23292
31,1500,1550,50,2,mild growth,746,6,1288f53f210177,0.107402,0.65199,237.240684
32,1550,1600,50,2,wet cold,762,6,c80db19c283e94,0.247092,0.640359,24.248448
33,1600,1650,50,2,market expansion,778,6,da1d6475965bf0,0.108485,0.657234,171.256212
34,1650,1700,50,2,dry repair years,795,6,9ce1dee2efbbcd,0.101822,0.661556,318.263976
35,1700,1750,50,2,ritual consolidation,812,6,b5edc6fa583b6e,0.104675,0.705521,105.27174
36,1750,1800,50,2,storm memory,830,6,5117780e6baccd,0.237912,0.65699,252.279504
37,1800,1850,50,2,mild growth,849,6,add736305a7c3d,0.114155,0.674643,39.287268
38,1850,1900,50,2,wet cold,868,6,33f67346315acb,0.260367,0.665717,186.295032
39,1900,1950,50,2,market expansion,887,6,a6652f13cd2e05,0.136772,0.68412,333.302796
40,1950,2000,50,2,dry repair years,907,6,c37134dab11456,0.131341,0.690981,120.31056
41,2000,2050,50,2,ritual consolidation,927,6,46491f85eb0ff3,0.149987,0.73563,267.318324
42,2050,2100,50,2,storm memory,948,6,442ff5e43c4dd9,0.302618,0.686996,54.326088
43,2100,2150,50,2,mild growth,970,6,2d9dd01ca9969e,0.17453,0.706468,201.333852
44,2150,2200,50,2,wet cold,992,6,2cf5f0fa2cfeb9,0.325202,0.698015,348.341616
45,2200,2250,50,2,market expansion,1014,6,1c97406afbcbfa,0.190898,0.71793,135.34938
46,2250,2300,50,2,dry repair years,1036,6,1fa542ba27d185,0.196568,0.723638,282.357144
47,2300,2350,50,2,ritual consolidation,1059,6,2a8af7b243a1c5,0.213326,0.767949,69.364908
48,2350,2400,50,2,storm memory,1082,6,32b385bd25f879,0.353681,0.71954,216.372672
49,2400,2450,50,2,mild growth,1105,6,824ab26a9b6040,0.239155,0.736189,3.380436
50,2450,2500,50,2,wet cold,1128,6,5c98ab3edf7599,0.386666,0.726139,150.3882
51,2500,2550,50,2,market expansion,1152,6,9d3184af036975,0.254553,0.743498,297.395964
52,2550,2600,50,2,dry repair years,1175,6,e19f9108ab512f,0.249596,0.747539,84.403728
53,2600,2650,50,2,ritual consolidation,1198,6,9d15e10f86347d,0.248101,0.790586,231.411492
54,2650,2700,50,2,storm memory,1221,6,f6b2b9b3dd0688,0.393379,0.738272,18.419256
55,2700,2750,50,2,mild growth,1243,6,b9bff6cf3cd40d,0.265214,0.752592,165.42702
56,2750,2800,50,2,wet cold,1266,6,977f7843ae7ec6,0.393254,0.740563,312.434784
57,2800,2850,50,2,market expansion,1288,6,2086ef2fb07c05,0.251323,0.754792,99.442548
58,2850,2900,50,2,dry repair years,1309,6,43b06d1eeb2ad4,0.245549,0.754667,246.450312
59,2900,2950,50,2,ritual consolidation,1331,6,c9f2a8526d46c6,0.238108,0.793977,33.458076
60,2950,3000,50,2,storm memory,1351,6,55733358ca5744,0.385045,0.737138,180.46584
61,3000,3050,50,2,mild growth,1372,6,2fec4488b25dc9,0.23206,0.749604,327.473604
62,3050,3100,50,2,wet cold,1391,6,aa55b15e27ae33,0.353943,0.733932,114.481368
63,3100,3150,50,2,market expansion,1410,6,e323048707604d,0.215734,0.743661,261.489132
64,3150,3200,50,2,dry repair years,1429,6,9c3ee5e3f626fc,0.192743,0.74131,48.496896
65,3200,3250,50,2,ritual consolidation,1447,6,7ed2598150c434,0.200602,0.775374,195.50466
66,3250,3300,50,2,storm memory,1465,6,4d285858251792,0.325447,0.717302,342.512424
67,3300,3350,50,2,mild growth,1482,6,e1d6703dcdc616,0.159721,0.727919,129.520188
68,3350,3400,50,2,wet cold,1499,6,18530490b64b95,0.287964,0.708845,276.527952
69,3400,3450,50,2,market expansion,1515,6,c510a1086a27ab,0.138865,0.717287,63.535716
70,3450,3500,50,2,dry repair years,1531,6,db686fa0c32aca,0.145354,0.710032,210.54348
71,3500,3550,50,2,ritual consolidation,1546,6,5ceed9c7d7d6c3,0.127468,0.745159,357.551244
72,3550,3600,50,2,storm memory,1562,6,e7f2b7d2a9dd5b,0.267429,0.684527,144.559008
73,3600,3650,50,2,mild growth,1577,6,97cdb9efeb4c7a,0.106097,0.694132,291.566772
74,3650,3700,50,2,wet cold,1591,6,1bd6780a6e46fa,0.255058,0.672896,78.574536
75,3700,3750,50,2,market expansion,1606,6,8b49dc59100856,0.101046,0.682223,225.5823
76,3750,3800,50,2,dry repair years,1621,6,a0e0a7cd2d7983,0.091434,0.677452,12.590064
77,3800,3850,50,2,ritual consolidation,1636,6,40858b747d9870,0.10216,0.711059,159.597828
78,3850,3900,50,2,storm memory,1651,6,a57c83c7e96dfe,0.238198,0.652612,306.605592
79,3900,3950,50,2,mild growth,1666,6,ef7fca5af3d74d,0.109861,0.66114,93.613356
80,3950,4000,50,2,wet cold,1681,6,2d4a32efd4aec7,0.257305,0.642681,240.62112
81,4000,4050,50,2,market expansion,1697,6,4741f58e50fea9,0.104393,0.654893,27.628884
82,4050,4100,50,2,dry repair years,1713,6,dbbfb81933d543,0.125513,0.650376,174.636648
83,4100,4150,50,2,ritual consolidation,1729,6,926b28cfcbf6b2,0.122037,0.689023,321.644412
84,4150,4200,50,2,storm memory,1746,6,3fed9283d7b780,0.275853,0.632665,108.652176
