tick,day,selected_resident,visible_schedule,visible_project,visible_debt,visible_care_need,visible_trust,panel_patch,private_workspace_hidden
14,1,Nia,negotiate debt,fix bridge peg,missed greeting,hungry,0.349552,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3496}",True
15,1,Ari,seek tool,patch cloak,care favor,focused,0.518074,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5181}",True
16,1,Fay,care duty,repair awning,route warning,guarded,0.658546,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.6585}",True
17,1,Milo,private task,fix bridge peg,tool loan,relieved,0.647316,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.6473}",True
18,2,Sera,work,map safe route,repair promise,steady,0.511589,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""work"", ""trust"": 0.5116}",True
19,2,Tovan,negotiate debt,dry seed store,missed greeting,tired,0.310445,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3104}",True
20,2,Nia,negotiate debt,sort herb shelf,care favor,wet,0.323225,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3232}",True
21,2,Ari,seek tool,map safe route,route warning,hungry,0.54061,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5406}",True
22,2,Fay,care duty,dry seed store,tool loan,focused,0.66797,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.668}",True
23,2,Milo,private task,sort herb shelf,water carry,guarded,0.658015,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.658}",True
24,2,Sera,recover focus,map safe route,repair promise,relieved,0.512203,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.5122}",True
25,2,Tovan,rest,dry seed store,missed greeting,steady,0.32964,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3296}",True
26,2,Nia,rest,sort herb shelf,care favor,tired,0.35026,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.3503}",True
27,2,Ari,seek tool,map safe route,route warning,wet,0.507837,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5078}",True
28,2,Fay,seek tool,dry seed store,tool loan,hungry,0.662465,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.6625}",True
29,2,Milo,care duty,sort herb shelf,water carry,focused,0.662997,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.663}",True
30,2,Sera,private task,map safe route,repair promise,guarded,0.478954,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.479}",True
31,2,Tovan,recover focus,dry seed store,missed greeting,relieved,0.335201,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.3352}",True
32,2,Nia,work,sort herb shelf,care favor,steady,0.333836,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3338}",True
33,2,Ari,negotiate debt,map safe route,route warning,tired,0.483653,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.4837}",True
34,2,Fay,negotiate debt,dry seed store,tool loan,wet,0.668998,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.669}",True
35,2,Milo,care duty,sort herb shelf,water carry,hungry,0.627135,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6271}",True
36,3,Sera,private task,repair awning,missed greeting,focused,0.481305,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4813}",True
37,3,Tovan,recover focus,fix bridge peg,care favor,guarded,0.344803,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.3448}",True
38,3,Nia,work,patch cloak,route warning,relieved,0.355241,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3552}",True
39,3,Ari,rest,repair awning,tool loan,steady,0.551635,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.5516}",True
40,3,Fay,seek tool,fix bridge peg,water carry,tired,0.621816,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.6218}",True
41,3,Milo,seek tool,patch cloak,repair promise,wet,0.634259,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""seek tool"", ""trust"": 0.6343}",True
42,3,Sera,private task,repair awning,missed greeting,hungry,0.446909,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4469}",True
43,3,Tovan,private task,fix bridge peg,care favor,focused,0.321515,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.3215}",True
44,3,Nia,recover focus,patch cloak,route warning,guarded,0.341385,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3414}",True
45,3,Ari,work,repair awning,tool loan,relieved,0.520789,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.5208}",True
46,3,Fay,rest,fix bridge peg,water carry,steady,0.665899,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6659}",True
47,3,Milo,negotiate debt,patch cloak,repair promise,tired,0.64419,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.6442}",True
48,3,Sera,care duty,repair awning,missed greeting,wet,0.43972,"{""debt"": ""missed greeting"", ""project"": ""repair awning"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.4397}",True
49,3,Tovan,care duty,fix bridge peg,care favor,hungry,0.349676,"{""debt"": ""care favor"", ""project"": ""fix bridge peg"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3497}",True
50,3,Nia,recover focus,patch cloak,route warning,focused,0.309381,"{""debt"": ""route warning"", ""project"": ""patch cloak"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3094}",True
51,3,Ari,recover focus,repair awning,tool loan,guarded,0.531091,"{""debt"": ""tool loan"", ""project"": ""repair awning"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.5311}",True
52,3,Fay,work,fix bridge peg,water carry,relieved,0.661382,"{""debt"": ""water carry"", ""project"": ""fix bridge peg"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.6614}",True
53,3,Milo,rest,patch cloak,repair promise,steady,0.633257,"{""debt"": ""repair promise"", ""project"": ""patch cloak"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.6333}",True
54,4,Sera,seek tool,dry seed store,care favor,tired,0.473015,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.473}",True
55,4,Tovan,private task,sort herb shelf,route warning,wet,0.288059,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.2881}",True
56,4,Nia,private task,map safe route,tool loan,hungry,0.362763,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""private task"", ""trust"": 0.3628}",True
57,4,Ari,work,dry seed store,water carry,focused,0.513599,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.5136}",True
58,4,Fay,work,sort herb shelf,repair promise,guarded,0.643107,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.6431}",True
59,4,Milo,rest,map safe route,missed greeting,relieved,0.659831,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.6598}",True
60,4,Sera,negotiate debt,dry seed store,care favor,steady,0.456898,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4569}",True
61,4,Tovan,seek tool,sort herb shelf,route warning,tired,0.34952,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3495}",True
62,4,Nia,care duty,map safe route,tool loan,wet,0.338297,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.3383}",True
63,4,Ari,recover focus,dry seed store,water carry,hungry,0.521693,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.5217}",True
64,4,Fay,recover focus,sort herb shelf,repair promise,focused,0.672324,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.6723}",True
65,4,Milo,rest,map safe route,missed greeting,guarded,0.617712,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.6177}",True
66,4,Sera,rest,dry seed store,care favor,relieved,0.462552,"{""debt"": ""care favor"", ""project"": ""dry seed store"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.4626}",True
67,4,Tovan,negotiate debt,sort herb shelf,route warning,steady,0.330102,"{""debt"": ""route warning"", ""project"": ""sort herb shelf"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3301}",True
68,4,Nia,seek tool,map safe route,tool loan,tired,0.346015,"{""debt"": ""tool loan"", ""project"": ""map safe route"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.346}",True
69,4,Ari,care duty,dry seed store,water carry,wet,0.547735,"{""debt"": ""water carry"", ""project"": ""dry seed store"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.5477}",True
70,4,Fay,private task,sort herb shelf,repair promise,hungry,0.669108,"{""debt"": ""repair promise"", ""project"": ""sort herb shelf"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6691}",True
71,4,Milo,work,map safe route,missed greeting,focused,0.601035,"{""debt"": ""missed greeting"", ""project"": ""map safe route"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.601}",True
72,5,Sera,negotiate debt,fix bridge peg,route warning,guarded,0.442328,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4423}",True
73,5,Tovan,negotiate debt,patch cloak,tool loan,relieved,0.337367,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""negotiate debt"", ""trust"": 0.3374}",True
74,5,Nia,seek tool,repair awning,water carry,steady,0.357907,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.3579}",True
75,5,Ari,care duty,fix bridge peg,repair promise,tired,0.547773,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""care duty"", ""trust"": 0.5478}",True
76,5,Fay,private task,patch cloak,missed greeting,wet,0.679153,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""private task"", ""trust"": 0.6792}",True
77,5,Milo,recover focus,repair awning,care favor,hungry,0.643225,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""recover focus"", ""trust"": 0.6432}",True
78,5,Sera,rest,fix bridge peg,route warning,focused,0.431105,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.4311}",True
79,5,Tovan,rest,patch cloak,tool loan,guarded,0.326436,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""rest"", ""trust"": 0.3264}",True
80,5,Nia,seek tool,repair awning,water carry,relieved,0.308355,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""seek tool"", ""trust"": 0.3084}",True
81,5,Ari,seek tool,fix bridge peg,repair promise,steady,0.553476,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.5535}",True
82,5,Fay,care duty,patch cloak,missed greeting,tired,0.672367,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.6724}",True
83,5,Milo,private task,repair awning,care favor,wet,0.619318,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.6193}",True
84,5,Sera,recover focus,fix bridge peg,route warning,hungry,0.465983,"{""debt"": ""route warning"", ""project"": ""fix bridge peg"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.466}",True
85,5,Tovan,work,patch cloak,tool loan,focused,0.333226,"{""debt"": ""tool loan"", ""project"": ""patch cloak"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.3332}",True
86,5,Nia,negotiate debt,repair awning,water carry,guarded,0.334497,"{""debt"": ""water carry"", ""project"": ""repair awning"", ""resident"": ""Nia"", ""schedule"": ""negotiate debt"", ""trust"": 0.3345}",True
87,5,Ari,negotiate debt,fix bridge peg,repair promise,relieved,0.581666,"{""debt"": ""repair promise"", ""project"": ""fix bridge peg"", ""resident"": ""Ari"", ""schedule"": ""negotiate debt"", ""trust"": 0.5817}",True
88,5,Fay,care duty,patch cloak,missed greeting,steady,0.648422,"{""debt"": ""missed greeting"", ""project"": ""patch cloak"", ""resident"": ""Fay"", ""schedule"": ""care duty"", ""trust"": 0.6484}",True
89,5,Milo,care duty,repair awning,care favor,tired,0.628301,"{""debt"": ""care favor"", ""project"": ""repair awning"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.6283}",True
90,6,Sera,recover focus,sort herb shelf,tool loan,wet,0.430234,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""recover focus"", ""trust"": 0.4302}",True
91,6,Tovan,work,map safe route,water carry,hungry,0.328239,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""work"", ""trust"": 0.3282}",True
92,6,Nia,rest,dry seed store,repair promise,focused,0.37014,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""rest"", ""trust"": 0.3701}",True
93,6,Ari,seek tool,sort herb shelf,missed greeting,guarded,0.550001,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""seek tool"", ""trust"": 0.55}",True
94,6,Fay,seek tool,map safe route,care favor,relieved,0.702361,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""seek tool"", ""trust"": 0.7024}",True
95,6,Milo,private task,dry seed store,route warning,steady,0.597899,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""private task"", ""trust"": 0.5979}",True
96,6,Sera,private task,sort herb shelf,tool loan,tired,0.419273,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4193}",True
97,6,Tovan,recover focus,map safe route,water carry,wet,0.332007,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.332}",True
98,6,Nia,work,dry seed store,repair promise,hungry,0.354458,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3545}",True
99,6,Ari,rest,sort herb shelf,missed greeting,focused,0.58303,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""rest"", ""trust"": 0.583}",True
100,6,Fay,negotiate debt,map safe route,care favor,guarded,0.684522,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""negotiate debt"", ""trust"": 0.6845}",True
101,6,Milo,care duty,dry seed store,route warning,relieved,0.598963,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""care duty"", ""trust"": 0.599}",True
102,6,Sera,care duty,sort herb shelf,tool loan,steady,0.451824,"{""debt"": ""tool loan"", ""project"": ""sort herb shelf"", ""resident"": ""Sera"", ""schedule"": ""care duty"", ""trust"": 0.4518}",True
103,6,Tovan,recover focus,map safe route,water carry,tired,0.308429,"{""debt"": ""water carry"", ""project"": ""map safe route"", ""resident"": ""Tovan"", ""schedule"": ""recover focus"", ""trust"": 0.3084}",True
104,6,Nia,recover focus,dry seed store,repair promise,wet,0.354186,"{""debt"": ""repair promise"", ""project"": ""dry seed store"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3542}",True
105,6,Ari,work,sort herb shelf,missed greeting,hungry,0.570655,"{""debt"": ""missed greeting"", ""project"": ""sort herb shelf"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.5707}",True
106,6,Fay,rest,map safe route,care favor,focused,0.667114,"{""debt"": ""care favor"", ""project"": ""map safe route"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6671}",True
107,6,Milo,negotiate debt,dry seed store,route warning,guarded,0.619931,"{""debt"": ""route warning"", ""project"": ""dry seed store"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.6199}",True
108,7,Sera,private task,patch cloak,water carry,relieved,0.400035,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""private task"", ""trust"": 0.4}",True
109,7,Tovan,private task,repair awning,repair promise,steady,0.327357,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""private task"", ""trust"": 0.3274}",True
110,7,Nia,work,fix bridge peg,missed greeting,tired,0.355599,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""work"", ""trust"": 0.3556}",True
111,7,Ari,work,patch cloak,care favor,wet,0.591765,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""work"", ""trust"": 0.5918}",True
112,7,Fay,rest,repair awning,route warning,hungry,0.703706,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.7037}",True
113,7,Milo,negotiate debt,fix bridge peg,tool loan,focused,0.605577,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""negotiate debt"", ""trust"": 0.6056}",True
114,7,Sera,seek tool,patch cloak,water carry,guarded,0.450711,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""seek tool"", ""trust"": 0.4507}",True
115,7,Tovan,care duty,repair awning,repair promise,relieved,0.342827,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""care duty"", ""trust"": 0.3428}",True
116,7,Nia,recover focus,fix bridge peg,missed greeting,steady,0.347228,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""recover focus"", ""trust"": 0.3472}",True
117,7,Ari,recover focus,patch cloak,care favor,tired,0.580696,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""recover focus"", ""trust"": 0.5807}",True
118,7,Fay,rest,repair awning,route warning,wet,0.630771,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""rest"", ""trust"": 0.6308}",True
119,7,Milo,rest,fix bridge peg,tool loan,hungry,0.583452,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5835}",True
120,7,Sera,negotiate debt,patch cloak,water carry,focused,0.44463,"{""debt"": ""water carry"", ""project"": ""patch cloak"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4446}",True
121,7,Tovan,seek tool,repair awning,repair promise,guarded,0.30617,"{""debt"": ""repair promise"", ""project"": ""repair awning"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3062}",True
122,7,Nia,care duty,fix bridge peg,missed greeting,relieved,0.377199,"{""debt"": ""missed greeting"", ""project"": ""fix bridge peg"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.3772}",True
123,7,Ari,private task,patch cloak,care favor,steady,0.608352,"{""debt"": ""care favor"", ""project"": ""patch cloak"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.6084}",True
124,7,Fay,work,repair awning,route warning,tired,0.661675,"{""debt"": ""route warning"", ""project"": ""repair awning"", ""resident"": ""Fay"", ""schedule"": ""work"", ""trust"": 0.6617}",True
125,7,Milo,work,fix bridge peg,tool loan,wet,0.62317,"{""debt"": ""tool loan"", ""project"": ""fix bridge peg"", ""resident"": ""Milo"", ""schedule"": ""work"", ""trust"": 0.6232}",True
126,8,Sera,negotiate debt,map safe route,repair promise,hungry,0.425901,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""negotiate debt"", ""trust"": 0.4259}",True
127,8,Tovan,seek tool,dry seed store,missed greeting,focused,0.338637,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.3386}",True
128,8,Nia,care duty,sort herb shelf,care favor,guarded,0.382565,"{""debt"": ""care favor"", ""project"": ""sort herb shelf"", ""resident"": ""Nia"", ""schedule"": ""care duty"", ""trust"": 0.3826}",True
129,8,Ari,private task,map safe route,route warning,relieved,0.586931,"{""debt"": ""route warning"", ""project"": ""map safe route"", ""resident"": ""Ari"", ""schedule"": ""private task"", ""trust"": 0.5869}",True
130,8,Fay,recover focus,dry seed store,tool loan,steady,0.692718,"{""debt"": ""tool loan"", ""project"": ""dry seed store"", ""resident"": ""Fay"", ""schedule"": ""recover focus"", ""trust"": 0.6927}",True
131,8,Milo,rest,sort herb shelf,water carry,tired,0.559932,"{""debt"": ""water carry"", ""project"": ""sort herb shelf"", ""resident"": ""Milo"", ""schedule"": ""rest"", ""trust"": 0.5599}",True
132,8,Sera,rest,map safe route,repair promise,wet,0.422855,"{""debt"": ""repair promise"", ""project"": ""map safe route"", ""resident"": ""Sera"", ""schedule"": ""rest"", ""trust"": 0.4229}",True
133,8,Tovan,seek tool,dry seed store,missed greeting,hungry,0.285043,"{""debt"": ""missed greeting"", ""project"": ""dry seed store"", ""resident"": ""Tovan"", ""schedule"": ""seek tool"", ""trust"": 0.285}",True
