tick_index,agent,routine,project_progress,skill_practice,resource_change,social_face_change,autonomy_satisfaction,routine_variation,consequence_summary
1,Ari,quiet_route_scan,0.193754,0.234,0.5,0.48,0.792921,0.26,Ari quiet_route_scan: progress=0.19; resource=0.50; face=0.48
85,Ari,store_objects,0.326581,0.381,0.47,0.506,0.834432,0.58,Ari store_objects: progress=0.33; resource=0.47; face=0.51
86,Fay,ritual_hum,0.310882,0.412,0.516,0.574,0.807231,0.42,Fay ritual_hum: progress=0.31; resource=0.52; face=0.57
87,Milo,ritual_hum,0.330892,0.398,0.536,0.51,0.8454,0.42,Milo ritual_hum: progress=0.33; resource=0.54; face=0.51
88,Sol,relationship_check,0.365221,0.436,0.484,0.556,0.736376,0.42,Sol relationship_check: progress=0.37; resource=0.48; face=0.56
89,Ari,guarded_rest,0.326581,0.388,0.47,0.492,0.728101,0.26,Ari guarded_rest: progress=0.33; resource=0.47; face=0.49
90,Fay,soft_recovery,0.310882,0.419,0.498,0.574,0.80799,0.26,Fay soft_recovery: progress=0.31; resource=0.50; face=0.57
91,Milo,sleep,0.330892,0.405,0.536,0.51,0.823176,0.26,Milo sleep: progress=0.33; resource=0.54; face=0.51
92,Sol,dream_sort_memory,0.365221,0.443,0.484,0.556,0.8608,0.26,Sol dream_sort_memory: progress=0.37; resource=0.48; face=0.56
93,Ari,dream_sort_memory,0.326581,0.395,0.47,0.492,0.8524,0.18,Ari dream_sort_memory: progress=0.33; resource=0.47; face=0.49
94,Fay,guarded_rest,0.310882,0.426,0.498,0.574,0.768808,0.18,Fay guarded_rest: progress=0.31; resource=0.50; face=0.57
95,Milo,soft_recovery,0.330892,0.412,0.536,0.52,0.823162,0.34,Milo soft_recovery: progress=0.33; resource=0.54; face=0.52
96,Sol,sleep,0.365221,0.45,0.484,0.556,0.844492,0.18,Sol sleep: progress=0.37; resource=0.48; face=0.56
97,Ari,prepare_tools,0.344349,0.409,0.47,0.492,0.8524,0.5,Ari prepare_tools: progress=0.34; resource=0.47; face=0.49
98,Fay,quiet_route_scan,0.327694,0.44,0.498,0.56,0.707907,0.5,Fay quiet_route_scan: progress=0.33; resource=0.50; face=0.56
99,Milo,share_water,0.330892,0.412,0.518,0.52,0.827324,0.5,Milo share_water: progress=0.33; resource=0.52; face=0.52
100,Sol,wake_check_body,0.365221,0.45,0.484,0.556,0.839818,0.5,Sol wake_check_body: progress=0.37; resource=0.48; face=0.56
101,Ari,wake_check_body,0.344349,0.409,0.47,0.492,0.830572,0.34,Ari wake_check_body: progress=0.34; resource=0.47; face=0.49
102,Fay,prepare_tools,0.34482,0.454,0.498,0.56,0.8286,0.34,Fay prepare_tools: progress=0.34; resource=0.50; face=0.56
103,Milo,quiet_route_scan,0.348411,0.426,0.518,0.52,0.788763,0.34,Milo quiet_route_scan: progress=0.35; resource=0.52; face=0.52
104,Sol,share_water,0.365221,0.45,0.484,0.556,0.844625,0.5,Sol share_water: progress=0.37; resource=0.48; face=0.56
105,Ari,repair_route,0.362186,0.423,0.47,0.492,0.831142,0.34,Ari repair_route: progress=0.36; resource=0.47; face=0.49
106,Fay,work_project,0.362072,0.468,0.498,0.56,0.811107,0.18,Fay work_project: progress=0.36; resource=0.50; face=0.56
107,Milo,market_exchange,0.366086,0.44,0.544,0.52,0.8454,0.18,Milo market_exchange: progress=0.37; resource=0.54; face=0.52
108,Sol,repair_route,0.382599,0.464,0.484,0.542,0.738807,0.18,Sol repair_route: progress=0.38; resource=0.48; face=0.54
109,Ari,repair_route,0.379454,0.437,0.47,0.478,0.729975,0.42,Ari repair_route: progress=0.38; resource=0.47; face=0.48
110,Fay,teach_skill,0.379366,0.492,0.48,0.578,0.8069,0.42,Fay teach_skill: progress=0.38; resource=0.48; face=0.58
111,Milo,market_exchange,0.383773,0.454,0.57,0.52,0.828802,0.42,Milo market_exchange: progress=0.38; resource=0.57; face=0.52
112,Sol,market_exchange,0.400243,0.478,0.51,0.542,0.8608,0.42,Sol market_exchange: progress=0.40; resource=0.51; face=0.54
113,Ari,ritual_hum,0.379454,0.444,0.47,0.496,0.8524,0.26,Ari ritual_hum: progress=0.38; resource=0.47; face=0.50
114,Fay,ritual_hum,0.379366,0.499,0.48,0.596,0.765102,0.26,Fay ritual_hum: progress=0.38; resource=0.48; face=0.60
115,Milo,store_objects,0.383773,0.454,0.582,0.52,0.828121,0.42,Milo store_objects: progress=0.38; resource=0.58; face=0.52
116,Sol,hearth_return,0.400243,0.478,0.51,0.542,0.843983,0.26,Sol hearth_return: progress=0.40; resource=0.51; face=0.54
117,Ari,hearth_return,0.379454,0.444,0.47,0.496,0.834865,0.5,Ari hearth_return: progress=0.38; resource=0.47; face=0.50
118,Fay,ritual_hum,0.379366,0.506,0.48,0.614,0.8286,0.5,Fay ritual_hum: progress=0.38; resource=0.48; face=0.61
119,Milo,relationship_check,0.383773,0.454,0.582,0.524,0.725986,0.5,Milo relationship_check: progress=0.38; resource=0.58; face=0.52
120,Sol,store_objects,0.400243,0.478,0.504,0.542,0.84428,0.5,Sol store_objects: progress=0.40; resource=0.50; face=0.54
121,Ari,soft_recovery,0.379454,0.451,0.452,0.496,0.83143,0.34,Ari soft_recovery: progress=0.38; resource=0.45; face=0.50
122,Fay,sleep,0.379366,0.513,0.48,0.614,0.812722,0.34,Fay sleep: progress=0.38; resource=0.48; face=0.61
123,Milo,dream_sort_memory,0.383773,0.461,0.582,0.524,0.8454,0.34,Milo dream_sort_memory: progress=0.38; resource=0.58; face=0.52
124,Sol,guarded_rest,0.400243,0.485,0.504,0.542,0.802288,0.34,Sol guarded_rest: progress=0.40; resource=0.50; face=0.54
125,Ari,guarded_rest,0.379454,0.458,0.452,0.496,0.789394,0.26,Ari guarded_rest: progress=0.38; resource=0.45; face=0.50
126,Fay,soft_recovery,0.379366,0.52,0.48,0.624,0.810811,0.42,Fay soft_recovery: progress=0.38; resource=0.48; face=0.62
127,Milo,sleep,0.383773,0.468,0.582,0.524,0.823028,0.26,Milo sleep: progress=0.38; resource=0.58; face=0.52
128,Sol,dream_sort_memory,0.400243,0.492,0.504,0.542,0.8608,0.26,Sol dream_sort_memory: progress=0.40; resource=0.50; face=0.54
129,Ari,quiet_route_scan,0.396575,0.472,0.452,0.482,0.731458,0.18,Ari quiet_route_scan: progress=0.40; resource=0.45; face=0.48
130,Fay,share_water,0.379366,0.52,0.462,0.624,0.812276,0.18,Fay share_water: progress=0.38; resource=0.46; face=0.62
131,Milo,wake_check_body,0.383773,0.468,0.582,0.524,0.828612,0.18,Milo wake_check_body: progress=0.38; resource=0.58; face=0.52
132,Sol,prepare_tools,0.418307,0.506,0.504,0.542,0.8608,0.18,Sol prepare_tools: progress=0.42; resource=0.50; face=0.54
133,Ari,prepare_tools,0.414018,0.486,0.452,0.482,0.8524,0.42,Ari prepare_tools: progress=0.41; resource=0.45; face=0.48
134,Fay,quiet_route_scan,0.396701,0.534,0.462,0.624,0.770941,0.42,Fay quiet_route_scan: progress=0.40; resource=0.46; face=0.62
135,Milo,share_water,0.383773,0.468,0.582,0.524,0.828629,0.58,Milo share_water: progress=0.38; resource=0.58; face=0.52
136,Sol,wake_check_body,0.418307,0.506,0.504,0.542,0.840332,0.42,Sol wake_check_body: progress=0.42; resource=0.50; face=0.54
137,Ari,repair_route,0.431578,0.5,0.452,0.482,0.832481,0.26,Ari repair_route: progress=0.43; resource=0.45; face=0.48
138,Fay,market_exchange,0.414178,0.548,0.488,0.624,0.8286,0.26,Fay market_exchange: progress=0.41; resource=0.49; face=0.62
139,Milo,repair_route,0.400924,0.482,0.582,0.51,0.720397,0.26,Milo repair_route: progress=0.40; resource=0.58; face=0.51
140,Sol,teach_skill,0.436381,0.53,0.486,0.56,0.844842,0.26,Sol teach_skill: progress=0.44; resource=0.49; face=0.56
141,Ari,repair_route,0.449186,0.514,0.434,0.482,0.830358,0.5,Ari repair_route: progress=0.45; resource=0.43; face=0.48
142,Fay,work_project,0.431647,0.562,0.488,0.624,0.810202,0.5,Fay work_project: progress=0.43; resource=0.49; face=0.62
143,Milo,market_exchange,0.418341,0.496,0.608,0.51,0.8454,0.5,Milo market_exchange: progress=0.42; resource=0.61; face=0.51
144,Sol,repair_route,0.454171,0.544,0.486,0.56,0.799329,0.5,Sol repair_route: progress=0.45; resource=0.49; face=0.56
145,Ari,relationship_check,0.449186,0.514,0.434,0.5,0.791325,0.34,Ari relationship_check: progress=0.45; resource=0.43; face=0.50
146,Fay,ritual_hum,0.431647,0.569,0.488,0.642,0.812998,0.5,Fay ritual_hum: progress=0.43; resource=0.49; face=0.64
147,Milo,hearth_return,0.418341,0.496,0.608,0.51,0.82827,0.34,Milo hearth_return: progress=0.42; resource=0.61; face=0.51
148,Sol,ritual_hum,0.454171,0.551,0.486,0.578,0.8608,0.34,Sol ritual_hum: progress=0.45; resource=0.49; face=0.58
149,Ari,ritual_hum,0.449186,0.521,0.434,0.518,0.8524,0.18,Ari ritual_hum: progress=0.45; resource=0.43; face=0.52
150,Fay,ritual_hum,0.431647,0.576,0.488,0.646,0.704895,0.18,Fay ritual_hum: progress=0.43; resource=0.49; face=0.65
151,Milo,store_objects,0.418341,0.496,0.602,0.51,0.824116,0.18,Milo store_objects: progress=0.42; resource=0.60; face=0.51
152,Sol,hearth_return,0.454171,0.551,0.486,0.578,0.844091,0.18,Sol hearth_return: progress=0.45; resource=0.49; face=0.58
153,Ari,sleep,0.449186,0.528,0.434,0.518,0.83363,0.42,Ari sleep: progress=0.45; resource=0.43; face=0.52
154,Fay,dream_sort_memory,0.431647,0.583,0.488,0.656,0.8286,0.42,Fay dream_sort_memory: progress=0.43; resource=0.49; face=0.66
155,Milo,guarded_rest,0.418341,0.503,0.602,0.51,0.786307,0.42,Milo guarded_rest: progress=0.42; resource=0.60; face=0.51
156,Sol,soft_recovery,0.454171,0.558,0.486,0.588,0.842093,0.58,Sol soft_recovery: progress=0.45; resource=0.49; face=0.59
157,Ari,soft_recovery,0.449186,0.535,0.434,0.528,0.82966,0.5,Ari soft_recovery: progress=0.45; resource=0.43; face=0.53
158,Fay,sleep,0.431647,0.59,0.488,0.656,0.809239,0.34,Fay sleep: progress=0.43; resource=0.49; face=0.66
159,Milo,dream_sort_memory,0.418341,0.51,0.602,0.51,0.8454,0.34,Milo dream_sort_memory: progress=0.42; resource=0.60; face=0.51
160,Sol,guarded_rest,0.454171,0.565,0.486,0.574,0.741528,0.34,Sol guarded_rest: progress=0.45; resource=0.49; face=0.57
161,Ari,share_water,0.449186,0.535,0.416,0.528,0.829994,0.26,Ari share_water: progress=0.45; resource=0.42; face=0.53
162,Fay,wake_check_body,0.431647,0.59,0.488,0.656,0.807411,0.26,Fay wake_check_body: progress=0.43; resource=0.49; face=0.66
163,Milo,prepare_tools,0.43617,0.524,0.602,0.51,0.8454,0.26,Milo prepare_tools: progress=0.44; resource=0.60; face=0.51
164,Sol,quiet_route_scan,0.47159,0.579,0.486,0.574,0.801262,0.26,Sol quiet_route_scan: progress=0.47; resource=0.49; face=0.57
165,Ari,quiet_route_scan,0.466789,0.549,0.416,0.528,0.793611,0.5,Ari quiet_route_scan: progress=0.47; resource=0.42; face=0.53
166,Fay,share_water,0.431647,0.59,0.488,0.656,0.80965,0.66,Fay share_water: progress=0.43; resource=0.49; face=0.66
167,Milo,wake_check_body,0.43617,0.524,0.602,0.51,0.828938,0.5,Milo wake_check_body: progress=0.44; resource=0.60; face=0.51
168,Sol,quiet_route_scan,0.489273,0.593,0.486,0.574,0.8608,0.5,Sol quiet_route_scan: progress=0.49; resource=0.49; face=0.57
169,Ari,repair_route,0.484551,0.563,0.416,0.528,0.8524,0.34,Ari repair_route: progress=0.48; resource=0.42; face=0.53
170,Fay,repair_route,0.448591,0.604,0.488,0.642,0.707921,0.34,Fay repair_route: progress=0.45; resource=0.49; face=0.64
171,Milo,market_exchange,0.454012,0.538,0.61,0.51,0.825732,0.34,Milo market_exchange: progress=0.45; resource=0.61; face=0.51
172,Sol,work_project,0.50705,0.607,0.486,0.574,0.844278,0.34,Sol work_project: progress=0.51; resource=0.49; face=0.57
173,Ari,repair_route,0.502321,0.577,0.416,0.528,0.834604,0.18,Ari repair_route: progress=0.50; resource=0.42; face=0.53
174,Fay,market_exchange,0.465794,0.618,0.514,0.642,0.8286,0.18,Fay market_exchange: progress=0.47; resource=0.51; face=0.64
175,Milo,market_exchange,0.471575,0.552,0.636,0.51,0.784467,0.18,Milo market_exchange: progress=0.47; resource=0.64; face=0.51
176,Sol,teach_skill,0.524856,0.631,0.486,0.592,0.839024,0.34,Sol teach_skill: progress=0.52; resource=0.49; face=0.59
177,Ari,store_objects,0.502321,0.577,0.428,0.528,0.830544,0.58,Ari store_objects: progress=0.50; resource=0.43; face=0.53
178,Fay,ritual_hum,0.465794,0.625,0.514,0.66,0.809502,0.42,Fay ritual_hum: progress=0.47; resource=0.51; face=0.66
179,Milo,ritual_hum,0.471575,0.559,0.636,0.528,0.8454,0.42,Milo ritual_hum: progress=0.47; resource=0.64; face=0.53
180,Sol,relationship_check,0.524856,0.631,0.486,0.596,0.739574,0.42,Sol relationship_check: progress=0.52; resource=0.49; face=0.60
181,Ari,relationship_check,0.502321,0.577,0.428,0.532,0.73151,0.26,Ari relationship_check: progress=0.50; resource=0.43; face=0.53
182,Fay,ritual_hum,0.465794,0.632,0.496,0.678,0.809735,0.26,Fay ritual_hum: progress=0.47; resource=0.50; face=0.68
183,Milo,hearth_return,0.471575,0.559,0.636,0.528,0.82718,0.26,Milo hearth_return: progress=0.47; resource=0.64; face=0.53
184,Sol,ritual_hum,0.524856,0.638,0.486,0.614,0.8608,0.26,Sol ritual_hum: progress=0.52; resource=0.49; face=0.61
185,Ari,dream_sort_memory,0.502321,0.584,0.428,0.532,0.8524,0.5,Ari dream_sort_memory: progress=0.50; resource=0.43; face=0.53
186,Fay,guarded_rest,0.465794,0.639,0.496,0.678,0.769104,0.5,Fay guarded_rest: progress=0.47; resource=0.50; face=0.68
187,Milo,soft_recovery,0.471575,0.566,0.636,0.538,0.826749,0.66,Milo soft_recovery: progress=0.47; resource=0.64; face=0.54
188,Sol,sleep,0.524856,0.645,0.486,0.614,0.844705,0.5,Sol sleep: progress=0.52; resource=0.49; face=0.61
189,Ari,sleep,0.502321,0.591,0.428,0.532,0.836247,0.42,Ari sleep: progress=0.50; resource=0.43; face=0.53
190,Fay,dream_sort_memory,0.465794,0.646,0.496,0.678,0.8286,0.42,Fay dream_sort_memory: progress=0.47; resource=0.50; face=0.68
191,Milo,guarded_rest,0.471575,0.573,0.636,0.524,0.720047,0.42,Milo guarded_rest: progress=0.47; resource=0.64; face=0.52
192,Sol,soft_recovery,0.524856,0.652,0.468,0.614,0.838322,0.42,Sol soft_recovery: progress=0.52; resource=0.47; face=0.61
193,Ari,wake_check_body,0.502321,0.591,0.428,0.532,0.83447,0.34,Ari wake_check_body: progress=0.50; resource=0.43; face=0.53
194,Fay,prepare_tools,0.483441,0.66,0.496,0.678,0.8286,0.34,Fay prepare_tools: progress=0.48; resource=0.50; face=0.68
195,Milo,quiet_route_scan,0.488745,0.587,0.636,0.524,0.786219,0.34,Milo quiet_route_scan: progress=0.49; resource=0.64; face=0.52
196,Sol,share_water,0.524856,0.652,0.468,0.614,0.841789,0.5,Sol share_water: progress=0.52; resource=0.47; face=0.61
197,Ari,share_water,0.502321,0.591,0.428,0.532,0.835714,0.34,Ari share_water: progress=0.50; resource=0.43; face=0.53
198,Fay,wake_check_body,0.483441,0.66,0.496,0.678,0.810661,0.18,Fay wake_check_body: progress=0.48; resource=0.50; face=0.68
199,Milo,prepare_tools,0.506187,0.601,0.636,0.524,0.8454,0.18,Milo prepare_tools: progress=0.51; resource=0.64; face=0.52
200,Sol,quiet_route_scan,0.54221,0.666,0.468,0.6,0.734889,0.18,Sol quiet_route_scan: progress=0.54; resource=0.47; face=0.60
201,Ari,repair_route,0.519579,0.605,0.428,0.518,0.728364,0.42,Ari repair_route: progress=0.52; resource=0.43; face=0.52
202,Fay,teach_skill,0.501052,0.684,0.478,0.696,0.805905,0.42,Fay teach_skill: progress=0.50; resource=0.48; face=0.70
203,Milo,work_project,0.523699,0.615,0.636,0.524,0.823859,0.42,Milo work_project: progress=0.52; resource=0.64; face=0.52
204,Sol,market_exchange,0.559846,0.68,0.494,0.6,0.8608,0.42,Sol market_exchange: progress=0.56; resource=0.49; face=0.60
