tick_id,day,settlement_id,avatar_position,visible_resident,sight_packet,sound_packet,smell_packet,temperature_packet,wetness_packet,local_history_hash,prehistory_present,private_workspace_boundary,frequency_hz,flower_phase
14,1,cinder_garden,bow to shade cloth,Vale,Vale near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,f1f239b9fceacfc5,True,True,9.3969,0.133778
15,1,lichen_bridge,touch rope post,Sol,Sol near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,5a0c9fb52ce21cda,True,True,8.087,0.128333
16,1,orchid_engine,stand outside engine ring,Bea,Bea near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,7f7375a09bd417b6,True,True,10.4186,0.156889
17,1,moss_ward,stand by rain gate,Fay,Fay near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,7b39ecdcfc3e42ef,True,True,5.7813,0.116444
18,2,cinder_garden,bow to shade cloth,Juno,Juno near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,3d1e50db5c537b0f,True,True,9.48168,0.157
19,2,lichen_bridge,touch rope post,Luma,Luma near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,61a048923d02c590,True,True,8.16882,0.151556
20,2,orchid_engine,stand outside engine ring,Dax,Dax near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,5b389738c087ed91,True,True,10.49696,0.180111
21,2,moss_ward,stand by rain gate,Tala,Tala near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,61a6ef4d6784a491,True,True,5.8451,0.139667
22,2,glass_harbor,pause at lamp pier,Nia,Nia near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,29b4c837ad3008a3,True,True,7.02198,0.158222
23,2,cinder_garden,bow to shade cloth,Pax,Pax near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,3d1e50db5c537b0f,True,True,9.5752,0.184778
24,2,lichen_bridge,touch rope post,Rin,Rin near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,61a048923d02c590,True,True,8.24876,0.179333
25,2,orchid_engine,stand outside engine ring,Eli,Eli near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,5b389738c087ed91,True,True,10.59492,0.207889
26,2,moss_ward,stand by rain gate,Ari,Ari near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,61a6ef4d6784a491,True,True,5.96058,0.167444
27,2,glass_harbor,pause at lamp pier,Oren,Oren near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,29b4c837ad3008a3,True,True,7.11254,0.186
28,2,cinder_garden,bow to shade cloth,Vale,Vale near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,3d1e50db5c537b0f,True,True,9.67168,0.212556
29,2,lichen_bridge,touch rope post,Sol,Sol near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,61a048923d02c590,True,True,8.35882,0.207111
30,2,orchid_engine,stand outside engine ring,Bea,Bea near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,5b389738c087ed91,True,True,10.68696,0.235667
31,2,moss_ward,stand by rain gate,Fay,Fay near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,61a6ef4d6784a491,True,True,6.0351,0.195222
32,2,glass_harbor,pause at lamp pier,Puck,Puck near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,29b4c837ad3008a3,True,True,7.2037,0.213778
33,2,cinder_garden,bow to shade cloth,Wren,Wren near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,3d1e50db5c537b0f,True,True,9.7579,0.240333
34,2,lichen_bridge,touch rope post,Kio,Kio near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,61a048923d02c590,True,True,8.43876,0.234889
35,2,orchid_engine,stand outside engine ring,Cai,Cai near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,5b389738c087ed91,True,True,10.78492,0.263444
36,3,glass_harbor,pause at lamp pier,Nia,Nia near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,df171a3cd02e78ac,True,True,7.2938,0.237
37,3,cinder_garden,bow to shade cloth,Pax,Pax near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,0ad5dd650cb2abd4,True,True,9.84356,0.263556
38,3,lichen_bridge,touch rope post,Rin,Rin near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,f5bc8303eb405971,True,True,8.50256,0.258111
39,3,orchid_engine,stand outside engine ring,Eli,Eli near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,cd3468210924bf1e,True,True,10.8692,0.286667
40,3,moss_ward,stand by rain gate,Ari,Ari near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,38864e195f4d1550,True,True,6.23388,0.246222
41,3,glass_harbor,pause at lamp pier,Oren,Oren near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,df171a3cd02e78ac,True,True,7.3693,0.264778
42,3,cinder_garden,bow to shade cloth,Vale,Vale near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,0ad5dd650cb2abd4,True,True,9.943,0.291333
43,3,lichen_bridge,touch rope post,Sol,Sol near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,f5bc8303eb405971,True,True,8.6331,0.285889
44,3,orchid_engine,stand outside engine ring,Bea,Bea near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,cd3468210924bf1e,True,True,10.9568,0.314444
45,3,moss_ward,stand by rain gate,Fay,Fay near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,38864e195f4d1550,True,True,6.30988,0.274
46,3,glass_harbor,pause at lamp pier,Puck,Puck near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,df171a3cd02e78ac,True,True,7.47552,0.292556
47,3,cinder_garden,bow to shade cloth,Wren,Wren near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,0ad5dd650cb2abd4,True,True,10.02626,0.319111
48,3,lichen_bridge,touch rope post,Kio,Kio near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,f5bc8303eb405971,True,True,8.69256,0.313667
49,3,orchid_engine,stand outside engine ring,Cai,Cai near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,cd3468210924bf1e,True,True,11.0592,0.342222
50,3,moss_ward,stand by rain gate,Milo,Milo near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,38864e195f4d1550,True,True,6.41658,0.301778
51,3,glass_harbor,pause at lamp pier,Sera,Sera near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,df171a3cd02e78ac,True,True,7.56854,0.320333
52,3,cinder_garden,bow to shade cloth,Juno,Juno near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,0ad5dd650cb2abd4,True,True,10.133,0.346889
53,3,lichen_bridge,touch rope post,Luma,Luma near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,f5bc8303eb405971,True,True,8.8231,0.341444
54,4,moss_ward,stand by rain gate,Ari,Ari near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,783acf4770fd4ba5,True,True,6.50224,0.325
55,4,glass_harbor,pause at lamp pier,Oren,Oren near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,e02a4db275b853e9,True,True,7.6231,0.343556
56,4,cinder_garden,bow to shade cloth,Vale,Vale near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,8cd57eaedc18761c,True,True,10.21728,0.370111
57,4,lichen_bridge,touch rope post,Sol,Sol near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,ec6f1203ce2d2b95,True,True,8.9064,0.364667
58,4,orchid_engine,stand outside engine ring,Bea,Bea near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,32ddc75f7ae49d2d,True,True,11.21356,0.393222
59,4,moss_ward,stand by rain gate,Fay,Fay near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,783acf4770fd4ba5,True,True,6.5812,0.352778
60,4,glass_harbor,pause at lamp pier,Puck,Puck near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,e02a4db275b853e9,True,True,7.7498,0.371333
61,4,cinder_garden,bow to shade cloth,Wren,Wren near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,8cd57eaedc18761c,True,True,10.2961,0.397889
62,4,lichen_bridge,touch rope post,Kio,Kio near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,ec6f1203ce2d2b95,True,True,8.96734,0.392444
63,4,orchid_engine,stand outside engine ring,Cai,Cai near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,32ddc75f7ae49d2d,True,True,11.33102,0.421
64,4,moss_ward,stand by rain gate,Milo,Milo near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,783acf4770fd4ba5,True,True,6.68494,0.380556
65,4,glass_harbor,pause at lamp pier,Sera,Sera near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,e02a4db275b853e9,True,True,7.82234,0.399111
66,4,cinder_garden,bow to shade cloth,Juno,Juno near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,8cd57eaedc18761c,True,True,10.40728,0.425667
67,4,lichen_bridge,touch rope post,Luma,Luma near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,ec6f1203ce2d2b95,True,True,9.0964,0.420222
68,4,orchid_engine,stand outside engine ring,Dax,Dax near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,32ddc75f7ae49d2d,True,True,11.4128,0.448778
69,4,moss_ward,stand by rain gate,Tala,Tala near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,783acf4770fd4ba5,True,True,6.76588,0.408333
70,4,glass_harbor,pause at lamp pier,Nia,Nia near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,e02a4db275b853e9,True,True,7.94808,0.426889
71,4,cinder_garden,bow to shade cloth,Pax,Pax near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,8cd57eaedc18761c,True,True,10.4934,0.453444
72,5,orchid_engine,stand outside engine ring,Bea,Bea near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,fbb0241d964bb4c1,True,True,11.46736,0.472
73,5,moss_ward,stand by rain gate,Fay,Fay near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,907c5fb8148035c5,True,True,6.85548,0.431556
74,5,glass_harbor,pause at lamp pier,Puck,Puck near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,1d53a51d106c979e,True,True,8.0231,0.450111
75,5,cinder_garden,bow to shade cloth,Wren,Wren near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,c926263b5d86c0a3,True,True,10.55286,0.476667
76,5,lichen_bridge,touch rope post,Kio,Kio near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,6966fed9346e88f1,True,True,9.23866,0.471222
77,5,orchid_engine,stand outside engine ring,Cai,Cai near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,fbb0241d964bb4c1,True,True,11.6053,0.499778
78,5,moss_ward,stand by rain gate,Milo,Milo near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,907c5fb8148035c5,True,True,6.95478,0.459333
79,5,glass_harbor,pause at lamp pier,Sera,Sera near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,1d53a51d106c979e,True,True,8.09712,0.477889
80,5,cinder_garden,bow to shade cloth,Juno,Juno near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,c926263b5d86c0a3,True,True,10.6791,0.504444
81,5,lichen_bridge,touch rope post,Luma,Luma near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,6966fed9346e88f1,True,True,9.36476,0.499
82,5,orchid_engine,stand outside engine ring,Dax,Dax near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,fbb0241d964bb4c1,True,True,11.6666,0.527556
83,5,moss_ward,stand by rain gate,Tala,Tala near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,907c5fb8148035c5,True,True,7.04016,0.487111
84,5,glass_harbor,pause at lamp pier,Nia,Nia near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,1d53a51d106c979e,True,True,8.22138,0.505667
85,5,cinder_garden,bow to shade cloth,Pax,Pax near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,c926263b5d86c0a3,True,True,10.75016,0.532222
86,5,lichen_bridge,touch rope post,Rin,Rin near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,6966fed9346e88f1,True,True,9.42334,0.526778
87,5,orchid_engine,stand outside engine ring,Eli,Eli near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,fbb0241d964bb4c1,True,True,11.78702,0.555333
88,5,moss_ward,stand by rain gate,Ari,Ari near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,907c5fb8148035c5,True,True,7.15208,0.514889
89,5,glass_harbor,pause at lamp pier,Oren,Oren near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,1d53a51d106c979e,True,True,8.27788,0.533444
90,6,lichen_bridge,touch rope post,Kio,Kio near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,3c9bdb897cd98825,True,True,9.51294,0.55
91,6,orchid_engine,stand outside engine ring,Cai,Cai near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,70427c9a7e65d0ea,True,True,11.8786,0.578556
92,6,moss_ward,stand by rain gate,Milo,Milo near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,d9665b6435e55524,True,True,7.21154,0.538111
93,6,glass_harbor,pause at lamp pier,Sera,Sera near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,34b1c53cc5f7a9a8,True,True,8.36844,0.556667
94,6,cinder_garden,bow to shade cloth,Juno,Juno near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,663054e6f3c173cc,True,True,10.95338,0.583222
95,6,lichen_bridge,touch rope post,Luma,Luma near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,3c9bdb897cd98825,True,True,9.6346,0.577778
96,6,orchid_engine,stand outside engine ring,Dax,Dax near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,70427c9a7e65d0ea,True,True,11.94138,0.606333
97,6,moss_ward,stand by rain gate,Tala,Tala near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,d9665b6435e55524,True,True,7.31198,0.565889
98,6,glass_harbor,pause at lamp pier,Nia,Nia near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,34b1c53cc5f7a9a8,True,True,8.48974,0.584444
99,6,cinder_garden,bow to shade cloth,Pax,Pax near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,663054e6f3c173cc,True,True,11.00396,0.611
100,6,lichen_bridge,touch rope post,Rin,Rin near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,3c9bdb897cd98825,True,True,9.69762,0.605556
101,6,orchid_engine,stand outside engine ring,Eli,Eli near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,70427c9a7e65d0ea,True,True,12.06032,0.634111
102,6,moss_ward,stand by rain gate,Ari,Ari near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,d9665b6435e55524,True,True,7.40884,0.593667
103,6,glass_harbor,pause at lamp pier,Oren,Oren near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,34b1c53cc5f7a9a8,True,True,8.5492,0.612222
104,6,cinder_garden,bow to shade cloth,Vale,Vale near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,663054e6f3c173cc,True,True,11.1351,0.638778
105,6,lichen_bridge,touch rope post,Sol,Sol near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,3c9bdb897cd98825,True,True,9.82076,0.633333
106,6,orchid_engine,stand outside engine ring,Bea,Bea near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,70427c9a7e65d0ea,True,True,12.12214,0.661889
107,6,moss_ward,stand by rain gate,Fay,Fay near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,d9665b6435e55524,True,True,7.5073,0.621444
108,7,cinder_garden,bow to shade cloth,Juno,Juno near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,e4596e7a4ddd0c2d,True,True,11.22668,0.662
109,7,lichen_bridge,touch rope post,Luma,Luma near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,b08d368521d4cb86,True,True,9.89136,0.656556
110,7,orchid_engine,stand outside engine ring,Dax,Dax near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,f9c56491d32ce8ce,True,True,12.2127,0.685111
111,7,moss_ward,stand by rain gate,Tala,Tala near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,73cda779396de6d6,True,True,7.58626,0.644667
112,7,glass_harbor,pause at lamp pier,Nia,Nia near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,9cc4ca73fb86df56,True,True,8.75958,0.663222
113,7,cinder_garden,bow to shade cloth,Pax,Pax near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,e4596e7a4ddd0c2d,True,True,11.27874,0.689778
114,7,lichen_bridge,touch rope post,Rin,Rin near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,b08d368521d4cb86,True,True,9.96944,0.684333
115,7,orchid_engine,stand outside engine ring,Eli,Eli near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,f9c56491d32ce8ce,True,True,12.32868,0.712889
116,7,moss_ward,stand by rain gate,Ari,Ari near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,73cda779396de6d6,True,True,7.66264,0.672444
117,7,glass_harbor,pause at lamp pier,Oren,Oren near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,9cc4ca73fb86df56,True,True,8.82348,0.691
118,7,cinder_garden,bow to shade cloth,Vale,Vale near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,e4596e7a4ddd0c2d,True,True,11.4084,0.717556
119,7,lichen_bridge,touch rope post,Sol,Sol near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,b08d368521d4cb86,True,True,10.07752,0.712111
120,7,orchid_engine,stand outside engine ring,Bea,Bea near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,f9c56491d32ce8ce,True,True,12.39346,0.740667
121,7,moss_ward,stand by rain gate,Fay,Fay near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,73cda779396de6d6,True,True,7.78158,0.700222
122,7,glass_harbor,pause at lamp pier,Puck,Puck near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,9cc4ca73fb86df56,True,True,8.93746,0.718778
123,7,cinder_garden,bow to shade cloth,Wren,Wren near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,e4596e7a4ddd0c2d,True,True,11.45266,0.745333
124,7,lichen_bridge,touch rope post,Kio,Kio near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,b08d368521d4cb86,True,True,10.16476,0.739889
125,7,orchid_engine,stand outside engine ring,Cai,Cai near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,f9c56491d32ce8ce,True,True,12.52696,0.768444
126,8,glass_harbor,pause at lamp pier,Nia,Nia near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,83bab7194bca192a,True,True,9.01634,0.742
127,8,cinder_garden,bow to shade cloth,Pax,Pax near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,b53f3b196ae0535f,True,True,11.55006,0.768556
128,8,lichen_bridge,touch rope post,Rin,Rin near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,476f6d1b9989b876,True,True,10.24372,0.763111
129,8,orchid_engine,stand outside engine ring,Eli,Eli near valve key with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,197c35a118d79546,True,True,12.59852,0.791667
130,8,moss_ward,stand by rain gate,Ari,Ari near blanket loom with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,e9a6ba23fd21db8a,True,True,7.93742,0.751222
131,8,glass_harbor,pause at lamp pier,Oren,Oren near fog catcher with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,83bab7194bca192a,True,True,9.0953,0.769778
132,8,cinder_garden,bow to shade cloth,Vale,Vale near seed tray with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,b53f3b196ae0535f,True,True,11.67676,0.796333
133,8,lichen_bridge,touch rope post,Sol,Sol near rope kit with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,476f6d1b9989b876,True,True,10.33132,0.790889
134,8,orchid_engine,stand outside engine ring,Bea,Bea near gear basin with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,197c35a118d79546,True,True,12.66774,0.819444
135,8,moss_ward,stand by rain gate,Fay,Fay near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,e9a6ba23fd21db8a,True,True,8.05488,0.779
136,8,glass_harbor,pause at lamp pier,Puck,Puck near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,83bab7194bca192a,True,True,9.19422,0.797556
137,8,cinder_garden,bow to shade cloth,Wren,Wren near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,b53f3b196ae0535f,True,True,11.72398,0.824111
138,8,lichen_bridge,touch rope post,Kio,Kio near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,476f6d1b9989b876,True,True,10.43904,0.818667
139,8,orchid_engine,stand outside engine ring,Cai,Cai near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,197c35a118d79546,True,True,12.7968,0.847222
140,8,moss_ward,stand by rain gate,Milo,Milo near root archive with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,e9a6ba23fd21db8a,True,True,8.11134,0.806778
141,8,glass_harbor,pause at lamp pier,Sera,Sera near brass lantern with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,83bab7194bca192a,True,True,9.28872,0.825333
142,8,cinder_garden,bow to shade cloth,Juno,Juno near shade pole with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,b53f3b196ae0535f,True,True,11.87504,0.851889
143,8,lichen_bridge,touch rope post,Luma,Luma near meal ledger with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,476f6d1b9989b876,True,True,10.52516,0.846444
144,9,moss_ward,stand by rain gate,Ari,Ari near rain jar with visible prehistory markers,rain hiss,wet moss,cool loft air,wet/cold cue present,ba35707e4d5ce121,True,True,8.20874,0.83
145,9,glass_harbor,pause at lamp pier,Oren,Oren near net spool with visible prehistory markers,bell gulls,salt steam,cold spray,wet/cold cue present,a2f1e7370e2b1a64,True,True,9.36958,0.848556
146,9,cinder_garden,bow to shade cloth,Vale,Vale near cool bowl with visible prehistory markers,dry wind,warm ash,cool basin,dry/warm cue present,413f06d94142f25a,True,True,11.9466,0.875111
147,9,lichen_bridge,touch rope post,Sol,Sol near signal bell with visible prehistory markers,crosswind,damp rope,stone echo,wet/cold cue present,a6c64162a5786c47,True,True,10.6061,0.869667
148,9,orchid_engine,stand outside engine ring,Bea,Bea near orchid lamp with visible prehistory markers,valve pulse,orchid oil,steam draft,dry/warm cue present,23c330394ca53d9b,True,True,12.93956,0.898222
