tick_id,day,settlement_id,resident_id,dialect_id,phrase_token,remembered_phrase,relationship_before,relationship_after,memory_age_days,saved_relationship_summary,restored_phrase,visible_after_restore,persistent_relationship_key
13,1,roofward,Fay,roofward-dialect-9,roofward:fay:1:13:1,roofward:fay:1:1:0,0.57,0.576,0,Fay remembers roofward:fay:1:1:0 with trust 0.54,roofward:fay:1:1:0,False,ssrm.v41.relationship.roofward.Fay
14,1,archive,Toma,archive-dialect-9,archive:toma:1:14:2,archive:toma:1:8:1,0.557,0.561,0,Toma remembers archive:toma:1:8:1 with trust 0.57,archive:toma:1:8:1,False,ssrm.v41.relationship.archive.Toma
15,1,signal,Milo,signal-dialect-9,signal:milo:1:15:1,signal:milo:1:3:0,0.526,0.536,0,Milo remembers signal:milo:1:3:0 with trust 0.57,signal:milo:1:3:0,False,ssrm.v41.relationship.signal.Milo
16,2,orchard,Ivo,orchard-dialect-9,orchard:ivo:2:0:0,first restored phrase,0.543,0.547,0,Ivo remembers first restored phrase with trust 0.54,orchard:ivo:2:0:0,False,ssrm.v41.relationship.orchard.Ivo
18,2,riverbend,Ari,riverbend-dialect-9,riverbend:ari:2:2:0,first restored phrase,0.58,0.584,0,Ari remembers first restored phrase with trust 0.54,riverbend:ari:2:2:0,False,ssrm.v41.relationship.riverbend.Ari
20,2,archive,Nia,archive-dialect-9,archive:nia:2:4:0,first restored phrase,0.543,0.547,0,Nia remembers first restored phrase with trust 0.54,archive:nia:2:4:0,False,ssrm.v41.relationship.archive.Nia
22,2,orchard,Ivo,orchard-dialect-9,orchard:ivo:2:6:1,orchard:ivo:2:0:0,0.547,0.551,0,Ivo remembers orchard:ivo:2:0:0 with trust 0.54,orchard:ivo:2:0:0,False,ssrm.v41.relationship.orchard.Ivo
24,2,riverbend,Ari,riverbend-dialect-9,riverbend:ari:2:8:1,riverbend:ari:2:2:0,0.587,0.591,0,Ari remembers riverbend:ari:2:2:0 with trust 0.54,riverbend:ari:2:2:0,False,ssrm.v41.relationship.riverbend.Ari
26,2,archive,Nia,archive-dialect-9,archive:nia:2:10:1,archive:nia:2:4:0,0.547,0.551,0,Nia remembers archive:nia:2:4:0 with trust 0.54,archive:nia:2:4:0,False,ssrm.v41.relationship.archive.Nia
28,2,orchard,Ivo,orchard-dialect-9,orchard:ivo:2:12:2,orchard:ivo:2:6:1,0.563,0.567,0,Ivo remembers orchard:ivo:2:6:1 with trust 0.55,orchard:ivo:2:6:1,False,ssrm.v41.relationship.orchard.Ivo
30,2,riverbend,Ari,riverbend-dialect-9,riverbend:ari:2:14:2,riverbend:ari:2:8:1,0.591,0.595,0,Ari remembers riverbend:ari:2:8:1 with trust 0.54,riverbend:ari:2:8:1,False,ssrm.v41.relationship.riverbend.Ari
32,3,archive,Toma,archive-dialect-9,archive:toma:3:0:3,archive:toma:1:14:2,0.573,0.577,2,Toma remembers archive:toma:1:14:2 with trust 0.58,archive:toma:1:14:2,True,ssrm.v41.relationship.archive.Toma
33,3,signal,Milo,signal-dialect-9,signal:milo:3:1:2,signal:milo:1:15:1,0.536,0.542,2,Milo remembers signal:milo:1:15:1 with trust 0.57,signal:milo:1:15:1,True,ssrm.v41.relationship.signal.Milo
34,3,orchard,Mara,orchard-dialect-9,orchard:mara:3:2:2,orchard:mara:1:10:1,0.553,0.557,2,Mara remembers orchard:mara:1:10:1 with trust 0.57,orchard:mara:1:10:1,True,ssrm.v41.relationship.orchard.Mara
35,3,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:3:3:1,repair_ring:juno:1:5:0,0.53,0.54,2,Juno remembers repair_ring:juno:1:5:0 with trust 0.57,repair_ring:juno:1:5:0,True,ssrm.v41.relationship.repair_ring.Juno
36,3,riverbend,Lio,riverbend-dialect-9,riverbend:lio:3:4:3,riverbend:lio:1:12:2,0.621,0.627,2,Lio remembers riverbend:lio:1:12:2 with trust 0.56,riverbend:lio:1:12:2,True,ssrm.v41.relationship.riverbend.Lio
38,3,archive,Toma,archive-dialect-9,archive:toma:3:6:4,archive:toma:3:0:3,0.577,0.587,2,Toma remembers archive:toma:3:0:3 with trust 0.58,archive:toma:3:0:3,True,ssrm.v41.relationship.archive.Toma
40,3,orchard,Mara,orchard-dialect-9,orchard:mara:3:8:3,orchard:mara:3:2:2,0.569,0.575,2,Mara remembers orchard:mara:3:2:2 with trust 0.58,orchard:mara:3:2:2,True,ssrm.v41.relationship.orchard.Mara
42,3,riverbend,Lio,riverbend-dialect-9,riverbend:lio:3:10:4,riverbend:lio:3:4:3,0.627,0.631,2,Lio remembers riverbend:lio:3:4:3 with trust 0.56,riverbend:lio:3:4:3,True,ssrm.v41.relationship.riverbend.Lio
43,3,roofward,Fay,roofward-dialect-9,roofward:fay:3:11:2,roofward:fay:1:13:1,0.576,0.582,2,Fay remembers roofward:fay:1:13:1 with trust 0.54,roofward:fay:1:13:1,True,ssrm.v41.relationship.roofward.Fay
44,3,archive,Toma,archive-dialect-9,archive:toma:3:12:5,archive:toma:3:6:4,0.599,0.603,2,Toma remembers archive:toma:3:6:4 with trust 0.59,archive:toma:3:6:4,True,ssrm.v41.relationship.archive.Toma
45,3,signal,Milo,signal-dialect-9,signal:milo:3:13:3,signal:milo:3:1:2,0.542,0.552,2,Milo remembers signal:milo:3:1:2 with trust 0.57,signal:milo:3:1:2,True,ssrm.v41.relationship.signal.Milo
46,3,orchard,Mara,orchard-dialect-9,orchard:mara:3:14:4,orchard:mara:3:8:3,0.575,0.579,2,Mara remembers orchard:mara:3:8:3 with trust 0.58,orchard:mara:3:8:3,True,ssrm.v41.relationship.orchard.Mara
47,3,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:3:15:2,repair_ring:juno:3:3:1,0.54,0.546,2,Juno remembers repair_ring:juno:3:3:1 with trust 0.57,repair_ring:juno:3:3:1,True,ssrm.v41.relationship.repair_ring.Juno
48,4,riverbend,Ari,riverbend-dialect-9,riverbend:ari:4:0:3,riverbend:ari:2:14:2,0.607,0.611,2,Ari remembers riverbend:ari:2:14:2 with trust 0.55,riverbend:ari:2:14:2,True,ssrm.v41.relationship.riverbend.Ari
50,4,archive,Nia,archive-dialect-9,archive:nia:4:2:2,archive:nia:2:10:1,0.551,0.555,2,Nia remembers archive:nia:2:10:1 with trust 0.54,archive:nia:2:10:1,True,ssrm.v41.relationship.archive.Nia
52,4,orchard,Ivo,orchard-dialect-9,orchard:ivo:4:4:3,orchard:ivo:2:12:2,0.57,0.574,2,Ivo remembers orchard:ivo:2:12:2 with trust 0.56,orchard:ivo:2:12:2,True,ssrm.v41.relationship.orchard.Ivo
54,4,riverbend,Ari,riverbend-dialect-9,riverbend:ari:4:6:4,riverbend:ari:4:0:3,0.623,0.627,2,Ari remembers riverbend:ari:4:0:3 with trust 0.56,riverbend:ari:4:0:3,True,ssrm.v41.relationship.riverbend.Ari
56,4,archive,Nia,archive-dialect-9,archive:nia:4:8:3,archive:nia:4:2:2,0.567,0.571,2,Nia remembers archive:nia:4:2:2 with trust 0.55,archive:nia:4:2:2,True,ssrm.v41.relationship.archive.Nia
58,4,orchard,Ivo,orchard-dialect-9,orchard:ivo:4:10:4,orchard:ivo:4:4:3,0.586,0.59,2,Ivo remembers orchard:ivo:4:4:3 with trust 0.57,orchard:ivo:4:4:3,True,ssrm.v41.relationship.orchard.Ivo
60,4,riverbend,Ari,riverbend-dialect-9,riverbend:ari:4:12:5,riverbend:ari:4:6:4,0.639,0.643,2,Ari remembers riverbend:ari:4:6:4 with trust 0.57,riverbend:ari:4:6:4,True,ssrm.v41.relationship.riverbend.Ari
62,4,archive,Nia,archive-dialect-9,archive:nia:4:14:4,archive:nia:4:8:3,0.571,0.575,2,Nia remembers archive:nia:4:8:3 with trust 0.55,archive:nia:4:8:3,True,ssrm.v41.relationship.archive.Nia
64,5,orchard,Mara,orchard-dialect-9,orchard:mara:5:0:5,orchard:mara:3:14:4,0.591,0.595,4,Mara remembers orchard:mara:3:14:4 with trust 0.59,orchard:mara:3:14:4,True,ssrm.v41.relationship.orchard.Mara
65,5,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:5:1:3,repair_ring:juno:3:15:2,0.546,0.556,4,Juno remembers repair_ring:juno:3:15:2 with trust 0.57,repair_ring:juno:3:15:2,True,ssrm.v41.relationship.repair_ring.Juno
66,5,riverbend,Lio,riverbend-dialect-9,riverbend:lio:5:2:5,riverbend:lio:3:10:4,0.631,0.637,4,Lio remembers riverbend:lio:3:10:4 with trust 0.56,riverbend:lio:3:10:4,True,ssrm.v41.relationship.riverbend.Lio
68,5,archive,Toma,archive-dialect-9,archive:toma:5:4:6,archive:toma:3:12:5,0.615,0.625,4,Toma remembers archive:toma:3:12:5 with trust 0.60,archive:toma:3:12:5,True,ssrm.v41.relationship.archive.Toma
70,5,orchard,Mara,orchard-dialect-9,orchard:mara:5:6:6,orchard:mara:5:0:5,0.595,0.601,4,Mara remembers orchard:mara:5:0:5 with trust 0.59,orchard:mara:5:0:5,True,ssrm.v41.relationship.orchard.Mara
72,5,riverbend,Lio,riverbend-dialect-9,riverbend:lio:5:8:6,riverbend:lio:5:2:5,0.649,0.653,4,Lio remembers riverbend:lio:5:2:5 with trust 0.57,riverbend:lio:5:2:5,True,ssrm.v41.relationship.riverbend.Lio
73,5,roofward,Fay,roofward-dialect-9,roofward:fay:5:9:3,roofward:fay:3:11:2,0.582,0.588,4,Fay remembers roofward:fay:3:11:2 with trust 0.54,roofward:fay:3:11:2,True,ssrm.v41.relationship.roofward.Fay
74,5,archive,Toma,archive-dialect-9,archive:toma:5:10:7,archive:toma:5:4:6,0.625,0.629,4,Toma remembers archive:toma:5:4:6 with trust 0.60,archive:toma:5:4:6,True,ssrm.v41.relationship.archive.Toma
75,5,signal,Milo,signal-dialect-9,signal:milo:5:11:4,signal:milo:3:13:3,0.552,0.562,4,Milo remembers signal:milo:3:13:3 with trust 0.57,signal:milo:3:13:3,True,ssrm.v41.relationship.signal.Milo
76,5,orchard,Mara,orchard-dialect-9,orchard:mara:5:12:7,orchard:mara:5:6:6,0.613,0.617,4,Mara remembers orchard:mara:5:6:6 with trust 0.60,orchard:mara:5:6:6,True,ssrm.v41.relationship.orchard.Mara
77,5,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:5:13:4,repair_ring:juno:5:1:3,0.556,0.562,4,Juno remembers repair_ring:juno:5:1:3 with trust 0.57,repair_ring:juno:5:1:3,True,ssrm.v41.relationship.repair_ring.Juno
78,5,riverbend,Lio,riverbend-dialect-9,riverbend:lio:5:14:7,riverbend:lio:5:8:6,0.653,0.663,4,Lio remembers riverbend:lio:5:8:6 with trust 0.57,riverbend:lio:5:8:6,True,ssrm.v41.relationship.riverbend.Lio
80,6,archive,Nia,archive-dialect-9,archive:nia:6:0:5,archive:nia:4:14:4,0.587,0.591,4,Nia remembers archive:nia:4:14:4 with trust 0.56,archive:nia:4:14:4,True,ssrm.v41.relationship.archive.Nia
82,6,orchard,Ivo,orchard-dialect-9,orchard:ivo:6:2:5,orchard:ivo:4:10:4,0.59,0.594,4,Ivo remembers orchard:ivo:4:10:4 with trust 0.57,orchard:ivo:4:10:4,True,ssrm.v41.relationship.orchard.Ivo
84,6,riverbend,Ari,riverbend-dialect-9,riverbend:ari:6:4:6,riverbend:ari:4:12:5,0.655,0.659,4,Ari remembers riverbend:ari:4:12:5 with trust 0.58,riverbend:ari:4:12:5,True,ssrm.v41.relationship.riverbend.Ari
86,6,archive,Nia,archive-dialect-9,archive:nia:6:6:6,archive:nia:6:0:5,0.591,0.595,4,Nia remembers archive:nia:6:0:5 with trust 0.56,archive:nia:6:0:5,True,ssrm.v41.relationship.archive.Nia
88,6,orchard,Ivo,orchard-dialect-9,orchard:ivo:6:8:6,orchard:ivo:6:2:5,0.606,0.61,4,Ivo remembers orchard:ivo:6:2:5 with trust 0.58,orchard:ivo:6:2:5,True,ssrm.v41.relationship.orchard.Ivo
90,6,riverbend,Ari,riverbend-dialect-9,riverbend:ari:6:10:7,riverbend:ari:6:4:6,0.659,0.663,4,Ari remembers riverbend:ari:6:4:6 with trust 0.58,riverbend:ari:6:4:6,True,ssrm.v41.relationship.riverbend.Ari
92,6,archive,Nia,archive-dialect-9,archive:nia:6:12:7,archive:nia:6:6:6,0.607,0.611,4,Nia remembers archive:nia:6:6:6 with trust 0.57,archive:nia:6:6:6,True,ssrm.v41.relationship.archive.Nia
94,6,orchard,Ivo,orchard-dialect-9,orchard:ivo:6:14:7,orchard:ivo:6:8:6,0.61,0.614,4,Ivo remembers orchard:ivo:6:8:6 with trust 0.58,orchard:ivo:6:8:6,True,ssrm.v41.relationship.orchard.Ivo
96,7,riverbend,Lio,riverbend-dialect-9,riverbend:lio:7:0:8,riverbend:lio:5:14:7,0.675,0.681,6,Lio remembers riverbend:lio:5:14:7 with trust 0.58,riverbend:lio:5:14:7,True,ssrm.v41.relationship.riverbend.Lio
98,7,archive,Toma,archive-dialect-9,archive:toma:7:2:8,archive:toma:5:10:7,0.629,0.639,6,Toma remembers archive:toma:5:10:7 with trust 0.60,archive:toma:5:10:7,True,ssrm.v41.relationship.archive.Toma
100,7,orchard,Mara,orchard-dialect-9,orchard:mara:7:4:8,orchard:mara:5:12:7,0.629,0.635,6,Mara remembers orchard:mara:5:12:7 with trust 0.61,orchard:mara:5:12:7,True,ssrm.v41.relationship.orchard.Mara
102,7,riverbend,Lio,riverbend-dialect-9,riverbend:lio:7:6:9,riverbend:lio:7:0:8,0.681,0.685,6,Lio remembers riverbend:lio:7:0:8 with trust 0.58,riverbend:lio:7:0:8,True,ssrm.v41.relationship.riverbend.Lio
103,7,roofward,Fay,roofward-dialect-9,roofward:fay:7:7:4,roofward:fay:5:9:3,0.588,0.594,6,Fay remembers roofward:fay:5:9:3 with trust 0.54,roofward:fay:5:9:3,True,ssrm.v41.relationship.roofward.Fay
104,7,archive,Toma,archive-dialect-9,archive:toma:7:8:9,archive:toma:7:2:8,0.642,0.646,6,Toma remembers archive:toma:7:2:8 with trust 0.61,archive:toma:7:2:8,True,ssrm.v41.relationship.archive.Toma
105,7,signal,Milo,signal-dialect-9,signal:milo:7:9:5,signal:milo:5:11:4,0.562,0.572,6,Milo remembers signal:milo:5:11:4 with trust 0.57,signal:milo:5:11:4,True,ssrm.v41.relationship.signal.Milo
106,7,orchard,Mara,orchard-dialect-9,orchard:mara:7:10:9,orchard:mara:7:4:8,0.635,0.639,6,Mara remembers orchard:mara:7:4:8 with trust 0.61,orchard:mara:7:4:8,True,ssrm.v41.relationship.orchard.Mara
107,7,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:7:11:5,repair_ring:juno:5:13:4,0.562,0.568,6,Juno remembers repair_ring:juno:5:13:4 with trust 0.57,repair_ring:juno:5:13:4,True,ssrm.v41.relationship.repair_ring.Juno
108,7,riverbend,Lio,riverbend-dialect-9,riverbend:lio:7:12:10,riverbend:lio:7:6:9,0.697,0.707,6,Lio remembers riverbend:lio:7:6:9 with trust 0.59,riverbend:lio:7:6:9,True,ssrm.v41.relationship.riverbend.Lio
110,7,archive,Toma,archive-dialect-9,archive:toma:7:14:10,archive:toma:7:8:9,0.646,0.652,6,Toma remembers archive:toma:7:8:9 with trust 0.61,archive:toma:7:8:9,True,ssrm.v41.relationship.archive.Toma
112,8,orchard,Ivo,orchard-dialect-9,orchard:ivo:8:0:8,orchard:ivo:6:14:7,0.626,0.63,6,Ivo remembers orchard:ivo:6:14:7 with trust 0.59,orchard:ivo:6:14:7,True,ssrm.v41.relationship.orchard.Ivo
114,8,riverbend,Ari,riverbend-dialect-9,riverbend:ari:8:2:8,riverbend:ari:6:10:7,0.675,0.679,6,Ari remembers riverbend:ari:6:10:7 with trust 0.59,riverbend:ari:6:10:7,True,ssrm.v41.relationship.riverbend.Ari
116,8,archive,Nia,archive-dialect-9,archive:nia:8:4:8,archive:nia:6:12:7,0.623,0.627,6,Nia remembers archive:nia:6:12:7 with trust 0.58,archive:nia:6:12:7,True,ssrm.v41.relationship.archive.Nia
118,8,orchard,Ivo,orchard-dialect-9,orchard:ivo:8:6:9,orchard:ivo:8:0:8,0.642,0.646,6,Ivo remembers orchard:ivo:8:0:8 with trust 0.60,orchard:ivo:8:0:8,True,ssrm.v41.relationship.orchard.Ivo
120,8,riverbend,Ari,riverbend-dialect-9,riverbend:ari:8:8:9,riverbend:ari:8:2:8,0.691,0.695,6,Ari remembers riverbend:ari:8:2:8 with trust 0.60,riverbend:ari:8:2:8,True,ssrm.v41.relationship.riverbend.Ari
122,8,archive,Nia,archive-dialect-9,archive:nia:8:10:9,archive:nia:8:4:8,0.627,0.631,6,Nia remembers archive:nia:8:4:8 with trust 0.58,archive:nia:8:4:8,True,ssrm.v41.relationship.archive.Nia
124,8,orchard,Ivo,orchard-dialect-9,orchard:ivo:8:12:10,orchard:ivo:8:6:9,0.649,0.653,6,Ivo remembers orchard:ivo:8:6:9 with trust 0.60,orchard:ivo:8:6:9,True,ssrm.v41.relationship.orchard.Ivo
126,8,riverbend,Ari,riverbend-dialect-9,riverbend:ari:8:14:10,riverbend:ari:8:8:9,0.695,0.699,6,Ari remembers riverbend:ari:8:8:9 with trust 0.60,riverbend:ari:8:8:9,True,ssrm.v41.relationship.riverbend.Ari
128,9,archive,Toma,archive-dialect-9,archive:toma:9:0:11,archive:toma:7:14:10,0.664,0.674,8,Toma remembers archive:toma:7:14:10 with trust 0.62,archive:toma:7:14:10,True,ssrm.v41.relationship.archive.Toma
130,9,orchard,Mara,orchard-dialect-9,orchard:mara:9:2:10,orchard:mara:7:10:9,0.639,0.645,8,Mara remembers orchard:mara:7:10:9 with trust 0.61,orchard:mara:7:10:9,True,ssrm.v41.relationship.orchard.Mara
132,9,riverbend,Lio,riverbend-dialect-9,riverbend:lio:9:4:11,riverbend:lio:7:12:10,0.719,0.723,8,Lio remembers riverbend:lio:7:12:10 with trust 0.60,riverbend:lio:7:12:10,True,ssrm.v41.relationship.riverbend.Lio
133,9,roofward,Fay,roofward-dialect-9,roofward:fay:9:5:5,roofward:fay:7:7:4,0.594,0.6,8,Fay remembers roofward:fay:7:7:4 with trust 0.54,roofward:fay:7:7:4,True,ssrm.v41.relationship.roofward.Fay
134,9,archive,Toma,archive-dialect-9,archive:toma:9:6:12,archive:toma:9:0:11,0.674,0.678,8,Toma remembers archive:toma:9:0:11 with trust 0.62,archive:toma:9:0:11,True,ssrm.v41.relationship.archive.Toma
135,9,signal,Milo,signal-dialect-9,signal:milo:9:7:6,signal:milo:7:9:5,0.572,0.582,8,Milo remembers signal:milo:7:9:5 with trust 0.57,signal:milo:7:9:5,True,ssrm.v41.relationship.signal.Milo
136,9,orchard,Mara,orchard-dialect-9,orchard:mara:9:8:11,orchard:mara:9:2:10,0.657,0.661,8,Mara remembers orchard:mara:9:2:10 with trust 0.62,orchard:mara:9:2:10,True,ssrm.v41.relationship.orchard.Mara
137,9,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:9:9:6,repair_ring:juno:7:11:5,0.568,0.574,8,Juno remembers repair_ring:juno:7:11:5 with trust 0.57,repair_ring:juno:7:11:5,True,ssrm.v41.relationship.repair_ring.Juno
138,9,riverbend,Lio,riverbend-dialect-9,riverbend:lio:9:10:12,riverbend:lio:9:4:11,0.723,0.733,8,Lio remembers riverbend:lio:9:4:11 with trust 0.60,riverbend:lio:9:4:11,True,ssrm.v41.relationship.riverbend.Lio
140,9,archive,Toma,archive-dialect-9,archive:toma:9:12:13,archive:toma:9:6:12,0.69,0.696,8,Toma remembers archive:toma:9:6:12 with trust 0.63,archive:toma:9:6:12,True,ssrm.v41.relationship.archive.Toma
142,9,orchard,Mara,orchard-dialect-9,orchard:mara:9:14:12,orchard:mara:9:8:11,0.661,0.671,8,Mara remembers orchard:mara:9:8:11 with trust 0.62,orchard:mara:9:8:11,True,ssrm.v41.relationship.orchard.Mara
144,10,roofward,Fay,roofward-dialect-9,roofward:fay:10:0:6,roofward:fay:9:5:5,0.603,0.613,9,Fay remembers roofward:fay:9:5:5 with trust 0.54,roofward:fay:9:5:5,True,ssrm.v41.relationship.roofward.Fay
146,10,signal,Milo,signal-dialect-9,signal:milo:10:2:7,signal:milo:9:7:6,0.582,0.588,9,Milo remembers signal:milo:9:7:6 with trust 0.57,signal:milo:9:7:6,True,ssrm.v41.relationship.signal.Milo
148,10,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:10:4:7,repair_ring:juno:9:9:6,0.577,0.587,9,Juno remembers repair_ring:juno:9:9:6 with trust 0.57,repair_ring:juno:9:9:6,True,ssrm.v41.relationship.repair_ring.Juno
149,10,riverbend,Lio,riverbend-dialect-9,riverbend:lio:10:5:13,riverbend:lio:9:10:12,0.733,0.739,9,Lio remembers riverbend:lio:9:10:12 with trust 0.60,riverbend:lio:9:10:12,True,ssrm.v41.relationship.riverbend.Lio
150,10,roofward,Fay,roofward-dialect-9,roofward:fay:10:6:7,roofward:fay:10:0:6,0.613,0.617,9,Fay remembers roofward:fay:10:0:6 with trust 0.54,roofward:fay:10:0:6,True,ssrm.v41.relationship.roofward.Fay
151,10,archive,Toma,archive-dialect-9,archive:toma:10:7:14,archive:toma:9:12:13,0.696,0.706,9,Toma remembers archive:toma:9:12:13 with trust 0.63,archive:toma:9:12:13,True,ssrm.v41.relationship.archive.Toma
152,10,signal,Milo,signal-dialect-9,signal:milo:10:8:8,signal:milo:10:2:7,0.591,0.595,9,Milo remembers signal:milo:10:2:7 with trust 0.57,signal:milo:10:2:7,True,ssrm.v41.relationship.signal.Milo
153,10,orchard,Mara,orchard-dialect-9,orchard:mara:10:9:13,orchard:mara:9:14:12,0.671,0.677,9,Mara remembers orchard:mara:9:14:12 with trust 0.62,orchard:mara:9:14:12,True,ssrm.v41.relationship.orchard.Mara
154,10,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:10:10:8,repair_ring:juno:10:4:7,0.587,0.591,9,Juno remembers repair_ring:juno:10:4:7 with trust 0.57,repair_ring:juno:10:4:7,True,ssrm.v41.relationship.repair_ring.Juno
156,10,roofward,Fay,roofward-dialect-9,roofward:fay:10:12:8,roofward:fay:10:6:7,0.62,0.626,9,Fay remembers roofward:fay:10:6:7 with trust 0.55,roofward:fay:10:6:7,True,ssrm.v41.relationship.roofward.Fay
158,10,signal,Milo,signal-dialect-9,signal:milo:10:14:9,signal:milo:10:8:8,0.595,0.605,9,Milo remembers signal:milo:10:8:8 with trust 0.57,signal:milo:10:8:8,True,ssrm.v41.relationship.signal.Milo
160,11,repair_ring,Pax,repair_ring-dialect-9,repair_ring:pax:11:0:0,first restored phrase,0.547,0.551,0,Pax remembers first restored phrase with trust 0.56,repair_ring:pax:11:0:0,False,ssrm.v41.relationship.repair_ring.Pax
162,11,roofward,Sera,roofward-dialect-9,roofward:sera:11:2:0,first restored phrase,0.599,0.603,0,Sera remembers first restored phrase with trust 0.60,roofward:sera:11:2:0,False,ssrm.v41.relationship.roofward.Sera
164,11,signal,Ren,signal-dialect-9,signal:ren:11:4:0,first restored phrase,0.559,0.563,0,Ren remembers first restored phrase with trust 0.57,signal:ren:11:4:0,False,ssrm.v41.relationship.signal.Ren
166,11,repair_ring,Pax,repair_ring-dialect-9,repair_ring:pax:11:6:1,repair_ring:pax:11:0:0,0.551,0.555,0,Pax remembers repair_ring:pax:11:0:0 with trust 0.56,repair_ring:pax:11:0:0,False,ssrm.v41.relationship.repair_ring.Pax
168,11,roofward,Sera,roofward-dialect-9,roofward:sera:11:8:1,roofward:sera:11:2:0,0.615,0.619,0,Sera remembers roofward:sera:11:2:0 with trust 0.61,roofward:sera:11:2:0,False,ssrm.v41.relationship.roofward.Sera
170,11,signal,Ren,signal-dialect-9,signal:ren:11:10:1,signal:ren:11:4:0,0.563,0.567,0,Ren remembers signal:ren:11:4:0 with trust 0.57,signal:ren:11:4:0,False,ssrm.v41.relationship.signal.Ren
172,11,repair_ring,Pax,repair_ring-dialect-9,repair_ring:pax:11:12:2,repair_ring:pax:11:6:1,0.567,0.571,0,Pax remembers repair_ring:pax:11:6:1 with trust 0.57,repair_ring:pax:11:6:1,False,ssrm.v41.relationship.repair_ring.Pax
174,11,roofward,Sera,roofward-dialect-9,roofward:sera:11:14:2,roofward:sera:11:8:1,0.631,0.635,0,Sera remembers roofward:sera:11:8:1 with trust 0.62,roofward:sera:11:8:1,False,ssrm.v41.relationship.roofward.Sera
176,12,signal,Milo,signal-dialect-9,signal:milo:12:0:10,signal:milo:10:14:9,0.617,0.623,11,Milo remembers signal:milo:10:14:9 with trust 0.58,signal:milo:10:14:9,True,ssrm.v41.relationship.signal.Milo
178,12,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:12:2:9,repair_ring:juno:10:10:8,0.591,0.601,11,Juno remembers repair_ring:juno:10:10:8 with trust 0.57,repair_ring:juno:10:10:8,True,ssrm.v41.relationship.repair_ring.Juno
179,12,riverbend,Lio,riverbend-dialect-9,riverbend:lio:12:3:14,riverbend:lio:10:5:13,0.739,0.745,11,Lio remembers riverbend:lio:10:5:13 with trust 0.60,riverbend:lio:10:5:13,True,ssrm.v41.relationship.riverbend.Lio
180,12,roofward,Fay,roofward-dialect-9,roofward:fay:12:4:9,roofward:fay:10:12:8,0.638,0.642,11,Fay remembers roofward:fay:10:12:8 with trust 0.56,roofward:fay:10:12:8,True,ssrm.v41.relationship.roofward.Fay
