episode_id,agent,prior_primary_routine,selected_routine,adaptation_signal,cooperation_weight,boundary_weight,recovery_weight,novelty_weight,learned_policy_delta,adaptation_reason
55,Milo,market_scan,sleep_recovery,0.13664,0.61752,0.392,0.48,0.278,0.46752,sleep debt overrides avatar request
56,Sol,ledger_sort,ledger_sort,0.60448,0.496592,0.3668,0.5114,0.237,0.337792,routine adapted from repeated interaction
57,Ari,repair_route,repair_route,0.72704,0.495056,0.4288,0.5552,0.2916,0.470656,routine adapted from repeated interaction
58,Fay,hearth_care,sleep_recovery,0.1392,0.527818,0.4424,0.5896,0.2644,0.524218,sleep debt overrides avatar request
59,Milo,market_scan,sleep_recovery,0.61344,0.640208,0.372,0.52,0.298,0.530208,sleep debt overrides avatar request
60,Sol,ledger_sort,ledger_sort,0.72624,0.526003,0.3538,0.5192,0.237,0.362003,routine adapted from repeated interaction
61,Ari,repair_route,sleep_recovery,0.1288,0.435664,0.496,0.5968,0.2788,0.535936,sleep debt overrides avatar request
62,Fay,hearth_care,sleep_recovery,0.616,0.548698,0.4244,0.6256,0.2824,0.581098,sleep debt overrides avatar request
63,Milo,market_scan,sleep_recovery,0.6152,0.663248,0.352,0.584,0.282,0.581248,sleep debt overrides avatar request
64,Sol,ledger_sort,ledger_sort,0.728,0.555643,0.3408,0.5114,0.237,0.370843,routine adapted from repeated interaction
65,Ari,repair_route,repair_route,0.6056,0.45256,0.48,0.6288,0.2948,0.55616,routine adapted from repeated interaction
66,Fay,hearth_care,hearth_care,0.73776,0.591494,0.4064,0.6364,0.2824,0.616694,routine adapted from repeated interaction
67,Milo,market_scan,teach_word,0.73696,0.71064,0.332,0.572,0.282,0.59664,stable trust allows language teaching
68,Sol,ledger_sort,teach_word,0.72976,0.585512,0.3278,0.5036,0.237,0.379912,stable trust allows language teaching
69,Ari,repair_route,repair_route,0.72736,0.488938,0.464,0.6384,0.2948,0.586138,routine adapted from repeated interaction
70,Fay,hearth_care,teach_word,0.73952,0.634608,0.3884,0.6256,0.2824,0.631008,stable trust allows language teaching
71,Milo,market_scan,teach_word,0.73872,0.758384,0.312,0.56,0.282,0.628384,stable trust allows language teaching
72,Sol,ledger_sort,ledger_sort,0.43152,0.57661,0.3278,0.5374,0.2266,0.41521,routine adapted from repeated interaction
73,Ari,repair_route,repair_route,0.72912,0.525597,0.448,0.6288,0.2948,0.597197,routine adapted from repeated interaction
74,Fay,hearth_care,teach_word,0.62128,0.656438,0.3704,0.6616,0.268,0.656438,stable trust allows language teaching
75,Milo,market_scan,sleep_recovery,0.44048,0.74648,0.312,0.612,0.266,0.65248,sleep debt overrides avatar request
76,Sol,ledger_sort,sleep_recovery,0.13152,0.528707,0.3824,0.5712,0.2162,0.466107,sleep debt overrides avatar request
77,Ari,repair_route,teach_word,0.73088,0.562538,0.432,0.6192,0.2948,0.608538,stable trust allows language teaching
78,Fay,hearth_care,hearth_care,0.44304,0.646186,0.3704,0.7084,0.2536,0.678586,routine adapted from repeated interaction
79,Milo,market_scan,sleep_recovery,0.14048,0.674576,0.396,0.664,0.25,0.684576,sleep debt overrides avatar request
80,Sol,ledger_sort,ledger_sort,0.60832,0.542789,0.3694,0.5972,0.2292,0.480189,routine adapted from repeated interaction
81,Ari,repair_route,repair_route,0.55264,0.57096,0.432,0.6192,0.2948,0.61696,routine adapted from repeated interaction
82,Fay,hearth_care,sleep_recovery,0.14304,0.581933,0.446,0.7552,0.2392,0.743933,sleep debt overrides avatar request
83,Milo,market_scan,teach_word,0.61728,0.698032,0.376,0.704,0.27,0.748032,stable trust allows language teaching
84,Sol,ledger_sort,sleep_recovery,0.13008,0.494699,0.424,0.631,0.2188,0.530899,sleep debt overrides avatar request
85,Ari,repair_route,sleep_recovery,0.13264,0.512182,0.4992,0.6608,0.282,0.654182,sleep debt overrides avatar request
86,Fay,hearth_care,sleep_recovery,0.61984,0.603504,0.428,0.7912,0.2572,0.779904,sleep debt overrides avatar request
87,Milo,market_scan,market_scan,0.73904,0.74584,0.356,0.716,0.27,0.78784,routine adapted from repeated interaction
88,Sol,ledger_sort,ledger_sort,0.60688,0.508594,0.411,0.657,0.2084,0.568194,routine adapted from repeated interaction
89,Ari,repair_route,sleep_recovery,0.60944,0.529693,0.4832,0.6928,0.298,0.703693,sleep debt overrides avatar request
90,Fay,hearth_care,sleep_recovery,0.6216,0.625392,0.41,0.8488,0.2428,0.841392,sleep debt overrides avatar request
91,Milo,market_scan,teach_word,0.7408,0.794,0.336,0.704,0.27,0.804,stable trust allows language teaching
92,Sol,ledger_sort,sleep_recovery,0.60864,0.522717,0.398,0.683,0.198,0.605717,sleep debt overrides avatar request
93,Ari,repair_route,repair_route,0.7312,0.566685,0.4672,0.7024,0.298,0.734285,routine adapted from repeated interaction
94,Fay,hearth_care,teach_word,0.74336,0.669197,0.392,0.838,0.2428,0.856397,stable trust allows language teaching
95,Milo,market_scan,teach_word,0.74256,0.842512,0.316,0.692,0.27,0.828512,stable trust allows language teaching
96,Sol,ledger_sort,ledger_sort,0.4304,0.513669,0.398,0.7168,0.1876,0.640869,routine adapted from repeated interaction
97,Ari,repair_route,teach_word,0.73296,0.603958,0.4512,0.6928,0.298,0.745958,stable trust allows language teaching
98,Fay,hearth_care,teach_word,0.74512,0.713318,0.374,0.8272,0.2428,0.871718,stable trust allows language teaching
99,Milo,market_scan,market_scan,0.44432,0.831376,0.316,0.744,0.254,0.853376,routine adapted from repeated interaction
100,Sol,ledger_sort,sleep_recovery,0.1304,0.465621,0.4526,0.7506,0.1772,0.691621,sleep debt overrides avatar request
101,Ari,repair_route,teach_word,0.61472,0.622314,0.4352,0.7248,0.2852,0.767514,stable trust allows language teaching
102,Fay,hearth_care,sleep_recovery,0.44688,0.703757,0.374,0.874,0.2284,0.923357,sleep debt overrides avatar request
103,Milo,market_scan,sleep_recovery,0.14432,0.76024,0.4,0.796,0.238,0.91824,sleep debt overrides avatar request
104,Sol,ledger_sort,sleep_recovery,0.6072,0.479557,0.4396,0.7766,0.1902,0.705557,sleep debt overrides avatar request
105,Ari,repair_route,repair_route,0.43648,0.61215,0.4352,0.7664,0.2724,0.78615,routine adapted from repeated interaction
106,Fay,hearth_care,sleep_recovery,0.14688,0.640195,0.4496,0.9208,0.214,0.996595,sleep debt overrides avatar request
107,Milo,market_scan,teach_word,0.62112,0.784464,0.38,0.836,0.258,0.958464,stable trust allows language teaching
108,Sol,ledger_sort,sleep_recovery,0.12896,0.431322,0.4942,0.8104,0.1798,0.793478,sleep debt overrides avatar request
109,Ari,repair_route,sleep_recovery,0.13648,0.553987,0.5024,0.808,0.2596,0.823987,sleep debt overrides avatar request
110,Fay,hearth_care,teach_word,0.62368,0.662458,0.4316,0.9568,0.232,1.0,stable trust allows language teaching
111,Milo,market_scan,sleep_recovery,0.14288,0.71304,0.464,0.888,0.242,1.0,sleep debt overrides avatar request
112,Sol,ledger_sort,sleep_recovery,0.60576,0.44507,0.4812,0.8364,0.1928,0.77973,sleep debt overrides avatar request
113,Ari,repair_route,sleep_recovery,0.61328,0.572112,0.4864,0.84,0.2756,0.874112,sleep debt overrides avatar request
114,Fay,hearth_care,hearth_care,0.74544,0.706637,0.4136,0.9676,0.232,1.0,routine adapted from repeated interaction
115,Milo,market_scan,teach_word,0.61968,0.736976,0.444,0.928,0.226,1.0,stable trust allows language teaching
116,Sol,ledger_sort,sleep_recovery,0.60752,0.459048,0.4682,0.8624,0.1824,0.807248,sleep debt overrides avatar request
117,Ari,repair_route,sleep_recovery,0.61504,0.590518,0.4704,0.8912,0.2628,0.914918,sleep debt overrides avatar request
118,Fay,hearth_care,teach_word,0.7472,0.751133,0.3956,0.9568,0.232,1.0,stable trust allows language teaching
119,Milo,market_scan,sleep_recovery,0.62144,0.761264,0.424,0.968,0.21,1.0,sleep debt overrides avatar request
120,Sol,ledger_sort,sleep_recovery,0.42928,0.449854,0.4682,0.8962,0.172,0.842546,sleep debt overrides avatar request
121,Ari,repair_route,teach_word,0.7368,0.628406,0.4544,0.8816,0.2628,0.927206,stable trust allows language teaching
122,Fay,hearth_care,teach_word,0.74896,0.795946,0.3776,0.946,0.232,1.0,stable trust allows language teaching
123,Milo,market_scan,market_scan,0.4432,0.749904,0.424,1.0,0.194,1.0,routine adapted from repeated interaction
124,Sol,ledger_sort,sleep_recovery,0.12928,0.401661,0.5228,0.93,0.1616,0.989539,sleep debt overrides avatar request
125,Ari,repair_route,teach_word,0.73856,0.666576,0.4384,0.872,0.2628,0.939776,stable trust allows language teaching
126,Fay,hearth_care,hearth_care,0.45072,0.787075,0.3776,0.9928,0.2176,1.0,routine adapted from repeated interaction
127,Milo,market_scan,sleep_recovery,0.1432,0.678544,0.508,1.0,0.178,1.0,sleep debt overrides avatar request
128,Sol,ledger_sort,sleep_recovery,0.60608,0.415451,0.5098,0.956,0.1746,0.975749,sleep debt overrides avatar request
129,Ari,repair_route,sleep_recovery,0.44032,0.657027,0.4384,0.9136,0.25,0.959027,sleep debt overrides avatar request
130,Fay,hearth_care,sleep_recovery,0.15072,0.724205,0.4532,1.0,0.2032,1.0,sleep debt overrides avatar request
131,Milo,market_scan,sleep_recovery,0.62,0.702544,0.488,1.0,0.198,1.0,sleep debt overrides avatar request
132,Sol,ledger_sort,sleep_recovery,0.12784,0.36707,0.5644,0.9898,0.1642,1.0,sleep debt overrides avatar request
133,Ari,repair_route,sleep_recovery,0.14032,0.599478,0.5056,0.9552,0.2372,1.0,sleep debt overrides avatar request
134,Fay,hearth_care,teach_word,0.62752,0.747158,0.4352,1.0,0.2212,1.0,stable trust allows language teaching
135,Milo,market_scan,sleep_recovery,0.14176,0.630896,0.572,1.0,0.182,1.0,sleep debt overrides avatar request
136,Sol,ledger_sort,sleep_recovery,0.60464,0.380674,0.5514,1.0,0.1772,1.0,sleep debt overrides avatar request
137,Ari,repair_route,boundary_pause,0.61712,0.618218,0.4896,0.9872,0.2532,1.0,learned to protect boundary under pressure
138,Fay,hearth_care,sleep_recovery,0.14928,0.684029,0.5108,1.0,0.2068,1.0,sleep debt overrides avatar request
139,Milo,market_scan,sleep_recovery,0.61856,0.654608,0.552,1.0,0.202,1.0,sleep debt overrides avatar request
140,Sol,ledger_sort,boundary_pause,0.6064,0.394506,0.5384,1.0,0.1668,1.0,learned to protect boundary under pressure
141,Ari,repair_route,repair_route,0.73888,0.656438,0.4736,0.9968,0.2532,1.0,routine adapted from repeated interaction
142,Fay,hearth_care,boundary_pause,0.62608,0.706723,0.4928,1.0,0.1924,1.0,learned to protect boundary under pressure
143,Milo,market_scan,sleep_recovery,0.62032,0.678672,0.532,1.0,0.186,1.0,sleep debt overrides avatar request
144,Sol,ledger_sort,sleep_recovery,0.42816,0.385166,0.5384,1.0,0.1564,1.0,sleep debt overrides avatar request
145,Ari,repair_route,teach_word,0.74064,0.694941,0.4576,0.9872,0.2532,1.0,stable trust allows language teaching
146,Fay,hearth_care,sleep_recovery,0.62784,0.729734,0.4748,1.0,0.178,1.0,sleep debt overrides avatar request
147,Milo,market_scan,sleep_recovery,0.44208,0.667088,0.532,1.0,0.17,1.0,sleep debt overrides avatar request
148,Sol,ledger_sort,sleep_recovery,0.12816,0.336827,0.593,1.0,0.146,1.0,sleep debt overrides avatar request
149,Ari,repair_route,teach_word,0.7424,0.733725,0.4416,0.9776,0.2532,1.0,stable trust allows language teaching
150,Fay,hearth_care,hearth_care,0.4496,0.720662,0.4748,1.0,0.1636,1.0,routine adapted from repeated interaction
151,Milo,market_scan,sleep_recovery,0.14208,0.595504,0.616,1.0,0.154,1.0,sleep debt overrides avatar request
152,Sol,ledger_sort,boundary_pause,0.60496,0.350472,0.58,1.0,0.159,1.0,learned to protect boundary under pressure
153,Ari,repair_route,repair_route,0.44416,0.72479,0.4416,1.0,0.2404,1.0,routine adapted from repeated interaction
154,Fay,hearth_care,sleep_recovery,0.1496,0.65759,0.5504,1.0,0.1492,1.0,sleep debt overrides avatar request
155,Milo,market_scan,sleep_recovery,0.61888,0.61928,0.596,1.0,0.174,1.0,sleep debt overrides avatar request
156,Sol,ledger_sort,sleep_recovery,0.12672,0.301946,0.6346,1.0,0.1486,1.0,sleep debt overrides avatar request
157,Ari,repair_route,sleep_recovery,0.14416,0.667856,0.5088,1.0,0.2276,1.0,sleep debt overrides avatar request
158,Fay,hearth_care,sleep_recovery,0.6264,0.680342,0.5324,1.0,0.1672,1.0,sleep debt overrides avatar request
159,Milo,market_scan,sleep_recovery,0.14064,0.547408,0.68,1.0,0.158,1.0,sleep debt overrides avatar request
160,Sol,ledger_sort,sleep_recovery,0.60352,0.315403,0.6216,1.0,0.1616,1.0,sleep debt overrides avatar request
161,Ari,repair_route,boundary_pause,0.62096,0.68721,0.4928,1.0,0.2436,1.0,learned to protect boundary under pressure
162,Fay,hearth_care,sleep_recovery,0.14816,0.617011,0.608,1.0,0.1528,1.0,sleep debt overrides avatar request
163,Milo,market_scan,sleep_recovery,0.61744,0.570896,0.66,1.0,0.178,1.0,sleep debt overrides avatar request
164,Sol,ledger_sort,boundary_pause,0.60528,0.32909,0.6086,1.0,0.1512,1.0,learned to protect boundary under pressure
165,Ari,repair_route,sleep_recovery,0.14272,0.630045,0.56,1.0,0.2308,1.0,sleep debt overrides avatar request
166,Fay,hearth_care,sleep_recovery,0.62496,0.639504,0.59,1.0,0.1708,1.0,sleep debt overrides avatar request
167,Milo,market_scan,boundary_pause,0.6192,0.594736,0.64,1.0,0.162,1.0,learned to protect boundary under pressure
168,Sol,ledger_sort,boundary_pause,0.72704,0.358605,0.5956,0.9922,0.1512,1.0,learned to protect boundary under pressure
