tick,day,loop_id,agent,posture_change,movement_delta,object_access_delta,proximity_delta,visible_expression_bound_to_turn,body_world_expression_score
36,4,v18-loop-007,Ori,keeps one hand on sap hook,0.16,0.18,0.12728,1,1.0
37,4,v18-loop-007,Vonn,steps back then nods,0.2,0.32,0.17232,0,0.75
38,4,v18-loop-007,Sova,wraps shoulders and faces partly aside,0.26,0.26,0.193504,1,1.0
39,4,v18-loop-007,Keth,points foot toward exit,0.26,0.32,0.179728,1,1.0
40,4,v18-loop-007,Melo,touches tally beads before answering,0.26,0.32,0.16768,1,1.0
41,4,v18-loop-007,Nari,keeps ledger between body and avatar,0.26,0.32,0.173312,1,1.0
42,4,v18-loop-008,Ori,keeps one hand on sap hook,0.26,0.32,0.2068,1,1.0
43,4,v18-loop-008,Vonn,steps back then nods,0.26,0.32,0.192512,1,1.0
44,4,v18-loop-008,Sova,wraps shoulders and faces partly aside,0.26,0.28,0.194032,0,0.75
45,4,v18-loop-008,Keth,points foot toward exit,0.26,0.32,0.173312,1,1.0
46,4,v18-loop-008,Melo,touches tally beads before answering,0.26,0.32,0.18688,1,1.0
47,4,v18-loop-008,Nari,keeps ledger between body and avatar,0.26,0.32,0.19648,1,1.0
48,5,v18-loop-009,Vonn,steps back then nods,0.16,0.18,0.12728,1,1.0
49,5,v18-loop-009,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.18688,1,1.0
50,5,v18-loop-009,Keth,points foot toward exit,0.3,0.32,0.18688,1,1.0
51,5,v18-loop-009,Melo,touches tally beads before answering,0.26,0.32,0.202,1,1.0
52,5,v18-loop-009,Nari,keeps ledger between body and avatar,0.26,0.32,0.16768,1,1.0
53,5,v18-loop-009,Ori,keeps one hand on sap hook,0.26,0.32,0.173312,1,1.0
54,5,v18-loop-010,Vonn,steps back then nods,0.2,0.32,0.168352,1,1.0
55,5,v18-loop-010,Sova,wraps shoulders and faces partly aside,0.3,0.26,0.2068,1,1.0
56,5,v18-loop-010,Keth,points foot toward exit,0.26,0.32,0.194032,1,1.0
57,5,v18-loop-010,Melo,touches tally beads before answering,0.3,0.32,0.191056,1,1.0
58,5,v18-loop-010,Nari,keeps ledger between body and avatar,0.26,0.32,0.18688,1,1.0
59,5,v18-loop-010,Ori,keeps one hand on sap hook,0.26,0.18,0.14648,0,0.75
60,6,v18-loop-011,Sova,wraps shoulders and faces partly aside,0.16,0.18,0.100928,1,1.0
61,6,v18-loop-011,Keth,points foot toward exit,0.26,0.32,0.160528,1,1.0
62,6,v18-loop-011,Melo,touches tally beads before answering,0.2,0.12,0.13688,1,1.0
63,6,v18-loop-011,Nari,keeps ledger between body and avatar,0.26,0.28,0.202,1,1.0
64,6,v18-loop-011,Ori,keeps one hand on sap hook,0.26,0.32,0.16768,1,1.0
65,6,v18-loop-011,Vonn,steps back then nods,0.26,0.32,0.173312,1,1.0
66,6,v18-loop-012,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.18688,0,0.75
67,6,v18-loop-012,Keth,points foot toward exit,0.26,0.32,0.2036,1,1.0
68,6,v18-loop-012,Melo,touches tally beads before answering,0.26,0.32,0.194032,1,1.0
69,6,v18-loop-012,Nari,keeps ledger between body and avatar,0.3,0.32,0.194032,1,1.0
70,6,v18-loop-012,Ori,keeps one hand on sap hook,0.26,0.32,0.2068,1,1.0
71,6,v18-loop-012,Vonn,steps back then nods,0.2,0.32,0.18192,1,1.0
72,7,v18-loop-013,Keth,points foot toward exit,0.16,0.12,0.100928,1,1.0
73,7,v18-loop-013,Melo,touches tally beads before answering,0.26,0.32,0.18688,0,0.75
74,7,v18-loop-013,Nari,keeps ledger between body and avatar,0.26,0.32,0.170128,1,1.0
75,7,v18-loop-013,Ori,keeps one hand on sap hook,0.26,0.32,0.179728,1,1.0
76,7,v18-loop-013,Vonn,steps back then nods,0.26,0.32,0.191056,1,1.0
77,7,v18-loop-013,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.203632,1,1.0
78,7,v18-loop-014,Keth,points foot toward exit,0.26,0.32,0.2068,1,1.0
79,7,v18-loop-014,Melo,touches tally beads before answering,0.26,0.32,0.19648,1,1.0
80,7,v18-loop-014,Nari,keeps ledger between body and avatar,0.26,0.32,0.163712,1,1.0
81,7,v18-loop-014,Ori,keeps one hand on sap hook,0.26,0.32,0.17728,1,1.0
82,7,v18-loop-014,Vonn,steps back then nods,0.26,0.28,0.182912,1,1.0
83,7,v18-loop-014,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.192512,1,1.0
84,8,v18-loop-015,Melo,touches tally beads before answering,0.16,0.18,0.12728,1,1.0
85,8,v18-loop-015,Nari,keeps ledger between body and avatar,0.26,0.32,0.18688,1,1.0
86,8,v18-loop-015,Ori,keeps one hand on sap hook,0.26,0.32,0.16616,1,1.0
87,8,v18-loop-015,Vonn,steps back then nods,0.26,0.32,0.179728,1,1.0
88,8,v18-loop-015,Sova,wraps shoulders and faces partly aside,0.1,0.18,0.10312,0,0.5
89,8,v18-loop-015,Keth,points foot toward exit,0.26,0.26,0.173312,1,1.0
90,8,v18-loop-016,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
91,8,v18-loop-016,Nari,keeps ledger between body and avatar,0.26,0.32,0.2036,1,1.0
92,8,v18-loop-016,Ori,keeps one hand on sap hook,0.26,0.32,0.194032,1,1.0
93,8,v18-loop-016,Vonn,steps back then nods,0.16,0.12,0.149664,1,1.0
94,8,v18-loop-016,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.18688,1,1.0
95,8,v18-loop-016,Keth,points foot toward exit,0.26,0.32,0.2044,0,0.75
96,9,v18-loop-017,Nari,keeps ledger between body and avatar,0.16,0.18,0.100928,1,1.0
97,9,v18-loop-017,Ori,keeps one hand on sap hook,0.26,0.32,0.18688,1,1.0
98,9,v18-loop-017,Vonn,steps back then nods,0.26,0.32,0.19648,1,1.0
99,9,v18-loop-017,Sova,wraps shoulders and faces partly aside,0.3,0.32,0.19648,1,1.0
100,9,v18-loop-017,Keth,points foot toward exit,0.26,0.32,0.16768,1,1.0
101,9,v18-loop-017,Melo,touches tally beads before answering,0.26,0.28,0.173312,1,1.0
102,9,v18-loop-018,Nari,keeps ledger between body and avatar,0.26,0.32,0.2068,0,0.75
103,9,v18-loop-018,Ori,keeps one hand on sap hook,0.26,0.32,0.19648,1,1.0
104,9,v18-loop-018,Vonn,steps back then nods,0.26,0.32,0.16768,1,1.0
105,9,v18-loop-018,Sova,wraps shoulders and faces partly aside,0.2,0.32,0.189072,1,1.0
106,9,v18-loop-018,Keth,points foot toward exit,0.26,0.26,0.182912,1,1.0
107,9,v18-loop-018,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
108,10,v18-loop-019,Ori,keeps one hand on sap hook,0.16,0.18,0.100928,1,1.0
109,10,v18-loop-019,Vonn,steps back then nods,0.26,0.32,0.160528,1,1.0
110,10,v18-loop-019,Sova,wraps shoulders and faces partly aside,0.3,0.32,0.18688,1,1.0
111,10,v18-loop-019,Keth,points foot toward exit,0.26,0.32,0.202,1,1.0
112,10,v18-loop-019,Melo,touches tally beads before answering,0.26,0.32,0.190064,1,1.0
113,10,v18-loop-019,Nari,keeps ledger between body and avatar,0.26,0.32,0.203632,1,1.0
114,10,v18-loop-020,Ori,keeps one hand on sap hook,0.3,0.32,0.200656,1,1.0
115,10,v18-loop-020,Vonn,steps back then nods,0.26,0.32,0.192512,1,1.0
116,10,v18-loop-020,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.163712,1,1.0
117,10,v18-loop-020,Keth,points foot toward exit,0.26,0.18,0.123312,0,0.75
118,10,v18-loop-020,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
119,10,v18-loop-020,Nari,keeps ledger between body and avatar,0.26,0.32,0.2036,1,1.0
120,11,v18-loop-021,Vonn,steps back then nods,0.16,0.14,0.100928,0,0.75
121,11,v18-loop-021,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.160528,1,1.0
122,11,v18-loop-021,Keth,points foot toward exit,0.2,0.32,0.155568,1,1.0
123,11,v18-loop-021,Melo,touches tally beads before answering,0.26,0.26,0.179728,1,1.0
124,11,v18-loop-021,Nari,keeps ledger between body and avatar,0.16,0.12,0.144032,0,0.75
125,11,v18-loop-021,Ori,keeps one hand on sap hook,0.26,0.32,0.17728,1,1.0
126,11,v18-loop-022,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
127,11,v18-loop-022,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.192512,1,1.0
128,11,v18-loop-022,Keth,points foot toward exit,0.3,0.32,0.184432,1,1.0
129,11,v18-loop-022,Melo,touches tally beads before answering,0.26,0.32,0.173312,1,1.0
130,11,v18-loop-022,Nari,keeps ledger between body and avatar,0.26,0.32,0.2068,1,1.0
131,11,v18-loop-022,Ori,keeps one hand on sap hook,0.26,0.32,0.2068,0,0.75
132,12,v18-loop-023,Sova,wraps shoulders and faces partly aside,0.16,0.18,0.09696,1,0.75
133,12,v18-loop-023,Keth,points foot toward exit,0.26,0.32,0.183904,1,1.0
134,12,v18-loop-023,Melo,touches tally beads before answering,0.26,0.32,0.170128,1,1.0
135,12,v18-loop-023,Nari,keeps ledger between body and avatar,0.26,0.32,0.17576,1,1.0
136,12,v18-loop-023,Ori,keeps one hand on sap hook,0.26,0.32,0.16768,1,1.0
137,12,v18-loop-023,Vonn,steps back then nods,0.26,0.32,0.17728,1,1.0
138,12,v18-loop-024,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.2068,1,1.0
139,12,v18-loop-024,Keth,points foot toward exit,0.2,0.28,0.18192,1,1.0
140,12,v18-loop-024,Melo,touches tally beads before answering,0.3,0.26,0.210784,1,1.0
141,12,v18-loop-024,Nari,keeps ledger between body and avatar,0.26,0.32,0.17728,1,1.0
142,12,v18-loop-024,Ori,keeps one hand on sap hook,0.26,0.32,0.18688,1,1.0
143,12,v18-loop-024,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
144,13,v18-loop-025,Keth,points foot toward exit,0.16,0.18,0.100928,1,1.0
145,13,v18-loop-025,Melo,touches tally beads before answering,0.26,0.32,0.182912,1,1.0
146,13,v18-loop-025,Nari,keeps ledger between body and avatar,0.26,0.18,0.14648,0,0.75
147,13,v18-loop-025,Ori,keeps one hand on sap hook,0.3,0.32,0.2068,1,1.0
148,13,v18-loop-025,Vonn,steps back then nods,0.26,0.32,0.194032,1,1.0
149,13,v18-loop-025,Sova,wraps shoulders and faces partly aside,0.3,0.32,0.194032,1,1.0
150,13,v18-loop-026,Keth,points foot toward exit,0.26,0.32,0.18688,1,1.0
151,13,v18-loop-026,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
152,13,v18-loop-026,Nari,keeps ledger between body and avatar,0.26,0.32,0.160736,1,1.0
153,13,v18-loop-026,Ori,keeps one hand on sap hook,0.26,0.32,0.17728,0,0.75
154,13,v18-loop-026,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
155,13,v18-loop-026,Sova,wraps shoulders and faces partly aside,0.16,0.12,0.14648,1,1.0
156,14,v18-loop-027,Melo,touches tally beads before answering,0.1,0.18,0.0824,1,0.5
157,14,v18-loop-027,Nari,keeps ledger between body and avatar,0.26,0.26,0.160528,1,1.0
158,14,v18-loop-027,Ori,keeps one hand on sap hook,0.26,0.28,0.16616,1,1.0
159,14,v18-loop-027,Vonn,steps back then nods,0.26,0.32,0.202,1,1.0
160,14,v18-loop-027,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.16768,0,0.75
161,14,v18-loop-027,Keth,points foot toward exit,0.26,0.32,0.203632,1,1.0
162,14,v18-loop-028,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
163,14,v18-loop-028,Nari,keeps ledger between body and avatar,0.26,0.32,0.2068,1,1.0
164,14,v18-loop-028,Ori,keeps one hand on sap hook,0.26,0.32,0.16768,1,1.0
165,14,v18-loop-028,Vonn,steps back then nods,0.3,0.32,0.194032,1,1.0
166,14,v18-loop-028,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.18688,1,1.0
167,14,v18-loop-028,Keth,points foot toward exit,0.26,0.32,0.19648,1,1.0
168,15,v18-loop-029,Nari,keeps ledger between body and avatar,0.16,0.18,0.12728,1,1.0
169,15,v18-loop-029,Ori,keeps one hand on sap hook,0.3,0.32,0.17728,1,1.0
170,15,v18-loop-029,Vonn,steps back then nods,0.26,0.32,0.170128,1,1.0
171,15,v18-loop-029,Sova,wraps shoulders and faces partly aside,0.3,0.32,0.189536,1,1.0
172,15,v18-loop-029,Keth,points foot toward exit,0.26,0.32,0.194032,1,1.0
173,15,v18-loop-029,Melo,touches tally beads before answering,0.2,0.32,0.16272,1,1.0
174,15,v18-loop-030,Nari,keeps ledger between body and avatar,0.26,0.26,0.18688,1,1.0
175,15,v18-loop-030,Ori,keeps one hand on sap hook,0.26,0.18,0.1536,0,0.75
176,15,v18-loop-030,Vonn,steps back then nods,0.3,0.32,0.184432,1,1.0
177,15,v18-loop-030,Sova,wraps shoulders and faces partly aside,0.26,0.28,0.203632,1,1.0
178,15,v18-loop-030,Keth,points foot toward exit,0.26,0.32,0.18688,1,1.0
179,15,v18-loop-030,Melo,touches tally beads before answering,0.26,0.32,0.19648,1,1.0
180,16,v18-loop-031,Ori,keeps one hand on sap hook,0.16,0.18,0.12728,1,1.0
181,16,v18-loop-031,Vonn,steps back then nods,0.26,0.32,0.160528,1,1.0
182,16,v18-loop-031,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.19648,0,0.75
183,16,v18-loop-031,Keth,points foot toward exit,0.26,0.32,0.17576,1,1.0
184,16,v18-loop-031,Melo,touches tally beads before answering,0.26,0.32,0.163712,1,1.0
185,16,v18-loop-031,Nari,keeps ledger between body and avatar,0.26,0.32,0.203632,1,1.0
186,16,v18-loop-032,Ori,keeps one hand on sap hook,0.16,0.12,0.13688,1,1.0
187,16,v18-loop-032,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
188,16,v18-loop-032,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.194032,1,1.0
189,16,v18-loop-032,Keth,points foot toward exit,0.26,0.32,0.203632,0,0.75
190,16,v18-loop-032,Melo,touches tally beads before answering,0.24,0.32,0.186096,1,1.0
191,16,v18-loop-032,Nari,keeps ledger between body and avatar,0.26,0.26,0.19648,1,1.0
192,17,v18-loop-033,Vonn,steps back then nods,0.16,0.18,0.100928,1,1.0
193,17,v18-loop-033,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.160528,1,1.0
194,17,v18-loop-033,Keth,points foot toward exit,0.26,0.32,0.16616,1,1.0
195,17,v18-loop-033,Melo,touches tally beads before answering,0.26,0.32,0.179728,1,1.0
196,17,v18-loop-033,Nari,keeps ledger between body and avatar,0.26,0.28,0.194032,1,1.0
197,17,v18-loop-033,Ori,keeps one hand on sap hook,0.26,0.32,0.199664,1,1.0
198,17,v18-loop-034,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
199,17,v18-loop-034,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.2068,1,1.0
200,17,v18-loop-034,Keth,points foot toward exit,0.26,0.32,0.16768,1,1.0
201,17,v18-loop-034,Melo,touches tally beads before answering,0.26,0.32,0.203632,1,1.0
202,17,v18-loop-034,Nari,keeps ledger between body and avatar,0.26,0.32,0.18688,1,1.0
203,17,v18-loop-034,Ori,keeps one hand on sap hook,0.3,0.32,0.2116,1,1.0
204,18,v18-loop-035,Sova,wraps shoulders and faces partly aside,0.16,0.18,0.100928,0,0.75
205,18,v18-loop-035,Keth,points foot toward exit,0.3,0.28,0.17728,1,1.0
206,18,v18-loop-035,Melo,touches tally beads before answering,0.26,0.28,0.19648,1,1.0
207,18,v18-loop-035,Nari,keeps ledger between body and avatar,0.24,0.28,0.18192,1,1.0
208,18,v18-loop-035,Ori,keeps one hand on sap hook,0.26,0.26,0.16768,1,1.0
209,18,v18-loop-035,Vonn,steps back then nods,0.26,0.28,0.174304,1,1.0
210,18,v18-loop-036,Sova,wraps shoulders and faces partly aside,0.26,0.28,0.2036,1,1.0
211,18,v18-loop-036,Keth,points foot toward exit,0.26,0.28,0.2068,0,0.75
212,18,v18-loop-036,Melo,touches tally beads before answering,0.26,0.32,0.194032,1,1.0
213,18,v18-loop-036,Nari,keeps ledger between body and avatar,0.26,0.32,0.17728,1,1.0
214,18,v18-loop-036,Ori,keeps one hand on sap hook,0.26,0.32,0.182912,1,1.0
215,18,v18-loop-036,Vonn,steps back then nods,0.26,0.28,0.19648,1,1.0
216,19,v18-loop-037,Keth,points foot toward exit,0.16,0.18,0.12728,1,1.0
217,19,v18-loop-037,Melo,touches tally beads before answering,0.16,0.08,0.13688,1,0.75
218,19,v18-loop-037,Nari,keeps ledger between body and avatar,0.26,0.28,0.170128,0,0.75
219,19,v18-loop-037,Ori,keeps one hand on sap hook,0.26,0.32,0.179728,1,1.0
220,19,v18-loop-037,Vonn,steps back then nods,0.26,0.32,0.16768,1,1.0
221,19,v18-loop-037,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.173312,1,1.0
222,19,v18-loop-038,Keth,points foot toward exit,0.26,0.32,0.18688,1,1.0
223,19,v18-loop-038,Melo,touches tally beads before answering,0.26,0.32,0.2036,1,1.0
224,19,v18-loop-038,Nari,keeps ledger between body and avatar,0.1,0.18,0.099152,1,0.5
225,19,v18-loop-038,Ori,keeps one hand on sap hook,0.3,0.26,0.194032,1,1.0
226,19,v18-loop-038,Vonn,steps back then nods,0.26,0.32,0.18688,1,1.0
227,19,v18-loop-038,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.19648,1,1.0
228,20,v18-loop-039,Melo,touches tally beads before answering,0.16,0.18,0.124304,1,1.0
229,20,v18-loop-039,Nari,keeps ledger between body and avatar,0.26,0.32,0.18688,1,1.0
230,20,v18-loop-039,Ori,keeps one hand on sap hook,0.26,0.32,0.170128,1,1.0
231,20,v18-loop-039,Vonn,steps back then nods,0.26,0.32,0.202,1,1.0
232,20,v18-loop-039,Sova,wraps shoulders and faces partly aside,0.3,0.32,0.184432,1,1.0
233,20,v18-loop-039,Keth,points foot toward exit,0.26,0.18,0.12728,0,0.75
234,20,v18-loop-040,Melo,touches tally beads before answering,0.26,0.28,0.2068,1,1.0
235,20,v18-loop-040,Nari,keeps ledger between body and avatar,0.26,0.32,0.19648,1,1.0
236,20,v18-loop-040,Ori,keeps one hand on sap hook,0.26,0.32,0.163712,1,1.0
237,20,v18-loop-040,Vonn,steps back then nods,0.26,0.32,0.173312,1,1.0
238,20,v18-loop-040,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.2068,1,1.0
239,20,v18-loop-040,Keth,points foot toward exit,0.26,0.32,0.2068,1,1.0
240,21,v18-loop-041,Nari,keeps ledger between body and avatar,0.2,0.18,0.11768,0,0.75
241,21,v18-loop-041,Ori,keeps one hand on sap hook,0.1,0.18,0.095968,1,0.5
242,21,v18-loop-041,Vonn,steps back then nods,0.26,0.26,0.170128,1,1.0
243,21,v18-loop-041,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.179728,1,1.0
244,21,v18-loop-041,Keth,points foot toward exit,0.26,0.32,0.16768,1,1.0
245,21,v18-loop-041,Melo,touches tally beads before answering,0.26,0.32,0.203632,1,1.0
246,21,v18-loop-042,Nari,keeps ledger between body and avatar,0.3,0.32,0.203632,1,1.0
247,21,v18-loop-042,Ori,keeps one hand on sap hook,0.3,0.32,0.2044,0,0.75
248,21,v18-loop-042,Vonn,steps back then nods,0.16,0.12,0.11768,1,1.0
249,21,v18-loop-042,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.199664,1,1.0
250,21,v18-loop-042,Keth,points foot toward exit,0.26,0.32,0.2068,1,1.0
251,21,v18-loop-042,Melo,touches tally beads before answering,0.26,0.32,0.192512,1,1.0
252,22,v18-loop-043,Ori,keeps one hand on sap hook,0.16,0.18,0.12728,1,1.0
253,22,v18-loop-043,Vonn,steps back then nods,0.26,0.28,0.18688,1,1.0
254,22,v18-loop-043,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.170128,1,1.0
255,22,v18-loop-043,Keth,points foot toward exit,0.26,0.32,0.179728,1,1.0
256,22,v18-loop-043,Melo,touches tally beads before answering,0.26,0.32,0.194032,1,1.0
257,22,v18-loop-043,Nari,keeps ledger between body and avatar,0.26,0.32,0.203632,1,1.0
258,22,v18-loop-044,Ori,keeps one hand on sap hook,0.2,0.32,0.17232,1,1.0
259,22,v18-loop-044,Vonn,steps back then nods,0.26,0.26,0.2036,1,1.0
260,22,v18-loop-044,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.16768,1,1.0
261,22,v18-loop-044,Keth,points foot toward exit,0.26,0.32,0.17728,1,1.0
262,22,v18-loop-044,Melo,touches tally beads before answering,0.26,0.18,0.132912,0,0.75
263,22,v18-loop-044,Nari,keeps ledger between body and avatar,0.26,0.32,0.2068,1,1.0
264,23,v18-loop-045,Vonn,steps back then nods,0.2,0.18,0.11768,1,1.0
265,23,v18-loop-045,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.15656,1,1.0
266,23,v18-loop-045,Keth,points foot toward exit,0.26,0.32,0.193504,1,1.0
267,23,v18-loop-045,Melo,touches tally beads before answering,0.26,0.32,0.202,1,1.0
268,23,v18-loop-045,Nari,keeps ledger between body and avatar,0.26,0.32,0.16768,1,1.0
269,23,v18-loop-045,Ori,keeps one hand on sap hook,0.26,0.32,0.203632,0,0.75
270,23,v18-loop-046,Vonn,steps back then nods,0.26,0.32,0.18688,1,1.0
271,23,v18-loop-046,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.192512,1,1.0
272,23,v18-loop-046,Keth,points foot toward exit,0.26,0.28,0.163712,1,1.0
273,23,v18-loop-046,Melo,touches tally beads before answering,0.26,0.32,0.199664,1,1.0
274,23,v18-loop-046,Nari,keeps ledger between body and avatar,0.26,0.32,0.2068,1,1.0
275,23,v18-loop-046,Ori,keeps one hand on sap hook,0.2,0.32,0.177952,1,1.0
276,24,v18-loop-047,Sova,wraps shoulders and faces partly aside,0.16,0.12,0.100928,0,0.75
277,24,v18-loop-047,Keth,points foot toward exit,0.26,0.32,0.18688,1,1.0
278,24,v18-loop-047,Melo,touches tally beads before answering,0.26,0.32,0.170128,1,1.0
279,24,v18-loop-047,Nari,keeps ledger between body and avatar,0.16,0.12,0.152,1,1.0
280,24,v18-loop-047,Ori,keeps one hand on sap hook,0.26,0.32,0.194032,1,1.0
281,24,v18-loop-047,Vonn,steps back then nods,0.26,0.32,0.203632,1,1.0
282,24,v18-loop-048,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.18688,1,1.0
283,24,v18-loop-048,Keth,points foot toward exit,0.26,0.32,0.19648,1,1.0
284,24,v18-loop-048,Melo,touches tally beads before answering,0.26,0.32,0.163712,1,1.0
285,24,v18-loop-048,Nari,keeps ledger between body and avatar,0.26,0.32,0.170336,1,1.0
286,24,v18-loop-048,Ori,keeps one hand on sap hook,0.26,0.32,0.18688,1,1.0
287,24,v18-loop-048,Vonn,steps back then nods,0.26,0.32,0.2068,1,1.0
