token_id,year,household_id,token,root,modifier,meaning,grounded_referent,compositional_use,adoption_count,stability_score
token_987_redstair,987,redstair,sahe5,sa,he,water-caution: wetness changes body cost,witness and boundary around quiet red stair,sa+he marks water-caution in ritual and market speech,4,0.84
token_987_wheelwright,987,wheelwright,nihe5,ni,he,water-caution: wetness changes body cost,water and motion around wheelhouse loft,ni+he marks water-caution in ritual and market speech,4,0.84
token_1597_westkeepers,1597,westkeepers,kafl6,ka,fl,witness-true: seen and believed,safe route repair around west arch terraces,ka+fl marks witness-true in ritual and market speech,5,0.868
token_1597_mossgarden,1597,mossgarden,mufl6,mu,fl,witness-true: seen and believed,food and rest around warm moss rooms,mu+fl marks witness-true in ritual and market speech,5,0.868
token_1597_ledgerkin,1597,ledgerkin,lofl6,lo,fl,witness-true: seen and believed,fair exchange around north market steps,lo+fl marks witness-true in ritual and market speech,5,0.868
token_1597_redstair,1597,redstair,safl6,sa,fl,witness-true: seen and believed,witness and boundary around quiet red stair,sa+fl marks witness-true in ritual and market speech,5,0.868
token_1597_wheelwright,1597,wheelwright,nifl6,ni,fl,witness-true: seen and believed,water and motion around wheelhouse loft,ni+fl marks witness-true in ritual and market speech,5,0.868
token_2584_westkeepers,2584,westkeepers,kafr7,ka,fr,home-warm: rest place,safe route repair around west arch terraces,ka+fr marks home-warm in ritual and market speech,5,0.896
token_2584_mossgarden,2584,mossgarden,mufr7,mu,fr,home-warm: rest place,food and rest around warm moss rooms,mu+fr marks home-warm in ritual and market speech,5,0.896
token_2584_ledgerkin,2584,ledgerkin,lofr7,lo,fr,home-warm: rest place,fair exchange around north market steps,lo+fr marks home-warm in ritual and market speech,5,0.896
token_2584_redstair,2584,redstair,safr7,sa,fr,home-warm: rest place,witness and boundary around quiet red stair,sa+fr marks home-warm in ritual and market speech,5,0.896
token_2584_wheelwright,2584,wheelwright,nifr7,ni,fr,home-warm: rest place,water and motion around wheelhouse loft,ni+fr marks home-warm in ritual and market speech,5,0.896
token_4181_westkeepers,4181,westkeepers,kare8,ka,re,future-promise: owed action later,safe route repair around west arch terraces,ka+re marks future-promise in ritual and market speech,5,0.924
token_4181_mossgarden,4181,mossgarden,mure8,mu,re,future-promise: owed action later,food and rest around warm moss rooms,mu+re marks future-promise in ritual and market speech,5,0.924
token_4181_ledgerkin,4181,ledgerkin,lore8,lo,re,future-promise: owed action later,fair exchange around north market steps,lo+re marks future-promise in ritual and market speech,5,0.924
token_4181_redstair,4181,redstair,sare8,sa,re,future-promise: owed action later,witness and boundary around quiet red stair,sa+re marks future-promise in ritual and market speech,5,0.924
token_4181_wheelwright,4181,wheelwright,nire8,ni,re,future-promise: owed action later,water and motion around wheelhouse loft,ni+re marks future-promise in ritual and market speech,5,0.924
