tick_id,day,route_id,replay_event,state_hash,includes_dialogue_animation,includes_merge_control,includes_snapshot_exchange,includes_delayed_reaction,includes_reload_persistence,replay_exportable
27,3,signal_orchard,signal_orchard:dusk road:guarded crossed arms:snapshot shared,v33-634886,True,True,True,True,False,True
28,3,orchard_riverbend,orchard_riverbend:market plank route:route-board reach:snapshot shared,v33-772863,True,True,True,False,False,True
29,3,central_repair_ring,central_repair_ring:inner repair yard:guarded crossed arms:snapshot shared,v33-838088,True,False,True,False,False,True
30,3,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-821665,False,True,True,False,False,True
31,3,roofward_archive,roofward_archive:cool archive lane:route-board reach:idle,v33-734451,True,False,False,False,True,True
32,3,archive_signal,archive_signal:paper lane:guarded crossed arms:snapshot shared,v33-648632,True,True,True,True,False,True
33,3,signal_orchard,signal_orchard:river lantern loop:open forward lean:snapshot shared,v33-725791,True,True,True,True,False,True
34,3,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:exchange pending,v33-772767,True,False,True,True,False,True
35,3,central_repair_ring,central_repair_ring:inner repair yard:guarded crossed arms:idle,v33-837793,False,False,False,False,True,True
36,4,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-822395,True,False,True,True,True,True
37,4,roofward_archive,roofward_archive:cool archive lane:open forward lean:idle,v33-735238,True,False,False,False,False,True
38,4,archive_signal,archive_signal:paper lane:guarded crossed arms:snapshot shared,v33-649348,True,True,True,True,False,True
39,4,signal_orchard,signal_orchard:dusk road:guarded crossed arms:snapshot shared,v33-635683,True,True,True,True,False,True
40,4,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:idle,v33-772472,True,False,False,False,False,True
41,4,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-855383,True,False,True,False,False,True
42,4,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-822382,True,True,True,False,False,True
43,4,roofward_archive,roofward_archive:cool archive lane:open forward lean:idle,v33-734943,True,False,False,False,False,True
44,4,archive_signal,archive_signal:paper lane:open forward lean:snapshot shared,v33-602674,True,False,True,False,False,True
45,4,signal_orchard,signal_orchard:river lantern loop:open forward lean:snapshot shared,v33-726624,False,True,True,True,False,True
46,4,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-773199,True,False,True,False,False,True
47,4,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:idle,v33-855971,True,False,False,False,True,True
48,5,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-823112,True,False,True,True,True,True
49,5,roofward_archive,roofward_archive:cool archive lane:guarded crossed arms:idle,v33-784873,True,False,False,False,False,True
50,5,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-748548,False,True,True,False,False,True
51,5,signal_orchard,signal_orchard:dusk road:guarded crossed arms:exchange pending,v33-635470,True,True,True,True,False,True
52,5,orchard_riverbend,orchard_riverbend:market plank route:guarded crossed arms:idle,v33-822876,True,False,False,False,False,True
53,5,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-855816,True,False,True,False,False,True
54,5,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-830480,True,True,True,False,False,True
55,5,roofward_archive,roofward_archive:cool archive lane:guarded crossed arms:idle,v33-784578,True,False,False,False,False,True
56,5,archive_signal,archive_signal:paper lane:guarded crossed arms:snapshot shared,v33-657133,True,True,True,True,False,True
57,5,signal_orchard,signal_orchard:dusk road:guarded crossed arms:snapshot shared,v33-643296,True,True,True,True,False,True
58,5,orchard_riverbend,orchard_riverbend:market plank route:guarded crossed arms:snapshot shared,v33-823603,True,False,True,False,False,True
59,5,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:idle,v33-856404,True,False,False,False,True,True
60,6,roofward_archive,roofward_archive:cool archive lane:listening tilt:snapshot shared,v33-700301,False,False,True,False,True,True
61,6,archive_signal,archive_signal:paper lane:careful pointing:idle,v33-605381,True,False,False,False,False,True
62,6,signal_orchard,signal_orchard:river lantern loop:route-board reach:snapshot shared,v33-741304,True,True,True,False,True,True
63,6,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-633473,True,True,True,False,False,True
64,6,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:idle,v33-783123,True,False,False,False,False,True
65,6,riverbend_roofward,riverbend_roofward:orchard ridge detour:listening tilt:snapshot shared,v33-794813,False,False,True,False,False,True
66,6,roofward_archive,roofward_archive:cool archive lane:listening tilt:snapshot shared,v33-701161,True,True,True,False,False,True
67,6,archive_signal,archive_signal:paper lane:careful pointing:idle,v33-605969,True,False,False,False,False,True
68,6,signal_orchard,signal_orchard:dusk road:route-board reach:exchange pending,v33-604104,True,True,True,False,False,True
69,6,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-774378,True,True,True,False,False,True
70,6,central_repair_ring,central_repair_ring:outer bell path:careful pointing:snapshot shared,v33-750167,True,True,True,False,False,True
71,6,riverbend_roofward,riverbend_roofward:river ford:listening tilt:snapshot shared,v33-644642,True,True,True,False,True,True
72,7,roofward_archive,roofward_archive:cool archive lane:listening tilt:snapshot shared,v33-701003,True,False,True,False,True,True
73,7,archive_signal,archive_signal:paper lane:listening tilt:idle,v33-577300,True,False,False,False,False,True
74,7,signal_orchard,signal_orchard:river lantern loop:listening tilt:snapshot shared,v33-707304,True,True,True,False,False,True
75,7,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-634282,False,True,True,False,False,True
76,7,central_repair_ring,central_repair_ring:outer bell path:listening tilt:idle,v33-720653,True,False,False,False,False,True
77,7,riverbend_roofward,riverbend_roofward:river ford:listening tilt:snapshot shared,v33-645363,True,False,True,False,False,True
78,7,roofward_archive,roofward_archive:cool archive lane:listening tilt:snapshot shared,v33-701863,True,True,True,False,False,True
79,7,archive_signal,archive_signal:paper lane:listening tilt:idle,v33-577888,True,False,False,False,False,True
80,7,signal_orchard,signal_orchard:dusk road:listening tilt:snapshot shared,v33-571312,False,True,True,False,False,True
81,7,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-781604,True,True,True,False,False,True
82,7,central_repair_ring,central_repair_ring:outer bell path:listening tilt:snapshot shared,v33-720496,True,False,True,False,False,True
83,7,riverbend_roofward,riverbend_roofward:river ford:listening tilt:idle,v33-645068,True,False,False,False,True,True
84,8,roofward_archive,roofward_archive:cool archive lane:careful pointing:snapshot shared,v33-731615,True,False,True,False,True,True
85,8,archive_signal,archive_signal:paper lane:route-board reach:idle,v33-610305,True,False,False,False,False,True
86,8,signal_orchard,signal_orchard:river lantern loop:route-board reach:snapshot shared,v33-742844,True,True,True,False,False,True
87,8,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-642005,True,True,True,False,False,True
88,8,central_repair_ring,central_repair_ring:outer bell path:route-board reach:idle,v33-755785,True,False,False,False,False,True
89,8,riverbend_roofward,riverbend_roofward:river ford:careful pointing:snapshot shared,v33-674931,True,False,True,False,False,True
90,8,roofward_archive,roofward_archive:cool archive lane:careful pointing:snapshot shared,v33-731592,True,True,True,False,False,True
91,8,archive_signal,archive_signal:stone kiosk path:route-board reach:snapshot shared,v33-707871,True,True,True,False,False,True
92,8,signal_orchard,signal_orchard:river lantern loop:route-board reach:snapshot shared,v33-742687,True,True,True,False,False,True
93,8,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-782451,True,True,True,False,True,True
94,8,central_repair_ring,central_repair_ring:outer bell path:route-board reach:snapshot shared,v33-755628,True,False,True,False,False,True
95,8,riverbend_roofward,riverbend_roofward:river ford:careful pointing:idle,v33-674636,False,False,False,False,True,True
96,9,roofward_archive,roofward_archive:cool archive lane:careful pointing:snapshot shared,v33-732317,True,False,True,False,True,True
97,9,archive_signal,archive_signal:stone kiosk path:open forward lean:idle,v33-708658,True,False,False,False,False,True
98,9,signal_orchard,signal_orchard:river lantern loop:open forward lean:snapshot shared,v33-743747,True,True,True,False,False,True
99,9,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-642816,True,True,True,False,False,True
100,9,central_repair_ring,central_repair_ring:outer bell path:open forward lean:idle,v33-765287,True,False,False,False,False,True
101,9,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:snapshot shared,v33-753866,True,False,True,False,False,True
102,9,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:exchange pending,v33-813737,True,True,True,False,False,True
103,9,archive_signal,archive_signal:stone kiosk path:open forward lean:idle,v33-717794,True,False,False,False,False,True
104,9,signal_orchard,signal_orchard:dusk road:open forward lean:snapshot shared,v33-614449,True,True,True,False,False,True
105,9,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-800678,False,True,True,False,False,True
106,9,central_repair_ring,central_repair_ring:outer bell path:open forward lean:snapshot shared,v33-773284,True,False,True,False,False,True
107,9,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:idle,v33-754460,True,False,False,False,True,True
108,10,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:snapshot shared,v33-822120,True,False,True,False,True,True
109,10,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:idle,v33-767730,True,False,False,False,False,True
110,10,signal_orchard,signal_orchard:river lantern loop:guarded crossed arms:snapshot shared,v33-803341,False,True,True,False,False,True
111,10,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-658851,True,True,True,False,False,True
112,10,central_repair_ring,central_repair_ring:outer bell path:guarded crossed arms:idle,v33-823273,True,False,False,False,False,True
113,10,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:snapshot shared,v33-754296,True,False,True,False,False,True
114,10,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:snapshot shared,v33-821961,True,True,True,False,False,True
115,10,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:idle,v33-767432,True,False,False,False,False,True
116,10,signal_orchard,signal_orchard:dusk road:guarded crossed arms:snapshot shared,v33-662396,True,True,True,False,False,True
117,10,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-801536,True,True,True,False,False,True
118,10,central_repair_ring,central_repair_ring:outer bell path:guarded crossed arms:snapshot shared,v33-824007,True,False,True,False,False,True
119,10,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:idle,v33-754890,True,False,False,False,True,True
120,11,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:snapshot shared,v33-821802,False,False,True,False,True,True
121,11,archive_signal,archive_signal:stone kiosk path:relieved reset stance:idle,v33-784546,True,False,False,False,False,True
122,11,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-820569,True,True,True,False,False,True
123,11,orchard_riverbend,orchard_riverbend:fen track:open forward lean:snapshot shared,v33-659673,True,True,True,False,False,True
124,11,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:idle,v33-841454,True,False,False,False,True,True
125,11,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:snapshot shared,v33-754726,False,False,True,False,False,True
126,11,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:snapshot shared,v33-822671,True,True,True,False,False,True
127,11,archive_signal,archive_signal:stone kiosk path:relieved reset stance:idle,v33-785140,True,False,False,False,False,True
128,11,signal_orchard,signal_orchard:dusk road:relieved reset stance:snapshot shared,v33-677526,True,True,True,False,False,True
129,11,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-802394,True,True,True,False,False,True
130,11,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-841296,True,False,True,False,False,True
131,11,riverbend_roofward,riverbend_roofward:river ford:relieved reset stance:snapshot shared,v33-754693,True,True,True,False,True,True
132,12,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-767468,True,False,True,False,True,True
133,12,signal_orchard,signal_orchard:dusk road:listening tilt:snapshot shared,v33-580355,True,True,True,False,False,True
134,12,orchard_riverbend,orchard_riverbend:market plank route:listening tilt:snapshot shared,v33-766494,True,True,True,False,False,True
135,12,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-876221,False,True,True,False,False,True
136,12,riverbend_roofward,riverbend_roofward:river ford:listening tilt:idle,v33-655696,True,False,False,False,False,True
137,12,roofward_archive,roofward_archive:cool archive lane:guarded crossed arms:snapshot shared,v33-805373,True,False,True,False,False,True
138,12,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768333,True,True,True,False,False,True
139,12,signal_orchard,signal_orchard:dusk road:listening tilt:idle,v33-580949,True,False,False,False,False,True
140,12,orchard_riverbend,orchard_riverbend:fen track:listening tilt:snapshot shared,v33-625368,False,True,True,False,False,True
141,12,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-842047,True,True,True,False,False,True
142,12,riverbend_roofward,riverbend_roofward:river ford:listening tilt:snapshot shared,v33-655532,True,False,True,False,False,True
143,12,roofward_archive,roofward_archive:glass stair:guarded crossed arms:snapshot shared,v33-720217,True,True,True,False,True,True
144,13,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768172,True,False,True,False,True,True
145,13,signal_orchard,signal_orchard:dusk road:route-board reach:idle,v33-613584,True,False,False,False,False,True
146,13,orchard_riverbend,orchard_riverbend:market plank route:route-board reach:snapshot shared,v33-801658,True,True,True,False,False,True
147,13,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:snapshot shared,v33-803281,True,True,True,False,False,True
148,13,riverbend_roofward,riverbend_roofward:river ford:route-board reach:idle,v33-689943,True,False,False,False,False,True
149,13,roofward_archive,roofward_archive:glass stair:guarded crossed arms:snapshot shared,v33-720944,True,False,True,False,False,True
150,13,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768145,False,True,True,False,False,True
151,13,signal_orchard,signal_orchard:dusk road:route-board reach:idle,v33-613286,True,False,False,False,False,True
152,13,orchard_riverbend,orchard_riverbend:fen track:route-board reach:snapshot shared,v33-659786,True,True,True,False,False,True
153,13,central_repair_ring,central_repair_ring:outer bell path:careful pointing:exchange pending,v33-769869,True,True,True,False,False,True
154,13,riverbend_roofward,riverbend_roofward:orchard ridge detour:route-board reach:snapshot shared,v33-842056,True,True,True,False,False,True
155,13,roofward_archive,roofward_archive:glass stair:guarded crossed arms:idle,v33-720646,False,False,False,False,True,True
156,14,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768876,True,False,True,False,True,True
157,14,signal_orchard,signal_orchard:dusk road:open forward lean:idle,v33-614079,True,False,False,False,False,True
158,14,orchard_riverbend,orchard_riverbend:market plank route:relieved reset stance:snapshot shared,v33-871599,True,True,True,False,False,True
159,14,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:snapshot shared,v33-803997,True,True,True,False,False,True
160,14,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:idle,v33-841957,True,False,False,False,False,True
161,14,roofward_archive,roofward_archive:glass stair:guarded crossed arms:snapshot shared,v33-720481,True,False,True,False,False,True
162,14,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768849,True,True,True,False,False,True
163,14,signal_orchard,signal_orchard:dusk road:open forward lean:idle,v33-613781,True,False,False,False,False,True
164,14,orchard_riverbend,orchard_riverbend:fen track:relieved reset stance:snapshot shared,v33-724686,True,True,True,False,False,True
165,14,central_repair_ring,central_repair_ring:outer bell path:careful pointing:snapshot shared,v33-770719,False,True,True,False,False,True
166,14,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-842695,True,False,True,False,False,True
167,14,roofward_archive,roofward_archive:glass stair:guarded crossed arms:idle,v33-721075,True,False,False,False,True,True
168,15,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-769580,True,False,True,False,True,True
169,15,signal_orchard,signal_orchard:dusk road:guarded crossed arms:idle,v33-661512,True,False,False,False,False,True
170,15,orchard_riverbend,orchard_riverbend:market plank route:guarded crossed arms:exchange pending,v33-852204,False,True,True,False,False,True
171,15,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:snapshot shared,v33-811427,True,True,True,False,False,True
172,15,riverbend_roofward,riverbend_roofward:orchard ridge detour:guarded crossed arms:idle,v33-893944,True,False,False,False,False,True
173,15,roofward_archive,roofward_archive:glass stair:guarded crossed arms:snapshot shared,v33-720910,True,False,True,False,False,True
174,15,archive_signal,archive_signal:stone kiosk path:guarded crossed arms:snapshot shared,v33-768319,True,True,True,False,False,True
175,15,signal_orchard,signal_orchard:river lantern loop:guarded crossed arms:snapshot shared,v33-803186,True,True,True,False,False,True
176,15,orchard_riverbend,orchard_riverbend:fen track:guarded crossed arms:snapshot shared,v33-708407,True,True,True,False,False,True
177,15,central_repair_ring,central_repair_ring:outer bell path:careful pointing:snapshot shared,v33-778957,True,True,True,False,False,True
178,15,riverbend_roofward,riverbend_roofward:orchard ridge detour:guarded crossed arms:snapshot shared,v33-894682,True,False,True,False,False,True
179,15,roofward_archive,roofward_archive:glass stair:guarded crossed arms:idle,v33-721504,True,False,False,False,True,True
180,16,archive_signal,archive_signal:stone kiosk path:open forward lean:snapshot shared,v33-718816,True,False,True,False,True,True
181,16,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:idle,v33-820522,True,False,False,False,False,True
182,16,orchard_riverbend,orchard_riverbend:market plank route:relieved reset stance:snapshot shared,v33-871029,True,True,True,False,False,True
183,16,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:snapshot shared,v33-811001,True,True,True,False,False,True
184,16,riverbend_roofward,riverbend_roofward:orchard ridge detour:relieved reset stance:idle,v33-912573,True,False,False,False,False,True
185,16,roofward_archive,roofward_archive:glass stair:open forward lean:snapshot shared,v33-673257,False,False,True,False,False,True
186,16,archive_signal,archive_signal:stone kiosk path:open forward lean:snapshot shared,v33-719681,True,True,True,False,True,True
187,16,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:idle,v33-821116,True,False,False,False,False,True
188,16,orchard_riverbend,orchard_riverbend:fen track:relieved reset stance:snapshot shared,v33-726197,True,True,True,False,False,True
189,16,central_repair_ring,central_repair_ring:outer bell path:careful pointing:snapshot shared,v33-778541,True,True,True,False,False,True
190,16,riverbend_roofward,riverbend_roofward:orchard ridge detour:relieved reset stance:snapshot shared,v33-912419,True,False,True,False,False,True
191,16,roofward_archive,roofward_archive:glass stair:open forward lean:snapshot shared,v33-672024,True,True,True,False,True,True
192,17,archive_signal,archive_signal:stone kiosk path:open forward lean:snapshot shared,v33-719520,True,False,True,False,True,True
193,17,signal_orchard,signal_orchard:river lantern loop:careful pointing:idle,v33-748385,True,False,False,False,False,True
194,17,orchard_riverbend,orchard_riverbend:market plank route:careful pointing:snapshot shared,v33-798089,True,True,True,False,False,True
195,17,central_repair_ring,central_repair_ring:inner repair yard:careful pointing:snapshot shared,v33-811863,False,True,True,False,False,True
196,17,riverbend_roofward,riverbend_roofward:orchard ridge detour:careful pointing:idle,v33-838305,True,False,False,False,False,True
197,17,roofward_archive,roofward_archive:glass stair:route-board reach:snapshot shared,v33-672552,True,False,True,False,False,True
198,17,archive_signal,archive_signal:stone kiosk path:route-board reach:snapshot shared,v33-720186,True,True,True,False,False,True
199,17,signal_orchard,signal_orchard:river lantern loop:careful pointing:idle,v33-748979,True,False,False,False,False,True
200,17,orchard_riverbend,orchard_riverbend:fen track:careful pointing:snapshot shared,v33-655541,False,True,True,False,False,True
201,17,central_repair_ring,central_repair_ring:outer bell path:careful pointing:snapshot shared,v33-777620,True,True,True,False,False,True
202,17,riverbend_roofward,riverbend_roofward:orchard ridge detour:careful pointing:snapshot shared,v33-837268,True,False,True,False,False,True
203,17,roofward_archive,roofward_archive:glass stair:route-board reach:snapshot shared,v33-678902,True,True,True,False,True,True
204,18,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:exchange pending,v33-820132,True,False,True,False,True,True
205,18,orchard_riverbend,orchard_riverbend:fen track:route-board reach:idle,v33-660490,True,False,False,False,False,True
206,18,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-851737,True,True,True,False,False,True
207,18,riverbend_roofward,riverbend_roofward:orchard ridge detour:careful pointing:snapshot shared,v33-837907,True,True,True,False,False,True
208,18,roofward_archive,roofward_archive:glass stair:route-board reach:idle,v33-679397,True,False,False,False,False,True
209,18,archive_signal,archive_signal:stone kiosk path:relieved reset stance:snapshot shared,v33-786590,True,False,True,False,False,True
210,18,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-820109,False,True,True,False,False,True
211,18,orchard_riverbend,orchard_riverbend:fen track:route-board reach:idle,v33-660192,True,False,False,False,False,True
212,18,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-885981,True,True,True,False,False,True
213,18,riverbend_roofward,riverbend_roofward:orchard ridge detour:careful pointing:snapshot shared,v33-845435,True,True,True,False,False,True
214,18,roofward_archive,roofward_archive:glass stair:route-board reach:snapshot shared,v33-679233,True,False,True,False,False,True
215,18,archive_signal,archive_signal:paper lane:relieved reset stance:snapshot shared,v33-692702,False,True,True,False,True,True
216,19,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-820842,True,False,True,False,True,True
217,19,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:snapshot shared,v33-801896,True,True,True,False,True,True
218,19,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-852591,True,True,True,False,False,True
219,19,riverbend_roofward,riverbend_roofward:river ford:route-board reach:snapshot shared,v33-697285,True,True,True,False,False,True
220,19,roofward_archive,roofward_archive:glass stair:open forward lean:idle,v33-679134,True,False,False,False,False,True
221,19,archive_signal,archive_signal:paper lane:relieved reset stance:exchange pending,v33-692404,True,False,True,False,False,True
222,19,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-820819,True,True,True,False,False,True
223,19,orchard_riverbend,orchard_riverbend:market plank route:open forward lean:idle,v33-801598,True,False,False,False,False,True
224,19,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-886843,True,True,True,False,False,True
225,19,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-851306,False,True,True,False,False,True
226,19,roofward_archive,roofward_archive:glass stair:open forward lean:snapshot shared,v33-679862,True,False,True,False,False,True
227,19,archive_signal,archive_signal:paper lane:relieved reset stance:idle,v33-692998,True,False,False,False,True,True
228,20,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-821552,True,False,True,False,True,True
229,20,orchard_riverbend,orchard_riverbend:market plank route:guarded crossed arms:idle,v33-853109,True,False,False,False,False,True
230,20,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-851310,False,True,True,False,False,True
231,20,riverbend_roofward,riverbend_roofward:river ford:open forward lean:snapshot shared,v33-697422,True,True,True,False,False,True
232,20,roofward_archive,roofward_archive:glass stair:guarded crossed arms:idle,v33-727961,True,False,False,False,False,True
233,20,archive_signal,archive_signal:paper lane:relieved reset stance:snapshot shared,v33-692831,True,False,True,False,False,True
234,20,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-821529,True,True,True,False,False,True
235,20,orchard_riverbend,orchard_riverbend:market plank route:guarded crossed arms:idle,v33-852811,True,False,False,False,False,True
236,20,central_repair_ring,central_repair_ring:inner repair yard:relieved reset stance:snapshot shared,v33-886444,True,True,True,False,False,True
237,20,riverbend_roofward,riverbend_roofward:orchard ridge detour:guarded crossed arms:snapshot shared,v33-902732,True,True,True,False,False,True
238,20,roofward_archive,roofward_archive:cool archive lane:guarded crossed arms:exchange pending,v33-814077,True,True,True,False,False,True
239,20,archive_signal,archive_signal:paper lane:relieved reset stance:idle,v33-693425,True,False,False,False,True,True
240,21,signal_orchard,signal_orchard:river lantern loop:relieved reset stance:snapshot shared,v33-821370,False,False,True,False,True,True
241,21,orchard_riverbend,orchard_riverbend:market plank route:relieved reset stance:idle,v33-870480,True,False,False,False,False,True
242,21,central_repair_ring,central_repair_ring:outer bell path:relieved reset stance:snapshot shared,v33-850894,True,True,True,False,False,True
243,21,riverbend_roofward,riverbend_roofward:river ford:guarded crossed arms:snapshot shared,v33-745748,True,True,True,False,False,True
244,21,roofward_archive,roofward_archive:cool archive lane:relieved reset stance:idle,v33-831524,True,False,False,False,False,True
