tick,event_type,year,actor_or_layer,public_fact,private_digest,learning_effect,mutation_effect,institution_effect,demographic_effect,readable_marker,vibration_hz,flower_phase
38,cultural_mutation,640,mut-route-q-suffix,ren mutates toward renoq; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-05,survival 10; continuity 0.76; risk 0.22,route-workshop accepts because old root remains,runner routes need motion marking,agents try new form at edge of old ritual,155.2,2
58,demographic_event,720,demo-flood-migration,migration changes population by 14: flood moved families toward dry route,sealed:demo-flood-migration:private-body-family-details,route suffix spreads,demographic pressure changes cultural selection,route-workshop added child path lessons,traceability 0.88; affected cohort-05;cohort-06,population marker changes without exposing private family records,325.1,11
6,generation_cohort,800,cohort-06,60 children inherit reed-route and choose: accepted a new rate chime but kept boundary words,sealed:cohort-private-child-lives,repair is care infrastructure,cohort may preserve or mutate inherited form,threshold-wardens,survival 0.84; need language teaching,children cluster near mentor bodies before choosing work,159.285763,6
7,generation_cohort,960,cohort-07,58 children inherit stone-work and choose: kept old warmth ritual despite faster ration queue,sealed:cohort-private-child-lives,private care histories are sealed,cohort may preserve or mutate inherited form,hearth-keepers,survival 0.71; need warmth,children cluster near mentor bodies before choosing work,166.890078,7
27,child_to_adult_learning,960,cohort-06,adolescent-council-observer learns tool return receipt through return dull tool to public board,sealed:cohort-06:child-learning-private-state,completion 0.81; transfer 0.77,phrase ariem renoq can mutate later,threshold-wardens,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",221.4,4
39,cultural_mutation,960,mut-cup-knot-colors,plain cup knots mutates toward color-safe cup knots; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-07,survival 8; continuity 0.81; risk 0.19,archive-speakers require private status not encoded,crowded cup shelf,agents try new form at edge of old ritual,168.4,3
50,institution_competition,980,contest-water,cistern-guild vs flower-council: water ledger accused stewards too quickly,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner flower-council; resolved=True; settlement countersign rule added,debt 0.08; legitimacy +0.07,council ring opens a gap for challenger and incumbent,301.0,3
59,demographic_event,1040,demo-cup-shelf-boom,birth-cohort-growth changes population by 19: dry cup shelf reduced winter illness-like absences,sealed:demo-cup-shelf-boom:private-body-family-details,cup privacy words stabilize,demographic pressure changes cultural selection,hearth and archive split cup labels,traceability 0.86; affected cohort-07,population marker changes without exposing private family records,326.55,12
8,generation_cohort,1120,cohort-08,60 children inherit stone-work and choose: changed route chant after flood season,sealed:cohort-private-child-lives,private care histories are sealed,cohort may preserve or mutate inherited form,route-workshop,survival 0.73; need safe routes,children cluster near mentor bodies before choosing work,175.819928,8
9,generation_cohort,1280,cohort-09,68 children inherit stone-work and choose: refused to expose private care names in lesson board,sealed:cohort-private-child-lives,minority notes stay beside rules,cohort may preserve or mutate inherited form,archive-speakers,survival 0.76; need sealed care,children cluster near mentor bodies before choosing work,184.833504,9
28,child_to_adult_learning,1280,cohort-08,child-play learns sealed archive practice through close archive flap before private story,sealed:cohort-08:child-learning-private-state,completion 0.85; transfer 0.81,phrase niax xenia can mutate later,route-workshop,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",223.6,5
40,cultural_mutation,1280,mut-water-accusation-wall,spoken correction mutates toward public countersign wall; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-09,survival 7; continuity 0.79; risk 0.25,cistern-guild wins contested adoption,water rumor season,agents try new form at edge of old ritual,181.6,4
51,institution_competition,1320,contest-care-history,hearth-keepers vs archive-speakers: care histories needed for medicine learning,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner archive-speakers; resolved=True; settlement sealed aggregate evidence only,debt 0.12; legitimacy +0.05,council ring opens a gap for challenger and incumbent,302.7,4
10,generation_cohort,1440,cohort-10,68 children inherit hearth-archive and choose: moved tool receipts to public wall,sealed:cohort-private-child-lives,minority notes stay beside rules,cohort may preserve or mutate inherited form,flower-council,survival 0.80; need water trust,children cluster near mentor bodies before choosing work,193.905239,10
41,cultural_mutation,1440,mut-fast-tool-claim,tool receipt mutates toward fast claim without witness; adopted=False,sealed:mutation-private-motive-map,source cohort cohort-10,survival 1; continuity 0.42; risk 0.61,flower-council rejects ownership capture,repair urgency,agents try new form at edge of old ritual,194.8,5
60,demographic_event,1520,demo-tool-wear-loss,labor-loss changes population by -6: tool wear injured repair schedule,sealed:demo-tool-wear-loss:private-body-family-details,repair apprenticeship becomes longer,demographic pressure changes cultural selection,tool-return receipt made wear visible,traceability 0.84; affected cohort-10,population marker changes without exposing private family records,328.0,1
11,generation_cohort,1600,cohort-11,72 children inherit hearth-archive and choose: split water duty into witness pairs,sealed:cohort-private-child-lives,rumor repair needs public action,cohort may preserve or mutate inherited form,cistern-guild,survival 0.80; need repair tools,children cluster near mentor bodies before choosing work,202.733793,11
29,child_to_adult_learning,1600,cohort-10,apprentice-body-practice learns runner route memory through walk dry path and mark flood stones,sealed:cohort-10:child-learning-private-state,completion 0.90; transfer 0.91,phrase miloq renoq can mutate later,flower-council,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",225.8,6
52,institution_competition,1700,contest-school-boundaries,lantern teachers vs route-workshop: children learned tools before boundary words,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner lantern teachers; resolved=True; settlement boundary phrase first curriculum,debt 0.06; legitimacy +0.03,council ring opens a gap for challenger and incumbent,304.4,5
12,generation_cohort,1760,cohort-12,79 children inherit hearth-archive and choose: accepted a new rate chime but kept boundary words,sealed:cohort-private-child-lives,rumor repair needs public action,cohort may preserve or mutate inherited form,threshold-wardens,survival 0.86; need language teaching,children cluster near mentor bodies before choosing work,211.987297,12
42,cultural_mutation,1760,mut-child-boundary-song,boundary phrase lesson mutates toward child-safe boundary song; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-12,survival 6; continuity 0.84; risk 0.16,lantern teachers adopt,school lantern expansion,agents try new form at edge of old ritual,208.0,6
61,demographic_event,1840,demo-lantern-school-expansion,learning-expansion changes population by 23: school lanterns allowed winter teaching,sealed:demo-lantern-school-expansion:private-body-family-details,boundary words taught before tools,demographic pressure changes cultural selection,child boundary song adopted,traceability 0.91; affected cohort-12;cohort-13,population marker changes without exposing private family records,329.45,2
13,generation_cohort,1920,cohort-13,76 children inherit flower-council-speech and choose: kept old warmth ritual despite faster ration queue,sealed:cohort-private-child-lives,moving work counts in triage,cohort may preserve or mutate inherited form,hearth-keepers,survival 0.72; need warmth,children cluster near mentor bodies before choosing work,219.518889,1
30,child_to_adult_learning,1920,cohort-12,adolescent-council-observer learns appeal circle posture through face minority speaker without crowding,sealed:cohort-12:child-learning-private-state,completion 0.54; transfer 0.50,phrase flor avra veyra can mutate later,threshold-wardens,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",228.0,7
14,generation_cohort,2080,cohort-14,82 children inherit flower-council-speech and choose: changed route chant after flood season,sealed:cohort-private-child-lives,moving work counts in triage,cohort may preserve or mutate inherited form,route-workshop,survival 0.76; need safe routes,children cluster near mentor bodies before choosing work,228.612272,2
43,cultural_mutation,2080,mut-rate-guilt-index,body-rate chime mutates toward rate guilt index; adopted=False,sealed:mutation-private-motive-map,source cohort cohort-14,survival 1; continuity 0.38; risk 0.74,archive-speakers reject because rates cannot prove guilt,sensor overconfidence,agents try new form at edge of old ritual,221.2,7
53,institution_competition,2120,contest-rate-chimes,rate keepers vs archive-speakers: rate indexes used as guilt hints,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner archive-speakers; resolved=True; settlement rate guilt index banned,debt 0.18; legitimacy +0.02,council ring opens a gap for challenger and incumbent,306.1,6
62,demographic_event,2160,demo-rate-chime-dispute,trust-loss changes population by -3: rate guilt index caused avoidance,sealed:demo-rate-chime-dispute:private-body-family-details,rates guide care but do not prove guilt,demographic pressure changes cultural selection,archive-speakers banned motive inference,traceability 0.82; affected cohort-14,population marker changes without exposing private family records,330.9,3
15,generation_cohort,2240,cohort-15,84 children inherit flower-council-speech and choose: refused to expose private care names in lesson board,sealed:cohort-private-child-lives,boundary phrases precede tool names,cohort may preserve or mutate inherited form,archive-speakers,survival 0.78; need sealed care,children cluster near mentor bodies before choosing work,237.537034,3
31,child_to_adult_learning,2240,cohort-14,child-play learns body-boundary words through stand near warmth stone and decline public naming,sealed:cohort-14:child-learning-private-state,completion 0.77; transfer 0.72,phrase ko-avra flor can mutate later,route-workshop,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",230.2,8
44,cultural_mutation,2240,mut-minority-seed-vote,minority note mutates toward minority seed vote; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-15,survival 5; continuity 0.72; risk 0.31,flower-council adopts with rollback,council fatigue,agents try new form at edge of old ritual,234.4,8
16,generation_cohort,2400,cohort-16,87 children inherit cistern-appeal and choose: moved tool receipts to public wall,sealed:cohort-private-child-lives,boundary phrases precede tool names,cohort may preserve or mutate inherited form,flower-council,survival 0.81; need water trust,children cluster near mentor bodies before choosing work,246.507212,4
54,institution_competition,2440,contest-minority-fatigue,flower-council vs route-workshop: minority notes slowed emergency rules,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,"winner flower-council; resolved=True; settlement dissent timer added, not removed",debt 0.16; legitimacy +0.01,council ring opens a gap for challenger and incumbent,307.8,7
17,generation_cohort,2560,cohort-17,91 children inherit cistern-appeal and choose: split water duty into witness pairs,sealed:cohort-private-child-lives,rates guide care but do not prove guilt,cohort may preserve or mutate inherited form,cistern-guild,survival 0.83; need repair tools,children cluster near mentor bodies before choosing work,255.47949,5
32,child_to_adult_learning,2560,cohort-16,apprentice-body-practice learns water carrying duty through carry small water bowl with witness pair,sealed:cohort-16:child-learning-private-state,completion 0.81; transfer 0.82,phrase vey-sola neshla can mutate later,flower-council,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",232.4,9
45,cultural_mutation,2560,mut-runner-night-map,map chant mutates toward glowing runner map; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-17,survival 4; continuity 0.77; risk 0.27,runner guilds preserve old chant under map,dark winter routes,agents try new form at edge of old ritual,247.6,9
63,demographic_event,2640,demo-road-house-mixing,migration changes population by 31: runner roads connected far houses,sealed:demo-road-house-mixing:private-body-family-details,language drift accelerates,demographic pressure changes cultural selection,market creole begins,traceability 0.79; affected cohort-17;cohort-18,population marker changes without exposing private family records,332.35,4
18,generation_cohort,2720,cohort-18,96 children inherit cistern-appeal and choose: accepted a new rate chime but kept boundary words,sealed:cohort-private-child-lives,rates guide care but do not prove guilt,cohort may preserve or mutate inherited form,threshold-wardens,survival 0.83; need language teaching,children cluster near mentor bodies before choosing work,264.207666,6
19,generation_cohort,2880,cohort-19,98 children inherit runner-trade and choose: kept old warmth ritual despite faster ration queue,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,hearth-keepers,survival 0.71; need warmth,children cluster near mentor bodies before choosing work,271.854276,7
33,child_to_adult_learning,2880,cohort-18,adolescent-council-observer learns tool return receipt through return dull tool to public board,sealed:cohort-18:child-learning-private-state,completion 0.85; transfer 0.81,phrase ariem renoq can mutate later,threshold-wardens,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",234.6,10
46,cultural_mutation,2880,mut-threshold-short-brief,deep-history briefing mutates toward short avatar greeting; adopted=False,sealed:mutation-private-motive-map,source cohort cohort-19,survival 1; continuity 0.46; risk 0.66,threshold-wardens reject thin history,outsider curiosity,agents try new form at edge of old ritual,260.8,10
55,institution_competition,3000,contest-threshold-brief,threshold-wardens vs market houses: market wanted early avatar trade,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner threshold-wardens; resolved=True; settlement entry delayed until deep briefing,debt 0.05; legitimacy +0.06,council ring opens a gap for challenger and incumbent,309.5,8
20,generation_cohort,3040,cohort-20,98 children inherit runner-trade and choose: changed route chant after flood season,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,route-workshop,survival 0.76; need safe routes,children cluster near mentor bodies before choosing work,281.09443,8
64,demographic_event,3120,demo-threshold-watch,birth-cohort-growth changes population by 17: threshold schools prepare for possible avatar era,sealed:demo-threshold-watch:private-body-family-details,deep history becomes child lesson,demographic pressure changes cultural selection,threshold wardens expand briefing ritual,traceability 0.87; affected cohort-20,population marker changes without exposing private family records,333.8,5
21,generation_cohort,3200,cohort-21,102 children inherit runner-trade and choose: refused to expose private care names in lesson board,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,archive-speakers,survival 0.76; need sealed care,children cluster near mentor bodies before choosing work,289.861496,9
34,child_to_adult_learning,3200,cohort-20,child-play learns sealed archive practice through close archive flap before private story,sealed:cohort-20:child-learning-private-state,completion 0.90; transfer 0.86,phrase niax xenia can mutate later,route-workshop,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",236.8,11
47,cultural_mutation,3200,mut-replay-apology-knot,apology knot mutates toward replay apology knot; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-21,survival 3; continuity 0.74; risk 0.28,appeal circles adopt partial replay,restorative appeal delays,agents try new form at edge of old ritual,274.0,11
22,generation_cohort,3360,cohort-22,104 children inherit lantern-school and choose: moved tool receipts to public wall,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,flower-council,survival 0.81; need water trust,children cluster near mentor bodies before choosing work,299.057493,10
56,institution_competition,3480,contest-replay-ownership,archive-speakers vs runner guilds: replay wall failed to credit moving work,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner unresolved; resolved=False; settlement temporary dual annotation; debt remains,debt 0.24; legitimacy -0.02,council ring opens a gap for challenger and incumbent,311.2,9
23,generation_cohort,3520,cohort-23,112 children inherit lantern-school and choose: split water duty into witness pairs,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,cistern-guild,survival 0.82; need repair tools,children cluster near mentor bodies before choosing work,307.870742,11
35,child_to_adult_learning,3520,cohort-22,apprentice-body-practice learns runner route memory through walk dry path and mark flood stones,sealed:cohort-22:child-learning-private-state,completion 0.72; transfer 0.73,phrase miloq renoq can mutate later,flower-council,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",239.0,12
48,cultural_mutation,3520,mut-common-threshold-creole,threshold-common mutates toward threshold market creole; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-23,survival 1; continuity 0.69; risk 0.34,archive-speakers document drift without forcing purity but survival is not proven yet,trade with road houses,agents try new form at edge of old ritual,287.2,12
65,demographic_event,3520,demo-replay-wall-debt,trust-loss changes population by -2: runner work undercredited by replay wall,sealed:demo-replay-wall-debt:private-body-family-details,public replay needs authorship memory,demographic pressure changes cultural selection,dual annotation added but debt remains,traceability 0.76; affected cohort-23,population marker changes without exposing private family records,335.25,6
24,generation_cohort,3680,cohort-24,108 children inherit lantern-school and choose: accepted a new rate chime but kept boundary words,sealed:cohort-private-child-lives,avatar entry requires deep-history briefing,cohort may preserve or mutate inherited form,threshold-wardens,survival 0.85; need language teaching,children cluster near mentor bodies before choosing work,316.901007,12
66,late_avatar_entry_protocol,3728,late-avatar-entry-after-autonomous-generations,"Avatar receives cohort history, child-learning norms, mutation ledger, institution contest outcomes, and unresolved social debts before free movement.",sealed:avatar-no-private-child-workspaces,learning episodes 12/10,avatar arrives after mutation ledger closes pre-entry phase,contests 8/8; gate True,pre-avatar years 3698/3600; interference False,avatar stands outside school-ring until wardens finish briefing,333.0,12
36,child_to_adult_learning,3840,cohort-24,adolescent-council-observer learns appeal circle posture through face minority speaker without crowding,sealed:cohort-24:child-learning-private-state,completion 0.58; transfer 0.55,phrase flor avra veyra can mutate later,threshold-wardens,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",241.2,1
