tick,day,scene_id,agent,previous_reaction,consequence_kind,path_bias_x,path_bias_y,access_gate_state,object_request_bias,followup_changed,behavior_consequence_score
45,3,v23-scene-d03,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.7
46,3,v23-scene-d03,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
47,3,v23-scene-d03,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
48,4,v23-scene-d04,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
49,4,v23-scene-d04,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
50,4,v23-scene-d04,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
51,4,v23-scene-d04,Ori,watching,watchful-default,0.04,0.02,conditional,0,0,0.75
52,4,v23-scene-d04,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
53,4,v23-scene-d04,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
54,4,v23-scene-d04,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
55,4,v23-scene-d04,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
56,4,v23-scene-d04,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
57,4,v23-scene-d04,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
58,4,v23-scene-d04,Vonn,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
59,4,v23-scene-d04,Ori,watching,watchful-default,0.04,0.02,conditional,0,0,0.75
60,4,v23-scene-d04,Vonn,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
61,4,v23-scene-d04,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
62,4,v23-scene-d04,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
63,4,v23-scene-d04,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
64,5,v23-scene-d05,Nari,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
65,5,v23-scene-d05,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
66,5,v23-scene-d05,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
67,5,v23-scene-d05,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
68,5,v23-scene-d05,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
69,5,v23-scene-d05,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
70,5,v23-scene-d05,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
71,5,v23-scene-d05,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
72,5,v23-scene-d05,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
73,5,v23-scene-d05,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
74,5,v23-scene-d05,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
75,5,v23-scene-d05,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
76,5,v23-scene-d05,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
77,5,v23-scene-d05,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
78,5,v23-scene-d05,Ori,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
79,5,v23-scene-d05,Ori,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
80,6,v23-scene-d06,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
81,6,v23-scene-d06,Vonn,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
82,6,v23-scene-d06,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
83,6,v23-scene-d06,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
84,6,v23-scene-d06,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
85,6,v23-scene-d06,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
86,6,v23-scene-d06,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
87,6,v23-scene-d06,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
88,6,v23-scene-d06,Ori,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
89,6,v23-scene-d06,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
90,6,v23-scene-d06,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
91,6,v23-scene-d06,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
92,6,v23-scene-d06,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
93,6,v23-scene-d06,Ori,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
94,6,v23-scene-d06,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
95,6,v23-scene-d06,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
96,7,v23-scene-d07,Ori,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
97,7,v23-scene-d07,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
98,7,v23-scene-d07,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
99,7,v23-scene-d07,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
100,7,v23-scene-d07,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
101,7,v23-scene-d07,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
102,7,v23-scene-d07,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
103,7,v23-scene-d07,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
104,7,v23-scene-d07,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
105,7,v23-scene-d07,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
106,7,v23-scene-d07,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
107,7,v23-scene-d07,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
108,7,v23-scene-d07,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
109,7,v23-scene-d07,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
110,7,v23-scene-d07,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
111,7,v23-scene-d07,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
112,8,v23-scene-d08,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
113,8,v23-scene-d08,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
114,8,v23-scene-d08,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
115,8,v23-scene-d08,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
116,8,v23-scene-d08,Melo,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
117,8,v23-scene-d08,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
118,8,v23-scene-d08,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
119,8,v23-scene-d08,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
120,8,v23-scene-d08,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
121,8,v23-scene-d08,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
122,8,v23-scene-d08,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
123,8,v23-scene-d08,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
124,8,v23-scene-d08,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
125,8,v23-scene-d08,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
126,8,v23-scene-d08,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
127,8,v23-scene-d08,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
128,9,v23-scene-d09,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
129,9,v23-scene-d09,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
130,9,v23-scene-d09,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
131,9,v23-scene-d09,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
132,9,v23-scene-d09,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.55
133,9,v23-scene-d09,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
134,9,v23-scene-d09,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
135,9,v23-scene-d09,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
136,9,v23-scene-d09,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
137,9,v23-scene-d09,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
138,9,v23-scene-d09,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
139,9,v23-scene-d09,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
140,9,v23-scene-d09,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
141,9,v23-scene-d09,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
142,9,v23-scene-d09,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
143,9,v23-scene-d09,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
144,10,v23-scene-d10,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
145,10,v23-scene-d10,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
146,10,v23-scene-d10,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
147,10,v23-scene-d10,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
148,10,v23-scene-d10,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
149,10,v23-scene-d10,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
150,10,v23-scene-d10,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
151,10,v23-scene-d10,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
152,10,v23-scene-d10,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
153,10,v23-scene-d10,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
154,10,v23-scene-d10,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
155,10,v23-scene-d10,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
156,10,v23-scene-d10,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
157,10,v23-scene-d10,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
158,10,v23-scene-d10,Sova,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
159,10,v23-scene-d10,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
160,11,v23-scene-d11,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.5
161,11,v23-scene-d11,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
162,11,v23-scene-d11,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
163,11,v23-scene-d11,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
164,11,v23-scene-d11,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
165,11,v23-scene-d11,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
166,11,v23-scene-d11,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
167,11,v23-scene-d11,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
168,11,v23-scene-d11,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
169,11,v23-scene-d11,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
170,11,v23-scene-d11,Ori,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
171,11,v23-scene-d11,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
172,11,v23-scene-d11,Ori,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
173,11,v23-scene-d11,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
174,11,v23-scene-d11,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
175,11,v23-scene-d11,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
176,12,v23-scene-d12,Melo,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
177,12,v23-scene-d12,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
178,12,v23-scene-d12,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.55
179,12,v23-scene-d12,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
180,12,v23-scene-d12,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
181,12,v23-scene-d12,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
182,12,v23-scene-d12,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
183,12,v23-scene-d12,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
184,12,v23-scene-d12,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
185,12,v23-scene-d12,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
186,12,v23-scene-d12,Vonn,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
187,12,v23-scene-d12,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
188,12,v23-scene-d12,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
189,12,v23-scene-d12,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
190,12,v23-scene-d12,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
191,12,v23-scene-d12,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
192,13,v23-scene-d13,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
193,13,v23-scene-d13,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
194,13,v23-scene-d13,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
195,13,v23-scene-d13,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
196,13,v23-scene-d13,Nari,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
197,13,v23-scene-d13,Vonn,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
198,13,v23-scene-d13,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
199,13,v23-scene-d13,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
200,13,v23-scene-d13,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
201,13,v23-scene-d13,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
202,13,v23-scene-d13,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
203,13,v23-scene-d13,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
204,13,v23-scene-d13,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
205,13,v23-scene-d13,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
206,13,v23-scene-d13,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
207,13,v23-scene-d13,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
208,14,v23-scene-d14,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
209,14,v23-scene-d14,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
210,14,v23-scene-d14,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
211,14,v23-scene-d14,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
212,14,v23-scene-d14,Melo,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
213,14,v23-scene-d14,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
214,14,v23-scene-d14,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
215,14,v23-scene-d14,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
216,14,v23-scene-d14,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
217,14,v23-scene-d14,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
218,14,v23-scene-d14,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
219,14,v23-scene-d14,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
220,14,v23-scene-d14,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
221,14,v23-scene-d14,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
222,14,v23-scene-d14,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
223,14,v23-scene-d14,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
224,15,v23-scene-d15,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
225,15,v23-scene-d15,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
226,15,v23-scene-d15,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
227,15,v23-scene-d15,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
228,15,v23-scene-d15,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
229,15,v23-scene-d15,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
230,15,v23-scene-d15,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
231,15,v23-scene-d15,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
232,15,v23-scene-d15,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
233,15,v23-scene-d15,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
234,15,v23-scene-d15,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
235,15,v23-scene-d15,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
236,15,v23-scene-d15,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
237,15,v23-scene-d15,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
238,15,v23-scene-d15,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
239,15,v23-scene-d15,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
240,16,v23-scene-d16,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
241,16,v23-scene-d16,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
242,16,v23-scene-d16,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
243,16,v23-scene-d16,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
244,16,v23-scene-d16,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
245,16,v23-scene-d16,Keth,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
246,16,v23-scene-d16,Ori,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
247,16,v23-scene-d16,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
248,16,v23-scene-d16,Ori,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
249,16,v23-scene-d16,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
250,16,v23-scene-d16,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
251,16,v23-scene-d16,Keth,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
252,16,v23-scene-d16,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
253,16,v23-scene-d16,Keth,asks-space,avoidance-path,-0.34,0.22,closed,1,1,0.95
254,16,v23-scene-d16,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
255,16,v23-scene-d16,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
256,17,v23-scene-d17,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
257,17,v23-scene-d17,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.9
258,17,v23-scene-d17,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
259,17,v23-scene-d17,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
260,17,v23-scene-d17,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
261,17,v23-scene-d17,Nari,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
262,17,v23-scene-d17,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
263,17,v23-scene-d17,Keth,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
264,17,v23-scene-d17,Vonn,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
265,17,v23-scene-d17,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
266,17,v23-scene-d17,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
267,17,v23-scene-d17,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
268,17,v23-scene-d17,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
269,17,v23-scene-d17,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
270,17,v23-scene-d17,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
271,17,v23-scene-d17,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
272,18,v23-scene-d18,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
273,18,v23-scene-d18,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
274,18,v23-scene-d18,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
275,18,v23-scene-d18,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
276,18,v23-scene-d18,Nari,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
277,18,v23-scene-d18,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
278,18,v23-scene-d18,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
279,18,v23-scene-d18,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
280,18,v23-scene-d18,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
281,18,v23-scene-d18,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
282,18,v23-scene-d18,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
283,18,v23-scene-d18,Ori,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
284,18,v23-scene-d18,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
285,18,v23-scene-d18,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
286,18,v23-scene-d18,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
287,18,v23-scene-d18,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
288,19,v23-scene-d19,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
289,19,v23-scene-d19,Keth,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
290,19,v23-scene-d19,Vonn,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
291,19,v23-scene-d19,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
292,19,v23-scene-d19,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
