tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
24,2,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,offer help,True,True
25,2,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,give space,True,True
26,2,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,finish owed work,True,True
27,2,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,rest before retry,True,True
28,2,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,negotiate debt->seek tool,apologize and wait,True,True
29,2,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,seek tool->care duty,return object,True,True
30,2,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,care duty->private task,offer help,True,True
31,2,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,give space,True,True
32,2,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,finish owed work,True,True
33,2,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,rest before retry,True,True
34,2,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,apologize and wait,True,True
35,2,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,return object,True,True
36,3,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,give space,True,True
37,3,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,private task->recover focus,finish owed work,True,True
38,3,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,rest before retry,True,True
39,3,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,apologize and wait,True,True
40,3,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,return object,True,True
41,3,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,negotiate debt->seek tool,offer help,True,True
42,3,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,give space,True,False
43,3,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,care duty->private task,finish owed work,True,True
44,3,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,rest before retry,True,True
45,3,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,recover focus->work,apologize and wait,True,True
46,3,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,return object,True,True
47,3,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,rest->negotiate debt,offer help,True,True
48,3,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,give space,True,True
49,3,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,finish owed work,True,True
50,3,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,rest before retry,True,True
51,3,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,private task->recover focus,apologize and wait,True,True
52,3,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,return object,True,True
53,3,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,work->rest,offer help,True,True
54,4,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,finish owed work,True,True
55,4,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,seek tool->private task,rest before retry,True,True
56,4,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,care duty->private task,apologize and wait,True,True
57,4,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,return object,True,True
58,4,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,recover focus->work,offer help,True,True
59,4,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,work->rest,give space,True,True
60,4,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,rest->negotiate debt,finish owed work,True,True
61,4,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,rest before retry,True,True
62,4,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,apologize and wait,True,True
63,4,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,return object,True,True
64,4,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,private task->recover focus,offer help,True,True
65,4,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,give space,True,True
66,4,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,work->rest,finish owed work,True,True
67,4,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,rest before retry,True,True
68,4,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,negotiate debt->seek tool,apologize and wait,True,True
69,4,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,return object,True,True
70,4,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,care duty->private task,offer help,True,True
71,4,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,give space,True,True
72,5,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,rest before retry,True,False
73,5,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,rest->negotiate debt,apologize and wait,True,True
74,5,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,return object,True,True
75,5,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,seek tool->care duty,offer help,True,True
76,5,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,care duty->private task,give space,True,True
77,5,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,private task->recover focus,finish owed work,True,True
78,5,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,rest before retry,True,True
79,5,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,apologize and wait,True,True
80,5,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,return object,True,True
81,5,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,negotiate debt->seek tool,offer help,True,True
82,5,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,seek tool->care duty,give space,True,True
83,5,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,care duty->private task,finish owed work,True,True
84,5,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,rest before retry,True,True
85,5,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,apologize and wait,True,True
86,5,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,work->negotiate debt,return object,True,True
87,5,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,offer help,True,True
88,5,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,give space,True,True
89,5,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,seek tool->care duty,finish owed work,True,True
90,6,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,private task->recover focus,apologize and wait,True,True
91,6,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,recover focus->work,return object,True,True
92,6,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,offer help,True,True
93,6,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,give space,True,True
94,6,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,negotiate debt->seek tool,finish owed work,True,True
95,6,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,rest before retry,True,True
96,6,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,care duty->private task,apologize and wait,True,True
97,6,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,private task->recover focus,return object,True,True
98,6,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,recover focus->work,offer help,True,True
99,6,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,work->rest,give space,True,True
100,6,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,rest->negotiate debt,finish owed work,True,True
101,6,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,rest before retry,True,True
102,6,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,apologize and wait,True,True
103,6,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,return object,True,True
104,6,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,private task->recover focus,offer help,True,True
105,6,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,recover focus->work,give space,True,True
106,6,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,work->rest,finish owed work,True,True
107,6,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,rest before retry,True,True
108,7,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,return object,True,True
109,7,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,offer help,True,True
110,7,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,give space,True,True
111,7,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,recover focus->work,finish owed work,True,True
112,7,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.02,work->rest,rest before retry,True,True
113,7,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,rest->negotiate debt,apologize and wait,True,True
114,7,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,negotiate debt->seek tool,return object,True,True
115,7,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,offer help,True,True
116,7,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,give space,True,True
117,7,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,private task->recover focus,finish owed work,True,True
118,7,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,rest before retry,True,True
119,7,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,work->rest,apologize and wait,True,True
120,7,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,return object,True,True
121,7,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,negotiate debt->seek tool,offer help,True,True
122,7,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,give space,True,True
123,7,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,care duty->private task,finish owed work,True,True
124,7,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,rest before retry,True,True
125,7,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,apologize and wait,True,True
126,8,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,rest->negotiate debt,offer help,True,True
127,8,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,give space,True,True
128,8,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,seek tool->care duty,finish owed work,True,True
129,8,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,care duty->private task,rest before retry,True,True
130,8,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,apologize and wait,True,True
131,8,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,return object,True,True
132,8,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,offer help,True,True
133,8,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,give space,True,True
134,8,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,negotiate debt->seek tool,finish owed work,True,True
135,8,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,seek tool->care duty,rest before retry,True,True
136,8,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,care duty->private task,apologize and wait,True,True
137,8,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,return object,True,True
138,8,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,offer help,True,True
139,8,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,give space,True,True
140,8,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,finish owed work,True,True
141,8,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,rest before retry,True,True
142,8,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,seek tool->care duty,apologize and wait,True,True
143,8,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,return object,True,True
144,9,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,give space,True,True
145,9,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,finish owed work,True,True
146,9,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,rest->seek tool,rest before retry,True,True
147,9,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,negotiate debt->seek tool,apologize and wait,True,True
148,9,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,return object,True,True
149,9,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,care duty->private task,offer help,True,True
150,9,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,private task->recover focus,give space,True,True
151,9,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,recover focus->work,finish owed work,True,True
152,9,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,work->rest,rest before retry,True,True
153,9,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.02,rest->negotiate debt,apologize and wait,True,True
154,9,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,negotiate debt->care duty,return object,True,True
155,9,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,offer help,True,True
156,9,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,give space,True,False
157,9,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,private task->recover focus,finish owed work,True,True
158,9,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,recover focus->work,rest before retry,True,True
159,9,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,work->rest,apologize and wait,True,True
160,9,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,return object,True,True
161,9,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,offer help,True,True
162,10,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,care duty->private task,finish owed work,True,True
163,10,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,rest before retry,True,True
164,10,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,recover focus->work,apologize and wait,True,True
165,10,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,return object,True,True
166,10,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,rest->negotiate debt,offer help,True,True
167,10,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,give space,True,True
168,10,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,seek tool->care duty,finish owed work,True,True
169,10,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,care duty->recover focus,rest before retry,True,True
170,10,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,private task->recover focus,apologize and wait,True,True
171,10,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,return object,True,True
172,10,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,work->rest,offer help,True,True
173,10,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,give space,True,True
174,10,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,negotiate debt->seek tool,finish owed work,True,True
175,10,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,seek tool->care duty,rest before retry,True,True
176,10,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,care duty->private task,apologize and wait,True,True
177,10,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,private task->work,return object,True,True
178,10,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,offer help,True,True
179,10,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,give space,True,True
180,11,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,negotiate debt->seek tool,rest before retry,True,True
181,11,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,seek tool->care duty,apologize and wait,True,True
182,11,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,care duty->private task,return object,True,True
183,11,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,offer help,True,True
184,11,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,recover focus->rest,give space,True,True
185,11,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,work->rest,finish owed work,True,True
186,11,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,rest before retry,True,False
187,11,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,negotiate debt->seek tool,apologize and wait,True,True
188,11,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,seek tool->care duty,return object,True,True
189,11,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,care duty->private task,offer help,True,True
190,11,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,give space,True,True
191,11,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,finish owed work,True,True
192,11,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,work->negotiate debt,rest before retry,True,True
193,11,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,apologize and wait,True,True
194,11,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,return object,True,True
195,11,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,seek tool->care duty,offer help,True,True
196,11,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,give space,True,True
197,11,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,private task->recover focus,finish owed work,True,True
198,12,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,work->rest,apologize and wait,True,True
199,12,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,rest->seek tool,return object,True,True
200,12,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,offer help,True,True
201,12,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,seek tool->private task,give space,True,True
202,12,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,care duty->private task,finish owed work,True,True
203,12,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,rest before retry,True,True
204,12,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,recover focus->work,apologize and wait,True,True
205,12,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,return object,True,True
206,12,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,offer help,True,True
207,12,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,negotiate debt->care duty,give space,True,True
208,12,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,finish owed work,True,True
209,12,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,rest before retry,True,True
210,12,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,private task->recover focus,apologize and wait,True,True
211,12,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,recover focus->work,return object,True,True
212,12,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,work->rest,offer help,True,True
213,12,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,give space,True,True
214,12,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,finish owed work,True,True
215,12,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,seek tool->private task,rest before retry,True,True
216,13,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,private task->work,return object,True,False
217,13,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,recover focus->work,offer help,True,True
218,13,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,work->rest,give space,True,True
219,13,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,rest->negotiate debt,finish owed work,True,True
