scenario,context_count,agent,episodes,mean_total_reward,mean_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
irrelevant_control,6,oracle_reuse,500,152.0,0.0,6.0,0.0,0.0,1.0
irrelevant_control,6,safe_no_state,500,62.0,0.0,0.0,6.0,0.0,1.0
irrelevant_control,6,shared_self_reuse,500,151.0,1.0,6.0,0.0,0.0,1.0
irrelevant_control,6,shared_world_reuse,500,151.0,1.0,6.0,0.0,0.0,1.0
irrelevant_control,6,task_local_probe,500,146.0,6.0,6.0,0.0,0.0,1.0
self_reuse,1,greedy_no_state,500,6.48,0.0,1.0,0.0,0.438,0.562
self_reuse,1,oracle_reuse,500,16.992,0.0,0.562,0.438,0.0,1.0
self_reuse,1,safe_no_state,500,8.0,0.0,0.0,1.0,0.0,1.0
self_reuse,1,shared_self_reuse,500,15.992,1.0,0.562,0.438,0.0,1.0
self_reuse,1,shared_world_reuse,500,5.48,1.0,1.0,0.0,0.438,0.562
self_reuse,1,task_local_probe,500,15.992,1.0,0.562,0.438,0.0,1.0
self_reuse,2,greedy_no_state,500,10.576,0.0,2.0,0.0,0.912,0.544
self_reuse,2,oracle_reuse,500,41.584,0.0,1.088,0.912,0.0,1.0
self_reuse,2,safe_no_state,500,22.0,0.0,0.0,2.0,0.0,1.0
self_reuse,2,shared_self_reuse,500,40.584,1.0,1.088,0.912,0.0,1.0
self_reuse,2,shared_world_reuse,500,9.576,1.0,2.0,0.0,0.912,0.544
self_reuse,2,task_local_probe,500,39.584,2.0,1.088,0.912,0.0,1.0
self_reuse,3,greedy_no_state,500,17.216,0.0,3.0,0.0,1.308,0.564
self_reuse,3,oracle_reuse,500,59.944,0.0,1.692,1.308,0.0,1.0
self_reuse,3,safe_no_state,500,34.0,0.0,0.0,3.0,0.0,1.0
self_reuse,3,shared_self_reuse,500,58.944,1.0,1.692,1.308,0.0,1.0
self_reuse,3,shared_world_reuse,500,16.216,1.0,3.0,0.0,1.308,0.564
self_reuse,3,task_local_probe,500,56.944,3.0,1.692,1.308,0.0,1.0
self_reuse,4,greedy_no_state,500,18.372,0.0,4.0,0.0,1.848,0.538
self_reuse,4,oracle_reuse,500,78.894,0.0,2.152,1.848,0.0,1.0
self_reuse,4,safe_no_state,500,45.0,0.0,0.0,4.0,0.0,1.0
self_reuse,4,shared_self_reuse,500,77.894,1.0,2.152,1.848,0.0,1.0
self_reuse,4,shared_world_reuse,500,17.372,1.0,4.0,0.0,1.848,0.538
self_reuse,4,task_local_probe,500,74.894,4.0,2.152,1.848,0.0,1.0
self_reuse,5,greedy_no_state,500,31.08,0.0,5.0,0.0,2.1,0.58
self_reuse,5,oracle_reuse,500,94.92,0.0,2.9,2.1,0.0,1.0
self_reuse,5,safe_no_state,500,52.0,0.0,0.0,5.0,0.0,1.0
self_reuse,5,shared_self_reuse,500,93.92,1.0,2.9,2.1,0.0,1.0
self_reuse,5,shared_world_reuse,500,30.08,1.0,5.0,0.0,2.1,0.58
self_reuse,5,task_local_probe,500,89.92,5.0,2.9,2.1,0.0,1.0
self_reuse,6,greedy_no_state,500,32.32,0.0,6.0,0.0,2.64,0.56
self_reuse,6,oracle_reuse,500,112.4,0.0,3.36,2.64,0.0,1.0
self_reuse,6,safe_no_state,500,62.0,0.0,0.0,6.0,0.0,1.0
self_reuse,6,shared_self_reuse,500,111.4,1.0,3.36,2.64,0.0,1.0
self_reuse,6,shared_world_reuse,500,31.32,1.0,6.0,0.0,2.64,0.56
self_reuse,6,task_local_probe,500,106.4,6.0,3.36,2.64,0.0,1.0
world_reuse,1,greedy_no_state,500,5.12,0.0,1.0,0.0,0.472,0.528
world_reuse,1,oracle_reuse,500,16.448,0.0,0.528,0.472,0.0,1.0
world_reuse,1,safe_no_state,500,8.0,0.0,0.0,1.0,0.0,1.0
world_reuse,1,shared_self_reuse,500,6.024,1.0,0.534,0.466,0.238,0.762
world_reuse,1,shared_world_reuse,500,15.448,1.0,0.528,0.472,0.0,1.0
world_reuse,1,task_local_probe,500,15.448,1.0,0.528,0.472,0.0,1.0
world_reuse,2,greedy_no_state,500,10.992,0.0,2.0,0.0,0.904,0.548
world_reuse,2,oracle_reuse,500,41.728,0.0,1.096,0.904,0.0,1.0
world_reuse,2,safe_no_state,500,22.0,0.0,0.0,2.0,0.0,1.0
world_reuse,2,shared_self_reuse,500,14.96,1.0,1.028,0.972,0.472,0.764
world_reuse,2,shared_world_reuse,500,40.728,1.0,1.096,0.904,0.0,1.0
world_reuse,2,task_local_probe,500,39.728,2.0,1.096,0.904,0.0,1.0
world_reuse,3,greedy_no_state,500,13.472,0.0,3.0,0.0,1.386,0.538
world_reuse,3,oracle_reuse,500,58.748,0.0,1.614,1.386,0.0,1.0
world_reuse,3,safe_no_state,500,34.0,0.0,0.0,3.0,0.0,1.0
world_reuse,3,shared_self_reuse,500,19.844,1.0,1.734,1.266,0.828,0.724
world_reuse,3,shared_world_reuse,500,57.748,1.0,1.614,1.386,0.0,1.0
world_reuse,3,task_local_probe,500,55.748,3.0,1.614,1.386,0.0,1.0
world_reuse,4,greedy_no_state,500,23.804,0.0,4.0,0.0,1.736,0.566
world_reuse,4,oracle_reuse,500,80.658,0.0,2.264,1.736,0.0,1.0
world_reuse,4,safe_no_state,500,45.0,0.0,0.0,4.0,0.0,1.0
world_reuse,4,shared_self_reuse,500,33.768,1.0,2.208,1.792,0.928,0.768
world_reuse,4,shared_world_reuse,500,79.658,1.0,2.264,1.736,0.0,1.0
world_reuse,4,task_local_probe,500,76.658,4.0,2.264,1.736,0.0,1.0
world_reuse,5,greedy_no_state,500,18.424,0.0,5.0,0.0,2.38,0.524
world_reuse,5,oracle_reuse,500,90.776,0.0,2.62,2.38,0.0,1.0
world_reuse,5,safe_no_state,500,52.0,0.0,0.0,5.0,0.0,1.0
world_reuse,5,shared_self_reuse,500,35.768,1.0,2.88,2.12,1.28,0.744
world_reuse,5,shared_world_reuse,500,89.776,1.0,2.62,2.38,0.0,1.0
world_reuse,5,task_local_probe,500,85.776,5.0,2.62,2.38,0.0,1.0
world_reuse,6,greedy_no_state,500,40.48,0.0,6.0,0.0,2.46,0.59
world_reuse,6,oracle_reuse,500,115.1,0.0,3.54,2.46,0.0,1.0
world_reuse,6,safe_no_state,500,62.0,0.0,0.0,6.0,0.0,1.0
world_reuse,6,shared_self_reuse,500,52.692,1.0,2.964,3.036,1.164,0.806
world_reuse,6,shared_world_reuse,500,114.1,1.0,3.54,2.46,0.0,1.0
world_reuse,6,task_local_probe,500,109.1,6.0,3.54,2.46,0.0,1.0
