tick,day,resident,cause_action,direct_effect,delayed_effect,affected_resource,recovery_path,causal_chain_id,chain_scrubbable,non_magical_trust_repair
60,4,Nia,move,trust warms,movement only,care,finish owed work,chain:nia:move:004:06,True,True
61,4,Ari,talk,trust warms,movement only,tool time,apologize,chain:ari:talk:004:07,True,True
62,4,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:offer_help:004:08,True,True
63,4,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:borrow_tool:004:09,True,True
64,4,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:return_tool:004:10,True,True
65,4,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:interrupt_work:004:11,True,True
66,4,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:wait_offscreen:004:12,True,True
67,4,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:repair_trust:004:13,True,True
68,4,Fay,move,trust warms,movement only,water,return tool,chain:fay:move:004:14,True,True
69,4,Milo,talk,trust warms,movement only,fiber,give space,chain:milo:talk:004:15,True,True
70,4,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:offer_help:004:16,True,True
71,4,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:borrow_tool:004:17,True,True
72,5,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:interrupt_work:005:00,True,True
73,5,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:wait_offscreen:005:01,True,True
74,5,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:repair_trust:005:02,True,True
75,5,Milo,move,trust warms,movement only,wood,give space,chain:milo:move:005:03,True,True
76,5,Sera,talk,trust warms,movement only,herb,offer help,chain:sera:talk:005:04,True,True
77,5,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:offer_help:005:05,True,True
78,5,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:borrow_tool:005:06,True,True
79,5,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:return_tool:005:07,True,True
80,5,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:interrupt_work:005:08,True,True
81,5,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:wait_offscreen:005:09,True,True
82,5,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:repair_trust:005:10,True,True
83,5,Tovan,move,trust warms,movement only,care,wait,chain:tovan:move:005:11,True,True
84,5,Nia,talk,trust warms,movement only,tool time,finish owed work,chain:nia:talk:005:12,True,True
85,5,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:offer_help:005:13,True,True
86,5,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:borrow_tool:005:14,True,True
87,5,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:return_tool:005:15,True,True
88,5,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:interrupt_work:005:16,True,True
89,5,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:wait_offscreen:005:17,True,True
90,6,Nia,move,trust warms,movement only,water,finish owed work,chain:nia:move:006:00,True,True
91,6,Ari,talk,trust warms,movement only,fiber,apologize,chain:ari:talk:006:01,True,True
92,6,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:offer_help:006:02,True,True
93,6,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:borrow_tool:006:03,True,True
94,6,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:return_tool:006:04,True,True
95,6,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:interrupt_work:006:05,True,True
96,6,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:wait_offscreen:006:06,True,True
97,6,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:repair_trust:006:07,True,True
98,6,Fay,move,trust warms,movement only,wood,return tool,chain:fay:move:006:08,True,True
99,6,Milo,talk,trust warms,movement only,herb,give space,chain:milo:talk:006:09,True,True
100,6,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:offer_help:006:10,True,True
101,6,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:borrow_tool:006:11,True,True
102,6,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:return_tool:006:12,True,True
103,6,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:interrupt_work:006:13,True,True
104,6,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:wait_offscreen:006:14,True,True
105,6,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,give space,chain:milo:repair_trust:006:15,True,True
106,6,Sera,move,trust warms,movement only,care,offer help,chain:sera:move:006:16,True,True
107,6,Tovan,talk,trust warms,movement only,tool time,wait,chain:tovan:talk:006:17,True,True
108,7,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:borrow_tool:007:00,True,True
109,7,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:return_tool:007:01,True,True
110,7,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:interrupt_work:007:02,True,True
111,7,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:wait_offscreen:007:03,True,True
112,7,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:repair_trust:007:04,True,True
113,7,Tovan,move,trust warms,movement only,water,wait,chain:tovan:move:007:05,True,True
114,7,Nia,talk,trust warms,movement only,fiber,finish owed work,chain:nia:talk:007:06,True,True
115,7,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:offer_help:007:07,True,True
116,7,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:borrow_tool:007:08,True,True
117,7,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:return_tool:007:09,True,True
118,7,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:interrupt_work:007:10,True,True
119,7,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:wait_offscreen:007:11,True,True
120,7,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:repair_trust:007:12,True,True
121,7,Ari,move,trust warms,movement only,wood,apologize,chain:ari:move:007:13,True,True
122,7,Fay,talk,trust warms,movement only,herb,return tool,chain:fay:talk:007:14,True,True
123,7,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:offer_help:007:15,True,True
124,7,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:borrow_tool:007:16,True,True
125,7,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:return_tool:007:17,True,True
126,8,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:wait_offscreen:008:00,True,True
127,8,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:repair_trust:008:01,True,True
128,8,Fay,move,trust warms,movement only,care,return tool,chain:fay:move:008:02,True,True
129,8,Milo,talk,trust warms,movement only,tool time,give space,chain:milo:talk:008:03,True,True
130,8,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:offer_help:008:04,True,True
131,8,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:borrow_tool:008:05,True,True
132,8,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:return_tool:008:06,True,True
133,8,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:interrupt_work:008:07,True,True
134,8,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:wait_offscreen:008:08,True,True
135,8,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:repair_trust:008:09,True,True
136,8,Sera,move,trust warms,movement only,water,offer help,chain:sera:move:008:10,True,True
137,8,Tovan,talk,trust warms,movement only,fiber,wait,chain:tovan:talk:008:11,True,True
138,8,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:offer_help:008:12,True,True
139,8,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:borrow_tool:008:13,True,True
140,8,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:return_tool:008:14,True,True
141,8,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:008:15,True,True
142,8,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:008:16,True,True
143,8,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:008:17,True,True
144,9,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:009:00,True,True
145,9,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:009:01,True,True
146,9,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:009:02,True,True
147,9,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:009:03,True,True
148,9,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:interrupt_work:009:04,True,True
149,9,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:wait_offscreen:009:05,True,True
150,9,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:009:06,True,True
151,9,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:009:07,True,True
152,9,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:009:08,True,True
153,9,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:009:09,True,True
154,9,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:009:10,True,True
155,9,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:009:11,True,True
156,9,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:009:12,True,True
157,9,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:009:13,True,True
158,9,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:009:14,True,True
159,9,Milo,move,trust warms,movement only,water,give space,chain:milo:move:009:15,True,True
160,9,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:009:16,True,True
161,9,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:009:17,True,True
162,10,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:return_tool:010:00,True,True
163,10,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:interrupt_work:010:01,True,True
164,10,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:wait_offscreen:010:02,True,True
165,10,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:repair_trust:010:03,True,True
166,10,Sera,move,trust warms,movement only,wood,offer help,chain:sera:move:010:04,True,True
167,10,Tovan,talk,trust warms,movement only,herb,wait,chain:tovan:talk:010:05,True,True
168,10,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:offer_help:010:06,True,True
169,10,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:borrow_tool:010:07,True,True
170,10,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:return_tool:010:08,True,True
171,10,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:interrupt_work:010:09,True,True
172,10,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:wait_offscreen:010:10,True,True
173,10,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:repair_trust:010:11,True,True
174,10,Nia,move,trust warms,movement only,care,finish owed work,chain:nia:move:010:12,True,True
175,10,Ari,talk,trust warms,movement only,tool time,apologize,chain:ari:talk:010:13,True,True
176,10,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:offer_help:010:14,True,True
177,10,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:borrow_tool:010:15,True,True
178,10,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:return_tool:010:16,True,True
179,10,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:interrupt_work:010:17,True,True
180,11,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:repair_trust:011:00,True,True
181,11,Ari,move,trust warms,movement only,water,apologize,chain:ari:move:011:01,True,True
182,11,Fay,talk,trust warms,movement only,fiber,return tool,chain:fay:talk:011:02,True,True
183,11,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:offer_help:011:03,True,True
184,11,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:borrow_tool:011:04,True,True
185,11,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:return_tool:011:05,True,True
186,11,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:interrupt_work:011:06,True,True
187,11,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:wait_offscreen:011:07,True,True
188,11,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:repair_trust:011:08,True,True
189,11,Milo,move,trust warms,movement only,wood,give space,chain:milo:move:011:09,True,True
190,11,Sera,talk,trust warms,movement only,herb,offer help,chain:sera:talk:011:10,True,True
191,11,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:offer_help:011:11,True,True
192,11,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:borrow_tool:011:12,True,True
193,11,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:return_tool:011:13,True,True
194,11,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:interrupt_work:011:14,True,True
195,11,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:wait_offscreen:011:15,True,True
196,11,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:repair_trust:011:16,True,True
197,11,Tovan,move,trust warms,movement only,care,wait,chain:tovan:move:011:17,True,True
198,12,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:offer_help:012:00,True,True
199,12,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:borrow_tool:012:01,True,True
200,12,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:return_tool:012:02,True,True
201,12,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:interrupt_work:012:03,True,True
202,12,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:wait_offscreen:012:04,True,True
203,12,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:repair_trust:012:05,True,True
204,12,Nia,move,trust warms,movement only,water,finish owed work,chain:nia:move:012:06,True,True
205,12,Ari,talk,trust warms,movement only,fiber,apologize,chain:ari:talk:012:07,True,True
206,12,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:offer_help:012:08,True,True
207,12,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:borrow_tool:012:09,True,True
208,12,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:return_tool:012:10,True,True
209,12,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:interrupt_work:012:11,True,True
210,12,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:wait_offscreen:012:12,True,True
211,12,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:repair_trust:012:13,True,True
212,12,Fay,move,trust warms,movement only,wood,return tool,chain:fay:move:012:14,True,True
213,12,Milo,talk,trust warms,movement only,herb,give space,chain:milo:talk:012:15,True,True
214,12,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:offer_help:012:16,True,True
215,12,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:borrow_tool:012:17,True,True
216,13,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:013:00,True,True
217,13,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:013:01,True,True
218,13,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:013:02,True,True
219,13,Milo,move,trust warms,movement only,care,give space,chain:milo:move:013:03,True,True
220,13,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:013:04,True,True
221,13,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:013:05,True,True
222,13,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:borrow_tool:013:06,True,True
223,13,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:return_tool:013:07,True,True
224,13,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:interrupt_work:013:08,True,True
225,13,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:wait_offscreen:013:09,True,True
226,13,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:repair_trust:013:10,True,True
227,13,Tovan,move,trust warms,movement only,water,wait,chain:tovan:move:013:11,True,True
228,13,Nia,talk,trust warms,movement only,fiber,finish owed work,chain:nia:talk:013:12,True,True
229,13,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:offer_help:013:13,True,True
230,13,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:borrow_tool:013:14,True,True
231,13,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:return_tool:013:15,True,True
232,13,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:interrupt_work:013:16,True,True
233,13,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:wait_offscreen:013:17,True,True
234,14,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:014:00,True,True
235,14,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:014:01,True,True
236,14,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:014:02,True,True
237,14,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:014:03,True,True
