generation,year,settlement_id,ritual_name,ritual_function,flower_node,frequency_rate_hz,sensory_anchor,social_boundary_taught,inherited_ritual,variation_marker
5,150,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.427,hinge ticks and thyme paper,ask before touching owned tools,True,v1.6
5,150,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.447,page flutter and ink linen,ask before touching owned tools,True,v1.7
5,150,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.467,static crickets and lamp oil,ask before touching owned tools,True,v1.8
5,150,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.487,cart creak and apple soil,ask before touching owned tools,True,v1.0
5,150,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.507,bell hum and hot copper,ask before touching owned tools,True,v1.1
6,180,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.41,river slap and cedar resin,ask before touching owned tools,True,v1.6
6,180,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.43,hinge ticks and thyme paper,ask before touching owned tools,True,v1.7
6,180,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.45,page flutter and ink linen,ask before touching owned tools,True,v1.8
6,180,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.47,static crickets and lamp oil,ask before touching owned tools,True,v1.0
6,180,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.49,cart creak and apple soil,ask before touching owned tools,True,v1.1
6,180,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.51,bell hum and hot copper,ask before touching owned tools,True,v1.2
7,210,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.413,river slap and cedar resin,ask before touching owned tools,True,v1.7
7,210,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.433,hinge ticks and thyme paper,ask before touching owned tools,True,v1.8
7,210,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.453,page flutter and ink linen,ask before touching owned tools,True,v1.0
7,210,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.473,static crickets and lamp oil,ask before touching owned tools,True,v1.1
7,210,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.493,cart creak and apple soil,ask before touching owned tools,True,v1.2
7,210,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.513,bell hum and hot copper,ask before touching owned tools,True,v1.3
8,240,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.416,river slap and cedar resin,ask before touching owned tools,True,v1.8
8,240,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.436,hinge ticks and thyme paper,ask before touching owned tools,True,v1.0
8,240,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.456,page flutter and ink linen,ask before touching owned tools,True,v1.1
8,240,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.476,static crickets and lamp oil,ask before touching owned tools,True,v1.2
8,240,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.496,cart creak and apple soil,ask before touching owned tools,True,v1.3
8,240,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.516,bell hum and hot copper,ask before touching owned tools,True,v1.4
9,270,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.419,river slap and cedar resin,ask before touching owned tools,True,v1.0
9,270,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.439,hinge ticks and thyme paper,ask before touching owned tools,True,v1.1
9,270,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.459,page flutter and ink linen,ask before touching owned tools,True,v1.2
9,270,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.479,static crickets and lamp oil,ask before touching owned tools,True,v1.3
9,270,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.499,cart creak and apple soil,ask before touching owned tools,True,v1.4
9,270,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.519,bell hum and hot copper,ask before touching owned tools,True,v1.5
10,300,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.422,river slap and cedar resin,ask before touching owned tools,True,v1.1
10,300,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.442,hinge ticks and thyme paper,ask before touching owned tools,True,v1.2
10,300,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.462,page flutter and ink linen,ask before touching owned tools,True,v1.3
10,300,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.482,static crickets and lamp oil,ask before touching owned tools,True,v1.4
10,300,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.502,cart creak and apple soil,ask before touching owned tools,True,v1.5
10,300,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.522,bell hum and hot copper,ask before touching owned tools,True,v1.6
11,330,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.437,river slap and cedar resin,ask before touching owned tools,True,v2.2
11,330,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.457,hinge ticks and thyme paper,ask before touching owned tools,True,v2.3
11,330,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.477,page flutter and ink linen,ask before touching owned tools,True,v2.4
11,330,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.497,static crickets and lamp oil,ask before touching owned tools,True,v2.5
11,330,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.517,cart creak and apple soil,ask before touching owned tools,True,v2.6
11,330,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.537,bell hum and hot copper,ask before touching owned tools,True,v2.7
12,360,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.404,river slap and cedar resin,ask before touching owned tools,True,v2.3
12,360,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.424,hinge ticks and thyme paper,ask before touching owned tools,True,v2.4
12,360,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.444,page flutter and ink linen,ask before touching owned tools,True,v2.5
12,360,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.464,static crickets and lamp oil,ask before touching owned tools,True,v2.6
12,360,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.484,cart creak and apple soil,ask before touching owned tools,True,v2.7
12,360,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.504,bell hum and hot copper,ask before touching owned tools,True,v2.8
13,390,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.407,river slap and cedar resin,ask before touching owned tools,True,v2.4
13,390,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.427,hinge ticks and thyme paper,ask before touching owned tools,True,v2.5
13,390,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.447,page flutter and ink linen,ask before touching owned tools,True,v2.6
13,390,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.467,static crickets and lamp oil,ask before touching owned tools,True,v2.7
13,390,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.487,cart creak and apple soil,ask before touching owned tools,True,v2.8
13,390,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.507,bell hum and hot copper,ask before touching owned tools,True,v2.0
14,420,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.41,river slap and cedar resin,ask before touching owned tools,True,v2.5
14,420,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.43,hinge ticks and thyme paper,ask before touching owned tools,True,v2.6
14,420,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.45,page flutter and ink linen,ask before touching owned tools,True,v2.7
14,420,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.47,static crickets and lamp oil,ask before touching owned tools,True,v2.8
14,420,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.49,cart creak and apple soil,ask before touching owned tools,True,v2.0
14,420,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.51,bell hum and hot copper,ask before touching owned tools,True,v2.1
15,450,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.413,river slap and cedar resin,ask before touching owned tools,True,v2.6
15,450,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.433,hinge ticks and thyme paper,ask before touching owned tools,True,v2.7
15,450,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.453,page flutter and ink linen,ask before touching owned tools,True,v2.8
15,450,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.473,static crickets and lamp oil,ask before touching owned tools,True,v2.0
15,450,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.493,cart creak and apple soil,ask before touching owned tools,True,v2.1
15,450,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.513,bell hum and hot copper,ask before touching owned tools,True,v2.2
16,480,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.416,river slap and cedar resin,ask before touching owned tools,True,v2.7
16,480,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.436,hinge ticks and thyme paper,ask before touching owned tools,True,v2.8
16,480,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.456,page flutter and ink linen,ask before touching owned tools,True,v2.0
16,480,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.476,static crickets and lamp oil,ask before touching owned tools,True,v2.1
16,480,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.496,cart creak and apple soil,ask before touching owned tools,True,v2.2
16,480,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.516,bell hum and hot copper,ask before touching owned tools,True,v2.3
17,510,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.419,river slap and cedar resin,ask before touching owned tools,True,v2.8
17,510,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.439,hinge ticks and thyme paper,ask before touching owned tools,True,v2.0
17,510,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.459,page flutter and ink linen,ask before touching owned tools,True,v2.1
17,510,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.479,static crickets and lamp oil,ask before touching owned tools,True,v2.2
17,510,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.499,cart creak and apple soil,ask before touching owned tools,True,v2.3
17,510,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.519,bell hum and hot copper,ask before touching owned tools,True,v2.4
18,540,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.422,river slap and cedar resin,ask before touching owned tools,True,v2.0
18,540,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.442,hinge ticks and thyme paper,ask before touching owned tools,True,v2.1
18,540,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.462,page flutter and ink linen,ask before touching owned tools,True,v2.2
18,540,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.482,static crickets and lamp oil,ask before touching owned tools,True,v2.3
18,540,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.502,cart creak and apple soil,ask before touching owned tools,True,v2.4
18,540,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.522,bell hum and hot copper,ask before touching owned tools,True,v2.5
19,570,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.425,river slap and cedar resin,ask before touching owned tools,True,v2.1
19,570,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.445,hinge ticks and thyme paper,ask before touching owned tools,True,v2.2
19,570,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.465,page flutter and ink linen,ask before touching owned tools,True,v2.3
19,570,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.485,static crickets and lamp oil,ask before touching owned tools,True,v2.4
19,570,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.505,cart creak and apple soil,ask before touching owned tools,True,v2.5
19,570,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.525,bell hum and hot copper,ask before touching owned tools,True,v2.6
20,600,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.428,river slap and cedar resin,ask before touching owned tools,True,v2.2
20,600,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.448,hinge ticks and thyme paper,ask before touching owned tools,True,v2.3
20,600,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.468,page flutter and ink linen,ask before touching owned tools,True,v2.4
20,600,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.488,static crickets and lamp oil,ask before touching owned tools,True,v2.5
20,600,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.508,cart creak and apple soil,ask before touching owned tools,True,v2.6
20,600,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.528,bell hum and hot copper,ask before touching owned tools,True,v2.7
21,630,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.443,river slap and cedar resin,ask before touching owned tools,True,v3.3
21,630,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.463,hinge ticks and thyme paper,ask before touching owned tools,True,v3.4
21,630,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.483,page flutter and ink linen,ask before touching owned tools,True,v3.5
21,630,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.503,static crickets and lamp oil,ask before touching owned tools,True,v3.6
21,630,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.523,cart creak and apple soil,ask before touching owned tools,True,v3.7
21,630,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.543,bell hum and hot copper,ask before touching owned tools,True,v3.8
22,660,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.446,river slap and cedar resin,ask before touching owned tools,True,v3.4
22,660,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.466,hinge ticks and thyme paper,ask before touching owned tools,True,v3.5
22,660,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.486,page flutter and ink linen,ask before touching owned tools,True,v3.6
22,660,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.506,static crickets and lamp oil,ask before touching owned tools,True,v3.7
22,660,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.526,cart creak and apple soil,ask before touching owned tools,True,v3.8
22,660,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.546,bell hum and hot copper,ask before touching owned tools,True,v3.0
23,690,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.449,river slap and cedar resin,ask before touching owned tools,True,v3.5
23,690,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.469,hinge ticks and thyme paper,ask before touching owned tools,True,v3.6
23,690,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.489,page flutter and ink linen,ask before touching owned tools,True,v3.7
23,690,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.509,static crickets and lamp oil,ask before touching owned tools,True,v3.8
23,690,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.529,cart creak and apple soil,ask before touching owned tools,True,v3.0
23,690,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.549,bell hum and hot copper,ask before touching owned tools,True,v3.1
24,720,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.416,river slap and cedar resin,ask before touching owned tools,True,v3.6
24,720,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.436,hinge ticks and thyme paper,ask before touching owned tools,True,v3.7
24,720,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.456,page flutter and ink linen,ask before touching owned tools,True,v3.8
24,720,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.476,static crickets and lamp oil,ask before touching owned tools,True,v3.0
24,720,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.496,cart creak and apple soil,ask before touching owned tools,True,v3.1
24,720,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.516,bell hum and hot copper,ask before touching owned tools,True,v3.2
25,750,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.419,river slap and cedar resin,ask before touching owned tools,True,v3.7
25,750,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.439,hinge ticks and thyme paper,ask before touching owned tools,True,v3.8
25,750,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.459,page flutter and ink linen,ask before touching owned tools,True,v3.0
25,750,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.479,static crickets and lamp oil,ask before touching owned tools,True,v3.1
25,750,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.499,cart creak and apple soil,ask before touching owned tools,True,v3.2
25,750,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.519,bell hum and hot copper,ask before touching owned tools,True,v3.3
26,780,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.422,river slap and cedar resin,ask before touching owned tools,True,v3.8
26,780,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.442,hinge ticks and thyme paper,ask before touching owned tools,True,v3.0
26,780,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.462,page flutter and ink linen,ask before touching owned tools,True,v3.1
26,780,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.482,static crickets and lamp oil,ask before touching owned tools,True,v3.2
26,780,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.502,cart creak and apple soil,ask before touching owned tools,True,v3.3
26,780,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.522,bell hum and hot copper,ask before touching owned tools,True,v3.4
27,810,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.425,river slap and cedar resin,ask before touching owned tools,True,v3.0
27,810,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.445,hinge ticks and thyme paper,ask before touching owned tools,True,v3.1
27,810,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.465,page flutter and ink linen,ask before touching owned tools,True,v3.2
27,810,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.485,static crickets and lamp oil,ask before touching owned tools,True,v3.3
27,810,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.505,cart creak and apple soil,ask before touching owned tools,True,v3.4
27,810,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.525,bell hum and hot copper,ask before touching owned tools,True,v3.5
28,840,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.428,river slap and cedar resin,ask before touching owned tools,True,v3.1
28,840,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.448,hinge ticks and thyme paper,ask before touching owned tools,True,v3.2
28,840,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.468,page flutter and ink linen,ask before touching owned tools,True,v3.3
28,840,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.488,static crickets and lamp oil,ask before touching owned tools,True,v3.4
28,840,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.508,cart creak and apple soil,ask before touching owned tools,True,v3.5
28,840,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.528,bell hum and hot copper,ask before touching owned tools,True,v3.6
29,870,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.431,river slap and cedar resin,ask before touching owned tools,True,v3.2
29,870,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.451,hinge ticks and thyme paper,ask before touching owned tools,True,v3.3
29,870,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.471,page flutter and ink linen,ask before touching owned tools,True,v3.4
29,870,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.491,static crickets and lamp oil,ask before touching owned tools,True,v3.5
29,870,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.511,cart creak and apple soil,ask before touching owned tools,True,v3.6
29,870,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.531,bell hum and hot copper,ask before touching owned tools,True,v3.7
30,900,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.434,river slap and cedar resin,ask before touching owned tools,True,v3.3
30,900,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.454,hinge ticks and thyme paper,ask before touching owned tools,True,v3.4
30,900,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.474,page flutter and ink linen,ask before touching owned tools,True,v3.5
30,900,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.494,static crickets and lamp oil,ask before touching owned tools,True,v3.6
30,900,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.514,cart creak and apple soil,ask before touching owned tools,True,v3.7
30,900,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.534,bell hum and hot copper,ask before touching owned tools,True,v3.8
31,930,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.449,river slap and cedar resin,ask before touching owned tools,True,v4.4
31,930,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.469,hinge ticks and thyme paper,ask before touching owned tools,True,v4.5
31,930,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.489,page flutter and ink linen,ask before touching owned tools,True,v4.6
31,930,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.509,static crickets and lamp oil,ask before touching owned tools,True,v4.7
31,930,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.529,cart creak and apple soil,ask before touching owned tools,True,v4.8
31,930,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.549,bell hum and hot copper,ask before touching owned tools,True,v4.0
32,960,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.452,river slap and cedar resin,ask before touching owned tools,True,v4.5
32,960,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.472,hinge ticks and thyme paper,ask before touching owned tools,True,v4.6
32,960,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.492,page flutter and ink linen,ask before touching owned tools,True,v4.7
32,960,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.512,static crickets and lamp oil,ask before touching owned tools,True,v4.8
32,960,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.532,cart creak and apple soil,ask before touching owned tools,True,v4.0
32,960,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.552,bell hum and hot copper,ask before touching owned tools,True,v4.1
33,990,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.455,river slap and cedar resin,ask before touching owned tools,True,v4.6
33,990,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.475,hinge ticks and thyme paper,ask before touching owned tools,True,v4.7
33,990,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.495,page flutter and ink linen,ask before touching owned tools,True,v4.8
33,990,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.515,static crickets and lamp oil,ask before touching owned tools,True,v4.0
33,990,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.535,cart creak and apple soil,ask before touching owned tools,True,v4.1
33,990,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.555,bell hum and hot copper,ask before touching owned tools,True,v4.2
