epoch_index,year_end,public_epoch_marker,public_lineage_marker,public_technology_marker,public_gate_marker,private_epoch_hint,welfare_marker,replay_checkpoint,trace_integrity_token
1,50,year 0-50: mild growth; pop=203,Rainline branch rainline-vonn-01; div=0.30,Ledgerline seed ledgers; stage=tool; rel=0.70,pre-ceremony accumulating,hash=b0282d9b6e9413; welfare=1.00; flower=147.0,welfare-survives,r247-year0050,r247:1:79bf40671b
27,1350,year 1300-1350: market expansion; pop=685,Rainline branch rainline-sova-27; div=0.50,Ledgerline seed ledgers; stage=infrastructure; rel=0.81,pre-ceremony accumulating,hash=169cdeb6469020; welfare=1.00; flower=9.2,welfare-survives,no_checkpoint,r247:27:f5b382aa07
28,1400,year 1350-1400: dry repair years; pop=700,Rainline branch rainline-vonn-28; div=0.50,Ledgerline seed ledgers; stage=infrastructure; rel=0.81,pre-ceremony accumulating,hash=9fca6f5536e737; welfare=1.00; flower=156.2,welfare-survives,no_checkpoint,r247:28:e49f378113
29,1450,year 1400-1450: ritual consolidation; pop=715,Rainline branch rainline-nari-29; div=0.51,Ledgerline seed ledgers; stage=infrastructure; rel=0.82,pre-ceremony accumulating,hash=c97aee61333dc1; welfare=1.00; flower=303.2,welfare-survives,no_checkpoint,r247:29:698ca51713
30,1500,year 1450-1500: storm memory; pop=730,Rainline branch rainline-sova-30; div=0.53,Ledgerline seed ledgers; stage=infrastructure; rel=0.81,pre-ceremony accumulating,hash=f8cc6c0bc090b3; welfare=1.00; flower=90.2,welfare-survives,no_checkpoint,r247:30:9f46612f1a
31,1550,year 1500-1550: mild growth; pop=746,Rainline branch rainline-vonn-31; div=0.53,Ledgerline seed ledgers; stage=infrastructure; rel=0.83,pre-ceremony accumulating,hash=1288f53f210177; welfare=1.00; flower=237.2,welfare-survives,no_checkpoint,r247:31:135d0a2809
32,1600,year 1550-1600: wet cold; pop=762,Rainline branch rainline-nari-32; div=0.54,Ledgerline seed ledgers; stage=infrastructure; rel=0.81,pre-ceremony accumulating,hash=c80db19c283e94; welfare=1.00; flower=24.2,welfare-survives,no_checkpoint,r247:32:fc24e7cddd
33,1650,year 1600-1650: market expansion; pop=778,Rainline branch rainline-sova-33; div=0.54,Ledgerline seed ledgers; stage=infrastructure; rel=0.83,pre-ceremony accumulating,hash=da1d6475965bf0; welfare=1.00; flower=171.3,welfare-survives,no_checkpoint,r247:33:2601abe541
34,1700,year 1650-1700: dry repair years; pop=795,Rainline branch rainline-vonn-34; div=0.55,Ledgerline seed ledgers; stage=infrastructure; rel=0.84,pre-ceremony accumulating,hash=9ce1dee2efbbcd; welfare=1.00; flower=318.3,welfare-survives,no_checkpoint,r247:34:e5b5b3ada4
35,1750,year 1700-1750: ritual consolidation; pop=812,Rainline branch rainline-nari-35; div=0.56,Ledgerline seed ledgers; stage=infrastructure; rel=0.85,pre-ceremony accumulating,hash=b5edc6fa583b6e; welfare=1.00; flower=105.3,welfare-survives,no_checkpoint,r247:35:f8cf5f96f7
36,1800,year 1750-1800: storm memory; pop=830,Rainline branch rainline-sova-36; div=0.57,Ledgerline seed ledgers; stage=infrastructure; rel=0.83,pre-ceremony accumulating,hash=5117780e6baccd; welfare=1.00; flower=252.3,welfare-survives,r247-year1800,r247:36:4a6f70e8ee
37,1850,year 1800-1850: mild growth; pop=849,Rainline branch rainline-vonn-37; div=0.57,Ledgerline seed ledgers; stage=infrastructure; rel=0.85,pre-ceremony accumulating,hash=add736305a7c3d; welfare=1.00; flower=39.3,welfare-survives,no_checkpoint,r247:37:41bfae8152
38,1900,year 1850-1900: wet cold; pop=868,Rainline branch rainline-nari-38; div=0.59,Ledgerline seed ledgers; stage=infrastructure; rel=0.84,pre-ceremony accumulating,hash=33f67346315acb; welfare=1.00; flower=186.3,welfare-survives,no_checkpoint,r247:38:e13d7779b2
39,1950,year 1900-1950: market expansion; pop=887,Rainline branch rainline-sova-39; div=0.59,Ledgerline seed ledgers; stage=instrument; rel=0.85,pre-ceremony accumulating,hash=a6652f13cd2e05; welfare=1.00; flower=333.3,welfare-survives,no_checkpoint,r247:39:3c4afe7cf4
40,2000,year 1950-2000: dry repair years; pop=907,Rainline branch rainline-vonn-40; div=0.60,Ledgerline seed ledgers; stage=instrument; rel=0.86,pre-ceremony accumulating,hash=c37134dab11456; welfare=1.00; flower=120.3,welfare-survives,no_checkpoint,r247:40:778a6a4e11
41,2050,year 2000-2050: ritual consolidation; pop=927,Rainline branch rainline-nari-41; div=0.61,Ledgerline seed ledgers; stage=instrument; rel=0.86,pre-ceremony accumulating,hash=46491f85eb0ff3; welfare=1.00; flower=267.3,welfare-survives,no_checkpoint,r247:41:b2ae01c4bd
42,2100,year 2050-2100: storm memory; pop=948,Rainline branch rainline-sova-42; div=0.62,Ledgerline seed ledgers; stage=instrument; rel=0.85,pre-ceremony accumulating,hash=442ff5e43c4dd9; welfare=1.00; flower=54.3,welfare-survives,no_checkpoint,r247:42:9c90601b41
43,2150,year 2100-2150: mild growth; pop=970,Rainline branch rainline-vonn-43; div=0.62,Ledgerline seed ledgers; stage=instrument; rel=0.87,pre-ceremony accumulating,hash=2d9dd01ca9969e; welfare=1.00; flower=201.3,welfare-survives,no_checkpoint,r247:43:1f83df7003
44,2200,year 2150-2200: wet cold; pop=992,Rainline branch rainline-nari-44; div=0.64,Ledgerline seed ledgers; stage=instrument; rel=0.85,pre-ceremony accumulating,hash=2cf5f0fa2cfeb9; welfare=1.00; flower=348.3,welfare-survives,no_checkpoint,r247:44:e61181ab22
45,2250,year 2200-2250: market expansion; pop=1014,Rainline branch rainline-sova-45; div=0.64,Ledgerline seed ledgers; stage=instrument; rel=0.87,pre-ceremony accumulating,hash=1c97406afbcbfa; welfare=1.00; flower=135.3,welfare-survives,no_checkpoint,r247:45:1b778271f9
46,2300,year 2250-2300: dry repair years; pop=1036,Rainline branch rainline-vonn-46; div=0.65,Ledgerline seed ledgers; stage=instrument; rel=0.88,pre-ceremony accumulating,hash=1fa542ba27d185; welfare=1.00; flower=282.4,welfare-survives,no_checkpoint,r247:46:57d2a97305
47,2350,year 2300-2350: ritual consolidation; pop=1059,Rainline branch rainline-nari-47; div=0.66,Ledgerline seed ledgers; stage=instrument; rel=0.88,pre-ceremony accumulating,hash=2a8af7b243a1c5; welfare=1.00; flower=69.4,welfare-survives,no_checkpoint,r247:47:e7a0069161
48,2400,year 2350-2400: storm memory; pop=1082,Rainline branch rainline-sova-48; div=0.67,Ledgerline seed ledgers; stage=instrument; rel=0.86,pre-ceremony accumulating,hash=32b385bd25f879; welfare=1.00; flower=216.4,welfare-survives,r247-year2400,r247:48:348265ca3c
49,2450,year 2400-2450: mild growth; pop=1105,Rainline branch rainline-vonn-49; div=0.67,Ledgerline seed ledgers; stage=instrument; rel=0.88,pre-ceremony accumulating,hash=824ab26a9b6040; welfare=1.00; flower=3.4,welfare-survives,no_checkpoint,r247:49:0d6eafc4c4
50,2500,year 2450-2500: wet cold; pop=1128,Rainline branch rainline-nari-50; div=0.69,Ledgerline seed ledgers; stage=instrument; rel=0.87,pre-ceremony accumulating,hash=5c98ab3edf7599; welfare=1.00; flower=150.4,welfare-survives,no_checkpoint,r247:50:0e7499c8d6
51,2550,year 2500-2550: market expansion; pop=1152,Rainline branch rainline-sova-51; div=0.69,Ledgerline seed ledgers; stage=instrument; rel=0.89,pre-ceremony accumulating,hash=9d3184af036975; welfare=1.00; flower=297.4,welfare-survives,no_checkpoint,r247:51:bc10f2692d
52,2600,year 2550-2600: dry repair years; pop=1175,Rainline branch rainline-vonn-52; div=0.70,Ledgerline seed ledgers; stage=archive; rel=0.89,pre-ceremony accumulating,hash=e19f9108ab512f; welfare=1.00; flower=84.4,welfare-survives,no_checkpoint,r247:52:5b59b5025a
53,2650,year 2600-2650: ritual consolidation; pop=1198,Rainline branch rainline-nari-53; div=0.71,Ledgerline seed ledgers; stage=archive; rel=0.90,pre-ceremony accumulating,hash=9d15e10f86347d; welfare=1.00; flower=231.4,welfare-survives,no_checkpoint,r247:53:45f7720d49
54,2700,year 2650-2700: storm memory; pop=1221,Rainline branch rainline-sova-54; div=0.72,Ledgerline seed ledgers; stage=archive; rel=0.88,pre-ceremony accumulating,hash=f6b2b9b3dd0688; welfare=1.00; flower=18.4,welfare-survives,no_checkpoint,r247:54:6e3697c6ba
55,2750,year 2700-2750: mild growth; pop=1243,Rainline branch rainline-vonn-55; div=0.72,Ledgerline seed ledgers; stage=archive; rel=0.90,pre-ceremony accumulating,hash=b9bff6cf3cd40d; welfare=1.00; flower=165.4,welfare-survives,no_checkpoint,r247:55:17b920d49b
56,2800,year 2750-2800: wet cold; pop=1266,Rainline branch rainline-nari-56; div=0.74,Ledgerline seed ledgers; stage=archive; rel=0.89,pre-ceremony accumulating,hash=977f7843ae7ec6; welfare=1.00; flower=312.4,welfare-survives,no_checkpoint,r247:56:ce2762a498
57,2850,year 2800-2850: market expansion; pop=1288,Rainline branch rainline-sova-57; div=0.74,Ledgerline seed ledgers; stage=archive; rel=0.91,pre-ceremony accumulating,hash=2086ef2fb07c05; welfare=1.00; flower=99.4,welfare-survives,no_checkpoint,r247:57:1113304b44
58,2900,year 2850-2900: dry repair years; pop=1309,Rainline branch rainline-vonn-58; div=0.74,Ledgerline seed ledgers; stage=archive; rel=0.92,pre-ceremony accumulating,hash=43b06d1eeb2ad4; welfare=1.00; flower=246.5,welfare-survives,no_checkpoint,r247:58:d4d2b603c5
59,2950,year 2900-2950: ritual consolidation; pop=1331,Rainline branch rainline-nari-59; div=0.75,Ledgerline seed ledgers; stage=archive; rel=0.92,pre-ceremony accumulating,hash=c9f2a8526d46c6; welfare=1.00; flower=33.5,welfare-survives,no_checkpoint,r247:59:46c881fb6d
60,3000,year 2950-3000: storm memory; pop=1351,Rainline branch rainline-sova-60; div=0.77,Ledgerline seed ledgers; stage=archive; rel=0.91,pre-ceremony accumulating,hash=55733358ca5744; welfare=1.00; flower=180.5,welfare-survives,r247-year3000,r247:60:50fd7782ce
61,3050,year 3000-3050: mild growth; pop=1372,Rainline branch rainline-vonn-61; div=0.77,Ledgerline seed ledgers; stage=archive; rel=0.93,pre-ceremony accumulating,hash=2fec4488b25dc9; welfare=1.00; flower=327.5,welfare-survives,no_checkpoint,r247:61:3bf64ceac9
62,3100,year 3050-3100: wet cold; pop=1391,Rainline branch rainline-nari-62; div=0.78,Ledgerline seed ledgers; stage=archive; rel=0.92,pre-ceremony accumulating,hash=aa55b15e27ae33; welfare=1.00; flower=114.5,welfare-survives,no_checkpoint,r247:62:0706ebed8b
63,3150,year 3100-3150: market expansion; pop=1410,Rainline branch rainline-sova-63; div=0.78,Ledgerline seed ledgers; stage=archive; rel=0.94,pre-ceremony accumulating,hash=e323048707604d; welfare=1.00; flower=261.5,welfare-survives,no_checkpoint,r247:63:63a5d620b9
64,3200,year 3150-3200: dry repair years; pop=1429,Rainline branch rainline-vonn-64; div=0.79,Ledgerline seed ledgers; stage=archive; rel=0.95,pre-ceremony accumulating,hash=9c3ee5e3f626fc; welfare=1.00; flower=48.5,welfare-survives,no_checkpoint,r247:64:b3123ea598
65,3250,year 3200-3250: ritual consolidation; pop=1447,Rainline branch rainline-nari-65; div=0.80,Ledgerline seed ledgers; stage=ritual_machine; rel=0.95,pre-ceremony accumulating,hash=7ed2598150c434; welfare=1.00; flower=195.5,welfare-survives,no_checkpoint,r247:65:e9fcf48384
66,3300,year 3250-3300: storm memory; pop=1465,Rainline branch rainline-sova-66; div=0.81,Ledgerline seed ledgers; stage=ritual_machine; rel=0.94,pre-ceremony accumulating,hash=4d285858251792; welfare=1.00; flower=342.5,welfare-survives,no_checkpoint,r247:66:01d24d5de6
67,3350,year 3300-3350: mild growth; pop=1482,Rainline branch rainline-vonn-67; div=0.81,Ledgerline seed ledgers; stage=ritual_machine; rel=0.96,pre-ceremony accumulating,hash=e1d6703dcdc616; welfare=1.00; flower=129.5,welfare-survives,no_checkpoint,r247:67:14714bda45
68,3400,year 3350-3400: wet cold; pop=1499,Rainline branch rainline-nari-68; div=0.82,Ledgerline seed ledgers; stage=ritual_machine; rel=0.95,pre-ceremony accumulating,hash=18530490b64b95; welfare=1.00; flower=276.5,welfare-survives,no_checkpoint,r247:68:cfe7f2a2d8
69,3450,year 3400-3450: market expansion; pop=1515,Rainline branch rainline-sova-69; div=0.83,Ledgerline seed ledgers; stage=ritual_machine; rel=0.97,pre-ceremony accumulating,hash=c510a1086a27ab; welfare=1.00; flower=63.5,welfare-survives,no_checkpoint,r247:69:388c7d4fd4
70,3500,year 3450-3500: dry repair years; pop=1531,Rainline branch rainline-vonn-70; div=0.83,Ledgerline seed ledgers; stage=ritual_machine; rel=0.98,pre-ceremony accumulating,hash=db686fa0c32aca; welfare=1.00; flower=210.5,welfare-survives,no_checkpoint,r247:70:87a1942554
71,3550,year 3500-3550: ritual consolidation; pop=1546,Rainline branch rainline-nari-71; div=0.84,Ledgerline seed ledgers; stage=ritual_machine; rel=0.99,pre-ceremony accumulating,hash=5ceed9c7d7d6c3; welfare=1.00; flower=357.6,welfare-survives,no_checkpoint,r247:71:1c787341f7
72,3600,year 3550-3600: storm memory; pop=1562,Rainline branch rainline-sova-72; div=0.85,Ledgerline seed ledgers; stage=ritual_machine; rel=0.97,pre-ceremony accumulating,hash=e7f2b7d2a9dd5b; welfare=1.00; flower=144.6,welfare-survives,r247-year3600,r247:72:aae2e957ca
73,3650,year 3600-3650: mild growth; pop=1577,Rainline branch rainline-vonn-73; div=0.85,Ledgerline seed ledgers; stage=ritual_machine; rel=0.99,pre-ceremony accumulating,hash=97cdb9efeb4c7a; welfare=1.00; flower=291.6,welfare-survives,no_checkpoint,r247:73:0adc84b0f3
74,3700,year 3650-3700: wet cold; pop=1591,Rainline branch rainline-nari-74; div=0.87,Ledgerline seed ledgers; stage=ritual_machine; rel=0.98,pre-ceremony accumulating,hash=1bd6780a6e46fa; welfare=1.00; flower=78.6,welfare-survives,no_checkpoint,r247:74:b03cc11b5e
75,3750,year 3700-3750: market expansion; pop=1606,Rainline branch rainline-sova-75; div=0.87,Ledgerline seed ledgers; stage=ritual_machine; rel=1.00,pre-ceremony accumulating,hash=8b49dc59100856; welfare=1.00; flower=225.6,welfare-survives,no_checkpoint,r247:75:f664841b79
76,3800,year 3750-3800: dry repair years; pop=1621,Rainline branch rainline-vonn-76; div=0.88,Hearthline hearth ceramics; stage=ritual_machine; rel=1.00,pre-ceremony accumulating,hash=a0e0a7cd2d7983; welfare=1.00; flower=12.6,welfare-survives,no_checkpoint,r247:76:db6552eca4
77,3850,year 3800-3850: ritual consolidation; pop=1636,Rainline branch rainline-nari-77; div=0.89,Hearthline hearth ceramics; stage=ritual_machine; rel=1.00,pre-ceremony accumulating,hash=40858b747d9870; welfare=1.00; flower=159.6,welfare-survives,no_checkpoint,r247:77:da1eaf04ca
78,3900,year 3850-3900: storm memory; pop=1651,Rainline branch rainline-sova-78; div=0.90,Ledgerline seed ledgers; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=a57c83c7e96dfe; welfare=1.00; flower=306.6,welfare-survives,no_checkpoint,r247:78:c8413b4029
79,3950,year 3900-3950: mild growth; pop=1666,Rainline branch rainline-vonn-79; div=0.90,Hearthline hearth ceramics; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=ef7fca5af3d74d; welfare=1.00; flower=93.6,welfare-survives,no_checkpoint,r247:79:ebd8278f77
80,4000,year 3950-4000: wet cold; pop=1681,Rainline branch rainline-nari-80; div=0.92,Ledgerline seed ledgers; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=2d4a32efd4aec7; welfare=1.00; flower=240.6,welfare-survives,no_checkpoint,r247:80:1cef0c240f
81,4050,year 4000-4050: market expansion; pop=1697,Rainline branch rainline-sova-81; div=0.92,Hearthline hearth ceramics; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=4741f58e50fea9; welfare=1.00; flower=27.6,welfare-survives,no_checkpoint,r247:81:6a61cc8cc0
82,4100,year 4050-4100: dry repair years; pop=1713,Rainline branch rainline-vonn-82; div=0.92,Hearthline hearth ceramics; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=dbbfb81933d543; welfare=1.00; flower=174.6,welfare-survives,no_checkpoint,r247:82:03cf4ccdb5
83,4150,year 4100-4150: ritual consolidation; pop=1729,Rainline branch rainline-nari-83; div=0.92,Hearthline hearth ceramics; stage=weather_system; rel=1.00,pre-ceremony accumulating,hash=926b28cfcbf6b2; welfare=1.00; flower=321.6,welfare-survives,no_checkpoint,r247:83:35389be275
84,4200,year 4150-4200: storm memory; pop=1746,Rainline branch rainline-sova-84; div=0.92,Hearthline hearth ceramics; stage=weather_system; rel=1.00,thousands_year_span=1.00; lineage_divergence=0.86; semantic_retention=0.87; technology_inheritance=1.00; welfare_survival=1.00; ceremony_consent_boundary=0.90; replay_trace=1.00,hash=3fed9283d7b780; welfare=1.00; flower=108.7,welfare-survives,r247-year4200,r247:84:14d8b3d984
