loop_id,tick,phase,avatar_position_sample,movement_command,proximity_event,conversation_turn,market_event,ritual_prompt,memory_update,sensory_packet,persistence_event,loop_note
loop_31,31,flower,pos_12,move_12_approach,prox_12_lo62,conv_sa63_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_33,33,fruit,pos_12,move_12_approach,prox_12_lo62,conv_ni64_2,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_35,35,return,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_37,37,seed,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_39,39,vesica,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_41,41,triad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ka60,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_43,43,square,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_lo62,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_45,45,pentad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_47,47,hexad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_49,49,flower,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_2_restore,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_51,51,fruit,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_53,53,return,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_55,55,seed,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ka60,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_57,57,vesica,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_mu61,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_59,59,triad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_sa63,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_61,61,square,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_63,63,pentad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_65,65,hexad,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_67,67,flower,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_69,69,fruit,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_3_export,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
loop_71,71,return,pos_12,move_12_approach,prox_12_lo62,conv_ni64_3,market_ni64,ritual_ni64,mem_10_ni64,sense_12,persist_4_memory_check,"browser tick binds movement, perception, proximity, action surface, memory, and replay trace"
