tick_id,day,settlement_id,resident_id,body_issue,proposed_treatment,consent_state,consent_reason,autonomy_pressure,trust_before,trust_after,treatment_performed,treatment_blocked,refusal_respected,body_delta,distress_bounded,visible_consent_prompt
337,22,signal,Ren,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18528,0.632,0.642,True,False,True,0.109,True,True
340,22,riverbend,Ari,fatigue,invite rest,refused,ask before touching sore wrist,0.18264,0.668,0.672,False,True,True,0.0,True,True
344,22,orchard,Ivo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.2416,0.666,0.676,True,False,True,0.109,True,True
347,22,roofward,Sera,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18264,0.702,0.712,True,False,True,0.109,True,True
348,22,archive,Nia,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.33028,0.618,0.628,True,False,True,0.097,True,True
351,22,repair_ring,Pax,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.24292,0.638,0.648,True,False,True,0.109,True,True
352,23,riverbend,Lio,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.48896,0.608,0.618,True,False,True,0.02,True,True
356,23,orchard,Mara,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.30036,0.638,0.648,True,False,True,0.012,True,True
360,23,archive,Toma,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.29706,0.632,0.642,True,False,True,0.107,True,True
364,23,riverbend,Lio,overload,offer quiet space,deferred,finish current queued task first,0.33028,0.618,0.622,False,True,True,0.009,True,True
368,24,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.30762,0.676,0.686,True,False,True,0.012,True,True
370,24,riverbend,Ari,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.18396,0.672,0.682,True,False,True,0.0,True,True
372,24,archive,Nia,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.3316,0.628,0.638,True,False,True,0.109,True,True
374,24,orchard,Ivo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.37894,0.686,0.696,True,False,True,0.109,True,True
376,24,riverbend,Ari,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27528,0.682,0.692,True,False,True,0.097,True,True
377,24,roofward,Sera,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18396,0.712,0.722,True,False,True,0.051,True,True
380,24,orchard,Ivo,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.28496,0.696,0.706,True,False,True,0.078,True,True
381,24,repair_ring,Pax,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.24424,0.648,0.658,True,False,True,0.007,True,True
384,25,archive,Toma,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.29838,0.642,0.652,True,False,True,0.109,True,True
388,25,riverbend,Lio,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.3283,0.622,0.632,True,False,True,0.102,True,True
392,25,orchard,Mara,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.30168,0.648,0.658,True,False,True,0.095,True,True
396,25,archive,Toma,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.4344,0.652,0.662,True,False,True,0.109,True,True
400,26,riverbend,Ari,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.1866,0.692,0.702,True,False,True,0.0,True,True
404,26,orchard,Ivo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.19628,0.706,0.716,True,False,True,0.074,True,True
407,26,roofward,Sera,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.34528,0.722,0.732,True,False,True,0.0,True,True
408,26,archive,Nia,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.33292,0.638,0.648,True,False,True,0.097,True,True
411,26,repair_ring,Pax,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.24556,0.658,0.668,True,False,True,0.0,True,True
412,26,riverbend,Ari,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.27792,0.702,0.712,True,False,True,0.095,True,True
414,26,archive,Nia,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.24424,0.648,0.658,True,False,True,0.109,True,True
416,27,orchard,Mara,cold,offer warm wrap,deferred,finish current queued task first,0.303,0.658,0.662,False,True,True,0.006,True,True
420,27,archive,Toma,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.27572,0.662,0.672,True,False,True,0.0,True,True
424,27,riverbend,Lio,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.32962,0.632,0.642,True,False,True,0.109,True,True
428,27,orchard,Mara,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.30432,0.662,0.672,True,False,True,0.109,True,True
432,28,archive,Nia,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.31026,0.658,0.668,True,False,True,0.033,True,True
434,28,orchard,Ivo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.18,0.716,0.726,True,False,True,0.0,True,True
436,28,riverbend,Ari,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27924,0.712,0.722,True,False,True,0.097,True,True
437,28,roofward,Sera,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.1866,0.732,0.742,True,False,True,0.0,True,True
440,28,orchard,Ivo,fatigue,invite rest,refused,keep distance while muddy,0.43,0.726,0.73,False,True,True,-0.013,True,True
441,28,repair_ring,Pax,cold,offer warm wrap,refused,ask before bandage,0.24688,0.668,0.672,False,True,True,0.0,True,True
444,28,archive,Nia,overload,offer quiet space,refused,do not interrupt recall,0.22158,0.668,0.672,False,True,True,0.009,True,True
448,29,riverbend,Lio,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.30564,0.642,0.652,True,False,True,0.006,True,True
452,29,orchard,Mara,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.30564,0.672,0.682,True,False,True,0.095,True,True
456,29,archive,Toma,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27704,0.672,0.682,True,False,True,0.109,True,True
460,29,riverbend,Lio,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.30696,0.652,0.662,True,False,True,0.065,True,True
464,30,repair_ring,Juno,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.27572,0.618,0.628,True,False,True,0.026,True,True
468,30,signal,Milo,soreness,offer careful bandage,refused,offer rest before aid,0.30234,0.634,0.638,False,True,True,0.009,True,True
472,30,roofward,Fay,wetness,offer dry cloth,refused,explain treatment first,0.32434,0.598,0.602,False,True,True,0.009,True,True
476,30,repair_ring,Juno,cold,offer warm wrap,refused,ask before bandage,0.27,0.628,0.632,False,True,True,0.009,True,True
480,31,signal,Ren,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.1866,0.642,0.652,True,False,True,0.0,True,True
483,31,riverbend,Ari,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.19056,0.722,0.732,True,False,True,0.109,True,True
484,31,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.43792,0.742,0.752,True,False,True,0.036,True,True
487,31,orchard,Ivo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18132,0.73,0.74,True,False,True,0.095,True,True
488,31,repair_ring,Pax,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.3382,0.672,0.682,True,False,True,0.024,True,True
490,31,roofward,Sera,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.18,0.752,0.762,True,False,True,0.0,True,True
492,31,signal,Ren,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.27792,0.652,0.662,True,False,True,0.048,True,True
494,31,repair_ring,Pax,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.24952,0.682,0.692,True,False,True,0.109,True,True
496,32,roofward,Fay,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32566,0.602,0.612,True,False,True,0.006,True,True
500,32,repair_ring,Juno,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.27132,0.632,0.642,True,False,True,0.006,True,True
504,32,signal,Milo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.30366,0.638,0.648,True,False,True,0.109,True,True
508,32,roofward,Fay,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.32698,0.612,0.622,True,False,True,0.109,True,True
512,33,repair_ring,Pax,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.31554,0.692,0.702,True,False,True,0.042,True,True
513,33,riverbend,Ari,soreness,offer careful bandage,refused,ask before touching sore wrist,0.19188,0.732,0.736,False,True,True,0.009,True,True
516,33,signal,Ren,cold,offer warm wrap,refused,offer rest before aid,0.27924,0.662,0.666,False,True,True,-0.003,True,True
517,33,orchard,Ivo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.34264,0.74,0.75,True,False,True,0.095,True,True
520,33,roofward,Sera,fatigue,invite rest,refused,explain treatment first,0.18132,0.762,0.766,False,True,True,0.0,True,True
524,33,repair_ring,Pax,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.22686,0.702,0.712,True,False,True,0.109,True,True
527,33,archive,Nia,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.2196,0.672,0.682,True,False,True,0.006,True,True
528,34,signal,Milo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.43968,0.648,0.658,True,False,True,0.021,True,True
532,34,roofward,Fay,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.3283,0.622,0.632,True,False,True,0.109,True,True
536,34,repair_ring,Juno,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27264,0.642,0.652,True,False,True,0.109,True,True
540,34,signal,Milo,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.281,0.658,0.668,True,False,True,0.117,True,True
544,35,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.27264,0.766,0.776,True,False,True,0.012,True,True
547,35,orchard,Ivo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18396,0.75,0.76,True,False,True,0.095,True,True
548,35,repair_ring,Pax,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.29288,0.712,0.722,True,False,True,0.018,True,True
550,35,roofward,Sera,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.34,0.776,0.786,True,False,True,0.0,True,True
552,35,signal,Ren,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.28056,0.666,0.676,True,False,True,0.006,True,True
554,35,repair_ring,Pax,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.2042,0.722,0.732,True,False,True,0.109,True,True
556,35,roofward,Sera,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27132,0.786,0.796,True,False,True,0.109,True,True
557,35,archive,Nia,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.22092,0.682,0.692,True,False,True,0.0,True,True
560,36,repair_ring,Juno,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.27396,0.652,0.662,True,False,True,0.0,True,True
564,36,signal,Milo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.28232,0.668,0.678,True,False,True,0.056,True,True
568,36,roofward,Fay,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.32962,0.632,0.642,True,False,True,0.109,True,True
572,36,repair_ring,Juno,wetness,offer dry cloth,deferred,finish current queued task first,0.43528,0.662,0.666,False,True,True,0.009,True,True
576,37,signal,Ren,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.28188,0.676,0.686,True,False,True,0.093,True,True
577,37,orchard,Ivo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18528,0.76,0.77,True,False,True,0.095,True,True
580,37,roofward,Sera,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.18264,0.796,0.806,True,False,True,0.0,True,True
