tick_id,day,tick,season,source_region,destination_region,resource,source_stock_before,requested,delivered,source_stock_after,destination_stock_after,route_blocked,visible_delivery_ledger
32,3,0,spring_rain,archive_quarter,orchard_fen,planks,12.38,0.33,0.33,12.05,10.89,False,archive_quarter->orchard_fen:planks:0.33
33,3,1,spring_rain,signal_ridge,riverbend,oil,20.84436,0.43,0.43,20.41436,8.6,False,signal_ridge->riverbend:oil:0.43
34,3,2,spring_rain,orchard_fen,roofward,seeds,21.893,0.33,0.33,21.563,10.09,False,orchard_fen->roofward:seeds:0.33
35,3,3,spring_rain,riverbend,archive_quarter,thread,8.39,0.38,0.38,8.01,8.6,False,riverbend->archive_quarter:thread:0.38
36,3,4,spring_rain,roofward,signal_ridge,herbs,17.41248,0.28,0.28,17.13248,13.04,False,roofward->signal_ridge:herbs:0.28
37,3,5,spring_rain,archive_quarter,orchard_fen,paper,17.17232,0.38,0.38,16.79232,13.09,False,archive_quarter->orchard_fen:paper:0.38
38,3,6,spring_rain,signal_ridge,riverbend,oil,20.46008,0.28,0.28,20.18008,8.88,False,signal_ridge->riverbend:oil:0.28
39,3,7,spring_rain,orchard_fen,roofward,seeds,21.60936,0.38,0.38,21.22936,10.47,False,orchard_fen->roofward:seeds:0.38
40,3,8,spring_rain,riverbend,archive_quarter,planks,17.2224,0.43,0.43,16.7924,12.48,False,riverbend->archive_quarter:planks:0.43
41,3,9,spring_rain,roofward,signal_ridge,wire,6.72,0.33,0.33,6.39,5.79,False,roofward->signal_ridge:wire:0.33
42,3,10,spring_rain,archive_quarter,orchard_fen,paper,16.97584,0.43,0.43,16.54584,13.52,False,archive_quarter->orchard_fen:paper:0.43
43,3,11,spring_rain,signal_ridge,riverbend,oil,20.2258,0.33,0.33,19.8958,9.21,False,signal_ridge->riverbend:oil:0.33
44,3,12,spring_rain,orchard_fen,roofward,water,9.62,0.43,0.43,9.19,8.04,False,orchard_fen->roofward:water:0.43
45,3,13,spring_rain,riverbend,archive_quarter,planks,16.9772,0.28,0.28,16.6972,12.76,False,riverbend->archive_quarter:planks:0.28
46,3,14,spring_rain,roofward,signal_ridge,herbs,17.22416,0.38,0.38,16.84416,13.42,False,roofward->signal_ridge:herbs:0.38
47,3,15,spring_rain,archive_quarter,orchard_fen,planks,12.76,0.28,0.28,12.48,11.17,False,archive_quarter->orchard_fen:planks:0.28
48,4,0,spring_rain,signal_ridge,orchard_fen,planks,7.67,0.43,0.43,7.24,11.6,False,signal_ridge->orchard_fen:planks:0.43
49,4,1,spring_rain,orchard_fen,riverbend,seeds,21.46116,0.33,0.33,21.13116,7.14,False,orchard_fen->riverbend:seeds:0.33
50,4,2,spring_rain,riverbend,roofward,planks,16.7434,0.38,0.38,16.3634,10.04,False,riverbend->roofward:planks:0.38
51,4,3,spring_rain,roofward,archive_quarter,thread,11.19,0.28,0.28,10.91,8.88,False,roofward->archive_quarter:thread:0.28
52,4,4,spring_rain,archive_quarter,signal_ridge,paper,16.6374,0.38,0.38,16.2574,10.14,False,archive_quarter->signal_ridge:paper:0.38
53,4,5,spring_rain,signal_ridge,orchard_fen,oil,20.1244,0.28,0.28,19.8444,6.66,False,signal_ridge->orchard_fen:oil:0.28
54,4,6,spring_rain,orchard_fen,riverbend,oil,6.66,0.38,0.38,6.28,9.59,False,orchard_fen->riverbend:oil:0.38
55,4,7,spring_rain,riverbend,roofward,planks,16.4096,0.43,0.43,15.9796,10.47,False,riverbend->roofward:planks:0.43
56,4,8,spring_rain,roofward,archive_quarter,herbs,16.93624,0.33,0.33,16.60624,9.94,False,roofward->archive_quarter:herbs:0.33
57,4,9,spring_rain,archive_quarter,signal_ridge,wire,9.62,0.43,0.43,9.19,6.22,False,archive_quarter->signal_ridge:wire:0.43
58,4,10,spring_rain,signal_ridge,orchard_fen,oil,20.02728,0.33,0.33,19.69728,6.61,False,signal_ridge->orchard_fen:oil:0.33
59,4,11,spring_rain,orchard_fen,riverbend,seeds,21.22388,0.43,0.43,20.79388,7.57,False,orchard_fen->riverbend:seeds:0.43
60,4,12,spring_rain,riverbend,roofward,water,11.57,0.28,0.28,11.29,8.32,False,riverbend->roofward:water:0.28
61,4,13,spring_rain,roofward,archive_quarter,herbs,16.7904,0.38,0.38,16.4104,10.32,False,roofward->archive_quarter:herbs:0.38
62,4,14,spring_rain,archive_quarter,signal_ridge,paper,16.34876,0.28,0.28,16.06876,10.42,False,archive_quarter->signal_ridge:paper:0.28
63,4,15,spring_rain,signal_ridge,orchard_fen,planks,7.24,0.38,0.38,6.86,11.98,False,signal_ridge->orchard_fen:planks:0.38
64,5,0,spring_rain,orchard_fen,roofward,water,9.19,0.33,0.33,8.86,8.65,False,orchard_fen->roofward:water:0.33
65,5,1,spring_rain,riverbend,archive_quarter,planks,16.2106,0.38,0.38,15.8306,12.86,False,riverbend->archive_quarter:planks:0.38
66,5,2,spring_rain,roofward,signal_ridge,herbs,16.45644,0.28,0.28,16.17644,13.7,False,roofward->signal_ridge:herbs:0.28
67,5,3,spring_rain,archive_quarter,orchard_fen,planks,12.86,0.38,0.38,12.48,12.36,False,archive_quarter->orchard_fen:planks:0.38
68,5,4,spring_rain,signal_ridge,riverbend,oil,19.78852,0.28,0.28,19.50852,9.87,False,signal_ridge->riverbend:oil:0.28
69,5,5,spring_rain,orchard_fen,roofward,seeds,21.02568,0.38,0.38,20.64568,10.85,False,orchard_fen->roofward:seeds:0.38
70,5,6,spring_rain,riverbend,archive_quarter,thread,8.01,0.43,0.43,7.58,9.31,False,riverbend->archive_quarter:thread:0.43
71,5,7,spring_rain,roofward,signal_ridge,herbs,16.22248,0.33,0.33,15.89248,14.03,False,roofward->signal_ridge:herbs:0.33
72,5,8,spring_rain,archive_quarter,orchard_fen,paper,16.16052,0.43,0.43,15.73052,13.95,False,archive_quarter->orchard_fen:paper:0.43
73,5,9,spring_rain,signal_ridge,riverbend,oil,19.55404,0.33,0.33,19.22404,10.2,False,signal_ridge->riverbend:oil:0.33
74,5,10,spring_rain,orchard_fen,roofward,seeds,20.83112,0.43,0.43,20.40112,11.28,False,orchard_fen->roofward:seeds:0.43
75,5,11,spring_rain,riverbend,archive_quarter,planks,15.923,0.28,0.28,15.643,12.76,False,riverbend->archive_quarter:planks:0.28
76,5,12,spring_rain,roofward,signal_ridge,wire,6.39,0.38,0.38,6.01,6.6,False,roofward->signal_ridge:wire:0.38
77,5,13,spring_rain,archive_quarter,orchard_fen,paper,15.91404,0.28,0.28,15.63404,14.23,False,archive_quarter->orchard_fen:paper:0.28
78,5,14,spring_rain,signal_ridge,riverbend,oil,19.26956,0.38,0.38,18.88956,10.58,False,signal_ridge->riverbend:oil:0.38
79,5,15,spring_rain,orchard_fen,roofward,water,8.86,0.28,0.28,8.58,8.93,False,orchard_fen->roofward:water:0.28
80,6,0,spring_rain,roofward,archive_quarter,thread,10.91,0.43,0.43,10.48,9.74,False,roofward->archive_quarter:thread:0.43
81,6,1,spring_rain,archive_quarter,signal_ridge,paper,15.8182,0.33,0.33,15.4882,10.75,False,archive_quarter->signal_ridge:paper:0.33
82,6,2,spring_rain,signal_ridge,orchard_fen,oil,18.93544,0.43,0.43,18.50544,7.04,False,signal_ridge->orchard_fen:oil:0.43
83,6,3,spring_rain,orchard_fen,riverbend,oil,7.04,0.33,0.33,6.71,10.91,False,orchard_fen->riverbend:oil:0.33
84,6,4,spring_rain,riverbend,roofward,planks,15.68916,0.38,0.38,15.30916,10.85,False,riverbend->roofward:planks:0.38
85,6,5,spring_rain,roofward,archive_quarter,herbs,16.16952,0.28,0.28,15.88952,10.6,False,roofward->archive_quarter:herbs:0.28
86,6,6,spring_rain,archive_quarter,signal_ridge,wire,9.19,0.38,0.38,8.81,6.98,False,archive_quarter->signal_ridge:wire:0.38
87,6,7,spring_rain,signal_ridge,orchard_fen,oil,18.55132,0.28,0.28,18.27132,6.99,False,signal_ridge->orchard_fen:oil:0.28
88,6,8,spring_rain,orchard_fen,riverbend,seeds,20.53892,0.38,0.38,20.15892,7.95,False,orchard_fen->riverbend:seeds:0.38
89,6,9,spring_rain,riverbend,roofward,water,11.29,0.43,0.43,10.86,9.36,False,riverbend->roofward:water:0.43
90,6,10,spring_rain,roofward,archive_quarter,herbs,16.07432,0.33,0.33,15.74432,10.93,False,roofward->archive_quarter:herbs:0.33
91,6,11,spring_rain,archive_quarter,signal_ridge,paper,15.58028,0.43,0.43,15.15028,11.18,False,archive_quarter->signal_ridge:paper:0.43
92,6,12,spring_rain,signal_ridge,orchard_fen,planks,6.86,0.33,0.33,6.53,12.69,False,signal_ridge->orchard_fen:planks:0.33
93,6,13,spring_rain,orchard_fen,riverbend,seeds,20.3418,0.43,0.43,19.9118,8.38,False,orchard_fen->riverbend:seeds:0.43
94,6,14,spring_rain,riverbend,roofward,planks,15.40148,0.28,0.28,15.12148,11.13,False,riverbend->roofward:planks:0.28
95,6,15,spring_rain,roofward,archive_quarter,thread,10.48,0.38,0.38,10.1,10.12,False,roofward->archive_quarter:thread:0.38
96,7,0,spring_rain,archive_quarter,orchard_fen,planks,12.76,0.33,0.33,12.43,13.02,False,archive_quarter->orchard_fen:planks:0.33
97,7,1,spring_rain,signal_ridge,riverbend,oil,18.50072,0.43,0.43,18.07072,11.34,False,signal_ridge->riverbend:oil:0.43
98,7,2,spring_rain,orchard_fen,roofward,seeds,19.95752,0.33,0.33,19.62752,11.61,False,orchard_fen->roofward:seeds:0.33
99,7,3,spring_rain,riverbend,archive_quarter,thread,7.58,0.38,0.38,7.2,10.5,False,riverbend->archive_quarter:thread:0.38
100,7,4,spring_rain,roofward,signal_ridge,herbs,15.83652,0.28,0.28,15.55652,14.31,False,roofward->signal_ridge:herbs:0.28
101,7,5,spring_rain,archive_quarter,orchard_fen,paper,15.38048,0.38,0.38,15.00048,14.61,False,archive_quarter->orchard_fen:paper:0.38
102,7,6,spring_rain,signal_ridge,riverbend,oil,18.1166,0.28,0.28,17.8366,11.62,False,signal_ridge->riverbend:oil:0.28
103,7,7,spring_rain,orchard_fen,roofward,seeds,19.67324,0.38,0.38,19.29324,11.99,False,orchard_fen->roofward:seeds:0.38
104,7,8,spring_rain,riverbend,archive_quarter,planks,15.2142,0.43,0.43,14.7842,12.86,False,riverbend->archive_quarter:planks:0.43
105,7,9,spring_rain,roofward,signal_ridge,wire,6.01,0.33,0.33,5.68,7.31,False,roofward->signal_ridge:wire:0.33
106,7,10,spring_rain,archive_quarter,orchard_fen,paper,15.18464,0.43,0.43,14.75464,15.04,False,archive_quarter->orchard_fen:paper:0.43
107,7,11,spring_rain,signal_ridge,riverbend,oil,17.88248,0.33,0.33,17.55248,11.95,False,signal_ridge->riverbend:oil:0.33
108,7,12,spring_rain,orchard_fen,roofward,water,8.58,0.43,0.43,8.15,9.79,False,orchard_fen->roofward:water:0.43
109,7,13,spring_rain,riverbend,archive_quarter,planks,14.96964,0.28,0.28,14.68964,13.14,False,riverbend->archive_quarter:planks:0.28
110,7,14,spring_rain,roofward,signal_ridge,herbs,15.64852,0.38,0.38,15.26852,14.69,False,roofward->signal_ridge:herbs:0.38
111,7,15,spring_rain,archive_quarter,orchard_fen,planks,13.14,0.28,0.28,12.86,13.3,False,archive_quarter->orchard_fen:planks:0.28
112,8,0,spring_rain,signal_ridge,orchard_fen,planks,6.53,0.43,0.43,6.1,13.73,False,signal_ridge->orchard_fen:planks:0.43
113,8,1,spring_rain,orchard_fen,riverbend,seeds,19.52184,0.33,0.33,19.19184,8.71,False,orchard_fen->riverbend:seeds:0.33
114,8,2,spring_rain,riverbend,roofward,planks,14.736,0.38,0.38,14.356,11.51,False,riverbend->roofward:planks:0.38
115,8,3,spring_rain,roofward,archive_quarter,thread,10.1,0.28,0.28,9.82,10.78,False,roofward->archive_quarter:thread:0.28
116,8,4,spring_rain,archive_quarter,signal_ridge,paper,14.84652,0.38,0.38,14.46652,11.56,False,archive_quarter->signal_ridge:paper:0.38
117,8,5,spring_rain,signal_ridge,orchard_fen,oil,17.78188,0.28,0.28,17.50188,7.27,False,signal_ridge->orchard_fen:oil:0.28
118,8,6,spring_rain,orchard_fen,riverbend,oil,7.27,0.38,0.38,6.89,12.33,False,orchard_fen->riverbend:oil:0.38
119,8,7,spring_rain,riverbend,roofward,planks,14.40236,0.43,0.43,13.97236,11.94,False,riverbend->roofward:planks:0.43
120,8,8,spring_rain,roofward,archive_quarter,herbs,15.36092,0.33,0.33,15.03092,11.26,False,roofward->archive_quarter:herbs:0.33
121,8,9,spring_rain,archive_quarter,signal_ridge,wire,8.81,0.43,0.43,8.38,7.74,False,archive_quarter->signal_ridge:wire:0.43
122,8,10,spring_rain,signal_ridge,orchard_fen,oil,17.6854,0.33,0.33,17.3554,7.22,False,signal_ridge->orchard_fen:oil:0.33
123,8,11,spring_rain,orchard_fen,riverbend,seeds,19.28328,0.43,0.43,18.85328,9.14,False,orchard_fen->riverbend:seeds:0.43
124,8,12,spring_rain,riverbend,roofward,water,10.86,0.28,0.28,10.58,10.07,False,riverbend->roofward:water:0.28
125,8,13,spring_rain,roofward,archive_quarter,herbs,15.21572,0.38,0.38,14.83572,11.64,False,roofward->archive_quarter:herbs:0.38
126,8,14,spring_rain,archive_quarter,signal_ridge,paper,14.5582,0.28,0.28,14.2782,11.84,False,archive_quarter->signal_ridge:paper:0.28
127,8,15,spring_rain,signal_ridge,orchard_fen,planks,6.1,0.38,0.38,5.72,14.11,False,signal_ridge->orchard_fen:planks:0.38
128,9,0,spring_rain,orchard_fen,roofward,water,8.15,0.33,0.33,7.82,10.4,False,orchard_fen->roofward:water:0.33
129,9,1,spring_rain,riverbend,archive_quarter,planks,14.20416,0.38,0.38,13.82416,13.24,False,riverbend->archive_quarter:planks:0.38
130,9,2,spring_rain,roofward,signal_ridge,herbs,14.88192,0.28,0.28,14.60192,14.97,False,roofward->signal_ridge:herbs:0.28
131,9,3,spring_rain,archive_quarter,orchard_fen,planks,13.24,0.38,0.38,12.86,14.49,False,archive_quarter->orchard_fen:planks:0.38
132,9,4,spring_rain,signal_ridge,riverbend,oil,17.44696,0.28,0.28,17.16696,12.61,False,signal_ridge->riverbend:oil:0.28
133,9,5,spring_rain,orchard_fen,roofward,seeds,19.08188,0.38,0.38,18.70188,12.37,False,orchard_fen->roofward:seeds:0.38
134,9,6,spring_rain,riverbend,archive_quarter,thread,7.2,0.43,0.43,6.77,11.21,False,riverbend->archive_quarter:thread:0.43
135,9,7,spring_rain,roofward,signal_ridge,herbs,14.64812,0.33,0.33,14.31812,15.3,False,roofward->signal_ridge:herbs:0.33
136,9,8,spring_rain,archive_quarter,orchard_fen,paper,14.37028,0.43,0.43,13.94028,15.47,False,archive_quarter->orchard_fen:paper:0.43
137,9,9,spring_rain,signal_ridge,riverbend,oil,17.21264,0.33,0.33,16.88264,12.94,False,signal_ridge->riverbend:oil:0.33
138,9,10,spring_rain,orchard_fen,roofward,seeds,18.88476,0.43,0.43,18.45476,12.8,False,orchard_fen->roofward:seeds:0.43
139,9,11,spring_rain,riverbend,archive_quarter,planks,13.91688,0.28,0.28,13.63688,13.14,False,riverbend->archive_quarter:planks:0.28
140,9,12,spring_rain,roofward,signal_ridge,wire,5.68,0.38,0.38,5.3,8.12,False,roofward->signal_ridge:wire:0.38
141,9,13,spring_rain,archive_quarter,orchard_fen,paper,14.12444,0.28,0.28,13.84444,15.75,False,archive_quarter->orchard_fen:paper:0.28
142,9,14,spring_rain,signal_ridge,riverbend,oil,16.92832,0.38,0.38,16.54832,13.32,False,signal_ridge->riverbend:oil:0.38
143,9,15,spring_rain,orchard_fen,roofward,water,7.82,0.28,0.28,7.54,10.68,False,orchard_fen->roofward:water:0.28
144,10,0,spring_rain,riverbend,roofward,water,10.58,0.38,0.38,10.2,11.06,False,riverbend->roofward:water:0.38
145,10,1,spring_rain,roofward,archive_quarter,herbs,14.54912,0.28,0.28,14.26912,11.92,False,roofward->archive_quarter:herbs:0.28
146,10,2,spring_rain,archive_quarter,signal_ridge,paper,13.89048,0.38,0.38,13.51048,12.22,False,archive_quarter->signal_ridge:paper:0.38
147,10,3,spring_rain,signal_ridge,orchard_fen,planks,5.72,0.28,0.28,5.44,14.77,False,signal_ridge->orchard_fen:planks:0.28
148,10,4,spring_rain,orchard_fen,riverbend,seeds,18.546,0.38,0.38,18.166,9.52,False,orchard_fen->riverbend:seeds:0.38
149,10,5,spring_rain,riverbend,roofward,planks,13.86868,0.43,0.43,13.43868,12.37,False,riverbend->roofward:planks:0.43
150,10,6,spring_rain,roofward,archive_quarter,thread,9.82,0.33,0.33,9.49,11.54,False,roofward->archive_quarter:thread:0.33
151,10,7,spring_rain,archive_quarter,signal_ridge,paper,13.55652,0.43,0.43,13.12652,12.65,False,archive_quarter->signal_ridge:paper:0.43
152,10,8,spring_rain,signal_ridge,orchard_fen,oil,16.64008,0.33,0.33,16.31008,7.55,False,signal_ridge->orchard_fen:oil:0.33
153,10,9,spring_rain,orchard_fen,riverbend,oil,7.55,0.43,0.43,7.12,13.75,False,orchard_fen->riverbend:oil:0.43
154,10,10,spring_rain,riverbend,roofward,planks,13.62412,0.28,0.28,13.34412,12.65,False,riverbend->roofward:planks:0.28
155,10,11,spring_rain,roofward,archive_quarter,herbs,14.36152,0.38,0.38,13.98152,12.3,False,roofward->archive_quarter:herbs:0.38
156,10,12,spring_rain,archive_quarter,signal_ridge,wire,8.38,0.28,0.28,8.1,8.4,False,archive_quarter->signal_ridge:wire:0.28
157,10,13,spring_rain,signal_ridge,orchard_fen,oil,16.4936,0.38,0.38,16.1136,7.5,False,signal_ridge->orchard_fen:oil:0.38
158,10,14,spring_rain,orchard_fen,riverbend,seeds,18.25704,0.28,0.28,17.97704,9.8,False,orchard_fen->riverbend:seeds:0.28
159,10,15,spring_rain,riverbend,roofward,water,10.2,0.33,0.33,9.87,11.39,False,riverbend->roofward:water:0.33
160,11,0,spring_rain,roofward,signal_ridge,wire,5.3,0.28,0.28,5.02,8.68,False,roofward->signal_ridge:wire:0.28
161,11,1,spring_rain,archive_quarter,orchard_fen,paper,13.35672,0.38,0.38,12.97672,16.13,False,archive_quarter->orchard_fen:paper:0.38
162,11,2,spring_rain,signal_ridge,riverbend,oil,16.15948,0.28,0.28,15.87948,14.03,False,signal_ridge->riverbend:oil:0.28
163,11,3,spring_rain,orchard_fen,roofward,water,7.54,0.38,0.38,7.16,11.77,False,orchard_fen->roofward:water:0.38
164,11,4,spring_rain,riverbend,archive_quarter,planks,13.43664,0.43,0.43,13.00664,13.57,False,riverbend->archive_quarter:planks:0.43
165,11,5,spring_rain,roofward,signal_ridge,herbs,14.21252,0.33,0.33,13.88252,15.63,False,roofward->signal_ridge:herbs:0.33
166,11,6,spring_rain,archive_quarter,orchard_fen,planks,13.57,0.43,0.0,13.57,14.77,True,archive_quarter->orchard_fen:planks:0.00
167,11,7,spring_rain,signal_ridge,riverbend,oil,15.92536,0.33,0.33,15.59536,14.36,False,signal_ridge->riverbend:oil:0.33
168,11,8,spring_rain,orchard_fen,roofward,seeds,18.06848,0.43,0.43,17.63848,13.23,False,orchard_fen->roofward:seeds:0.43
169,11,9,spring_rain,riverbend,archive_quarter,thread,6.77,0.28,0.28,6.49,11.82,False,riverbend->archive_quarter:thread:0.28
170,11,10,spring_rain,roofward,signal_ridge,herbs,14.06732,0.38,0.38,13.68732,16.01,False,roofward->signal_ridge:herbs:0.38
171,11,11,spring_rain,archive_quarter,orchard_fen,paper,13.0688,0.28,0.28,12.7888,16.41,False,archive_quarter->orchard_fen:paper:0.28
172,11,12,spring_rain,signal_ridge,riverbend,oil,15.64124,0.38,0.38,15.26124,14.74,False,signal_ridge->riverbend:oil:0.38
173,11,13,spring_rain,orchard_fen,roofward,seeds,17.82136,0.28,0.28,17.54136,13.51,False,orchard_fen->roofward:seeds:0.28
174,11,14,spring_rain,riverbend,archive_quarter,planks,13.09896,0.33,0.33,12.76896,13.9,False,riverbend->archive_quarter:planks:0.33
175,11,15,spring_rain,roofward,signal_ridge,wire,5.02,0.43,0.43,4.59,9.11,False,roofward->signal_ridge:wire:0.43
176,12,0,spring_rain,signal_ridge,orchard_fen,planks,5.44,0.43,0.43,5.01,15.2,False,signal_ridge->orchard_fen:planks:0.43
177,12,1,spring_rain,orchard_fen,riverbend,seeds,17.72488,0.33,0.33,17.39488,10.13,False,orchard_fen->riverbend:seeds:0.33
178,12,2,spring_rain,riverbend,roofward,planks,12.81468,0.38,0.38,12.43468,13.03,False,riverbend->roofward:planks:0.38
179,12,3,spring_rain,roofward,archive_quarter,thread,9.49,0.28,0.28,9.21,12.1,False,roofward->archive_quarter:thread:0.28
180,12,4,spring_rain,archive_quarter,signal_ridge,paper,12.8348,0.38,0.38,12.4548,13.03,False,archive_quarter->signal_ridge:paper:0.38
181,12,5,spring_rain,signal_ridge,orchard_fen,oil,15.49144,0.28,0.28,15.21144,7.78,False,signal_ridge->orchard_fen:oil:0.28
182,12,6,spring_rain,orchard_fen,riverbend,oil,7.78,0.38,0.38,7.4,15.12,False,orchard_fen->riverbend:oil:0.38
183,12,7,spring_rain,riverbend,roofward,planks,12.4804,0.43,0.43,12.0504,13.46,False,riverbend->roofward:planks:0.43
184,12,8,spring_rain,roofward,archive_quarter,herbs,13.82624,0.33,0.33,13.49624,12.63,False,roofward->archive_quarter:herbs:0.33
185,12,9,spring_rain,archive_quarter,signal_ridge,wire,8.1,0.43,0.43,7.67,9.54,False,archive_quarter->signal_ridge:wire:0.43
186,12,10,spring_rain,signal_ridge,orchard_fen,oil,15.3956,0.33,0.33,15.0656,7.73,False,signal_ridge->orchard_fen:oil:0.33
187,12,11,spring_rain,orchard_fen,riverbend,seeds,17.48664,0.43,0.43,17.05664,10.56,False,orchard_fen->riverbend:seeds:0.43
188,12,12,spring_rain,riverbend,roofward,water,9.87,0.28,0.28,9.59,12.05,False,riverbend->roofward:water:0.28
189,12,13,spring_rain,roofward,archive_quarter,herbs,13.68168,0.38,0.38,13.30168,13.01,False,roofward->archive_quarter:herbs:0.38
190,12,14,spring_rain,archive_quarter,signal_ridge,paper,12.5468,0.28,0.28,12.2668,13.31,False,archive_quarter->signal_ridge:paper:0.28
191,12,15,spring_rain,signal_ridge,orchard_fen,planks,5.01,0.38,0.38,4.63,15.58,False,signal_ridge->orchard_fen:planks:0.38
192,13,0,spring_rain,orchard_fen,roofward,water,7.16,0.33,0.33,6.83,12.38,False,orchard_fen->roofward:water:0.33
193,13,1,spring_rain,riverbend,archive_quarter,planks,12.279,0.38,0.38,11.899,14.28,False,riverbend->archive_quarter:planks:0.38
194,13,2,spring_rain,roofward,signal_ridge,herbs,13.34804,0.28,0.28,13.06804,16.29,False,roofward->signal_ridge:herbs:0.28
195,13,3,spring_rain,archive_quarter,orchard_fen,planks,14.28,0.38,0.38,13.9,15.96,False,archive_quarter->orchard_fen:planks:0.38
196,13,4,spring_rain,signal_ridge,riverbend,oil,15.15748,0.28,0.28,14.87748,15.4,False,signal_ridge->riverbend:oil:0.28
197,13,5,spring_rain,orchard_fen,roofward,seeds,17.28604,0.38,0.38,16.90604,13.89,False,orchard_fen->roofward:seeds:0.38
198,13,6,spring_rain,riverbend,archive_quarter,thread,6.49,0.43,0.0,6.49,12.1,True,riverbend->archive_quarter:thread:0.00
