tick_id,day,route_id,agent,choice_label,trust_before,trust_delta,trust_after,route_recovery_delta,followup_due,consequence_visible
24,2,riverbend_roofward,Ari,ask to keep direct route,0.636,0.0,0.636,0.0,False,False
25,2,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
26,2,archive_signal,Nia,ask to merge detour,0.636,0.018,0.654,0.012,True,True
27,2,signal_orchard,Ivo,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
28,3,orchard_riverbend,Ivo,ask to keep direct route,0.636,0.0,0.636,0.0,False,False
29,3,central_repair_ring,Pax,ask to keep direct route,0.596,-0.012,0.584,-0.004,False,True
30,3,riverbend_roofward,Ari,ask to merge detour,0.636,0.018,0.654,0.012,True,True
31,3,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
32,3,archive_signal,Nia,ask to keep direct route,0.654,0.018,0.672,0.012,False,True
33,3,signal_orchard,Ivo,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
34,3,orchard_riverbend,Ivo,ask to keep direct route,0.636,0.0,0.636,0.0,False,False
35,3,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
36,3,riverbend_roofward,Ari,ask to keep direct route,0.654,0.018,0.672,0.012,False,True
37,3,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
38,3,archive_signal,Nia,ask to keep direct route,0.672,0.0,0.672,0.0,False,False
39,3,signal_orchard,Ivo,ask to keep direct route,0.596,0.018,0.614,0.012,True,True
40,3,orchard_riverbend,Ivo,ask to keep direct route,0.636,0.018,0.654,0.012,True,True
41,3,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
42,4,riverbend_roofward,Ari,ask to keep direct route,0.672,0.0,0.672,0.0,False,False
43,4,roofward_archive,Nia,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
44,4,archive_signal,Nia,ask to merge detour,0.672,0.0,0.672,0.0,False,False
45,4,signal_orchard,Ivo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
46,4,orchard_riverbend,Ivo,ask to keep direct route,0.654,0.018,0.672,0.012,False,True
47,4,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
48,4,riverbend_roofward,Ari,ask to keep direct route,0.672,0.0,0.672,0.0,False,False
49,4,roofward_archive,Nia,ask to keep direct route,0.596,0.0,0.596,0.0,False,False
50,4,archive_signal,Nia,ask to keep direct route,0.672,0.018,0.69,0.012,False,True
51,4,signal_orchard,Ivo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
52,4,orchard_riverbend,Ivo,ask to keep direct route,0.672,0.0,0.672,0.0,False,False
53,4,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
54,4,riverbend_roofward,Ari,ask to merge detour,0.672,0.018,0.69,0.012,False,True
55,4,roofward_archive,Nia,ask to keep direct route,0.596,0.0,0.596,0.0,False,False
56,5,archive_signal,Nia,ask to keep direct route,0.69,0.0,0.69,0.0,False,False
57,5,signal_orchard,Ivo,ask to keep direct route,0.614,0.018,0.632,0.012,False,True
58,5,orchard_riverbend,Ivo,ask to merge detour,0.672,-0.012,0.66,-0.004,False,True
59,5,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
60,5,riverbend_roofward,Ari,ask to keep direct route,0.69,0.018,0.708,0.012,True,True
61,5,roofward_archive,Nia,ask to keep direct route,0.596,0.018,0.614,0.012,True,True
62,5,archive_signal,Nia,ask to keep direct route,0.69,0.0,0.69,0.0,False,False
63,5,signal_orchard,Ivo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
64,5,orchard_riverbend,Ivo,ask to keep direct route,0.66,0.018,0.678,0.012,False,True
65,5,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
66,5,riverbend_roofward,Ari,ask to keep direct route,0.708,0.0,0.708,0.0,False,False
67,5,roofward_archive,Nia,ask to keep direct route,0.614,0.018,0.632,0.012,False,True
68,5,archive_signal,Nia,ask to merge detour,0.69,0.018,0.708,0.012,True,True
69,5,signal_orchard,Ivo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
70,6,central_repair_ring,Juno,ask to keep direct route,0.6,0.018,0.618,0.012,True,True
71,6,riverbend_roofward,Fay,ask to merge detour,0.56,0.018,0.578,0.012,False,True
72,6,roofward_archive,Fay,ask to keep direct route,0.6,0.0,0.6,0.0,False,False
73,6,archive_signal,Milo,ask to merge detour,0.56,0.018,0.578,0.012,False,True
74,6,signal_orchard,Milo,ask to keep direct route,0.6,0.018,0.618,0.012,False,True
75,6,orchard_riverbend,Ari,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
76,6,central_repair_ring,Juno,ask to keep direct route,0.618,0.018,0.636,0.012,False,True
77,6,riverbend_roofward,Fay,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
78,6,roofward_archive,Fay,ask to merge detour,0.6,0.018,0.618,0.012,False,True
79,6,archive_signal,Milo,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
80,6,signal_orchard,Milo,ask to keep direct route,0.618,0.0,0.618,0.0,False,False
81,6,orchard_riverbend,Ari,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
82,6,central_repair_ring,Juno,ask to merge detour,0.636,-0.012,0.624,-0.004,False,True
83,6,riverbend_roofward,Fay,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
84,7,roofward_archive,Fay,ask to keep direct route,0.618,0.0,0.618,0.0,False,False
85,7,archive_signal,Milo,ask to keep direct route,0.596,0.018,0.614,0.012,True,True
86,7,signal_orchard,Milo,ask to merge detour,0.618,0.0,0.618,0.0,False,False
87,7,orchard_riverbend,Ari,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
88,7,central_repair_ring,Juno,ask to merge detour,0.624,0.018,0.642,0.012,True,True
89,7,riverbend_roofward,Fay,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
90,7,roofward_archive,Fay,ask to keep direct route,0.618,0.0,0.618,0.0,False,False
91,7,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
92,7,signal_orchard,Milo,ask to keep direct route,0.618,0.018,0.636,0.012,True,True
93,7,orchard_riverbend,Ari,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
94,7,central_repair_ring,Juno,ask to keep direct route,0.642,0.0,0.642,0.0,False,False
95,7,riverbend_roofward,Fay,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
96,7,roofward_archive,Fay,ask to merge detour,0.618,0.018,0.636,0.012,True,True
97,7,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
98,8,signal_orchard,Milo,ask to keep direct route,0.636,0.018,0.654,0.012,False,True
99,8,orchard_riverbend,Ari,ask to keep direct route,0.56,0.018,0.578,0.012,True,True
100,8,central_repair_ring,Juno,ask to merge detour,0.642,0.0,0.642,0.0,False,False
101,8,riverbend_roofward,Fay,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
102,8,roofward_archive,Fay,ask to keep direct route,0.636,0.018,0.654,0.012,False,True
103,8,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
104,8,signal_orchard,Milo,ask to keep direct route,0.654,0.018,0.672,0.012,False,True
105,8,orchard_riverbend,Ari,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
106,8,central_repair_ring,Juno,ask to keep direct route,0.642,0.018,0.66,0.012,False,True
107,8,riverbend_roofward,Fay,ask to keep direct route,0.596,0.018,0.614,0.012,True,True
108,8,roofward_archive,Fay,ask to keep direct route,0.654,0.0,0.654,0.0,False,False
109,8,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
110,8,signal_orchard,Milo,ask to merge detour,0.672,0.018,0.69,0.012,True,True
111,8,orchard_riverbend,Ari,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
112,9,central_repair_ring,Juno,ask to keep direct route,0.66,0.0,0.66,0.0,False,False
113,9,riverbend_roofward,Fay,ask to keep direct route,0.614,0.018,0.632,0.012,False,True
114,9,roofward_archive,Fay,ask to merge detour,0.654,0.0,0.654,0.0,False,False
115,9,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
116,9,signal_orchard,Milo,ask to keep direct route,0.69,-0.012,0.678,-0.004,False,True
117,9,orchard_riverbend,Ari,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
118,9,central_repair_ring,Juno,ask to keep direct route,0.66,0.0,0.66,0.0,False,False
119,9,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
120,9,roofward_archive,Fay,ask to keep direct route,0.654,0.018,0.672,0.012,False,True
121,9,archive_signal,Milo,ask to keep direct route,0.614,0.0,0.614,0.0,False,False
122,9,signal_orchard,Milo,ask to keep direct route,0.678,0.0,0.678,0.0,False,False
123,9,orchard_riverbend,Ari,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
124,9,central_repair_ring,Juno,ask to merge detour,0.66,0.018,0.678,0.012,False,True
125,9,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
126,10,roofward_archive,Fay,ask to keep direct route,0.672,0.018,0.69,0.012,True,True
127,10,archive_signal,Milo,ask to keep direct route,0.614,0.018,0.632,0.012,False,True
128,10,signal_orchard,Milo,ask to merge detour,0.678,0.0,0.678,0.0,False,False
129,10,orchard_riverbend,Ari,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
130,10,central_repair_ring,Juno,ask to keep direct route,0.678,0.018,0.696,0.012,True,True
131,10,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
132,10,roofward_archive,Fay,ask to keep direct route,0.69,0.018,0.708,0.012,False,True
133,10,archive_signal,Milo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
134,10,signal_orchard,Milo,ask to keep direct route,0.678,0.018,0.696,0.012,False,True
135,10,orchard_riverbend,Ari,ask to keep direct route,0.596,0.018,0.614,0.012,False,True
136,10,central_repair_ring,Juno,ask to keep direct route,0.696,0.0,0.696,0.0,False,False
137,10,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
138,10,roofward_archive,Fay,ask to merge detour,0.708,0.018,0.726,0.012,False,True
139,10,archive_signal,Milo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
140,11,signal_orchard,Milo,ask to keep direct route,0.696,0.0,0.696,0.0,False,False
141,11,orchard_riverbend,Ari,ask to keep direct route,0.614,0.018,0.632,0.012,True,True
142,11,central_repair_ring,Juno,ask to keep direct route,0.696,0.0,0.696,0.0,False,False
143,11,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
144,11,roofward_archive,Fay,ask to keep direct route,0.726,0.018,0.744,0.012,True,True
145,11,archive_signal,Milo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
146,11,signal_orchard,Milo,ask to keep direct route,0.696,0.0,0.696,0.0,False,False
147,11,orchard_riverbend,Ari,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
148,11,central_repair_ring,Juno,ask to merge detour,0.696,0.018,0.714,0.012,False,True
149,11,riverbend_roofward,Fay,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
150,11,roofward_archive,Fay,ask to keep direct route,0.744,0.0,0.744,0.0,False,False
151,11,archive_signal,Milo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
152,11,signal_orchard,Milo,ask to merge detour,0.696,0.018,0.714,0.012,False,True
153,11,orchard_riverbend,Ari,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
154,12,riverbend_roofward,Ari,ask to keep direct route,0.708,0.0,0.708,0.0,False,False
155,12,roofward_archive,Nia,ask to merge detour,0.632,0.018,0.65,0.012,False,True
156,12,archive_signal,Nia,ask to keep direct route,0.708,0.0,0.708,0.0,False,False
157,12,signal_orchard,Ivo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
158,12,orchard_riverbend,Ivo,ask to keep direct route,0.678,0.018,0.696,0.012,False,True
159,12,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
160,12,riverbend_roofward,Ari,ask to keep direct route,0.708,0.0,0.708,0.0,False,False
161,12,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
162,12,archive_signal,Nia,ask to merge detour,0.708,0.018,0.726,0.012,False,True
163,12,signal_orchard,Ivo,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
164,12,orchard_riverbend,Ivo,ask to keep direct route,0.696,0.0,0.696,0.0,False,False
165,12,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
166,12,riverbend_roofward,Ari,ask to merge detour,0.708,0.018,0.726,0.012,False,True
167,12,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
168,13,archive_signal,Nia,ask to keep direct route,0.726,0.0,0.726,0.0,False,False
169,13,signal_orchard,Ivo,ask to keep direct route,0.632,0.018,0.65,0.012,True,True
170,13,orchard_riverbend,Ivo,ask to merge detour,0.696,0.0,0.696,0.0,False,False
171,13,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
172,13,riverbend_roofward,Ari,ask to keep direct route,0.726,0.018,0.744,0.012,True,True
173,13,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
174,13,archive_signal,Nia,ask to keep direct route,0.726,0.0,0.726,0.0,False,False
175,13,signal_orchard,Ivo,ask to keep direct route,0.65,0.018,0.668,0.012,False,True
176,13,orchard_riverbend,Ivo,ask to merge detour,0.696,0.018,0.714,0.012,False,True
177,13,central_repair_ring,Pax,ask to keep direct route,0.584,0.0,0.584,0.0,False,False
178,13,riverbend_roofward,Ari,ask to keep direct route,0.744,0.018,0.762,0.012,False,True
179,13,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
180,13,archive_signal,Nia,ask to merge detour,0.726,0.018,0.744,0.012,True,True
181,13,signal_orchard,Ivo,ask to keep direct route,0.668,0.018,0.686,0.012,False,True
182,14,orchard_riverbend,Ivo,ask to keep direct route,0.714,0.0,0.714,0.0,False,False
183,14,central_repair_ring,Pax,ask to keep direct route,0.584,0.018,0.602,0.012,False,True
184,14,riverbend_roofward,Ari,ask to merge detour,0.762,0.0,0.762,0.0,False,False
185,14,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
186,14,archive_signal,Nia,ask to keep direct route,0.744,0.018,0.762,0.012,False,True
187,14,signal_orchard,Ivo,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
188,14,orchard_riverbend,Ivo,ask to keep direct route,0.714,0.0,0.714,0.0,False,False
189,14,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
190,14,riverbend_roofward,Ari,ask to keep direct route,0.762,0.018,0.78,0.012,False,True
191,14,roofward_archive,Nia,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
192,14,archive_signal,Nia,ask to keep direct route,0.762,0.0,0.762,0.0,False,False
193,14,signal_orchard,Ivo,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
194,14,orchard_riverbend,Ivo,ask to merge detour,0.714,0.018,0.732,0.012,True,True
195,14,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
196,15,riverbend_roofward,Ari,ask to keep direct route,0.78,0.0,0.78,0.0,False,False
197,15,roofward_archive,Nia,ask to keep direct route,0.65,0.018,0.668,0.012,False,True
198,15,archive_signal,Nia,ask to merge detour,0.762,0.0,0.762,0.0,False,False
199,15,signal_orchard,Ivo,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
200,15,orchard_riverbend,Ivo,ask to keep direct route,0.732,0.018,0.75,0.012,False,True
201,15,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
202,15,riverbend_roofward,Ari,ask to keep direct route,0.78,0.0,0.78,0.0,False,False
203,15,roofward_archive,Nia,ask to keep direct route,0.668,-0.012,0.656,-0.004,False,True
204,15,archive_signal,Nia,ask to keep direct route,0.762,0.018,0.78,0.012,False,True
205,15,signal_orchard,Ivo,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
206,15,orchard_riverbend,Ivo,ask to keep direct route,0.75,0.018,0.768,0.012,False,True
207,15,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
208,15,riverbend_roofward,Ari,ask to merge detour,0.78,0.018,0.798,0.012,True,True
209,15,roofward_archive,Nia,ask to keep direct route,0.656,0.018,0.674,0.012,True,True
210,16,archive_signal,Nia,ask to keep direct route,0.78,0.0,0.78,0.0,False,False
211,16,signal_orchard,Ivo,ask to keep direct route,0.686,0.018,0.704,0.012,True,True
212,16,orchard_riverbend,Ivo,ask to merge detour,0.768,0.0,0.768,0.0,False,False
213,16,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
214,16,riverbend_roofward,Ari,ask to keep direct route,0.798,0.018,0.816,0.012,False,True
215,16,roofward_archive,Nia,ask to keep direct route,0.674,0.0,0.674,0.0,False,False
216,16,archive_signal,Nia,ask to keep direct route,0.78,0.0,0.78,0.0,False,False
217,16,signal_orchard,Ivo,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
218,16,orchard_riverbend,Ivo,ask to keep direct route,0.768,0.018,0.786,0.012,True,True
219,16,central_repair_ring,Pax,ask to keep direct route,0.602,0.0,0.602,0.0,False,False
220,16,riverbend_roofward,Ari,ask to keep direct route,0.816,0.0,0.816,0.0,False,False
221,16,roofward_archive,Nia,ask to keep direct route,0.674,0.0,0.674,0.0,False,False
222,16,archive_signal,Nia,ask to merge detour,0.78,0.018,0.798,0.012,True,True
223,16,signal_orchard,Ivo,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
224,17,orchard_riverbend,Ivo,ask to keep direct route,0.786,0.0,0.786,0.0,False,False
225,17,central_repair_ring,Pax,ask to keep direct route,0.602,0.018,0.62,0.012,True,True
226,17,riverbend_roofward,Ari,ask to merge detour,0.816,0.0,0.816,0.0,False,False
227,17,roofward_archive,Nia,ask to keep direct route,0.674,0.0,0.674,0.0,False,False
228,17,archive_signal,Nia,ask to keep direct route,0.798,0.018,0.816,0.012,False,True
229,17,signal_orchard,Ivo,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
230,17,orchard_riverbend,Ivo,ask to keep direct route,0.786,0.0,0.786,0.0,False,False
231,17,central_repair_ring,Pax,ask to keep direct route,0.62,0.018,0.638,0.012,False,True
232,17,riverbend_roofward,Ari,ask to keep direct route,0.816,-0.012,0.804,-0.004,False,True
233,17,roofward_archive,Nia,ask to keep direct route,0.674,0.0,0.674,0.0,False,False
234,17,archive_signal,Nia,ask to keep direct route,0.816,0.018,0.834,0.012,False,True
235,17,signal_orchard,Ivo,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
236,17,orchard_riverbend,Ivo,ask to merge detour,0.786,0.018,0.804,0.012,False,True
237,17,central_repair_ring,Pax,ask to keep direct route,0.638,0.018,0.656,0.012,False,True
238,18,roofward_archive,Fay,ask to keep direct route,0.744,0.0,0.744,0.0,False,False
239,18,archive_signal,Milo,ask to merge detour,0.632,0.018,0.65,0.012,True,True
240,18,signal_orchard,Milo,ask to keep direct route,0.714,0.018,0.732,0.012,False,True
241,18,orchard_riverbend,Ari,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
242,18,central_repair_ring,Juno,ask to keep direct route,0.714,0.018,0.732,0.012,True,True
243,18,riverbend_roofward,Fay,ask to keep direct route,0.632,0.018,0.65,0.012,False,True
244,18,roofward_archive,Fay,ask to keep direct route,0.744,0.0,0.744,0.0,False,False
245,18,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
246,18,signal_orchard,Milo,ask to merge detour,0.732,-0.012,0.72,-0.004,False,True
247,18,orchard_riverbend,Ari,ask to keep direct route,0.632,0.0,0.632,0.0,False,False
248,18,central_repair_ring,Juno,ask to keep direct route,0.732,0.0,0.732,0.0,False,False
249,18,riverbend_roofward,Fay,ask to keep direct route,0.65,0.018,0.668,0.012,True,True
250,18,roofward_archive,Fay,ask to merge detour,0.744,0.018,0.762,0.012,False,True
251,18,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
252,19,signal_orchard,Milo,ask to merge detour,0.72,0.0,0.72,0.0,False,False
253,19,orchard_riverbend,Ari,ask to keep direct route,0.632,0.018,0.65,0.012,False,True
254,19,central_repair_ring,Juno,ask to merge detour,0.732,0.0,0.732,0.0,False,False
255,19,riverbend_roofward,Fay,ask to keep direct route,0.668,0.0,0.668,0.0,False,False
256,19,roofward_archive,Fay,ask to keep direct route,0.762,0.018,0.78,0.012,False,True
257,19,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
258,19,signal_orchard,Milo,ask to merge detour,0.72,0.0,0.72,0.0,False,False
259,19,orchard_riverbend,Ari,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
260,19,central_repair_ring,Juno,ask to keep direct route,0.732,0.018,0.75,0.012,False,True
261,19,riverbend_roofward,Fay,ask to keep direct route,0.668,0.0,0.668,0.0,False,False
262,19,roofward_archive,Fay,ask to keep direct route,0.78,0.0,0.78,0.0,False,False
263,19,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
264,19,signal_orchard,Milo,ask to keep direct route,0.72,0.018,0.738,0.012,True,True
265,19,orchard_riverbend,Ari,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
266,20,central_repair_ring,Juno,ask to keep direct route,0.75,0.0,0.75,0.0,False,False
267,20,riverbend_roofward,Fay,ask to keep direct route,0.668,0.018,0.686,0.012,False,True
268,20,roofward_archive,Fay,ask to merge detour,0.78,0.018,0.798,0.012,True,True
269,20,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
270,20,signal_orchard,Milo,ask to keep direct route,0.738,0.018,0.756,0.012,False,True
271,20,orchard_riverbend,Ari,ask to keep direct route,0.65,0.018,0.668,0.012,True,True
272,20,central_repair_ring,Juno,ask to keep direct route,0.75,0.0,0.75,0.0,False,False
273,20,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
274,20,roofward_archive,Fay,ask to keep direct route,0.798,0.018,0.816,0.012,False,True
275,20,archive_signal,Milo,ask to keep direct route,0.65,0.0,0.65,0.0,False,False
276,20,signal_orchard,Milo,ask to keep direct route,0.756,0.0,0.756,0.0,False,False
277,20,orchard_riverbend,Ari,ask to keep direct route,0.668,0.018,0.686,0.012,False,True
278,20,central_repair_ring,Juno,ask to keep direct route,0.75,0.018,0.768,0.012,False,True
279,20,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
280,21,roofward_archive,Fay,ask to keep direct route,0.816,0.0,0.816,0.0,False,False
281,21,archive_signal,Milo,ask to keep direct route,0.65,0.018,0.668,0.012,False,True
282,21,signal_orchard,Milo,ask to merge detour,0.756,0.0,0.756,0.0,False,False
283,21,orchard_riverbend,Ari,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
284,21,central_repair_ring,Juno,ask to keep direct route,0.768,0.018,0.786,0.012,True,True
285,21,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
286,21,roofward_archive,Fay,ask to keep direct route,0.816,0.0,0.816,0.0,False,False
287,21,archive_signal,Milo,ask to keep direct route,0.668,0.0,0.668,0.0,False,False
288,21,signal_orchard,Milo,ask to keep direct route,0.756,0.018,0.774,0.012,False,True
289,21,orchard_riverbend,Ari,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
290,21,central_repair_ring,Juno,ask to keep direct route,0.786,0.0,0.786,0.0,False,False
291,21,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
292,21,roofward_archive,Fay,ask to merge detour,0.816,0.018,0.834,0.012,False,True
293,21,archive_signal,Milo,ask to keep direct route,0.668,0.0,0.668,0.0,False,False
294,22,signal_orchard,Milo,ask to keep direct route,0.774,0.0,0.774,0.0,False,False
295,22,orchard_riverbend,Ari,ask to keep direct route,0.686,0.018,0.704,0.012,False,True
296,22,central_repair_ring,Juno,ask to merge detour,0.786,0.018,0.804,0.012,False,True
297,22,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
298,22,roofward_archive,Fay,ask to keep direct route,0.834,0.018,0.852,0.012,True,True
299,22,archive_signal,Milo,ask to keep direct route,0.668,0.018,0.686,0.012,False,True
300,22,signal_orchard,Milo,ask to keep direct route,0.774,0.0,0.774,0.0,False,False
301,22,orchard_riverbend,Ari,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
302,22,central_repair_ring,Juno,ask to keep direct route,0.804,0.018,0.822,0.012,False,True
303,22,riverbend_roofward,Fay,ask to keep direct route,0.686,0.0,0.686,0.0,False,False
304,22,roofward_archive,Fay,ask to keep direct route,0.852,0.0,0.852,0.0,False,False
305,22,archive_signal,Milo,ask to keep direct route,0.686,0.018,0.704,0.012,True,True
306,22,signal_orchard,Milo,ask to merge detour,0.774,0.018,0.792,0.012,True,True
307,22,orchard_riverbend,Ari,ask to keep direct route,0.704,0.0,0.704,0.0,False,False
308,23,central_repair_ring,Juno,ask to keep direct route,0.822,0.0,0.822,0.0,False,False
309,23,riverbend_roofward,Fay,ask to keep direct route,0.686,0.018,0.704,0.012,False,True
