seed,recovery_id,pulse_id,actor,event,harm_type,repair_action,resource_cost,trust_delta,progress_delta,debt_delta,relationship_note,need_before,need_after,schedule_coupling,status
36231,36231-SR-03,36231-SP-03,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Milo made 36231-AIS-03 easier to attempt after neighbor_help,pending
36231,36231-SR-04,36231-SP-04,Milo,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Milo stochastically delayed 36231-AIS-03 while carry water competed with tool_snag,pending
36231,36231-SR-05,36231-SP-05,Ari,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Ari stochastically delayed 36231-AIS-01 while repair awning competed with tool_snag,pending
36231,36231-SR-06,36231-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Tovan stochastically delayed 36231-AIS-02 while sort herbs competed with tool_snag,pending
36231,36231-SR-07,36231-SP-07,Sera,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Sera stochastically delayed 36231-AIS-04 while dry cloaks competed with tool_snag,pending
36231,36231-SR-08,36231-SP-08,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,,pending
36247,36247-SR-01,36247-SP-01,Milo,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Milo stochastically disputed 36247-AIS-03 while carry water competed with argument_echo,pending
36247,36247-SR-02,36247-SP-02,Fay,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Fay made 36247-AIS-01 easier to attempt after neighbor_help,pending
36247,36247-SR-03,36247-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Fay stochastically delayed 36247-AIS-02 while sort herbs competed with tool_snag,pending
36247,36247-SR-04,36247-SP-04,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Ari stochastically delayed 36247-AIS-01 while repair awning competed with roof_leak,pending
36247,36247-SR-05,36247-SP-05,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,,pending
36247,36247-SR-06,36247-SP-06,Ari,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,,pending
36247,36247-SR-07,36247-SP-07,Tovan,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Tovan stochastically disputed 36247-AIS-05 while map safe route competed with argument_echo,pending
36247,36247-SR-08,36247-SP-08,Tovan,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,,pending
36263,36263-SR-01,36263-SP-01,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Fay stochastically delayed 36263-AIS-01 while repair awning competed with roof_leak,pending
36263,36263-SR-02,36263-SP-02,Milo,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,unrecovered,,pending
36263,36263-SR-03,36263-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Fay stochastically delayed 36263-AIS-02 while sort herbs competed with tool_snag,pending
36263,36263-SR-04,36263-SP-04,Fay,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,,pending
36263,36263-SR-05,36263-SP-05,Milo,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Milo stochastically delayed 36263-AIS-03 while carry water competed with roof_leak,pending
36263,36263-SR-06,36263-SP-06,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Ari stochastically delayed 36263-AIS-04 while dry cloaks competed with roof_leak,pending
36263,36263-SR-07,36263-SP-07,Sera,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,,pending
36263,36263-SR-08,36263-SP-08,Sera,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,,pending
36281,36281-SR-01,36281-SP-01,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Fay stochastically delayed 36281-AIS-01 while repair awning competed with tool_snag,pending
36281,36281-SR-02,36281-SP-02,Tovan,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,explore,unrecovered,Tovan made 36281-AIS-05 easier to attempt after found_material,pending
36281,36281-SR-03,36281-SP-03,Fay,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Fay made 36281-AIS-02 easier to attempt after neighbor_help,pending
36281,36281-SR-04,36281-SP-04,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Milo made 36281-AIS-03 easier to attempt after neighbor_help,pending
36281,36281-SR-05,36281-SP-05,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Fay stochastically delayed 36281-AIS-02 while sort herbs competed with roof_leak,pending
36281,36281-SR-06,36281-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Tovan stochastically delayed 36281-AIS-03 while carry water competed with tool_snag,pending
36281,36281-SR-07,36281-SP-07,Sera,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,unrecovered,,pending
36281,36281-SR-08,36281-SP-08,Tovan,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Tovan stochastically disputed 36281-AIS-05 while map safe route competed with argument_echo,pending
36307,36307-SR-01,36307-SP-01,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Fay stochastically delayed 36307-AIS-02 while sort herbs competed with roof_leak,pending
36307,36307-SR-02,36307-SP-02,Sera,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Sera stochastically delayed 36307-AIS-04 while dry cloaks competed with roof_leak,pending
36307,36307-SR-03,36307-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,,pending
36307,36307-SR-04,36307-SP-04,Milo,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,unrecovered,,pending
36307,36307-SR-05,36307-SP-05,Sera,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Sera stochastically disputed 36307-AIS-01 while repair awning competed with argument_echo,pending
36307,36307-SR-06,36307-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,Tovan stochastically delayed 36307-AIS-03 while carry water competed with tool_snag,pending
36307,36307-SR-07,36307-SP-07,Milo,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Milo stochastically disputed 36307-AIS-05 while map safe route competed with argument_echo,pending
36307,36307-SR-08,36307-SP-08,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,unrecovered,,pending
