tick,day,arc_id,agent,schedule_delta,access_delta,trust_delta,posture_delta,object_use_delta,effect_bound_to_compromise,effect_visible_in_gameplay
70,8,v17-arc-03,Sova,0.3,0.26,0.09,0.21,0.25,1,1
71,8,v17-arc-03,Keth,0.26,0.26,0.07,0.1,0.25,0,0
72,8,v17-arc-03,Melo,0.3,0.34,0.14,0.21,0.25,1,1
73,8,v17-arc-03,Nari,0.3,0.34,0.14,0.21,0.25,1,1
74,8,v17-arc-03,Ori,0.3,0.26,0.14,0.21,0.25,1,1
75,8,v17-arc-03,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
76,8,v17-arc-03,Sova,0.12,0.1,-0.04,0.21,0.08,1,1
77,8,v17-arc-03,Keth,0.3,0.26,0.14,0.16,0.25,1,1
78,8,v17-arc-03,Melo,0.3,0.34,0.14,0.21,0.31,1,1
79,8,v17-arc-03,Nari,0.3,0.26,0.14,0.21,0.25,1,1
80,9,v17-arc-03,Vonn,0.35,0.26,0.14,0.17,0.25,1,1
81,9,v17-arc-03,Sova,0.3,0.34,0.14,0.21,0.25,1,1
82,9,v17-arc-03,Keth,0.3,0.26,0.14,0.21,0.25,1,1
83,9,v17-arc-03,Melo,0.3,0.26,0.09,0.21,0.25,1,1
84,9,v17-arc-03,Nari,0.3,0.34,0.14,0.21,0.31,1,1
85,9,v17-arc-03,Ori,0.35,0.26,0.14,0.16,0.25,1,1
86,9,v17-arc-03,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
87,9,v17-arc-03,Sova,0.3,0.26,0.14,0.21,0.25,1,1
88,9,v17-arc-03,Keth,0.26,0.26,0.07,0.05,0.25,0,0
89,9,v17-arc-03,Melo,0.3,0.26,0.14,0.21,0.25,1,1
90,10,v17-arc-04,Ori,0.3,0.26,0.14,0.21,0.25,1,1
91,10,v17-arc-04,Vonn,0.12,0.1,-0.04,0.21,0.08,0,0
92,10,v17-arc-04,Sova,0.3,0.26,0.14,0.21,0.25,1,1
93,10,v17-arc-04,Keth,0.26,0.26,0.07,0.1,0.25,0,0
94,10,v17-arc-04,Melo,0.3,0.26,0.14,0.21,0.25,1,1
95,10,v17-arc-04,Nari,0.12,0.18,-0.04,0.21,0.08,1,0
96,10,v17-arc-04,Ori,0.3,0.26,0.09,0.21,0.25,1,1
97,10,v17-arc-04,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
98,10,v17-arc-04,Sova,0.3,0.34,0.14,0.21,0.31,1,1
99,10,v17-arc-04,Keth,0.3,0.26,0.14,0.12,0.25,1,1
100,11,v17-arc-04,Nari,0.3,0.26,0.14,0.21,0.25,1,1
101,11,v17-arc-04,Ori,0.3,0.26,0.14,0.21,0.25,1,1
102,11,v17-arc-04,Vonn,0.3,0.34,0.14,0.16,0.31,1,1
103,11,v17-arc-04,Sova,0.3,0.34,0.14,0.21,0.31,1,1
104,11,v17-arc-04,Keth,0.3,0.26,0.14,0.21,0.25,1,1
105,11,v17-arc-04,Melo,0.26,0.26,0.07,0.1,0.25,0,0
106,11,v17-arc-04,Nari,0.3,0.26,0.14,0.21,0.25,1,1
107,11,v17-arc-04,Ori,0.3,0.26,0.14,0.21,0.25,1,1
108,11,v17-arc-04,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
109,11,v17-arc-04,Sova,0.35,0.26,0.09,0.21,0.25,1,1
110,12,v17-arc-04,Melo,0.3,0.26,0.14,0.16,0.25,1,1
111,12,v17-arc-04,Nari,0.3,0.34,0.14,0.21,0.31,1,1
112,12,v17-arc-04,Ori,0.3,0.26,0.14,0.21,0.25,1,1
113,12,v17-arc-04,Vonn,0.3,0.34,0.14,0.21,0.31,1,1
114,12,v17-arc-04,Sova,0.12,0.1,-0.04,0.21,0.08,1,1
115,12,v17-arc-04,Keth,0.12,0.1,-0.04,0.21,0.08,1,1
116,12,v17-arc-04,Melo,0.35,0.26,0.14,0.21,0.25,1,1
117,12,v17-arc-04,Nari,0.35,0.26,0.14,0.21,0.25,1,0
118,12,v17-arc-04,Ori,0.3,0.26,0.14,0.17,0.25,1,1
119,12,v17-arc-04,Vonn,0.3,0.26,0.14,0.16,0.25,1,1
120,13,v17-arc-05,Keth,0.3,0.26,0.14,0.21,0.25,1,1
121,13,v17-arc-05,Melo,0.35,0.26,0.14,0.16,0.25,1,1
122,13,v17-arc-05,Nari,0.26,0.26,0.02,0.1,0.25,0,0
123,13,v17-arc-05,Ori,0.3,0.26,0.14,0.21,0.25,1,1
124,13,v17-arc-05,Vonn,0.26,0.34,0.07,0.1,0.31,0,0
125,13,v17-arc-05,Sova,0.3,0.34,0.14,0.21,0.31,1,1
126,13,v17-arc-05,Keth,0.3,0.26,0.14,0.21,0.25,1,1
127,13,v17-arc-05,Melo,0.3,0.34,0.14,0.21,0.25,1,1
128,13,v17-arc-05,Nari,0.3,0.26,0.14,0.21,0.25,1,1
129,13,v17-arc-05,Ori,0.3,0.26,0.14,0.21,0.25,1,1
130,14,v17-arc-05,Sova,0.3,0.34,0.14,0.21,0.31,1,1
131,14,v17-arc-05,Keth,0.3,0.26,0.14,0.21,0.25,1,1
132,14,v17-arc-05,Melo,0.3,0.26,0.14,0.16,0.25,1,1
133,14,v17-arc-05,Nari,0.12,0.18,-0.04,0.21,0.08,1,1
134,14,v17-arc-05,Ori,0.3,0.26,0.14,0.21,0.25,1,1
135,14,v17-arc-05,Vonn,0.3,0.26,0.09,0.21,0.25,1,1
136,14,v17-arc-05,Sova,0.3,0.26,0.14,0.16,0.25,1,1
137,14,v17-arc-05,Keth,0.12,0.18,-0.04,0.17,0.14,0,0
138,14,v17-arc-05,Melo,0.12,0.18,-0.04,0.21,0.08,1,1
139,14,v17-arc-05,Nari,0.26,0.26,0.07,0.1,0.25,0,0
140,15,v17-arc-05,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
141,15,v17-arc-05,Sova,0.3,0.34,0.14,0.21,0.31,1,1
142,15,v17-arc-05,Keth,0.3,0.26,0.14,0.21,0.25,1,1
143,15,v17-arc-05,Melo,0.3,0.34,0.14,0.16,0.25,1,1
144,15,v17-arc-05,Nari,0.3,0.26,0.14,0.21,0.25,1,1
145,15,v17-arc-05,Ori,0.3,0.26,0.14,0.21,0.25,1,1
146,15,v17-arc-05,Vonn,0.3,0.26,0.14,0.21,0.25,1,0
147,15,v17-arc-05,Sova,0.3,0.26,0.14,0.21,0.25,1,1
148,15,v17-arc-05,Keth,0.3,0.34,0.09,0.21,0.25,1,1
149,15,v17-arc-05,Melo,0.3,0.26,0.14,0.21,0.25,1,1
150,16,v17-arc-06,Ori,0.3,0.26,0.14,0.21,0.25,1,1
151,16,v17-arc-06,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
152,16,v17-arc-06,Sova,0.12,0.1,-0.04,0.21,0.08,1,1
153,16,v17-arc-06,Keth,0.3,0.26,0.14,0.16,0.25,1,0
154,16,v17-arc-06,Melo,0.3,0.26,0.14,0.16,0.25,1,1
155,16,v17-arc-06,Nari,0.26,0.26,0.07,0.1,0.25,0,0
156,16,v17-arc-06,Ori,0.26,0.26,0.07,0.06,0.25,0,0
157,16,v17-arc-06,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
158,16,v17-arc-06,Sova,0.3,0.26,0.14,0.21,0.25,1,1
159,16,v17-arc-06,Keth,0.3,0.26,0.14,0.21,0.25,1,1
160,17,v17-arc-06,Nari,0.3,0.34,0.14,0.21,0.31,1,1
161,17,v17-arc-06,Ori,0.12,0.1,-0.04,0.21,0.08,1,1
162,17,v17-arc-06,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
163,17,v17-arc-06,Sova,0.3,0.26,0.14,0.21,0.25,1,1
164,17,v17-arc-06,Keth,0.3,0.34,0.14,0.21,0.31,1,1
165,17,v17-arc-06,Melo,0.3,0.34,0.14,0.16,0.31,1,1
166,17,v17-arc-06,Nari,0.3,0.26,0.14,0.21,0.25,1,1
167,17,v17-arc-06,Ori,0.3,0.34,0.14,0.21,0.25,1,1
168,17,v17-arc-06,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
169,17,v17-arc-06,Sova,0.3,0.34,0.14,0.21,0.25,1,1
170,18,v17-arc-06,Melo,0.3,0.34,0.14,0.16,0.31,1,1
171,18,v17-arc-06,Nari,0.17,0.1,-0.04,0.21,0.08,1,1
172,18,v17-arc-06,Ori,0.35,0.26,0.14,0.21,0.25,1,1
173,18,v17-arc-06,Vonn,0.26,0.34,0.07,0.1,0.31,0,0
174,18,v17-arc-06,Sova,0.3,0.26,0.09,0.21,0.25,1,1
175,18,v17-arc-06,Keth,0.3,0.26,0.14,0.17,0.25,1,0
176,18,v17-arc-06,Melo,0.3,0.34,0.14,0.16,0.31,1,1
177,18,v17-arc-06,Nari,0.3,0.26,0.14,0.21,0.25,1,1
178,18,v17-arc-06,Ori,0.3,0.26,0.14,0.21,0.25,1,1
179,18,v17-arc-06,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
180,19,v17-arc-07,Keth,0.35,0.26,0.14,0.21,0.25,1,1
181,19,v17-arc-07,Melo,0.3,0.26,0.14,0.21,0.25,1,1
182,19,v17-arc-07,Nari,0.3,0.26,0.14,0.21,0.25,1,0
183,19,v17-arc-07,Ori,0.12,0.18,-0.04,0.21,0.14,1,1
184,19,v17-arc-07,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
185,19,v17-arc-07,Sova,0.3,0.26,0.14,0.21,0.25,1,1
186,19,v17-arc-07,Keth,0.31,0.26,0.07,0.1,0.25,0,0
187,19,v17-arc-07,Melo,0.3,0.26,0.09,0.16,0.25,1,1
188,19,v17-arc-07,Nari,0.3,0.34,0.14,0.21,0.31,1,1
189,19,v17-arc-07,Ori,0.3,0.34,0.14,0.21,0.25,1,1
190,20,v17-arc-07,Sova,0.13,0.1,-0.11,0.1,0.08,0,0
191,20,v17-arc-07,Keth,0.3,0.26,0.14,0.21,0.25,1,1
192,20,v17-arc-07,Melo,0.3,0.26,0.14,0.21,0.25,1,1
193,20,v17-arc-07,Nari,0.3,0.34,0.14,0.21,0.25,1,1
194,20,v17-arc-07,Ori,0.3,0.34,0.14,0.17,0.31,1,1
195,20,v17-arc-07,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
196,20,v17-arc-07,Sova,0.3,0.34,0.14,0.21,0.31,1,1
197,20,v17-arc-07,Keth,0.3,0.26,0.14,0.21,0.25,1,1
198,20,v17-arc-07,Melo,0.35,0.26,0.14,0.16,0.25,1,1
199,20,v17-arc-07,Nari,0.3,0.26,0.14,0.21,0.25,1,1
200,21,v17-arc-07,Vonn,0.3,0.34,0.09,0.21,0.31,1,1
201,21,v17-arc-07,Sova,0.35,0.26,0.14,0.21,0.25,1,1
202,21,v17-arc-07,Keth,0.3,0.26,0.14,0.21,0.25,1,1
203,21,v17-arc-07,Melo,0.3,0.26,0.14,0.21,0.25,1,1
204,21,v17-arc-07,Nari,0.3,0.26,0.14,0.16,0.25,1,0
205,21,v17-arc-07,Ori,0.3,0.26,0.14,0.21,0.25,1,1
206,21,v17-arc-07,Vonn,0.12,0.1,-0.04,0.21,0.08,1,1
207,21,v17-arc-07,Sova,0.08,0.1,-0.11,0.1,0.08,0,0
208,21,v17-arc-07,Keth,0.3,0.34,0.14,0.21,0.31,1,1
209,21,v17-arc-07,Melo,0.17,0.1,-0.04,0.16,0.08,1,1
210,22,v17-arc-08,Ori,0.3,0.26,0.14,0.21,0.25,1,1
211,22,v17-arc-08,Vonn,0.3,0.26,0.14,0.21,0.25,1,0
212,22,v17-arc-08,Sova,0.3,0.34,0.14,0.21,0.31,1,1
213,22,v17-arc-08,Keth,0.3,0.26,0.09,0.17,0.25,1,1
214,22,v17-arc-08,Melo,0.3,0.26,0.14,0.21,0.25,1,1
215,22,v17-arc-08,Nari,0.3,0.26,0.14,0.21,0.25,1,1
216,22,v17-arc-08,Ori,0.3,0.34,0.14,0.21,0.25,1,1
217,22,v17-arc-08,Vonn,0.26,0.26,0.07,0.1,0.25,0,0
218,22,v17-arc-08,Sova,0.3,0.26,0.14,0.21,0.25,1,1
219,22,v17-arc-08,Keth,0.3,0.26,0.14,0.21,0.25,1,1
220,23,v17-arc-08,Nari,0.3,0.34,0.14,0.16,0.25,1,1
221,23,v17-arc-08,Ori,0.3,0.34,0.14,0.16,0.25,1,1
222,23,v17-arc-08,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
223,23,v17-arc-08,Sova,0.3,0.34,0.14,0.21,0.25,1,1
224,23,v17-arc-08,Keth,0.31,0.26,0.07,0.1,0.25,0,0
225,23,v17-arc-08,Melo,0.3,0.34,0.14,0.21,0.25,1,1
226,23,v17-arc-08,Nari,0.3,0.26,0.09,0.21,0.25,1,1
227,23,v17-arc-08,Ori,0.35,0.26,0.14,0.21,0.25,1,1
228,23,v17-arc-08,Vonn,0.12,0.1,-0.04,0.21,0.08,1,1
229,23,v17-arc-08,Sova,0.12,0.1,-0.04,0.21,0.08,1,1
230,24,v17-arc-08,Melo,0.12,0.18,-0.04,0.21,0.14,1,1
231,24,v17-arc-08,Nari,0.35,0.26,0.14,0.16,0.25,1,1
232,24,v17-arc-08,Ori,0.3,0.34,0.14,0.17,0.31,1,1
233,24,v17-arc-08,Vonn,0.35,0.26,0.14,0.21,0.25,1,0
234,24,v17-arc-08,Sova,0.3,0.26,0.14,0.21,0.25,1,1
235,24,v17-arc-08,Keth,0.3,0.26,0.14,0.21,0.25,1,1
236,24,v17-arc-08,Melo,0.3,0.26,0.14,0.21,0.25,1,1
237,24,v17-arc-08,Nari,0.3,0.34,0.14,0.21,0.25,1,1
238,24,v17-arc-08,Ori,0.3,0.26,0.14,0.16,0.25,1,1
239,24,v17-arc-08,Vonn,0.3,0.26,0.09,0.21,0.25,1,1
240,25,v17-arc-09,Keth,0.3,0.26,0.14,0.21,0.25,1,0
241,25,v17-arc-09,Melo,0.26,0.26,0.07,0.1,0.25,0,0
242,25,v17-arc-09,Nari,0.3,0.34,0.14,0.16,0.25,1,1
243,25,v17-arc-09,Ori,0.3,0.26,0.14,0.21,0.25,1,1
244,25,v17-arc-09,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
245,25,v17-arc-09,Sova,0.35,0.26,0.14,0.21,0.25,1,1
246,25,v17-arc-09,Keth,0.3,0.34,0.14,0.21,0.31,1,1
247,25,v17-arc-09,Melo,0.12,0.1,-0.04,0.21,0.08,0,0
248,25,v17-arc-09,Nari,0.26,0.26,0.07,0.1,0.25,0,0
249,25,v17-arc-09,Ori,0.3,0.26,0.14,0.21,0.25,1,1
250,26,v17-arc-09,Sova,0.3,0.26,0.14,0.21,0.25,1,1
251,26,v17-arc-09,Keth,0.3,0.26,0.14,0.17,0.25,1,1
252,26,v17-arc-09,Melo,0.3,0.26,0.09,0.21,0.25,1,1
253,26,v17-arc-09,Nari,0.12,0.1,-0.04,0.16,0.08,1,1
254,26,v17-arc-09,Ori,0.3,0.26,0.14,0.21,0.25,1,1
255,26,v17-arc-09,Vonn,0.3,0.26,0.14,0.16,0.25,1,1
256,26,v17-arc-09,Sova,0.3,0.26,0.14,0.21,0.25,1,1
257,26,v17-arc-09,Keth,0.3,0.26,0.14,0.21,0.25,1,1
258,26,v17-arc-09,Melo,0.31,0.26,0.07,0.1,0.25,0,0
259,26,v17-arc-09,Nari,0.3,0.34,0.14,0.21,0.25,1,1
260,27,v17-arc-09,Vonn,0.3,0.34,0.14,0.21,0.31,1,1
261,27,v17-arc-09,Sova,0.3,0.26,0.14,0.21,0.25,1,1
262,27,v17-arc-09,Keth,0.3,0.26,0.14,0.21,0.25,1,0
263,27,v17-arc-09,Melo,0.3,0.26,0.14,0.21,0.25,1,1
264,27,v17-arc-09,Nari,0.3,0.26,0.14,0.16,0.25,1,1
265,27,v17-arc-09,Ori,0.3,0.26,0.09,0.21,0.25,1,1
266,27,v17-arc-09,Vonn,0.12,0.18,-0.04,0.21,0.14,1,1
267,27,v17-arc-09,Sova,0.3,0.26,0.14,0.21,0.25,1,1
268,27,v17-arc-09,Keth,0.3,0.26,0.14,0.21,0.25,1,1
269,27,v17-arc-09,Melo,0.3,0.26,0.14,0.21,0.25,1,0
270,28,v17-arc-10,Ori,0.3,0.34,0.14,0.17,0.25,1,1
271,28,v17-arc-10,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
272,28,v17-arc-10,Sova,0.3,0.34,0.14,0.16,0.31,1,1
273,28,v17-arc-10,Keth,0.3,0.34,0.14,0.21,0.25,1,1
274,28,v17-arc-10,Melo,0.3,0.26,0.14,0.21,0.25,1,1
275,28,v17-arc-10,Nari,0.13,0.1,-0.11,0.05,0.08,0,0
276,28,v17-arc-10,Ori,0.3,0.34,0.14,0.21,0.25,1,1
277,28,v17-arc-10,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
278,28,v17-arc-10,Sova,0.3,0.26,0.09,0.21,0.25,1,1
279,28,v17-arc-10,Keth,0.31,0.26,0.07,0.1,0.25,0,0
